small 	 hubby take advantage mile night away kid . location amazing right middle 5th ave shopping , ton restaurant , walk distance many area u enjoy walk , hello nyc.the room r small doubt r modern , clean , quiet . U hear people hallway . I see room fancy NYC hotel r rundown noisy bliss . staff r nice . parking indoor lot ( right side ) 46th 5th 6th ave u get discount stay hotel . 
 Feb 12 2006 	 great little hotel . 	 wonderful stay Saturday Lincon Birthday weekend night . reserve double / double king give 2 king room . total price tax $ 152.10 ( total , per room ) . amazing Manhattan Times Square Area . nice , albeit little slow , staff . room small nicely appoint lot tv channel . location extremely convenient Broadway ( even blizzard : - ) ) . miss continental breakfast ( sleep ) , other seem enjoy . free computer basement guest use . free wireless internet room ( though strong enough Dell Axim ) . luxury hotel , well budget . fine place stay . 
 Feb 10 2006 	 Loved hotel ! ! 
 Jan 29 2006 	 great location good service 
 Jan 21 2006 	 Great Hotel 
 Jan 20 2006 	 nice hotel small room great overall ! 
 Jan 17 2006 	 Believe Reviews 
 Jan 16 2006 	 Great Hotel 
 Dec 17 2005 	 Great Value Location ! 
 Dec 9 2005 	 Great Location 
 Nov 14 2005 	 wrongly price 
 Nov 11 2005 	 good place stay Midtown NYC 
 Sep 3 2009 	 -- -- 
 Jul 13 2009 	 Ambientes pequeños pero excelente ubicacion ! 
 Jun 14 2009 	 Delizioso hotel due passi dalla fifth ave 
 Mar 27 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Mar 12 2009 	 super Lage 
 Jan 24 2009 	 Ottima posizione 
 Sep 27 2008 	 Ottima soluzione ! 
 Sep 6 2007 	 Excellent Hôtel 
 Aug 25 2007 	 Ottima posizione 
