good 	 room clean pretty big NYC standard , tv , hair dryer , additional blanket first necessity available . negative note : see several reception staff , friendly , generally prepared give information sort . overall purpose tourism main need reasonable confy room , be right place . 
 Aug 12 2005 	 Clean Convenient Responsive 	 be family four 18 - year - old 15 - year old return four - night stay Murray Hill East Suites . purchase air / hotel package via Priceline , arrive hotel , quick hop , skip jump Sunday afternoon LaGuardia Airport , two reserve room quite right . kid ' room one bed , option teenage brother sister . hotel 's solution problem upgrade , seven floor more - quiet less - populate 12th floor , huge , two - bedroom , two - bath suite balcony - room worth twice pay original room . bathroom vanity table chair light magnifying mirror . plenty closet space , extra pillow , sufficient kitchen utensil ware . ( not hold potholder cookie sheet kitchenette ! ) not single significant thing wrong hotel . yes , elevator old slow dishwasher not clean anything top rack , tub master bedroom drain slowly view balcony laughable , every surface suite scrupulously clean 's important thing far ' m concerned . not see single bug entire time . staff friendly helpful , service responsive location hotel almost ideal - three short block subway less grocery store , drug store , liquor store seemingly infinite place eat , yes , even dine . area not exactly ambiance expect - 's commercial tourist - heavy expect - blame ignorance NYC . guest hotel seem classy content , sleaze , trouble , quiet coming going business type vacationer . two two - and - a - half star hotel , place way average would stay without hesitation . 
 Jul 31 2005 	 call ahead want non - smoking ! 	 get 1 - person deal hotwire $ 169 + tax 4 day late July 2005 . room could easily fit 2 people , couch ( sure sleeper ) , comfy easy chair , smallish TV w / cable , coffee table , small desk ( internet access ) . lot storage : dresser , 3 closet , lot hanger , iron board , ( leaky ) iron , etc . be mainly family , quiet nonetheless . non - touristy neighborhood , near drugstore , grocery , Grand Central . not forget ask toaster microwave go ! basic kitchenware provide cabinet high could barely reach ( ok , ' m 5 ' 2 . ) complaint : 1 ) Grubby , itchy blanket , lumpy bed , shapeless pillow . please spend money , hotel owner ! 2 ) ask nonsmoking get . clerk offer ground floor rm , room & quot ; smoke floor . & quot ; room reek , course . finally give nonsmoking room , not smell -- unless turn a / c open window -- stunk cigarette smoke . 
 Jul 28 2005 	 Nice Clean Hotel 	 stay hotel friend night . get GREAT price priceline , impressed . staff polite , room large , clean . decor little outdated , big deal we . location great , be within walking distance Grand Central Station . would definately stay ! 
 Jul 19 2005 	 Murray Hill East Suites- Great Find ! 	 apartment unbelievable find . Manhattan standard , place huge ! NY friend ' jaw drop see . neighborhood great , . less 3 short block grand Central Station , get uptown downtown easily even catch one - minute shuttle Times Square . , be nice 10 - 15 - minute walk Times Square theatre district . ( 5 female ) feel safe walk around neighborhood night . plenty grocery / deli store within 3 block well late night pub food available . the apartment clean , hotel lobby adequate clean restroom come handy 5 female one bathroom apt ! : ) laundry room small gym great stayimg awhile . staff helpful professional . the apartment huge clean . find room keep well -- rusty , leaky sink tub -- grout . carpet clean hotel room . kitchen basic cooking utensil pot pan , dishwasher , toaster , regular - sized fridge . live / dining area plenty big could easily accomodate rollaway need . kind room stash package corner behind chair . sofa pull double bad . table 4 chair , . nice big closet . bedroom certainly big enough , plenty closet space dresser . two double bed comfortable , nice spread . we find quiet night , yet pass party next door onthe way room night . sound loud hallway hear absolutely nothing room . I really need internet connectivity morning everyone wake , build broadband enable . could walk corner starbuck walk block beautiful Bryant Park hour work New York wake . next library , free broadband everyone . never miss day pleasure . oh , mention , price much well crackerbox hotel ? would not hesitate recommend place anyone stay . 
 Jul 6 2005 	 good place love 	 good place . easy find . nice people ( especially one - dark brown hair , lovely sweet young lady reception desk ) . close good restaurant pub . little bit far subway real problem . clean room decent price . change bad clean room every day . always fresh towel . kitchen romm equip coffee maker , oven , glass etc . important extremely expensive city . pay single room king bad sofa - amazing . 
 Jul 4 2005 	 home away home 	 book hotwire.com $ 120.00 night . good price 3 start hotel near 4th july . suite full kitchen king size bed & amp ; separate bedroom . good family vacation . room nice clean . nice place stay Manhattan . 
 Jun 13 2005 	 could not even fix Toilet ! 	 excite Murray Hill East Suites Hotel first arrive . upgrade big room check ( unknown reason ) thrill large living room , kitchen two - bed bedroom . location absolutely first rate ... three block Grand Central Station lead anywhere NY City , dozen place eat , especially gorgeous deli block half away . massive problem face concerned toilet ! would not flush without overflow . ask fix , front desk send doorman plunger . tell maintenence person duty fix ! realize toilet clog , must serious problem . day ask management toilet fix , day , not . third day , tell , & quot ; nothing & quot ; ! force use lobby bathroom entire four day New York ! one ever offer find we room work plumbing , give compensation put disinetereste staff . doorman pleasant , one keep send plunger ! think staff hotel - exception doorman - kill otherwise excellent experience hotel . reason , would never recommend hotel anyone ! 
 Jun 7 2005 	 horrible great either 	 daughter ( 13 ) stay Murrary Hill May 29 thru June 5th . first bad experience front desk clerk . check around 4 pm , tell room quite ready , give key send room . & quot ; quite ready & quot ; huge understatement . room totally trash previous user , dirty dish , unmade bed , trash , bad smell . go back lobby desk clerk say & quot ; tell room not ready & quot ; . deadpan , unpleasant individual , end argument , bad way start 5 night stay . thankfully see except one time . the room see website large , separate bed living quarter , kitchen . get large room couch eating table , small kitchen . ask separate bedroom , daughter go bed lot early , make clear priceline customer , could upgrade . rate 120.00 per night . bathroom small nicely update . doormen nice , maidservice good . elevator small adequate , gym nice , laundry room come handy , 1.50 wash 1.50 dry . dryer get really hot carefull delicate ! terribly impressed . past lobby seem like Motel 6 low end room . guess 's New York . W street look much well . 
 Jun 5 2005 	 wonderful hotel 	 excellent value , New York City , location . entire staff , exception one desk clerk , polite , responsive helpful . upgrade one room suite 2 huge room , plus separate kitchenette . everything shiny clean . location unbeatable . Murray Hill mostly residential area , market , restaurant , Grand Central Station 5th Avenue close . definitely stay next time visit NYC . 
 may 25 2005 	 Excellent experience Murray Hill 	 return weekend stay NYC stay Murray Hill May 21 -23 , 2005 . due u2 concert MSG , price hotel room NYC control - unable get GREAT deal room - like many Priceline user . nevertheless , pleasantly surprize upon arrive room , upgrade one bedroom suite . huge , especially NYC . main room extremely spacious bathroom exceptionally clean look like recently renovate . the location perfect shopper like locate quiet neighbourhood - trouble walk back hotel even early morning hour . I would definitely return Murray Hill - especially could get room $ 100 . 
 May 21 2005 	 Uncorteous attendant 	 stay large room Murray Hill US $ 100 ( May 2005 ) . really low price hotel locate Midtown Manhattan ( near Grand Central Station ) .However , stay Murray Hill entirely pleasant due follow fact : ( 1 ) room locate front Lobby front entrance door ( never see anything like ) ! , impossible sleep well due guest ' noise late hour . room bad ( fact , large , small kitchen ) , understand put room place like . ( 2 ) uncorteous attendant , reply aggressively ask possibility change room another one . due experience Murray Hill , recommend hotel . , fact , bad hotel stay NYC ( know 10 hotel city ) . 
 Apr 22 2005 	 Perfect ... volume Two 	 get back great four - night stay kid Murray Hill . get Priceline $ 90 night tell phone checkin would pay extra $ 20 night , collect nothing except expect $ 6 occupany fee checkout , must lucke . priceline transaction , book room two see three , put we one - bedroom suite . the room great -- huge living area pull queen sleeper surprisingly sizable separate bedroom king bed . tv room living room tv even VCR kid would not miss & quot ; American Idol & quot ; & quot ; Amazing Race & quot ; hit Broadway show ( different room different video situation -- DVD - VCR combo room across hall nothing room see ) . kitchenette work well water pressure little want bathroom , nothing worth bother over . my son 's complaint wish close Time Square , be great East Side neighborhood chock full delis , bagel shop , resdrug store grocery store . definitely stay ! ! ! 
 Mar 16 2005 	 Perfect ! 	 know expect hotel accept bid Priceline $ 65 / nt . , pleasantly surprised hotel . stay 4 night mid - July 2004 . room stay clean , quiet great view Empire State Building . kitchenette definitely add bonus ; also clean appliance work fine . nice cup coffee toast bagel without go . location ideal -- subway station conveniently 2 block away getting anywhere seem really easy . neighborhood not seedy nice street fair Sunday 's one block . staff , always happpy help recommendation direction . even allow we keep baggage lock closet check , flight not leave later evening . fabulous time NY Murray Hill East Suites sweet deal . would definitely stay . 
 Mar 4 2005 	 can not beat money ! 	 book last weekend Priceline . get room $ 100 . friend ( travel spouse kid ) . course realize time booking guarantee one bed . ' ve never problem priceline booking call get two bed , call hotel directly tell could request two bed check - in . husband two kid tow , sweat arrival . arrive , friend tried arrange adjoining room could relax together couple kid go bed -- sorry none available . not complain , little dishearten ready settle could get -- 's $ 100 hotel room , manager came upgrade we two bedroom suite . two full bed bedroom , pull couch , two bathroom , kitchen , etc . perfect two family make fantastic weekend . decor 80 's modern -- impeccable shape bit mold , stain carpet , fade bedspread , anything . I think neighborhood extremely convenient nice definitely plan stay subsequent trip NY . like friendly service , clean room cheap money -- Murray Hill East Suites . 
 Feb 26 2005 	 hotel room big old studio apartment ! 	 recent trip Manhattan , decide check via Priceline see could find . Priceline put Murray Hill East Suites , $ 50 night , taxis . normal rate hotel around $ 180 night . hotel Murray Hill , great little neighborhood close U.N. ( be familiar Manhattan , 's 39th street , Lexington 3rd Ave . ) neighborhood quiet , plenty delis , restaurant , grocery store , bar , etc ... within block . also close sight . hotel street Chrysler Building . U.N. 10 minute walk away . Rockefeller Center , Times Square , Empire State Building , site within 15 minute half hour walk . also walk 4 block Grand Central Station hop subway anywhere town . ( subway shuttle Grand Central TImes Square , not want walk . ) hotel small , clean . building almost remind apartment building . small lobby place sit . check breeze , everyone deal front desk pleasant professional . hotel still use key room , instead keycard . ( quaint ! ) front desk small , concierge service . hotel small fitness center , also self - service laundromat . room basic , huge Manhattan standard . it big studio apartment live . tiny kitchen sink , refrigerator , small stove / oven , cup , plate , utensil . microwave come room , ask one . small dining area table , comfortable couch extra person sleep need . tv 20 inch , remote could use turn tv , change volume , go channel . not number pad . bed king size , * * problem sleep . bathroom average sized hotel bathroom sink tub . problem first get room , slight smell . take realize clean carpet , still linger smell carpet cleaning material . smell fade within day . overall , * * happy hotel . would stay full price , pay , get excellent bargain . satisfied stay . include 3 photo room . see : -- -- 
 Feb 16 2005 	 Good Deal 	 like hotel . husband travel business really like fact could stay Manhattan full working kitchen . make much easy get rolling morning without stop somewhere breakfast . my complaint pull hotel , nowhere park car unload bag . would issue take cab . end park illegally quickly haul bag block hotel . parking garage around block & amp ; husband take car bag inside . big deal minor inconvenience . nothing fancy inside clean safe . 
 Feb 2 2005 	 Best Value NYC . 	 way 3rd stay Murray Hill East . quiet neighborhood , close Grand Central Terminal , lot room , clean safe . staff always friendly . nothing fancy , homey . 
 Jan 27 2005 	 good price 	 safe , comfortable hotel price . bad neighborhood . service great . Waldorf price , can not beat one ! 
 Jan 18 2005 	 Great Service 	 arrive late evening vacation weekend & amp ; issue reservation make online reservation service . staff duty courteous & amp ; give we room night meet need & amp ; straighten mix - up we next morning without fuss . room sizeable , clean & amp ; service daily . area town quiet evening & amp ; 3 block Grand Central , make easy get want go . room great value & amp ; service excellent . recommend positively anyone want clean , quiet , convenient place stay Midtown Manhattan . 
 Jan 17 2005 	 gem 	 great value mini - apt NYC . right block W. stay Mid Jan . take chance hotel & amp ; priceline rate 2 star . 's steal . one complaint & amp ; believe one complain . chance stay , suggest rate go . 
 Dec 26 2004 	 nice family hotel 	 look hotel offer space usual NYC hotel room . rent one bedroom room 6 day . room perfect need . plenty space , small kitchen , clean . also like location . last year right Times Square find crowd we . hotel residental area . plenty place eat . close enough theater allow we walk show . couple small negitive , enough keep we come back . 1 . one front desk person consistantly rude . 2 . Shower - would go cold minute hot water come back . minor wife not like . plus : 1 . space 2 . location 3 . clean 4 . rest staff friendly helpful . bottom line : look hotel amenity , fancy room , upscale service , place . look room come & quot ; home & quot ; long day walk , sight - see , shop , happy . keep mind furniture little date , good shape clean . bed comfortable . 
 Dec 8 2004 	 Great Buy 	 since place not website little apprehensive . turn clean spacious nicely appoint great location . 1br suite w/ kitchen . 4 block walk Grand Central Station near sort restaurant , market , bagel place , etc . staff polite efficient .... would definitely stay ! 
 Nov 9 2004 	 Fantastic Deal NYC 	 hotel great deal NYC room significantly large NYC average clean . ( 3 adult , 2 child ) book 2 room Orbitz request 2 double bed per bedroom . upon arrival not type bed available give we free upgrade penthouse suite great : 2 bedroom , 2 full bathroom , plenty closet , large living room 2 sofas , coffe table , dining table 4 chair , fully equip kitchen even roofdeck deck - chair . suite clean quiet roofdeck great extra normally not get NYC . would recommend hotel everyone look ample bedroom NYC reasonable price ( $ 150 - $ 200 plus tax . ) Murray Hill East close Grand Central Station shop Park Madison Avenues . bar Restarant fine , plenty dining entertainment option step onto street . 
 Aug 21 2004 	 great place stay 	 family four stay Murray August 16 - 19 , 2004 . get room $ 100 priceline.com . two kid priceline not guarantee accommodation 2 adult . room queen - sized bed pull sofa . charge we two kid , although threaten phone . front desk polite accommodating ! room plush nice furniture , carpet , nice kitchen range refrigerator . hotel near Grand Central Station Empire State Building . 's middle Manhattan quite fancy . would go back hotel minute -- price , can not beat ! 
 Aug 18 2004 	 Great Hotel 	 make reservation hotel research week , review strong . room New York 10 12 14 foot . travel girlfriend do not know well , do not want cramp tiny room , try unwind hectic day sightseeing . our one bedroom suite large first apartment ! corner room first level , be not view , size make . bedroom huge 2 double bed door , live / dining room large pull couch , seperate kitchen , toaster , stove , utensil , glass , etc . 2 tv room , bery easy relax recoup . also 3 large closet . motel motif be not great , furniture wear , room , care ! bed comfortable , hotel quiet , hear street noise . location 3 block subway , Central Station , grocery store one block away . highly recommend one ! 
 Aug 9 2004 	 Excellent value 	 spacious , comfortable , unpretentious , homey . great value family vacation long business stay . 
 Jul 10 2004 	 Nice Place ! 	 pleasantly surprised room . two one bedroom suite . also able tour Penthouse may rent next stay . lot room , clean , quiet . close everything . three block Grand Central Station ( subway ) six block July 4th firework celebration . firework back room sleep people get cab . grocery store nearby room full kitchen . laundry work room basement . friendly , helpful staff . internet busy internet anyway . buy New York One Pass . pay less pay admission attraction . 
 Jul 10 2004 	 actually impressed 	 actually impressed hotel price range . get room around $ 200 , less . pay $ 144 include taxis fee Hotwire.com . price range , get good spacious room homey comfortable . also get mini kitchen refridgerator , stove , pot pan utensill . addition , be great Manhattan location , mid town east side . prefer location relatively quieter conveniently close major point city . 's perfect hotel tourist strongly recommend . business traveler need special service ammenitie , may place may want book room fancy hotel bell whistle personal special treatment service . however , great thing hotel spacious , clean comfortable . something would need long tiring day sight seeing . personally , feel spaciousness important long day New York help unwind stretch well without feel cave like many typical tiny room New York . normally pay around $ 200 anyway Manhattan room small , price range get space space luxury New York see stay hotel . spaciousness make feel bit luxurious , consider space precious town . give thumb . 
 Jul 1 2004 	 return 	 get back NYC 6/29/04 stay Murray Hill , Package get Priceline , return Murray Hill 2 3 month . room big full kitchen . enjoy hotel , plus good location . stay late get late maid go home 4 pm , want room clean get 1 pm . even package fully pay get hit $ 6.00 day NYC flat occupancy tax check . plus bring cell phone 5 buck local call even 800 number . 
 May 27 2004 	 pleasant surprise ! 	 get fabulous deal priceline- $ 65 per night- thrilled walk room find much hotel room . get small apartment ! living room , bedroom , private bath , stock kitchen- comfort home ! add pleasant staff , nice midtown area fantastic view Empire State Building , trip NYC well even hope . definitely stay . 
 May 21 2004 	 home NYC 	 first stay Murray Hill corporate transfer year ago . exceptionally friendly helpful not change . be like apartment New York City . husband stay either us New York . room can not beat price , neighborhood quiet safe . time disappoint hotel full need room ! 
 Apr 14 2004 	 SUPRISE ! ! ! - BETTER think ! 	 six friend visit New York March 2004 delight find large room , friendly attendant great deal . price location Murray Hill East comfortable enough call home short extend stay . even nice enough hold luggage past check ready leave later day . one fall get smoking room ask non - smoking one specifically . back sure . 
 Mar 31 2004 	 bad hotel new york city murray hiil east suite 	 well begin hmmm ... bad bad service maid enter room permission disturb sign come ring bell happen whole trip management clue mention several time do not speak english like sleep super 6 motel well least bed much comfterable service way well murray hill east suites really need learn customer service skill badly ! ! ! ! manner privacy .. would not recomend hotel dog china ok horrific .... even save money rather much put expensive pure quality come ... 
 Mar 28 2004 	 hard rate ... good bad . 
 Feb 6 2004 	 ' ve love place year 
 Jan 26 2004 	 's really good deal 
 Dec 4 2003 	 Great Stay 
 Nov 12 2003 	 pleasant surpise ! 
 Nov 4 2003 	 good deal decent room 
 Sep 10 2003 	 Murray Hill East truly ` ` suite '' deal ...... 
 Aug 14 2003 	 room kind smelly ... like old sock ciggarette butts terrible cuisine 
 Jul 31 2003 	 Best Place stay 
 Jun 9 2003 	 Delightful Neighborhood ! 
 Sep 20 2009 	 Rispetto agli standard americani degli hotel ` ` ottimo '' 
 Aug 22 2009 	 muy buena ubicacion buen trato 
 Aug 12 2009 	 Excelente ubicación alojamiento muy cómodo 
 Apr 14 2009 	 très bien situé 
 Jan 11 2009 	 consigliabile 
 Jan 4 2009 	 navidade en nueva york 
 Aug 16 2008 	 Excelente ubicación . Perfecto para una familia 
 Feb 7 2008 	 Ottimo Hotel 
 Jan 24 2008 	 Einfach nur super 
 Oct 3 2007 	 Sehr gute lage und große Zimmer jederzeit gerne wieder ! 
 Sep 20 2007 	 Ottima sistemazione 
