awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Nov 30 2005 	 Mediocre experience could bad 	 stay W Chicago Lakeshore wife surprise weekend birthday . stay urban suite 20th floor fantastic lake view . probably redeem feature hotel . decor typical W , far worn around edge W stay ( New York Times Square , New York Court , Montreal ) . suite two small room patch together . basic room , would probably entirely different reaction hotel . corner dusty one door separate bedroom living room knock hinge . bedspread see well day towel downright ratty . toiletry ( Bliss ) great always . turndown service . promise Sirius satellite radio work maintenance man , call , fail fix throw towel . location alright , since first time Chicago , regret stay North Michigan Avenue , especially consider price urban suite could room Park Hyatt ( room actually big W 's & quot ; Suite . & quot ; tiny bathtub , shower run hot cold , generally sign physical plant need tune . on hand , breakfast Wave fantastic be pretty picky . try french Toast Sundae one smoothie . Bliss Spa look great wife say treatment pretty weak . nice touch like wine cheese , expensive poor treatment nice facility . , weak 4 ws stay , W still create atmosphere successfully . New York , can not speak highly enough W Court , fantastic , Chicago Lakeshore show many sign former incarnation day Inn . would say shop around consider rate steal . warning : standard room tiny . 
 Nov 26 2005 	 Mediocre Hotel 	 give hotel nuetral rating due 5 star hotel . great location far right Lake Shore Drive short 5 block walk Michigan Avenue . easy find car arrive find front hotel previous block kind construction take away first impression . able check early nice though staff helpful get we gear car travel 1 year old daughter . reception hotel tile , LCD screen , recess lighting , etc . the elevator smell like lemongrass , make want rush newly incorporate Bliss spa pampering , also make think might mask kind elevator odor bulding seem quite old despite mod finish . hallway dark red recess light smooth riverstone trough run side hallway . room modern nicely decorate king size bed comfortable lot pillow . request crib basic crib matress dissapointment experience heavenly crib available Westins . room dissapontingly small especially crib room , view Lake Michigan Navy Pier ( especially night light ferris wheel ) make . bathroom Bliss product shower one glass - with - no - door - rain - shower type thing . this hotel really cater kid . list con aspect : * small room mean lot bump bruise . mirror lean wall look great hard keep kid crawl behind . * nice knick knack put ( rock , glass twig inside , etc . ) quickly clear away take away & quot ; experience & quot ; chick decor . * bathtub . * room service meal kid menu ( spaghetti , mixed veggie , miscellaneous tip / delivery charge , milk ) cost stagger $ 28.00.we use hotel 's prefer babysitting service expensive good worth money peace mind . overall , nice hotel bad money . will probably try Westin Michigan avenue next time . 
 Nov 22 2005 	 disappointment - would return 	 return 3 day weekend get - away W Lakeshore Chicago - thoroughly disapointe ' whatever , whenever ' experience . the music loud lobby , could hear front desk staff shout check - in . great first impression . if light sleeper , hotel . room loud & amp ; noisy - traffic sound street clearly hear 16th floor . Walls & amp ; door thin - noise neighboring room & amp ; corridor wake we once . furnishing show wear & amp ; tear - room look rather tired , beat - up uncared . shower useless - weak water pressure ( tub either ) next time would stay Sofitel Water Tower Hyatt . 
 Nov 13 2005 	 whatever whenever ... whenever get 	 boyfriend loyal starwood brand rarely disappoint Westin hotel . unfortunately , say W hotel . try 4 W hotel around US , late W Lakeshore , disappointing experience . decor hotel funky fun . however , furniture carpeting dirty old . elevator smell vomit , find disgusting stain room . save grace lack lighting distract grime . room loud . stay 32nd floor could hear construction traffic noise . , wall thin could hear conversation adjoining room loud talk W staff late night . service poor well . arrive , place wrong room . tell room would ready 15 minute . hour later , go front desk idea talk . , could find anyone check bag staff busy hang around talk . force way two employee ask take bag . similar experience retrieve bag . note late check privilege -- lock room 3 pm . stop check - in desk get new room key . I ' m sorry say 4 4 poor w experience , will not stay W hotel . 's sad -- W wonderful concept poorly execute maintain . 
 Nov 4 2005 	 enjoyable stay 	 stay eight - year - old really enjoy hotel . funky decor , comfortable room , make stay enjoyable . place stay look traditional - style hotel . lack bathtub ( shower ) might downside . problem air conditioning room , head Navy Pier , within walking distance . 
 Oct 3 2005 	 sloppy service 	 check 3 night late September . location good - 's next Lincoln Park wonderful early morning run / jog less 10 min walk Michigan Avenue . the hotel room nice - roomy , typical W hotel decor , bathtub ! bathrobe pretty old look shrunk wash zillion time . complain promptly replace different , much nice brown white bathrobe . starwood Platinum member get suite upgrade full . instead lakeview room wonderful view , traffic noise come loud clear even 25 floor . however , hotel 's main drawback service , come nowhere near level one might expect pay US $ 280 night . breakfast one morning , croissant ordered take age arrive . , tell last one available , waiter go upstairs get . breakfast 10 may late , warrant sort comment . dinner room service one night comedy . pick Goose Island beer list recite . 30 min later tell unavailable , pick Stella Artois , list recite . Lo behold 5 min later replay early phone call . end Sam Adams . 2 day later order Smart Breakfast room service , request muffin substitute danish pastry . end muffin 8 pastry , get charge extra pastry spite waiter say would charge ! shall stay Westin Chicago River North future . 
 Sep 30 2005 	 nice miss finish 	 like & quot ; W & quot ; rarely standard old sister Westin . when check electrical outage front desk , staff squint read reservation credit card # use small candle ( sure would wrong flashlight would not match decor . ) colleague check ask see picture ID tell dark read ( N.C driver 's license- anything else ? ? ! ! ! ) room nice cosy coffee maker not work plug bathtub non functional . I ' ve stay 3 ws last 2 month , work hard style consistently seem stumble delivery 
 Sep 27 2005 	 nice view . bad hotel ! 	 stay celebrate wedding anniversary , hotel really single . would bring kid . hotel staff o.k . , nothing impressive , friendly . hallway room smelly dirty . stay 21st floor , view amazing , bed comfortable . door room bang scratch . hotel bouncer everywhere night hotel lobby turn club night . bottom line : can not get day Inn W Chicago - Lakeshore . 
 Sep 23 2005 	 change staff place well 	 get room near elevator call front desk change . lift noisy try sleep make bad ice machine also locate near elevator sleep first night . front desk obliging move we right away . room lovely , view great , location superb staff slightly hey work trendy hotel least try act cool .... seriously drop attitude , smile , say hello might get repeat business . 
 Sep 22 2005 	 work progress 	 ' ve read lot review , little nervous . first Air - conditioner 's ok . inform next summer new one . not help stay . seem like work inprogress . build Bliss spa hear newyork 's spot right . ' ve remodel gym , be fantastic . checkin quick smooth . book city view room two bed . upgrade lake view . still can not get nice every one . think any - hotel go small problem . like room dine cold . voice complaint comp . think give chance recover exceed expectation . already book next stay . I see consistant one staying need anything Daniel man call . take great care wife ! ! ! 
 Sep 19 2005 	 would stay 	 recently stay W business trip . first stay W hotel impress . find beds comfortable decor room contemporary relaxing . check - in area lobby little crowded , enjoy relax bar lounge . many nice touch set hotel apart other . group appreciate could walk couple block , pass Lakeshore Drive , walk along beautiful shore Lake Michigan . service excellent , . 
 Aug 8 2005 	 second time around 	 stay New Year 's previously , want update review . basically time around quality friendliness staff confirm , well quality restaurant bar ( great food drink top notch staff ) . concierge time around pleasant helpful , case last time visit . also , still find shutter separate bedroom bathroom odd off - putting ( although note someone call ' privacy freak ' another review mention ) , least end panel bed fall time . still think W fall bit short compare Ws , largely due building ( convert day inn low ceiling ) , lot work begin ( although location view great ) . couple off - put thing time around top floor bar close private party ( understand uncommon ) , fact appear full family reunion lot kid run around . perhaps timing , usually stay W chance escape kid play elevator run / scream around lobby ... overall , rate average relative hotel price range Chicago , average / below average W hotel overall . 
 Aug 4 2005 	 awful cheeseball 	 & quot ; stylish & quot ; hotel essentially bland office building dress Urban Outfitters - type 3rd tier mod . loud wall mount AC unit barely work . indifferent staff . the good part sneaky mini bar charge thing . small charge will not notice card unless scrutinize it . stay away .... 
 Jul 26 2005 	 Great Ambiance Dissapointed Checkin 	 reservation Saturday night stay room yet ready check promptly 3:00 pm . wait line twenty minute reach front desk . tell room clean & quot ; shortly & quot ; 3:30 check tell room still ready , ask speak Manager . take another 15 minute manager come speak , leave 15 minute room suddenly ready shortly 4:00 pm . enjoy ambiance W Lakeshore , stay several time sense urgency , detail , attention guest definitely decline opinion . efficiency front desk check seem quite poor , always seem encounter standstill bottleneck front desk . make relax getaway start frustrating . 
 Jul 25 2005 	 fabulous ! 	 friend stay W extended weekend . little concerned reading review , pleasantly surprised arrive . hotel stunning . staff friendly accommodate . gorgeous room overlook lake . would definitely stay . 
 Jul 21 2005 	 sexy hotel 	 highly enjoy stay hotel Saturday night . though hotel full elevator slow everyone nice friendly . read review know expect pleasantly surprised nice room , run . first thing start play cd provide mix cocktail . pool ok like chaise lounge , nearly fall asleep . back room use awesome shower look lake . dressed go Whiskey Sky cocktail , woop close private party . disappointment stay . go Navy Pier dinner Riva 's excellent Shakespeare Theater Second Cities Romeo Juliet . hoot ! back hotel watch firework room . ( see photo ) . great bed . good breakfast wave . quick valet . 
 Jun 29 2005 	 Eccletic Night Club Feel 	 W one favorite hotel stay . soon pull , bellman ( look like bouncer ear piece ) greet . walk inside , upscale trendy night club feel . half group able get room check time , great . hall way room even stone side . room beautiful trendy , little small , care Chicago . view would say bad whole trip . 11th floor stare onto side another building , attractive . breakfast little expensive , fresh squeeze OJ , delight . would highly reccommend anyone stay . also block away Michigan avenue Navy Pier . 
 Jun 27 2005 	 W Gets B 	 stay W Lakeshore June 25 . book Hotwire pay 170 include taxis room - a deal area time period ( Taste Chicago ) . hotel ideal couple young adult look fun . upon check , greet great service , sometimes lack book online . fast service use parking ( $ 39 24 hour allow come go ) . hotel recommend use service safe ( would agree lot locate lobby ) . take time friendly car parking manager , Dan prove beneficial allow we leave car extra hour need , without charge , service see other getting deny . bellman fast friendly take time show we everything room . agree hotel begin show wear - the curtain , hallway , pool area look pretty run - down . room great , private person , care open - air feeling bathroom , little embarasse anyone love one sharing room . bed great view city versus water still nice . great view lake see 7th floor patio area . check bar Sat night . think anyone family would thrown fact lobby basically turn bar night - people drink everywhere . get room problem , take special elevator 33rd floor bar . view great , round drink $ 18.the Navy Pier close , walk couple time beach also nearby . go Navy Pier look informal , inexpensive dining . head right hotel , will also find irish bar ( not recommend staff seem give minimal rude service anyone look like town ) 's Chipotle Pot belly quick lunch . long walk check shop Michigan Ave . , good experience luxurious imagine location great , not waste money full price especially plan spend time outside room . 
 Jun 27 2005 	 can not beat location 	 return home W Lakeshore Chicago please hotel . wife , two child ( 6 3 ) stay 2 night would stay ever travel back . although hotel appear cater different crowd ( single couple without kid ) staff helpful request even give child pack bunch game , yoyo water bottle upon arrival . one cautionary note : run hotel employee elevator ride go walk offer we water take . ask we room number could send " something boy . " think nice gesture find checkout charge water room even though never ask . good thing hotel location . short walk 2 block Navy Pier , 10- 15 minute walk Michigan Avenue 25 minute walk Millennium Park . take water taxi Navy Pier Shedd Aquarium Field Museum save walk 96 degree heat $ 12 round trip per adult $ 6 child 3 ; much less expensive regular taxi lot cooler . also free trolley system go city connection Navy Pier . problem may get couple different trolley get destination , free . bed comfortable , claim website " pillow - top mattress , 250 thread - count linen fluffy goose pillow " true . 4 star hotel room little small side , fit 2 double bed enough space chair window . thing ' care room fold window shutter wall bedroom bathroom ; open close watch spouse shower . however , could uncomfortable people like old child staying room . plus shutter ' give feeling privacy . swim pool adequate size hot tub . wife go bar 33rd floor one night tuck boy tell ' large impressive , ' nightlife . prepare pay parking bring car , rate $ 39 per night . also , internet connection room need another $ 15 per day . receive good rate Hotwire feel like hit jackpot . definitely 4 star hotel like stay . 
 Jun 25 2005 	 Decent experience 	 upscale W hotel , overall clean , comfortable stay good service . since midwest east west coast , staff seem friendly without much attitude . New Yorkers , welcome , deal much attitude daily . lobby bar great casual drink , upstairs bar full weekend little scene . yes , dark review state , not want contemporary attempt style , stay elsewhere . every w little bit dark ... 's part whole chic atmosphere create . 's fun different . want conventional brightly light , try another chain . husband Starwood member ' ve stay Ws past . happy two night stay W Lakeshore free via starwood point . pay full price , not know would exceptionally impressed , would satisfied . the view Lakeshore Drive Lake Michigan amazing . could see firework Navy Pier Saturday night . could ask well corner Chicago . easy access Mich Ave , shopping , restaurant . note valet $ 39 / night . think will downtown activity , not rent car take cab . must get car though , aware valet price . overall , experience average . 
 Jun 25 2005 	 Top Location 	 get back 5 night w lakeshore . having read poor review concern may made mistake . well certainly not regret . the hotel could not well location . the lake , park , pier , shop , restaurant , bar etc doorstep . the room clean . the bed really comfortable . the hotel bar food great . the staff freindly helpful . if really fussy could say place slightly worn i.e carpet hallway look bit fade wooden blind room bit tatty . but look fault fellow traveler pick this . I go sofitel absolutley fantastic 's twice price good location . I would stay again . Chicago great place . 
 Jun 6 2005 	 Good great 	 stay & quot ; W & quot ; hotel , expectation high . superior lake view room , realize city building view room ! upon speak manager exactly sympathetic situation , decide keep room , less rate . also book pet friendly room . not receive amenity ask . twice . although nice enough hotel , monumentally spoil another W hotel last year , perhaps expect much . 
 may 23 2005 	 W Lakeshore great 	 stay W Lakeshore last weekend . room beautiful . lake view truly terrific site . everyone W extremely attentive willing help we anyway could . next visit Chicago definitely stay W . 
 May 2 2005 	 w ok .... 	 spend two night W Lakeshore Drive Chicago . staff excellent . concierge helpful bellhop , doorman , rest staff great . call front desk ask something ( toothpaste , razor , etc ) 30 second . concierge give we Cover Charge pass vip pass ( wait line ) place visit night . restaurant suggestion great . hotel 's nightlife sort , Fri & amp ; Sat night pack people lobby . room however little rundown side . try make look upscale & amp ; ultra chic , black ceiling , modern furnishing , bamboo window covering , shower door , & quot ; lookout & quot ; bathroom .. could not pull . nice afar , close cheap feel . room smallI would happy pay full price hotel . make reservation Hotwire pay $ 99 per night . understand regular rate $ 250 - 300 . think good thing hotel service . room average 3 star hotel room . 
 Apr 30 2005 	 Funky yet accessible 	 go visit friend bring 2 year old . they kind we pool great . right across street ferris wheel lot fun activity . store restaurant close well . think perfect experience . 
 Apr 27 2005 	 Loved W Lakeshore 	 get back stay W Lakeshore definitely recommend ! WONDERFUL service , minute check check ( even allow late checkout make adjustment original flight arrangement ) . concierge great , suggest several restaurant ( italian place street mention another review , great , way ) make special reservation well . another guest bar say ask could find phone charger , even offer go purchase one ! w offer something everyone , 2 fun bar wire , W 's business center open 24 hour day ( $ 14.95 unlimited internet , faxing , copy dread hassle carry laptop airport ) . bliss product bathroom bed could stay day ... Magnificent Mile store close , 's lot . 
 Apr 17 2005 	 good family ! 	 stay w preteen teenage daughter weekend shopping sightseeing . location walk distance Navy Pier Michigan Ave . shopping . daughter really enjoy hip atmosphere hotel . pool great , family . water warm lot control child scream take pool . quiet girl pool . not want leave ! room small great view city . girl also love bath product . family , W work would stay . 
 Apr 7 2005 	 w great ! 	 ' ve stay W - Lakeshore 3 time bad experience yet . room nicely appoint staff helpful . room bite tight neat . 
 Mar 18 2005 	 Perfect couple getaway 	 contemporary , boutique style hotel . anyone expect Omni Hilton like experience disappoint . love dark , modern interior . & quot ; window & quot ; shutter bedroom bathroom romantic , privacy freak , might like . lot little touch make anniversary stay special : cd player contemporary CD , great pillow spray , comfy bed beautiful royal purple duvet cover , helpful staff . eat restaurant , come back next anniversary . 
 Mar 8 2005 	 can not please people time ! 	 's people complain room family four ? kid ! hotel room big ? grant , room little small average bad big city hotel . non - suite hotel room cramp w/ four people ! hotel ( W 's matter ) gear towards couple upscale client . 's Disney world . image keep - not get mad not homework hotel & quot ; not expect & quot ; . 's fault , hotel . also , way bathroom open rest room sexy significant shower ! two complaint - 's right Michigan Avenue walk half mile , suck February ! also , hallway little old could use touch - up . everything else great . service excellent . food A+++ . would recommend place anyone , long not family w/ ; ) 
 Feb 18 2005 	 w= ' wan na important ' get use hear ' no ' 	 stay w/ family valantine weekend . Room cramp dusty - 4 we problem dust wake next morning . only one restaraunt - serve 9 course meal - -- tell we take kid ( 4 & amp ; 9 ) BAR ! dinner ! kid ! call room service - ask hamburger - said & quot ; can not & quot ; ask Mac / Cheese kid - said & quot ; can not either & quot ; order steak split chicken ceasar salad -- & gt ; cost $ 73 ! ! - drink order either ! RIP ! food fair -- price outstanding.for level hotel cost bent backwards . go breakfast next morning w/ continental free breakfast coupon - make sure son protein special food due food allergy . tell we could not apply dollar value coupon get different meal -- continually hear & quot ; & quot ; everything . strangely follow night go Ritz Carlton dinner - bent backwards we .. take coat , show restroom , table , etc , extremely polite , clean beautiful place .. worth money ... W Lakeside ! huge disappointmentthey even want US call hq make sure husband 's unused hotel point redeposit account decide switch hotel . make attempt make thing right hotel would . 
 Jan 29 2005 	 watch credit card statement - extra extra chrage show ! ! ! 	 take staff conference Chicago stay W Hotel 11/10/04 11/13/04 . 3 room together . check , bill show additional $ 14.65 telephone use . everyone cell phone would use hotel phone call home ? verifying staff , contact front desk remove . receive credit card bill , yes , remove $ 14.65 charge , $ 35.10 charge show credit card bill ! contact W Hotel Lakeshore Chicago billing department ask happen , never return call . contact Citibank disputing charge . stay Starwood hotel time travel , even timeshare Starwood . far bad experience starwood hotel . would avoid W Hotel Chicago ! ! ! 
 Dec 3 2004 	 Comtemporary Excellence 	 W Lakeshore beautiful . yes hallway dark lobby , look contemporary style place . scent vanilla candle lobby invite . bartender lobby nice . evening not go lobby bar downstairs good time . always fair amount people lobby good time . room beautiful comfortable bed . lakeview awesome . lovely time W. completely recommend . downfall pool fitness center . nice . 
 Dec 1 2004 	 want ! 	 wife stay W - Lakeshore 3 night thanksgive impressed . contemporary decor furnishing throughout hotel great . lobby fun place hang whether wait friend , reading , drink . music always invite . room big well furnish . bathroom wonderful . the staff knowledgable Chicago friendly . wife anxious visit W hotel . 
 Nov 24 2004 	 Awesome ! ! ! ! ! 	 tell remodel Days Inn choose stay anyways . location hotel unbeatable ... everything right around corner within walking distance . stay spring 04 ' could not pick sunny weekend ! staff hotel great vibe even well . be look young , hip place stay , stay ! ! ! upgrade lakeshore view room one high floor . bar top awesome ! be look great italian food , eat MIA FRANCESCA dinner , love ! ! Hope help ! ! 
 Nov 22 2004 	 great hotel staff 	 family get back hotel want leave ! stay many & quot ; W & quot ; say staff wonderful . moment arrive geat . dainel check we ( early ! ) even offer free upgrade . give we nice lakeview room ( awsome view ! ) free . bellman Dave Thompson also nice . call we name , go get cab , offer we complentary ride destination 2004 Chrysler , water snak provide ! ! time leave also give we late check - out problem . travel lot , far good hotel staff ' ve ever delt . last least , room nice . 
 Nov 15 2004 	 bad W chain worth price 	 warn use Days Inn local Chicago , not listen , incomparable view lake . nearly 300 night , location fail miserably renovate room hotel 's early incarnation . basically take standard rectangular no - frill low - end hotel chain box throw fancy linen little shuttered window bathroom wall . throw hip bar lobby big glittery & quot ; W & quot ; curb , , voila , room 300 night . puhleease ! 
 Nov 9 2004 	 overrate overpriced pain ..... 	 stay recently disappointed . typical W. Dark interior , cool look lobby area bar , young employee , nice bed , premium rate ( $ 200 + ) -- problem : * average service * average fitness area * elevator small * enough elevatorsI trying leave hotel Monday morning let 3 full elevator pass could catch one -- 20th floor . way stop 5 6 floor wait guest could look shake head . one thing - strangely , appear around 75 % guest male . football weekend , do not ' know would cause . bad place stay , many other Chicago offer well service , well location , well value . 
 Nov 3 2004 	 ` ` W '' onderful ....... 	 first time stay & quot ; W & quot ; , experience Lakeshore , ever & quot ; w & quot ; stay , stay anyplace else . though room available early check - in , available regular 3pm check time , give room high floor result . check - in staff efficient helpful , room incredible -- view overlook lake Navy Pier . Suite ( fabulous bed ! ) hotel extremely clean cool general . know name immediately check , feel instantly like part really funky new family . concierge , think 5 different one help , inform give excellent advice . Jerry , Julie Sheryl particularly helpful everything power see ultimate & quot ; W & quot ; experience . thank staff & quot ; W & quot ; doormen management excellent service able work together team present one really enjoy . 
 Oct 28 2004 	 W Lakeshore Wonderland 	 great hotel fantastic service . love amenity . 
 Oct 27 2004 	 say DAYS INN ! ! ! 	 be still day Inn paper thin wall noisy elevator . stay away , stay far , far away call hip hotel . may great juvenile college type . not understand hype hotel . 's worth money . find MUCH nice hotel area 1/2 price , ' m keep secret ! 
 Oct 20 2004 	 absolutely wrong family 	 absolutely agree review say hotel family . even though 5 year old love , sort & quot ; creepy . & quot ; black pseudo - asian decor pretentious . vend machine entire place . want pop , go bar order room service . want spend weekend downtown without go back train night . next time go would well stay right N. Michigan Ave . Part package & quot ; spectacular & quot ; lake view . put we eighth floor could see build . schlepp lobby change room . course , room available time . I guess would fine hotel & quot ; hipster doofus & quot ; .If regular person family avoid . 
 Oct 18 2004 	 Great Hotel avoid room elevator . 	 come celebrate daughter 's 12th birthday . die stay W ! hotel great except ... locate room right next elevator night long sound like airplane fly close overhead . also sorority party go hotel awoken midnight 3 young party goer . needless say , room seem lack good sound proof system . Decor sleek trendy service good . wonder give prime room 3 twelve year old rather sophisticated partner ! know maybe ' m paranoid ! would stay , request room far elevator shaft . 
 Oct 18 2004 	 Best Downtown Hotel 	 stay W Lakeshore wonderful . room fabulous well courteous staff make sure stay excellent . hotel 's modern room awesome ! would recommend hotel friend ! 
 Oct 15 2004 	 ` ` W '' onderful ! ! 	 love place ! great reception check - in friendly informative bell staff heavenly feather bed outstanding view lake ! ' ve stay many different hotel Chicago past , make point return & quot ; W & quot ; ..... Lakeshore City Centre ! 
 Oct 15 2004 	 great ambiance ! ! 	 Staying W Lakeshore great experience . staff accommodate friendly . view room incredible decor trendy . would definitely stay hotel recommend friend ! 
 Sep 28 2004 	 Great Place 	 place great ! live Chicago want get away city friend town . check Friday around 2 pm . vibe great ! music , lighting , botanical VIEW ! see Lake Michigan lobby call , living room . room great view lake room awesome . love bed calm décor room cool . morning rent bike hotel go lakefront . friend love view city lake . bike rental unexpected nice touch hotel . guess make sense lake . bottom line – definitely search W Hotels travel . staff great . think atmosphere work make happy pleasure deal . think hear " Welcome Wonderland " every one time leave . Kinda cheesey guess need gimmick . think really get . comfort cold , fun professional , resort urban . hat ! ! ! ! 
 Sep 28 2004 	 Love bed 	 love hotel ! Everytime ' m Chicago stay . lake view room worth extra cost , be nothing like take shower look Lake Michigan . bed , like w bed world . staff encounter friendly , willing give restaurant recommendation outside hotel . layout room fantastic , lot cool , dark color add atmosphere ! drawback might 're travel kid , be really hotel family small child single person not mind . 
 Sep 20 2004 	 cool hotel 	 come back 3 - night stay W Hotel Lakeshore . classy place , hip enough not feel place 25 year old . lobby really neat chair quite bar scene evening . room nicely appoint , lot pillow neat couch . accomodate change linen synthetic . able go room immediately , even though 10 ( course Thursday could anomaly ) . beef concierge service little , not seem interested help we find place eat special night . not expect lot staff , feel bother concierge ( take away personal phone call ) . , would recommend stay . nice hotel . 
 Sep 8 2004 	 rude employee ! 	 work , travel quite often , especially chicago . like try different hotel whenever ' m chicago ' ve stay W - lakeshore think employee pretty rude really like bed ambiance room . therefore , friend come Germany decide meet Chicago stay W hotel one night week since fly city around chicago 3 night weekend . try reach hotel since checked first front desk personnel answer phone REALLY RUDE keep tell guest friend 's last name spell last name since reservation also mine long last name cut middle transfer reservation ! ! ! ! ! reservation lady not quite understand transfer able locate reservation . call hotel back connect room , person keep tell rude way guest name realize hear name correctly . seriously , hotel caliber , afford employ courteous polite employee ! particular hotel employee , really not get problem - not like work hospitality , QUIT ! second disappointment ' ve past 3 day w/ Starwood hotel . one Westin - Century Plaza Spa LA . wonder not many point SPG account million Marriott Rewards . yes , cancel second reservation weekend , shortly . plenty nice hotel Chicago ! 
 Sep 7 2004 	 Perfect spot weekend exploration 	 grow Chicago go back often visit family . half decide surprise family show family reunion , pick W decide play toursit day . first , must say , downtown Chicago make huge comeback since live 10 year ago . Millenium Park amazing Michigan Avenue thrive . w close everything , yet locate quiet spot lakefront . service perfect - other learn treat guest . bed inspiration pillowtop mattresse high quality cotton bed . really cool furnishing clean . definitely place come back . 
 Aug 13 2004 	 place ! ! ! ! 	 fantastic hotel ! ! ! worth every dollar spend .... even overprice drink two bar ! July 23 - 25 Manchester United soccer game . walk lobby fresh airport meet three gorgeous woman imaginable .... employee hotel . bar lobby load beautiful woman . awestruck five - star quality room give .... fantastic view well . Whiskey Sky Bar top floor great lobby . place always first choice Chicago . well - locate tourism , shopping , good , nightlife ! one note , hotel faint heart .... like W Hotels , be young ( young heart ) and/or hip like hang real , real late . love ! 
 Aug 13 2004 	 Great Views Smarmy Pool 	 like W Hotels , Lake Shore modern & quot ; hip , & quot ; incredible bed . location Lake Shore drive excellent view Lake Michigan , Navy Pier city skyline ( will not mention & quot ; reclamation plant & quot ; ) . room 29th floor overlook lake , excellent view Navy Pier nightly firework . decor somewhat dark , ceiling paint black , lot interesting light entire wall window . bathroom inside window wooden shutter look bedroom , shutter however could open bedroom eliminate privacy . whiskey bar 33rd floor need facelift . extremely dark , light votive candle , burn hole leather bench chair , copious spider webs outside windows ( get ? ) . prepare sticker shock , plain label rum coke $ 8.00 . be flush cash plenty premium spirit $ 600.00 bottle . 7th floor work room , indoor pool outdoor lounge area . louge chair leg cut may well pad concrete . would not get pool bet , water cloudy smarmy looking , slimey brownish growth bottom . w pet friendly , & quot ; litter box & quot ; drink bowl right front door area mark bone shape sign designate business . Michigan Avenue shopping four city block away , easy walk distance . Turn leave 3 block Chicago River , doubledecker sightseeing bus kiosk architectural boat cruise . great restaurant require cab ride plentiful . mixed review staff , top & quot ; ' m help enjoy city , & quot ; disintereste non - helpful . overall , hotel great not look closely . 
 Aug 9 2004 	 Awesome hotel pricey 	 hotel amazing . bulleted comment good good . the good : - location awesome . walk Navy Pier Michigan Ave . short cab ride away Chicago attractions.- zen decor beautiful . room beautiful . ask upgrade suite kind enough accommodate we , even weekend ( may helped ' m Gold Starwood member , not know everyone ) .- service every single staff person amazing.- exercise room pool nice.- view lake nice . city view room not great , cheaper.- bed heavenly Westins , W 's sheratons.- bath care product Aveda awesome.- three hot swaki bar Chicago . bar top floor see see bar Chicago . pretty cool stay happenin ' place . the good : - able use starwood point stay else not know could afford room . everything else pricey ( i.e. , park $ 39 / night , find go rate hotel public parking area ) - can not think anything else not good hotel . know go pricey , well worth amazing hotel . 
 Aug 8 2004 	 Great Hotel 	 love W. reviewer say bamboo blind let much sun check behind . sun shade completly block sun . hotel clean bed well . 
 Aug 2 2004 	 nightmare ! 	 want enjoy visit Chicago , avoid nightmare hotel . run like dormitory frat house attach nightclub . long line night GUESTS use elevator , be supervise rude / thug - like bouncer . couple room next scream 2:30 . room across friend ' least 6 people , start rampage 4:30 . People go drink night one bar another . management marginally responsive / apologetic . disgust , check one night , go Fairmont , much big room much less $ -- welcome refreshing change ! would highly recommend Fairmont . 
 Jul 29 2004 	 dissapointe 	 travel agent live 30 mile outside downtown Chicago year ' ve many opportunite stay downtown different hotel various reason . choose hotel would hear many great thing W property client friend , think would perfect 4 girl look hip , trendy hotel night . first impression upon enter hotel funky - fun yet somehow tranquil minimalist sort way . staff service receive upon check , get direction club check - out great par expect treat hotel caliber . disspointment come property room . room small - not much room maneuver end bed counter hold tv , mini bar etc . light awful - bathroom bedroom . try put makeup evening complete joke leave ask much could not see . color scheme room not make easy either , since everything do dark brown , black cherry , black etc . ceiling even paint dark brown , certainly not help reflect light . one positive thing say room beds wonderful say . amazingily soft luxurious - would probably good night sleep hotel bed would ever except fact bamboo weave mat shade cover window absolutely nothing way block morning light . needless say get bed 5'am not happy woken bright sunshine 830'am . would recommend hotel people kid , anyone look spacious well - light room , late night people unless plan bring sleep mask block sunlight . overall comfortable , pleasant stay downtown Chicago highly recommend Hyatt Regency , Swissotel , Sheraton , Embassy Suites , Hilton . 
 Jul 22 2004 	 hotel fun . 	 fun hotel . firstly , child treat perfectly : game , crib , child menu -not paper whatever / whenever- . secondly , staff though bit condescend like extra 007 movie : whole place amuse humorous reformulation ( bellman welcome ambassador ) , original decor . relax place different . room big comfortable . service fantastic prompt . will go back ws anywhere . 
 Jun 28 2004 	 much 4 less 	 well check 6/24/04 suprise room small . thought go to big . state online could get rollaway bed room come chiase lounge lie . double room occupancy 3 people share ! sink stop arrive honestly believe comforter not change daily . 3 night stay will not back . charge reg . 435 night , luckily use govt . discount wich make room 150 night- still will not back ! 
