great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 May 12 2006 	 Cinco de Mayo OLE ! 	 great three day stay W. upon check recognize return guest receive beautiful corner room 21st floor delightful view Bay Bridge . room spacious two 2 person couch large hassock . plenty room entertain family . breakfast dinner hotel 's restaurant & quot ; XYZ & quot ; treat . great service wine list . order price fixe Artichoke Dinner wine impressed meal balance , flavor presentation . family also enjoy meal . Sunday morning treat niece sister law massage Bliss Spa enjoy experience . hotel staff highly motivated make sure guest happy stay . hotel expensive , deal available hotel 's web site . definitely back . 
 May 5 2006 	 well okay ... 	 really want title review & quot ; W stand ... & quot ; could not find appropraite word average begin W .... time arrive hotel time leave comfortable . that s it . our taxi draw first thing strike walk pleasant smell , cool , dark atmosphere . say cool not mean Fonz sense . crowd & quot ; age businessman & quot ; . mean temperature cool refreshing . check highlight first major problem . Parlez anglais ? partner British . speak clearly , funny accent colloquialism be yet everytime approach front desk find repeat everything say . else encounter problem except hotel . think not listen first time round .... needless say tedious make checking process draw out . our room seventh floor , pool area . bad location sound proof good . room two double bed , large tv cd player etc , coffee maker selection Tazo tea W blend coffee , large desk area comfy day bed . nice touch ; quality dressing gown , Bliss spa product bathroom ( Maids replenish generously ! ) , good selection pillow bed day bed window relax on . it comfortable complaint . ok , phone not work properly . protacte exchange front desk , repeat repeat repeat ask , fix within day . now rest hotel ... we want check gym pleasantly surprised . emphasis cardio . 4 treadmill , fit tv screen , couple bike , crosstrainer selection free weight , yoga mat ab ball . jet lag mean 5 am . seem get busy 6 am time visit carefully . Bliss adjacent gym ( fourth floor ) . big Bliss fan try find massage appointment available not . feel like spend $ 120 facial make sure book ahead . not eat hotel dinner breakfast XYZ ( gettit ? ) restaurant one morning . thoroughly underwhelme . order cappuccino come cup describe dolly sized . fruit salad okay anyone chop melon , drizze Vanilla yoplait top charge $ 13 + can not ? mentally decided never bother .... aside less format buffet outside XYZ look well . muffin , cereal , bagel barista hand deliver quick breakfast . the hotel locate decent area . lot casual dining option nearby , walk Union Square less ten minute feel safe round . plus art lover love fact Moma next door . now rate . w good hotel - great . charge high price bill cool hotel . fact , miss mark . feel probably top game 5 year ago . convention crowd move coolness quotient move . 
 Apr 16 2006 	 Comfortable Hotel Wonderful Service 	 W provide comfortable accomodation , reliable friendly service along extra touch throughout stay . ( Everything Hot Cider check - in fortune cookie night ) . room small , yet pricey . cd dvd player include room easy use wonderful . hotel offer complimentary use cd dvd stay via Front Desk . pool ( Refered & quot ; Wet & quot ; ) small , yet clean . Excercise Room ( reffered & quot ; Sweat & quot ; ) recive equipment upgrade stay . overall , great service comfortable room yet pricey . return next time San Fran . 
 Apr 11 2006 	 April 2006 	 recently stay W SF business . stay time one pleasant stay . staff friendly ... bit concede side bed wonderful ever . gym recently upgrade new state art , touch screen cardio equipment . retain free weight , get rid universal gym . stay nice . would stay . 
 Apr 4 2006 	 Style Quality Great Hotel 	 W place San Fran . ultra - hip XYZ bar hottie front desk , place rock ! staff look Gold Card prefer guest status immediately put corner room , view Golden Gate ! ! room ultra - comfortable fantastic bed , cool desk , little sofa window , big tv . room perfectly control environment , nice temp dry . gym hip glass ceiling pool plenty cool music . quality exceed expectation . example , Sundays good day print document since nobody open business center . concierge dude send email print cost . get back dinner bottle Sonoma red waiting apology printing problem . beat ? free print free bottle CA 's good ! ! wow ! ! way cool ! ! ! bar host ton people worth watch . even drunk TransAmerica martini hoot . stay enjoy , be worth , be good ! 
 Jan 22 2006 	 fantastic home base San Francisco ! 	 stay many SF hotel choose W trip want soma district . start finish stay superb . I arrive early flight get hotel 11:00 . rather take cab use BART time SFO . take 30 minute , cost $ 5.15 get Montgomery station 's 2 block hotel . even though arrive early still problem get room right away place amazing Bay view room 25th floor . the room typical W although fairly large . list amenity room substantial . Bliss bathroom product , tooth whiten kit , mini stereo Sirius satellite radio , big tv , big work desk , comfortable window seat fantastic room coffee name . room spotless also quiet . for reviewer mention price parking mini bar item , simply true hotel prominent location big city like SF . walk around area notice hotel post $ 40 parking . for breakfast day set amazing spread XYZ . morning would grab jumbo muffin fresh fruit $ 5 , bargain hotel price , make coffee room enjoy read paper distract beautiful view . the w nice feel , extremely comfortable friendly . last day need business center happen close MLK day . problem , front desk send someone unlock give access within 2 minute request not even charge ! staff professional , friendly willing help . find favorite hotel great city SF look next time return . 
 Jan 14 2006 	 exactly would expect W 	 great location ( next door moma , downtown commercial - area great San Francisco residential character ) , small room great bed shower head , helpful concierge restaurant reservation direction . understand might feel place wear black 30 - something , perfectly good experience - people 30 - something wear fair amount black . avail additional probably overprice service , minibar , spa , parking , therefore satisfied value receive . 
 Jan 5 2006 	 10 10 check - out .......... 	 would give hotel 10 10 unfortunately , treat horribly upon check - out . receive offer help understand suitcase break shuttle wait downstairs . female concierge rude unhelpful lady front desk not well . check , male whose name forget kind upbeat . bad not check out . I like spa bright clean receive massage / facial light dim . think overprice however . I like room view also love entered room , music box playing ... love CD much buy it . room service fast efficient delicious well . the french martini XYZ great . overall , nice time stay W . 
 Dec 29 2005 	 great time W 	 husband recently stay W hotel 5 day . SF wedding see family friend holiday . awesome time hotel , problem whatsoever staff ! gracious friendly , go way help we ask . it bite trendy think cater young crowd .. like , though ! course , like hotel , careful grab bottled water next bed anything minibar . find plenty place area grab drink lot great place eat nearby quick cab ride away . girlfriend spend time bliss spa locate building , although expensive , great experience well . also dinner breakfast XYZ restaurant food yummy , . , hotel pricey , really not think will find much less city . think quality worth . 
 Dec 28 2005 	 Gouge - A - Rama 	 stay W San Francisco December 17th 26th . first stay hotel , previously favorable opinion . anymore . let us begin shameless manner W San Francisco charge incidental . kind nasty hide surprise . one example $ 10 $ 30 & quot ; package handing fee & quot ; bring box package hotel loading dock guest room . include FedEx package . 's $ 1 per page incoming fax fee . understand recoup reasonable sum ink paper even make reasonable profit rate could purchase fax machine duration stay . seasoned traveler know minibar unholy rip - off . W San Francisco give new meaning term . price list next snack goody break cost , must look closely fine print ; 20 % & quot ; restock fee & quot ; tack number list . easy miss immoral business practice . awoke , thirsty middle first night , grab water hotel conveniently set next bed . sure , ' ve get fancy artesian water room , , would expect reasonable premium . well , W San Francisco seem problem charge guest $ 8 bottle ... 's right folk , eight buck lousy 12 - oz . Bottle water . night want stiff drink bed . saunter W bar two long island ice tea . total disbelief see bartender concoct drink consist 90 % sour mix , 5 % Coke , maybe 5 % alcohol $ 10 . exaggerate one bit . totally undrinkable . parking ... , understand need charge lot . , location prime real estate ' ve get valet staff pay . garage area charge around $ 250 month self - parking . garage street charge $ 22 per night . , hey , $ 30 $ 35 would not bad full service valet guy . . W San Francisco seem think $ 90 every two night perfectly okay charge people parking . oh , careful decide park property use valet run room five minute hotel tack $ 14 plus tax room bill . reader may think & quot ; yeah yeah ... guy upset spend money could afford expensive hotel . & quot ; wish true , would far less problem . truth , find many hotel 's staff rude unresponsive . not get wrong . many helpful friendly folk . find handful people work front desk reliably slow unfriendly . notice pattern isolate incident . oh , remember package delivery fee , $ 1 fax page ? let us talk moment . send FedEx package Saturday delivery huge expense ensure timely arrival . arrive Sunday night ask upon check - in . three different people insist package hotel repeat request locate . could contact shipping clerk company Monday morning prove package fact arrive Saturday able retrieve . go faxes ... could get deliver repeatedly badger front desk staff , would send . one instance , fax sit downstairs nearly two hour bring room repeat request . overprice spotty service . 's enough keep away good long time , discomfort guest room really put whole experience top . mattress hard rock . five day , companion develop deep dark ring around eye inability sleep . ' m sure isolated room hugely disappointing . would think money generate $ 8 water bottle sale $ 45.60 parking fee annoying nickel dime fee would least keep bed good shape . pool area need facelift dirty , wear pool cushion , treadmill old base model . bottom line , hotel terrible value . there many great hotel San Francisco . waste time money uncomfortable W ? 
 Dec 13 2005 	 spa look like hospital 	 W Hotel first choice accomodation San Fran , get great rate thought would give try . stay W Manhattan , know expect . summary : positive side : gym nice cool music pump pool ( indoor heated ) . clean tvs alot machine . free cold water nice towel . - room expect W - modern bit worn . tv flat screen . bathroom average . bliss product room nice touch.- doorman front guest employee upbeat professional . room service ok pricey . - bad thing hotel eery Spa . book massage first night get check want run way . entrance Spa light hideous cold colored light - flouresent . mood rockin cold . music technojazzy - slow spa like . decide run way - keep open mind get massage ... locker room bad high school locker room - chilly brightly light , , COLD . wait room COLD , massage room light shine eye .... place huge hospital vibe . spas world place WIERD . talk feel like dressing room light make look bad . hard relax . massage good - would never go back . if 50 think would hate . lot people wear black hang lobby . stay get great deal . 
 Nov 21 2005 	 Perfection ... 	 visit San Francisco simply outstanding stay W Hotel . great location , however recommend take cab , oppose parking hotel . staff nice prompt every need , room clean modern funiture stock Bliss Products Bliss Spa downstairs , must . order room service weekend stay good Duck would ever taste ! even wine good . back visit wonderful hotel friend family . 
 Nov 7 2005 	 stay hotel like rude people small room 	 recent stay w confirm fear previous review . upon arrival long flight find room pre pay available total attitude tell idea would . wait 3 hour room give small room one pay ( believe call 5 star hotel shower bath ) . stay brand new St Regis 1 block hotel ! never staff total attitude , room small much well hotel price ! 
 Nov 2 2005 	 nice property helpless front desk 	 two room family last week October 19 - 23 , check desk request upgrade ( platinum member ) , none available , next ask near elevator , tell problem . room evening , settle , hear loud rushing sound , realize assign room next elevator shaft . ( backside shaft , door apparent ) think maybe bed , away elevator ; maybe ' loud , wrong . go front desk reassign room , young woman assure property sell could accommodate request , say room design quiet . mention welcome come listen . finally request speak manager ; well next terminal . he tell , room , circumstance . get nowhere , assure would handle next day & amp ; move . next day , leave day , pack 7 bag , set conveniently door bellman . 1:00 call hotel confirm arrangement make . front desk record happen idea talk . go whole thing , assure make change , move we another room key front desk return . when return evening , go front desk get new key , ' hand key exist room . record movement , all . so summary , staff friendly , lip move , nothing happen . ( welcome amenity ) 
 Nov 1 2005 	 50 something crowd 	 drive San Francisco follow direction recieve hotel almost miss .. & quot ; W & quot ; sign parking garage difficult see . valet parking pricey $ 45.00 night attendant prompt friendly . hotel find lighting ... soft make we 50 something lady look pretty darn good ..... right read something ... room small 2 ( comfortable ) double bed , window seat ( ok ) bathroom glass door ? light room & amp ; bathroom soft nice nice mention reason . bar / lobby / livingroom whatever call fine we . dessert drink xyz good pricey . try make appointment massage book . pool exercise area small . not bring book read relax inside pool comfortable chair . staff throughout hotel friendly helpful . area night make we midwesterner little nervous go . last least thin wall noticeable 3:30 a.m ........ probably go return guest & quot ; W & quot ; anywhere , sorry . 
 Oct 23 2005 	 stylish comfort 	 Corner room stylishly decorate appoint masculine style . comfortable relax . 
 Oct 20 2005 	 nice price ! 	 arrive hotel around 2 pm tell room ready due heavy load night ; give bottle water ask return hour . return 90 minute later room ready . check - in quick reasonably efficient . room nice modernist fashion good view , Bay Bridge distance . room small however , especially $ 300 / night . not mind dark decor , especially hall almost gloomy , might find bit much . nice gym facility pleasant staff . first W visit nice inclined stick Starwood property future . 
 Oct 13 2005 	 Chic overprice 	 stay many hotel San Francisco , room get W seem cramp . & quot ; Chic , trendy & quot ; theme window seat make bearable . decor fixture great . use Starwood point stay hotel try . weekend stay , busy weekend SF , rate standard room would $ 389 / night pay . unfortunately , worth . enjoy service , view , location , XYZ restaurant , feel well hotel city even well price . ask corner room , claim none available . perhaps corner room would changed view room since would spacious . fairness , large hotel sf small room , corner room change entire mood stay . like pool hot tub . small , treat since many hotel SF not pool . like glass ceiling . Bliss Spa ( operate independently W , inside hotel 4th floor ) seem unnecessarily snooty . overall nice stay , due small standard room size price , will not stay W . 
 Sep 29 2005 	 Trendy stay San Fran 	 stay W San Francisco late September 2005 . upgrade corner room 24th floor - amazing view Bay Bridge - awesome sunrise sunset ! .As fan W chain room not disappoint , soon music play cd player sleep like Babes soft bed , duvet ! evening Lobby area fully buzzy people lounge sofas ... struggle find quiet place get coffee recover long journey . the concierge extremely helpful , whatever question - fill rental car fuel booking restaurant pass cable car . if parking , suggest drive around block moma parking ( right onto 3rd , first right ) - less half price Valet parking use parking lot ! breakfast hotel one morning , over - fussy we ( although husband rate poached egg ) , ask direction Mels drive diner block away . the free Wifi access lobby great resource . would recommend W , although sure trendiness centralish position worth additional cost ! 
 Sep 23 2005 	 W - o - w 	 reading review decide stay w trip San Francisco . trip amazing W big part that.-Location : say location location location . walker like we , find almost everything within walking distance . walk Ferry Building pleasurable provide & quot ; towner gawk & quot ; building around Market St . walk sbc park watch Giants also pleasurable ... especially win game Dodgers ! not walk , want go Fisherman 's Wharf like , block away Muni ( include fun historic F - Line take ) bart.-staff : bit worried , never stay place like read review , staff would snooty would smile . not know fact wear Giants jersey , staff warm , proficient helpful . get way check say room we already . turn 31st floor . get turn double bed instead king reserve . problem , call front desk everything take care kind word smile . service not stop . get blister walk bad shoe ( yeah know fault ) , front desk send band aids post haste . amazing really use Super 8 something not use service . everyone staff nice . talk clean crew even . people not fellow guest ....... -Hotel Style : first thing notice amazing plant lobby throughout hotel . real flower , big healthy really nice vase . alone impress we . reviewer mention , techno music play lobby feel add & quot ; cool & quot ; hotel . also get drink hotel bar seem quite place go Saturday night . plenty people mill around good atmospher many feel like bar first hotel second . add blue light contemporary styling art nice place . -room : room overly big cramp slight . bed amazing . sheet high thread count pillow comfortable . add view Bay Bridge window seat wonderful . also cd / dvd player amenity would expect place like . bathroom nice , shower / tub combo nice fixture throughout . one thing notice quiet 16th floor . talk total silence . could not hear traffic . could not hear people , side . new experience reason alone let alone everything else . all W fantastic experience . never see patron establishment , W change may end go W San Diego Seattle . 
 Sep 16 2005 	 Woed w 	 get quite fan W brand . friendly staff check - in room upgrade huge corner room good start . fresh modern decor W hotel suit sense style . bliss product bathroom enhance overall package . I not use restaurant bar since habitually try use local eatery . all good hotel within easy reach central San Francisco 
 Sep 12 2005 	 Loved ! 	 stay W Hotel San Francisco 4 night love . nice . definitely different feel . 's modern comtemporary . feel warm inviting . staff wonderful accomadating . room great . clean bed extremely comfy . complaint dinner menu XYZ restaurant not really anything like waiter little rude order dessert go . also , not vend machine hotel . mini bar price high go store stock snack drink room . 
 Sep 10 2005 	 W = Wow 	 stay 5 night late August , give corner suite 19th floor lovely view bay bridge harbour use starwood point room free . room large comfortable , usually heavenly bed bliss bathroom product great . the room quiet noise people comment get lift bar area always busy noisy evening . dinner restaurant twice enjoy meal time . breakfast go bar get fresh fruit salad , muffin fresh juice $ 5 , bargin , every morning . only 5 minute walk shopping area right next door art museum , great location . 
 Sep 6 2005 	 one good sleep ever ! 	 stay hotel August 25th 29th . navigate way BART ( $ 4.95 per person , oppose $ 16 per person shuttle , approx $ 40 taxi ) hotel , W easy find . close BART station Montgomery , two block W. hotel chic . lobby day double DJ lounge night ; not mind music whatsoever . front desk staff friendly , able meet request early check - in . room small quiet , comfortable meticulously clean . practically melt bed , make alone worth stay ! shop far away , though walk Union Square six block . view room spectacular , relax spend evening sit alcove reading book look San Francisco skyline . would definitely make another stay W San Francisco visit . 
 Aug 29 2005 	 Loved hotel ! 	 minute walk hotel , feel relaxed . check one line surprised hear people wait line bit . staff front desk bit slow little less attentive one might like vacation atmosphere immediately put ease . regular corner room ( believe corner room slightly large room ) quite big , big desk chair , entertainment unit , big bathroom , large comfy bed even little area window lie gaze onto San Francisco . floor light dimly music play . hotel restaurant delicious lunch service excellent . Bliss Spa 4th floor recently add great addition . pool gym area clean nice well . perhaps problem not well block San Fran . several time arrive hotel night homeless person would stand right outside hotel actually come open cab door ask money . area around hotel night crowd . think staff person ourside W Hotels . overall , relax experience . although cheap , think worth money . 
 Aug 26 2005 	 great trendy hotel sub - standard service 	 hotel fun trendy , main reason book . lobby area elevator area light like nightclub hip music pipe . bed delightful indulgent . book special Bliss spa room package suppose come variety free goody include 2 treat munchie box , 2 free drink coupon , Bliss Face Mask pack . check , mention make freebie , assume would room . not call 3 time send . time call , person answer idea talk . seem like great deal lack communication among hotel staff . credit card charge 2 free treat still clear . hope not much trouble . concierge polite helpful though . service little spotty . 
 Aug 24 2005 	 Service Great Room mediocre 	 check - in : Dad arrive W 4:30 p.m. wait 2 - 3 person line , three staff member check guest . Elisa check we give we 12th floor & quot ; Wonderful & quot ; room Bay View . lobby : lobby call Living Room . living room fill cool sophisticated furnishing contemporary art . night , Living Room fill mass people bar Living Room . feel special walking crowd go elevator . elevator Hallyway : elevator dimly light cool , fun way . elevator quick large . get elevator , carpet read Welcome ! . Hallway light blue light spotlight art . hallway smell like new carpet . room : book 2 dbl . bed , non smoking , wonderful room . first walk room , little area bench 3/4 full length mirror/ bathroom leave . continue walk 2 dbl . bed cram room . build Tv cabinet feel like would fall ! Desk leather chair , nightstand San Francisco Magazines W Hotels Book . Desk feature Bliss , spa catalouge , hotel directory , paper pencil . end room window large window seat 4 brown square pillow 2 neckrole pillow . dark blue throw window seat . coushin stain white red staine . suggest recover . bed be comfortable , sleep like rock . 4 pillow , comforter brown duvet cover . duvet cover be stain pretty gross . headboard be really cool : big slab wood stop ceiling . long morning sleeper , wooden shade keep 3/4 sunlight . 3 complaint : 1 . window OPEN . 2 . window be terribly dirty hard see 3 . need keep shade window , try move middle one center seat , window seat unuseable . want move outer wooden shade , be 2 wall sconce side could'nt put wall . agree previous reviewer furniture little shabby scrathce probably need replace near future . artwork black white picture San Francisco . 27 inch tv , dvd player , cd player , W CD , mini bar , terribly overprice . carpet brown alittle wear . bathroom : bathroom pretty awesome ! sink faucet come wall sink metal . shower head great ! almost massage . shower curtain clean W . 1 complaint : door glass slider do not work well . glass opaqe rib could see easily . also not slide easily . robe great 100 % cotton . sweat / Wet : W 's pool fitness center . sweat : fitness center look pretty well equip alot machine quality machine . wet : pool dissapointing . not WET bottom not big deal tiny . family 2 kid seem take whole pool ! tile around pool also outdate . whatever / whenever : service guest pretty efficent . call ask extra towel b / c get wet be 5 minute ! great ! rap : pretty good time SF W , perfect . room need change little bit pool update . people say dark hallway hide dirt wear noy feel way . 3 star hotel experience . come back SF , would maybe stay , probably Four Seasons street . one reccomendation : go METREON ! ! movie game ! 
 Jul 21 2005 	 expect 	 W hotel SF pluse : comfy bednice bay bridge viewnice staff - area hotelgood bathroom amenitiesgood showerease check check outminusroom service spendy spottyparking expensivewe like W - expect surprised people complain service treat well , staff friendly relaxed . great location travel sf want non fisherman warf neighborhood . we ve certainly stay plush hotel sf find W comfortable area . 
 Jul 9 2005 	 W wow still Kool 	 check - in : excellent . room : large , great bed bathroom . furniture scratch need refinish replace . excellent tv stereo . wonderful restaurant breakfast . average gym nice pool . one complaint : valet parking $ 45.00 per nite : ridiculous ! ! ! ! ! ! ! ! ! ! ! ! one bad note otherwise great stay . 
 Jul 6 2005 	 w great part trip ! 	 first thank post review , help make travel plan . husband stay W Hotel San Francisco July 4th weekend great time . ( W stand welcome ! ) thing like hotel , clean . ( W stand well - Kept ! ) bed comfortable room spacious . husband need razor ( since long carry airplane ) W provide free charge less 10 minute . ( W stand whatever , whenever ) . love free assortment BLISS product bathroom fact replenish every day . corner room 16th floor overlook Oakland Bridge SFMOMA . great location ... staff helpful direction . ( W stand Whereabouts ! ) couple note : order cafe menu restaurant , not feel like get gourmet meal want burger . also continental breakfast bit pricey get ... ( $ 2.50 coffee , $ 2.50 croissant , $ 2.50 fruit ) well get city find something quaint fun . hotel ( room ) dark moody , part 's modern charm ... lot art ... funky sophisticated ... probably good place kid , definitely single dink . ( W stand WOW ! ) 
 Jul 5 2005 	 wow W 	 return stay W. reading post little hesitant . stay W fabulous . moment drive pamper stay . bellman bartender , everyone courteous helpful . hall dark club like feeling . young look chic place stay W place . 
 May 18 2005 	 much prefer Hotel Vitale 	 stay W San Francisco 5 night think okay although costly . not stay Hotel Vitale 8 month later realize W really mediocre comparison . the decoration w rather dark gloomy although modern spacious bathroom . staff definitely rude snooty . Hotel Vitale chic , bright , comfortable , relaxing , friendly helpful hotel staff ever recall ! live SF distant past , find Embarcadero district Hotel Vitale much enjoyable ( Ferry Building , restaurant , Bay Bridge , nice walk / jog along water Fisherman 's Wharf ) area around W South Market . around $ 220 / night . future , never stay W SF , possibly W. LOVED Hotel Vitale would definitely stay . 
 may 15 2005 	 Tounge Chic 	 husband appreciate little touch make W special . help we unload luggage , able discreetly announce arrival front desk wait we check . sense humor appropriatte property since funny little touch like Etch sketch desk . bellman doll give great introduction room hotel . stay 25th floor corner room overlook Bay Bridge . cute window seat love linen color palette . would say bedroom home resemble hotel room . bath robe nice light generous amenity Bliss Spa . not get check spa pool next visit . 
 May 15 2005 	 W SF 	 W property South Market area ; renowned tourism across Moscone Convention Center near dot - com business area SBC Park ( baseball ) . trendy euro - asian aesthetic , apparral staff decor vibe . inside , dark , stylish , audible techno music valet wear wireless headset ( almost cliche ) . feature expansive lobby bar area , populated dot - com crowd area still lack many evening attraction . need close shopping tourist attraction , look . business stay W warrant , place . note BART light rail block away . 
 May 2 2005 	 good W Union Square 	 problem . Park round back ordinary parking lot near art gallery save $ 20 day . one minute 's walk away wait car time check . not believe staff say nearby parking ! avoid bar can not stand DJ 's taste music , one enjoy no - one else hear talk . the desk staff snigger cheeky guest hear . concierge could not care less ignore nearly 5 minute whilst wait like naughty kid desk . interesting personal phone call listen though . we wake scream tannoy 5 am . guy tell we break English mistake , sorry . . 5.30am . late manager tell fire alarm activate . seem no - one know could not understand guy tannoy well mistake deal . fair manager handle complaint well . we use W Union Square . will not go back W San Francisco . 
 May 1 2005 	 Chic 	 wife choose W first stay San Francisco base primarily 's proximity Yerba Buena Park , figure would offer good dog walk possibility . property quite spiff , standard room comfortable deluxe amenity -the window seat nice touch . the staff friendly helpful ( single exception concierge could not help we find suburban phone # ) .breakfast XYZ -get ? - great , folk could not nicer . while aware W 's & quot ; chic sexy & quot ; reputation , fully prepare we lobby scene evening , 50 - something would return explore city run gauntlet scenester party dj - drive technopop ! , like , totally we ! party theme continue night neighbor ( start 1:35 2:25 , be count ? ) , must enjoy sleep soothe strain cd player - bass particularly well amplify headboard ! finally call desk 5 , however , security staff prompt effective . we will look someplace less self - consciously chic next visit . 
 Apr 28 2005 	 W Hotel SF Tza Tza 	 wife recently return W Hote SF let tell , place slicker greese . room feel tremendously clean , although would still stay away comforter recommend hotel room . plenty space room , plush wood nice dark brown give homey feel . go route cheesey floral pattern many lead brand use . locate right next Museum Modern Art well Moscone Convention Center . check Thirsty Bear Accross street . great tappas ! 
 Apr 26 2005 	 could ' ve well 	 stay hotel late September , 2003 . good friend excited stay first W , expect luxurious surrounding . everything nice , definitely want get room . room good sized King bed , two Queens ridiculously small . linen pillow good , bathroom AWESOME , hotel general expect . however , please aware incredibly steep parking charge -- - $ 40 per car , per day . also , hotel border neighborhood could use renovation . not want walk alone night ( warn local . ) bar really crowd Friday night -- - fun . , would stay somewhere well next time , okay . 
 Apr 21 2005 	 nice typical W ( necessarily traditional set ) 	 stay 1 nite week . nice hotel - trendy hip , traditional . good business traveller may ppl w / young kid old traveller . hotel nice - neat room , clean , comfy bed , bathrobe , coffeemaker , Bliss bath product ( although housekeeping not leave soap bathroom sink ) , friendly staff , good bar , good food XYZ restaurant . hallway elevator bite dark bit overwhelming w / the loud music reception area , be somewhat typical ws . food drink bit pricey , guess expect city . get grab go pastry , fruit , yogurt , coffee bar a.m. , although pricey ( $ 10 granola fruit mix ! ) . parking expensive - $ 45 / night . also , head stay near fire house side ( near parking entrance ) hotel - might get wake middle night fire call . also , head opaque glass door bathroom - be travel w / friend , might bit much . ( can not really see much , might uncomfortable . ) one thing - gym / fitness center currently undergo renovation , arrangement hotel road w guest . otherwise , nice place . definately stay . 
 Apr 18 2005 	 disappointing 	 stay W Hotels certain expectation mind . property way mark . service poor . 's property training ground high school hotel worker . housekeeping service indifferent . concierge service unprofessional . the room service , however , prompt good . far room layout , be hard get use glass bathroom door . privacy bathroom . 
 Apr 2 2005 	 would stay . 	 husband live 30 mile city go take weekend getaway often . stay NUMEROUS hotel SF . always like W 's past , think would give one whirl . oh man , feel dirty whole time . be not bad housekeeping per say , feel like do not want touch anything . feel dark , cold univiting . lobby annoying . WAY loud , feel like invade people 's space try get room . food hotel restaurant , nothing special pricey . would definetly never stay . many place much nicer friendly ! 
 Mar 17 2005 	 Pleasant 	 Darkly light W nice facility . restaurant , spa , business center pool good , otherwise be well use W. Staff helpful , room clean , view great , etc ... know W 's , surprise . central location stone throw shop . 
 Mar 15 2005 	 Terrific 	 stay W San Francisco night enjoy wish could stayed long . room 30th floor terrifically comfortable right element . staff friendly polite . 
 Mar 8 2005 	 Wwway Underwhelming 	 never write review use site often . say , recent stay W make want share experience . lot research weekend stay SF . look variety place $ 150 . pick W review website disappoint . the hotel room really small - even though term & quot ; spectacular . & quot ; two double bed squish , entertainment bureau feel like might fall right top ... feel really small aesthetic problem since two us bumping time . for $ 239 thing & quot ; special & quot ; room complimentary Bliss product . everything else sale high price tag -the $ 6 water , $ 14.95 day internet rental , use business office one forth . the room service also over - price restaurant ( hear good thing ) really terrible . soup send back $ 10 dollar salad . happy . I must also say one post grienvance would really steer people away stay over - price , underwhelme hotel - basically much little . plus , feel like NYC instead SF , CA . go local next time . 
 Mar 4 2005 	 great hip hotel -- comfortable 	 review site pretty right , except part techno music . barely hear hallway next elevator . stay corner king room upper floor great view bay bridge surround bay south . 's peaceful urban hotel room ' ve ever stay . really fun part hotel be ready leave calmness room , be short elevator ride 2nd floor bar 1st floor cafe / bar , get large crowd urban young professional seven night / week . bar staff pretentious ; friendly approachable . drink expensive , atmosphere great , long be hip / trendy setting . room set really nicely , bed , W hotel , probably comfortable hotel bed ' ve sleep . sit area beside window also great . large enough curl read book . bathroom large shower pretty decent ( nothing like shower carneros inn , water pressure strong adjustable ... be also cramp ) . understand reviewer complaint bathroom door . can not see exactly , be opaque . king room make sense . double room , ' m sure would not switch opaque door ( be share bed fellow traveller , really doubt want see sillouette he / her ) , let lot natural light bathroom . reviewer mention wooden shade not block light . guess shade must break , find work great , like hotel room dark . also order room service one morning bring 10 - 15 minute good . yeah , be expensive ... 's hotel room service , . pool workout area also nicely do . wish outside patio extend pool high floor rather 3rd , rain time , would not matter stay anyway . the piece advice . be get hotel cab instead vehicle , not drag luggage main enterance corner 3rd Howard . instead , go Howard 100 foot say & quot ; Wheels & quot ; go way . go main enterance 's 5 pm , feel like idiot b / c will drag luggage mob people probably try check bar . hotel great retreat will fun long like hip / trendy type hotel . check website know be get ... be old not want around bunch young professional , probably well Union Square hotel , really block away . 
 Feb 11 2005 	 slick modern like kind place 	 W lovely , want & quot ; cool & quot ; stay . hip , edgy style , not plan come jean sneaker site see . 's great bar hotel second floor - although get crowded weekend night . 
