love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 Jul 10 2006 	 good family maybe good -- breakfast traffic bad Dan Ryan 	 book 2 - night stay family 4 + baby ( 2 adult , 5 - year - old , 3 - year - old , 3 - month - old ) . obviously , travel group never go seamless , pretty happy room ( 12th fl , great view south towards AON Center ) . & quot ; King Suite & quot ; , wife baby sleep King , two kid sofa bed front room . besides two - room setup fridge microwave , another huge plus staying kid 's Dominick 's grocery store directly across street ( FYI , Safeway card seem work ) . save we first night everyone tire endure dinner outing buy dinner supply there . Friday morning 's free breakfast total fiasco . line 20 minute get food , seat hard come , keep run thing like plate silverware . obvious crowd 90 % family , obviously slow thing . not obvious way help situation ( maybe keep supply fill people not disrupt flow barge another line get fork ) . really start day sour note . inexplicably , never see line get hand Saturday morning though . guess many people traumatize Friday 's scene either send one family member fill tray rest ( ) go Dominick 's place breakfast . another drawback fact need take elevator street level 5th - floor & quot ; Sky Lobby & quot ; second one room . pain be go back forth ( e.g . be play parking meter game , see ) .parke charge always punitive downtown hotel , one exception . $ 39 / night valet park , $ 32 self - park . manage get two night $ 25 charge ( $ 53 saving ) . meter immediately south hotel east block ( Sheraton Illinois Ave ) . run 9 9 pm , get spot night , not get dawn move . lot locate southwest across intersection Illinois Columbus hotel charge $ 22 24 hour ( , obviously , privelege ) , use long stint first night . another parking location attempt low 3 level Wacker Drive , south Chicago river . meter 7 am - 7 pm , though , quite homeless people live , can not vouch security . would definitely park day ( ) , chickene overnight stint . get back hotel , 's good choice access Grant Park Millenium Park ( less mile South ) , Michigan Ave ( couple block east ) , Navy Pier ( be bag ) meter parking . be early riser , not experience problem breakfast traffic . staff fine , breakfast average free one . not partake happy hour ( long line , course ) , would guess typical Embassy Suites . 
 Jul 9 2006 	 nice hotel friendly staff 	 family travel Chicago train first time . definately pick great hotel . greet right away arrive . staff friendly helpful . will admit afraid go big city first time . get hotel , definately ease . check quickly , pleasantly suprise clean hotel . venture next day , find close Navy Pier . also could walk easily Mag Mile . place need walk distance . breakfast buffet nice , need get early beat line . nice stay first experience Chicago . go back -- will check Embassy Suites Lakefront . 
 Jul 8 2006 	 Save headache stay someplace else 	 lobby hotel impressive elegant decor , glass elevator ideal location . remove item end poor quality hotel . reserve two bedroom suite $ 500.00 night walk one bedroom suite living room pull bed . room furnish back 1970 smell like ashtray ( non - smoking room ? ? ? ) . immediately call front desk notify error quickly inform 2 bedroom suite give another guest since late check . pay advance room refuse refund three night stay , even though check 15 minute arrival . guess money end purchase purse Paris Hilton since need money try save client . I Hilton Member experience give , keep membership lose client . 
 Jul 5 2006 	 good Choice ... ton kid 4th July Weekend 	 stay hotel 4th July long weekend . location fantastic ! short walk : Navy Pier , Michigan Avenue , countless restaurant , shop . brand new Dominicks ( supermarket ) across street ... perfect stocking grocery . hotel new ( 2 year old ? ) . keep mind two Embassy Suites Chicago ... newer well one . suite nice , quite new wonderful city / lake view . due long weekend , place crawl kid . partner not mind kid verge ridiculous . free ( good ) breakfast buffet evening cocktail hour overwhelmed capacity crowd . parking steep ( $ 36 per day self park ) ... least locate building . elaborate movie theater bowling alley also locate building . P.J . clarke ( Burgers , pizza , pasta , steak , etc ) fantastic restaurant locate street level hotel . would stay ? yes ! 
 Jun 2 2006 	 nice 	 choose hotel great corporate rate ( $ 175 ) , suite arrangement ( separate bedroom put 2 - year old early evening ) , include cook - to - order breakfast . everything go wonderfully except second day , room not clean return early afternoon ... naptime . time 2 - year old woke , 4 pm -- call housekeeping return message leave day , offer bring towel plenty coffee . also , hotel charge $ 9.95 per day ( slow ) wire internet access ( wireless suite ) . not aware website discover hooked room . overall , great place stay kid , watch extra charge ! 
 may 12 2006 	 way run hotel 	 look clean , comfortable hotel friendly , courteous professional staff , Embassy Suites Lakefront Chicago . every staff person encounter friendly , bellman cleaning staff . make inconvenience booking ( alleviate arrival ) , hotel room available we arrive early , thank we flexible , manager deliver fresh fruit bottled juice room shortly check . can not say enough good thing hotel . 's two block Michigan Ave right shuttle route Navy Pier . complimentary breakfast sufficient variety delicious item well & quot ; cook order & quot ; station omelet , etc . afternoon cocktail appetizer offer atrium relax , fun atmosphere . hotel take note -- way hotel run ! 
 May 5 2006 	 Love Embassy Suites Hotels ! 	 staff friendly courteous mention review . check - in breeze able check 2 hour prior 4 pm . pool small not concern not swim ! husband love jacuzzi . great location hotel within walk distance Magnificent Mile , Field Museum , Shedd Aquarium Loop . Breakfast Buffet Manager 's Reception exellent . seat area large although Manager 's Reception get quite crowded conference within hotel . line long drink bartender move efficiently . sit area little bit cold Breakfast Buffet take light cover . room great . spacious , clean 2 tv ! ! although family next door little one could not hear ! ! ! elevator ( 4 ) arrive within second request . have dinner pjs last night meal wonderful . overly pricey food quite tasty . we stay Embassy Suites Downtown Chicago , Embassy Suites Old Town Alexandria stay Embassy Suites Lakefront make we fan life ! 
 Apr 28 2006 	 Great Location ; OK Place 	 room average . suite two double sofabe room . everything adequate . live room face inside building , impossibly bright sleep . bedroom drape not close well , bright , . service good . People work super nice . Valet parking ridiculously expensive - $ 39 night unlilmited 's 's . buffet breakfast come room decent lot choice , include omelet bar . great family . big reason stay hotel , however , can not minimize , location . Michigan avenue , not super noisy , short walk away . cinema building make late night movie go easy accessible , even winter . one favorite place Chicago , Fox Obel , block away . gem Dean Deluca quality upscale grocery store , can not find outside NYC . great informal cafeteria serve Chicago 's famous Intelligentsia Coffee . love place death . be also within walking distance Coco Pazzo , one good italian restaurant town . Fronterra Grill , Rick Bayless ' famous upscale Mexican Restaurant , short cab drive away . get good deal via credit card - $ 215 / night , four people room . , luxurious mean , serve purpose . one irritate feature fact take two separate elevator , adjacent , get ground level . 
 Apr 24 2006 	 great hotel 	 evening cocktail breakfast ! concierge helpful . 
 Apr 22 2006 	 good family 	 per travel advisor review spend three night week spring break . make reservation line . got corner room request quiet . small pool . staff helpful . two child age 6 & amp ; 8 able walk Navy pier Magnificant Mile . hotel room clean city . family thank reviewer travel advisor . 
 Apr 1 2006 	 Embassy Suites Downtown Lakefront perfect ! 	 recently stay Embassy Suites Downtown Lakefornt perfect ! perfect location , close Magnificent Mile Navy Pier . room great . everyone hotel friendly helpful . would highly recommend stay ! ! 
 Mar 30 2006 	 Excellent ! 	 great place stay family otherwise . room rate $ 199 . clean overly fancy . right heart downtown within walk distance shop restaurant . take daughter room perfect stay watch tv living room wife separate bedroom . suite huge great view lake river . staff outstanding , friendly , accommodate . manager 's reception nice touch , unlimited beer , wine , cocktail save we pay $ 6 drink elsewhere . breakfast buffet average enough food fill save breakfast tabs downtown . could not happy stay . 
 Mar 28 2006 	 would recommend 	 family stay recently would definately recommend hotel traveler . hotel staff polite staff check desk , breakfast staff , cocktail server complimentary reception evening doorman flag cab us day . location work great we . take cab museum , hotel walk distance John Hancock tower , Michigan Avenue , Art Institute Navy Pier . may pay little extra Embassy Suites , hot breakfast complimentary cocktail reception , get money 's worth . the pool area small case downtown hotel even pool , busy schedule , small pool / hot tub serve purpose end busy day . love Chicago would stay . 
 Feb 26 2006 	 good choice family stay downtown 	 bring along family conference Chicago - choose stay ES suite & amp ; free breakfast . aside suite arrangement ( perfect family - put kid sleep bedroom , stay living room , sleep pullout bed ) , lobby good part hotel . 3 elementary / preschool kid unanimous ride glass elevator highlight trip Chicago . also enjoy great cooked order breakfast , free drink happy hour . hotel free shuttle ride Navy Pier , block Michigan Avenue ( Wrigley bldg ) river . excellent location ! ! would stay come downtown Chicago , mention 2 thing . # 1 ) pool sorely lack . narrow extraordinarily crowd time day kid . would possibility swim lap across pool anytime President 's Day week - end . least 25 kid pool , 8 hottub - comfortable capacity whole place would 2 3 family . second , side pool grossly grimy . pool daughter , could hardly stand dirty . last straw see gross thing float side pool have see day . ewww ! # 2 ) es pretty expensive . reserve 3 month ahead , get bargain rate $ 170 / night . 's LOT pay night . park $ 32 / day , safe option nearby . however , overall great choice family . would stay sort romantic weekend though . 
 Feb 20 2006 	 nice pricey 	 two son stay one night Embassy Suites N. Columbus Chicago . great location . pay extra lakeview room nice view lake , would not really recommend anyone else . could take elevator top floor basically see view . really like two room , private . total $ 290.00 , ' ve ever pay one night hotel , ' m still try justify spending amount . suite clean . service excellent . everyone friendly helpful . complimentary breakfast pretty good . check pool not use . pretty small , would call lap pool . look clean . could hear people room next we , not think unusual hotel . would recommend hotel . 
 Feb 19 2006 	 absolutely fantastic 	 stay Embassy Suites Lakefront January magnificent . hotel gorgeous , lobby overlooks Lakefront area Chicago , beautiful . two standard suite , lovely view Navy Pier lake . room clean , linen wonderful . clean nice bathroom , good shower , something seem rare hotel room , actual soap dish soap . wet bar sink , microwave refrigerator , well vanity sink outside bathroom . rate come complimentary make order breakfast , & quot ; happy hour & quot ; free drink snack , chex mix , tortilla chip , salsa queso . breakfast delicious , make order omlet , usual hot cold fare , lovely pastry . service excellent well . every time approach front desk , greet warmly question answer . concierge desk , however , never see actual concierge , front desk staff completely knoweledgeable helpful , make dinner reservation , call taxi , etc . many transportation question able answer provide great information . fantastic place , Chicago , would not hesitate stay . also , price quite reasonable . 
 Feb 19 2006 	 overwhelmingly Friendly Service - many plusse 	 stay three day / two night business trip . requested get corner room impressive view several direction 14th floor . room well appoint spacious . elevator feature quick response time fast floor transiting see anywhere . customer - consciousness help street level bell staff front desk even custodial maid staff meet hall elevator over - the - top friendly impressive . cab always available summon quickly attentive staff good thing since parking car cost $ 32.00 nightly , access L - Trains ( 0.7 mile ) bit hike colder weather . Embassy 's nightly manager 's reception nice touch accompany snack adequate , perhaps bit & quot ; ordinary & quot ; . well - staff , cook order breakfast excellent . major complaint mattress King bed atrocious . bed good quality sleep sleeper sofas comfortable mattress . bring item attention front desk little thank point - out promise look . bit disappointing . replace mattress gladly return . 
 Feb 5 2006 	 Great Hotel ! ! ! 	 stay multiple hotel Chicago , include Hiltons , Swissotel , W , etc , find Embassy Suites good value . ' m true american guy not care european artsy deco , victorian 17th century styling . embassy modern , simple , elegant look . make feel right home , time little excited . Chicago hotel really nice appear Queer Eye Straight Guy decorating- be judt comfortable . case Embassy . fun hotel . especially love wide open atrium . in morning there s free make - to - order breakfast great , there s really good free nachos happy hour . plenty money free always perk . by end 7 - night stay know almost every staff member name . great staff . Hospitality always Embassy 's strongpoint . much noise problem , like reviewer note . location pick proximity office also wonderfully close Navy Pier Michigan ave . I would highly recommend hotel family . ' m take two boy auto show next weekend ' m sure will enjoy Embassy suite , . 
 Dec 20 2005 	 Nice hotel except noise . 	 family stay hotel week December 12th-16th . overall , hotel nice free breakfast happy hour great . location good also . room clean comfortable . negative noise . could easily hear people next room noise street . 9th floor street noise surprising . 
 Dec 18 2005 	 Much Fun 	 Family stay Embassy Suites Chicago Lakefront hotel first time october . Hilton Club Members lead stay Hilton - affiliate Hotel pick Embassy Suites . stay Oct. 21 - 23 enjoy much . fabulous location situate Miracle Mile ( Michigan Avenue ) Navy Pier Lake Michigan . could see everything outside window , Hancock Tower River . room pretty comfortable pretty spacious . lobby pretty Manager 's Cocktail Reception everynight nice . pretty crowded stay White Sox play World Series night nice tv 's around lobby show game . breakfast nice . concern table small . not much hotel , step outside world excitement . Chicago nothing like NYC one gorgeous clean town . restaurant Hotel , P.J . clarke , nice food pretty good . definatley reccomend hotel ! 
 Dec 8 2005 	 Great Families 	 wife two kid ( age 10 6 ) stay five day lead Thanksgiving . Embassy Suites great place stay kid go town day two . seem crowd would hotel near Disney World -- i.e . lot family young kid . room 9th floor -- 17 total -- good view lake . location hotel fine , situate Michigan Avenue Navy Pier not car we , never trouble getting need get . walk anyhere Loop Hancock pretty easily . four we , take cab museum couple dollar bus would , much convenient . walgreen block , liquor store gourmet market one block away . since 's mini fridge room , stock snack kid . expect bad concern nightly reception breakfast , not bad . weekend definitely busy . know choose get breakfast time everyone else , will wait breakfast everyone else . not want wait line breakfast ( like 10 - 15 minute ) , simply wake early . always skip line get bagel , juice , cereal , etc . wait . not stay Embassy Suites expect luxurious surrounding , especially 's Intercontinental , Ritz Peninsula within mile . yes , noise carry quite well building , hotel close heart action . however , get breakfast take care every day , couple pop afternoon , room two tv 's kid happy . patience definitely help . however , chance travel big city kid , probably already enough enjoy stay . 
 Nov 27 2005 	 Embassy week great 	 extend stay Embassy . total 5 1/2 week . week mainly business people . long line breakfast ( 6:30am start ) manager reception ( 5:30 7:30pm ) . 7 day week . fairly quiet ( high ) except emergency vehicle siren . however , invasion child start Friday night . lot noise long line breakfast reception . atrium noise rise good high floor . washer dryer floors 10 & amp ; 14 long stay ( $ 1.50 ) . however , wall paper thin . speak , radio , tv child noticable next room . room corner quieter . also , bed hard ( least floor 13 ) . 
 Nov 26 2005 	 NOISY 	 family stay couple embassy 's great due & quot ; suite & quot ; room accomadate multiple peoplethe view spectacular room hotel nice night atrium make hotel noisy nightmy family 4 sqeeze back room uncomfortable especially need live roommy recommendation stay high deep possible , room tuck behind probably good way gootherwise , great food , fabulous family ( sometimes many child create noise ) GREAT LOCATION ! unfortunately never go embassy suite 
 Nov 6 2005 	 fine Embassy Suites 	 real problem hotel merely disappointment . stay various Embassy Suites year always enjoy one nothing special greastest value dollar . concierge helpful friendly either . 
 Oct 30 2005 	 Embassy Suites Lakefront - nice stay 	 stay last night ( Sat , Oct 29 ) short family out Chicago . bid $ 65 2 room Priceline - steal ! family 4 ( two boy 8 & amp ; 11 ) satisfied accommodation service , especially give price , since cheap rate offer web $ 199.we arrive 1:00 , tell room not ready since check - in 4 . problem , want lunch walk Navy Pier ( close think nice day walk nonetheless ) lunch Dick 's last Resort North Pier . return hotel 3:30 give 2 adjacent room , request . room typical Embassy suite style - separate bedroom , fold - out couch living room ( 10th floor ) - bedroom two double bed . decide King bed would nicer hubby & amp ; , return front desk ask change , kindly accommodate ( 12th floor ) . mention Priceline either time . unfortunately exchange room key , boy husband , wait one suite , leave luggage suite . return new room assignment , key get room . find maid door explain . call front desk confirm story ( can not let people strange room know . ) confirm front desk say security let we would right . wait minute , maid kindly let would not wait long . room contemporary design modern furniture nice shape . room pleasant look comfortable although weird room window shutter look onto hall , close . view much look , problem . nice bedroom window open let air . room absolutely sound - proof - not hear sound room floor ( except occasional siren outside . ) internet connection woefully slow not able use - not bring hotel attention since not room much time . at 5:30 mosie free drink happy hour relaxed kid swam . hot tub pool nothing fancy - basically lap pool , pretty much , one family pool room . minor complaint bartender would let take one drink time , hubby go bar together one we make two trip - silly . good deal regardless . nachos , cheese sauce nuts snack . long line bar food . we dine pj Clarkes hotel enjoy - leave kid room check via cell phone . free breakfast next day also good . arrive 8:00ish read horror story tripadvisor.com dreadfully long line 9:00 . since Sunday make - to - order omelet , well bacon , sausage , cereal , donut , juice , fruit , etc . check 9:30 still wait line breakfast warn . weekend , surprise not busy . self - parking $ 32.would stay , especially price give free happy hour breakfast - great deal . would fun & quot ; girl friend & quot ; trip . overall nice stay , kid really enjoy suite . 
 Oct 26 2005 	 Great Family Place 	 not get much family vacation , tell boy first 3 day holiday would book trip ever american netsaver . well , last weekend Netsaver Dallas Chicago $ 139 . book Lakeshore Embassy suite ( $ 279 night ) . first , Chicago great place take family . ton . hotel 's location so - so . great interested Navy Pier thing side town . walk Navy Pier 5 minute . Saturday . quite way ( 2.5 mile ) Museums . buy CTA pass take train bus town . $ 9 piece 2 day pass , sure save cab fare . problem main line ( red line ) 5 block hotel . would big deal unless weather bad , Sunday Monday . , want hotel close line , might look somewhere else . anyway , Bears game Sunday ... great way experience true Chicago . eat typical pizza joint ( Gino 's East Giadarnos sp ? ) . hotel really nice . get little cumbersome . go small lobby street level bellman take elevator Sky Lobby locate 6th floor . check . main lobby huge open lot window . main lobby manager 's reception night ( mixed drink , beer , wine , soda , snack ) breakfast a.m. Breakfast quite good ( omlette station , pancake , egss , bacon , sausage , hash brown , assorted pastry bread ) . pool hot tub , accord boy ( like polar bear ) pool cold hot tub hot . room typical Embassy Suite room . book corner suite , great . view lake , really nice . criticism wall thin . could hear neighbor 's radio well entertaining sound different point night sure could hear boy early morning . first night hotel pack , Sox play World Series expect . line happy hour breakfast long . next night morning much well . let know question , overall great trip good hotel . 
 Oct 25 2005 	 great time ! 	 girlfriend stay Emb . Suites Lakefront weekend Oct. 21st thru 23rd . hotel great location take minute walk Michigan Ave . four we enjoy able spread little compare regular hotel room . the hotel nice decorate contemporary fashion . room really basic , comfortable bedding . we really enjoy complimentary happy hour 5:30 7:30 take advantage ! morning breakfast also good never wait line . there restaurant / bar building , pj Clarks , meal drink well . there walgreen liquer store block away -- -could not ask well location . be sure try Gino 's East pizza -- -it awesome ! wish would not move location , much convenient Mi . Ave . 
 Sep 19 2005 	 almost perfect 	 200 woman check Embassy Lakefront Sept. 16th , 2005 . arrive 1ish . room ready tell would 4 . problem , eat site see . come back around 3:30 tell room ready . 4 woman room . turn name ahead time ( who s who s room ) young girl desk wrong . really complaint . happy hour much fun . 11 girl particular could good time matter stay . bartender great ! not remember name great time woman . line free drink never bad . serve nachos , warm cheese sauce , pretzel salsa . free breakfast morning good . course hang anything might taste good . read review enough table available weekend case . & quot ; wild & quot ; girl stay late Saturday lobby . one security guard & quot ; Bill & quot ; great . woman want play card lobby not . security guard go find card bucket ice drink . kind & quot ; celebrity & quot ; stay weekend security guard everywhere . not pose problem hotel though . handle well . not know celebrity partly free drink 5:30 - 7:30 . : ) hotel also great location . far anything . love hotel would stay . 
 Sep 9 2005 	 want go back ! ! ! 	 spend last three week prepare trip Chicago . much research reading ton review TripAdvisor hotel review site . think perhaps book hotel may mistake . boy wrong . we group five guy together concert Labor Day Weekend . room big enough accomodate we comfortably . staff extremely helpful answer inquiry immediately . Room Service typically expensive , Pizza hotel serve ( Gino 's East Chicago ) well renowe pizza Pizza Due Pizzeria Uno . one thing read review hotel noisy . Labor Day weekend not notice noise problem . tell room soundproof four night hotel not hear anything room . Saturday Sunday hotel seem fairly book , line happy hour make order breakfast five minute . Monday hotel seem empty line . the pool small , one using find quite enjoyable . hot tub sauna terrific clean well . I highly recommend restaurant attach hotel pj Clarkes , especially mini burger . also attach hotel AMC Movie Theater Walgreens . across street Fox Abel incredible gourmet supermarket , well liquor convenience store . I sleep king bed double bed comfortable , qualm quality bed sheet . use 300 count home not standard . I request receive early check - in late check - out problem . a great hotel incredible location . able walk take public transportation major sight from / to O'Hare . 
 Sep 3 2005 	 completely exceed expectation 	 En route combine business / pleasure trip Wisconsin , decide fly Chicago spend 1 day evening . family four , always seek suite type accommodation - property one good category type ! corner suite gorgeous view spacious . definitely book room type available . loved extra sink bedroom , bed linen plush comfortable , matress also good . usually feel give luxury factor fine hotel exchange room stay suite property , definitely case ! breakfast well expect , many choice adult kid . location perfect want see - Navy Pier , Water Tower Mall , Miracle Mile shopping . check bell staff friendly accommodate , hold luggage arrival departure . downside parking fee- 58.00 1 day hour follow day ! otherwise great stay , give try ! 
 Aug 28 2005 	 Nice hotel chaotic 	 return today 4 day stay hotel . let say , nice hotel great location want near Navy Pier . not far walk shopping Michigan ave . make sure request corner room view . much spacious course , small view lake . suite clean roomy . problem housekeep . problem many , many kid ... run wild quite often breakfast thr free happy hour . prepared wait line probably take breakfast room , enough seating . happy hour line make wait forever drink . make sure get two { max } not wait right away . one big complaint request ... please change appetizer ! ever see another nacho , fine . one write , hassel breakfast make wonder 's even worth it . we come Chicago every year try different Hilton hotel . pick one ? probably . stay other city well much peaceful . opinion . 
 Aug 19 2005 	 Friendly Service 	 usually seek Embassy Suites travel kid room layout great we . es disappointing regard . room nice size good size bathroom convenient extra sink bedroom . linen bed nice comfortable . find bathroom little run look . also , suite dusty . seem housekeep bare minimum , dust , make wonder clean shortcut take disinfecting , etc . the free breakfast honestly worth aggrevation . food almost edible crowded breakfast leave feeling stress instead relaxed . food cold find not even decent taste cup coffee . 
 Aug 18 2005 	 Embassy Suites Lakefront great family 	 stay August 2 kid really enjoy . get great service , concierge friendly knowledgeable , room nice clean . complimentary breakfast expansive , wide array option . be close Navy Pier ( madhouse , great water taxi museum ) . would definitely stay , feel pampered . 
 Aug 15 2005 	 Fantastic Hotel - far exceed expectation 	 come Chicago family reunion hotel choose 's location , affordability family friendliness . far exceed expectation ! first , 's heart beautiful Chicago . even great view Tribune Tower Wrigley Building large expect room . easily able walk everywhere want go . even stop Chicago Free Trolley right side hotel . the lobby large allow people gather easily without take entire space . complimentary cook order breakfast evening reception fabulous - huge hit ! planner think would help keep cost family , exceed everyone expectation . I ' ve stay Embassy Suites , ' ve never impress . definitely stay recommend friend . will not disappoint . 
 Aug 11 2005 	 Great Location- Good Hotel 	 stay hotel August 3 - 8 , 2005 . overall hotel good clean . staff friendly helpful . 10 yar old lot kid . would stay look quiet hotel like kid . very well locate , close Navy Pier Michigan Avenue . many good restaurant within walking distance . Museum Campus 1 bus ride short cab ride . breakfast good busy weekend . line move fast , find table sometimes difficult . staff help try find table put reserve sign table could get food without lose table . 
 Aug 2 2005 	 Port Authority Ambiance 	 stay lot Embassy Suites , one ambiance busy bus station . seem busy housekeeping staff keep thing orderly invite possible . chock full visit family lot child run around . give lack acoustical control vast atrium bit like listen constant traffic . room small ( interior ' living room ' drab , sterile , entirely clean feeling ) example stain furniture carpet . light harsh unattractive . considerable noise carry corridor atrium side . bathroom passable uninviting . breakfast unrelaxe hurried , food ok , worth linger try read paper enjoy cup coffee . table close together , attempt mitigate crowd mention review meet table cloth cover banquet table throughout lobby area ...... temporary attractive . ok bit diva ..... wait elevator crowd full unaccompanied sometimes rude unruly kid .... would stay . stay check desk staff personable employee nice lady monitoring breakfast . assume busyness hotel prime tourist / family season attribute feeling chaos crowd . imagine staff try well could circumstance . 
 Jul 14 2005 	 disappointment 	 stay number Embassy Suites rather disappoint one . check , number housekeeping problem room . , shall say , clean thoroughly . addition , someone kick punch hole bathroom door . complain , desk clerk apologize nothing help . next day speak supervisor nice give we $ 50 credit help make . number large convention town , would check out . the pool joke . 6 foot wide totally inadequate anyone except sole lap swimmer . I stay downtown Embasssy Suites Chicago far away well . close together . stay one . 
 Jun 28 2005 	 Loooved Embassy Suites Lakefront ! ! 	 come home last night 3 night stay Chicago . LOVED everything Embassy Suites Lakefront . GREAT location . 3 block away Magnificient Mile . 4 block Navy Pier . 4 block Millenium Park . GREAT room ! ! even get free upgrade corner suite ! ! highly recommend corner suite . locate end little hallway , quiet big standard suite , corner , ton window AWESOME view city lake . I recommend ask room 15th floor above . the suite CLEAN everybody hotel ( bell service , reception , etc ) nice helpful . finally ... great breakfast ! ! ! cooked order omelette , lot great breakfast food ( doughnut , bagel , YUMMY french toast , fruit , bacon , sausage , cereal , etc , etc . ) .We love Embassy Suite Lakefront Chicago definitely stay . 
 Jun 28 2005 	 good overall 	 come conference bring family , fabulous time . hotel locate great location , find room spacious . fridge microwave come handy . check - in problem - free request get early check - in ( 1:30 ) late check - out ( 12:30 ) hassle . room clean check - in , staff friendly accomodating . stay upper - level floor almost quite corner room , mean door not open directly onto atrium . maybe make quieter , not noise problem previous reviewer even though hotel book solid 3 - night stay . great city view include Chicago Tribune building , Wrigley building , little slice Sears Tower . unlike reviewer , unmanageable line breakfast . request early seating ( 2 ) never 3 4 people & quot ; cook order & quot ; line never wait 5 minute . also self - serve buffet table nice : scramble egg , bacon , sausage , lot choice cereal , bagel , fruit , danish , donut . cook - to - order choice include egg cook specification , omelet , pancake , & quot ; special & quot ; day ( last day breakfast burrito ) . line cocktail hour long , depend many people work bar . two 3 night line move quickly since 2 separate line beer / wine mixed drink , last night one line long wait . the reason give 4 - star rating oppose 5 maid neglect clean room 2nd day . grant , room 11 back 3:30 , still give lot time . since plenty clean towel leave day not complain , probably have . other detail : state other , pool really small still enjoy son ; Walgreens AMC movie theater right building ( go outside get far could tell ) ; gourmet store street call Fox Obel . Navy Pier , Millennium Park ( great sculpture / fountain blast kid hot summer day ! ) , Michigan Ave . easy walk distance . son love glass elevator hotel -- like amusement ride ! would definitely stay hotel . 
 Jun 23 2005 	 bad service good location 	 hotel look beautiful location great service absolutely terrible . toilet not flush whole day matter many time call not either come come jiggled handle say fix . waste whole day trip try get toilet fix . finally move room bellboy suppose help we never show . also extremely noisy hotel . kid run around wild screaming could hear . hear less interior bedroom , hear traffic siren . know city , ' ve live NYC know sound ... price , much peace hotel . go stay -- may simply ' m sure well location amenity ( fridge microwave ) try get high west side hotel ( number 13 less ( room 1413 1711 ) . fabulous gourmet store cafe buy prepared meal stuff Illinois St . 's marketplace one past toward pier side street . can not remember name & quot ; fox .... & quot ; make sure take advantage free trolley pier place Michigan Ave . 
 Jun 13 2005 	 Great Location 	 Great Location - stay June 9th ( Thurs ) thru June 12th ( Sun ) Red Sox v. Cubs series . hotel sit block Navy Pier one direction & amp ; block Michigan Ave . & amp ; safe neighborhood will allow security walk around different area . free drink Manager 's Reception every evening great way start night head . never find line long tip bartender ( amazed many people not tip ! ) will get two drink per trip bar other post not receive . breakfast line however far long ( 70 + people deep 's peak ) find great diner two block away . also , pj Clarks build hotel , , offer great food lunch & amp ; dinner & amp ; full bar . the hotel pool good child , serious , adult swimmer ( small / crowded ) . available , suggest pay extra $ corner room . find bit large quiet ! room clean , large ( 3 sink , 2 tv , mini - fridge & amp ; microwave ) staff polite professional . furniture , bedding & amp ; upholsterie good repair . room upper floor offer great view town and/or lake . while may need cab visit ( , great location ) , be plentiful front hotel . tip 1 : 's Walgreens block hotel allow option purchasing item stock mini - fridge vs. pay $ $ over - price hotel refreshment . tip 2 : previous reviewer mention , cab Midway hotel run $ 40 . take train Midway stop Clark 's ( approx . 25 minute ) hail cab hotel total cost $ 10 . pleasant stay & amp ; stay visit Chicago . 
 Jun 4 2005 	 slightly average 	 travel mate ( mid 30 's male ) stay town USA v England soccer game . pay $ 259 corner suite 9th floor , suppose one large suite . find average size room Embassy Suites . however , extremely clean quiet . the front desk staff concierge quite friendly could make stay comfortable possible . permit early check 11:30 am.the hotel completely sell night stay ( 5/28 ) . make quite large crowd Manager 's Reception , line drink outrageous . people complain bartender serve 1 drink time . advice ; try tipping ! , drink free , 's couple buck round ? allow order many drink want , permit carry 2 time bar . after long night drinking , bit late get breakfast ( approx . 10:15 ) next morning . joke . line seat 75 yard long ! stretch entire length atrium bent around way gift shop . needless say , skip free breakfast go coffee shop bagel . the thing truly negative say property lack transportation ' Hare . unfortunately , shuttle . cab ride airport $ 40.i would give 3.5 point , slightly average thing consider . 
 May 27 2005 	 Awesome 	 stay four friend one night - room large free drink 5 - 7 pm great . 
 may 11 2005 	 great stay mystify previous review 	 stay 4 day first week May 2005 nothing positive experience . room hotel clean ( every day ) , quiet , comfortable . spend lot time review available hotel choose one location amenity . sure , boutique hotel pretend trendy , part large chain mean know thing right without rude snobby . early morning experience long line breakfast other mention . see ton kid place . matter fact , could count one hand number child see stay . Manager 's Reception evening busy early quickly clear allow short line . swim pool indeed small look web site , intention use anyway . one thing like enough elevator , fast . sort pain able get street level main elevator , though . other tips:1 ) always taxis valet drop use.2 ) Thai restaurant around corner excellant.3 ) free trolley Navy Pier ( although seem rather deserted , maybe thing pick summer ) .4 ) arrive breakfast 8 am Manager 's Reception 6:45pm.5 ) use self parking ( different driveway valet ) . end valet drive never see car check . easy walk everywhere location . again , great stay definitely look stay next time make Chicago . 
 May 9 2005 	 great price pay ! 	 upon check tell desk clerk first visit Chicago request high room view , put we top ( 17th ) floor stunning downtown view ! ! room large , clean , amentitie could ask . compimentary cocktail lobby 7 pm nice complimentary buffet . there issue toilet flush handle fix matter half - hour . the good part .... $ 60 Priceline ! parking $ 36 24 hrs .. ouch ! overall , 5 star pay ! 
