Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Jun 26 2008 	 great location comfortable 	 location great room clean comfortable . breakfast french brasserie ground floor . theater ticket easy walk dinner theater . new year eve crazy , everything work fine . pretty high never hear noise . 
 Jun 22 2008 	 stay 4th floor ! 	 not get wrong . hotel great location , ' clean staff friendly . however , stay 2nd floor noise Subway penetrate room . bare mind train run every minute e line run quite late , become disturbing . complain say full sorry next time check could ask room high . would stay stay low 4th floor . 
 Jun 20 2008 	 Great Location Good Standard Accommodation NY 	 hotel great . location unbeatable standard accommodation good NY standard . large comfortable room , good bathroom well protect noise give central location . staff friendly willing assist . free Internet ( wi - fi ) business centre complementary coffee foyer morning . would hard prressed find well ny within price range . ny would stay . 
 Jun 19 2008 	 great location nice friendly hotel ! 	 stay hotel one night May . be always hard trying find nice hotel stay New York not ridiculously expensive . set maximum £ 150 night get last minute book hotel £ 120 Expedia . hotel really nice glad choose other wonder . reception really friendly giggle . ask quiet possible room get double 12th floor . lovely big spacious room . bathroom bite small side - toilet close bath . not problem . room huge flatscreen tv , desk , cupboard space , microwave . find bit noisy much would stay elsewhere . hotel great location ! go see play walk 5 minute get theatre . also close subway bus link , mention block away Times Square . business centre hotel offer free internet . also printer useful wish checkin online flight . hotel great find . would definitely stay . 
 Jun 17 2008 	 Great Location Friendly Staff Good Hotel 	 hotel locate 1 block Times Square . many place eat around . efficient staff , nice , clean , quiet room . safe secure . much like ! 
 Jun 16 2008 	 Great Hotel close everything ! 	 get corporate rate company stay . pay $ 210 night rate include breakfast . trip personal trip husband 8 month old daugther celebrate father 's day together . first , NYC expensive must always cash hand . expect kind reasonable service bell hop , etc , must tip . tip well b / c need . king room floor 15 lovely . fridge microwave nice flat screen tv . room quite large however bathroom tiny . door barely miss toilet try open . typical NYC hotel ' ve experience size general room make . rate include breakfast mention , quite good . restaurant attach hotel hearty . set menu choose include waffle bacon omelette bacon potato . fill we good 6 hour ! time square 2 block around corner . close proximity easy walk . even walk Pier 83 boat tour . pay $ 29 ( adult ) tour take we halfway around island 2 hour . get see statue liberty close bridge . fantastic operate circle line 42 . would suggest arrive 45 min early secure space line . get boat last wind mediocre seat . eventually get stand begin boat see water . check Mesa Grill ( Bobby Flay 's restaurant ) time . food die . excellent chef one ( yodaism day ) .All , HGI time square one definitely stay . room look like pic accomodate . great place ! 
 Jun 13 2008 	 great location Times Square clean Hotel 	 get back three night stay King Evolution room . request high floor beforehand front desk happy accommodate . not ask room away vend machine elevator , end first room ! Bellman offer get room change immediately say will give try . move room not bad ... course AC duration heat , do not mind noise . search search even book know read ongoing review not think book someplace else . happy stay . review hotel true . really great . walk Central Park , TS , Rockefeller * Comfy bed * convenient location Times Square Rockefeller Center * Subway stop 50th super close * Starbucks corner * friendly staff * free internet every room * great restaurant * reasonably price NY standard , not bother call around want stay near TS . good deal . * close enough attraction ts without city light people everywherethis Hilton want 10 10 rating , try accommodate way . 
 Jun 8 2008 	 location great ! 	 hotel one block time square location excellent shopping , dining sightseeing . grey line bus tour pick street . room clean pleasant . hotel offer free internet service lobby well coffee maker , microwave small fridge room . place handicap accessable room lose little space room enough room two we . room view high floor , room clean staff friendly courteous . 
 Jun 8 2008 	 nice retreat busy street 	 Hilton Garden Inn Times Square nice retreat busy street Theatre District . room nicely decorate ( beautiful black white photo NYC ) comfortable . importantly , well - sized soundproof . hotel offer fitness center business center . latter particular useful , though small : four computer station fax printer available free 24 hour / day hotel guest . staff friendly responsive . although not order room service , restaurant always busy ( leave believe food good ) . location excellent -- walk distance theater ( fight taxi ) plus easy access bus subway line . would definitely choose hotel . 
 Jun 5 2008 	 Nice Hotel 	 hotel attractive , well - maintain , clean . stay 4 night , problem . refrigerator microwave great addition . staff helpful , somewhat friendly . location close broadway theatre , restaurant , shop . Times Square fun place visit , however , crowded , noisy , bit dirty . fact hotel block away Times Square definitely plus ! light sleeper , want request high floor subway . 
 Jun 3 2008 	 single issue 	 girlfriend stay past weekend May 31 - June 2 clean room really pleasant , still stop rave , bathroom modern bed comfortable , can not beat price reasonable , stay heart Hell 's Kitchen . 
 May 30 2008 	 good hotel friendly staff fantastic location ! 	 spend two night Hilton Garden Inn Times Square . choose two queen size bed room , need tall family four . although not think decor anything special , clear hotel recently renovate clean attractive . bed comfortable modern . room desk , flatscreen television , refrigerator microwave . last two really come handy buy lot meal carry - out grocery store across 49th Street , also place sit eat . hotel french restaurant next door , Pigalle , menu look attractive go least $ 10 breakfast spend half buying pastry coffee grocery instead . hotel staff friendly helpful . arrive early . store luggage volunteer call cell phone room ready . come back late one evening , impressed see anyone want get elevator show room key staff recognize . also , little convenience store lobby reasonable price open whenever . good thing hotel location ! theater district , two block Times Square ( 47th Broadway , although everyone refer surround area name ) . dozen restaurant area . go three show everything within walking distance . also block Rockefeller Center Fifth Avenue . first day easily walk Central Park . day take bus , stop one block north , need cab go airport , one wait taxi stand front hotel . negative thing hotel locate right subway line , could feel rumble room 2nd floor , tired end day not make much difference . 
 may 19 2008 	 find - highly recommend ! 	 boyfriend stay 4 night begin May . location room size great . staff friendly helpful . real find price - highly recommend ! 
 May 18 2008 	 could not please ! 	 planning trip NYC look hotel review good deal . decide Hilton Garden Inn could not happy choice . location great ; easy access outside city super since drive . rate pay great ( even well AAA discount ) . staff super friendly helpful . even family live around NYC recommend hotel turn people hotel 's direction base experience . room clean comfortable . thank Hilton Garden Inn make stay great ! 
 may 16 2008 	 Hilton Garden Inn Par Excellence 	 great visit Manhattan happy choose Hilton Garden Inn Times Square accomodation . the king bed room large enough need nicely appoint . bed comfortable maid service expect . especially like small refrigerator water drink . staff attentive . need distil water c pap appliance room arrive . especially appreciate doorman security give we . little gift shop / market convenient staff also good . concierge helpful confirm direction visitor hint . the location hotel magnificent . everything block two away -- -restaurant , theater , Times Square , subway station . superb highly recomment facility . 
 May 13 2008 	 great location excellent value ( New York ) 	 expectation low , hotel comparatively cheap compare many hotel New York . also never hear value brand within Hilton Group . admittedly problem check - struggle persuade reception give we room type book month early oh toilet flood bathroom - hold hotel ! broadway ( 1 min ) , walk distance central park ( 10 min ) Empire state ( 20 min ) , location spot . busy touristy ( well Times Square ) . room far nicer look internet , looked recently refurbish much like standard Hilton room . would definitely recommend hotel . oh everywhere expensive New York . 
 May 4 2008 	 Great Service Great Location 	 Hotel locate literally one block away Times Square . room decent size . comfortable bed . people work far good . concierge open 12 hour day ( helpful ) .There also 24 hr convenience store . nice japanese restaurant call Akoi right across street hotel . recommend anyone like sushi . honestly , book hotel nothing worry . consider suggest book . 
 Apr 29 2008 	 Ups down 	 come back 6 night stay 22/4 - 28/4 whole would agree review . 8th Floor face 8th Avenue noise street . bathroom door could do least lick paint repair damage staff reception polite friendly . that s negative positive location surround theatre near shop free internet access 4 machine business center may struggle get heavily use time great lovely fridge microwave room great supermarket across road ' Food Emporium ' the site restaurant ' Le Pigalle ' little expensive side consider food average . I would hesitation stay fact plan 
 Apr 26 2008 	 Great Hotel ! Great Location ! 	 can not say enough hotel . room absolutely perfect . room tastefully decorate update LCD Television . bathrooom great condition . 8th floor , even though face busy street , not hear thing outside ( rare NY ) . staff helpful need . location absolutely great ! definate recommendation anyone want great hotel Times Square ! 
 Apr 25 2008 	 Location Price can not beat ! 	 hard jade New Yorker NYC hotel . tre expensive ! well , place . cost average low - quality hotel , Hilton put together great hotel fit traveler , tourist , seasoned traveler . misses even comment , place block 50th st subway ( Metro ) station . would recommend walk block two around hell kitchen dinner option , restaurant attach hotel rather pricey , average . fact , be full grocery store block away , stock whatever might want pop room 's micro - fridge . room above - average size , great bed , sit area , decent bathroom . wireless internet throughout perfect , front desk staff helpful business need . overall , would stay , Midtown . accessibility quiet - er part midtown nearby big plus . Minus ? hotel need get affinity discount program local gym . health club bite limited equipment . 
 Apr 21 2008 	 great place stay 	 stay Hilton Garden Inn 10 night . get marry New York want everything stress free . big party we . six room altogether although Virgin make error room selection ( double twin etc ) hotel staff brilliant sort quickly possible consider one busy week ! suppose staff may extra nice we get married staying bit long usual guest really go town look we gift etc . polite friendly happy give good advice place go money save tip ! hotel fabulous location , central everything lot good restaurant bar close . room spacious comfortable . restaurant also quite nice , particulaly breakfast . free internet accessAll would defintitely recommend hotel hope stay anniversary ! 
 Apr 20 2008 	 really enjoy stay 	 return 5 night stay Hilton Garden Inn , really impressed location & amp ; service . call reception desk one light be not work & amp ; within half hour mend . staff polite , hotel & amp ; room clean . arrive allocate double room , ask twin , resolve without we even mentioe anything , receptionist spot request . room smoking room , non smoker , openend window & amp ; fine . give breakfast voucher compensation , unexpected & amp ; much appreciated . be not business , make use free internet service . actual location hotel good , couple minute walk time square , also go show & amp ; theatre matter minute away . would not walk night town , feel safe walk New York . whole city totally impressed . flight home be not late day & amp ; storage available case till leave useful . restuarant good , always clean & amp ; never felt rush also never wait , staff efficiant , polite & amp ; helpful . hope go back New York & amp ; would stay hotel & amp ; recommend other . 
 Apr 18 2008 	 Ups down 	 go hotel year ago ; come national event . first arrive room , look someone still live . sock , charger , etc floor . immediately call room service , take care issue without problem . stay five day , main complainant mini fridge work ice overgrow make door would close . take care hammer ... felt not repair something vacation . great location though ; many street vendor nearby , amazing little shop close subway station , allow access New York . highly recommend get slice corner stop take look item near China town . overall give location average review room clean first get . rest visit enjoyable . 
 Apr 15 2008 	 good family hotel 	 stay 2 night hotel 2 young child ( 2 4 ) .arrive small hour morning due flight delay , warm welcome , free bottled water , quick check - in show straight comfortable room . I request non - smoking room , arrival tell smoking room available . little way , however , smell smoke room ( though could smell smoke corridoor outside ) . fine . staff pleasant welcoming , location great . fridge microwave room standard great young family , small shop downstair lobby . bed comfortable , room large enough we , though lot extra space . breakfast include deal , also good . they not child 's portion however - prefer serve adult portion seem wasteful . 
 Apr 14 2008 	 Wonderful Service Great Value 	 perfect location right 8th avenue & amp ; 48th . 7th times square / Broadway . 42nd street north south everything . fantastic little mexican restaurant right way eight 51st 52nd . right eighth block south deli free delivery order breakfast / coffee , desert whatever right room / the hotel near theatre . august Wilson theatre 52nd . Majestic ( Phantom Opera ) right 42nd think . everything right walking distance . price hotel good compare else . stay 7th Ave . pay prob . double cost hotel . hotel ’ room size closet , hotel pretty roomy space GREAT staff . really care stay . bellman get know , courteous polite . they strive " 10 " get . great nice . problem something , fix . concierge help around city . wonderful/ 
 Apr 10 2008 	 great hotel great location 	 return week stay Hilton Garden Inn could recommend highly enough . great location , heart theatre district 1 block away Times Square . good restaurant locate 46th Street 8th & amp ; 10th Avenue , easy get . buy 3 day ' hop , hop ' bus ticket Viator - Grey Line . need change email confirmation ticket office street bus go every 15 minute . 
 Apr 8 2008 	 great hotel great location 	 sister come back 3 night stay hotel . hotel locate fantastic location , one block Times Square , find everything easy walk , hotel fantastic base . room spacious 2 queen sized bed , clean tidy good double glazing not hear traffic noise ( 4th floor ) , bathroom little small clean tidy meet need . problem encounter noisy neighbour , could hear every word wall must thin , second night . would certainly stay , great base , staff helpful friendly dealing . breakfast ajoine restaurant reasonable fill we till go lunchtime not expensive . 
 Apr 7 2008 	 nice hotel people consider NY 	 family never NY . go , read lot review many hotel . decide stay Hilton Garden Inn Times Square . six night . staff avery friendly nice . request roller bed additonal charge . staff helpful . give we detailed direction place ask . believe , even need map . Central Park nearby great place family ( daytime ) , especially runner . hotel Times Square , everything convenient . within walking distance . several restruant also available . late bird , book room breakfast . breakfast , 11:30 a.m. really good . anyway , strong recommend hotel family , single , friend , business , etc . one thing would like remind request room high floor side 8th ave . 
 Mar 31 2008 	 Excellent location 	 stay girlfriend 6 night part week long holiday New York . book stay direct Hilton ' website find easy use . choice hotel largely location also value offer . stay thanksgive many hotel inflate price . upon arrival surprise see hotel stay previous visit New York . point day Inn remember room look tired smelt smoke . Checkin easy staff friendly . soon room NYC spacious offer excellent view onto Broadway . room bathroom clean tidy amenity provide . Breakfast ' include within rate eat restaurant attach hotel ( Pigalles think name ) would recommend . excellent food popular New Yorkers walk street . we also excellent view Macy 's Thanksgiving Day Parade room . no problem noise locate 11th floor . Access Times Square easy , around corner , good subway link close make good use . 
 Mar 27 2008 	 Excellent hotel good location good service 	 agree reviewer . great hotel . te location 8th avenue/49th street Midtown Manhattan great . Times Square five minute walk away . Rockerfeller Center little . also walk Bloomingdales , Madison Square Garden , Macys Central Park take everything around area . subway entrance opposite , fancy bit boutique shopping Soho , C , e train take downtown minute financial district WTC site , Battery Park ferry . facility nearby include Starbucks anywhere turn outside hotel . supermarket open midnight next block 24 hour chemist opposite also sell selection grocery . restaurant row 3 block away find great restaurant . reasonably price we Brits absolute bargain . also number bar good happy hour . the hotel standard business hotel affair . lobby area small ; ' expect soar atrium style lobby like similar chain hotel . could become congested large tour group arrive . there small seating area complimentary tea coffee . concierge sit . also 24h shop sell selection tourist tat along sweet , snack drink . vend ice machine also every floor . staff efficient pleasant throughout . arrive midnight give key credit card swipe incidental require . bell hop friendly ask question give we advice . also greet hello nod whenever leave arrive hotel . negative staff front concierge ask arrange transfer back JFK . price steep . use internet get quote half price . $ 48 want know . room need functional . ' expect boutique hotel , standard business hotel room . plus fridge rather mini - bar , room safe iron / ironing board . free wireless internet superb . allow research need trip . know New York reputation small room . hotel room asian hotel size . ie big . fact could put sofa armchair spare space ' one . downside would smallish otherwise fine bathroom ' change bedding daily ( although ask ) people mention noise issue . ' normal NY street noise , ie horn siren get elsewhere . Windows double glaze muffled anyway . want quiet New York City perhaps place . restaurant attach hotel . ' great little find judging amount people come straight street , ' popular place local . breakfast highlight . if get B & amp ; b rate get special Hilton menu five choice . menu great . breakfast huge course come free flow coffee . standard menu large selection rate include breakfast take menu breakfast ' great . staff also efficient pleasant . sometimes queue ' put . turnover table swift never wait long seat . we never try dinner menu look quite good place always busy . however drink bar find price import alcohol bit steep even we Brits . well value moment way . overall good stay nothing quibble . would recommend strength location , efficient pleasant staff breakfast attach restaurant . 
 Mar 25 2008 	 Great Stay 	 spend week teenage daughter . love location , security staff . room regular clean comfy bed . well upscale hotel stay . 14th floor little street noise . satisfied every way . front desk staff exceptional . breakfast next door huge good . would definitely stay . 
 mar 22 2008 	 great stay 	 partner stay hotel Dec 2007 4 night . find location great really central attaction . great bar accross street ( society ) worth trip beer bar food ( good margaritas town ) round th corner theatre jazz club . good breakfast street along food mall lovely japanese restuarant manage fit we one night.i would recommend Hilton Garden Inn reasonable hotel stay short break Big Apple . 
 Mar 18 2008 	 great location great hotel ! 	 go charity function decide stay Hilton Garden Inn Eight Avenue 48th Street . wonderful location , pleasant staff great breakfast ( part package deal ) .The room clean spacious fridge flat screen tv . bed comfortable . the room bite expensive $ 325 ( , bad NYC ) room breakfast parking ( lot next door ) around $ 30.would stay . 
 Mar 17 2008 	 Good Midtown Choice many reason 	 one know NYC stay often great midtown choice follow important : 1 . great theatre / restaurant row location 2 . Times Square block away 3 . access subway line close ( , C , e within one block ( 50th ) & lt ; easy Penn Station & gt ; Times Square subway station & lt ; pretty much get anywhere city & gt ; ) 4 . hotel clean , decent size room NYC , microwave , refer pleasant staff willing help & lt ; typical NY aloofness & gt ; 5.Central Park / Columbus Circle Shopping even Rockefeller Center anbd 5th Ave entirely walkable . 6 . safe area - 8th not use year year . great club , lot restaurant high - end local , Broadway theatre starbuck every corner Javits Center ( close ) 8th conventioneer . use four computer business center 24/7 . restaurant contemporary food attach convenience . 8th easy accessible thousand taxi ( always ) since 's major throughfare . hallway clean , everything update . housekeeping service attentive responsive . conceige front lobby area . Neutrogena amenity provide . safe room , bellhop plentiful nice . 24 hr parking garage right next door . plenty local bar tourist friendly . get room - take - hotel get popular cost / value / location . remember mid town view rooftop building , siren horn honk , many room small city pool frequent amenity ... NYC ... get see view via central location , sleep comfortably clean room enjoy restaurant square mile ever could eat at . one suggestion ? get outta midtown ; go Village ... SoHo ... Lower East Side ... Upper East West ... go . block away ... 
 Mar 16 2008 	 get ` ` 10 '' ! 	 spend week business Hilton Garden Inn Times Square . second customer service - attend manager 's reception , address name manager . suggestion make stay receive positively act upon immediately , possible . the exercise room would benefit equipment upgrade , bathroom 's ventilation system could improve . otherwise , room top floor quiet , well - appoint , clean well every day . especially enjoy sleep number bed central location appointment , subway station , Olympic Diner across 8th Avenue , Food Emporium across 49th Street . 
 Mar 14 2008 	 Great Hotel 	 Hilton Garden inn great location really nice hotel . staff really helpful polite . hotel clean room modern . room flat screen tv , desk fridge . room clean every day . great hotel stay not noisy . short stroll Times Square get subway . would recommend hotel anyone , young old . 
 Mar 13 2008 	 great location 	 clean hotel great location could walk everywhere , around corner Times Square , Rockefeller Plaza , theater district . parking next door , great time hotel location . 
 Mar 8 2008 	 Bad 	 occupation travel every week . therefore , stay different hotel every week . overall , pretty nice place . large clean room ( allbeit , bit noisy ... , come , New York City ) , close subway station , eatery , Times Square ( 1 block away ) , Broadway Theatres . would book . 
 Mar 8 2008 	 Perfect Hotel 	 Hilton Garden inn great place stay NYC . close everything yet middle rush . due weather miss first night hotel still feel get great deal . the room HUGE NYC , staff helpful friendly . ' ve stay several hotel vicinity one far good . can not go wrong . room face 8th high not problem noise . subway right around corner , access Broadway show convenient take 8th instead fight crowd Broadway . ' m look forward stay , would even pay vs. another hotel . 
 Mar 6 2008 	 Great Location Great Staff 	 location perfect we . Lion King see Les Paul Iridium , minute choose venue . subway stop right across street take we directly financial district . first evening walk St. Pat 's Mass Top Rock see skyline night . view impressive , overprice elevator ride . we enjoy mill around Rockefeller Center grab light meal Lobster City way back hotel . think Lobster City good . much well Patsy 's follow evening well value . it seem everything need within 15 20 minute hotel . the staff wonderful ... friendly attentive . & quot ; 10 & quot ; campaign go work hard earn perfect score ( & quot ; 10 & quot ; ) . certainly 10 well , exception concierge . get impression sell discount ticket not know much else . particularly friendly . she try convince we take shuttle airport price two , could taxi ourselves . the room fairly nice size NYC . surprised . our room , 1005 , face 8th Ave back side , much quieter . never could get thermostat work quite right , adjust temperature opening closing window . fire station next door siren never nuisance we . however , hate , hate , hate comforter bed . heavy , change position like wrestle alligator . despite comforter thermostat issue , enjoy stay look forward return visit . 
 Mar 2 2008 	 Irish Bars 	 spend five night hotel staff clean friendly . first night second floor find noisy . ask move get beautiful room tenth floor beautiful view 8th avenue . 
 Mar 1 2008 	 Baby Friendly hotel right TImes Square 	 travel 5mth old baby first time . hotel clean modern , maybe recently renovate ? room huge Manhattan standard , plenty space King bed crib ( provide hotel free charge ) . room mini - fridge even microwave . location awesome , block Times Square 1 block subway . get good web rate hotel website would definitely stay . 
 Feb 17 2008 	 Perfect stay Christmas ! 	 stay NYC Christmas , Hilton Garden Inn make Christmas really special . we get JFK use blue shuttle bus ( fully license etc twenty dollar , bargain way right Times Square ) immediately meet front bellhop take bag guide we front desk . the desk staff excellent - could not enough we whole stay , could really get use sort service back home UK ! room 12th floor great , really good value , comfy bed ( adjustable firmness be picky ) clean , mod con nice bathroom . could not pick fault room . now , clear , hotel pretty much central get , window open would hear sound city ( duh , NYC ) sound night sleep every night stay . breakfast - real american diner experience , directly across road hotel Olympic ... breakfast excellent value ( $ 20 we ) able choose something different every day - personally would pancakes blueberry , girlfriend recommend scramble egg cheese . we not reckon much attach restaurant , though never eat , not atmosphere eatery visit neighbourhood . ( definately avoid Scarlattos around block hotel - bad meal experience whole time US ) . 
 Feb 11 2008 	 can not Fault Staff 	 wife recently stay one night Hilton Garden Inn Times Square & quot ; getaway & quot ; evening . book hotel website $ 179 plus tax . start review , want emphasize staff excellent try accommodate need every turn . put & quot ; two queen size bed & quot ; room upon check - in base lack availability & quot ; king size bed & quot ; . room size fine , , actual bed cheap kind springy . 12th floor . way plush . , ask see king sized room , great assign we 2nd floor room . one king size bed one handicap equipped room . ask front desk adjust firmness bed dial bed ( air adjustable bed ) seem trick . bedspread low thread count cheap looking . luck draw may , loud , periodic clang sound ( like construction ) throughout night we could sleep . figure since go trouble get we hard find king room , could ask move . , suffer night without sleep . word warn hear subway underneath stay 2nd floor . plus , hallway look slightly dingy . , someone usually stay Hilton Garden Inn quite bit , big disappointment random chance get & quot ; one room & quot ; noisy . however , location great , staff wonderful , restaurant Pigalle next door excellent reasonably price room standard would expect HGI . like medium firm bed , not stay unless book King size adjustable bed ask technician adjust . otherwise , ask stay high floor fine , etc . wish could write generally positive review , , can not give bed noise ... 
 Feb 10 2008 	 can not go wrong ! ! ! 	 can not fault location : subway 1 min hotel ( direct JFK train ) , broadway 3 min , central park 15mins . great sized room ( city hotel ) , king size bed , powerful shower , LCD T.V. , fridge microwave ! staff friendly helpful . good restaurant , reasonably price . I would recommend hotel would stay . consider price many hotel downtown New York location hotel fail please ..... fire station 50 yard hotel not disturb we night , girlfriend light sleeper would heard something . 
 Feb 9 2008 	 Great Location Friendly Staff Clean 	 stay Hilton Garden Inn Times Square one top vacation . hotel around one big block Times Square , please not think stay heart square . however , location close everything . subway station right across street Central Park within walk distance hotel . the staff hotel extremely friendly . disappointed not get upgrade room ( Diamond Hilton member ) , however , room nice quiet . 8th street side hotel 10th floor . head NYC , definitely hotel consider . check Good Morning America . receive inside studio ticket meet Diane Sawyer . register website . addition , check Jon Stewart show great time ! 
 Feb 6 2008 	 simply good ! ! ! ! ! ! ! 	 return nyc . hotel staff could enough make stay enjoyable experience could hope . 10 f 10 aspect . good location 3 block hustle bustle times sq quiet night apart subway fire station add nyc experience . restaurant available hotel prefer eat , planet hollywood great favourite much choose . go top rock night- absolutely beautiful highly recommend . 
 Feb 5 2008 	 good size room service noisy ! 	 pick hotel Roosevelt much big room convenient location Times Square . bad thing room face 8th Ave noisy every night . first station near fire truck come every nice turn horn . cop would repeatedly turn horn cross traffic signal . first check ask receptionist room high floor since read another TripAdvisor review suggest get high room noise tell room 8th floor pretty high since 12 floor . make difference . hope help traveler find hotel New York . wife usually go year New York hang friend . first time stay near Times Sqaure not think ever . subway New York run everywhere stay part town worry noise . 
 Feb 5 2008 	 top mark Location service cleanliness 	 stay 3 night 1st Feb 2008 enjoy experience . side , rectify promptly , air con fan right outside room switch time phone call . all review read say location great agree , close enough Times Square far enough away miss crowd . good bar restaurant area use hotel restaurant . recommend bar W5st Street load great beer . 
 Jan 31 2008 	 great hotel would recommend ! 	 boyfriend stay hotel three night 26 Jan. impressed hotel , staff location . one block Times Square , ideal location go either direction , walk 5th Avenue central park hotel . staff really helpful direction go happy give different option travel etc . room really well equip , large king bed , flat screen tv , fridge microwave . although not spend lot time room home comfort really well appreciate end long day . bed lovely . bathroom clean plenty towel , change every day . chemist , deli , bar lot take away food place outside hotel . port authority bus station short walk hotel catch bus Woodbury Common outlet centre ( 1 hour bus ride , $ 39 return ) well worth trip save $ shopping . we fly Newark , taxi $ 68 ( include toll ) hotel $ 75 ( include toll ) go back airport . to sum , great value money , really friendly helpful staff , clean great base NY trip . would definatley re - book go back ny . 
 Jan 29 2008 	 Great Hotel - Great Location ! 	 arrive hotel Saturday - January 26 , 2008 two night stay . clean spacious room microwave fridge . stayed 9th floor . staff friendly go way say hello ask anything could make stay enjoyable . the hotel locate block Times Square 3 - 4 block Broadway show . place NY , plenty restaurant within walk distance restaurant attach hotel offer nice menu reasonable price dinner . 
 Jan 27 2008 	 good price / quality relation 	 nice hotel , strong price / quality relation . big , comfortable clean room also clean bathroom . great location , 5 minute walk times square . measure , 4 star hotel . 
 Jan 23 2008 	 worth consider midtown ! 	 return stay 3 night mid - week Jan 08 Hilton Garden Inn Times Square ( 8th 48th ) . overall would recommend place would stay base number factor . first , location . New York near Theatre district show , close Times Square particular kind madness , near enough Central Park , 10 minute walk Radio City Music Hall , 15 Rockefeller Center , decent walking distance moma , close subway , near restaurant , pharmacy , light shopping , perfect location . go Letterman taping , Daily Show taping , two Broadway show ( Spamalot - MISS ) November ( slight Yawner ) well MoMA , Park , 5th avenue ( stop see yellow Tiffany diamond ! ) relative ease . second , ammenitie . want modern clean hotel ammenitie ? : free wifi , flat panel tv , fridge , CLEAN shower bathroom fixture , nice towel , adjustable room temperature , openable window , comfortable ( adjustable ) bed nice linen , new furniture , lock safe , hanger remove closet rack , place . and $ 250 / night ? ( pay low -- mid - January , however , NYC location new modern hotel , incredible price opinion ) .include , really nice hotel staff . despite check room ) already occupy b ) sign paper rate cheap originally quote check - in , staff nice . ( bellman help luggage bring we back downstairs resign paper work high rate give room UNoccupied across hallway ) . really like doormen and/or bellman . friendly , helpful , nice . there two computer internet access main lobby , convenient travel laptop . there decent restaurant adjacent hotel . breakfast good , French - like , pleasant service ( though try place 6 year ago remember thinking have never go back b / c service AWFUL theatre ) .potential issue : still remodel . check Tuesday early , could get room noon , however , really sick need sleep constant buzzing sound near room ( sound like roof ) . inquire check tell & quot ; Aww , guess hear remodeling & quot ; . think sign table near elevator lobby floor , however , would nice check tell we & quot ; pardon inconvenience & quot ; . hear two day 9 afternoon . quite bothersome . slam door . maid closet nearly across hall , not know guest clean staff , lot slamming door could hear easily . room 1518 , top floor ( high street , could still hear Fire department truck next door ) . think like reviewer , may hear guest wall ( sometimes could hear talk -- sure hallway adjacent room ) . 
