pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Aug 3 2005 	 nice hotel ! 	 daughter stay Lucerne week July 25th . arrive Monday around noon , able check immediately ( instead wait 4 pm ) . doormen front desk staff friendly nice - answer question . offer put small refrigerator room , say okay , never deliver . not big deal , be would like . 6th floor , face 79th street . room clean , little small ( 2 double bed ) . would not want two people standard room - upgrade 2 people . hair dryer , iron board & amp ; iron , umbrella use need . location hotel great . subway # 1 train right around corner - take Times Square connect many line . H & amp ; H Bagels , Zabar 's right also . Duane Reed drugstore right across street . not try cafe attach ( Nice Matin ) , hear good thing . store luggage departure day , not leave 4:30 pm . , staff nice , hotel clean great location . would definitely stay ! 
 Jul 29 2005 	 fine hotel great location ! 	 stay 5 night mid -July New York heat wave find hotel cool comfortable . ask change room noisy late night bar opposite problem - staff professional helpful . agree favourable review - impressed staff , room size cleanliness - price , hotel great value . location fantastic walk around safely - neighbourhood interesting 3 restaurant row - Nice Matin , Bello Sguardo Bettolla - super food , reasonably price , within 30 second hotel door . couple live Upper Westside agree we be never tempt eat elsewhere - meet couple Nice Matin bar - Bobby mix wonderful drink drink end day 's sightseeing pop day go upstairs prepare evening - good people watch . Sarabeth 's good breakfast . whether walk Central Park downtown , catch subway , bus taxi - Lucerne good starting point would definitely recommend - feel sorry tourist pass go standard NYC high rise hotel downtown ! 
 Jul 27 2005 	 Nice Hotel ! 	 pleasant hotel superb location . wonderful neighborhood close subway , Central Park , Museums , etc . the hotel staff pleasant make good effort try keep hotel safe evening . the entire hotel clean . restaurant next door so - so . wait 20 minute Bagel .... go street . the thing find inconvenient hotel , in - room safe . use safety deposit box , bring lap top would not able store . : - ( , would recommend hotel especially price location . 
 Jul 27 2005 	 really good find would go back . 	 husband stay Lucerne 6 night early July . pick hotel Avenue mainly base tripadvisor [ - ] review , disappointed . not get chance look Ave not feel need . want stay Upper West Side Lucerne great position hang area away touristy mid - town . room big expected photo , make well every day . clean , brand spank modern cut edge comfortable shabby . the closet big - manage get clothe plus suitcase , use drawer unit tv well , nice fall thing . desk chair plus two little arm chair room , room walk round bed comfortably give idea size room . the bathroom also fine - small , totally clean , nice toiletry , good shower bath soak end day . housekeeping staff nice give we load towel leave fresh toiletry every day . the staff really helpful get thing pretty much straight away - eg bulb bathroom blow . concierge extremely helpful - question every day ball , plus make reservation we call cell phone confirm do , sort saturday night entertainment nearby comedy club get we free entry reservation . be valuable asset ! neighbourhood pack place eat reasonable price - Nice Matin hotel nice slightly pricier everywhere else . go Zabar 's 79th B / way be marvel yummy thing . never make H & amp ; H Bagels apparently be good . shine Star diner large menu world good breakfast ; good enough eat far , little different average diner . walk Amsterdam provide much choice be unbelievable ! last thing , may sound unimportant give idea place - guest nice , checking , lady ask certain room obviously stay hotel , seem get repeat business . so , complaint , would definitely go back would recommend ! 
 Jul 25 2005 	 pleased 	 1st trip NYC entire family include 12 year old , 10 year old 15 month old . loved location UWS - feel safe proximity museum great . simple walk Musuem Natural History ( even 90 degree heat push stroller ) easy bus ride Met Art Museum . subway 4 minute walk take Empire State Building Chinatown . air conditioning perfect walk hot city street . could afford suite anywhere concerned whether would able fit Graco play pen room 2 double bed . able push one bed close night stand able wedge playpen inbetween wall & amp ; bed . leave we room inbetween front 2 double walk . squishy fine . bathroom clean . room 1021 hear noise - another big concern sleep baby . room window looking , notice room center building - imagine window least one view . also request receive mini - fridge extra charge . we would definitely stay . 
 Jul 13 2005 	 really nice hotel request double .... 	 hotel review read indicate room typical NYC hotel , 's case . reservation Queen Superior room , nicely furnish , small ; bed , armoire , desk nightstand nearly touch one another , view interior brick wall , nothing special compare NYC hotel ' ve stay . however , co - worker double twice size rate , view . sheet bit scratchy , room perfectly clean . room quiet except hall door loud third 9th floor . hotel staff nice helpful , location terrific Upper West side . 
 Jul 6 2005 	 wonderful hotel ! 	 stay Lucerne one night stay - Saturday night 4th July weekend . wish could move ! service outstanding , room - fantastic . king suite beautifully appoint , luxurious linen comfortable bed ever . plasma screen tv 's , super - thick robe , toiletry UK , gorgeous furniture decor .... love . plus , location excellent - upper West Side real neighborhood , fill shop excellent restaurant . walk distance Central Park , Lincoln Center , Museum Natural History .... tourist ideal . us - live suburb , great pie - a - terre romantic weekend . complete evening dinner Terrace Sky - 5 star restaurant Upper West Side . highly recommend ! ! 
 Jul 2 2005 	 Location top 	 Husband stay 5 night Lucerne end may start June love . room ( 12th floor ) clean , smell smoke , bathroom recently update , bed comfortable . location residential area ton great restaurant within block , subway stop mere block away , pleasant staff make place will definitely stay ever make back NYC . pay $ 210 / not book hotel site room king size bed . 
 Jun 16 2005 	 great place stay 	 husband stay 4 night may impress . price right value especially NYC . great neighborhood ...... wonderful restaurant , close park transportation . staff charming , kind helpful . get Dr. we less 10 min . fact , poor husband comfortable possible spending time sick bed . room quite adequate nicely appoint . would recommend Lucerne anyone visit NYC . 
 May 23 2005 	 can not beat Location 	 stay Lucerne husband one night May 2005 . arrive NYC via Amtrak Boston get hotel fairly quickly via cab Penn Station rush hour traffic . the two good thing hotel Upper West Side location , short walk Central Park , Museum Natural History , Zabars , etc . reasonable price NYC hotel room . be also fairly residential area quiet . kid running hall never hear sound guest adjoining room . my main complaint room , suppose non - smoking , definately house smoker ; fact , entire 5th floor smell cigarette smoke stay . room two double bed , desk , bath tub , armoire tv . clean neat . bed mattress hard ; like firm mattress , trouble sleep . if fanatic water pressure shower , will love shower . water pressure excellent . we eat dinner breakfast restaurant house building , Nice Matin , Mediterranean style restaurant , feature french cuisine italian flavor . food service excellent . I would definately consider stay . 
 may 22 2005 	 wonderful Hotel 	 wonderful hotel upper Manhattan staff courteous well mannered staff . clean comfortable . price reasonably conviently locate close Central Park . 
 may 17 2005 	 Decent place stay budget - conscious 	 stay Trump International previous two trip Manhattan , visit primarily event Lincoln Center visit American Museum Natural History . however , time around , read review Tripadvisor , decide try inexpensive three - star option see would fare . , stay Trump past stay three - star establishment zip code : Empire Mayflower . since close . find barely acceptable -- stain carpet , uncomfortable bed , linen cigarette burn lipstick stain . will find squalor Lucerne . clean , decent place give excellent value . absolutely unpretentious ( mayflow air even though shabby hotel ) , 's heart neighborhood residential feel . west 79th Street station 1 - line several block west , Central Park several block east . stay 5th floor , rather large Superior Queen room ( basic room available ) . dad stay floor much small room . category $ 195 night ( lowest available ) . room face inside . absolutely quiet . bathroom spotless , acceptable toiletry ( prefer bath gel soap , , be Duane Reade right across street pick essential ) . good , splendid water pressure . staff give lot privacy -- instrusion whatsoever . high - speed access legitimately available non - suite room , Powerbook pick network surf free . not work ( unreliable , course ) , log dial - up pay 75 cent plus 8 cent minute ( hotel info book incorrectly list cost .08 cent per minute ) . really like food Nice Matin -- delicious fish scallop . stay hotel , highly recommend nearby Starlight Diner , open 24 hour run nepalese gentleman . gyro sandwich superb . be look clean , decent hotel get important Upper West Side Midtown destination time -- two subway stop Lincoln Center , three Columbus Circle , four 42nd Street -- great place . not find staff especially friendly charming helpful , can not speak much . professional job . 's experience concierge need service ( ask one question , subway ) , also perfect place be highly independent like leave alone thing . one thing : say , security reason allow visitor 12 am 7 am , time need give name room number order enter building . 's low - tech security work take safety seriously . conclude , will say above - average - to - excellent hotel ( 4.5 ) -- probably good price area . 
 may 17 2005 	 impressed 	 reading review post expect lot hotel probably . room small really suitable people stay weekend minimal storage space suitcase . room quite clean . one member front desk quite rude ignorant , rest staff delightful . save grace location great explore city day local restaurant bar night . 
 May 13 2005 	 shabby 	 although Lucerne never exactly stylish , least good location . well even cut anymore . hotel could consider shabby anyone 's standard . furnishing 2nd rate , include bed sheet seem stain . staff dose not seem personable use either . next time , will try another hotel . 
 May 9 2005 	 wonderful ! 	 stay Lucerne week business travel . perfect location- upper west side neighborhood easy access subway , bus , restaurant tourist attraction ( Central Park block away ) . especially pleased overall hospitality . one front desk staff member extremely helpful give direction suggestion thing free time . ask quiet room give one seventh floor back . hear anything outside room go sleep night . highly recommend Lucerne .... hope not become popular price remain budget next visit ! 
 may 8 2005 	 great place stay New York 	 stay 5 night want . see review different NY hotel website nervous end dump . Lucerne live 's reputation . slight side room first put front hotel noisy . also smell cigarette smoke despite smoking room . couple night ask change hopeful know pretty full minute we new room back incredibly quiet big nice first room . the attached restaurant good although bit expensive . mange get good breakfast $ 10 happy that . overall highly recommend hotel . room well decorate comfortable 
 May 6 2005 	 Never 	 hotel need serious haul . staff upon check need serious haul well , like remember hospitality business . never . 
 May 2 2005 	 Wonderful Place 	 stay two different hotel first visit New York City experience different part city . hotel charming friendly , staff recognize we . great would recommend . 
 May 2 2005 	 Loved Lucerne 	 family three ( teenage daughter , husband ) stay Lucerne Spring Break . read reviews Trip Advisor end choose Lucerne simple reason need 2 bed room . sister - in - law live New York , highly recommend stay Upper West side . say stay tourist area ( like Times Square ) would noisy . right , really enjoy location ! natural History Museum block away , Cafe Lalo ( see & quot ; Got Mail & quot ; star Tom Hanks Meg Ryan ) also block away . stay Lucerne like experience New York resident . staff Lucerne highly professional accomodate . impressed size room ( New York size go ) would definitely stay , family friendly ! pay read review , able find great hotel decent price ! 
 Apr 22 2005 	 wonderful hotel every way ! 	 stay junior queen suite five night really love everything hotel . 's locate Upper West Side residential area find perfect -- love leave chaos city night enjoy peaceful sleep . never noise ! room generously size thought , especially read much tiny NYC hotel room . lot room move bed etc . bathroom small pretty -- marble . room common area spotless . staff helpful bit pretentious . other say , subway minute away H+H Bagels ( heavenly ! ) Zabar 's market great fun wander . also right across street local drugstore chain , Duane Reed , pop many time thing would forget soda , etc . we breakfast little cafe around corner , Sarabeth 's , fantastic french toast , bake good etc . we definitely stay lucky enough make back city ! 
 Apr 20 2005 	 another satisfied guest Lucerne ! 	 Loved stay Lucerne ! excellent location - block subway , block Central Park , close major show theatre Broadway , great restaurant bar around . safe nice area - residential . on - site restaurant good - receive coupon 20 % b - fast ate enjoy . three people room two double bed . room bit small , expect NYC . clean . service hotel fantastic . , nice stay ! 
 Apr 12 2005 	 Nice Stay ... Nice Matin 	 family 4 ( two adult kid age 12 16 ) stay suite 2 queen bed small living area loveseat , desk , refrigerator ... although big enough even business want work space . ( could figure open twin mattress contain loveseat , not matter . ) bedroom generously size NYC hotel . bathroom also small , , be expect . room nicely appoint clean , common area . overall look upscale flashily so . we find convenient location , subway short walk ( minute , maybe less ) away . 's pleasant business district , shop sort nearby case forgot pack anything . also quiet , rarity NYC . possible downside see bed firm , although be positive . like soft mattress , though , probably place . plus , hotel restaurant , Nice Matin , fabulous ! reservation , least 15 minute late plane delay . not problem , though ; friend meeting already arrive enjoy glass wine table , hold we . menu interesting many unusual choice , execution everything superb . service want ... understate attentive . less adventurous ( like 12 - year - old ) , burger fry also world . all , pleasant experience , would gladly return . 
 Apr 7 2005 	 recommend Lucerne . 	 wife stay Lucerne two boy ( 14 11 ) three night last week ( April 2005 ) . room ( two double bed ) small , issue we room except sleep . low cost worth trade - off space . hotel clean staff friendly . neighborhood great fun . enjoy area people live . place eat ( especially breakfast ) , Central Park , museum within easy walk distance . subway stop block hotel , line convenient many site would want see . go Times Square one night glad quiet area return . overall , lucerne great place stay see city . 
 Apr 3 2005 	 great stay Lucerne 	 great stay Lucerne Christmas . staff friendly helpful , room clean . unfortunately also tiny . expect though New York . overall terrific stay ! 
 Mar 23 2005 	 Quality spot 	 wife - to - be decide elope . want Vegas , want NYC . coin toss . okay , coin toss : beat submission . anyway , absolutely love Lucerne . reasonably price accommodation New York . fact border true bargain . well appoint room . breakfast room top floor outdoor seating area . report slight problem light bathroom , two serviceman appear less 5 minute . see Art Garfunkel hang lobby - sure . Treat Williams drive SUV . perhaps hangout c list celebs . Dublin House end block top notch irish boozer . part want give place bad rating keep think secret already . 
 Mar 23 2005 	 wonderful Hotel Room Service need work 	 husband recently stay Lucerne , favorite place stay visit NYC . pleased room , service , take exception room service menu . order & quot ; pot coffee & quot ; , bread basket start day . upon receive tray surprised & quot ; pot & quot ; coffee , small carafe hold 1 cup coffee . come one cup saucer . two we , call explain need second & quot ; pot & quot ; coffee . promptly bring we , bring coffee , second cup saucer . quick breakfast turn quite wait . in grand scheme thing , seem insignifiant . , hotel stay , & quot ; pot coffee & quot ; , exactly , ... container hold 2 cup . not mind pay , especially NYC , be quite normal , would appreciate menu bit clear . remainder stay , breakfast elsewhere . much cheap , get pay for . we continue stay Lucerne , fine establishment , will think twice order room service . 
 Mar 21 2005 	 Lucerne Great Stay 	 simply well bargain money ! travel : Mid March 2005 / stay : five day . roomy King Suite w / kitchenette approx . $ 250 / per night . location ideal something quaint elegant far away frenetic pace Midtown desire ! street safe & amp ; offer lovely stroll enjoy scenery . neighborhood instead light - up tourist attraction , not expect Times Square experience ! People meet street often live area offer great advice good New York . hotel staff attentive , never pretentious . Subway & amp ; crosstown bus stop within block ... lot eatery , ZABAR 's Grocers ( good grocer NY ) block away , LIncoln Center five minute subway ride ... Central Park within walk distance Natural History Museum . truly lovely little hotel . 
 Mar 18 2005 	 wonderful staff ... great location 	 friend stay @ Lucerne 2/20/05 - 2/27/05 . wonderful ! , everything close ... Central Park 2 - 3 block away , subway right end block . Nice Matin restrauant great ! staff wonderful friendly . bellman go way hail taxi cab friend . great little shop across street sell hot breakfast sandwich ( delicious ! ) Dublin House great , people really friendly . everything close , wonderful , snow couple day week watch fall sitting room . room nice clean , everything perfect .... would definately stay . not find problem stay . 
 Mar 15 2005 	 Decent 	 Lucerne excellent location , helpful staff quite reasonable price . family four stay 2 queen , one bedroom suite $ 275 . bedroom quite big , sit room ridiculously cramp . love seat TV , not even enough room coffee table . could also desperately use upgrade bed bed linen . be look nice space escape NYC hecticness , place . , want no - frill room great location without spend $ 400 night , will happy Lucerne . 
 Mar 9 2005 	 nice 	 hotel quite nice . everything feel solid first - class . room admittedly small , quite comfortable . incredibly quiet . other also note , lucerne great neighborhood . high - speed internet available room reasonable price NYC ( ~ $ 6.00 / day ) . one minor flaw : convenient power outlet laptop device . hotel something workdesk . instead , crawl furniture find available one . overall , though , be nice hotel , reasonably price . would stay . 
 Mar 5 2005 	 Loved hotel ! 	 first time stay upper west side ( 2/25 2/26 ) love location . many terrific restaurant area . 79th cross town bus , stop across street , go 5th Ave . subway one block away . room quite small adequate . stay weekend , would get large room . hotel staff excellent . roll film ( picture Gates ) fall bag room . staff retrieve we send we promptly . staff could nicer whole time include concierege knowledgeable available . defintely stay . 
 Feb 23 2005 	 Great Hotel 	 two friend stand Lucerne 2005 New Year complaint . first time New York adult not know expect . Subway conveniently locate take we ten minute get downtown subway $ 8 taxi ride time square . central park walking distance hotel staff friendly . another good thing place lot restaurant deliver food convenient we save we lot time . would recommend hotel anybody travel New York . 
 Feb 18 2005 	 2nd time stay lucerne 	 stay twice Lucerne . time great . 1st time suite pull sofa . good small family since give people space . frig great since go H & amp ; h bagel get lox & amp ; cream cheese zabar breakfast . get back , book room internet queen ( least expensive ) want 2 bed . get ask 2 bed problem . great location UWSide . stay excelsior , empire , Ave choose Lucerne . big crowd always rent apartment UWS . neighborhood , good restaurant , real feel New York . never would stay anywhere else Upper West Side . 
 Feb 14 2005 	 Loved stay 	 nothing good thing say Lucerne . friend stay 5 night February , 2005 . standard queen room small , small average New York hotel room . hotel well keep clean . room quiet , despite fact near elevator . neighborhood great . 's residential area lot restaurant shop . 's Filene 's Basement corner . 's subway stop half block away . Central Park Natural History Museum nearby . good thing hotel rate -- $ 159 per night . call bargain . 
 Feb 14 2005 	 Fine Location Sweet Spot 	 could not happy reasonably price hotel . place really nice elegant , small side exactly want . glass tower 20 - 40 floor elevator ! staff helpful . ask quiet room street . location excellent get bus , subway taxis direction up / down cross town - amazing . 1 block bustle Broadway 2 shopping food mecca Zabars , good NY 's bagle H & amp ; H , plus one favorite restaurant good enough Eat . bar Nice / Matin next hotel nice , generous nightcap . rush we way quite accomodating even though late . great , safe Upper West Side location , museum right across Central Park . ( get see Christo 's Gates ! ) hotel nestle building , do not ' expect view , not important . complaint : terrible pillow ! small lumpy . drat . maybe will fix . yet , will probably go back next trip . 
 Feb 10 2005 	 Comfort peace great breakfast ! 	 back New York ( first visit ) need stay uptown order visit family . Chose Lucerne , study review TripAdvisor . extremely easy get Central Park take subway downtown . slightly date , chintzy decor may appeal everyone , room 8th floor clean , light , spacious well appoint ( apart one broken light fitting ) quiet night . staff attentive helpful . Lucerne 's adjoining bar / restaurant , Nice Matin , huge bonus take breakfast without look elsewhere . popular local Upper West Siders , great atmosphere - especially weekend brunch . good , extensive breakfast menu ( although particularly cheap ) . lucerne guest use special entrance side door restaurant hotel lobby give 20 % discount ( per table ) breakfast night stay . pleased stayed - would definitely stay . 
 Feb 10 2005 	 Great Hotel Great Location 	 Stayed Lucerne weekend 1/28 . location great- scurry mid - town Manhattan , yet close subway ( 1/9 ) line easy access tourist destination . restaurant along Amsterdam great , serve much well food reasonably price midtown counterpart . hotel small intimate . lobby beautifully appoint , looks recently renovate . room typical small Manhattan room , , decorate beautifully , clean . great hotel great price , would highly reccommend . 
 Feb 8 2005 	 wow ! ! ! ! ! ! 	 first visit Lucerne , hopefully last . hotel perfectly maintain clean . room also quite large everything perfect working order . staff extremely friendly efficient ; especially Gunter arrange balloon ( wait we room upon arrival ) girlfriend birthday even small birthday cake , way delicious . location great bus stop subway station block away . January 21st three night get see blizzard . short walk Central Park , glorious cover fresh blanket snow . Natural History Museum , also nearby , along Children 's Museum great hit girlfriend granddaughter . anyone plan visit New York give Lucerne serious consideration . hotel perfect every way ! ! ! 
 Feb 3 2005 	 concierge top ; location great ; fine value 	 stay Lucerne Blizzard [ January ] 2005 delight . concierge helpful throughout stay pleasant . doormen front desk also helpful pleasant . hotel restaurant 3 4 wonderful restaurant less block away , outstanding wait people . easy walk Central Park , Zabar 's , even Lincoln Center . good value , though room bite small one need . steet noise 3rd floor room bite much , actually reassure ( many , many , many snow plow ) . 
 Jan 30 2005 	 absolutely fine superb Upper West Side location 	 family four ( age 17 11 ) stay Lucerne Friday night , January 2005 . hotel absolutely fine . room two double little snug ( four ) room NYC spacious . everything clean hotel staff accommodate . location Upper West Side superb . UWS great place walk ( hotel near Museum Natural History ) great eatery . not spend fortune eat NYC . example , several & quot ; upper crust & quot ; place breakfast , brunch , etc . Sarabeth 's good enough Eat . , block away ( 8th Amsterdam ) & quot ; diner & quot ; call Shing Star . breakfast food excellent account . pancake $ 3.95 -- can not beat anywhere USA much less Upper West Side . open 24 hour , full fledged diner . plus . may & quot ; fashionable & quot ; neighbor , be still place neighborhood folk go , get plenty NYC flavor . not overlook place . also cheap eat surround area : falaffel place 79th Amsterdam , Zabar 's ( NYC institution ) 80th Broadway , corner cafe supermarket , excellent appetize counter also prepare food go , fairly price . great pastry tre Le Pain Quotidien 76th Amsterdam , fantastic bakery 90th Broadway ( Georgine be ? ? ? ) . alternative Lucerne , check Beacon Hotel 75th Broaadway ( post review ) . excellent choice value . Becaon room bite big teriffic advantage refrigerator microwave great leftover . , reason , may first choice next time . will fine either . 
 Jan 19 2005 	 great value NYC 	 stay Lucerne Dec 28 New Years Day . excellent value service . convenient transportation straight downtown close many decent restaurant . recommend overall , especially not want spend bundle hotel still get decent place stay . 
 Dec 27 2004 	 Decent stay Lucerne 	 first upper West Side stay , know compare hotel area . arrive hotel December 24th , find staff quite helpful . check quick painless , request & quot ; room near elevator & quot ; take care . switch another room , & quot ; standard & quot ; room small . however , upgrade free even though hotel partially full due holiday . , $ 169 room become $ 199 suite . the & quot ; suite face Amsterdam & quot ; good size , look another building 's wall , Amsterdam . Bathroom NY small , clean fairly new . room decor doudy look . bed comfortable . heating wall unit two speed , loud . restaurant attach hotel , although associate , good bar decent breakfast , service slow arrogant . lot good place nearby , suffer . 
 Dec 20 2004 	 great bargain ! 	 Lucerne clean safe - beautiful neighborhood . one block Amsterdam one block # 1/9 train ! staff extremely friendly helpful - treat much well expect rate . will definitely stay . 
 Nov 15 2004 	 Excellent Hotel Great Area 	 get back NYC yesterday . Stayed Lucerne lovely Hotel great staff . clean lovely area . much nice stay New Yorkers live shop . great shop cafe around quick train ride middle thing . day even walk nice . staff hotel nice clean . go back NYC hope far away , stay ! ! ! ! 
 Nov 3 2004 	 love Lucerne 	 book queen size suite Lucerne . wonderful extra room -- especially New York City . upper West Side many restaurant bar area . be also close Museum Natural History . Central Park couple block away . find staff helpful quick attend need . subway stop within foot hotel . 's 10 minute ride Times Square . room clean quiet . would definitely stay ! rate $ 250.00 per night . 
 Oct 29 2004 	 good location ; good value 	 stay Lucerne 6 night . good value , well appoint hotel , near Central Park museum . build clear well look . staff friendly helpful . criticism room size . 2 bed , not lot space move around . plenty moderately - price eat place vacinity . favourite Sarabeths Restaurant round corner Amsterdam Avenue . serve great breakfast lunch . disappoint famous Barney Greengrass ' [ Sturgeon King ] also Amsterdam Avenue . food ok , place filthy - something find surprising New York . would definitely stay Lucerne . 
 Oct 25 2004 	 good value money ; good family 	 Nice hotel , good neighborhood , good value money . stay family ( two girl ) ; room big fine ; clean ; good bed pillow ; friendly staff 
 Oct 21 2004 	 Good Location / Good Value / Good Time 	 recent five - night stay lucerene great . king suite spacious , clean , well appoint . reception staff , bellman , housekeep helpful . request extra maid always provide . heating air conditioning function well ; good weather variable . sofa bed well ' ve ever experience . king size bed comfortable . build room well soundproof . neighborhood good shopping , restaurant , access subway , etc . spend entire week area run thing . previous post complain street noise -- -however city noise unexpected . midnight quiet . & quot ; complaint & quot ; high speed internet access . 's available floor 8 - 12 . be post hotel web site , sure ask request . staff willing move room vacancy . all - in - all , Lucerene Upper West Side gem . 
 Sep 27 2004 	 Grandma 	 Grandma & amp ; return stay NYC . stay 3 night Hotel Lucerne , really pleased . room spacious clean . staff extremely nice helpful . location quieter area midtown , convenient subway bus terminal well good restaurant . recommend anyone stay . 
 Sep 21 2004 	 Nice Hotel excellent location 	 NYC business week September 13th . choose Lucerne excellent location . use live upper west side always enjoy neighborhood . 's refreshing change pace hectic loud Times Square blandness MidTown . hotel keep well . accommodation comfortable clean . luxurious , complaint . room ( King Deluxe ) quiet good size Manhattan . hotel locate one block 1 - 9 subway line run along west side Manhattan . interested visit Times Square , be 10 minute ride away . good convenience nice neighborhood bar restaurant offer terrific food reasonable price -- -- something will not find Midtown Times Square . buy Zagat 's guide -- be worth investment ! 
 Sep 21 2004 	 First Choice 	 Fun family visit often take Upper West Side . last visit mother - daughter - granddaughter weekend , book suite Lucerne . ample room daughter call chum school come sleepover , girl love fluffy robe . anyone quibble location ? turn leave go block brunch Sarabeth 's . turn right go block bring Zabar 's back snack . grandmother amaze amazed hallway clean light suite accommodate , say go , ' ve see London , ' ve see France . Metro stop close forget walk Sarabeth calorie , park museum close maybe 's hope . not much need staff service certainly seem friendly , helpful gracious . 
 Sep 17 2004 	 nice clean friendly hotel 	 ... great location . stay business , August 17 - 18 . get good rate internet site . reception staff helpful inviting . room small , not party , work well . comfortable quiet . internet access user friendly , raise complaint staff , charge remove bill . neighborhood offer number good restaurant bar , walk distance museum natural history central park . 
 Sep 7 2004 	 Nice Hotel Quiet Upper West Side 	 stay 9 - 2 - 04 thru 9 - 6 - 04 . choose stay base first , great price get Hotel.com secondly , review read . nice hotel , beautiful exterior . upscale , residential part Upper West Side Manhattan . one block east Broadway 79th St . within walking distance Museum Natural History , kid love . subway one block away . use subway everywhere go . ( get metro card $ 7 day unlimited ride . ) kid love . depend be go get confusing not farmiliar NY subway . , much quick cheap taxi . expect little bit nice room base photo . room remind Holiday Inn . nothing special . two double bed , desk armoire tv inside . much space unpack clothe family 4 . bathroom sufficient . granite countertop , tile floor wall . , impressed . clean maid service good . thing negative say day checkout maid knock knock try come room 8:00am . fortunately , top latch lock . little annoying . they give door hanger pick USA today NY Times . nice touch . also , umbrella closet , not need . great weather . greet friendly bellman assist we room give excellent restaurant suggestion dinner . speak restaurant , never eat bad one . dozen walk distance hotel . mention great Zaggots rate Ice cream shop across street . Key Lime , graham cracker chunk ... amazing , also $ 5 one scoop . concierge impressive part hotel . always available lobby phone . make numerous restaurant recommendation , subway suggestion , etc . example ; US Open sell day want attend quickly find information screen hold Rockefeller center 40 foot screen stadium seat tennis court free kid activity . even well go ArthurAshe Staduim fight crowd long subway ride Queens . crutial part trip knowledgable . we love New York ! however , go back plan stay Time Square , close everything . ( spend lot time ride subway Time Square ) . hotel nice enough can not say anything bad . , would much rather close point interest . , be personal opinion . want nice hotel quiet part town lot nice restaurant patio seating , will enjoy Lucerne . be look bright light , people watch middle madness , bored . 
 Aug 27 2004 	 great hotel excellent location 	 choose Lucerne family vacation NY basis guide book inclusion tripadvisor comment . can not say disappointed Lucerne live expectation . Queen - Queen suite clean furniture high standard . bathroom nice extremely powerful shower . however one slight criticism water shower not drain well although not annoy much . the staff hotel efficient courteous course one would always expect . really set Lucerne apart location : one block away subway several good restaurant right doorstep . breakfast Nicematin groundfloor two three morning , although option include restaurant couple deli . all clean hotel upper west side would definitely recommend . 
 Aug 13 2004 	 Great Value 	 stay Lucerne one night August ( honeymoon night ) , choose hotel base positive review . NY metro area stay NYC hotel . consequently , think know good deal see one . solid 3 star ! ! aside great location , find room impeccably clean staff friendly attentive . even upgrade junior suite additional charge . lucerne short walk Central Park locate one good residential location Manhattan tremendous selection reasonably price restaurant . Metropolitan Museum Art block away 7th Ave . subway . would definately recommend hotel new NYC well NY suburbanite look night two city . 
 Aug 7 2004 	 Loved Lucerne 	 Lucerne wonderful hotel ! stay 10 night , really impress everything hotel . lobby lovely , staff friendly helpful , room comfortable bed , clean bathroom , tv , phone , coffee maker . the cleaner sweet , great job cleaning room day . fresh linen , towel , toiletry , replace every day . thoroughly enjoy stay Lucerne would happily stay . upper west side great area - around corner Broadway . plenty restaurant museum keep happy ! 
 Aug 3 2004 	 impress other 	 true , location wonderful . nothing beat upper west side multitude restaurant , charming tree line street short walk away museum subway , lot New York local young family . exterior hotel remarkable . room little disappointing . read review site guess expect $ 180 . small , somewhat date could use new carpeting bed spread . double bed indeed double , queen . shower , however great . could not help compare room 2 queen suite huge marble bathroom stay month previous $ 170 . hotel also include nice continental breakfast every morning . room view Empire state building , quiet include USA Today every morning . impressed Sunday New York Times Lucerne provide , next morning NYTimes . ask front desk paper , instead say would bring one immediately , say probably someone else swipe door ! 
 Aug 3 2004 	 Lucerne fantastic position 	 return New York , stay Lucerne , west 79th Amsterdam & amp ; Broadway - great position , well appoint good facility . customer service mediocre , would recommend hotel highly . 
 Jul 28 2004 	 Lucerne Hotel 	 Lucern nice hotel . furnishing average , elegant . however agree review - the staff always helpful , friendly willing advise . room clean location hotel can not beat . two block Natural History Museum , 10 minute walk Metropolitan Museum Art , short walk 2 subway line . would definitely go . 
