Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 Sep 5 2006 	 Beaten Path Good Way 	 wedding restaurant top Beekman stay hotel several night , many member extend family . staff helpful accomodate satisfied room . remember NYC , major city , unless stay Ritz , room go somewhat old / small small town . say , think room perfectly adequate , clean . also like hotel bit away Times Square / theater district . make much quieter less aggravating , short cab / subway ride away attraction might care see . restaurant top hotel pretty art deco theme . several nice restaurant reasonably close hotel . would definitely stay . 
 Aug 17 2006 	 Wonderful Place NYC 	 wife stay Beekman several time always love ! nice , cozy , friendly feel . rooftop restaurant wonderfully romantic place escape night ( admittedly , expensive , hey , 's New York ) . upper floor , quiet . the room large book suite kitchen . Summer , stay two teenager ( 17 15 ) . one bedroom suite hide - a - bed rollaway perfect ( particularly price ! ) . addition , save NYC - sticker shock breakfast snack room . we problem air condition one visit ( recent ) , issue service try fix ( air conditioning living room work , sleep visit ) .The location bit center , New York City fairly large seem like place close thing far other . UN handy ( course , unless diplomat many time go ) . end NYC , always seem like end walk lot . plus side , right across street deli / grocery store liquor / wine store . this great place couple , group friend family ! agree people comment probably not good place single business traveler . note oddity phone / fax machine one reviewer mention ( use ? ) not business center . we will definitely return ! ! 
 Aug 7 2006 	 Great Place Stay 	 travel New York two child age 13 18 hope comfortable base explore city . find Beekman Towers everything look . hotel easy find foot . 10 min walk Grand Central Station . suite beautifully furnish comfortable plenty space ( get free upgrade arrival ) . staff extremely helpful friendly . thoroughly enjoy stay would certainly rebook find New York again . there nice day restaurant across road ( Nations Cafe ) great breakfast menu . the note caution - think twice use hairdryer provide , blow fuse suite rang reception know hairdryer tell ! Ruth - Dublin , Ireland 
 Jul 25 2006 	 great family stay 	 Beekman Tower great choice family three need stay suite reasonable rate . book website get competitive rate . one bedroom suit amazingly roomy come kitchen . hotel renovate year still clean cozy . look room , probably find well choice hotel . right next UN 15 minute walk near subway station - some people might decide 15 mintue walk much - we find perfect walk beautiful residential neighborhood . might want consider bus since get see city get destination . three bus route pass hotel . number great restaurant within 4 block property . rooftop bar offer great view ... go drink avoid food ... worth . 
 Jul 21 2006 	 2 star hotel 	 two star hotel four star ! wery old sad room . change room stay al . Hotel decide temperature ' room like warm ... ok , ' cheap one bed room suite big . location litle bit . move Crowne Plaza U.N. four night . smal room date . clean . effective air - condition . 
 Jun 27 2006 	 wish could say hate 	 can not . anyone travel NYC , definitely need give hotel try . my weekend trip NYC start badly . idiot state cop podunk Catskill town nothing well decide go hassle we travel partner african american . fortunately , disturb incident , end fine bad part trip . once arrive beekman , thing could better . the Beekman right corner 1st avenue 2 block north UN . put 3 block walk nearest Subway station street seem safe clean even odd hour . front - of - house staff nice accomodate . reserve junior Suite also want smoking room , upgrade 1 bedroom suite . tell need exit building , go one entrace & quot ; E & quot ; tower take elevator 5th floor . & quot ; lobby & quot ; /entranceway & quot ; E & quot ; tower bit stark ( scary might well term ) elevator open bright blue stainless steel gleam . take elevator call & quot ; room & quot ; . apartment would better description . room HUGE standard absolutely cavernous New York Standards . enter brief hallway open living room almost large mine home . leave small breakfast nook leave , complete ( spotless ) galley kitchen complete stove , full - sized fridge , microwave , coffeemaker sink . Utensils utilitarian ( corn Corelle dish ) perfectly clean . toaster hide one many cabinet couple saucepan fry pan sink . living room single bedroom . contain single full - sized bed couch livingroom pull - out bed . ( hear charge $ 30 roll - away ) bath small , nice fit . even able find on - street parking right front hotel . there small corner grocery right across street full - sized grocery block away . formal hotel restaurant close private function , Smith Wollensky 's steakhouse 2 block away . small , less formal place abound area . all - in - all clean , large reasonably price room . thing Beekman lack location . return Upstate NY pleased stay ( take care go catskill ) trip quick Scranton anyway ! 
 Jun 26 2006 	 pretty good deal ! 	 stay Beekman Tower several day June 2006 $ 250 / night ( inc . taxis ) -- pretty good deal NYC day , sadly . hotel safe , residential neighborhood , stone 's throw UN Trump Tower . ( be look trendy neighborhood , not hotel . ) 's kitchenette every room , 's deli across street decent grocery block away ; food court Grand Central station walk distance . not try room service , newish restaurant , gym ( not actually know gym til get ) . service friendly housekeeping keep place clean . ask newspaper deliver , forgot , big deal . I , room big enough , comfy bed choice hypoallergenic , wheat feather pillow . 's large closet , double mirror , iron ironing board , enough wooden hanger ( yeah ! ) . room could use sofa desk , dining table w/4 chair comfy chair ; rearrange room use bedside table small table sit comfy chair . kitchen well - stock , mini - microwave , pot pan , coffee maker , fridge , toaster , within reach short . a / c adjustable , window open ( another yeah ) .a couple quibble . nonsmoke room main tower , put 2nd tower , entrance several door reception area , feel bit isolated . room could use spiffe , esp . carpet , visibly wear several place , ceiling , ditto . toilet would not flush unless hold handle , mildewy mat stuck bathtub floor , second ( much clean ) mat toss . kitchen light work turn several time , gauze curtain could use serious cleaning -- well yet , discard . problem , however , would definitely recommend BTH ! 
 Jun 19 2006 	 beekman . . . 's great man ! 	 defy anyone get well hotel price NYC . wonderful art deco build great cafe / grill top tower restaurant give breathtaking view whilst enjoy meal cocktail . the first thing notice friendly staff check - in . mean friendly . frequent visitor NYC , time staff treat like bad headache . Beekman 's staff superb . 3rd floor suite , twin bedroom , spacious lounge lovely lounge super fold bed . , Manhattan amazing floor space price room tastefully decorate clean . you 5 minute walk NYC 's vibrant area - bar 's restaurant 2nd avenue world away rip 's Time Square . hotel 's location may seem little distant . would say Manhattan 's good location . 7 dollar taxi short walk Waldorf Hotel catch tour bus Manhattan 's explore , know return quieter ' oasis ' Beekman Tower . great value , enjoy stay . 
 Jun 1 2006 	 Excellent Service Better expect ! 	 love personal attention ! stay 7 day . Checked get 3rd floor right bus stop , rather noisy bus pull away . room nice decide high floor would well . front desk call right check ask high floor . say hotel sell night would try find another room we tomorrow . pleasantly surprise call next morning move us 15th floor . room much large quiet . particular room table dining also use computer . make hotel stand we , besides size room , friendly service receive . everyone helpful attentive need . make first trip New York City wonderful experience . would , hesitation , stay Beekman ! 
 May 3 2006 	 Beekman Sauna ! ! 	 stay Beekman Hotel 3 night rave review site . however fundamental problem hotel get mention . heating air con system room adjustable therefore turn heating air con exist , work heating system . complain told & quot ; system old control centrally depend upon complaint guest whether & quot ; New York believe ! ! end place copy New York telephone directory airvent reduce heat output , conclude noise open window unbearable . apart , hotel acceptable need refurb , suppose reflect discount price offer . staff friendly helpful . location fine lot good restaurant nearby . 
 May 2 2006 	 wonderful stay ... 	 first stay Beekman Tower : great room , smal kitchen dishwasher coffe machine daily refill . a bath little small overall clean= .housekeeper efficient . Desk agent friendly restaurant ( lobby ) expensive food good quality . two tv room make we happy one front bed near couch : excellent comfort even 11 floor sight poor night silent . I reccomend hotel . warning tourist ( ) : close subway station 500 mt far keeep mind whe planning visit . 
 Apr 30 2006 	 helpful people go ? 	 read review Trip Advisor , think hotel staff would fabulous . not , although experience average horrible . start could not check early , say east side hotel residential neighborhood completely sell night , Wednesday . find hard believe not say anything really not obligation accomodate . tell teleconference hour ask business center . say not , conversation end . absolutely offer help . however , bellman ( Henry ? ) see predicamant tell near Kinko 's . one point unhelpful desk staff ask amenity print black white hotel guide room treat like make thing . several place say , & quot ; room equip printer / copi / fax machine , & quot ; & quot ; suite equip printer / copi / fax machine , & quot ; along instruction use . call ask ( room suite ) tell suite not big enough equip one , take suite back . go restaurant lunch hour print guide , closed desk staff say hour room service ( provide diner across street ) . overall , would like know helpful , friendly people . also , fair warning business traveler people might need work : hotel gear toward business traveler . 
 Apr 26 2006 	 wonderful ! 	 stay Beekman Tower long weekend end April . agree review . the suite ( 6 c ) huge . expect large suite really expect . include full kitchen even dish washer ( yes : detergent include ) . master bathroom separate half bath . staff nice sincere way . problem check couple hour check - out time . thing less happy room 6th floor . request high floor . however , bedroom window turn towards quiet street closing door bathroom living-/dining room hardly hear traffic . 
 Apr 17 2006 	 good family 	 family stay Beekman Tower Hotel 8 day Easter Sunday . three adult two teenager , two room , connect door . room small , especially rollaway one , kitchen bath , need . probably could use another bathroom time . housekeeping good ; room clean fresh towel every day . the heat uncomfortable sleeping realize window could open ( much effort ) . elevator efficient , consider hotel 26 story high , full . view say great . public transportation right front hotel , neighborhood upscale , staff pleasant helpful would probably try stay need to . tip : not miss view 26th floor . make worth . 
 Apr 6 2006 	 amae Value ! 	 second time stay Beekman Tower ! , , excellent ! arrive late evening , give upgrade HUGE Suite , spacious , nice , great view Midtown , East River ( 16th . floor ) . everyone front desk ( Michael , front desk agent ) , housekeeping , restaurant really great friendly . love staff ! ! love hotel , 's location , fact locate amazing CITY EARTH , NYC , move fall ! highly recommend hotel ! 
 Mar 27 2006 	 good value little way 	 stay several day business trip , pay $ 180 thru Hotels . room huge include kitchenette use breakfast midnight snack . housekeeping reception outstanding . one obvious drawback : hotel especially well - locate business trip , although except rush hour crosstown bus ( stop less 1 block hotel ) quick . near subway stop several block , something luggage . one disappointment : mattress well past prime . 
 Mar 18 2006 	 bad 	 hear bad review site another hotel make reservation , decide give hotel try . review good , main thing price . , 's Waldorf , $ 165 . night , complain . staff nice . one bellman always extra nice we . leave ask everything like . nice someone nice seem whole city either rude impatient ( street vendor China Town call & quot ; stupid & quot ; want open t - shirt see look like ) . know city fast pace , seem like one New York care , Beekman 's staff seem always smile walk door . housekeep great . even wash dish we . room quiet ! corner hear people next door we close door . room quiet important . book trip well know website picture show we not look like room get . kitchen small , bathroom . like kitchen buy cereal market around corner eat room every morning . cost reason , way go . location nice ..... right next United Nations mostly residental . request high floor day check get 12th floor 26 floor . also take advice previous guest tell anniversary leave we nice note chocolate Pelligrino water . nice gesture . overall , would recommend nice hotel , picky person . believe , not recommend place often . 
 Mar 18 2006 	 BEEK - tacular ! superb stay Beekman Tower 	 say , research NYC hotel book Expedia.ca really pay . read TripAdvisor Beekman review , surprise . review give really good idea expect . wife stay 4 nights/5 day , work $ 200 canadian per night . will try summarize highlights:1 . arrive hotel 5 hour check - in time , yet give we room right away . 2 . room quite large . large description site , still exceed need . 3 . bonus kitchen NY hotel suite ! ( see picture ) . kitchen come equip mini - fridge , oven , stove - top , dishwasher , plate / bowl , microwave oven , knife / fork / spoon ( among thing ) . nice coffee - maker well , stock ground coffee bean packet . even iron board iron . 4 . expect get room safe free charge . 5 . lobby make great first impression ( see picture ) , room nice clean . 6 . hotel staff friendly accommodating . hat door - man desk - staff , know question even ask them.7 . love location . hotel East midtown , be quite close many major NYC sight . aside UN headquarters , be close Chrysler building ( see picture ) Grand Central Terminal ( see picture ) . not quite understand reviewer say Beekman ' out way ' . Grand Central 10 minute walk away ( less ) , 15 minute Times Square . would even fast not many red light get way . not like lot walk , reconsider NY trip destination . ' m sure one could truly experience ny without explore foot.8 . flight left evening , inquire check - out process . Front desk say could add couple hour check - out time , nice - not need . check early , staff safely store luggage lobby ( something read ) . can not really think anything negative Beekman stick mind . mention food hotel overprice , 's surprise . leave room - service menu hotel room , everything abusrdly expensive ( add different charge addition cost food item ) . also mention hardly room . typically leave hotel 7:30am , would back 10PM . problem , perhaps not around long enough discover - doubt . tip relate directly Beekman : * free walk tour Grand Central Terminal every Wednesday 12:30PM info kiosk - 's 1 1/2 hour long , thorough . * go ticket kiosk Duffy Square ( Times Square ) get big discount Broadway show ( mostly Off - Broadway show ) - get 50 % Slava 's SnowShow 50 % Altar Boyz - purchase ' day - of ' performance . * many cheap free performance Juilliard . * try visit Empire State Building sun set - way see Manhattan day night ( nighttime view spectacular ) . * not waste time money CNN studio tour . let - down , not see much anything ( mostly watch bunch video ) . * want save money , flight LaGuardia , take public transit . look M60 bus - cost $ 2 per person change ( take bill ) . be 125th St. , get Lexington Ave . - head southbound / downtown Lexington subway line ( pay another $ 2 ) get 51st St. Grand Central Terminal . walk East 10 - 15 minute along 49th street arrive Beekman . take public transit may lot luggage . also , transfer make 125th Lexington feel like safe place ( Harlem afterall ) . ' m sure would want night wait bus subway . m60 bus quite full rush hour . 
 Mar 10 2006 	 Best Value New York City 	 use travel NYC regular basis beekman quickly become favorite place stay . spacious , affordable suite , great staff , good location love Art deco style . business travler , not feel isolated suite like aprtment . staff super helpful lot interview hold meeting there . the also 13th floor find cool . bar upstairs amazing view river Manhattan . 
 Mar 10 2006 	 convenient 	 's nothing really rave complain come Beekman . stay 4 week period Jan - Feb 2006 NY long business trip . need apartment - hotel get apartment - hotel ! room 8th floor huge . big apt see ny - huge living / dining room , lot closet space , etc . price ( $ 199 usd - special government employee rate - think ! ) , well worth . full kitchen ( stove , microwave , fridge , dishwasher , toaster , cutlery , dish , etc . ) definite plus . old green carpet classic old furniture ok . two television set ( one bedroom , one L.R . ) good selection channel also pretty good . service bad . never receive newspaper morning Newsweek would appear room week . clean service do daily impecably . wish not shut armoir hold tv everyday - never say anything . front desk service also ok . gym onthe 2nd floor small ( coverte hotel room ! ) necessity . not lot user able thing without many hassle . what like ? hate Midtown East Side . really nothing go ... except sketchy Deli across street dozen security camera ( always bunch asian guy suit whisper corner store ) , not much action UN diplomatic area Manhattan . restaurant top floor great view expensive quality service . eat ! bad wireless internet service couple day tech support great help not really hotel 's fault ... guess 's say worth price think would rather stay well locate nice hotel next time ... 
 Mar 10 2006 	 Great Hotel 	 read many good revievs hotel site still impressed level service provide staff Beekman Towers . spend four night first two different suite bottom floor spacious dark . complain noise wake second night explain heat probably would happen set we slightly small ( standard ) room 15th floor . beautiful view comfortable bed ( 7 1/2 mth pregnant ) Pillows galore , several kind choose . courteous doormen wonderful cafe / deli across street great food reasonable price . kitchenette huge use heat leftover night tired seeing sight go . life saver ! ! pregnant bad walk sight times square Rockefeller Center . go back beekman ! highly recommend ! fancy Comfortable ! 
 Mar 2 2006 	 Hidden Gem 	 stay Beekman Tower Mid - February . ' m Manhattan always try stay hotel east side town , tend little quieter there . the Beekman great art deco build able get mini - suite two night . decor room little old . instance , sit room area , carpet little worn sofa - bed . however , everything clean fairly well - maintain . staff first - rate . prompt assistance friendly . I also advantage nice view East River 18th floor . the Beekman may little way ( 1st Ave . couple block UN ) , like part Manhattan less crowd less hectic , Beekman way go . 
 Feb 22 2006 	 Fantastic Friendly Hotel 	 ' ve return 4 night beekman , can not sing 's praise enough ! hotel great location near United Nations . room beautiful view East river , plenty amenity nearby - handy little grocery store across street , broad range lovely restaurant deli short walk away , 10 minute stroll rockerfeller , 5th Ave Grand Central Station . 's really close , yet be far enough away feel like be away hustle bustle NY.The hotel lobby decorate art - deco style . fresh flower chill music really add ambience place , make feel welcome arrival . we 2 bedroom suite 4 people . bedroom good size - one double bed large bathroom , second massive king size slightly small bathroom . well equip kitchen area good sized dining space , plus good sized seat area comfortable sofa bed lounge . also additional small bathroom hallway . bed comfortable offer range pillow comfort . the decor traditional chic modern , tastefully do ( tiny little bit worn around edge sofa , example ) . room clean housekeeping excellent . staff professional nothing much trouble . housekeeping good ( toiletry nice ! ) , happy help anything ask friendly time . complimentary wine chocolate also lovely touch ! reviewer mention problem window heating . find lounge area little cold , mainly large space ! window find fine , although little stiff , need two we open . problem noise . the cocktail lounge top lovely , especially summer , imagine . winter though , window close , special have hope ! cocktail good , menu limit ( wine list good though ) $ 14 cocktail , think pricey apparently go rate NY ( find drink expensive wherever go ! ) .overall , great hotel , especially slightly long stay , kitchen make cater handy convenience . 
 Feb 17 2006 	 Tremendous Value 	 wife stay Beekman 4 night start Feb 11th . stay 1 bedroom suite 17th floor definately worth £ 115 per night rate . room fantastic clean huge sitting room , bedroom great corner view 1st Ave/50th Street . kitchen useful well stock appliance ( Microwave , dishwasher , cooker etc ) . staff extremely friendly helpful . say block 51st Street / Lexington subway take 10 minute walk ( ) . UN building within easy walk distance hotel , guess lot diplomat stay . diagonally opposite hotel great diner serve excellent breakfast . also small grocery store opposite hotel . also find much large grocery store 2nd Avenue , two minute walk hotel . excellent hotel , real bargain , quiet upscale neighbourhood . 
 Jan 17 2006 	 Perfect place stay NY 	 book hotel reading review various website , include tripadvisor . fantastic hotel , can not think bad thing say . postition fantastic . subway really far hotel , found not use much anyway hotel walk distance main attraction . room HUGE New York standard . room clean perfection every day .... cleaner even fold clothe leave dry ! ! ! room / hotel facility fantastic Top Tower bar must . view superb drink . hotel staff amazing , always helpful , friendly . Everytime would walk door would ask wish nice day . stay transport strike helpful information need . honestly can not say enought great hotel . would recommend anyone ! ! 
 Jan 4 2006 	 need Update Good Service 	 spend night Christmas week Beekman Towers . impressed service , room date expect comfortable furnishing . particular , queen bed ( seem bit small ) extremely uncomfortable provide less restful night sleep . bed also desirable - thin blanket would see less property . also , street noise due age window . plus side , although bedroom tiny , separate living / dining room great kid spread enjoy . service quick friendly . kitchen adequate . I not think would rush back beekman . however , be look large space good rate , may want consider . 
 Dec 31 2005 	 huge room great family ! 	 stay Beekman Tower two night week Christmas . find great room rate Travelzoo pleasantly surprise size suite $ 200 night . 1 bedroom suite great since travel 9 year old . grab food item small , pricey , grocery accross street suite nicely equip kitchen . also street numerous quaint resaurant , wine shop , even McDonalds Starbucks ( necessity 9yo adult ! ) location bit beat path crowd Rockefeller Cntr . Times Sq . nice break . warn build old window let lot street noise ( maybe would less high floor ) . great place stay , especially travel family ! 
 Dec 25 2005 	 Typical Affinia hotel 's good 	 one - bedroom suite $ 159 per night via Expedia , excellent value . accomodation $ 309 hotel 's reservation desk . shop around book . hotel tell could match Expedia price . room spacious clean . large living / dining room work desk , dining table four chair , sofabe / couch , tv , one chair not especially comfortable . bedroom small fine , soft bed choice pillow type . tv remote bedroom , along clock radio . Bathroom oddly configure good , excellent water pressure , adjustable shower head usual amenity . Kitchen fully equip stove , full - size refrigerator , microwave dishwasher , well table setting silverware four , along cook utensil . complimentary coffee tea supply coffeemaker toaster . two large closet . two caution hotel -- remote location mostly residential neighborhood . 49th Street crosstown bus stop across street 's handy navigate long block run east west . be hike nearest subway midtown attraction . 's small deli / grocery across street uniformly high price everything . also , window well - insulate lot street noise invade . will hear truck traffic siren night , might concern light sleeper . could never seem get climate control adjust room chilly . the staff friendly good accomodate guest . 
 Dec 14 2005 	 good hotel 	 girlfriend stay Beekman 3 night November . staff helpful get us room good view . the view top tower also good . the room good everything would expect clean tidy . we get great deal would definitely return . 
 Dec 14 2005 	 Friendly Hotel . 	 wife , 9yr old daughter , really enjoy ourstay hotel . the accomodation comfortableand tidy . member staff extra helpful . much trouble make call , enquiry youmight , prior visit somewhere . we intend visit great city . tryto make reservation Beekman Tower first choice . 
 Dec 9 2005 	 truly wonderful 	 first trip & quot ; Big Apple & quot ; . research quite bit come Beekman Tower justnewyorkhotel [ - ] . average $ 270.00 per night ( taxis & amp ; fee ) 1 bdrm suite . apartment much large expect . Kitchen , livingroom , dining room , bedroom nice bath . east wing , 2 apt . floor . private entrance . like resident wonderful neighborhood week . the staff Beekman absolutely & quot ; Best & quot ; . hotel hospitality industry many year would hire one employee organization . location also & quot ; Best & quot ; . walk block Park 5th Ave , taxi 's readily available outside hotel . establish exclusive area . lot diplomatic residence due United Nations block away . 1 Beekman Pl . , Patrick Dennis 's real & quot ; Auntie Mame & quot ; live well many famous people . Walter Cronkite live across street United Nations Plaza . would go walk night never feel uncomfortable . the Nation 's Cafe across street great , numerous restaurant 2nd Ave . please enjoy Beekman , neighborhood NYC . 
 Nov 30 2005 	 enjoyable stay 	 wife stay Beekman Tower five night could fault hotel . staff helpful friendly room well furnish clean . Top Tower restaurant excellent view menu limit four five dish quite expensive $ 200 steak chicken dish wife . also starter , sweet bottle wine . long day shopping did'nt want walk . excellent cafe opposite call Nations breakfast every morning . also across street deli wine store . find Beekman excellent base shopping site seeing would use . 
 Nov 28 2005 	 Nice Place Price 	 hotel probably three star hotel , give four star base price pay ( $ 159 per night - Orbitz ) , friendly staff . huge studio room eastern annex , want foldout couch kid . view , kitchen lot room . staff nice . room clean . bathroom small . location bit far action , neighborhood quiet safe . subway six block walk . 
 Nov 26 2005 	 well look 	 spend 10 night Beekman Aug / September 05 . fantastic trip new york , make even well hotel base . length time want space one bedroom suite separate bedroom kitchen perfect . also reasonable get good deal go justnewyorkhotels.10 minute pleasant walk grand central station . always able get cab though want . main thing say think respect service get staff really look we arrival ten day . the rooftop restaurant really must , ( bit pricey food really ) frankly set be pay fantastic . we US Open tennis fairly big name stay , clearly get approval well . hope return . 
 Nov 21 2005 	 home home ! 	 2nd stay Beekman 1 year . first trip OK & quot ; suite & quot ; tiny us 2 kid . time 2 we , give huuuuuuge suite . hotel room need serious updating , adequate & amp ; comfortable amenity need . concierge even recognize we last time . many familiar face comfort ! suite clean , spotless - satisfactory . beekman lovely , safe neighborhood - love feel home . 
 Nov 21 2005 	 Nice hotel nice staff return 	 wife recently stay 50th birthday . live 60 mile North NYC , go NYC dining , concert , sport , etc . regularly since teenager . nice hotel ever stay . front desk staff could nice , view 18th floor room beautiful , outdone wiew top floor lounge . room clean comfortable , kitchen spotless . furniture standard cookie - cutter hotel furniture , really nice . feel must & quot ; Big Chain Hotel & quot ; feel , waterfall fountain lobby , hotel . appreciate attentive staff small hotel , enjoy stay . nice art deco styling , reasonably price ! 
 Nov 5 2005 	 great stay 	 hotel perfect hectic week - long tourist break New York . room quiet , spacious clean . studio suite double bed teenage child twin room . confusion room arrive quickly sort excellent front desk staff . the location ideal : be pleasant , mainly residential neighbourhood close enough main attraction ( although nearest subway close be important ) . want big , bold , brash hotel middle New York not stay . want somewhere comfortable relax big average room can not go wrong ! 
 Oct 13 2005 	 great hotel good location 	 family stay hotel celebrate 10 year anniversary , email staff give we complimentary box choccis bubbly . staff friendly case get lose transit helpful . view top resturaunt world child friendly menu couple drink recommend other eat elsewhere . location next one trolley tour stop helpful we get around although brisk walk take we Central Terminal Empire State . fantastis city couple single family return 
 Sep 27 2005 	 could not ask .... 	 room spotlessly clean . staff extrememly helpful every way - organise taxi airport we , stow luggage unitl neded , make we glorious picnic basket , advise we eat - wonderful food Angelo 's ! ! air conditioning efficient little noisy . location marvellous - near enough main attraction walk bus available nearby subway block away . pay £ 300 5 night brilliant value junior suite price . kitchen useful ! ! Top Tower fantastic view cocktail , strong ! ! food look great although not eat . would recommend anyone budget high standard ( two compatible ! ! ) snob would stay Waldorf Intercontinental Barclay unlikey receive well service . love ! ! 
 Sep 14 2005 	 location ! 	 stay Beekman 4 day end July New York 's heat wave ! room not get freeze cold stay comfortable . mean seriously 105 outside expect room stay 70 ! staff friendliest ever deal ! get cruise decide extend vacation feel like get well service Beekman cruise line . pretty much 5 dollar cab ride anywhere want go New York reasonable walk major attraction shopping . love Beekman definately stay return December ! room large although promise King size bed receive queen . room large kitchen great feature use store ice cream take home food restaraunt . top World tower ? delicious amazing view ! price good part top cleanliness room ! overall good New York budget ! 
 Sep 7 2005 	 Grat experience ! 	 husband stay Beekman Labor Day weekend . great experience ... staff pleasant efficient suite nice . upgrade free large suite 23rd floor ( originally book smallest least expensive room available ) . hotel nice , relatively quiet part Manhattan . 's bit walk theater district/42nd street area 's advantage ... opinion 's well stay quieter , less tourist frequent area . would definitely recommend Beekman would stay . 
 Sep 2 2005 	 comfortable stay 	 husband daughter [ 18 ] spend 6 night Beekman . great time New York . Beekman Tower ideal we daughter room . staff friendly helpful [ problem air conditioning help prompt efficient ] .We love Radio City Music Hall Tour , arrange prior visit meeting Big Apple greeter informative , interesting good way familiarise subway . 
 Aug 28 2005 	 great return stay 	 return beekman second time year , super service , get upgrade super suite 21 floor , staff super ever nothing much trouble , shop around great rate around hotel look around . 
 Aug 14 2005 	 good choice 	 recently stay week Beekman Towers . great time would recommend hotel . arrive early , store luggage go local street fair hour . upon return check one bedroom suite upper floor . room large , like apartment NYC hotel . separate bedroom tv large armoire , full bath bedroom bathtub excellent water pressure , living room another tv comfortable pull sofa bed , full kitchen full size refrigerator , range , microwave , toaster kitchen utensil . room clean , although little beat ( peel wallpaper one wall edge sofa little ratty ) . two minor concern , neither affect enjoyment room hotel , . person sleep living room sofa bed would need go bedroom use bathroom . also , dresser clothing storage area living room except closet hang clothe foldable rack hold open suitcase . every day room spotlessly clean housecleaning staff . although temp city 90 's , room always cool comfortable . never hear sound street room hallway . staff speak , note other , friendly accommodating . go online Affinia website , find promotional rate $ 209 include daily continental breakfast Zephyr Grill welcome cocktail Top Towers restaurant . breakfast appreciate . decent selection fresh fruit , juice , bagel , croissant , muffin , scone , yogurt , cereal , etc . coffee strong . generally breakfast couple bring tray food sleep teenager . usually eat different area visit city , locally recommend Nations Cafe across street ( provide room service hotel ) Blockhead Burritos Second Ave . note location convenient . almost always take city bus ( unlimited MetroCards ) downtown / crosstown . bus use either right around corner , block away Second Avenue . never wait five minute bus , except one evening come home Times Square . ( note , travel bus 10 p.m. ) although subway quick , enjoy & quot ; sightseeing & quot ; city bus . bus driver generally courteous , helpful almost always announce stop . one morning two year old nanny get bus . sang & quot ; ABC & quot ; song full bus burst spontanous applause finish . not know surprised , we little girl . find NYC resident quite helpful us tourist . one woman even go way run we correct early direction . one suggestion - since checkout noon , save tour United Nations last day . tour hour , UN block away . wake , eat , packed go 10 o'clock tour . able get back hotel , freshen , cool drink check noon . would definitely return Beekman Towers future . 
 Aug 5 2005 	 terrible 	 air conditioner room function properly . staff unresponsive request fix problem . carpet room shabby room clean properly 
 Aug 1 2005 	 First Class Hotel 	 Loved Beekman . we stay Beekman Tower Hotel end June / begin July 2005 10 night . read reviews Trip Advisor member , high expectation disappoint . we stay one bedroom suite 4th floor overlook first avenue , surprisingly quiet . kitchen cooker , microwave fridgefreezer , separate sit area sofa bed separate bedroom double bed . the room clean fresh towel toiletry provide daily basis . door staff lady reception courteous friendly long day sight seeing shopping , nice return comfort Beekman . having stay New York previously , recommend Beekman highly enough . excellent hotel would definitely stay . 
 Jul 17 2005 	 love ! 	 family stay Beekman June 2005 duting heatwave . hotel cool throughout . suite clean little date . bed extremely comfortable offer several pillow variety choose . our suite 22nd floor small patio area could see East River Empire State Bldg .. Staff accomodate like location . safe far bus cab . ( although regular workday not expect get cab 4 - 8pm get cab , not expect move quickly ) . not far Grand Central Terminal -- afterall , New York City walking . groc /deli across street Nations Cafe across street highly reccommend breakfast . well value continental breakfast hotel . we eat Top Tower great food , family friendly . kid want full selection include meal adjust bill accordingly . I would definately stay . 
 Jul 13 2005 	 Old 	 stay around graduation week option . room old , smelly date kitchenette . suite , still small . staff friendly attentive , though . Restaurant look interesting , not try . near UN nothing else . boring location . 
 Jul 12 2005 	 beekman tower : nice stay 	 wife lovely Saturday - Sunday stay Beekman Towers , East Side , block UN . nice folk front desk upgrade us suite , balcony look 1st Avenue . suite wonderful . kitchenette clean tidy room service time prepare correctly , tad steep . good neighborhood , huge grocery / salad bar across street convenience within block two . plenty cab , away subway line . besides hotel enjoy great jazz Smoke Upper West Side , art Frick Museum 5th Avenue nice Sunday service St Bart 's Park 50th . a great 24 hour refresher thing make NYC wonderful . 
 Jul 3 2005 	 Trust Fellow Reviewers 	 great place stay NYC . neg little far subway ( near station lex/51st ) , comment way , rest story quite positive . small suite living room , kitchen separate bedroom- view ! staff could not accommodate . across street , great market open 24/7 . nice folk , quiet late night- 's baby sleep upstairs ! lot restaurant nearby- eat Lasagna Grill- choose overflowing local . excellent food reasonable price yes , serve quite bit restaurant 's namesake . like neighborhood ; felt really feel live great city ! 
 Jun 12 2005 	 excellent choice . 	 first trip New York little apprehensive . however , hotel really excellent . room spotlessly clean hotel staff professional - nothing much trouble . respond quickly request extremely helpful query . area surround hotel pleasant happy outside centre Manhattan . New York hectic place nice return quieter area around hotel night busy day walk sightseeing . I read review hotel trip wonder accurate , however , honestly say hotel live positive comment would read . would recommend hotel anyone ever visit New York , would not hesitate stay hotel . 
