first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Mar 16 2007 	 good boutique hotel New York 	 cool hotel ' ve stay , bar none - perfect couple , clubber young urbanite . beautiful Manhattan skyscraper date 1920s plaque listing 's architectural historial interest . lobby : red leather black glass , sexy . lift : dim , red light , house music play softly . room : modern , sexy , minimal : ' Journeys DJ ' cd , Bose CD player , iPod dock , huge flatscreen , comfy queen - size bed , corner sofa , beautiful marble bathroom . extras : Molton Brown toiletry , fabulously - stock minibar , even sex toy ! 's , specially - devise ' late night munchie ' menu times 's 4 am , ' ve got , absolutely must something nibble . ' entertainment planning desk ' could not helpful , plan two night we ( request pretty specific , type crowd sub - genre house music want ) . cellar bar cool even New Yorkers queue round block Saturday night - pour rain ( New Yorkers never wait line ) . service could well downside - could call downside - shop , bar club want go downtown , take lot cab - someone hail , hardly much hardship . will definitely go back - fact , hardly wait . 
 Mar 14 2007 	 beautiful View Bryant Park Hotel 	 stay Bryant Park Hotel one night March pay online rate $ 289 ( $ 334 , include taxis ) . deluxe queen park view reservation complimentarily upgrade suite park view 10th floor . view great -- Bryant Park NYC Public Library one side , highrise . doorman , bellstaff , front desk friendly , professional , courteous . clientele appear stylish -- notice people vary age , include mother / daughter tourist businessman seem creative sector . large club crowd Saturday night stay ( basement bar & quot ; Cellar & quot ; ) -- noise level , wee hour honking , noticeable , even high floor . hotel recommend someone sensitive street noise . room lovely . difficulty find hotel without ornate , baroque , overdecorated , & quot ; Gilded Age & quot ; seem signature style luxury New York City hotel . also not want middle american bland , standardized Hyatt / Marriott / Hilton style . downtown & quot ; hip & quot ; hotel seem try hard stylish taxing . Bryant Park Hotel relax , clean , contemporary style -- hardwood floor , beautiful lighting , comfortable bed , travertine marble bath , deep soak tub separate shower . hardwood floor warped place , noticeable . selection relax music , honor bar refrigerator stock drink snack . inexpensive outrageously price either . great convenience . 24 - hour room service not try want dine , menu nice reasonably price . highly recommend hotel target market share -- people love clean , simple , contemporary styling midtown set . enjoy every minute , even slightly noisy night like urban soundscape . 
 Mar 13 2007 	 Good Value Great Location 	 wife stay Bryant Park hotel one Saturday night , satisfied experience . book [ -- -- ] package deal include theater ticket . book standard room , upgrade next size room free check - in . lobby staff nice pretentious . room 12th floor , clean , nice large bath include separate tub shower . two comfortable terry cloth rob locate bath . room decor modern , flat screen tv high def channel , Bose Wave radio , even seperate speaker system connect iPod MP3 player . interesting room item find wet bar area closet . purchase usual drink snack , also sell & quot ; Pleasure Kit & quot ; amorous couple . will leave kit content imagination . problem street noise room , light sleeper , even include two set ear plugs bath . you tell build old building , narrow hall , small elevator , typical old NYC hotel renovate . indoor renovation Bryant Park nicely do , outside also unique , gold trim around edge roof line . nightclub basement apparently popular , line waiting get return theater . besides nice room friendly staff , part really like hotel location . right across street Bryant Park , nice little city park tall tree , sit bench , small carousel kid , even free WiFi internet access . one side park back New York Public library look like nice cafe . hotel centrally locate fashion district , plenty clothing store surround block . also one block Park Avenue shopping area provide , 5 block Times Square theater district . plenty good restaurant withe walk distance hotel , include Pax cafe , corner hotel entrance . good , reasonably price breakfast Sunday morning . overall , nice NYC hotel experience date , would definitely stay . 
 Mar 13 2007 	 great place stay ! 	 visit ny twice year business meeting - stay number different NYC hotel - bryant park well far ! check - handed confirmation slip ; find dismay office book november 20th instead october 20th ( date check ! ! ) . 18 hr flight asia - want cry ! front desk staff EXTREMELY polite helpful - since room avlbl time call around several hotel , get room night park hotel ; get cab promise room ready next day . the next day turn - credit card issue - front desk staff come rescue - agree book room require 5 day block credit card one day time . the front desk staff bellman extremely friendly remembered name throughout length stay . my room 4th floor great - since do not like extreme quiet - quite happy street noise . bed brilliant - large nice feather pillow . bathroom big I ve ever see ny . 
 Feb 28 2007 	 great location avoid 4th floor 	 stay 5 night 19th February 07 . specifically ask 4th floor due review , arrive , room availalbe . tired decide go - big mistake . ny fashion show square demolish night noise unbearable - put fake bird noise machine attempt drown outside racket . move room 8th floor next night , although much small price , lovely relatively quiet ! although room service expensive food excellent , service hit miss though . lose one breakfast order totally . overall , would say location excellent , staff extremely helpful , bar good fun koi restaurant superb , pricy food great treat . would stay insist room 8th floor . 
 Feb 22 2007 	 nice fantastic hotel ( def luxury ) 	 stay BPH 5 day . I book qeluxe queen view get & quot ; upgrade free & quot ; junior suite . glad upgrade size jr suite average , wonder small room booked.service fine . room service incredbly expensive . mini bar well ( 9 $ beer ) wooden floor crack piece wood move could hurt bad walk barefoot.the bathroom really great . big , bright . clean . the bath huge walk'in shower huge great ! molton brown amenity nice incredible.location great . 2 step Times Square yet sufficenlty away toto avoid crowd.there work ongoing park front ( surely fix everything fashion week ) noisy night ( 15th floor ) .the sound machine irritating . time maid cleans turn little bird noise terribe.there absolutely space meet hang hotel.the bar cool yet crowd young ( 15 - 22 yo ) .overall , nice experince , will not go back . ny much offer , especially price range 
 Feb 8 2007 	 wonderful location good service room marvellous 	 husband go New York twice three time per year New York . try several hotel find Bryant Park perfect , location , confortable room kind service . love modern hotel , wood floor , think clean . get room balcony perfect , see Bryant Park view , enjoy sigth city . japanais restaurant celllar bar fun ................ 's perfect 
 Jan 27 2007 	 avoid fourth floor room 	 book suprior king room view - give room fourth floor overlook park . indeed , room noisy ( draughty ) give window old lot gap . like previous reviewer stay floor - noise street unacceptable . my issue ask six time change another room . receptionist claim possible since room similar standard available - curiously - unable give superior room without view consider grade unsure process change . eventually , work move give superior room back hotel . my new room great - bathroom really luxurious large bath ' ve new york hotel . the staff friendly location great . minor downside chill - apart bedroom . bar really noisy restaurant fairly hectic ( food pretty good ) . 
 Jan 6 2007 	 free upgrade ! 	 book one night stay btwn xmas nye w/ girlfriend & quot ; queen view & quot ; room upon check , upgrade penthouse free . friendly staff , room decor so - so , annoying external light right outside several window ( although not detract view empire state building ) , amenity A+ , although charge $ 8 shaving kit ridiculous , pricy hey , 's new york . definitely return . 
 Jan 2 2007 	 okay ... 	 date : December 21 , 2006reviewer : TripAdvisor Member , NebraskaWe reserve Superior room Bryant Park Hotel get room view . room nice view Bryant Park , ice skating rink small shop . however , room locate fourth floor appear floor without new window . sound sleeper , noise level unacceptable . could hear normal conversation street level . floor four first floor room available . highly recommend avoid floor . the bed comfortable room furniture nice . really like wood floor . also , bathroom quite roomy . however , rainhead shower little pressure shower wand barely trickle water spout . flat - screen tv great picture fix wall perpendicular bed . could not use remote bed view bed true neck - bender ! move bed could change channel watch tv . fortunately little time spend room . we never get opportunity see bar . close Sunday evening , private function Monday evening . staff quite nice . Checkin checkout go without hitch . share opinion front staff gal comment room noisy room fourth floor . review not seem share sentiment . in summary , nice , clean hotel great location NYC . Bryant Park real gem . however , room meet four - star criterion . 
 Dec 29 2006 	 Hotel Hell ! ! 	 beware hotel want genuine friendly service . great location , not expect anything absolutely terrible experience need assistance . refuse give coat back lose coat check ticket security step put fuss . middle winter . instead helpful painfully uncare brutal . expereince absolute NIGHTMARE ! ! 
 Dec 28 2006 	 fantastic choice -- Deluxe Room w/ view great choice 	 boyfriend recently return Holiday trip NYC want stay midtown , rather close soho , village , etc . book deluxe room view pleansantly surprised find room nice fantastic view Bryant Park NYC Public Library , definitely worth visit . I ' m enormous fan midtown , hate Times Square , obviously happy not stay right center . not spend much time Bryant Park , walk without pay much attention . find fantastic reprieve tourist spot dominate perimeter . room 12th floor , offer great view park serentiy traffic noise . occassionally hear siren two , almost completely quiet window close . sound machine drown noise remain . good thing room window ... five . three bay style room two expansive bathroom . one bedroom & quot ; blackout & quot ; shade white transparent drape offer nice style . put blackout quote Bryant Park NYC bright shade mean keep light . bed comfy , though not find near comfy reviewer . fact find itchy sleeping . bed mean bad , definitely prefer hotel bed one . let deter ... room rock . like entry hallway two closet coat rack wall . love fact every light dimmer switch . love hardwood floor . love HDTV actually get 10 channel high def television ( though really not watch much tv ) . love bose CD player sound system . love Ipod docking station . love two - person table situate lamp window overlook park . really love bathroom . the bathroom large hotel . NYC , beyond huge . love two window bathroom set great mood night take bath , love enormous tub easily fit two glass enclose shower great water pressure . sink funky nice . wish light bathroom would also dimmer , be get really picky . we not touch minibar previous review point , six dollar sprite seem little outrageous . room service also seem way expensive typically normal high cost . worry ... gourmet deli two door reasonable also good . deli near home , would probably everyday . also Pax ( quasi - gormet deli / sandwich shop ) end block direction . go hotel bar restaurant . appear aesthetically pleasing , seem decent amount pretiousness well . tolerate , look like would pretty good . 's thing , worry hotel staff not pretentious . say , not overly friendly either . like manner service ... professional efficient , without incredibly happy . example , check - in take less one minute , room select , bag waiting room upon return walk . overall , would highly recommend hotel young couple anyone look & quot ; hip & quot ; hotel deliver hip modern style , quality associate four - star hotel well . 
 Nov 24 2006 	 Great Location 	 Bryant Park really nice area near Times Square 5th Avenue . lobby small stylish - pretty basic tho . room nicely design ( modern airy ) comfortable good size price . bathroom nice - shower amazing . overall recommend . 
 Nov 22 2006 	 everything expect ..... 	 book principally basis previous reviewer comment 4 night & quot ; birthday treat & quot ; stay disappointed least ! .room spacious enough New York large flat screen tv mean little need & quot ; normal & quot ; hotel picture decoration wall ! . bathroom HUGE shower great room 11th floor whilst directly face park probably good thing give skate / xmas stall event go whilst ! staff fantastic - nothing much slight criticism : room internet working ( hotel direct fault ) ridiculous price room mini bar ! ! ( definitely hotel fault ) .yes nowhere really meet people plenty bar within short distanceyes doorman always present often always pleasant willing anything you.best bit though - fantastic location - without noise disruption Times square.worst bit - realise downstair bar close Sunday last day use complimentary cocktail voucher ! .great deli door ( make mini bar pricing ) reasonable market grill room Park across road.overall happy choice hotel - way well Royalton Shoreham stay previously - short perfect break - even weather great ! - already recommend other look good value , well locate & quot ; little bit different & quot ; type NY hotel . 
 Nov 21 2006 	 great spot ! 	 spend great long weekend NYC stay Bryant Park . great location , easy get town town either via numerous cab subway . park across street free ice skate Christmas fair weekend there . the room chic , minimal comforatble . bathroom great size NY city room - great shower . staff always helpful responsive & gt ; small complaint bar not open 8 pm Saturday , late pre - dinner drink , not open Sunday evening . big problem think plenty pace go . will definitely go back . 
 Nov 6 2006 	 Cool hotel great location 	 get back week 's stay Bryant Park Hotel fiancee . really cool hotel , trendy . go superior room ( think- next one basic ) . room large minimalistic , large , comfy bed , plasma tv huge bathroom , Molton Brown accessory . gripe room view- face back another building . also 5th floor . feel money spend could least something look ! immediately outside hotel Bryant Park , really peaceful little area . day arrive , ice skating rink open Christmas period , amazing , atmosphere chill jovial . the location hotel 5th Avenue Broadway , Times Square couple minute walk away . fact , well position never get train anywhere try walk . the restaurant , Koi , sushi restaurant evening pretentious . least enjoyable night , yet expensive . the Cellar Bar bar bottom hotel , really trendy . great ( heavy ! ) night . bit disappointed tell sit sofas 11.00 unless buy bottle vodka ! think typical USA though , hard feeling . all amazing stay- staff always helpful polite , get recognise we day make even nice . would stay , long get room view ! 
 Oct 29 2006 	 Cool Hotel ! 	 return 3 night stay Bryant Park Hotel . this trendy place stay size room certainly well average New York . bathroom huge bath like swimming pool ! bedroom well equip plasma tv Bose stereo system . our room overlook Bryant Park little noisy Saturday evening ( cab driver beep horn time ? ) ! ! friend room back Hotel much quieter , however earplug available room . disappointed recreational area lobby we meet friend , fact lobby rather small . we choose eat Koi Restaurant selection eatery within easy walk distance . we round drink Cellar Bar extremely expensive pay visit ! stay Bryant enjoyable 's location superb whehter want visit New York shop sightsee . 
 Oct 20 2006 	 absolutely perfect ! recomendable 100 % 	 spend 5 night great hotel . book advanced get Junior Suite Terrace . strongly recommend hotel , cheap balanced quality - price . we love . service good also private stay . great area quiet night . I would go sure . 
 Oct 19 2006 	 Super modern great staff 	 modern - style hotel ' ve ever see . staff great , even let we check early , hotel not really style . art deco cold , clean . need iron board , take staff 2 minute bring one , great . bar downstairs beautiful , seem young club - hop crowd . great view park across street , super close great site mid - town . not especially romantic see one guest age 45 . great , be like . 
 Oct 11 2006 	 absolutely faultless 	 stay bryant park four night sept absolutely love . location absolutely perfect , block times square yet set around tranquil park , really peaceful hustle bustle city . upgrade junior suite lovely bonus staff could not help we . eat restaurant food great service good drank dance cellar bar great although cocktail pricey . Adrienne , concierge sorted night we get we gust list hot night club great service city do not know . overall , can not reccommend hotel enough , certainly be not disappoint . 
 Oct 2 2006 	 could happy ! 	 stay three night large suite lovely terrace . love Bryant Park area view park terrace spectacular . also host small gathering friend room . cater staff superb , set - up clean - up . provide delicious assortment hor d'ouevres , beautifully present . yes , expensive , worth . find staff friendly helpful every turn . love minimalist , modern decor , although realize everyone . shower heavenly ! 
 Sep 24 2006 	 Great Hotel ! ! ! ! ! ! 	 husband return weekend stay celebrate 1 year wedding anniversary Bryant Park Hotel . impressed room staff . get great deal Expedia . ( Tip : & quot ; Expedia mention hotel accept Discover Credit card incidental check & quot ; . ) another card hand , staff work we allow we leave cash . not fool plan hallway . ( white wall , brown carpeting artwork anything else wall ) room clean big lot window , even two bathroom . bathroom unbelievable . huge . husband big fan great shower dissapointe . two shower head ridiculous pressure . do not want get . room come flat screen tv bowe radio . work well . location great . ( block Time Square ) . mini bar , expect price high . Saturday morning drink late NEEDED drink take one Iced Teas bar . charge $ 6.50 one . advice would buy water drink advance . Friday night city , get back hotel were'nt ready go sleep yet . head downstairs club & quot ; Cellular & quot ; hotel . decent size , kinda small , empty . maybe 10 people place . drink also quite pricy . ( get Budlight husband , vodka cranberry , total cost= $ 22.00 + tip ) maybe charge little show . two half dress girl platform behind bar dancing . nothing skanky anything though . elevator dark pad red wall . play techno music ride floor . unfortunately never make park , view room great . like Fondue great Martini 's try & quot ; Dip & quot ; . ( 416 3rd Ave . 29th & amp ; 30th Street . ) pretty dark music somewhat loud . look late night snack drink . be look quiet romantic dinner , place . would say think Bryant Park hotel look . place target young crowd anyone like modern style furnish club like atmosphere . 
 Sep 15 2006 	 enjoyable convenient 	 stay 3 night fiance labor day weekend . junior suite , room 1406 , $ 339 per night . seem pretty good rate hotel maybe colored impression value ( favorable ) overall , really enjoy stay . Most review ' ve see capture essence place , will focus thing not see mention . the room large expect huge window actually open limited extent - low pane slide 5 inch ( presumably limited child can not squeeze ) . not often see feature 14th floor , be nice let air sometimes . the floor room wood ( actually pergo ) really nice change hotel carpeting think add lot airy , comfortable feel room . this week fashion week , build tent across street Bryant Park . even though work night , noise tolerable worse many midtown hotel . imagine might really quiet hotel street - face room midtown not come immediately fashion week . this smoking room . arrive , little smoky call desk . housekeeping arrive within 3 minute air freshener tell we would put ionic clean room go lunch - return fresh smelling without trace cigarette smoke . hotel strict policy smoking non - smoking room $ 500 penalty , tell check ( although not apply smoking room ) . choose smoking room arrive early ( noon ) available unless want wait regular check time . also high floor - clerk tell floor 6 - 12 non - smoking 14 - 16 smoking . do not try restaurant plan night . location fantastic . good surprise : really friendly , lay back staff ; size airiness junior suite room ( least large airy Manhattan standard ) disappointing : mystery sometime , sometimes doorman ; small size lack public space lobby . 
 Sep 13 2006 	 love Bryant Park 	 stay Bryant Park Hotel 4 night honeymoon , great time . stay Junior suite 20th floor huge balcony overlooking park ; room nicely decorate ( minimalist appealing ) , bath huge chocolate cover fortune cookie nice treat hour plane . can not remember room number ( 2004 ? ) , make sure get room front - face view park , rather corner suite small balcony space . staff courteous helpful . cellar bar good ; drink expensive , complimentary cocktail voucher make Cosmopolitan appeal . not order room service , price outrageous , every morning go across park buy coffee ( soup ) food kiosk . spend hour hour choose hotel hope choose well , not disappointed . stay Bryant enhance memorable time New York . 
 Aug 28 2006 	 fine 	 spend weekend Bryant Park girlfriend think quite good . first , book one package room include american breakfast , slightly large room view late check - out . would say room particularly large , three large window corner build two spacious well appoint bathroom . every bit large many Manhattan studio apartment . package rate $ 340 + tax . $ 450 room someone , would expect would suite . standard room around $ 250.second , find decor nice , standard american modern . hardly chilly , B & amp ; b comfy . furnishing Ikea - esque , though substandard . previous poster say , yes & quot ; art & quot ; wall , huge window overlook Midtown Manhattan two wall large plasma tv another . seem strange complaint . the plusse : location ideal , staff helpful professional , bathroom incomparable , lobby building architecture great . the minus : eat option hotel morning breakfast room . not want pay expense , sort luck hotel , though Midtown Manhattan not exactly without food option , say , smalltown Arizona . say , room service b'fast timely quite large . aforementione $ 80 breakfast price $ 26 , though probably get $ 80 tip tax two , include two egg , bread form like , tasty potato croquette , juice , coffee , mimosa water . hardly rip $ 26 . room service New York -- ' ve pay much cinnamon roll coffee elsewhere . be local , use concierge service anything comment . think hotel & quot ; cool & quot ; feel like might try bit hard . consequence , think 's judge little harshly . understate cute , think result would give bit lenience reviewer . 
 Aug 27 2006 	 Hip Midtown Hotel 	 Bryant Park Hotel slap bang Midtown Manhatten , unsuprisingly overlook Bryant Park sprawl New York Library . the hotel handily 2 Blocks Times Square , do not attract mad buzz associated Times Sq . Smart Koi ( japanese ) restaurant also available hotel - quite expensive , nice food . reservation require ... Cellar Bar - Smart gothic bar basement , drink expensive , norm New York . we stay 7 night Junior Suite - house 6th floor . modern room - flat Screen LG tv King Size bed . bathroom real plus point , massive bath tub , along seperate walk shower . Minibar , tea coffee facility room . starbuck otherside BP though . be next 2 Bryant Park twofold . firstly Byrant Park cool place hang , nice green space chill madness NYC . Free Wireless internet , HBO movie big screen Summer every Monday , clean well maintain . however flipside noise ( music , sound rig dismantle etc ... ) park - first thing morning also late night big screen . much personal thing consider may affect stay . BP web site recommend check scheduling event . 
 Aug 22 2006 	 hungry ... 	 recently stay Park Bryant Hotel , NYC . staff beyond courteous , decor ambiance leave lot desire . two weary shopper , day NYC battle street crowd empty wallet - think $ 450.00 night rate would pamper sense revive soul . au contrar ... entrance lobby do red naugahide black . cold line uninvite boldness seque another odd choice decorate ... red light guide we elevator room whereinit consist platform bed stark wall - art . bed adorn naughahide bolster pillow purple . the accent brown . huge fan modern , decor could easily purchase Target . remind dorm room student move . bathroom tout state art spa amenity - want purchase . sew kit tampon ( 2 ) could purchase $ 6 . amazing room charge high , everything ala carte . pleasantly surprise faux chinese box chocolate cover fortune cookie ... nice touch . the room service staff excellently , food stunk . would never pay $ 80.00 egg , toast lump potato , serve freshly squeeze orange juice coffee . companion order waffle ( soggy ) adorn fresh berry . yes , folk , $ 80.00 ! midnight snack award we pitiful pizza - would recommend that . the adjoining japanese restaurant Kio excellent , Cellar bar delicious & quot ; Long Goodnight Kiss & quot ; drink - say try , pleased . , hotel live price .. even though be NYC great location , fail miserably 's attempt hip . 
 Aug 8 2006 	 Hotel ? Nightclub ? 	 Bryant Park fabulously locate niche hotel stone throw Empire State Building Times Square . without doubt NY cool city , hotel make 110 % effort ice cold . read reviews Tripadvisor booking , question establishment want constantly recur theme . thing , want stay somewhere bit life probably book strength hotel , also fact Cellar Bar suppose one New York 's fine . the reality anything feel slightly let whole experience . we pay extra one Bryant Park Suites allegedly view across Bryant Park . room 1804 , side crane neck , feel touch swizze average New York view ( side another building Bank America construction site ) start . suite allegedly 650 sq ft ( would question ) neutrally minimalistic decor . pleasant , stay world 's good & quot ; boutique & quot ; hotel feel bit ikea - ey could do lick paint . facility room adequate , $ 500 night would expect two sink pay extra mini bar sewing kit , shaving kit etc . the restaurant Koi superb . dinner Saturday night find food amazing service attentive . we proceed spend rest evening Cellar Bar . arrive around 1030 sit unreserved table . half hour tell table reserve would move ! staff even courtesy ask we move - send girl suppose table instead ! seek manager inform we stay hotel mean nothing , 11 pm & quot ; become nightclub 's way & quot ; . spend $ 2000 stay hotel expect tell second class citizen . generally find staff helpful little preoccupy / distracted . example , two day five day stay room inexplicably lock us - receptionist insist picture ID unlock we , first go accept passport lock - errrrr - room ! despite fact personally check we 48 hour early ! enter nightclub.v.hotel debate would argue strongly Bryant Park nightclub room bolt . cool , build fabulous , location execellent idea right . a - list , far well place stay New York delusion grandeur . 
 Jul 24 2006 	 fantastic location 	 stay hotel last year much enjoy keen use revisit area . location really great , easy walk distance area , nice safe place not seem problem . hotel pretty swish red lacquered wall reception area soft lighting everywhere . look like nightclub hotel really . effect seem change - last year great bar front open day restaurant ( Koi - nice business lunch something casual ) bar hotel even guest 5 pm . Cellar Bar remain likewise open 5 pm . seem invite outside visitor really actual hotel guest . still ... room bad size , always well clean selection Molton Brown goody great big tub chill . also flat screen tv , dvd etc . overall would recommend hope staff remember hotel guest come first . 
 Jul 10 2006 	 excellent location make sure get good room 	 ' ve stay several time year work , vary duration . choose hotel due location right next Bryant Park , free internet access nice place hang work weather 's nice . you need make sure get good room hotel , much well other . have not pleasure ( budget ) stay one room face park , ' ve stay room side hotel . get room 8th floor , least - loud electrical unit ( air conditioning ? ) towards bottom floor back hotel make room loud ( though hotel kindly provide ear plug ) . day , get use noise , be initially pleasant . I speak room -01 , -03 -05 -- room end number whichever floor be - mean room 601 801 layout , etc . room -01 large , window floorspace . room -03 next good , be small less window . try avoid -05 really get rip - 's lot small -01 -03 , bed appear small , not get couch like room , room window , wall tiny window . ' ve charge price -01 , -03 -05.The amenitie hotel great ( whichever room be ) - love flat screen tv , bathroom fixture , molten brown toiletry ( be purple cylinder thing be put bed ? ) . hotel staff nice cool - appear low - turnover staff , since ' ve see people stay year , always remember colleague . think be good staff ' ve see hotel ( management , give raise ! ) .The restaurant hotel fine , be way over - price many well restaurant NY . ' ve room - service hotel several time , get little lot money - bypass room service order takeout one many restaurant area , need food deliver room . I would stay heartbeat , even room -05 ! 
 Jul 4 2006 	 will stay 	 Bryant Park Hotel real gem NYC . black red lobby outfit withhip staff dress entirely black nothing , trendy ( almost trendy ) . however , past dark red - light elevator , will find beautiful , light airy room . room large , hard wood floor clean modern design . light superb , window large linen high quality . bathroom large nice two - person tub separate shower two showerhead ( & quot ; rain & quot ; hand hold ) . room flatscreen tv , Bose wave radio , sound machine lull sleep . thing less satisfactory doorman . upon arrival 8:30 pm Saturday eene , door man sight . doorman mystery . sometimes . sometimes . often , . slight blemish rest nic stay . 
 Jun 27 2006 	 great Time Bryant Park Hotel 	 get back weekend NY Bryant Park , say pleased . room much large thought , modern looking stylish . bathroom huge NY standard . much nightlife scene NY , choose hotel thing want - cool bar ( Cellar ) restaurant ( Koi ) , think great . hotel general stylish , yet lay back .... exactly look - touristy , somewhat trendy cool , yet sceney attitudey . never problem front desk , other share . find helpful , well door staff concierge , ( book reservtion , etc we ) be across Bryant Park , great place sit relax middle town . 
 Jun 19 2006 	 fourth stay still favourite hotel ... 	 ' enjoy fourth stay Bryant Park . five night New York Palace business ( excellent hotel standard week gold , marble , over - sized floral arrangement extremely attentive staff begin feel bit much ) , always , pleasure check bp - favourite hotel city . why Bryant Park ? room good size well furnish ( understated way ) ; comfortable bed , good bed linen bathroom gorgeous . location superb Fifth Ave shopping , Museums easy access Soho , East / West Village etc , ' ve always find service excellent attentive without cloy . really sell view room front building – especially tenth floor – breath - taking . ny standard , ' excellent value too . I ' stay junior suite , wonderful , recently ' queen size room view ´ ( corner room ) tranquillity weekend . tree canopy park , surround ever - change skyline extraordinary city , remind love NY Bryant Park much - ' staying . 
 May 30 2006 	 Cool hotel friendly staff . loved ! 	 stay many boutique hotel NYC ( e.g . Alex Library etc ) , Bryant Park hotel one good stay far . read negative review , bit hesitant first , experience prove otherwise . staff always nice friendly towards we , enquire eat popular hotel restaurant Koi last minute concierge manage get nice table we even though restaurant completely full . room bathroom huge NY standard ( standard ) also nice view park . molten brown bath product additional bonus . cellar bar/ club look cool music Friday night . however , tell staff Sat night suppose good night go . minor problem hotel , e.g . lobby quite small constant techno music play inside lift/ elevator quite annoying time . besides , would highly recommend hotel definitely come back soon . 
 May 9 2006 	 terrible experiance front desk staff 	 stay Hotel November must advise future guest year travel , stay good hotel around world . I never experience terrible service front desk staff management.i would stay hotel ever , totaly disintereste deal problem . what terrible attitude lack customer service .Quite nice room . 
 May 8 2006 	 actually good value 	 recently rent penthouse suite event . want mention staff go beyond effort insure success , . penthouse really great value ( splurge ) ... sleek rather west Elm style suite fantastic view north / west / south . terrace , tiny nice . fantastic bath , 2 great bedroom . suite also has.2 large plasma tv , stereo , ipod hook - up , printer etc ... dine table good catering would reccomend hotel anything special ... cost penthouse great compare ny hotel really feel like penthouse ! thank 
 May 8 2006 	 Loved - never stay anywhere else 	 return long weekend NYC , trip often first time stay Bryant Park hotel ... never stay anywhere else ! ! ! stay lot hotel NYC never even bother write review blah ... nothing really bad say , nothing good say . however , Bryant Park Hotel , can not stop talk . work travel agency literally call client go NYC often tell stay . room huge NYC standard , bathroom huge . bedding die , bright bright room . right across street Bryant Park make feel like noisy city even though . hotel 40th 5th & amp ; 6th ... close everything feel far away . Cellar Bar beautiful hip spot . read previous review one say like night club TRUE 's New York City not like energy will not like anywhere stay NYC . get elevator ( way never wait get ) away noise energy . sit park day somehow not notice noise beautiful . room hear anything hall surround room Hotel book solid . good look staff ... luck , lady prepare check handsome man . enjoy stay much never stay hotel NYC spend much time around room / hotel . never stay anywhere else Bryant Park new home away home . 
 Feb 23 2006 	 Loved detail 	 stay 2 night Feb 13 . usually hard please , detail impressed . book deluxe room 1604 , one step standard room . little small , perfect business . may worth pay money upgrade . find good deal -- -- get deluxe cheap standard rate . will tell thing love first : -the bathroom beautiful ! wonderfully powerful rainfall showerhead independent handheld showerhead . long bath tub beautiful sink . bathroom size bedroom area minus closet entry . robe , slipper , superlong bath towel plus . ' m picky detail , pleased find next day bathroom completely spotless not even water mark faucet knobs spouts.-The room decor modern simple . pillow well ! well venetian - 's pretty good . flatscreen tv nice . will want use sound machine room since sometimes honk become bit much . -if get room service midnight , turkey club one good ' ve ( ' m say 's thing substantial eat 6 - item - menu midnight ) -trendy magazine room leisure : gotham , vantity fair , vogue . sweet ! even office supply desk : highlighter , binder clips.i pretty pleased whole experience , something could improve : -the sound hallway louder hope , although not seem like could hear neighbor wall.-the elevator small barely accomodate 3 ppl + luggage - the noise street kinda unavoidable.-they charge $ 6 bottle sparkle water not order . ( not notice plane home ) overall , pretty impressed would stay price decent . 
 Feb 20 2006 	 great stay bryant park Hotel 	 stay Bryant Park Hotel love . front desk helpful room large , clean wonderful large bathroom shower . balcony spectacular view . location , location ..... hotel quick walk Times sq./ Grand Central MOMA . would definately stay . 
 Jan 8 2006 	 great experience 	 really love experience ! 1 ) take red - eye flight arrive ny around 5:30am , hotel allow we check - in ( eventhough official check - in time 3:00pm ) .2 ) room fairly large ny , large soak tub , cashmere blanket , plasma tv , cd 's w/ bose stereo , closet , nice modern design ... clean comfortable.3 ) front desk staff always helpful never snooty , even 6:00am.4 ) Koi Restaurant ( hotel ) - trendy , delicious 5 ) great location , walk distance Broadway Theatre , saw & quot ; Color Purple & quot ; bottom line , great modern hotel , great service , hip crowd , attitude . probably would not pick hotel three kid grandma we ... 
 Dec 13 2005 	 chic friendly 	 stay weekend getaway great . upgrade Junior Suite face Bryant Park . room absolutely huge NYC standard . Decor modern minimalist 's expect . amenity top notch . contrary posting , find staff friendly accomodate neither us model : ) . location great ... close Times Square without masse , plus 5 minute walk Grand Central . stay . 
 Nov 16 2005 	 beat go ! 	 hotel try hard chic . relaxed little , natural beauty would show . example , hotel brochure talk importance get reservation restaurant since tend book early & quot ; list crowd & quot ; . give break . talk , probably not list begin with . the architecture neat , include lobby cellar bar . room , 804 small . bathroom size bedroom . bed double , Queen request bit tight two people ( book standard room Expedia ) . bathroom nice amenity top flight . choice cd Bose system ok , disco , runway beat play everywhere hotel , include elevator , healthclub Cellar bar . would bit relaxing get away beat then . the hotel lobby could meet friend bar continuous throbbing music , not good place talk . want quiet conversation public ( oppose room ) , hotel . overall , would stay , rate pay , not bargain must revisit . 
