COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Sep 11 2005 	 high standard London 	 really first test Tripadvsor - would review accurate ? ? thankfully answer definite & quot ; yes & quot ; . staff friendly . room clean comfortable . breakfast wonderful . feel safe need room card get front door also get lobby . also room safe large enough laptop . one reality check , though . local area & quot ; mixed & quot ; reputation - personally not trouble although approach couple time people ask money . the room certainly not huge clean comfortable . overall , highly recommend . 
 Sep 2 2005 	 breath fresh air ! 	 stay Darlington one night Aug. 29th breath fresh air previous hotel stay ( Royal National ) . staff courteous , friendly , helpful . well worth $ 155 / night include full english breakfast . perfectly locate great part town . far internet cafe restaurant , especially paddington station hyde park course . beautiful hotel ! not air conditioning like hotel London , rent one 20 quid ( although room come fan ) not bad consider humidity . would definitely stay ! 
 Sep 1 2005 	 worth go back darling 	 lone female business traveller use live central London wary stay Paddington area ( 15 year ago blatant red light cockroach district - nowadays 's safe be smart , careful confident ) . trip Advisor review persuade DHP exception expectation area get think get excellent value money ( get late rate £ 72.00sgl / pn ) , courteous reception nice breakfast service , reassure security , high standard cleanliness upgrade ( charge ) quiet double room two night stay . current work stay London hotel 15nights / year last 3 year - 's lottery quality next week go back dhp second visit - time impress enough hotel . 's great location bus , tube , walk train reception point direction nearby restaurant . noticed reviewer can not understand hype believe - quality , cleanliness value money variable London , Paddington , place really stand absolute bargain compare pricy neighbourhood . 
 Aug 22 2005 	 delighted Darlington 	 first visit London August 12 - 18,2005 . find Darlington especially coveniently locate Paddington Station Heathrow Express . arrival 8:25 a.m. suite prepared welcome check - in early . suite separate one - bedroom spacious two . require two separate sleeping area however , find sofabe lounge inadequate . one quick call front desk deliver comfortable single bed suite crowd room terribly much appreciate . thank - you Mr. Webb ! overall , delight Darlington . tremendous value service excellent location . would highly recommend property would definitely stay . 
 Aug 16 2005 	 Darling staff Darlington 	 travel solo London recently spend four night Darlington HP . first night double single room , last three night single room . double quite pleasant , single room bit claustrobphobic . lack AC might problem summer , although not really not mind sleep window open . that say , hotel delight . great location , near Paddington short walk Edgeware road - important number tube line operate due terrorist . however , bus run Edgeware great way get around . like bus far well tube anyway get real feel city quick point point B.The English breakfast quite varied well prepare . breakfast room pleasant staff attentive . real strength Darlington staff . front desk well maid service friendly accomodate one could want . five star hotel , price represent tremendous value London . feel like stay family hotel . 
 Aug 12 2005 	 clean bright hotel ! 	 first impression hotel one gleam glass door shine door handle . room comfortable clean , breakfast serve lovely breakfast room everything sparkle clean . the staff pleasant polite extremely helpful . would recommend stay Darlington . hotel much well would expect price . 
 Aug 11 2005 	 satisfactory 	 stay one night business . book late get double single occupancy inc full English £ 85 . would usually pay , ( usually stay outside West end ) location perfect lot local restaurant pub short walk Paddington station . ask quiet room give one back . clean throughout good facility work ( safe , fridge , table fan , hairdryer , vigorous shower ) , though basic tv channel bite disappointing . get good night 's sleep . staff friendly helpful . breakfast good , though might disappoint continental saw ham , cheese etc . checkout painless certainly stay budget afford . 
 Aug 7 2005 	 great value London 	 wife boy recently stay London Darlington Hyde Park Hotel , Sussex Gardens . pleased find pretty much describe other tripadvisor guide book . it clean , clean , clean . room , UK standrad , large , nicely decorate ( luxurious , pleasant comfortable ) . towel fine will see Ritz , bathroom modern . room street bit noisy , window pretty good job keeping , athough warm night want keep window open . staff friendly helpful ; one especially gregarious make point learn name . dining room clean , modern nicely furnish , offer prompt attentive service delicious , traditional English Breakfast . especially appreciate fresh fruit , cappucino bran flake . hotel short walk two underground station Paddington train statuion . neighborhood lack wide variety good restaurant , much way shopping . can not beat price . 
 Aug 6 2005 	 Chambermaid Star ! ! 	 several week ago , receive one email well - know travel company , offer great offer trip London . check Trip Advisor 's review hotel list within price - range , horrified ! , notice someone mention hotel whilst rate another one , recent review D.H.P. , impress immediately book Darlington online & quot ; cut - price room - rate & quot ; website ' ve use know reliable . peruse hotel 's website scrutinise photo , faith Trip Advisor , confident would fine . . staff , friendly polite - reception staff like none ' ve ever encounter equally civil . breakfast staff sweet attentive , even though never see ; chambermaid absolute STAR . ' ve never thing fold , straighten see bathroom spotlessly clean anywhere else ' ve ever stay - absolutely amazed . ' m really demand type , appreciate good service , tell difference . will definitely return . would highly recommend . people COMPLAIN constantly - & quot ; small room & quot ; / & quot ; air - con . & quot ; yada yada . spoil people ? ? get thing perspective , please , folk . clean polite need ! ! 
 Aug 2 2005 	 nice service tiny room terrible bathroom 	 reading rave Darlington , suppose expect something well tiny single room whose oppressive heat ( even outside temp cool ) not much relieve desktop fan . true , room good amenity like safe mini - fridge , clean enough . also plus side , service hotel warm helpful , english breakfast good plentiful , location stone 's throw Paddington . bathroom pretty dismal : tiny , doll - sized sink not large enough wash small - sized t - shirt ; separate hot cold tap ; bad , shower extremely weak water pressure extremely variable water temperature ( i.e. , would get scald every often -- unpleasant experience indeed ) . re - reading review , ' ve conclude Darlington 's room vary great deal size quality . double room sound pleasant . unfortunately , single room , £ 69 / night , not represent good value . ' ve stay nice room ( MUCH well bathroom ) London substantially less money . be solo traveller , plan book single room Darlington , not believe hype read . 
 Aug 2 2005 	 lovely hotel 	 great hotel , great location great staff ! 10 10 ! 
 Jul 28 2005 	 wonderful experience ! ! 	 return 16 day visit England 4 night Darlington & quot ; front end & quot ; 2 night & quot ; back end & quot ; . hotel CLEAN comfortable . room good sized comfortable . sure advise staff room seem warm -- - fan option available incrediable staff . breakfast fresh tasty . location good -- block Paddington station national train tube . beat track nice neighborhood . staff friendly helpful -- - hat management team staff delightful visit ! 
 Jul 25 2005 	 's nice read previous Reviews Thought bit Overhyped 	 stay weekend 8th July , ' ve nothing negative really say Darlington always book hotel base tripadvisor review , read review hotel expect & quot ; wow factor & quot ; ! well , not nice expecting , infact , without sound rude , reminded B & amp ; b hotel . book suite , clean comfortable , big space , cheap neither bear mind facility hotel , reflection , think quite expensive get . look somewhere stop fine , look something little bit special would look somewhere else , can not really say would stay - 
 Jul 19 2005 	 great hotel room small 	 return 2 night stay Darlington . clean helpful staff good breakfast . location excellent safe . negative single room en suite small facility would expect 3 star . hotel represent good value would return . 
 Jul 9 2005 	 10 10 Darlington Hyde Park 	 return 4 night stay Darlington Hyde Park leave review . beautiful old building well restore excellent 40 room hotel . room clean , bright airy , two huge window . good size in - room fridge safe nice touch . en - suite bath shower ( hairdrier side , be little weak - take ! ) staff welcome friendly certainly not feel like & quot ; next customer & quot ; often case . breakfast lovely conservatory , & quot ; help & quot ; continental make order cook English breakfast . very reasonably price 4 diamond - fact , think would struggle find high standard price elsewhere . 
 Jul 8 2005 	 live Hype ! 	 thank many reviewer establishment , husband well - prepare Darlington late June 2005 . glad report information hotel 's amenity ease location true . staff quite helpful , around clock . arrive Heathrow late evening greet smile enter lobby . like security system feel quite safe . also , many small hotel vicinity tourist street time , allow neighboring restaurant convenience store stay open late . the room ( 103 ) spacious completely immaculate . shudder sometimes state bathroom fancy hotel utterly comfortable meet high standard . yes , window face main street NYC , noise ( ) not bother we . sleep like baby , long day play tourist . we less 5 minute Paddington Station ( Bakerloo , Circle District line ) make easy commuting . Heathrow Express also take we right travel airport breeze . attest reviewer , alarm clock , air conditioning wash cloth . well - arm bring clock wash cloth . evening cool enough survive oscillate fan , provide room . breakfast range fresh fruit cereal full english meal . satisfactory tasty . breakfast include package worth . would highly recommend B & amp ; b wish clean friendly place stay otherwise monstrously expensive city . comparison London hotel , reasonably price great bet ! 
 Jul 7 2005 	 comfortable convenient clean 	 stay Darlington May 26 , 27 , 28 29 . hotel clean , comfortable nicely decorate . elevator air conditioning . front desk staff pleasant helpful . travel three girl friend two separate room . room share faced street . street noise ' bother we . even though warm fan breeze window help . bathroom big expect . big tub water pressure great . Paddington train station Hyde Park within walk distance along good restaurant . Breakfast include ( sausage , bacon , egg , toast , cereal , fruit assorted juice milk ) . wait staff friendly breakfast room nice . would definately recommend hotel . 's great value money . 
 Jul 5 2005 	 absolutely wonderful experience 	 stay Darlington Hotel Paddington first week June 2005 . last minute book two additonal day hotel due change plan . arrive upgrade superior grade room . front desk clerk personnel hotel absolutely charming , pleasant , helpful always cheerful . hotel although consider budget hotel first class accomodation . room large , quiet , generous , modern quality furniture building improvement first rate . recent remodeling cheaply do . location perfect traveler . be two block Paddington Station Heathrow Express Airport . surround area lot wonderful middle Eastern Restaurants especially love eat lamb . wonderful experience Darlington would recommend hotel anyone seek wonderful small hotel London . first rate ! 
 Jun 26 2005 	 Best Class 	 family four return two night stay Darlington June 23 & amp ; 24.we adjoin double twin room face street hotel front . our first night one hot London June year lack air conditioning noise street result open window problem . by second night , temperature drop city fan supply allow we close window sleep comfortably quietly . the hotel close Paddington train station , Hyde Park , tube good family restaurant . the hotel clean nicely decorate . our room ready check time allow we drop stuff & amp ; set see London . Breakfast include serve friendly attentive staff pleasant setting . the hotel not perfect . room lack clock radio , televison small broadcast reception certain channel poor fridge less effective . struggle safe first . , mention , lack air conditioning room single pane glass window noisy city ideal . but research suggest hotel good class expectation meet . way Darlington exceed hotel purport class stay in . it certainly provide value , terrific location helpful pleasant staff . 
 Jun 22 2005 	 great little hotel 	 lovely little hotel minute walk Paddington Hyde Park . staff helpful friendly find hotel anywhere world . room clean spacious , air - conditioning , get warm - girlfriend need fan night sleep ( heat wave though ... ) .this shame , otherwise , great value , friendly well - maintain hotel . highly recommend . 
 Jun 12 2005 	 fabulous experience ! 	 spend five night Darlington Hyde Park Hotel London , begin 5/21/05 . positive review site reason choose hotel , prove reliable . cost 555 pound entire stay -- 111 pound per night average . the hotel convert victorian row house . whole street line hotel -- since also convert row house , area homey feel . area feel almost residential way , lot tree , shrub flower . feel absolutely safe time -- especially security Darlington . upon arrival , use speaker system get buzz first time . otherwise , front door accessible card key -- although front desk staff 24/7 . security camera discreetly tuck many area hotel . we arrive several hour prior official check - in , three front desk people immediately stand give we gracious , hospitable welcome ever hotel . one two room assign already clean , allow we early access room -- extra charge . the double room first floor ( one floor lobby ) face tree - line street . compare hotel room last year Kensington area , positively spacious ! twelve - foot ceiling floor - to - ceiling drape beautiful crown mold special touch room . two huge window open onto small balcony ( although not really usuable balcony ) .The room also large desk area , small television channel , sit area near windows . bed seem large U. S. double . comfortable great ( ? ) comforter top . pillow little flat , luckily , extra pillow closet . build - in nightstand either side bed read light side bed . window operable . feature room include : mini frig , free room safe , tea service room , small fan , luggage rack . this bathroom overly large , complimentary toiletry , shower amazing water pressure . full bathtub / shower combination . every day receive fresh towel -- big , fluffy towel ' ve ever ( include one U.S. ! ) almost five foot tall ! also wall - mount hair dryer . not powerful , use one pack . our son single first night . right across , face back garden area . quite small , quiet . room not contain sit area , feature large room . sink room like over - sized drinking fountain , however , find difficult wash face morning ! shower bathroom . the rest stay spend family suite second floor . ( staff even move luggage new suite we go morning ! ) room second floor not quite ceiling height one first floor , still probably close 10 - foot tall . family suite contain three separate room , plus entry area . room leave double room , middle room bathroom , room right single room . single room also contain sit area ( two chair small table ) , desk television . room feel roomy , also bay window face front . my husband one room -- contain double bed , nightstand , closet , safe luggage rack . room face garden area . bathroom much large first one immaculately maintain . couple squeaky area bedroom floor -- mildly distract . the two bedroom door suit automatic closer , fire door . get annoying , could not freely move room talk , find something keep open . might want bring door stopper space luggage ! away sleep , keep fire door shut , however . two tube stop less 10 - minute walk Darlington : Paddington Lancaster Gate . use stop , depend head . Hyde Park also less 10 - minute walk , spend lot time wander around area night . restaurant option numerous . every type ethnic cuisine within five - block area : indian , Moraccan , chinese , italian , American . also restaurant Paddington Train Station . large grocery store four block away . Breakfast include hotel stay . cheery , daylight - fill area low level hotel . table set fresh linen tablecloth , napkin fresh flower . hotel rate include either Continental cook - to - order breakfast . choose Continental one adequate we . include several type cereal , yogurt , juice , coffee , tea , bread jam . fresh fruit selection apple , orange , banana , plum kiwi . wait staff attentive pleasant -- never overbear . initally , disappointed could not get Kensington - area hotel stay year ago . . . long ! throughout stay , hotel staff superb . seem geniunely care every person stay hotel , give we warm greeting every single time come lobby . ( even 5:00 checking ! ) hotel surpass expectation almost every standard , would stay instant ! 
 Jun 7 2005 	 nice - definitly recommend 	 book Darlington reading review TripAdvisor disappoint . wife stay 11 night 29 April thru 10 May . place fancy nice clean great staff . book room LondonTown . book shuttle van also thru LondonTown Krest Transfers Heathrow Darlington . driver wait sign arrive help bag hotel . cost 50 pound total way think less HeathrowExpress also not drag luggage Paddington station . stay room 304 face front . room decent size clean . bathroom big expect . Bathtub large shower work great . convenient safe fridge . room get little warm time fan uncomfortable . street front busy noise not bad . complaint not dresser . large wardrobe without drawer . staff give we extra hanger still leave clothe suitcase . small laundry room basement floor washer , dryer ironing board . breakfast room nice bright large sunroof window . food include room great - egg , sausage , bacon , mushroom , tomato , toast etc . prepared order . also lot friut cereal . staff Darlington really make stay nice . friendly helpful . thank Isabel , Sylvia , Jackie , Birute , Mark . Paddington station block away well Hyde Park beautiful large , nice evening walk . lot pub restaurant within block . 
 Jun 1 2005 	 agree favorable comment 	 give thousand London hotel many substandard one , relief find affordable Darlington Trip Advisor . state guest , hotel clean , comfortable , well locate , friendly / helpful staff . 
 may 31 2005 	 good place ever stay London 	 Excellent location , minute walk Marble Arch . lovely little hotel immediately feel like home . smallish , comfortable room , sparkle clean bathroom gorgious english breakfast . find perfect doubt , choice future London trip . 
 May 30 2005 	 Darling Darlington 	 stay 4 night mid May . 2 couple party . room quite large , friend room much small , bathroom . ( corner ) large room compare eurporean standard , bathroom . e - mail advance ask large room , accommodate . think clean comfortable . staff go way make stay well possible . Jackie ( Assist . Manager ) Mark ( Manager ) top notch customer service . desk , hear woman complain noise people , & quot ; go write TripAdvisor warn people & quot ; , well , old building . floor creeky , hear people walk , ' ve stay many hotel hear people , pay alot . want tell not stay Savoy ! 
 May 24 2005 	 nice stay ... great staff 	 stay Darlington mid - May 2 night . choose base trip advisor review . state other , staff friendly helpful hotel location excellent . we give family - size room ( queen - size bed twin ) even though book double ( pay 80 pound ) . room large european standard refrigerator . bathroom also spacious large fluffy towel nice soap . early departure one morning ( breakfast serve ) , staff kind enough provide we continental breakfast . excellent experience .... good value price ... would definetely stay ! 
 may 23 2005 	 wonderful hotel 	 want convenience , safe place , delightful fun staff , excellent breakfast , immaculant room , Darlington Hotel place select . two block Paddington Station . mom ( 70 year old ) stay total 6 night could please . two girl , safety important . hotel secure . leave early breakfast available catch plane send tray juice , bun , butter , jam , fruit . room small refridgerator safe . many excelent restaurant nearby well bakery local market drug store . go back Darlington Hotel next trip London . 
 May 23 2005 	 highly recommend Darlington Hyde Park 	 get back stay Darlington . suite , quite comfortable . sit room decent size bedroom adequate . bathroom bite small , live England travel throughout UK Europe many time , see small . location great , previously mention . three minute Paddington 15 minute walk bring many different neighborhood . clean breakfast adequate . would definitely recommend hotel . UK make sure bring extra arm leg , leave behind , especially rent car itinerary . 
 May 19 2005 	 great staff convenient location 	 ' ve never stay anywhere nice , friendly , helpful staff . location excellent : block Paddington station Kensington Gardens . good , reasonable restaurant ( indian italian , particularly ) short walk away . London cold snap , radiator spacious , nicely appoint room could not keep despite ministration staff -- not affect overall appreciation hotel . reason not give 5 include breakfast good . definitely great choice budget hotel . 
 may 18 2005 	 lovely little hotel nice stay 	 boyfriend stay Darlington 4 - 10 May really enjoy time . hotel clean , staff helpful friendly full breakfast adequate . Paddington Station 10 min walk we ( Sussex Gardens London Street , turn right ) . neighborhood not & quot ; hopping & quot ; , be ok view - 's nice restaurant , grocery store internet cafe close . big plus- hotel 100 % non - smoking ! room 302 , face street . street noise not really issue , except loose manhole cover ... go kathunk - athunk every time car drive . , fade background . room 2/3 size typical US hotel room , bathroom quite small . quick peek inside room clean show room bathroom size varied , surprising give age building . temp day London low 60sf 48 - 50 night . room never hot stuffy , since prevail westerly side . the bed tad hard taste , day 's touring , could fallen asleep slab rock ! couple note : bathroom would better storage toiletry , even one little shelf hook door towel . reviewer note , hair dryer great , be important , BYO . could never really figure use hot water controller shower , muddle thru . also , good sized wardrobe , not enough drawer , stick thing desk cubby , etc . use desk surface supplemental space . breakfast , menu say scramble boil egg , ask , get fry egg . determine good option . mostly , impressed service . arrive , assistant manager , Jackie , run get bag promptly check . safe room not work able stash valuable hotel 's safe . time return afternoon touring , nonworke safe replace . desk receptionist try good guide we , answer question . Jackie also hop internet research us bookstore , forget material home . thank everyone help we little bag Thornton 's toffee leave . leave , operation manager , Steve think , run street us flag cab . at 85 gbp include vat full breakfast , plus pleasant service clean surrounding , lift proximity transportation , would definitely recommend hotel would return . 
 may 13 2005 	 Great Value Location 	 easy get Heathrow Airport Padington tube station two block great little hotel . bathroom good size ; soft toilet paper towel ; importantly , spotlessly clean . downside mention previously member noisey street , sqeaky floor , warm room ( AC ) . ask room top floor face back . picky hotel came fly colour . fine English breadfast . would safe recommend hotel family friend easy please . 
 may 12 2005 	 good bang buck 	 wife stay suite April 27th May 3rd . bedroom quiet door close sit room street side . bed comfortable queen size common small UK hotel . lack alarm clock note previous review come prepared . phone programming function wakeup call not work we . large fluffy towel provide washcloth ! also , phone book place room must go pay phone reception need one . another minor quibble staff not seem know much area restaurant , even one hotel recommend literature . pay 125 GBP per night outstanding value neighborhood . sit room , bathroom bedroom suite good sized , comfortable extremely clean . hot water abundant full english breakfast dining room outstanding . quality hotel convenient location close Paddington train tube station make ideal place stay . definitely book next trip London . 
 may 8 2005 	 would stay ! 	 stay one night suite Darlington ( Room 105 ) . clean decent sized room . bed comfortable . feel safe hotel walk around area . staff friendly cooked breakfast well prepared . would stay . 
 May 2 2005 	 nice Hyde Park 	 love stay hyde Park , clean , near metro station . excellent breakfast . nice place locate . 
 May 1 2005 	 cute 	 Darlington nice , clean , big bathroom , nice furnishing comfy bed . feel safe ... need room key even access elevator . room front road noise bad . location not great , tho . go London would look something little close action . tube / train confusing find Londoners rude unhelpful . people Darlington , however , wonderful . 
 Apr 28 2005 	 Clean Comfortable 	 stay Darlington Hyde Park 4 night . front desk staff wonderful , extremely informative , friendly , helpful question . Paddington tube station within walking distance , line connect almost tube line , include train bath . therefore , location excellent . choose hotel price , review note cleanliness . ( cheap hotel bedbug , etc review ) . definitely disappointed would stay . breakfast full english breakfast , good . overall , great place stay ! 
 Apr 25 2005 	 take Advantage Gem Hotel ! 	 family 4 stay Darlington two adjoining room six night mid - April . pay 180 pound room per night . nice family young child may different sleep schedule . room large spacious quiet . locate basement , view spectacular ( small courtyard ) light window large . bathroom big , plenty counterspace , great towel , nice little soap . toilet paper even three ply soft ! bed great - two twin one room double next . bring blow - up bed son sleep - maid even straighten change sheet ! receptionist fantastic help need . lot pub restaurant nearby include McDonalds , Burger King , etc . Fish Chips find 3 pound ! area safe night - never feel frightened threatened way . use Paddington Station - take 5 minute walk - find extremely convenient get almost anywhere London . find temperature hotel warm - other . also feel quiet - could basement level . impressed breakfast - cook order like . scramble egg nice - probably powdered - order poach fried egg . also nice laundry room hotel , locate basement . wash load 3 pound dry 1 pound 30 minute . convenient we since room right around corner . big benefit bring enough long - sleeve shirt sock ! would without doubt stay Darlington plan recommend friend go U.K . great hotel well worth every penny . 
 Apr 22 2005 	 Nice Hotel Good service good location 	 family 4 stay Darlington late March 4 night . upon arrival manager emerge say problem , uh oh . water damage one two adjoining room reserve . fix problem also repaint smell strong . allow we smell offer another room next door fine . extremely accomodate apologetic . basement level . though room front side , experience noise other mention . breakfast good room serve extremely nice convenient . staff helpful cleanliness fantastic . security mention elsewhere also excellent . overall , excellent experience . 
 Apr 17 2005 	 hot room nice hotel ! 	 stay 3 night early April 2005 . other mention , even though cool outside , room hot ( heater ! ) ... fan run whole time sleep . temperature , room clean , decent size ( single room ) bathroom nice . towel lovely overall facility nice place stay London . I really like security front door etc , anyone could walk lobby area . breakfast ok ... feel lack fruit selection ( apple orange available ) .As read review , request room back hotel escape noise , give room not face onto street - quiet could expect London ! ! book visithotels.com website get cheap rate ... problem this . I would definitely stay ... middle summer - case room even HOTTER ! ! 
 Apr 8 2005 	 Excellent value London 	 stay Darlington second visit London . first time stay apartment hotel 10 pound per night less not include breakfast . Darlington far superior much well value . I think room lovely , large double face street . plenty space move around despite enormous suitcase luggage . decor pleasant , enough storage space belonging , room lovely french door ( road quite noisy ) , bathroom good size . traffic noise not bother - close french door watch television make phone call . the room clean well maintain . provide toiletry nice bathtub enormous ( compare australian one anyway ) . agree previous comment hairdryer strong enough ' ve find hotel wherever go always bring one I . the breakfast provide excellent . lovely hot dish cook order rather usual hot buffet . continental choice fine too . the location hotel excellent . walk Paddington catch Heathrow Express . many restaurant within block walk , post office , fast food , small supermarket , pretty much anything else would need close by . on check ask cab peak time cab phone line engage . girl desk try 3 time dash street return cab . impressed . I will definitely stay Darlington future visit London - price 's great value London . 's clean well maintain , service good location hard beat . 
 Apr 8 2005 	 great little hotel 	 Darlington clean , friendly hotel within walk distance Paddington Station Hyde Park . staff bend backward accomodate , room rate , include full breakfast invite breakfast room , reasonable London area . hotel dining facility lunch dinner , area abound pub restaurant . thing keep rate hotel excellent , however . room small , barely room two people pass beside bed . closet two foot wide , include small refrigerator take floor space . except small drawer desk , storage space . although March quite cool outside , room hot ( even without heater turn ) keep fan order sleep . bathroom nice size ( towel large fluffy ) , water shower alternate scald hot ice cold every minute . would suggest bring hairdryer ; one bathroom mediocre good . thing aside , can not beat price , enjoy stay . would definitely consider stay next time London . 
 Apr 6 2005 	 Nice Hotel 	 stay Darlington April 3rd 2 night . choose base trip advisor review . though room nice size due fact reserve superior twin room , problem . reserve room back hotel street room ton traffic front hotel . fan room may need even time year hotel hot . hair dryer worth use little power , bring travel dryer possible . bathroom fan would turn even light turn . bathroom clean . first thing notice bedroom wall dirty especially near light switch hand print easy see wipe room let . room need paint job . breakfast , include fee wonderful . staff friendly . good location Paddington station , good choice budget hotel . 
 Apr 5 2005 	 Basic Comfortable .. Good Value 	 feel overall review accurate .. spend 4 night suite one night upon return london family room .. room good size , basic clean comfortable .. close paddington tube .. lovely neighborhood back hotel several nice restaurant ( Cristini be especially ) .. safe area .. lovely staff .. would stay .. good value price 
 Mar 31 2005 	 clean good 	 stay 4 night march 2005 good time . get nice , big room . bathroom bite small hairblower really dry . hotel clean home ; ) everyone friendly helpful hotel . good english breakfast save ever want specialy . like say 5 minute away Paddington Station quiet . nice hotel .. perfect . 
 Mar 22 2005 	 Fine 	 Convenient , nice hotel . room Spartan , comfortable . front desk staff friendly , sharp ( failed call cab ask ) . close ( 5 7 - minute walk ) two tube stop ( Paddington Lancaster Gate ) . overall good value extremely expensive city . 
 Mar 21 2005 	 great little hotel 	 stay Darlington 3/09/05 3/16/05 . hotel extremely clean staff friendly helpful . breakfast serve bright dining room white tablecloth fresh flower table . staff dining room friendly helpful , especially Gary . several selection choose interested light breakfast ... toast , cereal , juice , warm roll , fresh fruit ... order full english breakfast something in - between . room clean , small , quiet . fluffy duvet bed . water pressure shower strong never run hot water . there many restaurant pub nearby pretty neighborhood . day arrival , take stroll Hyde Park close . hotel excellent value , thoroughtly enjoy stay would definitely stay . 
 Mar 17 2005 	 outstanding value ; love ! ! 	 fall love Darlington Hyde Park ! stay 9 - 14mar05 use review Travel Advisor make mind . disappointed . true jewel . hotel unique security system add safety . senior feel Darlington excellent value especially cleanliness . Breakfast include full English . real value 2 - 3 block Paddington - easy walk . 
 Mar 16 2005 	 good everyone say 	 terrific little hotel . tidy , hip , respectable . I stay small single room ( # 106 ) well organize well friend 's single , small shower / sink ' ve ever see . room bit unusual halfway two floor stairway landing appear add - on back building ( be little quieter ) . one really weird part small hallway fire door bathroom bedroom . breakfast great . location convenient Paddington station . minor complaint phone line static , limit tv channel , small shower , clock , A / c . 
 Mar 14 2005 	 good night sleep 	 girlfriend stay Darlington Hyde Park 4th till 12th March 2005 ( incl . ) hotel meet expectation : friendly staff always ready help , clean room least superior double bed . girlfriend ( asthma ) good sleep year 8 day ! highly recommend Darlington . great value money . truly home home ! sad leave back first opportunity . 
 Mar 12 2005 	 great place 	 really good place stay , friendly helpful staff , location good easy access town centre quiet . lovely clean room good facility . would definately stay . 
 Mar 11 2005 	 Darlington Hyde Park - good everyone say ! 	 boyfriend return London 4 day holiday . stay Darlington upon recommendation Tripadvisor must say everything expect . room small ( # 16 ) , comfortable queen size bed . bathroom extremely clean , large enough , towel great ( washcloth , though ) . room ground floor , back building , one neighboring room . slight problem room kitchen produce lot chop preppe noise breakfast time . ( alarm clock ! ) also , view window heating a / c duct . otherwise , perfect hotel - close Paddington station every Tube line would need ride . not spend much time room , perfect price amenity need , breakfast hearty dining room lovely . definitely stay Darlington ! 
 Mar 8 2005 	 Exceeds Expectations 	 Darlington great people budget expect appreciate certain convenience amenity . admit pleasantly surprise well - price hotel exceed expectation . although single room tiny even european standard , well lay several touch ( clean , empty fridge , heat towel rack , secure safe , really big towel ) ' ve find even five star London property . staff extremely helpful pleasant , breakfast cook order , fresh tasty , location good like walk Hyde Park and/or need convenient tube stop . take taxi Paddington upon arrival London , necessary . be two block walk station know be go . minor quibble cleanliness room . inch dust valance substance wall next bed require attention . bathroom , though , pristine . would book hotel heartbeat -- ' m really picky ! 
 Mar 7 2005 	 wow ! 	 great hotel ! stay microscopic London hotel 5 year ago well stay guest house small space York day prior , high hope . choose hotel base good review Trip Advisor . upon check & quot ; family & quot ; room - 1 queen 1 twin , find 2 separate room ! clean , extremely comfortable room add bonus privacy 6 year old ! towel HUGE compare experienced , nice soft american - style toilet paper . full english breakfast great , service nice . get excellent recommendation dinner Noor Jahan , indian place road - great ( expensive like London ) . can not recommend hotel enough , 2 block Paddington Station , exceed expectation . 
 Mar 1 2005 	 wonderful hotel 	 stay Darlington 6 night wonderful hotel . extremely clean room large bath ( Paddington area type hotel ) friendly helpful staff . breakfast great good way start day . highly recommend hotel reason also price . stay time return . around excellent hotel . 
 Feb 27 2005 	 Darlington great 	 quick trip London choose hotel base review Tripadvisor . say extremely pleased stay Darlington . room small clean necessary amenity stay , include small refrigerator in - room safe . room inside building ( i.e . away main street ) hear traffic noise . staff friendly breakfast ( include room rate ) excellent well . location close Paddington Station make commute Heathrow breeze . would highly recommend hotel ! RH Arroyo Grande California 
 Feb 16 2005 	 great price good location Paddington 	 partner stay last weekend January . really enjoy stay . ideally locate Paddington station . take tube Heathrow Paddington lot luggage , save nice quid ! ( Heathrow express 25 pound per person return , Tube 6 pound day travelcard ) .The check quick efficient . ask quiet room give room floor back hotel . noise first night / morning , second morning wake drilling noise ( sure hotel nearby ) also woman floor we talk loudly telephone . know ! ! overall area around hotel ok , nice pub drink way back hotel find . the staff helpful , breakfast good nice touch cook request . overall would recommend hotel other would definitely consider stay return London . 
