fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Mar 2 2007 	 Fall Love San Francisco 	 Phenomenal service ever remarkable hotel group . nothing much trouble Tammy Lisa , concierge mostest Club Lounge level . Tammy regularly email visit , secure booking fabulous restaurant make excellent recommendation . everything tour Mission mural good indian restaurant town immaculately arrange . even secure 2 night upgrade suite Valentine 's Day . on admit unable finish Chef 's Ron Howard 's gourmet Valentine 's dinner due ' tiredness ' surfeit cocktail , Lisa empathetic last , mix we stonke Bloody Marys provide uplift ' morning ' breakfast cure . Lisa 's Margaritas also well ever have . Ritz Carlton San Francisco locate Nob Hill , around corner Fairmont Intercontinental . close centre city transport easy safe . buy $ 49tourist pass visit 2 art museum , cruise round Alcatraz unlimited transport week . cab hire airport . everything else eminently reachable . one great attraction beautiful city lack american sprawl containment . we check 4 season ( see separate review ) doubt term style ambience , Four season easily lead way . certain , almost french , overkill Ritz Carlton decor . stylistic challenge RC management hotel inevitably seek attract young clientele great vigour . the hotel need stylistically follow redesign website . however , imply Ritz Carlton stuffy hotel . stay seven night hotel positively buzz 24/7 shortage aforementione young people enjoy unbridled service Ritz Carlton . whilst one may hesitate slightly gaudy ostentation , nothing detract immaculate service . it friendly , robotic ' my pleasure ' scenario equally overbear escape secure private space . Club Lounge breakfast taste , despite availabilityof rather tasty warm flan . however wife feast mountain fresh fruit smoke salmon . one minor gripe shower little tame Ritz Carlton . we obtain excellent flight hotel deal Expedia current exchange rate make USA holiday alluring . good restaurant : Ruth 's Chris steak , Mama 's omelette breakfast , Sears coffee , big 4 @ Huntington Hotel succulent crab cake wild boar . want much eat indian food less $ 20 , wonderful Shalimar recommend . avoid ' Top Mark ' Intercontinental . despite Tammy secure we good table magnificent view San Francisco , wife walk . appalling brusque service , long wait time lobby menu restrict two main unappetise dish . packed rafter many punter cram small space . Art Galleries : make trek de Young museum . 's worth . stunning collection , wonderful building , work art right fabulous view top Haman Education Tower . you take flash free picture , real bonus usually precious art fraternity . the Museum Modern Art another iconic building . take excellent tour give detailed insight Pollock , Manet home grow Arneson . pop across road Buena Yerba Park enjoy fountain Martin Luther King fountain memorial . wear Flowers Hair : well , visit City Lights bookshop still resonate radical flavour hark back bygone era large volume Kerouac Ginsberg display . Buy ' howl ' shirt ! want really strange piece local flavour , visit Cafe Prague Sunday afternoon 4.00pm , Mark Schwarz conduct poetry read workshop . like sequel ' one flew cuckoo'sn , ' small group aspire poet perform work mute , entirely bohemian cafe service poor poem . try contain disbelief . could script bizarre collection poetically touch individual . Art House Cinema : Lumiere well worth visit outside mainstream movie afficianado . see amazing Thai melodrama ' tear Black Tiger ' here . shopping : show room key ' Pack Wrap ' section Macy 's secure 11 % discount purchase . finally stay Ritz Carlton . unbeatable stay . 
 Feb 11 2007 	 enjoy time Ritz 	 husband recently stay Ritz weekend . yearly function always attend City . usually stay hotel Nob Hill , decide numerous stay bad service would try new hotel . love stay old hotel City , modern . the Ritz everything need make stay enjoyable . book club level suite , right start well take care . within two day book club conceirge contact we make arrangement anything need . make sure spa teartment book , dinner reservation , transportation hotel . the club level way go . food presentation throughout day excellent . need help staff take care we . husband find 4:00 Saturday grab suit shirt instead tuxedo shirt . club level manager helpful get transportation Union Square , back time ready leave 4:30 function . there salon hotel , conceirge , Sara , find gentleman nearby salon help updo evening . come straight room . thank Daniel Maiden Lane Salon . always take care hotel . drink major amount water , work fitness room downstairs dinner . return back room , stop club floor way get bottle water drink . surprised come back first evening dinner find empty full size water bottle nightstand replace new one extra we . Room Service quick , quick return call clear dish . we always stay last 11 year Mark Hopkins least 3 time year . people still work day . remember , room service slow , move club lounge lobby level . the Ritz much well , find new hotel choice San Francisco . the service amazing , staff cordial helpful . would nice well spa , offer salon premise . we look take daughter birthday spend night partake afternoon tea . we always say , can not wait return Mark , say can not wait get back Ritz service . 
 Jan 25 2007 	 Contentment turn Anger 	 love Club Level three - day stay . staff cordial helpful , food great . book prepay trip Expedia . owe $ 17 check . however , credit card give check - in use Ritz place hold $ 301.40 , $ 101.40 , $ 301.40 , $ 8.34 , $ 9.40 card without knowledge consent . think someone steal number . Ritz say policy base night audit . still satisfactory explanation . know policy hold , would book another hotel . 
 Jan 22 2007 	 great brunch 	 hotel great brunch . 's classic san francisco experience stay ritz saturday night engage great brunch . tom 
 Jan 21 2007 	 elegant refined 	 family four . spend Christmas San Francisco stay beautiful property . suite everything need feel right home . Bose Ipod dock room welcome detail . great staff , tasteful decor , excellent service throughout . Ritz - Carlton always result excellent experience hotel particular set high category . 
 Nov 29 2006 	 absolutely wonderful 	 travel across bay anniversary celebration . room beautiful service wonderful . rise petal bed turn service nice touch . back time next year . 
 Nov 22 2006 	 first class way ! 	 teenager son stay Ritz pre thanksgive awesome time . club level even though little dollar wise , worth every penny . 24 hour food beverage available , everyone know name . never feel secure . Sara Regarro know son name even go get massage one evening feel comfortable stay alone know concierge always . use complimentary IPOD think great . way , Tanya , massage perfect . zero complaint hotel . wait go back next . 
 Nov 21 2006 	 soooo sad leave ! 	 second time hotel . husband stay Executive Level . great rave staff floor whole hotel . the room tasteful , pretty bathroom . mattress comfortable bed ever sleep ! duvet cover pillow world . not want get bed ! get lounge , staff know name ask sleep well . change food buffet table 5 time day ! food good actually go back lounge lunch shopping city . mention caviar blinis cocktails chocolate dinner . listen could go food . I can not wait go back ! 
 Oct 10 2006 	 Impressed 	 impressed Ritz San Francisco . beautiful hotel , great location . room spacious set like suite . special cudo Concierge set special request include exotic car rental tour & quot ; hard get access & quot ; winery . one would expect Ritz . misstep promise send special chocolate desert room make wife 's birthday , never come . since ' on money ' service actually pay will not hold . 
 Sep 21 2006 	 Gold Service Value . 	 hello Scotland , hotel expect good . security wise , service wise , leave nothing chance . feel home outset , try dining room . service 's good . worth money . travel Las Vegas stop Del , San Diego Fairmont SantaMonica , Ritz one good California . 
 Sep 19 2006 	 great splurge 	 splurge 1 - night & quot ; romance package & quot ; anniversary last year , fantastic experiecne . staff polite , thoughtful , willing help anything . even greet we name would pass reception desk . food Dining room spectacular . Ron Siegel fantastic chef , enjoy every minute , despite & quot ; old - world & quot ; interior . room HUGE , bathroom spacious well . disappoint anything . say , really expensive night . include dinner ( skimp ) , spend $ 1000 . yike ! great splurge , everyday kind hotel . 
 Sep 18 2006 	 Ritz Carlton San Francisco best HOTEL EVER ! 	 tarvel business stay world . send San Francisco work assignment happy excite away east coast 30 day . Ritz - Carlton go home month August . car pick airport make may BEST HOTLE ever ..... walk two employee welcome name say excited . know ? ? ? ? employee seem really care - not fake service get luxary hotel . walk toward front desk employee & quot ; Billy & quot ; come give room key take room . never go front desk . enter room find stock everything would ever need . since stay month research find fav snack , mag , movie music . everything . also bowl fruit box chocalte name spell . create business card use Ritz address . stay get well . back San Fran Ritz book stay teh St. Regis - oh .... bad . never stay starwood property . staff bad guest room worst . stay ritz come San Francisco . move go dinner twice week . good place enjoy live ! 
 Aug 2 2006 	 really lovely hotel 	 fan Ritz Carlton concern relatively low rating trip Advisor one . contact hotel helpful reassuring , tell refurb recently finish etc . well need not worried . stay 3 night mid July part near 3 week California holiday hotel perfect . beautiful building , good location elegant throughout . greet name time many note phonecall ask we everything ok . we stay club level delightful . food presentation yummy plentiful , really room dining ! club concierge wonderful helpful . our room , suite , stunning , new decoration sophisticate refined . flat screen tv bedroom , living room bathroom please pur 13 year old son ! overall , love hotel although San Francisco favourite US city , would without question stay Ritz return . if interested check review Ritz Laguna Niguel , happy experience , Regent Beverly Wiltshire , great Monterey Plaza Hotel horrid . 
 Jul 5 2006 	 Fantastic Experience Ritz 	 return three wonderful night Ritz - Carlton SF . hotel teriffic . first walk door , greet glass champagne wait check ( behind one person ) . staff can not enough . everyone greet smile & quot ; Good Morning & quot ; head day . go morning run , doorman offer water run route think might enjoy . personal level , experience Ritz perfect . the hotel extremely nice , renovation ( exterior apparently still renovate ) . room decorate classic Ritz style . bed absolutely amazing - definitely one comfortable bed sleep . almost not want get morning ! hotel 's location great signtseeing shopping . locate right Nob Hill , couple block away Union Square 10 minute walk Embarcadero . I can not say enough great people Ritz . seem treat guest one hotel . 's certainly cheap hotel SF , wonderful experience look forward stay . 
 Jul 4 2006 	 Time change hotel 	 many year stay club level , look forward see newly decorate room June trip . disappointment . increase cost per guest room merit heavy , clunky furnishing . staff , always , gracious accomodating . 
 Jul 4 2006 	 Top Snob Hill Terrible Stay Ritz San Francisco 	 year stay Luxury hotel absolute bad . locate top call Snob Hill actually Nob Hill block walk Chinatown . staff friendly . locate anything walk far Union Square think . comp house car comp ... everyone price sure money tip ... staff wait tip . beautiful entrance go floor beware cigarette butt people put table smoking smell . room sound proof fact complain number times party child stomp tryin rest . security fact none feel unsafe people come go couple block away bad unsafe area city . advice stay Union Square see . 
 Jun 21 2006 	 Dining Room 	 yearly trek fine dining mountain find one we change , think . past year able try fine dining experience California coast line , find opinion fine dining change . idea reinforce recent experience Dining Room Ritz . think menu may even last visit say least rut , rut begin dining staff . one moment real interaction whole evening . one item menu anyone jump expectation , one thing anyone table say even pleasantly surprised . same - same - same ... agree experience mean recreate fine wooden panel evening old man 's club ... heck sake , San Francisco patron due food fire work ... palate surprise ... least OOOOMPH . highlight evening wine glass pairing sommeli . lovely everyone , fine choice experience background . can not emphasize nice nuance be . but back food , save money well yet go St Regis try ame , Campton Place even well travel Inverness coast line experience Manka 's . much well serve , well experience exquisite palate choice kitchen . and please tell waitstaff clientel really know beignet not need snooty attitude explain & quot ; french donut hole & quot ; .... really . 
 Jun 19 2006 	 Beautiful Trip 	 stay ritz carlton San 2 day . hotel nice take 50 picture inside room looby . highly recommend hotel . , wife spend 2 day every year great place . please go , bring swimming suit . cost $ 25.00 basic one . Bert 
 Jun 6 2006 	 satisfy 	 great location , friendly helpful staff , lovely accommodation club level floor . good food service club level . 
 Apr 30 2006 	 Perfect Choice Family Vacation 	 recently return six night family vacation ( husband three child ) Ritz Carlton San Francisco . book two interconnect deluxe room American Express Platinum Fine Resorts Hotels program ( highly recommend use – later ) . enjoy stay enormously good thing say hotel . research hotel extensively plan trip . read reviews Ritz Carlton website , well standard guidebook Zagat . debate hotel Four season quite time . weigh favor four season fact usually receive high rating source check tend like sleek contemporary décor Four Seasons rather formal , faux elegance type décor Ritz Carlton . weigh favor Ritz Carlton think well location San Francisco tourism less business atmosphere ( i.e. , well family ) four Seasons , friend travel San Francisco child highly recommend , less expensive Four Seasons type room standard luxury . feel could go wrong Ritz Carlton , right . perfect choice . the location ideal sightseeing . two block Chinatown , five ten minute walk North Beach area ( usually walk restaurant night ) , Union Square , soma museum . also , stop block major cable car line , take minute get Fisherman ' wharf line take . ( taxi area Telegraph Hill would five minute ) . never see homeless people block hotel , feel safe walk around immediate area night . hotel iself elegant old building , luxurious décor . mention , although " old world " elegance really style ( feel particular breakfast restaurant could use lot light casual contemporary style ) , hotel definitely luxurious , without stuffy uncomfortable child . contrary , see ton family kid hotel ( totally disagree previous reviewer site find clientele hotel old people . see old people , would particularly care ) . two room quite spacious ( especially city hotel ) , greatly appreciate fact able get interconnect low price category . also , rollaway bed second bedroom free , hotel able find downtown San Francisco policy ( although Ritz Carlton make charge slightly other parking ) . room recently renovate luxurious , comfortable well appoint . bedding linen exquisite . always delicious chocolate treat wait we room , last night , receive special boxed set treat " Fond Farewell " write chocolate . hotel lot nice touch like wonderful attention detail . also , bathroom amenity always restock – something ' always happen even luxury hotel . large indoor pool hotel . although time use , check , look pretty nice . I mention book hotel Amex Platinum desk . happen platinum card , definitely way go . although could take advantage several available benefit trip ( upgrade available time check , need early check late check , opportunity free lunch hotel ) , huge saving get daily $ 80 credit towards price breakfast . travel great deal family usually stay luxury hotel . typically , breakfast family five run $ 150 place . likewise , Ritz Carlton . credit take pain breakfast tab . another hint saving breakfast kid – ask kid ' menu . first two morning , offer we know kids menu ( simply discount price hot cold buffet ) . third day , suddenly offer kid ' menu . even 16 - year old order Mickey Mouse Pancake $ 5 . portion kid menu absolutely huge $ 5 . Mickey Mouse pancake waffle kid menu would enough satisfy ravenously hungry normal sized adult . honestly , would order completely embarrassed . , order continental breakfast four time price . the staff hotel friendly , courteous helpful possibly . service top notch across board chamber maid , porter , doorman front desk . fact , glitch one night stay , handle well possible way . hotel undergo renovation floor floor . middle one night , alarm sound several time within room ( believe throughout hotel ) . phone front desk tell everything okay , fire department way . apparently , learn subsequent incident , construction dust one floor renovate get onto smoke detector cause alarm go throughout hotel . needless say , get good night ' sleep night . nevertheless , hotel could handle situation well . go check , speak manager gracious accommodating could possibly . could even finish sentence , refund full amount two room night . question ask . leave positive feeling place – definitely stay next trip San Francisco . recommend anyone want wonderful base see business great city . 
 Apr 22 2006 	 San Francisco Ritz Carlton - One Best 	 return five night stay San Francisco , Ritz Carlton . third time stay thiis hotel , , outstanding stay . we book room club floor . highly recommend floor . club room wonderful provide nice quiet place converstation six different food presentation throughout day , along compimentary beverage include wine . the Hotel go renovation room upgrade . room already upgrade include new carpeting , new furniture wall room freshly paint . the service wonderful helpful people front desk fantastic people club room . check - in give warm towel nice touch long day get San Francisco . prior stay , contact one concierge club floor helpful make various arrangement we . the hotel also provide compimentary ride nearby location . one day rain nice car drop we restaurant block away hotel . the hotel locate close area include Chinatown . this wonderful hotel . rate one fine hotel US highly recommend other whether stay business please celebrate special occassion . 
 Apr 13 2006 	 ok good Ritz - Carlton 	 stay hotel 3 night end March . hotel good location attractive outside . check - in quick allocate room 4th Floor . room good size although not newly renovate room clean not look feel tired . traffic noise road outside problem though - window not seem cut much noise wake times night sound siren traffic always wake we early morning . maybe room high floor not suffer problem . the business centre great catch email coffee provide morning helped offset irritation wake early traffic . aspect stay great general feel Ritz - Carlton good other stay . 
 Apr 10 2006 	 1st Class Hotel ! 	 stay Ritz one night celebrate 10th Anniversary . book standard room club level . day stay concierge contact via email arrange spa treatment we . also ask special song . when arrive greet name , give warm washclothe & quot ; freshen & quot ; check . arrive club level meet & quot ; Brandi & quot ; show we room , give we run Club lounge serve schedule . nice friendly ! ! enter room song play cd player ! burn CD we . also small tray chocolate we Happy Anniversary message write chocolate tray . room nice . wonderfully comfortable bed . nice flat screen tv . pretty marble bathroom double sink . they sprinkle bed rise petal turn ! Sunday morning go champagne brunch Ritz . expensive ( $ 70 ) , wonderful food ! ! retrieve car valet go home little note car thank we stay , another card list local radio station direction freeway , plus two bottle water we . we feel pamper , extra touch really make stay feel special . much look forward stay Ritz someday ! ! hopefully long one night next time ! 
 Apr 2 2006 	 would expect Ritz Carlton - great ! 	 moment arrive early check - in entire experince Ritz Carlton magnificent . staff attentive take care request without hesitation . hotel centrally locate short walk away one cable car stop . cable car rate $ 5 one way ticket $ 10 unlimited daily pass . take advantage $ 10 option day able cover lot ground . standard king room generous size bed quite comfortable . hotel undergo major renovation room one newly update one . inform we check - in renovation take place floor floor basis . two night ( Thursday Friday ) neither see hear construction . problem . the Ritz nice pool hot tub low level . enjoy steam room will really like - spacious really get cook ! Lobby Bar good place relax . morning complimentary coffe tea . evening nice place quiet cocktail people watch . couple night week Sushi chef hand prepare appetizer plate order . we ' ve stay several Ritz Carltons around country feel may good experience yet . staff splendid job provide stellar service make feel like pamper guest . 
 Mar 30 2006 	 Best Hotel San Francisco 	 ' ve see stay lot hotel San Francisco , none compare Ritz - Carlton . return 2 night stay , everything hotel impeccable . Deluxe Guest Room , run $ 500 / night ( include food- burger omelette order room service run $ 50 , 24 hour dining service complete luxury , quality food excellent . also breakfast hotel twice , everything fresh cook perfection ) . although room not big , large compare San Francisco hotel . bathroom large , complete sink , phone next toilet . bed incredibly comfortable . hotel even indoor pool , rare city . really make hotel service , quality , attention detail . one night ask bellman flag us taxi , instead offer we hotel 's limousine . definitely stay ! be willing pay money , Ritz - Carlton excellent choice . 
 Mar 22 2006 	 Great Adults / Great Kids 	 wonderful hotel great location near Chinatown Union Square . cable car stop right corner . Staff could accomodating- everyone go way . prime example call ask diaper pail . not one send someone right away buy one ! indoor pool nice kid really enjoy play late afternoon day sightseeing . location right near Chinatown make take chinese good dinner option day kid tired go restaurant . concierge accomodate suggest restaurant purpose . do not eat restaurant , seem get excellent review local . room service good too.2 minor nit : room small side place like Ritz , though expect big city hotel . room service breakfast menu could extensive- food good , lot choice . overall , love hotel would gladly return . build beautiful , look like bank government building point . 
 Mar 21 2006 	 simply best 	 hotel second none , wife spend 3 day last week good 3 day spend hotel across world . front door , greet person front desk amazing club level everyone wish answer . great job back . 
 Mar 11 2006 	 Service Key ! 	 wife decide spend 10 year anniversary & quot ; Best Hotel San Francisco & quot ; . time greet Scott Doorman , sad day leave , service impeccable ! & quot ; Must & quot ; : stay & quot ; Club Level & quot ; .Eat & quot ; Dinning Room & quot ; .Get massage . Walk Union Square take Cable car pier 39.And need recommendation , speak Concierge go talk Scott Doorman . we ' wait get back 11th Anniversary 
 Feb 10 2006 	 simply Best 	 Ritz - Carlton first hotel stay part honeymoon , far good , infact good hotel either we ever stay in . the service outstanding , hotel insist we take hotel limo restaurant book , also go way make stay enjoyable possible . the food hotel underrate ( eat restaurant ) , & quot ; Sirloin Burgers & quot ; order night arrival delicious . I would recommend hotel anyone come San Francisco . 
 Jan 29 2006 	 Ritz # 1 	 service orient classy place spend evening . expensive & quot ; lifetime & quot ; folk worth experience . 
 Jan 22 2006 	 good ! 	 Ritz - Carlton San Francisco beautiful hotel San Francisco Ritz - Carlton chain . stay Ritz - Carltons Philadelphia , Buckhead , Lake Oconnnee , Rancho Mirage , Laguna Niguel , none compare service atmosphere . always person greet hotel entrance , everybody refer name . within room , manager provide guest gift , Bulgari bath product nice upgrade . hotel embark major room renovation . hope retain current traditional elegance , many Ritz - Carltons renovating create ultra - modern interior . 
 Jan 5 2006 	 Christmas Eve dinner Ritz . 	 second Christmas Eve dinner Ritz . last time friend could not get we & quot ; main & quot ; dining room dinner low dining room fix price meal $ 125 / person . food mediocre service abysmal . somehow talk dining Ritz year . balked say could assure would main dining room , have it . our friend get reservation away go . I can not say food bad must say service good . say lead believe room beautiful 'd lovely room dine . somehow party place corner much - too - large table strain hear table companion . tiny ( mean tiny ) vase little white tulip sit middle large table , look forlorn . oh , tiny portion good , must say . come time palate cleanser , though , group completely lose . waiter come huge white charger - like bowl exact center half teaspoon sorbet along three pomegranate seed artfully place alongside ! ceremoniously place front we . howl laughter . husband yank digital camera take picture . subsequently show many friend . photo always draw scream laughter . next come dessert , follow huge bill . believe , problem enjoy pay expensive meal . , however , comical insult repeat . thank , L Russell ( Photo attach ) 
 Dec 8 2005 	 rename Marriott 	 transformation Ritz Carlton Marriott complete . feature hotel average Marriott high price . parking $ 60 dollar day , yet take average 20 minute get car . call car advance young lady run valet office busy talk parker answer phone . maybe talk bellman , bell stand answer phone take bag checkout either . & quot ; Concierge & quot ; level open hotel , appearently , since room always fill guest enter floor . the manager Concierge room bright spot 5 day stay . professional try make stay enjoyable . all visible staff foreign probably pay much less former american counterpart . visit Ritz Carlton SF since open , always favorite ' luxury ' hotel . fall far estimation ... look elsewhere SF , either low price well service justify high price . 
 Oct 19 2005 	 Loved Ritz Carlton 	 stay Ritz Carlton three night October . stay Club Level wonderful . love everything . food presentation nice drink option wonderful . use concierge service quite bit everyone helpful . would stay minute recommend hotel anyone know . 
 Oct 5 2005 	 nice property poor service . overprice . 	 $ 800 + per night ( albeit club suite ) normally mean expect good service , sadly case . disorganised , officious door staff greet we arrive 3 night stay . friendly , suited traffic control function customer service . lot , dysfunctional . pleasant check - in lady reception desk , no - one show we room . room good , usual facility $ 800 + suite , nothing sensational . large flat screen tv , furnishing opulent ok . club concierge useless throughout stay . ask ticket either ballet , opera classical performance , simply turn internet . could do . fail find ticket , ticket agent joy , time get back confirm , go . ( need check back , leave clear instruction buy ticket ) .calle concierge impossible , voicemail .. ring .. answer cut .. answer put hold .. try organise car take back airport challenge enough - repeat instruction 3 time understoon - still get wrong ... see later . staff knock hotel door despite disturb sign - irritating . no turndown service despite specific call ( 8 pm ) request one . call ask mineral water ( normally leave turndown ) - hour later ( midnight ! ) housekeeper turn turndown ! check , bell man try give tag store luggage . explain car organise hotel would collect bag ahead collect restaurant onward journey hotel . say would give tag concierge tutte sigh ask pass concierge I . when car come pick , 4 bag board 5 collect room . go back hotel , staff apologetic accept responsibility mistake .. nevertheless , run late . so , maybe sound picky .. book service attention detail distinguish expensive hotel great hotel . the Ritz - Carlton expensive , service big let . , lot staff around place , seem disorganise many unwilling . until get staff organise , stay Mandarin . 
 Sep 27 2005 	 great hotel great experience 	 san francisco night , decide try bed breakfast package ritz carlton . stay ritz property central park new york occasion always enjoy experience look forward see san francisco location good . . service excellent moment pull valet time drive away.they even think put bottle water car pick valet next morning . nice touch ! ! staff attentive without pushy , say good morning actually feel though mean require say . room good sized , somewhat small accustomed new york location still spacious comfortable . return night find bed turn bottle water chocolate next , light dim classical music play nice touch well . spa product robe contribute comfort level room well . next morning order breakfast room service excellent . show exactly time specify food superb . convey happy stay look forward . 
 Sep 10 2005 	 LOVED Ritz - Carlton - look forward stay ! 	 stay Ritz - Carlton Club Suite ( Room 915 ) August 26th August 30th attend wedding . moment arrive SFO ( 1 am ) time leave , treat like royalty . ( actually contact arrival via e - mail see need anything stay ! ) . concierge arrange limo pick us airport . quick check - in , go suite dish chocolate cover strawberry , bottle fruit juice ice handwritten welcome note Chief Concierge wait . ( Chief Concierge also member Les Clefs d'Or ! ! ) suite beautiful ( see 9/8/2005 review detail ) . since wedding , ask need anything press take downstairs immediately ( 2:30am ) . tell garment would bring back room next morning 10:30am . funniest part even though expect clothing , phone rang precisely 10:30am tell housekeeping outside door . ask alright rang doorbell suite ! say , & quot ; sure ! & quot ; , bell rang . wonder noticed person wear earpiece - like secret service ! ! host small pre - wedding party suite service incredible ! nothing overlook - correct number champagne , water port glass , bottle spring water soda / snack kid . room service excellent job prepare everything ! ! concierge also set car take we wedding ( Legion Honor / Art Museum ) not worry taxi . good thing many guest strand taxi would go area 11 pm ! driver not hesitate ask alright offer guest ride back we . upon return , room spotless dish glassware clean pre - wedding party . bottled drink leave neatly place bar clean glass napkin . I admit cringe read continental breakfast serve Club Lounge avoid first two day . ( like variety egg breakfast vacation ) . one day decide take peek . surprised find quiche ! offer quiche , offer two different kind - mushroom ham cheese ! ( enjoy Jazz Sunday Brunch though - make sure make reservation ahead time ! ) .The Club Lounge nice place sip glass wine afternoon grab milk cookie 1 am . afternoon & quot ; presentation & quot ; phenomenal - sushi , oyster half shell , cheese , caviar multitude hor d'oeuvres . mention Club Concierge go host pre - wedding party suite , offer reserve area Club Lounge ! politely decline not want impose guest . floor offer . thing surprise always address name . hear Ritz - Carlton never believe . first time ever stay Ritz - Carlton - last ! ! 
 Sep 8 2005 	 Perfect family 	 get back 2 night stay Ritz Carlton San Francisco . travel 2 small child age 3 challenge , never stay Ritz Carlton kid ( usually opt Four Seasons ) . use American Express Platinum program get reasonable rate suite upgrade program ( early check , late check , room upgrade available , breakfast credit , resort amenity ) really nice . the suite fantastic . 1100 square foot large living room 1/2 bathroom . french door separate live area bedroom area . bedroom area good size also full bathroom . strange thing bathroom shower toliet separate rest bathroom . think bit odd ( ' m use toliet separate bathroom , use shower toliet together ) . addition , bathroom bedroom sizeable dressing area ... vanity , dresser drawer closet . dress area large able put rollaway bed plenty room spare ( baby toddler separate one night ... waking ) . note : live room plenty large enough accomodate rollaway bed full size crib . the service impeccable , attentive . eat Terrace restaurant breakfast impress food , impressed kid menu . usual chicken finger / pizza offering . breakfast , daughter order scramble egg sausage kid menu order regular menu . bring food table , plate identical mine ... $ 9 cheap ! facility top notch daugther impressed indoor pool . could not stop talk it . my gripe place , $ 55 ( + $ 7 tax ) day parking charge . seem ridiculous , even city like San Francisco . look good place stay family , would recommend Ritz . make every effort make we feel home , kid not want leave . 
 Aug 7 2005 	 Best Ritz Carlton 	 return day ago spend week beautiful Ritz San Francisco . stay many Ritz Carlton 's , one absolute good . the location excellent- couple block noise Union Square yet close enough walk 5 minute ... also one block Chinatown one block cable car stop . room face Stockton Street never bother traffic city noise . decor exquisite . color scheme warm inviting , luxurious furnishing decor never feel hotel stuffy cold . staff absolutely top - notch ! spend extra club level room , pleasantly surprise daily offering . well worth extra expense- ( expansive ) continental breakfast every morning . hotel would call breakfast layout buffet many item offer . lunch , tea , cocktail hour delightful . staff fastidious keeping serve tray fill busy club room would get always pick , offer beverage service , etc . club staff phenomenal ! club concierge far knowledgeable accommodating deal , travel extensively . normally would not take time write hotel review , feel 's least could kudo staff Ritz Carlton San Francisco one good vacation ever ! 
 Jul 23 2005 	 Brilliant Hotel 	 well place great hotel . room spacious club level great plus . staff friendly always smile face . food nice although eat twice . culinary skill fantastic . swim pool gym great although one thing would add keen swimmer be not right pool . whole atmosphere great hotel great . 's much say impart hope like hotel great time San Francisco 
 Jul 10 2005 	 Consistant ... expect 	 would expect , great service nice accomodation . stay cheap room $ 300 / not . food excellent ( try shred Corned Beef hash breakfast & quot ; service well Fairmont room small . great location would stay again . note : parking $ 55 / not . plus 14 % tax = $ 62.70 . although , feel good car nice place well ...... 
 Jun 26 2005 	 Best Ritz Carlton Far 	 family stay ritz carlton august 2004 . second visit ritz carlton deffinately will not last ! ! first time stay think lovely staff exceptional . staff content enjoy presence . stay floor 8 suite . I would highly reccomend floor anyone wish indulge luxury food people feel need rest day sightseeing . could wish well hotel stay san francisco . moment arrive check , moment checked leave , staff carry every need . 
 Jun 1 2005 	 beautiful hotel ! 	 recently stay San Francisco Ritz - Carlton two night celebrate anniversary . book Bed Breakfast package online , light parking $ 50 per night , alone make package well worth cost . moment pull car drive away , feel pamper attend . customer service orient ! bellhop bring luggage right away gentleman front desk check we bring would not wait . concierge spend lot time we look live theatre event see local publication ultimately could get ticket we nonetheless extra effort appreciate . spa pool lovely . need nothing swimsuit go dip everything could possibly need anticipate & quot ; locker & quot ; room . breakfast delicious , normally serve Terrace package second morning eat Dining Room due restaurant catering event . restaurant gorgeous well care server . room & quot ; standard & quot ; deluxe room ( use word & quot ; deluxe & quot ; ) nice bed die . request upper floor get . top two floor Club level . one small housekeeping detail need attention unfortunately take care leave , hopefully do departure . would definitely return hotel another special occasion celebrate wad blow , would well worth splurge . 
 May 25 2005 	 room decor wear date 	 stay 3 night suite club floor high expectation . suite fade around edge - nice way . furniture date attractive , ready go hotel furniture heaven . faux british ritz decor bit tiresome predictable ; fake antique , unavoidable faux painting fox hunt horse , etc . etc . live room sterile space unremarkable furniture decor . impossible book spa treatment entire 3 day , guess book spa treatment far advance . service good , club food offering good . room service good . guess good hotel city offer , not special way . go 4 season SF Campton Place Hotel SF see anything well offer way suite , like hotel even less ! 
 May 21 2005 	 room mediocre ; service food Ritz quality 	 not need say anything service food quality . totally Ritz 5 star quality . say bit disappointed room . smallish show age bit bathroom small . room nothing special -- Hyatt room well . 
 may 18 2005 	 Unsurpassed service 	 stay Ritz two night ... room typical expect Ritz ... spacious , tastefully decorate ... expect great service disappoint ... Jamie concierge desk go way provide insight information SF , Chinatown , etc ... last night want eat & quot ; italian restautrant great food ambiance tourist would never find & quot ; ... send we Allegro Romano introduction owner say & quot ; would make we feel like family & quot ; ... fabulous meal place never would find feel like have go year ... 's love Ritz 
