incredible 	 bad possible thing happen we hotel . not discover spa morning checking . almost cry . incredible . please , go soon check . would amazing way end day day Beijing . the bed firm linen amazing . sleep well age . also bad get early go Great Wall . concierge arrange English - speak guide driver take Wall ( anywhere ) much money . even though not get sleep much well worth it . we also want Peking Duck Beijing guide book recommend & quot ; make China & quot ; restaurant hotel . bit skeptical usually hotel restaurant suck - maybe be USA . notice lot hotel restaurant Asia multi - starred really superb . anyway - Peking Duck & quot ; make China & quot ; phenomenal . everything else menu . also get couple really spicy dish awesome . Beijing enormous . thought could walk Forbidden City , square , reality not close . taxi cheap . one day cab like 30min like $ 3.also , pollution Beijing disgusting . really can not see two block . the Grand Hyatt one nice , comfortable hotel ' ve ever stay . great place come back explore Beijing . 
 Jan 20 2007 	 Great Hotel Great Location 	 Stayed business . locate near office many american tech company , convenient . also attach upscale , boring ( international ) shopping mall . the hotel nice , nice lobby bar . not eat restaurant . room nice , clean , completely meet expectation & quot ; grand & quot ; Hyatt . 
 Jan 13 2007 	 Hyatts @ Hyatt 	 say , moment step Limo , treat like Emporer Empress China , absolutely magnificent . first visit China , wonderful time , & quot ; Hyatt & quot ; make we . fabulous Hotel , & amp ; Location . -5C outside , brilliant sunshine ; walked walk , explore fabulous City , shall return 2 Hotel 2007 again . thoroughly recommend anyone , service ! Anthony & amp ; Gloria HYATT Cardiff Wales . United Kingdom 
 Jan 9 2007 	 Fabulous Hotel 	 husband stay 5 night 11 year old daughter first visit China . love hotel ! location wonderful - love able walk wangfuje Street interesting shopping . shopping mall attach hotel huge , lot upscale shop restaurant ( even interesting grocery store ! ) nice able wander around night weather cold go outside . lobby spectacular room nice . deluxe room separate bedroom mini kitchen , give daughter separate room sleep ( although rollaway bed rock hard - sleep couch first night ! ) room nicely decorate bathroom wonderful - neat feature mirror not fog right sink see even right shower ! Regency Club floor well worth . breakfast morning lovely , evening hor d'eouvre cocktail huge spread service impeccable ! want check email hand we laptop computer use anywhere lounge ... free charge . last least , pool miss . entire floor basement , arrive think ' ve transport tropic ! bring suit , work hard find buy ( November ! ) pool hot tub inviting could not pass ! perfect end busy day sightseeing swim , sit hot tub , drink smoothie lounge chair look palm tree listen waterfall ! would highly recomend hotel anyone stay Beijing purpose ! people meet Beijing lovely interesting talk , thoroughly enjoy stay hotel city . 
 Jan 9 2007 	 lovely hotel friendly staff 	 come wonderful experience Ritz - Carlton Hong Kong , Beijing Hyatt lot live , come pretty close ! check - in bit slow formal , room comfortable , little sparsely decorate . staff throughout hotel always friendly , little stretch English . room service excellent ( particularly sandwich ! ! ) , club lounge pleasant . the pool huge somewhat surreal , massage spa excellent . while not quite & quot ; home away home & quot ; feel HK Ritz - Carlton , be great hotel , quite bit cheap ! 
 Jan 4 2007 	 Outstanding hotel 	 one good hotel ever stay . staff impeccable level customer service second none . magical hotel . 's great location ( shopping mall direct access via hotel lift walk distant Forbidden City Tiananmen Square ) . room nicely decorate furnish importantly , clean spacious . know room undergo rennovation good see show be commitment invest ongoing upkeep hotel . access executive lounge offer free breakfast monre canape cocktail evening . quality food drink high , staff lounge incredibly attentive ( remind CIA / FBI agent little earpiece mic ! ) . would absolutely recommend hotel anyone go Beijing either business pleasure . 
 Jan 3 2007 	 could hardly well ! 	 excellent hotel . location ideal - within 10 min walk Forbidden City . staff helpful organise tour great Wall we . restaurant ( jncluidng 24h Grand Cafe ) top class , add convenience . staff helpful everyone speak English . room clean , quiet well serviced , really picky , would say perhaps air con / heating could slightly efficient . definitively recommend would definitively first choice go back Beijing . note : book hotel 's website direct find cheap way book room . 
 Dec 31 2006 	 Wow 	 Spectacular hotel . wonderful service . well locate -- 10 minute walk T'men Sq . restaurant hotel wonderful . attach high end shopping mall . indoor pool basement great , tropical paradise . child would love ( though travel alone work ) . can not wait come back family . 
 Dec 16 2006 	 Excellent Hotel Great Location 	 stay week please hotel . well locate within comfortable walk distance several major attraction . also build top shopping mall food court grocery store provide alternative source food . host pay hotel know hotel cost meal hotel pretty expensive . our room comfortable ultra clean . staff uniformly excellent . hotel lobby great place sit watch world go around . gym good ' ve see hotel . pool amazing - forget bathe suit matter time year . reservation recommend Beijing reservation recommend hotel . 
 Nov 19 2006 	 great lobby 4 star room 	 plan stay Grand Hyatt 5 night leave first one . hotel great come common area ( lobby , live music fantastic japanese restaurant ) room ( check least 5 ) good 4 start average city hotel Europe . second time problem Hyatt , Casablanca . , great lobby , disappointing room . 
 Nov 14 2006 	 okay fabulous 	 stay 3 day October 2006 . hotel fantastic location . easily walk Forbidden City , etc.- room okay , nothing special . little small side . low ceiling make room seem even small . - service good , erratic . great experience , find one concierge especially helpful . yet , colleague bad experience ( concierge desk could not locate restaurant previously recommend even though name & amp ; behind hotel ) . , find 's 's pretty par China , lot consistency & amp ; quality control even high end.- Pool pretty spectacular , look like tropical island . however , especially peaceful lot kid run around.- Restaurants good , expensive ( be par type hotel ) .- mall underground convenient . clothing / jewelry store extremely high end & amp ; expensive NYC , food court wonderfully convenient snack . also , Citibank & amp ; HSBC ATM 's , well full - service grocery store & amp ; drug store . 
 Nov 14 2006 	 possibly one fine property stay 	 property one well stay . entry lobby stun , room modern comfortable , spa well equip , pool stunning fitness room ( room ) well many fitness club . restaurant serve amazing buffet breakfast . everything bagel , egg prime rib . also lunch one day cafe . food western pretty good . location great , short walk Tiananmen Square slightly long walk Forbidden City . 
 Nov 1 2006 	 Liked . 	 room ( 14th floor ) spacious , decorate contemporary style clean . bathroom also spacious lot extra 's . buffetbreakfast lobby enough choice nice view arrive / depart guest . go walk want see forbidden city Tiannamen square time day . shop around hotel even Starbuck nearby . 
 Oct 26 2006 	 good hotel great location 	 stay Grand Hyatt Beijing Oct 8 - 12 . hotel good price , amazing . standard room comfortable clean . bed fine - sure complaint . gym / pool / spa area nice . service ( specifically bell desk ) commendable . good thing hotel feel location . 's mall below / next hotel good varied food court . addition , access subway . also be walk distance wanfuje street via mall . want try Quanjude Beijing Duck , 's branch Wanfujing - walk distance hotel . stay long , 's laundry service mall lot cheap hotel laundry service . we one negative issue front desk . eat food court mall beneath hotel breakfast - $ 5 2 delicious ( congee , hot soy milk , dumpling ) . however , last day decide try buffet . ask front desk rate include buffet breakfast say yes . checked find charge we $ 250RMB breakfast . might pay try not appreciate mislead . not really argue much would ' ve fruitless . room rate not include breakfast , be definitely worth $ 250rmb.overall , get room $ 200usd , think 's worth . 
 Oct 19 2006 	 decline 	 average spend week stay hotel last year business . location decor great , since last year begin notice decline service standard , believe mostly result success place often overbooke . standard room already small Beijing standard , last time check put next room renovation . noise start kick early 8 am . also start miss lot detail - like fruit plate gold card member , etc , . good gym pool , new hotel come one soon lose attention . 
 Sep 25 2006 	 Great experience 	 stay Grand Hyatt Sept 16 - 20 . good hotel Beijing location , service cleanliness . lobby beautiful staff extremely attentive . book room club floor , worth extra cost . room clean although bit small . decor contemporary . marble bathroom separate shower nice also . people complain bed hard we , perfect . would rather sleep firm mattress hotel lumpy one . debate whether book Peninsula Hyatt ( like ) , go Hyatt . we front Peninsula impress . location good either . hyatt easy access main attraction Beijing . also shop center connect lobby good inexpensive food court . also access subway shopping center go Forbidden City Tianeman Square 3 RMB ( 1 stop ) , instead walk ( 10 - 15 min ) .My husband enjoy 24h gym - it lot equipment staff exceptional well . pool hot tub incredible everyone say . 
 Sep 5 2006 	 Loved ! 	 Grand Hyatt beautiful property locate close Tianamen square Forbidden City . 's locate floor two large shopping center ( handy bank , drugstore quick / cheap place eat ) . stay club level mean check room ( nice touch ) , separate concierge ( albeit speak english well lobby ) delicious free breakfast afternoon drink . we grand suite - nice bedroom separate living / work area . 
 Jul 31 2006 	 absolutely fabulous ! 	 probably hear reviewer , hotel absolutely wonderful ! get room steal ( $ 150 night ) probably May Day holiday . initially request roll - away bed , upon see quite large double bed , cancel request . our favorite thing staff . meet visitor speak english front desk / concierge staff assist translation . the location well . hotel huge fun & quot ; western style upscale mall & quot ; . short block street favorite shopping district Beijing . the negative Hyatt 's response numerous request address Mandarin . hotel trip able provide address one request Hyatt never ( two e - mail , one e - mail directly property , one phone call customer service ) . nice airport . anyway , enjoy hotel make sure allow time dip pool soak whirlpool dressing room . trust , be worth ! 
 Jul 24 2006 	 great hotel family 	 stay hotel 6 day early July love . service impeccable , room nicely appoint . read bed firm , think comfortable . pool incredible- kid never want leave . convenient location . 
 Jul 21 2006 	 make China 	 wife love cruising always stay cruise get & quot ; lay land . & quot ; cruise Beijing ( Tianjin Beijing 's port city , 2 hour away ) Hong Kong . stay 3 different Hyatt 's trip . Hyatt Grand Beijing World Class Hotel . review read TripAdvisor say HGB business hotel , also excellent tourist hotel . HGB locate within walk distance many important site n Beijing . also locate close subway allow travel anywhere Beijing metroplex . good part HGB people - staff . everyone Concierge level . treat we like visit Nobility . room well appoint comfortable . construction noise toward end trip spend much time room . staff apologize inconvenience cause remodeling go day . the food HGB outstanding . buffet delightful selection fantastic . Club Level provide morning coffee satisfied wife 's early morning hunger day tourist . want make special mention Johnny Xue manage make China , presentation kitchen / restaurant , excel fine art Chinese Cooking . treat . Hyatt Executives happen read review , young Mr. Massey comer . hope keep company . if tour guide go pick Hotel , let Doormen know . helpful give information car guide pick . parking area big problem HGB . 
 Jul 20 2006 	 good hotel China . 	 hotel far well experience China . everything hotel excellent . check - in fast easy . the room book two bedroom apartment spacious three tv 's , two bathroom , lounge room , dining table well appoint kitchen . the housekeeping staff efficient , soon leave room clean perfectly , unlike hotel 4 pm return day room still clean . the breakfast food fresh large variety . restaurant also serve delicious food la carte . Club Oasis amazing , pool gym sensational . machine constantly sterilise well . see pool experience . hotel attach mall lot shop upmarket local , well excellent food court restaurant . excellent hotel . 
 Jun 27 2006 	 true 5 star heart Beijing 	 family 5 ( 3 kid ) stay magnificent hotel several night like everything hotel - room , service , restaurant , location , oh , swimming pool specially design child ( water depth entire pool 0.5 - 1.4 meter ) . wife think bed bit hard , everyone else family feel bed fine . 2 - bedroom suite stay spacious well equip - bathroom 115V 220V recepticle ( use charge shaver small device gameboy player ) work desk come two universal recepticle allow directly plug notebook computer without international adaptor . hotel connect upscale shopping center find restaurant kind include MacDonalds , Dairy Queen , KFC , bakery shop . pedestrian - only shopping street metro ( subway ) step away . everything hotel expensive ( american Breakfast cost 27 usd , box match cost 3 usd ) , be true 5 - star status hotel 's well worth money . 
 May 31 2006 	 good great 	 return stay Grand Hyatt ( May 24th - 27th ) . agree previous reviewer highlight easy walk Forbidden City ( 20 minute ) , easy access subway ( not afraid - 's easy buy ticket less 50 cent get destination much quickly cab congest street - avoid rush hour ) , good restaurant oriental Plaza . room 1259 , one bedroom suite kitchenette . nice refrigerator little living room , decor like old US motel mid-1980 first - class luxury hotel . fresh flower room nice touch . particular room look high - rise building . bathroom feature combination tub / shower , limited counter space . hair dryer attach bathroom 's dry hair . plug available anything bathroom except shaver . bedside lamp not adjustable brightness ; laundry service charge standard pricy Beijing Shanghai hotel - $ 6 $ 7 dress shirt , $ 5 T - shirt . find service , receptionist maid , friendly helpful . 
 May 26 2006 	 Splendid Hotel wonderful position . 	 stay 4 night end China Tour train impress arrive 8 am overnight sleeper journey room ready within hour . we book Club Room well worth extra . view ( albeit hazy ) Forbidden City prove 15 minute walk hotel , Tiananmen Square . wanfuje shop street conveniently place outside oriental Plaza , wonderful mix shop restaurant . staff extremely helpful book good seat us Opera ( well worth visit ! ) . also helpful writing taxi card we since none taxi driver read speak English ! one meal ' make China ' find hot noisy , could hardly converse . noble Court pleasant quite expensive ; eat twice food service good . good value money splendid set low floor oriental Plaza- Crystal Jade Restaurant , superb Peking Duck ! would hesitate stay hotel future - must good Beijing . 
 May 20 2006 	 Excellent stay 	 recently husband , father friend california stay Hyatt . we two - bedroom suite , charming small kitchen wish could use .. ( .there cooking facility , amenity tray hold tea , coffee etc . ) room 1056 , lovely view old hospital ... old tile roof , garden , Chinese . father 1054 , also kitchen tho single room . Breakfast include , buffet great .. everything pancake ( freshly make ) dim sum . bed firm , surprise sleep well .. maybe Chinese know something not . another nice touch terry robe japanese yukata available relaxing . we like decor fussy ... room understate , photograph Old China nice decorative theme . plenty room spread , drink , gloat loot ! ! surprise previous reviewer negative food ... dinner Noble Court duck fabulous ... serve thin chive pancake , tiny squash flower sliver chive . service also wonderful . location excellent . however , need taxi get market . in , highly recommend . by way , concierge staff helpful father need flight info ticket domestic journey ... everything do quickly , right desk . 
 May 14 2006 	 location big plus 	 business trip stay several Beijing luxury hotel . experience good great , although usually locate 2nd 3rd ring road mean 20 min . taxi drive downtown ( traffic moderate ) possibility entertainment siteseee hotel 's vicinity . big deal be business . choose Beijing one week city trip location wife 4 year old child , look central location . simply idea nice go city center walk early evening . preference mind , much choose Beijing . moreover , prefer perfect quality hotel , 2 option : Peninsula Grand Hyatt . obviously pay clear premium either one hotel , leisure travel child ( child ) worth extra . choose Hyatt spectactular pool facility availability residence suite . club Oasis huge pool truely big plus , young old . two bedroom residence suite - 112 m2 - perfect long stay two person . kitchenette handy make tea coffee heating small dish , not expect cooking utensil . two marble bathroom good . yes , bed hard , everywhere China . curious though Hyatt even seem bit hard . luckily get choice several pillow . you will find interesting promotion rate Hyatt website , be plan stay 1 2 day advice call reservation department Beijing directly . rate get quote phone even 30 % low website . ask breakfast include room rate . pay buffet breakfast seperately , 30 euro person , exagerrate . quality good , superb mention site guidebook . think Grand Hyatt partly overhype . lobby entrance , well spectacular . somehow dissapointe attitude reception , concierge bell staff , bit snobbish , experience similar chinese hotel . contrary , staff club Oasis extremely friendly helpfull . go , enjoy location . five minute walk wanfuje shop street food market etc ; 10 15 min . Tiananmen Forbidden city , spectacular oriental Plaza mall hotel . chipcard food court perfect - get well varied kind food cheap fare imagine . need visit overprice hotel restaurant . forget western luxury brand shop mall , fun visit Sony Explora center Fabs multimedia shop : be hesitant take pirate CD dvd copy homecountry , find legal stuff ( great international collection ) bargain price . 
 May 10 2006 	 good Beijing 	 four night May 2006 , check Peninsula Palace due rock - hard bed . Grand Hyatt impressive every way . stay club floor suite , give acce tasteful club lounge , free snack drink . internet access free , MUCH fast internet access Peninsula Palace hotel . there several bonus . noble Court restaurant good dim sum , even well make China restaurant , must easily bst restaurant Beijing . say since try highest rate one e.g . Courtyard , China Club etc , make China league apart . peke duck remarkable , humbler dish like hot sour soup braise cabbage . well chinese food London , speak professinal food writer . also charming Red Moon bar , live music charmin ambience . the hotel service impeccable room excellent . basement pool quite sight , beautifully lay large ; gym also good . thing hotel lack roof terrace Beijing rarity , clear sunny day . travel extensively would rate one good hotel stay . 
 Mar 19 2006 	 Hyatt truely Grand 	 six night Grand Hyatt late Feb think top class hotel great location central major tourist point . one hotel could find anything complain surprised wife . from moment walk hotel feel safe , comfortable welcome many staff hand look need . room decent size well furnish great view look front fountain . the food excellent , eat Noble Court , Georgios , make China breakfast buffet wish light snack , attach shopping centre supermaket heap casual eaterie you . the highlight hotel must swim pool complex locate 3rd underground floor , magnificent need hard day walk , sightseeing wall climb . we would recommend Grand Hyatt look around great deal available make cost stay affordable . and remember one thing not like , bed hard like , common China keep tell . 
 Mar 9 2006 	 great location - business hotel 	 recently stay GH Beijing tourist . stay past business trip well . overall , good experience . location excellent tourist within walking distance ( 15mins ) Tiananmen Square / Forbidden City right major pedestrian shopping street . also connect large , modern , high - end shopping mall ( oriental Plaza ) . hotel seem always busy 95 % business traveler . try one restaurant ( make China ) excellent . concierge also helpful . real downside room . minimal decoration ( boutique hotel sense ) furniture seem cheap . room also low ceiling little window space . stay standard room upgrade suite stay , room . stay St Regis China World , Grand Hyatt well location , room much less appealing . 
 Feb 27 2006 	 Construction Noise 	 recently stay Grand Hyatt Beijing ( 31 Jan-7 Feb ) . assign room Club Floor . middle stay , ( 4jan06 ) construction begin immediately overhead around . paint fume give headache drill loud could hardly work . sound like jackhammer several drill time . room vibrate . complain several time management , offer inferior room view building . decline management finally offer upgrade quiet area , assure would charge extra new room . checkout , charge high room rate every night , night spend upgrade room . extremely disappointed . feel give inferior room midst construction lie fix . never assign room construction zone . 
 Feb 4 2006 	 Great Property 	 treat stay 18th floor Club Level . travel FF mile think would splurge . concierge service great ; arrange english speak guide driver take Great Wall . lifelong dream come true . very businesslike . hotel definately gear business traveller not . multitude security type people around hotel nside - discreet noticeable . the morning breakfast good ; service ok - ask coffee almost every morning other ask want cofee tea . free internet available . nice afternoon tea day walk freeze temp . service good . evening snack w/ liquor also good . room face north west get nice view Forbidden City area . bed hard ; ask fo mattress pad not help . room spacious comfy like home otherwise . hotel grear location ; could well . mega mall ground pedestrian mall short walk outside . subway station also grind . overall stay good ; worth money ? ? ? - probably live . 
 Jan 21 2006 	 top stuff business traveller 	 stay hotel 6 time past year half really can not fault business traveller . room lovely , expecially corner junior suite . pool gym outstanding breakfast buffet wonderful . staff generally good welcome back hotel house keep room service efficient . let would room service food occasion . 
 Jan 11 2006 	 sanctuary chaos Beijing 	 arrive Dec 22 depart Dec 31 , 2005 . pre - arranged hotel send car / driver pick airport . surprised find wait end jetway , step plane ! sweep us immigration , custom , baggage claim deliver we car wait outside . independent traveler surely could manage find way , even hindsight feel worth $ 50.We use American Express point / voucher stay . little concerned reason . check - in breeze . try work upgrade Club Level $ 75 / night much budget . final thing frontdesk tell we turn quite valuable ; Hyatt Gold Passport Club member give complimentary continental breakfast lobby lounge . ask ! enjoy fresh cappuccino delicious pastry every morning . our standard room overlook fountain front hotel . small adequate . bed linen comfortable . marble bathroom spacious tub separate shower , plenty large fluffy towel , non - brand name amenity . two bottle complimentary drinking water room . additional bottle , many want , phone call away . housekeeping do around noon three four visit late afternoon , check mini - bar , turn - down , check wet towel ! little annoying napping jetlag put Disturb . nap disturb renovation effort . finally third day near hammering , go frontdesk complain . promptly move nicer , large suite side building . obvious hotel want guest happy . the frontdesk helpful sightseeing taxi destination card . also gladly change large denomination Yuen currency ( 100 ) small , easy shop currency ( 10 20 ) . arrange tour Great Wall . the Grand Hyatt part oriental Plaza complex office building upscale mall . mall several dining option , many low cost . eat several meal mall " food court " . ' nice walk mall without step outside . the swimming pool live hype ! nice retreat bustle , crowded Beijing . we normally use public transportation save money ride Taxis . taxis cheap Beijing , make sense . front desk would write destination chinese English . doorman write taxi license number tell driver destination . remember keep something give another driver need head back . want go second stop write Chinese , go back hotel first . driver honest really appreciate tip give . expensive ride Summer Palace back hotel . trip cost 70 CNY ride back take less time cost 99 CNY . meter think ride back high rate usual 1.60 . " bad " experience , happy ! always hotel employee wait help . hotel impeccably clean . ' great place stay Beijing . 
 Jan 8 2006 	 Great Location ; nice hotel improve 	 wife spend day holiday season hotel one Grand room . overall experience fine excellent . the hotel staff service great attentive . location turn absolute correct choice us convenient location important decision factor . pool truly spectacular describe review . hotel seem security conscious intrude guest . the room unexpectedly small grand room opinion . stay much large one similar room category hotel Beijing . construction work do upstairs day - time . wish know beforehand not book another hotel reason . high - speed internet slow . room service good efficient . Red Moon 's sushi Noble Court 's dim - sum excellent great ambiance . however , can not say italian Restaurant Grand Cafe . , not bad italian food five star hotel . service restaurant commendable . I would stay hotel . still top Beijing list . 
 Dec 11 2005 	 good location slightly Peninsula 	 fantastic stay Peninsula Palace , move 2 block away sample Grand Hyatt experience . location : unbelievable , convenient tourist spot ( Tiananmen Square & amp ; Forbidden City minute away ) ' right atop Beijing ' venerable oriental Plaza complex , office building massive shopping centre . Grand Hotel Beijing soon - to - be re - brand Beijing hotel ( Raffles ) next door close proximity Forbidden City . exterior : blue glass - clothe build dramatic circular main façade front grand fountain circular porte cochere , one grand staircase flight main pedestrian mall entry Chang Avenue . overall design grand contemporary , truly befit Grand Hyatt brand . LOBBY & amp ; PUBLIC SPACES : 2 storey high lobby long meander follow build ' shape ' give big impression Peninsula Palace . Peninsula ' multi - tiered lobby encourage exploration journey keep reveal one place another instead bang , see one sight . ROOMS : sure request room front main entrance / Chang avenue , virtue design wider large . room face back small . opt room directly middle postcard view towards fountain Chang Avenue , other tend look office tower . room 1031 spacious ( Peninsula ) ample sit area fact , look abit empty coupled hotel ' minimalist / modern design . amenity standard 5 star , nothing special . fact , everything minimalist : 2 page letter sheet , 2 small envelope , 4 page small note sheet . bathroom average size although separate shower basic amenity , comparison Peninsula ’ beautiful bathroom TV , control panel & amp ; mood light . service : polite , discreet accommodate . ' always smile ( front desk , porter , pool staff ) . plan tour Beijing choice ( Beijing ' new architecture , olympic village , etc ) , concierge helpful re - arranged itinerary convenient route despite basic English . even translate chinese taxi - driver recommend place skip well alternative . facility / dining : ' try food hotel full day tour 5 check - out . nonetheless , two good chinese restaurant Grand Café expansive view Beijing ' traditional building ' roof surround neighbourhood . swim pool arguably good Beijing . huge free form style although indoor . ceiling adorn control - lighting create unique atmosphere , albeit bit Las Vegas feel . cave hide Jacuzzi rock island Thai style sala structure towel / guard hut . spa area attractive modern asian fuse décor . overall , excellent & amp ; convenient hotel good location facility , although score slightly low Peninsula overall impact . 
 Nov 25 2005 	 Excellent Hyatt 	 Grand Hyatt expect : new , modern , clean , efficient . hotel staff speak perfect English , go overboard accommodate . whether eat dinner make China rush dinner make time acrobatic show ask bellman box , find employee give 110 % . security tight ( although trip time Pres . Bush Beijing ) , certainly not object . location could not well , since Forbidden City block away . great hotel experience , every way . 
 Oct 19 2005 	 wonderful 	 recently stay Grand Club Hyatt . place ! ! 5:30- 8pm every night Grand Club room serve cocktail food - complementary . must visit Club Oasis . pool underground reproduction Bali beach . walk distance main site . staff speak good English . even housekeeping speak English . Toney atomosphere . loved . 
 Oct 16 2005 	 Fantastic Place 	 stay 5 night great time . pro hotel many - right top huge mall ton food choice , room clean ( although bed firm preference lot chinese ) , block wangfuje street ton shop people watch . good 20 min walk T - square forbidden city , connect subway . we eat buffet breakfast since part package deal , otherwise not know would pay $ 25 pp . speak fluent chinese may different , mall lot great eat include huge food court buy card put money , eat station - may pretty intimidate westerner . otherwise , eat ton traiditional food like $ 7 total . way - bring swimsuit impressive pool other talk about.great hotel think go wrong booking . good luck ! 
 Oct 11 2005 	 make lovely beijing vacation 	 stay six night , oct second eighth.checked sunday afternoon , hotel full national day chinese weeklong holliday , checkin quick man check we walk we room . take holiday many westerner not travel china alot business shut , girlfriend go tourist . book small room one thousand U.S. dollar , upgrade we free , small suite small kitchen , dining area , living room couch , chair tv , bedroom area ... think queen bed , another tv large marble bathroom stand shower , tub . we room number 1301 , floor ceiling window provide nice view rear hotel , could see small part golden rooftop forbid city , white dagoba baihai park pavilion jing park . first night eat make China rest . hotel , good restaurant , peke duck excelent . take three private tour book hotels concierge desk car , driver interpetur , $ 140 apiece , well worth well pack tour bus , also book acrobatic show , night - not worth , theatre rundown , pay premium seat , place three quarter empty , performance average , look well venue . walk forbid city tian man square , 15 minute walk . wangfuje street one block away , ton shop . must say staff hotel every level friendly speak good english , certainly everyone front desk lobby . eat buffet breakfast five day average good expensive $ 25 pp , many option , mcdonald one day . gym nice , good equipment , towel bottled water friendly staff , pool five star ! ! ! three night , big clean well appoint tropical theme two large hot tub men women change room beautiful locker , shower , hot tub , sauna steam room . summary hotel help make vacation china excellent , can not go wrong grand hyatt beijing ... homerun ! 
 Sep 8 2005 	 highly recommend - truly 5 star 	 stay family vacation 2 night . hotel nice , new , clean service excellent , front desk , lobby staff , restaurant staff clean staff . staff speak good english helpful . the room clean good size . swim pool absolutely gorgeous , kid not even want go anywhere else , happy spending time pool . restaurant cafe food execellet . definitely recommend go room breakfast well worth it . the hotel location great shopping centre connect hotel , convenient . although hotel rate might higher think well worth consider location , nice clean room great service . I hotel charge lot room , service cleanliness match . will DEFINITELY go back ! 
 Aug 16 2005 	 love place ! 	 stay Grand Hyatt part 2 week trip China . hotel simply fantastic every aspect - room , fabulous indoor underground oasis pool , workout room multiple machine individual tv screen ( rarity China ) proximity shopping , site , etc . beautiful suite club level . breakfast fabulous late afternoon hor d'oeuvre wine cocktail enough substitute dinner ! staff simply wonderful . afford , strongly recommend club level floor - worth every penny . 
 May 7 2005 	 good Beijing 	 Superb hotel . stay twice , upgrade time ( poss . ask king - size bed ? ) . breakfast buffet wonderful , german touch . staff helpful . room immaculate . location superb ( Forbidden City 5 min walk away ) . attach shopping centre help . China rough round age : place like Hyatt come back make difference . 
 Feb 28 2005 	 Fabulous hotel 
 Dec 6 2004 	 great hotel horrendous bed 
 Nov 30 2004 	 Beijing 's Best Location Best Hotel 
 Nov 24 2004 	 Fabulous hotel ! spa alone worth trip ! 
 Nov 23 2004 	 Great Hotel Really Hard Beds 
 Nov 10 2004 	 definitely first class 
 Oct 25 2004 	 Hyatt great choice 
 Oct 24 2004 	 great Hotel- Great location 
 Jul 6 2004 	 take ... 
 Jun 28 2004 	 swimming pool ! 
 Nov 11 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 8 2009 	 ? ? ? ? ? 
 Aug 20 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 5 2009 	 Außerordentlich schöne Hotel mit kleinen Schwachstellen 
 Jun 27 2009 	 Luxus der keine Wünsche offen lässt ! 
 Apr 15 2009 	 Buen servicio pero hotel sobrevalorado 
 Feb 11 2009 	 ? ? ? ? ? ? ? ? 
 Oct 24 2008 	 ? ? ? ? ? ? ? 
 Oct 6 2008 	 ? ? no.1 
 Sep 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? 
 Aug 29 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 May 8 2008 	 très agréable 
