good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Nov 26 2005 	 PERFECT ! 	 hotel great ! perfect location across street central park , walk distance MET close neat area cool restaurantsthe room bite tiny nicely furnishedi definitely would recommend hotel ! 
 Nov 15 2005 	 good hotel great neighborhood 	 2 girl fun long weekend City . stay various location NYC never upper west side . really love location value 2 bedroom suite . would stay quietness location , convenience subway , restaurant , shop value . real find NYC . objection not refrigerator coffee maker room deli across street plenty starbuck close great little bakery , etc . room bathroom could gather parlor together . one room ( room without parlor ) standard queen room large new bathroom great view park neighborhood . room king bed french door lead parlor . clearly nice room care . two room key connected hallway . door end hallway also lock could leave separate door open want . Thought extend continental break . high ( $ 14 ) go coffee buy fruit local market . 
 Nov 1 2005 	 enjoy stay excelsior 	 stay three night October . room general fine -- reasonably quiet , recently redecorate , attractive , good size -- although bathroom tiny ( bathroom old NYC hotel ) . view impressive , although website say & quot ; park view & quot ; not mean Central Park , mean park behind Museum Natural History . Sneaky . also get view 59th Street skyline , lovely . the location hotel great we . travel two old adult never NYC , think might find midtown area frenetic . excelsior perfect -- quieter area , also convenient -- block Central Park , within walk distance museum 5th Ave Lincoln Center , close great restaurant . would probably also good choice family child . service seem perfectly ok . always someone outside call cab ( never wait long couple minute ) , doorman assist we without ask , housekeeping staff discreet efficient . problem cable TV resolve instantly . front desk staff not friendly , quick get thing right . response comment site , would say staff low key . typically need expect lot assistance hotel staff , might like Excelsior . ( try Lucerne instead , get rave review service . ) 
 Oct 30 2005 	 lovely room .... 	 good location , average sized room , comfortable , clean , well equipped . unhelpful concierge door staff . doorman would stand door fail help anyone enter leaving . concierge - also run small gift shop unhelpful one occasion ask bus route , never ask anything again . apart would stay usual hotel , block away full . 
 Oct 25 2005 	 Fabulous Location ! 	 first trip New York good friend , we celebrate 30 year anniversary . lot research much deliberate , decide stay Upper West Side rather Mid - town . happy decision . like neighborhood feel , family walk dog , great restaurant shop , much quieter area Time Square , place . really not want spend fortune hotel room would barely , since know go lot sightseeing day . room small clean . horrible view rooftop , really never spend much time room , tolerable . actually laugh . hotel staff seem go way ignore . not overtly rude , would not put . seem theme . think interesting doorman would not say good morning open door . expect tip ? , think excelsior good value glad stay area . great restaurant within walking distance , especially Monsoons , Vietnamese Columbus Bakery .. yum .. great breakfast must get chocolate cookie ! half price Marriott other , place good choice . 
 Oct 24 2005 	 Accurate Reviews 	 stay Excelsior Sept. 24 - 30th much read Trip Advisor accurate . hotel great location clean . front desk staff friendly helpful , never see concierge man work incredibly small convenience store always phone personal call never make eye contact entire time struggle small space . the breakfast expensive , go around corner various coffee shop deli store . stay clean room , proximaty Central Park , subway , American Museum Natural History Dakota . 
 Oct 20 2005 	 Front Dest Say 	 hotel really much go one huge problem . location great , one bedroom suit wonderful price right ! , expect staff make pleasant visit . recent stay , concierge forgot flower order well advance , front desk could find hotel umbrella lend offer buy one could return . recommend hotel one caveat , stay rude , unhelpful staff ruin visit . 
 Oct 14 2005 	 good value memorable 	 stay Excelsior three child , plan see show visit museum . hotel near subway neighborhood quiet interesting . hotel room accommodate 5 , rare New York City contribute value . instead two room another hotel , could book one . ( actually call & quot ; junior suite , mean bedroom living room . ) say , room TINY . step eachother suitcase entire time . little living area sofabe size large walk - in closet . one child sleep floor could barely stretch fully . bathroom also tiny . view balcony . furniture mismatch old . nothing break , feel like stay grandparent 's guest bedroom . Cozy update . hotel staff rude friendly either . one day , long line front desk end ask direction coffee shop street . frankly , price not really expect . overall , hotel clean feel safe . four group , stay one two night , excelsior fine . prefer stay upper west side midtown , might try somewhere else next time go city . 
 Sep 19 2005 	 People like Hotel Low Standard 	 make reservation , Labor Day weekend , suite view Museum get suite back overlook roof top . front desk never satisfied inquiry whether pay view request . bad yet , staff , mean , could not rude tired . concierge , could call , turn back request theater ticket answer phone carry conversation . excuse - politeness all . the pillow room hard form rubber brand . newspaper deliver weekday weekend . travel NYC 3 - 4 time not think could find hotel impertinent staff NYC . want stay west side go street Lucerne . 
 Aug 8 2005 	 Wowza ! absolutely Perfect ! 	 stay weekend August 5 - 7 2005 . locate great neighborhood Upper West Side . quiet family / couple orient , block also great night life . we standard room large size big balcony nice view . lounge chair could sit enjoy sun rise . even bed ultra comfortable , feel good ! staff great helpful , lot expect price pay . definitely stay . think stay Mid - town downtown ' m glad not crowd tourist . stay get experience different side New York would get stay mid - town area . highly recommend hotel want great experience New York ! 
 Aug 4 2005 	 enjoyable stay 	 stay Excelsior July 30 - Aug.3 . NYC number time , stay luxury hotel . want stay Upper West side less expensive rate . since know city know would much contact desk staff . get American Museum package hotel 's online site ( $ 180 night , include free buffet breakfast admission Americam Museum Natural History space show ) . museum fantastic , highly recommend take free highlight tour first . buffet much , ' m glad free . room nice clean . sixth floor . could hear traffic , not bother . air conditioning work well . last two night group young adult wake . wall soundproof . desk staff polite , friendly . remind museum package . would definitely recommend hotel , especially people already know city . 
 Jul 30 2005 	 highly recommend ! 	 stay Excelsior Hotel New York July 20 - 22 , 2005 . first time stay excelsior -- definitely stay future . pay $ 175 per night plus tax ( come little $ 200 per night everything ) two people ( queen bed ) -- book room Orbitz . feel like reasonable price quality room ( New York ) . pleased condition room ( especially bathroom ) -- extraordinarily clean ! , decor pleasant well . room especially large cramp uncomfortably small -- hotel room New York year tend small side , come expect . weather extremely hot ny , thank goodness , AC room work well . bed quite comfortable . concerned staff would hotel reading review , basically fine -- especially friendly , certainly professional -- problem room . breakfast option hotel expensive , eat breakfast Manhattan Diner Broadway ( 76th , think ) -- excellent reasonably price . many good reasonable restaurant within block hotel , another add bonus . wireless internet access hotel available fee ( pay $ 25 three day access , seem okay ) -- work perfectly . location ( West 81st Street near Columbus Avenue ) convenient Upper West Side attraction , include Museum Natural History ( across street hotel ) , also Central Park , also right . bother traffic ( ) noise room . overall , thoroughly enjoy stay excelsior , highly recommend ! 
 Jul 25 2005 	 Uncaring desk staff 	 stay Excelsior , problem , time niece arrive tell non - smoking room . make reservation 6 week previously , feel request honor , say , desk staff look blankly tell thing could guarantee . ask call manager , . go see room , tell carpeting replace , odor lessen , find actually , one day , odor increase . window airconditioner extremely noisy way less adequate . feel though invisible , think long hard go back excelsior . 
 Jun 18 2005 	 Location location location ! 	 would like stone 's throw Central Park , try Excelsior . the price average NYC hotel average , certainly worth stay . room large attractive , small tiled & amp ; clean bathroom . walk Fairway real New Yorkers breakfast hide second floor . Stroll Central Park . Museum Natural History across street lovely little NYC Historical Society 2 block away . upper west side true NYC , row house , people walk dog [ baggie , course ] , nanny little one , starbuck every corner ! 
 Jun 9 2005 	 good hotel rude staff 	 ' ve stay excelsior three time . love Upper West Side , hotel well price area . room clean comfortable -- room hotel rate . downside utter rudeness staff ( except doorman , always great ) . ' ve write hotel 's general manager concern , never receive reply . , not mind stay heavy dose snootiness ( not generally find New Yorkers rude ) , excelsior good bet . 
 Jun 1 2005 	 good choice great neighborhood 	 stay excelsior New Year 's , find good choice . ( truth end Excelsior make plan late game , NY hotel book busy time mega - expensive category . ) wood pannelle hotel lobby attractive , classic New York feel . room small side , generally find old hotel , perfectly adequate immaculate . view , look Museum Natural history ( small slice Central Park side ) lovely . section Upper West Side nearly brownstone see quite distance towards midtown . puzzle review cite uncooperative unfriendly staff . make reservation request high floor front politely tell could make guarantee . check - in request computer happy able comply . well , think excelsior locate much interesting neighborhood midtown , hotel cluster . be diverse assortment restaurant , bar , small shop , Central Park 's block away , be primarily residential neighborhood , surround tourist - area 's full businessman day largely deserted night . would people complain high - price hotel breakfast half dozen good breakfast place within couple block ? 
 Jun 1 2005 	 Fantastic hotel ! reasonable price great location ! 	 Fantastic Location ! clean room , beautiful decor , friendly staff . hotel reasonably price , think might sub - par . contrary , fantastic ! right near Natural History Museum Central park Try Columbus Street bakery , street right breakfast . 
 May 28 2005 	 Upper West Side gem 	 wow , pleased hotel . hard press find something New York $ 300 night many college graduation weekend stay . get room $ 239 night ( queen bed ) happy get rate . [ comparison , less stellar Hotel Penn go $ 199 . ] room clean nicely furnish . small national standard , average sized New York . equipment gym keep continental breakfast nice , little pricey ( $ 14.50 per person ) .It 's end block subway stop Central Park . good eating ( shopping ) find Columbus Avenue ( 30 second walk hotel ) Amsterdam Avenue ( next block ) Broadway ( next block Amsterdam ) . natural history museum across street , room overlook . drawback ? need two bed , hotel . town business need Wall Street Midtown , good location . air conditioning seem nothing . room service , area restaurant deliver . ( New York -- even McDonald 's deliver . ) definitely recommend hotel . 
 May 3 2005 	 excellent little gem 	 former New Yorker , can not say expect much get & quot ; cheapie & quot ; rate Excelsior hotel . hotel charming . great , QUIET location near fabulous restaurant . room huge , clean , well maintain . true , water pressure great , least hot ! ( unlike hotel ) staff helpful , even take bath tub , clean ! certainly stay return city . 
 Apr 18 2005 	 regularly return excelsior 	 stay excelsior couple time whilst recognise & quot ; weakness & quot ; highlighted review say think hotel remain value money one would always consider return to . having stay mid - town quite time much prefer Upper West Side relax long day sightseeing museum visit . restaurant , bakery deli & quot ; local & quot ; mid town pace alittle relax less pressured key tourist area . I see reception staff could describe abrupt checking ' ve fortunate reason contact . housekeeping efficient polite . room spacious compare experience midtown pleasant enough relax end long day . starbuck across way good coffee / breakfast . subway close Central Park- stroll across Metropolitan Museum Art . arrive late email time expect ....... find ship hotel New Jersey due room give away ( arrive 1 am UK ) previous visit ! ( make we fabulous upgrade ! ) 
 Apr 17 2005 	 Good fry 	 stay excelsior two night , 11th 12th April . book last minute expedia idea expect . first impression good . think exceptionally clean ready give five star rating . nice touch overall value money good . however , although find pleasantly warm begin , almost cook overnight , unable turn heating . window even door open enable we breathe . course let noise street . needless say , little sleep shame totally wreck one two day New York . think well sleep plane 20 hour flight back Australia . find night staff unfriendly apologetic . kind compensation would appreciate . day staff much pleasant . second night give another room 15th floor . nowhere near nice first room least sleep noticeably quieter 7th floor . think hotel could great well heating / cool system ( see other suffer fate ) improvement customer relation night staff . position good . funnily enough watch episode Seinfeld ask address lie detector test say 129 west 81st Street , road ! 
 Mar 31 2005 	 good 	 stay Excelsior 6 day March 2005 . price exceptional . the staff , contary rumour , good staff ever meet New York . helpful , pleasant humourous . clean . hotel bar despite floor devoted & quot ; entertainment & quot ; .The location good first - time visitor interested usual attraction Upper West Side excellent family . Columbus Bakery highly recommend ( 6 block north Columbus ) ; R & amp ; excellent $ 2 pizza Dive75 75th good escape many local irish bar . 
 Mar 30 2005 	 true gem hotel great location ! 	 husband stay March 16 - 26/05 truly impressed . travel work time one nice hotel ' ve stay . little worried review age hotel , worry completely unfounded . room bright clean well lay , bathroom beautiful spotless , maid service fabulous bed comfortable clean . would stay without doubt . want away touristy area see real New Yorkers live , hotel perfect local . try one local bakery breakfast rather hotel , concierge try 's not ton info . independant traveler not need rely hotel staff everything , hotel great ! 
 Mar 27 2005 	 quite nice 	 Stayed March , 2005 , 6 day . quite nice place . problem staff , although think confused concierge ask direction . fine rephrase question ask b train go want go . use hotel drycleane service . 80 cent get item clean back home . never even check 2nd floor restaraunt . day clerk tip Columbus Bakery first day , rock ! ( around corner , 2 block . ) , perfectly acceptable . CLEAN ! ! ! obviously important reckoning - room spotless , maintain way duration stay . ( ' m messy . ) 
 Mar 18 2005 	 good hotel great location 	 stay spring , 2004 . nice , classy lobby . staff apathetic . room well appoint decorate . stay suite two , small child . pull sofa bed seperate french door room . work well . upper floor location reduce street noise . avoid breakfast room . fabulous location , especially child . would stay couple child pay less full price . 
 Mar 16 2005 	 Good Value Great Neighborhood 	 first visit Excelsior October 2004 vacation husband fourth grader , since back twice -- visit family business . recent visit mid - January 2005 . excelsior continue impress terrific location away Mid - town , consistency amenity , astonishingly reasonable rate . last visit , valet particularly pleasant store luggage , even store luggage relative stay hotel . several place grab great coffee quick breakfast neighborhood ( breakfast hotel expensive ) , excellent access bus taxi service good access subway , Central Park mere block away . room glamorous nice -- acceptable size ny appropriate business amenity . rate consistently terrific NYC . must stay midtown stay Michelangelo ; avoid midtown , excelsior choice every time . 
 Mar 13 2005 	 * * * * * 	 sister spend three night past week Excelsior Hotel . park suite 9th floor glorious view Theodore Roosevelt Park , American Museum Natural History , fence dog run , NYC skline south west . wonderful experience ! hotel jewel set pleasant , beautiful , quiet neighborhood . lobby , restaurant , hallway , bright room immaculate -- present special air graceful hospitality comfort . staff : door , desk , griddle , greet we spirit treat we friendliness ( far dour face New - York Historical Society ! ! ! ) thank make trip memorable experience -- far excel , excelsior ! ! ! 
 Feb 27 2005 	 Great Location 	 girlfiend stay February 24th-26th girl weekend away . hotel staff friendly courteous . many recomendation restaurant , numerous area . room clean , tastefully do . bathroom alittle small , gorgeous extra like toothbrush razor ( stay 1 BR suite ) . terrific veiw American Museum Natural History . coffee pot room , ok , could use room service first cup . able go get coffee dining area 2nd floor bring back room . bed comfy .. hard get morning . plush robe another plus . clean safe neighborhood . would definately stay . 
 Jan 20 2005 	 Terrible Management Terrible Heating System 	 management , particularly general manager Ivan , employee incredibly rude . make reservation website immediately call afterward see could cancel . reservation agent say could nothing would go website . stay heater function high , throughout night make loud knock buzzing sound intermittently . turn fall asleep room become freeze ! turn heater noise start . needless say , fiance get SLEEP . manager Ivan unsympathetic rude ask discount trouble . grant $ 60 discount , try secretively reduce tell employee take $ 50 instead . catch move double check agent desk discount . Ivan never greet we person would speak phone . overall , entire management disappointment , would never recommend stay place . 
 Jan 8 2005 	 exceed expectation 	 attractive classic way , brass burnish wood lobby , attendant uniform ; warm , quiet , smallish , handful room 16 floor ; room 's appointment extra nice , tasteful . thick towel , jarful cotton puff q - tip extra mark say hotel set please , hope will choose return trip . bed - even foldout - comfortable , linen . view look south park surround . Museum Natural History . location : subway half - block away , Columbus Ave , step direction , bakery , restaurant , shop ...... lot quieter mid - town ! heat adjustment available , could problem extreme weather , hot cold . leave safe ? feel way . 
 Dec 22 2004 	 definitely four star hotel 	 hotel ever get four star rating ? ... miss something ? ... return lovely Chrismas break New York . outside hotel disappointing ... lobby . bedroom though drab basic ... horrible pillow bed . sign luxurie ...... one lone bottle luke warm water stand top television .. fridge .... even coffee make facility . whatever ... try wake night thirsty ! heating room work ... neither safe room seem either . there appear public area lobby .... bar lounge etc .... apparent room service either . I say though ........ bathroom quite pleasant . the wall thin ..... endure sound energetic couple next door quite time night .. ! would like know hotel get four star rating . 
 Nov 30 2004 	 nice location great service 	 enjoy close Natural History Museum Central Park , neighborhood nice restaurant cafe . ( also fun see Macy 's parade balloon blow right outside door ! ) problem , though , include clog drain bathroom one bed room expect two . tell situation ask whether double , complete response & quot ; , & quot ; suggestion ( like & quot ; could upgrade tomorrow & quot ; etc ) . ask suggestion , response sarcastic & quot ; sleep bed . & quot ; like pull tooth finally learn could upgrade suite follow night -- initially tell we possible . clog drain , repair person never show . housekeeping extremely friendly helpful , job well . sofa sleeper bed suite comfortable sleep . 
 Nov 29 2004 	 comfortable convenient 	 stay Excelsior November 18 - 20 , 2004 . find comfortable convenient . room small general New York hotel . good water pressure bathroom . park view room concerned might noisy , . coffee shop , bakery , restaurant neighborhood . block C train four block 1 9 train . directly across street Museum Natural History . not get impression staff unhelpful . 
 Nov 27 2004 	 nice location front desk staff need training 	 get back four night stay excelsior -our first time NY . book double get incredibly small queen . hotel staff could not less helpful friendly try solve problem . try maintain cheerful attitude stay get friendly smile return . guess hate job . not us - notice guest seem get treatment . hand , find housekeep friendly accomodating . not stay unless promise ( writing ? ) give suite unless not mind room size closet . we finish stay NY Grand Hyatt 42nd Street relieve find hotel staff ny pleasant . 
 Nov 12 2004 	 would stay minute 	 room small clean . bathroom clean . staff nice . location great . subway stop corner ABCD line . Columbus Bakery right around corner great bagel scone morning . quiet neighborhood . much sense everyday New York life stay midtown . would stay minute . 
 Nov 10 2004 	 Good Deal 	 see mixed review property ( focus unfriendly / unhelpful staff inadequate accomodation ) TripAdvisor website , Quikbook rate ( $ 166.00 per night two ) good consider book NYC Marathon weekend -- decide chance . pleasantly surprised -- although not great deal interaction staff , satisfactory -- quick check - in arrival , problem bill via Quikbook . room small clean , view rooftop -- not plan spend much time room . housekeeping prompt every day , always adequate towel , etc . give mediocre review breakfast room , always choose eat neighborhood coffee shop , wander Broadway Zabar 's Fairway 's cafe . great access C B local subway line ( c run directly Theater District , Port Authority Penn Station ) , 79th Street crosstown bus . excellent neighborhood restaurant . Museum Natural History directly across street , Central Park right block . would nice refrigerator and/or coffee maker room , otherwise , would definitely stay . 
 Nov 3 2004 	 Nice Neighborhood 	 stay Oct. 5 - 8 , 2004 . hotel , pluse minus stay . plus : nice neighborhood , relatively quiet , convenient location want go Natural History Museum Central Park , subway close , lot good food available nearby . room ( regular room 2 double bed ) clean ask upgrade , get room 9th floor overlook park . nice view . free newspaper morning . minus : staff unfriendly , neither particularly helpful way . room small coffee maker . room bit pricey , though fair able book two week advance . , would especially recommend hotel nervous stay bad neighborhood . otherwise , believe well choice less money . 
 Nov 2 2004 	 good hotel 	 wife return four day break NY . read review page nervous impending stay . really need . give comfortable room lovely view overlook park next natural history museum . bed big comfortable indeed . lack tea / coffee facility many place close bother . excellent location , central park doorstep . breakfast zabar great breakfast eutopia . subway top street find easy get around feel totally safe wherever go go everywhere ! anyway everyone different expectation view find hotel good place stay good staff ( ok not sickly & quot ; nice day brigade & quot ; ) efficient . organise car return JFK great Cadillac . really safe neighbourhood . suit we fine yes would recommend . 
 Oct 25 2004 	 Great Suite - Terrible Front Desk 	 husband , daughter , New York fall 2003 . choose excelsior proximity Central Park , availability suite terrific price ( QuikBook.com ) . request early check flight arrive crack dawn . available , tell return 3:00 p.m. , normal check time . return 3:30 . room still ready , front desk staff totally indifferent . sit , exhausted , front front desk wait notify , say would . 4:30 call manager cell phone . kind , extremely apologetic , tell we room ready least half hour , despite lack notification really dreadful staff . also reduce price room somewhat , apology compensation . suite lovely , large , clean . planning stay , get past indifference front desk , terrific place stay . 
 Oct 18 2004 	 bad experience 	 experience review hotel read . desk service staff unhelpful misserable deal . telephone room break . ask replace . call twice desk . person finally knock door much later bathroom . ask return one - half hour . say chance would return . agree breakfast room . food basic good , much selection ( apple , bread , etc . ) staff clean previous eater , soon clean place eat without stain crumb andf dirty plate . send complaint letter managment , also duty stay , ther reply . 
 Oct 15 2004 	 mediocre hotel 	 regular visitor New York Children Grand child live Upper West Side . normally stay mid town occasion since family celebration decide stay Upper West Side near family . stay 8 night mid September book 1 bed suite full rack rate.as Hotel prepared offer concession hotel describe 4 Star ( 2 might appropriate . ) arrive 8 evening . Front Desk Staff polite miserable unfriendly . aware hotel neither restaurant room service check arrival room fridge tea coffee make facility tell thathe room neither could fridge extra $ 10 aday . accomodation although reasonable size shabby bathroom small basic . toilet dirty . ask another room show almost identical room floor . write letter list complaint manager duty deliver front desk first morning , reply ever receive ever see hear Manager although return room small dent fridge instal . kettle tea make facility . hotel breakfast room operate staff 1 . kind thing one say Breakfast enough . poor hotel operate minimal staff poorly train . wife also write manager towards end stay surprise surprise reply . 
 Oct 12 2004 	 not count ! 	 mom visit NYC Lincoln Center concert late September . Upper West Side location preferable , highly reluctant try Excelsior base upon mixed posting site . however , since could beat $ 209 rate standard room anywhere else , decide bite bullet pray would terrible time await . well , folk , . fact , surprisingly , thoroughly enjoy stay happy report many positive negative . guess , like anything , depend day get there . when ride cab , doorman could not wait open door we , grab bag escort we . doormen bellhop extremely pleasant efficient . felt totally welcome . we arrive noon -- way ahead normal 4 pm check - in time . matter . woman front desk state room ready check we . fancy ? true , would give award perkiness , cordial efficient . Phew ! be another bullet dodged . the standard room tiny nicely decorate bathroom quite nice . two large window let lot sun bed extremely comfortable . also recommend breakfast room . chef , South Carolina , make good omlette ' ve long time ! buffet include smoke salmon , variety cheese , bread , fruit , etc . true many place eat nearby . get cheat inhouse dining room . fill excellent fare even need food late afternoon -- . location beautiful , lot less manic midtown . bus cab everywhere . problem get attention doorman hail we cab . neat thing walk nearby cafe , consignment shop , store problem whatsover . lot 5 - 10 block radius explore . all , want say keep open mind Excelsior . maybe great experience happen hit & quot ; good day & quot ; . prove . 
 Oct 4 2004 	 Itty Bitty Rooms Black Hearted Front Desk Staff 	 Booked hotel high capacity week NYC . nothing else available location great , decide give shot . the front desk staff rudest least helpful ever encounter . 5 day keep think imagine , consistently disintereste , border hostile . the first room give unbearably small . luckily , small fortune , able upgrade large one might go mad . bathroom appear redo recently simple , cheery clean , probably good feature . 
 Oct 4 2004 	 customer service worst ! 	 book two - bed room three people online Expedia give one - bed room . inquire discrepancy , tell since book ( pay full advance ) online , take whatever available . could upgrade suite hotel fully book , would provide cot . staff 's attitude throughout polite inquiry get . make effort accommodate need apologize way . indifferent / rude attitutude problem throughout hotel . note doorman , neither open door hail cab . loiter lobby , chat expect handout . 's shame location great , room nice enough . 
 Sep 22 2004 	 two thumb way ! ! 	 frequent traveler ; travel vacation spot 4 - 5 time per year . stay Excelsior Labor Day weekend 2004 extremely pleased room . book 2 bedroom , 2 bathroom + living room ( fold sofa bed ) . 4 we total sharing suite . room bathroom spacious clean . surprised room size becasue NY notorious small hotel room . decor elegant , make we feel though high end hotel . 12th floor could leave window open minimal street noise . window close , street noise . way suite lay quite nice . take corner floor , adjoining room noice / we entire corner 12th floor . view great , busy dusk late evening every day , problem . the staff nice room ready arrive around 3:30pm . front desk check 4 minute . call couple minor question treat professionally / pleasantly ( call find ice machine . floor we . ) . would disagree review regard rude service . busy weekend nothing pleasant service staff . the location hotel fabulous . literally right across street Museum Natural History , interesting museum . also 1/2 block Central Park West ( hotel overlook park , opinion ) . walk park , head leave end Guggenheim , one afternoon . close ton good restaurant . head west Amsterdam Avenue Broadway . street ton restaurant / all excellent food . cover breakfast , lunch dinner . two thumb way ! ! 
 Sep 15 2004 	 excelsior - great find NYC 	 Booked excelsior 3 - day business trip week , thank numerous recommendation friend , location . cast vote positive review ; great experience . greet friendly , smile face , check - in smooth , upgrade room junior suite ( unasked , even draw attention make big deal , discover open door ) . room clean , well - decorate , traditional , european atmosphere . say elsewhere review , bed absolutely divine . since NYC 2 - 1/2 hr train ride away , usually come City day , ' ve find great place stay , definitely plan overnight getaway husband near future ! 
 Sep 14 2004 	 beautifully quaint ! 	 fourth trip NYC choose stay excelsior four star rating . hotel beautiful neighborhood upper west side near central park surround upscale NY apartment building . hotel gorgeous lobby clean , pretty room . room adequate size three woman share . hotel staff member helpful friendly . diadvantage hotel take little long get tourist area NY . however , subway entrace block , always easy grab taxi . 
 Aug 9 2004 	 Peace Mind 	 seek clean , quiet hotel wonderful Central Park West location ( walk distance subway ) , hotel ! true , freebie coffee maker , hotel breakfast room premise ( though rather expensive ) . place visit return ... ! 
 Jul 16 2004 	 joy construction 7 	 check early evening Thursday July 8th . first room smell strongly paint immediately request another . next room seem pleasant enough . 8 am follow morning ( 5 be we , West Coast ) , awoken pleasant sound jackhammer . strange , consider 6th floor . glance window reveal source . workman , dangle rope build adjacent hotel , bash away 5th floor , hard work remodeling brick window say building . call front desk yield gruff apology something effect & quot ; control go New York City . fine . move room # 3 opposite side hotel seem solve problem . 7 am Tuesday morning , sound construction reverberate room , despite fact 15th floor . apparently , law physics dictate sound must travel somewhere , originate one enclose space adjoining building , option . racket go morning . leave hotel morning , could help notice workman time seem work hotel . sure enough , fellow hard hat confirm pal remodel work hotel . cement truck front another clue . heat conversation hotel manager yield response : " control go ny " . & quot ; fine , control go hotel & quot ; . several minute argue yield $ 50 rebate stay . bad hotel charge $ 175 night . get good night sleep 3 5 night . oh , still think stay hotel , advice , ask , , insist room face street , assure , quiet room place . 
 Jul 14 2004 	 love excelsior 	 stay Excelsior 3 night June 2004 . beautiful ! bathroom gorgeous , bed fantastic . yes , front desk staff aloof overly friendly , wuld stop short call rude . would appreciate complimentary coffee somewhere hotel , great . stay location , think stay next trip New York comfort plushness room . would definitely recommend . 
 Jul 11 2004 	 Old Hotel Rude Front Desk Staff Good Location 	 review generally echo many comment make review . hotel old lack many amenity four - star hotel . clean staff professional accommodating , departure rude unprofessional front desk staff . management consider replace front desk staff cleaning staff . location hotel ' great asset allow easy access park . overall , find compare NYC hotel stay past fare well . advice stay elsewhere visit NYC . 
 Jul 9 2004 	 nice fabulously locate 	 stay excelsior 4 year old son . 's nice little hotel superb location get around new york see sight . close major bus line , subway , principal avenue , park entrance cross - park travel east side , wonderful restaurant around . agree little thing mess -- example make reservation ask cot room son tell would not put one would & quot ; damage furniture . & quot ; haul inflatable bed along check hotel woman desk offer we cot son .... needless say dismay ! pleasant stay bed comfortable -- love go sleep night ! 
 Jul 1 2004 	 Fantastic 	 nervous hotel reading review site turn fantastic . room top floor overlook city - wow . room immaculately clean bathroom- could well . new water everyday , tea / coffee choose breakfast one many diner / coffee place near . fantastic area restaurant - try FREDS cheap Chinese near EJ 's diner EJ 's Diner . buy Metro card day travel subway bus ( 2mins hotel ) $ 7 really experience great city . travel subway upto 10 pm feel totally safe time . great place . excelsior wonderful place end long long day . comfortable bed ever ! ! can not wait go - already save . 
 Jun 22 2004 	 lovely lovely lovely 	 read review hotel , obviously concerned stay . book 5 night 2 friend do organising , feel responsible quality hotel choose . on arrival greet pleasant young woman apologise keep we wait ( long ) check we . ask room two bed delight saw upgrade two room suite view park . room spotless clean every day . thick robe , fresh towel daily endless supply shampoo etc . even razor shaving foam ! ! ! tv room safe . , pleasant stay , remember bring tea kettle . 
 May 18 2004 	 half decent bad so - so 	 excelsior bad , New York . ' ve stay time , price suite Quikbook , relatively good , NYC . room clean , scenic view another part build ( & quot ; courtyard & quot ; view ) . staff particularly friendly helpful . need change room ( suite family 5 fact & quot ; cozy & quot ; junior suite room request cot ) , stoop obnoxiousness order make happen . breakfast , $ 14 $ 18 head , worth , especially good bakery less expensive restaurant within block . however , location , upper West Side , good , feel safe . would stay ? maybe , could not find anything well . 
 May 7 2004 	 fabulous base New York ! 	 stay excelsior 30th April - 5th May 2004.we fabulous time ! arrive give choice hotel room decide stay front hotel ( fabulous view Planetarium ) room windowless bathroom change next day one back hotel ( time view back apartment - good way see New Yorkers really live ) . light , bright , clean bedroom bathroom bed comfortable . location catch subway ( corner ) take we city . find hotel 's location perfect , close local shop truly great local restaurant ( not full tourist ) yet New York 's attraction short journey away . close park joy really feel opportunity visit non - tourist typical hotel ( guest american ) stay real neighbourhood . 
