Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Apr 17 2009 	 cockroach tower ! ! 	 wife stay think go well average hotel . horror stay room cockroach mouse run around . wake middle night roach throat . wife greeete two other later night get uo tpo use toilet . after advise hotel reception team infestation room , move another room offer $ 150 spend hotel . tell hotel staff hotel infest Cockroaches mouse constantly move guest room . needless say reluctant eat hotel want use $ 150 compensation . ask hotel management refund money back we pain advance stay become hostile initally refuse . argument , agree refund amount credit card . return UK find despite agreement thiis . take step sue . shame , great location shoddy hotel poor managment . 
 Apr 16 2009 	 hotel need shape cleaning staff ! 	 stay NYC every month . always stay 4 star hotel Midtown . hotel rank 4 * . build old see even walk hallway . room standard size NY basic amenity , main complaint cleanliness room . get ready get bed , notice jelly bean wrapper right night stand plain view . get bed , notice either someone else 's sock bed fall right outside bed floor ! see thing make feel uncomfortable else not clean thoroughly . in term location , be great near theater Time Square without middle . construction go outside though make air dusty . stay elsewhere next time thrill hotel . 
 Apr 14 2009 	 exceptional 	 read negative review , worried . send email reservation desk prior arrival express concern . I arrive hotel 1 pm . check 3 pm . allow check - in immediately . wait check - in reservation staff friendly . indicate receive email give free upgrade suite ! room fabulous huge . 47th floor overlook Radio City Music Hall . just prior depart dinner night , room service arrive . surprise since order room service . gift reservation manager since birthday . send bottle wine along cheese cracker . on day check , want additional sightseeing . leave bag check area . staff extremely friendly cost we $ 7 store 2 bag entire stay . the negative thing would say temperature room difficult control . would call front desk issue , wonderful time , never bother . great hotel , great location , great staff ! ! ! 
 Apr 13 2009 	 basic one might expect 	 stay holiday March : bit let . much old hotel expect . heating central , individually control : turn radiator completely , open window room still way warm . quite surprised solution . quite high floor street noise still bad . wooden blind room filthy : every time move dust storm . room quite small . we try go breakfast weekend : buffet ridiculous price , 11:00 ! staff friendly , location good want mid town . still not decide would return : would concerned stay winter fear room would way hot . 
 Apr 12 2009 	 great location smallish room v. busy bit impersonable . 	 family five ( two parent , three teenager age 18,16 12 ) . New York sightseeing visit - first time New York . hotel fantastic location within minute walk distance Central Park , Times Square , 5th Avenue Broadway . would definatly recommend far location go . bedroom quite small upgrade . book two rooms- one queen sized bed , two small double . really large enough share . space room poor especially suitcase , manage . there United Nations conference whilst hotel , apparently conference hotel , busy lobby peak time . mean lift seem stop every floor 48th floor take get down . we book bed breakfast . issue pass breakfast , give enough half stay negotiate try charge we breakfat . breakfast expensive pay one off . the early morning call book room happen one . staff efficient , distant , expect suppose big hotel . overall hotel ok - everything would expect large facility . good bit definatly location . 
 Apr 12 2009 	 Glad pay $ 125 	 return stay Sheraton Towers . hotel ok . problem . check - in crazy busy girl check super nice friendly help . think hotel fully book long line understandable , however room ready 3:30 find another - right next elevator , lol . worried would really loud say fine . room ok - certainly would consider 4 star ok . Seemed clean noticed sand bed ( yike ) . nothing room explain room service fitness area hotel restaurant - that annoying . also call front desk inquire soda / water machine inform vending machine hotel . get bottle water would call room service go corner market , difficult 2 young kid . see review mention temperature room . Whew ! stifle ! finally figure turn hot air get bit well . , decent hotel great location would stay . 
 Apr 10 2009 	 good value location 	 central location easy access public transportation make first choice New York City . furthermore additonal $ 30 $ 40 club level room good value money . complimentary breakfast include healthy option comprehensive , free all - day freshly brew starbuck coffee / latte , etc . , make totally worth . mention free printing evening happy hour complimentary hor d'oeuvres desert . 
 Apr 8 2009 	 not mind horde kid party til hour hotel . 	 ok - good : centrally locate . easy access subway park . bad : hotel cater extremely large group student . model UN hold stay kid party make ton noise night long . room easy chair , one old desk chair . small room bureaus ( drawer clothe ) . bathroom small can not close door sit toilet . only pay 115 night priceline would never stay . fact , avoid use priceline region fear ever get hotel . 
 Apr 8 2009 	 ok -- rush go back 	 good : excellent location , comfy bed , window open fresh air . rest : window dirty , room small outdated bathroom . door slam loudly . every time someone near open door close , know . slow check - in ; peak time need people work check - in . many group stay hotel lobby usually crowd ( one point probably 100 people ! ) . pleasure ( ) group youth stay near we hour night noisily go room room . charge $ 3.25 per bag per day hold bag . ridiculous . get record night check - out say bill leave door accurate , use check - out kiosk . well check - out kiosk remove therefore use ! instead wait long line already 11 am , hand key concierge note room number . message leave also threaten $ 150 charge be room 12 noon ! nice . not eat . would go back ? would check hotel area first . 
 Apr 8 2009 	 Security Heating / cool issue 	 good - location . center thing lot restaurant activity around not go far entertain . bad - First - check 3 pm . 330pm someone else try enter room . seem traverler also check room . bad security standpoint . second - safe work properly . bring hotel 's attention twice - nothing do . third - room 's heating cool unit work properly . room sauna time - uncomfortable . we will not back . much well hotel stay near Times Square . SPG member , choose W Westin . 
 Apr 7 2009 	 Nice Hotel . Great Location . kid love Concierge Lounge 	 stay hotel 3 night family ( 3 kid ) . call ahead time able get upgrade junior suite , access concierge lounge . Jennifer helpful setting . kid love concierge lounge 44th floor . great breakfast , okay appetizer night ( free soft drink , cash bar everything else ) . cool touch screen tabletop computer kid love play lounge . go pool across street Sheraton hotel . nice big pool , hard kid play around people swim lap . pool toy allow . highly recommend stay floor 30 . three different set elevator hotel . 6 elevator floor 30 never crowd . one thing learn hotel one pipe heating / cool system . mean whole hotel either hot cold air ( ) . case weather little warm , hotel still hot air ( air would come hot ) . get large fan room third night help cool . walk distance Time Square , Rockefeller Center , Central Park , subway right corner outside hotel ( e line ) . take subway goto World Trade Center , also take subway back Battery Park . 
 Apr 7 2009 	 stay Hotel ! 	 book Sat 4/4 Sun 4/5 priceline . get room $ 110 . guarantee king size bed call Sheraton directly three week trip request two double . surprised get . ask high floor get 42nd . elevator fast available . everyone accomodate pleasant . pay $ 45 24 hrs . parking , would anywhere . also fee hold bag checkout , noon ( $ 3.50 per bag ) . beat value room . room clean except leftover smudge window mirror . big flat screen tv . alarm clock ipod connection . easily walk times Square Madison Square Garden . cab back MSG $ 10 include tip . even order room service delicious 11 pm , get quickly . could happy whole experience ! 
 Apr 6 2009 	 avoid like Plague ( perhaps catch ... ) 	 hotel way 4 - star establishment . service abysmal , room filthy . try check - in late afternoon provide room 9 pm night . tell would room renovate part tower , phone first reception desk person try check , finally able check 9 pm , front desk person say & quot ; record & quot ; -- give name person promise we renovate room , try claim & quot ; renovate room not really different . & quot ; tip iceberg front desk shadiness . tell would receive $ 50 credit inconvenience ( even enough cover breakfast 2 restaurant ) -- use & quot ; credit & quot ; get thing on - site cafe . check hotel , woman first not want give we receipt . , insist , see hotel put charge cafe credit card ! tell credit , front desk expertise lie / shadiness continue say & quot ; record & quot ; tell need give name person promise ( , , smart enough base early experience ) , lead waste time argue , finally remove charge . room ... end stay hour night ( enough rest enough drive home ) absolutely disgusting . perhaps able check - in 9 , could leave find another hotel , late Sat . night everywhere seem capacity time realize get . witness large dust ball think ever see . crumbs desk chair . wallpaper peeling ; carpet rip / stained place . toilet huge brown stain -- ewww ! small amount time try sleep , cough sneeze extreme amount dust . check , request re - clean room , course never . clientele another detracting part -- range crude teenager ( one make inappropriate comment ) obnoxious / loud / class - less people obviously not know behave . go NYC alot , plenty good place stay -- stay ! ! 
 Apr 2 2009 	 Skip Sheraton New York Hotel tower 	 three thing annoy hotel ... 1 ) wall door transparent sound , night lot lot noise ( mean night ... might well room we ) , 2 ) charge $ 30 check bag 1 hour , even though ' reach hour check , 3 ) room clean staff progressively remove glass call room service last night ask . bad , location , room size right . price ok suite book , think $ , would definitely look elsewhere ( come Starwood member ) .cheers ! 
 Apr 1 2009 	 Nice Hotel Convenient Location 	 bit worried read previous review , we everything go well ! check - in quick woman check we nice . room 2 double bed locate 18th floor . bed comfortable pillow soft , pillow actually soft bathroom small clean . New York City room good size . room clean give fresh towel day . Conceirge , John , helpful . hotell conveniently locate near everything . across street hotel NYC coupon discount area attraction , make sure stop first ! Ellen 's Stardust Diner street must anyone visit city , staff sing whole time entertain , really enjoy breakfast would definitely go back next time town . downfall hotel parking garage , really own hotel . expensive wait 50 minute car , check time Sunday morning lot unhappy people wate amount time car . parking garage charge $ 42.00 per 24 hour need keep track time check . arrive 11:45 check around 12:25 pay another $ 10 convenience wait another 50 minute car . enjoy stay would come back hotel future . shop go include Build - a - Bear , Nintendo World , NBC store , & amp ; World . attraction go include American Museum Natural History movie Night Museum film , Statue Liberty - make sure order ferry ticket online get monument pass allow entry base statue , Rockefeller Center Times Square shop . go Serendipity 3 ice - cream one night enjoy , pricey worth experience . Restaurant Mars 2112 fun kid husband could do without 11 year old daughter enjoy . remember New York City fast pace , pricey crowded . 
 Mar 31 2009 	 Sheraton Management Cares 	 recent stay Sheraton receive phone call hotel staff specifically ask feedback cleanliness room hotel general . also want know suggestion improvement ( request include print material room information gym internet ) .there many positive thing hotel ( nice bed , good elevator , friendly staff , course location ) make sad read negative review . 
 Mar 30 2009 	 problem . brilliant location . 	 really not know people get work place . 's great value ( book Hotwire ) room good , staff friendly 's literally Time Square . Great be go New York go night stagger home . 
 Mar 30 2009 	 great stay 	 wife first stay Christmas 2004 return celebrate birthday . I little hesitant booking return stay read recent review , think people bad review unlucky great time . at time booking ( via Sheraton website ) request room 35th floor stay previous visit like . arrival check courteous prompt , request not get allocate room third floor . go upto room nohing wrong bar fact fairly noisy street ambience . ask chance transferring room 35th floor do without hesitation apology original request come through . our oom 35th floor good size comfortable double bed . room spotlessly clean new addition since previous visit large flatscreen tv hi Def programme . notice mini bar read review seem removed . matter . as reviewer say room warm , simple turn heat ' m sure big problem that . on arrival room safe still lock previous occupant . call reception within five minute friendly ( apologetic ) maintenance guy rectify problem . there plentiful tea / coffee make facility bathroom also spotlessly clean . room iron board hairdryer . pleasently surprised room ipod dock / clock radio save need mess converter etc charge iPhone . once could not find fault hotel . brilliantly situate , room comfortable staff encounter without fail friendly . definitely return hesitation recommend . 
 Mar 29 2009 	 Great Hotel ! beautiful Accomodations ! stay Heartbeat . 	 reserve hotel priceline . place bid $ 111 accept first try ! realize hotel get , begin get little worried read negative review . voice many accolade hotel . beautiful . I call day arrive request & quot ; renovate room high floor . & quot ; tell request note . check - in take total 2 minute ( exaggeration ) . room small expect give location . 15th floor . room first one hallway close elevator noise issue . bed comfortable . shower technically tub / shower combo really oversize stand shower . girlfriend 5 & quot ; 4 & quot ; could take bath comfortably . 36 & quot ; lcd television nice wind end day . Checkout take minute ( , exaggeration . ) ask receipt tell would get priceline get hotel Sheraton not know much pay . happy hear this . overall , pleased priceline hotel . certainly use priceline book hotel . cross finger one . 
 Mar 29 2009 	 good hotel room price 	 stay two night business trip . buy hotel Priceline $ 110 . land property , sorry give bad experience report . however , renovate room : good decor , beautiful linen , clean , size ok , quiet , reasonable amenity . happy return anytime . Traveler Boston 
 Mar 28 2009 	 Sheraton New York good value location 	 anyone read review hotel would right confused ! people find pleasant , other hugely disappointed seem almost angry stay . surely hotel , perhaps review say reviewer ? stay Sheraton New York three time past year , always could get good deal ( $ 250 night , sometimes low $ 179 plus taxis ) . get rate hotel website , Priceline Hotwire . recommend visitor New York -- comparison shop websites book directly . usually discount pre - pay . I agree other complain Sheraton true luxury hotel . need pay luxury price . posh hotel NYC easily cost $ 600 night . upscale Westin W hotel always least $ 50 night Sheraton . People need savvy book realistic expectation . carpet slightly worn , make hotel & quot ; dirty . & quot ; wait ten minute check , tragedy huge New York hotel . even Starwood Preferred Member . opinion , positive Sheraton New York : elevator fast readily available . security guard monitor go elevator , night long . bed comfortable , multiple pillow crisp linen . room desk internet access ( free room , alas , typical ny ) . coffee maker Starbucks coffee brew . window treatment functional , perforate shade low day allow light come , blackout curtain night . room surprisingly quiet give hotel location . gym nice , one large ' ve see hotel . lobby bar attractive become Starbucks morning . lobby huge great place people watch . I ' ve never service issue . ' ve greet doorman help luggage , help get taxi need . need special help , example elderly traveller , ask ! true , minibar , never like anyway . dozen nearby shop pick drink snack . the negative : parking pricey ( would hotel NY ) . also hassle wait car end stay . big hotel , time encounter people want thing . line form , check luggage retreival , etc . try realistic get annoy . 
 Mar 25 2009 	 bad decor poor staff attitude 	 recently widow mother book long weekend visit relative . choose Sheraton base reputation also location . one hotel offer travel agent ( Trailfinders ) . pull door , concierge staff show interest come help we suitcase even open door . pour rain , struggle main entrance staircase - least save give tip ! main lobby area good state repair , walk along corridoor allocate room , carpet wear fray ( verge dangerous place ) wall need re - decorating . seem grubby tired looking . pay & quot ; deluxe & quot ; room room book small ( anticipate ) furniture damage ( water general wear ) large hole mini - bar room look like need re - decorating . go back reception ask indeed give Deluxe room , , ask could upgrade suite . receptionist extremely disintereste ( almost border rude ) state room suite available . tell mini - bar remove room . explanation give reason decision . this not cheap option appear staff interest help . even check end stay , no- one help we luggage ( mother 60 's ) . really wish book small boutique hotel , think Sheraton reputation would give we reasonable standard . would never stay . write complain Trailfinders ( travel agent ) apparently no - one else complain hotel . 
 Mar 24 2009 	 great location friendly staff great midtown choice ! 	 be hard find well location midtown . subway stop hotel ( walk around corner front entrance access ) . Times Square Rockefeller Center visible property block away foot . bed comfortable ( Sheraton , hotel benefit Sweet Sleeper bed nice bathroom amenity ) . staff great ! not talk concierge find Bell Captains act concierge . although handle luggage , quick offer restaurant suggestion direction . the hotel provide small refrigerator $ 25 ( one - time charge duration stay ) , take advantage eat breakfast room . aspect hotel scream & quot ; DATED ! & quot ; window unit climate system . couple warm day mid - March stay , not turn air conditioning season ( apparently , must turn central location room use ) . , option & quot ; heat & quot ; & quot ; nothing . & quot ; ask hotel provide fan , quickly provide , open window . open windows fan make room comfortable able keep comfortable opening closing window . ideal , minor inconvenience . colleague stay block Hilton New York Towers identical experience : A / c service , hotel provide fan able open window . this second week - long stay hotel look forward repeat next year ! 
 Mar 24 2009 	 Excellent way 	 stay Sheraton March 15 - 20 . wife travel granddaughter , 16 , love theater ( ) . promise would take NYC number year ago fulfil promise . book online & quot ; Hotwire & quot ; know hotel would getting commit . however , know hotel would downtown manhatten theater district . wife NYC year ago stay Novotel block away Sheraton . when receive news & quot ; Hotwire & quot ; name hotel immediately look review Tripadvisor scare mind negative comment . lot apprehension enter lobby register Sunday . find : short wait register assign room 1030 10th floor . lift fast swiftly room . room like picture two full size bed . everything clean satisfaction . coffee maker make individual cup like . window one could open first night bit noisy close put towel register room bit warm . criticism read justify : temperature room controlable . however , towel help sleep comfortably . I believe 42 & quot ; LCD tv . especially nice extra mirror bathroom wife granddaughter appreciate face . summary , room great location even great . Sunday night meet relative eat Patsy 's Pizzeria 84th west Central Park . walk since want excercise . salad excellent hear one good italian Pizzerias around . Monday take subway Staten Island Ferry see Statue Liberty . come back stand line tkts find someone coupon see Altar Boyz go night . excellent ; 90 minute energy . Tuesday go St. Pats parade awhile . not realize local flavor parader . ton pipe band seem like mile NYFire Department personnel ( man station ? ) night go Chicago use coupon get girl walk near TKTS . great great seat . Wednesday go matinee Broadway & quot ; Fantastiks . & quot ; great also . Thursday night go & quot ; Little Mermaid . & quot ; also wonderful . all show go tremendously entertain difficult compare . Chicago Mermaid large venue character . Altar Boyz Fantastiks broadway like both . we also take advantage Times Square webcam ( camera 4 ) wave friend family back home . kick . enough say . wonderful time definitely go back Big Apple . 
 Mar 21 2009 	 Inferior Sheraton standard especially Starwood member 	 check , expect get automatic room upgrade Starwood Preferred Gold member , tell room hotel identical , even so - call Club Level . perk get starwood member separate line check - in . whoop - de - doo . get room , really tick . mini - bar . safe . wireless internet . rock - hard mattress . controls ancient wall - mount heater / cooler not work , spew hot air . one free outlet socket entire room , desk . not waste Starwood point place . upside extremely impressive fitness center , one good american , non - resort , on - premise fiteness center ' ve see , reasonably price $ 20 entire stay ( $ 10 per day . ) . want print boarding pass business center , cost $ 8.75 , price half hour access . overall , disappointing Sheraton property , term room . 
 Mar 17 2009 	 well locate good value 	 think staff service excellent . hotel locate conveniently many attraction . 
 Mar 16 2009 	 pleasantly surprised ! 	 stay Sheraton March 14 husband 's birthday . read mixed review , bit nervous . however , pleasantly surprised . check fast friendly . room 46th floor nice . small side - clean neat . also , check - in , casually mention husband 's birthday - send 2 piece cake we ! location great ... see Shrek Musical , shopping , go Top Rock . complaint , $ 42 parking ! 
 Mar 10 2009 	 pay room favor look elsewhere ! 	 husband stay use point . great location proximity tourist site , much else say hotel . room extremely cramp old . carpet stain , sheet stain . deal 3 people front desk time check check 2 3 rude could care less . left & quot ; DISTURB & quot ; sign door first day leave sightseeing , come back maid apparently come clean room . despite sign , come anyway , put thing away ( important document personal info etc . ) anticipate anyone would room without consent . addition , room get REALLY hot night . lucky first 2 night cold outside room comfortable . however , get 60 last two night , room warm , thermostat room turn air . room become stale warm sleeping difficult . also , sure check hotel bill . rather large charge statement Cafe Lobby . neither husband buy anything , phone front desk inform mistake , lady rude basically say someone room charge else could bill ? instead perhaps admit mistake occur , basically accuse we lie . yell back , agree take charge ask manager nice , not get feeling & quot ; customer always right & quot ; . bottom line not pay room , definitely stay location great ! however , pay room , favor look elsewhere . 
 Mar 2 2009 	 stuck elevator 30 minute ... 	 overall give hotel poor rating , spend 30 minute elevator.1 . arrive staff friendly , check room - okay , tired - especially bathroom.2 . ten minute arrive try leave lunch reservation Craft Bar ( end amazing ) - get onto elevator 23rd floor , get lobby door would not open . terribly claustrophobic , immediately panic . elevator service repairman do not work weekend , wait 30 minute arrive . Luckily husband compose person able keep calm . know regular occurance , would think 50 floor build 10 elevator would able react bit quickly . we purchase hotel hotwire.com pay already could not comp room - & quot ; upgrade & quot ; ( room high floor ) room give we $ 100 spond hotel . be not ideal see planning spending time / money inside hotelthe room upgrade we tired well - bathroom smell like mildew comforter unidentifiable stain ( YUCK ! ! ) - staff friendly definitely understand frustration elevator - despite would not go dirtiness really 
 Feb 23 2009 	 Bad 	 yes room small bathroom date clean . judge nice hotel clean bathroom happy enough en suite , bathroom lobby old , quite cheap clean . part lobby construction put aspect strong paint smell . corridor grubby room service tray seem left day . room well clean every day bathroom . staff deal friendly helpful look bored uninterested . over enjoy stay would definately stay . 
 Feb 22 2009 	 good price location dreadful service . 	 Stayed Sheraton Towers Times Square 2 night . Valentine 's Weekend fashion week , difficult find room NY reasonable price . accustomed stay high rate hotel , assume brand name Sheraton would provide decent room decent price , . room pretty clean ( though agree comment post early tired carpet . ) flat screen tv , dvd player vcr . never turn tv spend little time room . however , service hotel dreadful . front desk check - in process rush , could not wait shuffle get line people check . follow morning , ask customer service line comb send room ( hotel provide several convenience , toothpaste , razor forth need ) . three call course 45 minute , give comb make due . stop front desk way door let know problem comb ask would deliver go . arrive time day . one night stay , stop restaurant late night ( 10:15 pm ) dessert . ( well dress polite . ) ask still serve say yes seat we dirty table . ask wipe , . look waitress keep avoid table . finally go host ask politely would send waitress . finally come table 10:40 pm say would glad help we , want cocktail , would not serve we food kitchen close 10:30 . clearly , pull stunt . obviously tired want go home without serve another customer . leave report front desk , nod make gesture tell hear one . not really want anything , make move desk , offer we fifty dollar credit toward restaurant hotel . accept even though desire meal hotel . decide breakfast last day . wonder offer we fifty dollar ! breakfast 34.95 per person buffet ! period ! choice ... cold menu , la carte , nothing . normally , NY , grab quick bite Dean Delucca Au Bon Pain breakfast , use credit , breakfast . actually fresh delicious , although eat light move on . I use concierge service well . first gentleman rude could not wait get we move could keep line short . next female concierge friendly try helpful , keep give we wrong direction . know NY well , keep say , & quot ; would show map ? & quot ; would get map , would show wrong way would say , & quot ; not way ? & quot ; would look say , & quot ; oh , yes , right , sorry & quot ; . least polite try helpful . ask suggestion restaurant dinner tell want something hip trendy . really could come ordinary italian Restaurant ( something like Patsy 's , New York friend say fine , nothing great ) , go Budokan instead . ( one Philadelphia new would fabulous . ) great ! rehearsal dinner scene Sex City Movie film . food incredible , service -- good , another review . back hotel one morning , huge group teenager jean t - shirt ( 50 ) adult sit floor middle lobby luggage strew , wait check . idea hotel not escort less obtrusive ( perhaps comfortable ) place wait least move side . look like sit - in something . ridiculous ! last day , hotel less busy checkout smooth . also able get late checkout 1:30 , nice accommodation . I probably would not stay choice . trip last minute want good price , get . 
 Feb 19 2009 	 great location tired - look room hallway 	 good : Sheraton tower great location ( 53rd 7th ) Times Square . check - in Starwood preferred guest quick efficient . toiletry nice ( mandarin mint ) . large flat - screen TV 's free WiFi lobbyThe Mediocre : could use spruce - up . carpet hallway room fray ; layer dust radio , tray food stay hallway . recommendation : get great deal use point , good choice location alone . otherwise , find something spiffy . 
 Feb 16 2009 	 impressed excellent service 	 last week occasion visit red apple last minute unplanned fly . arrive JFK rush away Manhattan rather rude cab driver . figure prepare city . arrive Sheraton try squeeze money bellman surprisingly go defense . never happen … typically stay five star hotel even ' offer type personal service . seamless painless check smile courtesy . go elevator notice put finish touch great look remodel lobby bar area , look fresh inviting . typical time , cut loss everybody experience . go room clean fresh beyond expectation . order room service food hot arrive quickly . find room service menu quite extensive . I feel staff friendly attitude , unlike hotel stay , city . if nothing else stay gym , clean huge natural light new equipment . all great time Sheraton New York great deal . 
 Feb 15 2009 	 2 - star experience - terrible ! 	 bad experience 4 - star hotel . strip least 1 star . always stay 4- 5 - star hotel , since 4 - star hotel feel like 5 - star 3 - star . suppose romantic Valentine getaway . come car . nobody front side door help car luggage . call hotel say parking full go find parking - outrageous 4 - star - mallet parking . finally connect front desk demand someone next car register , think take 5 minute . concierge , manager , 2 receptionist , many people line terribly slow assistance . take 25 minute check . - room .. kind 4 - star hotel room : robe , water , fridge mini - bar , menu . room freeze could not find control - call front desk , hide . mention , wait 20 minute 1 pitcher $ 30 juice ? room bath outdate , especially bathroom - 80 . next morning - final bill room . go downstair check - outraged 30 people stand check - in . way would stand line ! call front desk ( phone ) 5 attempt 20 minute nobody pick up / drop phone - get check phone . terrible 4 - star experience . holiday - inn 10 time well . expect lot stay 4 - star - strip 1 star pass issue . 
 Feb 15 2009 	 1 hour+ wait car check ! 	 room 43rd floor nice except room temperature assume maid leave ... like walk sauna first step foot room . good luck get car back weekend holiday check . hotel well prepare parking garage anticipation crowd . see 2 attendant move car Valentines day Weekend . long many other wait garage approx . hour 2/15/09 get car bring . could home time ! God forbid someone flight catch 2 - 3 hour ! would expect well fast service NYC hotel , unless course lay people hotel aid NYC budget crisis . 
 Feb 12 2009 	 Gross ! 	 plan stay three night . however first enter room plan change . room small . two double bed , room luggage , small bathroom fan . stained rug , head board , bed spread . stinky smell A / c ! ! use gym go night , huge , lot equipment helpful staff . change room filthy , use towel everywhere , dirty foot print everywhere . hair shower , sauna steam room . need clean . leave hotel night town eventually return next morning check check W Times Square . check Sheraton NY Hotel Towers tell clerk room . move quickly forget horrible experience . gold SPG member expect Sheraton . receive luxury cleanliness W 4 block away . 
 Feb 10 2009 	 really not staff 's fault 	 staff try hard , not lot work -- corporation busy try cut corner especially evident XMAS -- first room give , sort motor noise us tv work . second room , second night , blind would close , tell would take week find new set . third night , hammer day . although feel well wanted rest day , change room tell hotel overbooke anyway . well , wait check 45 minute , lounge crowd one often wait seat . elevator full morning , people often could get . , thing fade look -- elevator door take forever close example . example cheap hotel guest , rent bellman baggage service company charge $ 3.25 bag leave depart guest per day ! 
 Feb 3 2009 	 good 	 ok , admit stay use Starwood point , think great hotel . good location , friendly staff . the thing carge leave bag departure day , use Sheraton . that thing . 
 Feb 1 2009 	 treat ! 	 husband stay Sheraton Saturday Jan. 31st . town enjoy excitement city visit recent college grad daughter whose first job Big Apple . arrive city early Saturday order make weekend . could not believe ! able check gorgeous Sheraton Suite 9:00 a.m. ! suite 34th floor . view spectacular . one window could see boat Hudson River another window could see activity downtown . generous living room suite feature beautiful comfortable blue velvet sofa , 2 arm chair , nice chrome lamp , coffee table , desk flat screen t.v . coffee table great spread map guidebook . mention powder room side front entry ? bedroom feature comfy king bed , another t.v . , generous clothe closet huge terrific over - sized full length mirror great giving last minute once - over head night town . sheraton 811 7th Avenue perfect location every want go . husband take 3 minute walk subway get Greenwich Village . later , hike toward Macy 's Herald Square . dinner walk whole new direction find great italian restaurant Hell 's Kitchen . morning snap get daughter 's apartment Queens Sunday Brunch . choose stay outstanding Sheraton super smart . will definitely stay . 
 Jan 26 2009 	 Sherton Holiday Inn ? 	 first arrive hotel immediately impressed . lobby maintain beautifully staff friendly . furthermore , location absolutely ideal . aspects hotel consider noteworthy . the room stay one person rather spartan . could venture guess bed expensive , not make room notably nice Holiday Inn . furthermore , towel ' ve encounter Motel 6 difficult acquire . also lot noise people even walk past room hallway . at one point find cockroach bathtub really turn . keep cockroach bay Super 8 Motel Tucumcari , NM ( entire city seemingly inundate cockroach ) certain expectation luxury hotel New York City . essentially , Sheraton , NY competent hotel friendly staff . someone else pay ( case stay ) , would stay . however , would not spend money room . not feel get enough value hotel charge . 
