good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Mar 21 2005 	 nice 	 stay 9 night major problem . elevator order hour one night big problem . room always clean staff helpful professional . have problem stay . 
 Mar 18 2005 	 enjoyable stay Carlton 	 return trip NYC stay Carlton Hotel great . despite hotel undergo renovation little noise disruption . room good size , clean comfortable . staff always helpful even insist move us suite problem heater even though perfeclty happy room hotel fairly good area bar , restaurant , cafe shop nearby . Empire State building Macy 's literally 5 minute walk away . several subway station different line also closeby use time . downside restaurant / bar due renovation . however probably reflect room rate reasonable New York . 
 Mar 17 2005 	 worm Big Apple 	 stay , great stay . check bag could play day come back , put bag bus Canada tour group . help get back . actually get attorney make phone call manager . luggage eventully return hotel go back NYC pick ( live exit 1 NJ Turnpike ) would not ship . go back luggage , want speak w / the manager would not see . get ready leave hear page desk wait . rather heat discussion lobby . rude . second time stay pinch holiday try 20 hotel nothing available . upgrade suite manager front desk check remember . suite yet clean dump . bathroom , nasty . someone sick never clean . pizza box grocerie place . obviously use long term stay . would & quot ; eat & quot ; theatre ticket drive City stay . 
 Mar 17 2005 	 great value money 	 stay Carlton 9th 16th March really enjoy stay . whilst building definitely still renovate , lobby functional good shape . obviously communal facility , e.g . restaurant , gym etc . staff attentive whilst overly enthusiastic . previous comment reception facility mislead -- restroom available ( require pre- post- checkout ) though lobby get busy , really hang lobby anyway ? room stunning view Empire State Building ( request -- surprised get one though , ask one overlook 29th st ) . room not huge 's enough space consider will see / do thing time anyway . bathroom marble finish functional , though could bathrobes . housekeep great job cleaning replace towel necessary , get free newspaper weekday . location little quiet evening ( hit village want somewhere vibe - y ) 's well locate two subway station ( great choice line ) 's quick easy get almost anywhere Manhattan hotel . we would really recommend price , be go hike expect renovation finish , go . 
 Mar 14 2005 	 worth 	 celebrate husband 's birthday New York last weekend . weather great Carlton Hotel disappointment . guest room may renovate recently housekeeping leave lot desire - find 3 short kinky brown hair bathroom wall second night . previous guest ? another room ? ? Disgusting ! fabric blind grey dust grime . room small adequately furnish - typcial Manhattan . photo website deceive . expect traffic noise 29th Madison . lobby small cramp partly ongoing construction new lobby . restroom facility lobby level , actually nothing except small one - star hotel front desk counter . definitely expect price neighbourhood . complimentary morning coffee fine enjoy water coffee . Stick teas - interesting blend like Chai Spice Xiao 's Blend . money prefer Ave Hotel Upper West Side , incidentally rate close hotel although not understand . renovation construction complete rate likely soar - avoid place unless money burn hole pocket . 
 Mar 11 2005 	 confortable nice staff 	 hotel really diamond rough . saying & quot ; rough & quot ; ? actually construction course hide part buide , really not impact stay ! 's diamond usually low price , staff helpfull ( provide less 2 minute shaver since have forget mine , take care luggage arrive day check - out , arrange limo service drive we back airport , answer kind question would well eat , get point , ... ) .The room quite small really confortable . speak make wan na sleep sheet ! tv room , large bed , bathroom make marble convenient use . certainly good pick be look comfort . course 3 star hotel , would expect 3 star , would not ? 
 Feb 14 2005 	 excellent value ! 	 book $ 139 per night hotels.com , superb value . like library , sit glass wine near lobby , work . hotel definitely undergo renovation , greet area small , functional check . say , look nice room reasonable price , not concern lobby appearance , excellent choice . renovation complete ( least room provide ) , everything appear new relatively plush . room small , city . 1 2 , fine . renovation bath particularly nicetwo separate subway stop two block away , albeit opposite direction . give choice varied line . location away prime tourist market , certainly walkable . Penn Station , come Amtrak , 15 minute walk . 
 Feb 14 2005 	 lose reservation terrible service 	 plan stay Carlton large group friend Saturday night . arrive , reservation confirmation information hand , unhelpful staff inform reservation lose . thing happen friend arrive directly we , well 2 guest . find especially confusing booked reservation different way . book hotel website , friend phone guest use expedia . us hotel confirmation . instead manager come crowd , mid - renovation , lobby , tell someone & quot ; working & quot ; front desk staff ignore we hour 20 minute . repeadedly ask speak manager , tell & quot ; phone . & quot ; never experience irresponsible , unhelpful customer service life . ask something like could happen , tell reservation make people Omaha , front desk girl point & quot ; far away . & quot ; thank geography lesson . finally hour , assistant manager came tell we would move another hotel street . arrive hotel ( Hampton Inn , W 24th St. ) relieve find helpful friendly staff ready assist we anything need ... mention , room large well condition . 
 Feb 13 2005 	 old luxury feel like home 	 old hotel , currently construction ( Valentine 's Day 2005 ) , offer cozy little room many luxurious fixture furnishing . update contemporary metropolitan charm , hotel offer tourist comfortable stay city never sleep . desk staff professional , friendly apologetic hotel 's current inconvenience due construction . example , restaurant yet operational , wife settle bottled water vend machine ice ice machine . bell hop seem little unorganized flusterred . room good part . small , New York . bathroom luxurious look feel well ... although marble tile floor , nice eye , unpractically slippery . mini bar , bath robe , currently , room service . heat also crank high room thermostat proove difficult control . open window fine . bed comfortable ... leave egg crate matreess pad home ! also leave hair dryer home , room one tuck away contemporary cabinet bathroom . nice location , bit far excitement mid - manhattan , worth price . consider stay close Central Park next time , due price cab ride , might stay . look forward completion hotel 's restoration . 
 Jan 25 2005 	 Clean Chic close Herald Square 	 stay hotel labor day 2004 . nothing complain . service great . room clean plush / luxurious . room large , standarad room one double bed literally mean two people -- friend travel beware - the room small . everything clean , service great.it 's also actually ' nice ' hotel . highly recommend stay . 
 Jan 24 2005 	 good deal city 	 find well , nice hotel NYC cost ( pay $ 129 ) , please let know . despite contruction , mainly exterior building , Carlton great place stay . nice staff , elegant room ( small , 's New York expect ) great location . subway block two away , restaurant nearby , accessable . 
 Jan 17 2005 	 fun city 	 Wife take last minute trip ny book hotel Carlton base positive review other stay . hotel perfectly situate trip town . able walk to - pretty much - everywhere Manhattan . although , not much action hotel location night . not put renovation hotel , room inside nice . would definitely come back . 
 Jan 15 2005 	 Hotel overbooke ! 	 mean stay hotel 27th Decemeber 30th Decemeber , total three night . ...... arrive late evening , 11.30pm , find hotel overbooke , would need move another hotel . despite fact pre - pay ( Expedia ) , rung hotel confirm arrive albeit bit late . ' m sure hotel operate , opinion , practice overbooke ridiculous detrimental concept customer service ! least receptionist agree we one . funnily enough , hotel send actually well one anyway . bad could not stay there . we get send Hotel Thirty Thirty , thankfully not far away . tell , would upgrade return next day . the room eventually get actually quite nice . bed comfortable , room bathroom tidy , nothing complain . however , whole affair sour initial overbooking fiasco , ' m sure would enjoy hotel bit , occur . the hotel still middle renovation , result , entire hotel service 1 small lift , service elevator , hassle . location hotel good , block away Empire State Building . also couple subway station nearby , extremely convenient . area quiet , trouble outside noise 7th floor room . staff however , friendly helpful New Yorkers service industry , still far sight well passess service staff United Kingdom ! , average hotel . nothing bad , nothing amazing . nonetheless , would still bit hesitant booking due fact might guarantee room ! * postscript * reason find change hotel whole checking - out checking - in . aside pack repack bag , also contend waste half morning checking - out , drag bag next hotel , check find check - in 3 pm ! store luggage , go briefly , back 3 pm check - in properly . stop we go ferry Liberty Ellis Island , take well part day . consider stay 3 night city , understand frustration . 
 Jan 9 2005 	 great value ! 	 wife 's x - mas present trip NYC . hotel help make first NYC experience good one . room nice people friendly . would definately stay ! 
 Jan 5 2005 	 good hotel great location 	 get back NYC think i d share experience traveller . stay Carlton Madison Avenue four night great hotel explore city . location perfect - one block empire state , 5min walk fifth avenue subway second away afield trip . hotel go refit scafolde hide impressive traditional building outside , however do not let put , room comfortable less year old everything still new feel . bathroom one major plus ' hotel - marble set gold fitting . one downside hotel would room slightly small side - however city densley populated assume many hotel small . Sex City fan hotel also opposite fourth season ( episode 49 ) set - little church around corner ( one Samantha fancy priest ) celebrity see sunday ! ! ! great reason stay . great holiday - definitley planning next trip soon ... 
 Jan 4 2005 	 New York 	 stay hotel 29th Dec 3 Jan 05 moment go $ 5million renovation do not look much outisde road dig scaffolding everywhere . inside comfortable surprised lack front reception area bar / public toilet / breakfast area ( although be not problem honestly 5th Avenue 2 minute walk lot deli / eat place within variety price . hotel room clean bed comfortable . downside 3 we share 2 double bed room clothe 3 case be not much storage space etcHotel great location main site walk distance most . also tip book shuttlebus back fore ariport find quite handy first visit city . enjoy trip ! 
 Jan 1 2005 	 staff attitude need renovation 	 stay 26th 31st December 2004.first - comfortable bed ! great midtown location . however , hotel undergo renovation , probably attitude staff need . elevator sufficient - cramp one main lobby hold four . bathroom lobby change late checkout - advise use Starbucks receptionist ! 
 Dec 30 2004 	 Nice Room 	 stay Carlton December 27 - 29 , 2004 . mention review , hotel currently undergo renovation . really much lobby point renovation little space hotel lobby crowd . change renovation complete 2005 . stay room 715 , fantastic . room exactly picture hotel web site clean . especially impressed large size room -- -huge NYC standard . bathroom small , adequate one person time . high end bed linen toiletry great touch bed comfortable . room view Empire State Building ideally situate midtown . seriously consider stay Carlton future trip NYC . 
 Dec 29 2004 	 Reservations necessarily guarantee 	 make reservation Carlton mid - November past Monday night . reconfirm reservation night prior check - in , tell everthing record . husband arrive check - in 3:30 Monday , front desk staff tell overbooke , hold room us Thirty - thirty . say ok , long queen - sized bed , book Carlton . case . although bathroom large , room tiny two twin - sized bed . thirty - thirty staff say 's available ( relocate Carlton guest , ' m think ) . angry call Carlton , plus stakeout lobby , eventually compe . idea make sure reservation Carlton actually guarantee , aware may end Thirty - thirty ! 
 Dec 29 2004 	 Xmas Xtra Special 	 stay begin December 2004 reading report worried arrive stay great . my double double room exactly picture . morning coffee available foyer every morning . the reception staff friendly bellman helpful . two lightbulb blow stay change within minute call reception . clean , comfortable convenient . recommend . 
 Dec 15 2004 	 exactly describe ( great ! ) 	 travel NYC business hustle bustle holiday season , extremely difficult find inexpensive , yet nice , hotel city . read reviews hotel , proceed caution . though hotel construction ( know go ) , slight odor lobby ( typical NYC ) , pleased arrive . bell person take bag stair , hail cab next morning . staff pleasant friendly , neighborhood feel safe , consider city . room exactly photo depict website , complete marble countertop bathroom . comfortable bed , nice amenity , hot shower , work heat . room spend mere 11 hour , Carlton ideal stop business traveler look safe good night 's sleep . 
 Dec 15 2004 	 nice room good location 	 although pay premium stay Carlton holiday season , much well deal hotel could find Manhattan time year . 's top tier hotel mean good option mid range hotel look well locate comfortable room . my room nice , comfortable bed pillow comforter , large spacious room , shower tub amenity need - an room safe , iron board , toiletry , hair dryer , cable tv . view except apartment next door . copy USA Today deliver morning ( weekday ) coffee lobby . the hotel undergo major renovation noise disturb , problem elevator pretty slow , use service elevator room location make elevator even slow . lobby area pretty small , chair couple small sofas . I see one small room ( currently use single room guest bathroom ) much small room shower . sure renovate one not . the location Madison 29th , 5 - 10 minute walk Empire State Building , couple block subway . feel perfectly comfortable walk back hotel seeing show , always people around . 
 Dec 8 2004 	 fantastic hotel - great value money 	 stay Carlton 5 night 21st Nov. 2004 . offer help bag check see refurb work around we fear bad . find room ( hotel big ) delighted see luxuriously furnish room beautiful marble bathroom huge tv face bed . bed fantastic , quite amazin & quot ; Heavenly Bed & quot ; get one big chain fantastic nonetheless . book Expedia well £ 100 night ( although book five night , also Thanksgiving ) . expedia rate 3 star hotel would say room easily 4 star quality . one multi million dollar refurb fully complete time 2005 expect rating go price rocket ! advice go Carlton get good rate , particularly Refurb . anyone use New York may find room little small unless prepared spend huge sum money always get . not need big room New York not long - far much eat , see stay inside . 
 Dec 5 2004 	 Carlton great ! 	 think Carlton awesome ! recently stay Carlton Dec 3 - 5 . great ! room little bit small expect - find comfortable enjoyable ! bathroom exquisite - marble counter top huge vanity mirror ! bed extremely comfortable linen soft ! first time stay New York City - would love come back Carlton near future . staff friendly - even though go repair - clean inviting ! 
 Dec 4 2004 	 magic Thanksgiving experience 	 recently stay hotel three night Macy 's Parade . pass greatfull moment NY City Carlrton part . make early checkin 12:00pm without problem . room clean hotel close Empire State Building . bathroom clean detail make feel we paradise ( towel tender smoth ) . centrical . bed good , much .... word describe . room locate six floor think brand new one . recommend place stay 100 % . property change progress do not need great lobby excellent room . room small compare place Orlando excellent choice people want know NY City . pay $ 206 per night hotel . really good Thanksgiving weekend . 
 Dec 4 2004 	 Hotel Under - Refurbishment Yet ok 	 Carlton medium sized hotel currently undergo major refurbishment , yet would go back . arrive Carlton short walk dozen block Grand Central Station , find small lobby area crowd other check . small lobby access side Hotel give poor first impression , result refurbishment go . congestion around temporary reception help fact initially one member staff serve short wait supplement two receptionist . once check go room ( 1039 ) find comfortable , recently refurbish clean room . view room direction Madison Gardens could see top Met Insurance building . weekday receive complementary USA Today room service daily good standard . criticism bed standard double room en - suite shower bath . perfectly adequate stay . I confirm situation lift report previously . total four lift . nearest temporary reception slow hold four people leave top floor ( # 10 ) generally full , second lift describe other service lift hold people fast decorate day find use builder . final two lift yet commission . the location hotel good three block away Empire State Building 25 min walk Times Square past Macy * s. Nearest Subway station 28th Street 6 line , 1.5 block away , go straight downtown Bowling Green , order go good value money attraction Staton Island Ferry . the hotel present restaurant , in - room guide contain menu select close . two recommend block away . Café 28 , large deli ideal Breakfast ( try buffet evening poor ) Bella Napoli give good portion value , see website typical menu . do put refurbishment although cause little disturbance public area safe room disturb week . visit New York would price choose hotel . 
 Nov 30 2004 	 bad hotel NYC 	 bad hotel experience ever . use live NYC live Boston . hotel pitt .... on - line say three half star ... one star good . homeless people sleep rip sofa tiny tiny hall area calll lobby . dirty filthy condition . one desk clerk one bellman entire hotel , took forever get wait hotel bellman clerk grouchy unwelcome . not waste money .... warn .... stay SOMEWHERE else . 
 Nov 29 2004 	 stay Carlton 	 make reservation thru Expedia read post review , thus little apprehensive visit , however fret nothing . stay Marriott Marquis Doubletree Times Square past reservation location find easily acccessible centrally locate . plan take subway dark , would not suggest take N path hotel take thru Little Korea little scary . take number 6 dark , block half away hotel . within 1.5 block hotel find McDonalds , Taco Bell Dunkin donut 2 Starbucks . lot choice dinner close . good mode transportation 7 day subway / Metro card , $ 21 total , even not use full 7 day bargain . hotel , find staff accomodate . Expedia put 3 people room ( party 9 ) get tell order put 3 room would upgrade- problem room available upgrade . explain common problem thru web travel agency , course claim accountability . since room 2 bed available agree put cot room additional charge ( normally cost $ 20 $ 25 per night ) . helpful direction around town time , however time front desk understaffe . one bellman give time . PLan transport luggage alone wait peak time . room ( 901 , 905 915 ) great 3 * hotel . 901 view great bathroom ( large ) . 905 915 small bathroom good view . renovate degree inconvenience small elvator run slow . request room high floor will not find elevator constantly full friend 3rd floor . recieve daily paper timely , fresh coffee lobby every morning . fresh beautiful floral arrangement lobby nice touch 3 * hotel . renovation do price go . slight inconvenience expereince worth stay moderate rate quote . 
 Nov 25 2004 	 ok 	 stay first weekend October 04 . ok , nothing great . outside , not functional - mean many stair lead front door / desk lot luggage noone around help . ramp luggage . also since be renovate , one elevator hold like 2 people ( bag would barely fit ) take forever day get . normally take stair . Lobby non - existent , breakfast coffee available . however , room nicely decorate , small , nice bathroom though . good location close Empire State , easy get taxis . 
 Nov 23 2004 	 Carlton madison 	 book Carlton via travel agent , specify require superior room . late flight JFK arrive hotel 11 pm . get impression check room give someone else allocate . go room 3rd floor discover renovate room small curtain headboard . bed also small double bed . point reception book superior room would like move room available ask we recheck morning . rechecke 2 day offer room . however ...... although room small seem unfinished immaculate , clean bed one comfortable ! ! bath room nicely decorate great shower toiletry . it also quiet view window . one serious side floor renovation go floor week , noisy draughty time . overall ...... room ok go much .. quiet comfortable , day workman will not bother , low floor not need wait lift . I would advise phoning hotel prior arrive confirm booking request . would stay ? probably . 
 Nov 10 2004 	 pretty good get lucky room ? 	 stay Carlton 2 - 7 November . read review look though get lucky complaint room hotel general . room ( 1021 ) big enough , fully refurbish king size double bed , good storage , tv , desk marble bathroom ... have not ask upgrade pay extra , book regular room via quikbook refurbishment work go aware do not really impact we , 's part hotel cordone ground floor route door reception lift room fine . never hear noise refurbishment work , do not know that s go day 's high floor . I could see people say lift though , main guest one could hold 6 people max , get near top floor always get time stop 3rd/4th/5th floor guest unable get , especially peak time like check time noon . big service lift get though be not bad . we find coffee & amp ; tea reception ( although be not hot ) get paper delivery ( USA today ) every morning . location pretty good , three block Empire State building block 6 subway route ... 's couple nice french restaurant near subway stop 
 Nov 9 2004 	 bad hotel experience ever NYC 	 travel NYC often pleasure visit daughter college must say experience bad NYC hotel experience ever . make hotel reservation birthday celebration , reserve superior room request renovated room high floor view . arrive hotel early around 11:30 , register re - confirmed room request . assure would room view Empire State Building Madison Avenue . tell come back 3 pm room not ready . upon check - in , give small room 3rd floor view brick wall ventilation duct . bed headboard look nothing like internet picture show beautiful drapery frame head bed . contact front desk concern view location . manager tell hotel room view Empire State Building . Carlton web site however claim hotel many room view . much discussion , finally move we room 9th floor partial view . Carlton undergo major renovation 2 small function elevator long wait time . turndown service , morning paper delivery , morning coffee describe web site . call wine glass corkscrew tell hotel not . room warm resort opening window air conditioning not work . general , find staff indifferent . check , one inquirer stay ... probably good not ... 
 Nov 5 2004 	 Nice Hotel get refurbish room 	 book 4 night Oct / Nov 2004 Superior Room Queen Size Bed . know lobby refurbish read room already refurbish . when arrive tell room Queen Size Bed available , could either wait room full - Size bed . assure latter & quot ; good deal & quot ; . sadly bed far small two people average build sleep comfortably ( small standard double ) , go reception ask change . coincidentally ( ? ? ? ) Queen Size room become available . lug suitcase new room find large bed , small bathroom , peel wallpaper . what annoyed feel palm - off inferior room book pay for . we complain , offer third room . large good refurbish marble bathroom , king - size bed . fully finish picture curtain , happy accept this . we enjoy rest stay . location excellent . room quiet noise city , hotel , renovation work . staff seem indifferent other helpful friendly . would recommend Carlton ? yes book get refurbish room . 
 Oct 28 2004 	 great service great room ! 	 love hotel , be get convenient location , newly remodel , extremely clean , excellent staff , marble bathroom huge ( compare hotel ' ve stay NYC ) . definately worth $ 130 pay / night ( much cheap Metropolitan hotel , yet experience MUCH well ) . 
 Oct 28 2004 	 okay construction 	 let us clear . Carlton still rennovation . room rennovate though small decent shape . however lobby surround area 1st two floor construction . note construction cone , barrel , concrete barrier outside . staff : courteous although harry - ' m sure deal construction . elevator : slow - visit additional elevator work . alternate take freight elevator . location : be block subway get Grand Central , Union Square , Brooklyn pretty quickly . vacationer : two travel together - know standard room come double bed tiny bathroom- two people time unless one shower . business traveler : desk unless get large king room . sporadic dial - up availability - high speed - wireless . Starbuck 's wireless around corner . overall : potential ' m sure adequate hotel rennovation complete $ 200 plus night 's bit much deal give hotel city . business traveler , ' m look different ammenitie vacationer patience would okay . 
 Sep 23 2004 	 Great Hotel 	 great clean hotel . girlfriend spend countless hour search hotel would fit budget standard . Carlton Hotel fit requirement . hotel small clean ( marble bathroom ) hotel renovation distraction . staff sufficient location even well ( around block Empire State Building ) . great time NY ( seven night ) worry hotel make go back much well . would definitely recommend Carlton anyone . helpful hint : get well quote call directly hotel internet . 
 Sep 22 2004 	 total bargain 	 stay Carlton Sept. 15 20 , make choice base positive review . Hotels.com , get rate $ 139 per night , include everything . lot previous review speak spacious room huge marble bathroom , arrive , surprised find room small tv wardrobe block one window , bathroom consist plain pedestal sink shower . also , request quiet room , overlook construction site . ask front counter clerk move we big room well view , ( kind rudely ) inform we bargain room book online come large bathroom view . however , move we room much spacious outfitted furniture first one , bathroom tub marble counter , view may apartment block across street least construction site . ( Room 827 ) . room switch , happy , especially discover truly fantastic , luxury bed , nice hot shower , enough architectural detail make forget utilitarian decor chain hotel . sign bellhop one help we bag . hardly ever deal staff , efficient coolly courteous enough . room hallway definitely four - star quality , renovation , would not know unless take stair instead elevator , case run construction site low level . sign re - direct corridor back lobby , 's problem . ' ve set makeshift room vend machine pay internet access , get early enough , 's good coffee lobby . free gym street convenient , lot equipment clean bright . hotel truly central - 's subway stop right around corner 28th Street zip downtown Village uptown museum . walk Grand Central Station Empire State Building , way 5th Avenue Times Square . be also great gourmet Mexican restaurant block hotel , call Ixta . go lunch pay less would dinner delicious thing like tuna lobster tostadas , $ 12 . feel totally safe cab constantly available . one word caution get cab airport : take advice hotel staff . tell we would $ 40 - go street speak cabbie negotiate price $ 25 , include toll . New Yorkers tell we standard rate LaGuardia . ( arrive , take shuttle airport Grand Central $ 12 ; take subway , couple stop . sure get 7 - day Metrocard ) .and we switch room order get big , well one , lesson , speak ! be always worth shot . fantastic stay result . would definitely return Carlton - although feeling reno complete , will not able afford . 
 Sep 21 2004 	 Loved Carlton 	 stay 3 night August two teenaged daughter . kid 18 stay free big advantage . cheap hotel become expensive Carlton charge extra person . we love hotel ! room huge NY standard enough space & quot ; thing & quot ; two teenaged girl & quot ; must & quot ; time . linen bed way average furnish decore . pleasure return hotel busy day . the hotel block subway , around corner cheap coffee shop close Cafe28 anything want take deliver . Front desk reserve yet helpful question request extra towel pillow promptly fill . room quiet love . would stay flat ny minute ! 
 Sep 20 2004 	 nearly perfect ! bargain . safe neighborhood . 	 great ! place bargain . lobby currently renovate , understand arrive step inside , look great , room FANTASTIC . small - ish ( NY hotel room ) everything linen bed , excellent decor lovely bathroom perfect . GREAT location middle Manhattan , close Gramercy Tavern ( one NY 's good restaurant ) 4 block Empire State Building . room ( 814 ) actually view top half Empire State Building , excellent surprise first - time visitor NYC . stay - something expensive - use money saving eat well shop well ny.service woman work ( mostly phone corrdinate trip ) could friendly , boy work great get know early , big help get cab tough rush hour . 
 Sep 7 2004 	 Excellent important hotel warn 	 Carlton highly recommendable , inexpensive ( currently ) central Manhattan hotel , safe street walkable many attraction restaurant ( though good hike nearest subway stop ) . room classy GLACIAL air conditioning ( awesome ) .We stay September 2nd 9th floor room appreciable view , good dimension NYC high quality bed furnishing clearly representative four - star hotel , Carlton renovation complete ( proceed slowly surely ) . all - marble bathroom feature excellent water pressure Gilchrist & amp ; Soames toiletry . building appeal , historic facade , though appreciable common area currently ; staff efficient pleasant limit counter / window space . $ 130 hotels.com even hotel - direct rate , steal quality room even limited hotel service ( delivery outside restaurant , free access nearby health club ) operate . BOOKING CONCERN : hotel lose reservation . call confirm early day ( last Republican National Convention ) , would luck . thankfully , staff work shift we . please excercise caution book hotel . Matt moonring ( review independent MoonRings service ) 
 Aug 30 2004 	 pleasantly surprised 	 ' ve use site past trip not steer wrong yet . , figure contribute community quick review . I ' ve stay different hotel NYC one top value list . popular hotel site get rate $ 140 tax charge queen size bed Friday night girlfriend . , evidence renovation hotel ( close elevator bank ice machine room ) hotel room amazing . corner room NYC standard huge . bed extremely comfortable- everything , rest furniture- oak , bathroom- marble also nice . contrary comment read site book trip find staff courteous helpful . help we direction provide map . , like check new place , price come around would definitely go back . 
 Aug 29 2004 	 Excellent room overall 	 excellent stay Carlton . price ( $ 120 / night + 1 night free ) , Carlton luxurious - consider NYC hotel market . I especially pleased room actually look like picture - great king bed w/ down - like comforter ( huge step scratchy feel blanket hotel ) , pillow , ( think ) Frette sheet . bathroom , though small , do marble elegantly decorate . the part hotel undergo renovation . lobby small , peak time , lot people wait ( staff 2 - 3 time ) . advice check off - peak time possible . also , elevator small slow report several review . we , big deal , take stair several time . find staff neither rude particularly helpful . overall , focus big , grand lobby spacious elevator , strictly concerned w/ good , plush room , Carlton place go . 
 Aug 26 2004 	 truly pleasurable stay 	 say happy experience hotel . , room important aspect hotel stay . newly renovate room beautiful , clean nicely furnish . bed extremely comfortable . the staff nice accomodate , exception one bellhop seem pretty lax duty . will not say bellhop woud unfair let prejudge future guest . personally , exception bother least . else like ? serve coffee every morning well starbuck ! hotel nice pleasure come back busy day NYC . highly recommend . 
 Aug 10 2004 	 great Room Great Location Great Price 	 could please stay Carlton ! little nervous would like , review tripadvisor mix . 1st Anniversary July , 04 . build construction , floor complete , never hear noise construction . room absolutely beautiful rich marble counter bathroom , beautiful crown molding accent , cozy comforter ; perfect atmosphere anniversary vacation , first trip Big Apple . ( thing : elevator small slow . take stair day . ' m sure correct renovation complete . ) staff pleasant location perfect . walk Central Park , Times Square , Empire State Building . short subway ride get we Lower Manhattan Bronx . disappoint ! 
 Jul 25 2004 	 clean quiet comfy convenient affortable 	 good : - room clean , quiet , good air conditioning , comfortable condo- bathroom big , 2 people walk there- convenient location , Madison Ave/29th St , walk subway , bus , empire ... - free coffee / tea morning , good coffee- stay 6 night : $ 110 first 5 night , 6th night free- would definitely stay pricebad : - enough elevator , traffic volume low , usually problemother : - construction issue 
 Jul 23 2004 	 Rude Staff 	 little disappointed Carlton call arrive New York City 6:30am ask could check early tell could check soon 9 am , however , pull Carlton 7:30am , tell would able check 3 pm . incredibly rude whole situation . bellhop not anything ... stand . not help we huge bag hotel step even open door . finally check 11:30am ( room available ) , bellhop tell we take luggage room . rude , even make rude comment . also , pay $ 20 extra per night third person stay , however , go give one queen bed ... three people ! problem take extra money extra person , not going give extra bed . end pay another $ 25 per night extra bed . stay hotel unless not mind rude people . 
 Jul 19 2004 	 great hotel great value 	 stay Carlton May 2004 $ 150 per night 4 night Express - Res web - site . I little worried sharing double bed since ' m use queen size - double bed fine we , comfortable bed . the room little snug ( door hit bed upon enter ) fine two we . room clean nice new decor . one three elevator work ( fit 4 people ) slow time , employee point service elevator hall larger move quick . still renovate first 3 floor work never disturb we . there small store / deli block two street open 24 hour . plenty place eat within block hotel direction . subway short walk catch cab pretty easy ( except Friday early evening ) .There couple thing bother me:1 - bathroom lot waste space . sink / mirror area small two people use counter space . bathroom extra space opposite wall . use space put extra vanity - counter top , mirror outlet would nice.2- room near elevator noisy check time . could hear every suitcase roll past door . overall , go back hotel ( price still fit budget ) great visit recommend friend . 
 Jul 19 2004 	 GREAT FASTER RENOVATION 	 Carlton 's room lobby nice presentable renovation wait almost 5 hour room . offer room freshen want room sleep go Brooklyn tour . front desk nice sympathetic wait room . finally get room , hot water shower work . price room okay hope service improve . hotel management suffer finish renovation soon . 
 Jul 14 2004 	 great hotel 	 stay Carlton June 2004 boyfriend would definitely stay return New York . room well decorate clean , renovation make stay less enjoyable . despite review find staff anything helpful polite . great place . 
 Jul 12 2004 	 Nice renovate 	 Carlton great hotel . build near end remodeling process nice clean new . room big NYC standard normal size standard everywhere else . room clean , especially bathroom , everything new shiny . 
 Jul 12 2004 	 Nice hotel good value 	 stay 7 night recently @ Carlton . room spacious , quiet , clean , front - desk staff efficient courteous . renovation not problem - although be true elevator slow result . however , also find bell captain unhelpful quite rude . , bargain price pay via internet site , excellent location good hotel ' ve far lucke New York . 
 Jul 6 2004 	 nice room custumer service nice . 	 room , veey nice . unfortunate staff rude helpful . instance check bag bell boy get upset thought say check 3 bag say 4 . big deal right ? well quite upset mad tag another bag . funny job tip rude service . would recommend friend room nice , warn expect nice staff . 
 may 23 2004 	 nice place 	 stay long weekend February , 2004 . phone , fellow reservation desk quite frank room would small ; arrive , find perfect money . not large , not London small either , not New York hang hotel room . nicely appoint , tastefully walk line ornate understate . bed curtain , evoke canopy without try hard laughable ; picture wall not hotel art ; bathroom marble tile . book Hotels.com pay $ 100 / night , think reasonable it . I caveat , stress really like place mostly not bother . place nice , freshly - paint , department - store - display nice rather genuine high quality . matter fact , despite fact everything appeared do past month , thing already begin crack : cleat hold shade pull wall ; bathroom paint peel spot . thing nice right , give two year , will disrepair . guess & quot ; million dollar renovation & quot ; not go far NYC ! 
 May 21 2004 	 Pretty Good 	 stay December 03 3 night . arrival find staff efficient overly friendly . elevator terrible . not look good . however room fine . large double bed armchair , large tv dresser . bathroom excellently appoint hot water time . room spotless time clean day . stay blizzard heating superb . location quieter hotel NYC think well . sub way within block doorman happily get taxi . empire State buile particularly close Midtown Manhatten within walking distance . although sign regard renovation never disturb noise . leave find staff duty friendly doorman arrange limousine talk us airport standard taxi price 
