everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Feb 27 2006 	 highly recommend property 	 stay Park South Hotel Feb. 24 - 26 , 2006 . town family emergency want affordable property close NYC Medical Center . hope little clean room $ 200 night . pleased impressed Park South ! well $ 200 night , hotel pleasure , real gem . room , small Texas standard , adequate , clean , well furnish attractive . bed comfortable . bath attractive , modern , immaculate , nice bath product , robe dryer . staff pleasant . make on - line reservation ask extra towel blanket deliver within minute arrival without ask . hotel promise & quot ; Continental Breakfast & quot ; start 6 a.m. expect coffee donut . get coffee , juice , cereal , fruit , bagel , croissant , Danish , hard boil egg , cheese deli meat ! early every morning appreciate . recommend Park South would stay ! 
 Feb 11 2006 	 real find 	 Sister get package deal fantastic . check hotel . rest / bar ambiance ny friendly . food great continental breakfast include usual , also array cold cut . room comfortable Cali product . Great Location . hub bub midtown . place find . 
 Feb 2 2006 	 great place stay ! 	 stay Park South 3 night . visit ny mix business pleasure stay town 3 time year . first time Park South . room large ( Manhattan standard anyway ) . nice compforter . clean bathroom . free internet access business centre - definitelly bonus . free newspaper good breakfast . no street noise , apart form jetlag nothing keep we up . it be cheap place ' ve ever stay quality definitelly average ! location fine - close everything subway station close . great business traveler well tourist . recommend friend alreayd book stay there . the weird thing though ... keep get electric shock bedroom ! 
 Jan 30 2006 	 Perfect place beginner 	 much comparison shop ( prior acquaint site ) result reserve hotel December 2005 . Situated Park Lexington , 1/2 block subway station , ideal location well - acquaint Manhattan . easily walk Broadway catch subway downtown , uptown Grand Central . many ethnic restaurant close - by . street noise minimal , sleep disturbed traffic . definitely design business traveler ( thick tourist ) , hotel staff vary degree desire help appear concierge . , not expect hand hold - independent traveler basic NY question fare well . breakfast adequate start day run late . ( well bagel two door ! ) room huge NY standard precious space lose large telephone fax . bath beautiful metro , small . in - room iron board helpful would like luggage rack . bed confortable . bad thing try keep temperature regulate ; go hot cold within hour . eat restaurant ( every night ! ) . recommend hotel family would stay . try get large room . happy nice place holiday , not ask view , could try . Daily newspaper nice touch , gym nothing brag ( walk mile everyday , care ? ) definitely good combination price , location , amenity , room quality . definite yes . 
 Jan 26 2006 	 Thumbs ! 	 great value . ( group four ) upgrade Superior Double double , roomy NY standard actual view street . ( standard room typically small , otherwise fine . ) room quiet clean , bed extremely comfortable , bathroom immaculate . room furnish simple modern style . free breakfast buffet handy feature , pastry , cereal , yogurt , hard boil egg cold cut serve pleasant adjoining restaurant . ( be particular coffee , though , might want get elsewhere . ) location convenient , walkable lot place half block east side subway . good neighborhood indian restaurant within block radius great little indian gourmet store , Kalustyan 's , around corner Lexington . 
 Jan 25 2006 	 Great Hotel Great Price 	 boyfriend stay first trip NYC . hotel great ! go thier website great deal . $ 399 get , 2 night , breakfast , $ 60 credit Black Duck ( excellent dinner ) , round drink , $ 50 gift card Macys . yes room small , bed comfy & amp ; room cute . happy everything hotel . black Duck great food dinner , nice wine list . would plan stay summer ! 
 Jan 23 2006 	 Great Deal ! 	 get back weekend New York . want stay close sister 's apartment definitely close , moderately price hotel many block . the hotel 's facade ok . right Little India . get think would noisy night , fine . turn fan next night little noisy , overall , nothing complain about . clean , comfortable room . tiny bathroom - clean . small tv even small closet ( could fit anything full length ) 's NYC . want less $ 200 night ? ! also upgrade tell breakfast include , surprise . staff pleasant get email get ask could help one follow stay . so overall , good value clean place sleep . Ritz Carlton , concerned cleanliness safety ... plus moderately price experience ... good . also - behind hotel BLUE smoke . great barbeque place ! add benefit ! 
 Dec 31 2005 	 Loved Park South 	 stay four night Park South October . book web guide Trip Advisor . hotel fantastic , excellet room , good service ejoye facility ' Black Duck ' restaurant . delight live Jazz bar Friday Saturday night . would definately recommend hotel great place stay New York . 
 Dec 28 2005 	 Loved ! 	 please hotel . outside leave little something desire hey , New York . neighborhood exactly want , convenient everything staff charming . kind enough book reservation local mexican place delicious . stay . room small boutique hotel NYC ' ve pay less SFO . . . certainly worth try ! 
 Dec 19 2005 	 stay away cost 	 family get back nigt Park south Hotel . let tell I m complain type , hotel deserve give . one thing door man help luggage open door . extremely hard carry kid luggage . valet walk block back hotel fun weather bad . greet receptionist & quot ; YES & quot ; . friendly . proceed room offer help . I tell good room arrive closet size room prison like decor . a bathroom small even one person . comforter stain smell . tv pathetic size . go gym basement 12'x12 ' closet 2 4 piece equipment break . check ask stay thank business . overall place Hostel zero class . I ve stay 10 15 hotel city bad . 
 Dec 17 2005 	 Great Hotel Greatest City 	 friend stay Park South Hotel weekend getaway early December , 2005 . location great , walk distance Penn Station street 6 train stop 28th Street . room small , New York . bed comfortable , room clean , front desk staff attentive . breakfast excellent . room next elevator shaft DING lift door open / closing fun . view non existent . -the location , breakfast , courteous staff make . would consider hotel future . 
 Dec 16 2005 	 like website ! 	 much enjoy stay Park South , Executive double - room 807 , look picture website , wich impress usually website decive . overlook Crystler Building wich impressive night . Black Duck bar great , friendly staff good martini , lovey fire go beatiful xmas tree - look pretty . didint meal bar snack good . breakfast great , nice english muffin rasin toast . only bad thing teh lack hot water morning 8th floor , shower evening instead . good hotel . problem 10 block walk main area . 
 Nov 29 2005 	 fantastic place stay 	 stay Park South wife son 2nd 3rd Nov really fantastic place stay . contrary experience traveller , fast checkin . fact room register enter hotel also receive message we . probably give flght detail advance arrangement . also upgrade room superior double . room space generous Manhattan service excellent . room spot lessly clean . complimentary B / F quite ok . ice ckae order limo transfer La Guardia , get Stretch Limo ordinary limo 's price . though emberrasse get doen airport .... 
 Nov 26 2005 	 cute great location 	 enjoy amenity food Black Duck recent stay Park South . room cozy enough space , limit closet mirror . bring dvd - room come player . lot great restaurant within walking distance . reasonable parking . would definitely stay recommend friend . 
 Nov 25 2005 	 would recommend 	 choose hotel stay last wk base review site disappoint ( 1 ) room always clean everyday ( except one remedied immediately upon discussion hotel ) ( 2 ) 100 yard away subway convenient ( 3 ) good choice breakfast though continental ( 4 ) staff always hand help ( 5 ) room though small good enough ( superior double double ) would recommend 
 Nov 25 2005 	 good little hotel 	 stay Park South hotel 5 night Nov great time ! think lucky find hotel cancel original hotel beginning panic . yes hotel room small clean , tidy quiet I ve tell almost unheard New York . grumble shower room bath , would nice long day walk everywhere . yes subway right boyfriend like walk everywhere ! ! ! ! hotel staff helpful breakfast include price fantastic much like always lot . resturant bar also nice although maybe pricey side , still nice able come back relax drink crash . also fantatic resturant next door hotel call Copper Kettle , highly recommend like curry 's . probably good meal week . would definatly recomend hotel really want end day nice safe clean welcome hotel go back be exactly get . 
 Nov 21 2005 	 Small good 	 terrific little hotel lot good ammenitie great location . return business trip stay weekend husband join spend time friend live city . -- room clean up - to - date -- hotel relatively small extremely quiet anomaly NYC -- water pressure good -- continental breakfast really quite nice -- business center 3 computer email / printer access -- even small workout roomyes room small , small Manhattan unless stay Waldorf Pierre . even get infamous & quot ; room view brick wall airshaft & quot ; .I hate say NYC hang hotel room sleep really miss point . New Yorkers always apt 's small end fun thing city ( night day ) . good hotel -- clean , quiet safe place sleep nice bonus like 6 - subway corner , trust extremely useful . would stay Park South certain next time visit NYC . 
 Nov 5 2005 	 small room good value 	 room small , even uncomfortably small . small size mean little storage space spot coffee maker fridge . result , find tripping suitcase lot constantly go corner deli coffee cold drink . say , majority NYC hotel room tiny , could pay lot without get much additional space return . think room size fair value . beyond room size , happy aspect stay . staff friendly . hotel clean . ' large continental breakfast available downstairs everyday extra charge . but good feature hotel location . typical NYC tourist might frown location ' next major attraction . experience subway rider appreciate stay virtually top Lexington line , allow quick access Greenwich Village , Chinatown , Little Italy , Grand Central ( shuttle Times Square ) , Met , Central Park . St. Patrick ' Rockefeller Center also block lex line . overall , find room around $ 200 night , would recommend reserve NYC trip . 
 Oct 29 2005 	 Tinniest Rooms 	 book overnight stay Park South Hotel expedia . call hotel directly confirm reservation day stay October 24 , 2005 , reservation problem . check hotel 4:00 pm , check - in go quick smooth . go directly room 6th floor , open door bump bed . far small room stay New York City . find room clean , wife , would bump . bathroom clean , however , smell seem seweage type smell , could certain . bathroom small shut door use shower . television 19 inch , HBO , movie demand like . bed clock alarm use problem . continental breakfast hotel restaurant include price room , simple , good enough , bagel , toast , hard boil egg , cereal , juice coffee . Quick easy . check breakfast trouble . find hotel convenienct business location , experience problem hotel , would stay price pay expect large room receive . 
 Oct 24 2005 	 comfortable hotel solid location 	 stay Park South three night last week . friendly front desk staff doorman . excellent complimentary breakfast . tastefully decorate room . hotel close great restaurant ( check Murray Hill / Union Square section Time NY 's web site suggestion ) 6 line . room available Saturday night , book room nearby Shelburne Murray Hill ; not impressed . would definitely stay Park South . 
 oct 22 2005 	 Elevator Room 	 stay hotel 6 night book via internet consult traveladvisor site . unfortunately , size location room crux problem . room tiny . queen size bed desk / chair tv side desk furniture piece encompass entire room . husband could shower / dress time absolutely space move . also location room right behind elevator thus noisy . we complain 2 occasion front desk staff try room change tell & quot ; standard room & quot ; book internet room available even wish upgrade high cost . I not feel space consider & quot ; standard room & quot ; offer unsuspecting tourist cost well $ 200 U.S. night . claustrophobic not even consider ! P.S . remainder hotel facility complimentary breakfast certainly adequate . 
 Oct 20 2005 	 crazy manager 	 book room PARK SOUTH HOTEL internet , make confirmation manager whether receive it . at beginning , everything ok . , one day , cancel book reason , cheat cancel agent , check travel agent cancel manager hotel , travel agent also surprise manager cancel reason blame guest cancel ? event disturb whole plan make another option urgently . 
 Oct 18 2005 	 Good Value 	 girlfriend stay hotel Oct 12 - 16th , 2005 visit NYC theater fun . would definitely come back . location good # 6 subway stop near corner theater district short cab ride away . do not miss good Sushi restaurant , excellent italian Wine bar good jazz Jazz Standard , three around block 27th . room clean staff helpful friendly . standard room small view like deluxe room show website , hey be NYC mainly night sleep . learn building convert hotel 4 year ago everything still new ( nice ) feel . room quiet hear anyone else around we . toilet clog one night someone snake drain 10 minute . situation easily resolve . front desk staff porter staff friendly helpful . continental breakfast simple enough get door day 's activity think nice lunch . price ( $ 200 via price line ) think good deal . would definitely go back . 
 oct 9 2005 	 Solid Hotel Good Location 	 stay Park South Hotel Mid - September find good value hotel convenient location . free breakfast big bonus great quality . hotel decor smart contemporary prove relaxing place stay vacation . value money excellent would certainly recommend stay . underground station two minute walk hotel give great access city . plenty bar restaurant close hotel close Chrysler Building , Empire State , Grand Central Macys . downside , find housekeep somewhat lazy room always clean could storage limit . prepare live suitcase day . tip : Book twin double room price standard double , get much floorspace room . well worth look . 
 oct 2 2005 	 reasonable Find 	 end month - long vacation NYC frequent visitor vibrant city , want find hotel moderately price . Park South Hotel Mid - Town South although be directly locate happen spot , half - block walk 6 subway line convenient we . first , not put look lobby . 's rather depressing lack light decor ( definitely need remodeling ) . highly recommend room face East 28th , floor 6 8 . specific adamant request view room ; call twice prior arrival willing wait available room day arrive ( hold luggage room ready ) . be worth -- get view Chrylser Building , room 707 . clean , comfortable room large window , high ceiling surprisingly quiet . non - existant closet space prepare store suitcase room corner . adequate bathroom toiletry . housekeeping service erratic ; one day not receive bath towel , call front desk quickly solve problem . strange turndown service time -- 6:00 6:30 , consider really early . ask return say , 15 minute , one come . extremely slow elevator ; 2 be small . fantastic continental breakfast ( bagel , pastry , cereal , etc . ) room price ; 's communal hotel restaurant ( 8:00 - 11:00 ) . also get NY Times deliver door morning . price 's good stay , not look pampered . 
 Sep 29 2005 	 Park South - helpful friendly staff 	 research travel New York , Park South highly rate . not disappoint . staff extremely helpful , place clean , well - maintain , cheerful . room bit small , , be Manhattan . all , great experience . would recommend place anyone . 
 Sep 22 2005 	 cute boutique 	 think fellow Londoners say ' this boutique hotel ' bit confused . true , hip hotel . 's lot traditional less self - conscious Hudson Muse . everything boutique : quirky , personal , intriguing , nice little extra throw . library books library dvd . high - speed internet include , continental breakfast . be also likeable neighbourhood ( dislike Park Avenue ? ) room good square - foot - per - dollar ratio Manhattan . would certainly use . move W instead ... well may hip , 's chain hotel ! personally prefer unhip boutique even hip chain . ( write lobby , check - mention helpful staff ? ) 
 Sep 13 2005 	 stay ! 	 come back 5 night stay Park South Hotel , could not fault it . the staff friendly , check check , always willing give information , answer question . the room ( 510 ) quite small , single traveller problem . room clean , bed comfortable . bathroom nice , power shower excellent . the buffet breakfast hotel restaurany wide choice thing eat & amp ; drink , never run anything , staff always hand stock up . the location pretty good well , 6 subway line , 2 minute hotel , take anywhere want go . safe walk time day night , 24 hour store close need anything . all , pleasure stay , return New York stay . 
 Sep 12 2005 	 love place 	 two girl friend stay location , happy quality hotel . clean invite . continental breakfast ( include ) good selection . something different morning . like decor room , bed quite comfortable . convenience outside hotel include drug store , bakery , small market , many indian restaurant , McDonalds # 6 green line subway step street . great ! 
 Aug 28 2005 	 Nice 	 find hotel Orbitz Expedia review hotel 's website . feel like get really good deal , course , bit concern . however , upon arrival pleasantly surprised . really great little hotel nice bar restaurant ( although couple drink , dinner ) , computer room / office , nice , helpful staff . single queen room although swear bed seem like full . , comfortable bed . room bathroom quite small though luggage stuff kind take not really anywhere put . , heck , right middle Manhattan , block subway central everything . would definitely stay . 
 Aug 10 2005 	 nice 	 hausband & amp ; relative Italy stay Park South Hotel 4th & amp ; 5 t August 2005 . find hotel well locate ( eventhough front view step Hotel parking lot ) , short walk from / to Empire State building , & amp ; nice save area walk night . comparison hotel prevoiusly stay , & amp ; accord New York standar , find room clean & amp ; spacious , bathroom bit small , well equip ( bathrobe ) , breakfast nice selection food , personel accomodating & amp ; prompt customer need , computer room well organize & amp ; equip ( fax , 3 computer , photocopy machine , printer ) . negative point room 2nd level face interior building , noisy becouse air condition machinery locate top 2nd level roof , therefore avoid room 2nd & amp ; 3th level face interior . ( 28th street busy , room facignnthe street much noise pollution ) definatly stay hotel Cleaness & amp ; great value . 
 Jul 31 2005 	 Great Hotel Great City 	 hotel nice . staff friendly helpful . room clean well maintain . block subway make get around even easy . complaint pet policy ! always stay do not dog ! 
 Jul 28 2005 	 nice personal touch 	 hotel situate good , fantastic area . block away subway station within close proximity Empire State Building . large attraction short walk away . we arrive early morning , 5th July stay 2 night . receptionist give we free upgrade say room book online quite small . room : room decent size , clean well decorate . contain fax machine , telephone voicemail , computer datum port room safe . bed comfortable large . our room overlook road car park opposite . the television reception not good , remember see internet mention free DVD 's hire . at reception list DVD 's available use , recent release , apparently even variety child 's dvd' . there not schedule room retrieve voicemail hire DVD 's , need ask reception . the bed turn evening chocolate pillow . bathroom : nice variety bath product , clean , fresh towel , hairdryer , one bathrobe , coffeemaker coffee clean glass . the bathroom compact clean nicely decorate . breakfast : offer breakfast soon check arrive early morning . continental breakfast well present good variety . cereal , 2 variety milk , 3 variety juice , fruit , cheese ham platter , croissant , bagel , muffin , bread , even poptart . tea coffee . the breakfast complimentary , save lot money serve diningroom . staff : receptionist helpful polite , chocolate available front desk . doorman always ready help hand smile . need leave suitcase store hotel last day leave evening . soon sit luggage reception doorman wiske case away give receipt . also recognise we return hotel later day instantly fetch luggage without even see receipt s- good memory . overall , lovely stay , complaint , impressed room service . 
 Jul 20 2005 	 absolutely fantastic 	 hotel fantastic . really happy choose one.immaculately clean . staff friendly one complaint paper cup breakfastbreakfast greatwould definately stay would recommend anyone go New York . 
 Jul 11 2005 	 good room great price 	 spend 2 night Park South 3 friend . at check - in , give we free upgrade , find not 2 double like reserve . quickly change room , end 2 double , ground floor , step away hotel 's restaurant / jazz club . the room cute , bed super comfy , bathroom small nicely remodel great water pressure . one small window corner look small maintenance courtyard , like not window . air conditioner noisy times , 's way unit still sleep fine . room clean housekeeping clean everything ( include dirty wine glass chocolate wrapper ) . free dvd breakfast nice touch . complaint would right lobby could hear live jazz music restaurant . luckily not go sleep late anyway not problem . on business trip NY ' ve stay Ritz Carlton , Marriott Millenium Hilton , way downtown . obviously not Ritz , still pleased room convenient location . could walk Union Square take subway right corner . close train station , cheap cab ride . ' ve stay Hotel Pennsylvania train station pay price , far , much well . can not beat $ 170 / night price . 
 Jul 9 2005 	 great location clean hotel great breakfast ! 	 girlfriend long weekend shopping trip fault hotel . location perfect , right near Empire State building middle Manhattan . room clean , large enough 2 girl load shopping bag ! breakfast morning vary large not need eat day evening . for price location hotel perfect long weekend 's shopping trip trip Manhattan . 
 Jun 22 2005 	 boutique hotel ! 	 Time Guide New York write hotel small 4 star boutique hotel recently refurbish . arrive utterly dissapointe . hotel situate noisy street opposite curry restaurant . foyer dark tired look worn look sofas die rubber plant decoration . check go double room along brown dark corridor . room tiny narrow , two bed small dirty window . bathroom even small none product one would expect & quot ; boutique hotel & quot ; . utterly dissapointe leave immediately ( book 7 night ) .Even though lose one night board leave . good fortune find W Hotel Lexington Avenue - true Boutique Hotel ( Bliss Products , lovely shower ) everything one would expect wonderful city like New York ! 
 Jun 20 2005 	 stay ! 	 return 11 night stay Park South Hotel good experience . room spacious New York - king executive - although one chair begin , housekeeping provide we extra chair small table show picture hotel website . Sandra front desk responsible - friendly helpful , Jesus ( pronounce Hey - soo ) arrange return ride LAG . also request full sized ironing board since staying long provide immediately well . closet small hook door hang long thing hanger hang hook , work . room clean smell good bathroom spotless ( picky person notice thing ) . toiletry like shampoo , conditioner , shower gel lotion provide well white robe , handy . bed comfortable sleep well every night . a / c loud enough keep husband awake use ear plug anyway . love extras like chocolate front desk ( eat many ) , free video ( watch several ) breakfast every bit wonderful review say serve 11:00 late riser . also , see sign gang activity night late 11:30 p.m. take subway everywhere appreciate handy . score restaurant every nature kind close hotel , especially Lexington Third Avenues . disappointment view Chrysler Building show Website probably would not time look much anyway . event , certainly recommend hotel would probably go back . 
 Jun 16 2005 	 fine hotel 	 June 15 , 2005I stay hotel friend 3 night room double bed . room emaculate furnish beautifully . although small , expect , extremely comfortable quiet . temperature high 80 's able keep room nice cool . bed cozy bathroom clean . staff pleasant helpful . continental breakfast incredible provide beautiful setting . although Murray Hill directly near theater district , subway access step away . feel hotel incredible value plan stay . 
 Jun 10 2005 	 WOW ! new favourite ! 	 back four - night stay Park South , ' m already prepare return ! start check - in : e - mail hotel would arrive red - eye flight . come hotel , prepared drop bag see City 3:00 p.m. check - in . amazingly , room ready ! , exactly room hope make reservation request , right extra pillow view . staff friendly helpful . seriously feel though home Gramercy Park . insider tip : instead apple lobby , Park South gi - normous bowl chocolate always fill ready rejuvenate nosh . everyone mention room size ( exec double - double generously - sized comfortable ) ; a / c ( effective quiet ) ; bed ( wonderful Sertas comforter ) . housekeeping efficient , another review say , good coffee maker tumbler cup . pillow chocolate amazing , though , make little oversight . here be huge bonus : & quot ; continental breakfast & quot ; fantastic ! luncheon meat , cheese , boil egg , yogurt , addition standard specialty bread , pastry cereal . restaurant serve fantastic food supper , well . the area convenient everything nearby subway stop great . seedy element discuss another review completely non - existent stay ( feel comfortable walk area hour day night ) , except & quot ; professional & quot ; Saturday night . the Park South new favourite ! 
 May 24 2005 	 would return 	 return four night stay Park South Hotel . overall ok . executive double double room . ok size room bathroom , small leave one bathroom , plenty towel . see room small indeed . there information room - info room service menu . give dvd library hotel really provide we list room reception . hotel generally look little tired . big disappointment inability clean room properly day . replace towel . one day do not clean two glass use . sixth floor air conditioning unit outside window mean ear plug wear night time . bed comfortable . 28th street subway station corner ( number 6 train ) McDonalds corner well - sometimes lead gang stand corner night time . this hotel class four star , would strongly disagree . return hotel . conceige Chunk really nice guy - helpful polite time . 
 may 13 2005 	 great base NY 	 stay hotel four night April 2005 . perfect world look something close midtown / central park - fact hotel prove perfect location . situated 28th Park , less one minute walk greenline subway run length Manhatten Island . prefer walk , five minute walk Flatiron Building , around 10 - 15 minute walk Empire State around 20 min walk north Grand Central Station south Greenwich Village . hotel describe ' boutique hotel ' room certainly compact . however , room enough storage space . view window non - existant ( brick wall ) expect NY unless tower block . bed , furnishing bathroom excellent . size hotel mean limited public room great bar / resturant call ' the Black Duck ' also serve complimentary breakfast ( seemingly irrespective book ) . excellent - huge choice bread , d - i - y toast , bagel , english muffin , cereal , hardboile egg , cold meat , yoghurt tea / coffee . whole system ' lay back ' , although coffee maker room easy pop collect early morning tea / coffee takeaway cup provide , return breakfast later ! pleasant slightly dark reception area , highlight bowl reception desk fill usual tired apple orange , minature Hershey 's chocolate ! also complimentary internet access ( include printer ) basement , invaluable . real complaint noise come ( shut ) bedroom window hotel airconditione / heating unit , loud make glad hang onto airline earplug . need perfect peace sleep ask high externally face room . though good choice hotel , whilst cheap , represent good value money heart NY . 
 May 4 2005 	 great place business 	 spend five night Park South April / May 2005 , find really good value money . room small , immaculate , fair - sized bathroom . receptionist porter friendly helpful time . free dvd available reception want , basement complete free business centre , high - speed internet access , printing . really useful . breakfast good - bit low fruit ( lot apple banana ) lot lot cheese , muffin , bread , bagle , etc . free newspaper also nice thingand location great - twenty yard subway , surround great indian restaurant ( McDonalds road really need one ! ) , easy walk place like UN , Empire State , etc . will definitely stay again . oh , book quikbook , problem book . 
 Apr 7 2005 	 good value friendly place stay . 	 book two room directly hotel internet site- oversize king double double . choose package include Broadway ticket , meal Black Duck free drink bar . room spotlessly clean , extremely comfortable spacious enough need . storage space limit ample four night stay . Black Duck serve good food - even prepared special vegetarian meal . complimentary breakfast ample great selection pastry , muffin , cereal , cheese , meat , fruit egg . theatre ticket first class seat Orchestra stall - market value $ 100 per seat . hotel close subway line make get around fairly simple . huge add bonuus reduction give rate have already book save we almost $ 200 . stay . 
 Apr 6 2005 	 Little Gem big city 	 return big Apple stay seven night Park South locate close subway Lexington Ave . line 6 give easy access Uptown ; Shops , Central Park etc Downtown , little Italy south Financial District . hotel cosy , clean , well run , good mix guest Europe , Asia USA . Breaky free newspaper big bonus set day explore Big Apple . 5.00 evening , Hotel bar come alive happy hour two buzzys evening especially weekend , jazz band play live one corner . menu tastefull adequate , however local area pepper lot good price establishment , spicey palate . room seem small city never sleep problem despite general noise NY . want stay close , top action , great choice Hotel . rate eight ten major pointer . dissapointe . 
 Mar 21 2005 	 mess reservation 	 clean , decent , tiny , tiny room . okay location fairly quiet no - man 's land grammercy park murray hill area . mess resevration us- book two bed get one three people- one us sleep floor room real room floor tiny . breakfast nice nice touch screw hard really enjoy stay . 
 Mar 8 2005 	 Great Value 	 Rooms & quot ; cozy & quot ; clean , nicely appoint well maintain ... negative : heater / fan noisy view window brick wall ... closet hang clothe ... & quot ; 08 & quot ; room slightly large friend ' & quot ; 09 & quot ; room next door ... complimentary continental b - fast surprisingly ample : cold cut & amp ; cheese platter , hard - boil egg , yogurt , assorted cold cereal , bagel , muffin , bread , fresh fruit , juice & amp ; coffee serve restaurant downstair 11 a.m. ! fitness room adequate ... staff courteous helpful ! ... # 6 subway Les Halles bistro 1/2 block away ! ... check website weekend special ... overall excellent value NEW YORK CITY ! 
 Mar 3 2005 	 good location 	 spend 3 night last weekend impress . good location , easy get around city foot . go double double get bit extra space . room bathroom clean well stocked hairdryer , toiletry , bathrobe & amp ; plenty towel . breakfast help - yourself affair oodle ceral , bagal , toast , tea , coffee & amp ; juice . go back would stay without doubt . 
 Feb 11 2005 	 great breakfast ! 	 look value great breakfast place . however room lobby require bit getting use ... clean spare . Booked Quikbook upon confirm reservation ask room view . got opposite however .. room second floor back overlook interior hotel . neighborhood also seem little seedy time despite fact hotel position right top Park avenue south area . free breakfast wonderful however . remind little english breakfast european hostel really make hotel selection worthwhile . type pastry , fruit , cereal , boil egg , yogurt , bagel , granola bar .. perfect . 
 Jan 23 2005 	 LOVED ! 	 nervous booking hotel online get .. wow ! room cute cozy . tiny . nice interior design bed room . Good Service well .. however , restaurant bar remind titanic .. need help decorate room . overall , cute , easy access , would stay . 
 Jan 16 2005 	 great Find . 	 bit worry book hotel online , pleasently surprised . area great 's bit away touristy annoyance Mid - Town . great restaurant area , feel pay great food atomsphere , instead touristy hype . yes , room 's bit small , much room need . absolutely view , not matter . bed comfortable , bed feel clean luxurious , bathroom ... spotless ! Great Value . morning breakfast definately plus . 
 Jan 2 2005 	 will back 	 first time stay , employee polite helpful . room clean , nice bed great pillow . good pillow ever hotel room . continental breakfast fill , everything fresh witha nice selection food beverage . will back ! 
 Jan 1 2005 	 Happy Park South 	 return 3 night stay Park South . hotel clean bedding comfortable . hotel close Empire State building Chrysler building . love location actually middle touristy stuff ( crowd arrive New Years Eve ) area little quieter . eat L'Express one night block away good . lot good bar within block . breakfast morning include good . would definitely return . 
 Dec 31 2004 	 Loved ! 	 reiterate other ' positive comment great location ( joke 28th subway literally 20 step away quiet residential area ) , courteous staff etc would like add restaurant ( Black Duck ) serve excellent food . if travel group 2 , recommend take car service JFK - $ 49+tip - punctual clean , much well taxi . our driver also mention owner Park South also hotel Miami - would def consider stay . 
 Dec 23 2004 	 New York Bargain 	 return 4 day Christmas shopping trip NYC . want save dollar shop choose Park South . bargain . $ 200 night include breakfast superior room real value money town . spacious room , great bed , right next door subway station , friendly staff view Chrysler building . want ! downside area hotel not clean plus 1 2 room furnishing show sign wear . apart , great ! 
 Dec 14 2004 	 Excellent value money ! 	 return long weekend girlfriend - celebrate major birthday ! ! could honestly fault hotel - room exceptionally clean , good size stylishly appoint . situation excellent mnute walk subway would definitely book would recommend wholeheartedly ! 
 Dec 11 2004 	 Park South : excellent overall 	 good place 5 - hotel stay day New York ( jump place another avoid drop _ several _ extra hundred dollar floor ... ) : * excellent rate book online ( _ mean _ excellent ) * spacious room ( NYC standard anyway ) * clean * in - room internet DSL speed include rate * continental breakfast include rate * 40mt 28th street 4,5,6 metro line stopdefinitely place will want try book future trip NYC . 
 Dec 10 2004 	 depend front desk . 	 stay Park South Hotel different occasion ( book via quikbook.com ) - perhaps 5 trip . three time room excellant , beautiful , small well design clean . two time - ! arrive one afternoon give supposedly non - smoking room & quot ; reeked & quot ; stale cigarette ask move put one floor , room one percular odor well . room seem & quot ; cheap seat & quot ; fall apart , dark , dank could not wait get . nothing like room stay previous trip . afraid go back get & quot ; bad & quot ; room . 
 Dec 6 2004 	 recommend boutique hotel . 	 would return . hotel clean well appoint , well position seeing site , midtown . also pretty competitive £ 100 night incuding taxis etc . include good continental style buffet breakfast ( cheap book online 3rd party directly hotel ) . lovely big double - double room ( view great though ) . bed comfy too . restaurant bar Hotel quite pricey , food good whisky measure large . Hotel definitely value money . we thoroughly enjoy stay . 
 Nov 27 2004 	 Alternative overprice New York room 	 great place . new room . nice location . 
 Nov 23 2004 	 surely return 	 Stayed Park South 6 night month ago . excellent value money . nice clean room ; sure ask room not face room air conditioner ( difficult block noice night ) . staff helpful ( ask need ride airport , much cheap service ) , great breakfast ok bar evening . can not get well location , 50 meter 6 subway . get deal Internet , even standard rate Park South worth stay . surely return . 
 Nov 22 2004 	 Park South 	 great little hotel - within walking distance Fifth Avenue , reasonably price . room bit small , two double bed clean . downside room back air conditioning system hotel , really noisy - ideal find hard sleep ! overall though , great value money . 
 Oct 22 2004 	 like hotelbut check bill carefully 	 stay Park South couple time business . overall , hotel nice money . like : reasonable pricescomfy bed / pilowsclean roomsnewspaper deliver door dailyfree breakfast - - good ( cereal , fruit , muffin , toast , coffee ) good locationnice decordislike : 2 occassion charge bill . say , Oops suppose another room . , recommend keep tabs bar , etc . double checking bill , leave credit card statement . mini ironing board , make iron difficultsmall storage space , tiny half closet 4 drawer ( ok 1 person ) overall , still enjoy stay hotel . , price range , one nice one stay NY . 
