wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jun 16 2008 	 okay 	 stay four night early month . room incredibly cluttered much hardly room walk bed desk window . breakfast okay . ask toast morning bring table either warm cold . tell one waitstaff would well toaster breakfast room people could make own . location fine still prefer South Kensington area . 
 Jun 12 2008 	 great stay London Bridge ! 	 Booked London Bridge rating review trip advisor . got great rate gta hotel worth every penny ! hotel great location , two minute walk ( maybe less ) tube rail staion . great we , want get different area 's London day . room little small side , expect ( review t.advisor ) , modern , clean amenity , iron , hairdryer etc . staff really helpful breakfast amazing ! plenty choice fresh ! wait check take walk around area find fabulous food market round corner , Southwalk Market ( think ) miss ! perfect leisurely stroll around amazing stall sample great food sight ! oh , want fish chip later , be chippy corner 's great ask load salt vinegar ! smash ! 
 Jun 10 2008 	 Loved Hotel 	 wife stay 2 night 24/25 May find stay good , staff polite helpful , room clean good choice breakfast . ideally situate amenity , London bus river transport link service recommend use get . 
 Jun 9 2008 	 absolutely Loved London Bridge Hotel 	 extremely pleased London Bridge Hotel . think excellent value money ( though exchange rate make little high Americans ) . room bathroom excede expectation . large London standard . since hotel realatively new also clean , beautifully decorate , well insulated traffic noise air condition . I would definitely stay would highly recommend friend . 
 Jun 6 2008 	 classy 	 friend book twin room London Bridge Hotel overnight stay purpose concert O2 arena . ( reach easily tube couple minute walk away ) although room fairly small , decorate furnish high standard contain everything would need . bed super - comfy . room tea coffee make facility wide - screen tv . staff efficient friendly . buffet style cook breakfast outstanding plentyful . pay £ 91 one night -bed breakfast 2 , HotelsRus.com .I would not hesitate recommend hotel friend . 
 Jun 4 2008 	 good hotel - value money London ! 	 choose hotel base Tripadvisor review number ' dodgy ' ' over - price get ' London hotel experience previously , little apprehensive ! however need worry ! lovely clean , modern hotel . small compare large chain ( Novotel , Hilton etc ) comfortable . we check noon Sunday ( busy time check late ) & amp ; never expect room ready , pleased . room small side ( gather review norm , surprised ) 1 night , fine . fairly newly decorate , new fitting , clean comfortable . comfy king size bed , large flat screen tv , tea / coffee make facility , hairdryer , magazine , toiletry , good wardrobe space , iron etc . the position hotel brilliant . 2 minute walk London Bridge station . ( exit upper floor London Bridge mainline station - turn leave station & amp ; walk short distance downhill , leave station behind . hotel leave Bar One ! ) Situated & amp ; come area South Bank - near Borough Market . plenty area & amp ; nice walk along bank thame . hotel bar & amp ; restaurant - eat breakfast good . fresh well present . cereal / fruit / full English / pastry / toast / juice etc . will definately return . 
 Jun 3 2008 	 Excellent Hotel 	 back stay 2 night London Bridge Hotel . fantastic stay . Great Location tube 2 minute walk away . Hotel Room lovely everything need great stay . breakfast serve main restaurant really good well . great choice really nice staff . would definately stay would highly recommend . 
 May 30 2008 	 London 's good Kept Secret 	 stay hotel twice recommend friend . probably one good hotel stay London . really not want tell everyone case can not get room London , really can not fault . clean , modern , helpful staff , great breakfast , really handy borough market . people may put location - next train station exactly centre London , fair distance theatre shopping district 's south river near HMS Belfast London Bridge ( confused Tower Bridge , one tourist want visit ) . surround area also rather dark night well lit . surround pub rather good atmospheric - good like real ale ! not mind city , really recommend hotel enough . 
 May 28 2008 	 Perfect 02 arena 	 return trip London boyfriend stay London Bridge Hotel , take advantage special O2 package , cost £ 120 per night per room include full english breakfast ( excellent , buffet hot food , pastry etc ) return ticket arena cattamaran boat . hotel excellent location , near London Bridge tube , right across road Borough market worth look . overall good trip London ! 
 May 28 2008 	 Excellent Hotel 	 stay London Bridge Hotel 25th May . one good value 4 * hotel London . clean comfortable room superb buffet breakfast cater taste . get special deal , breakfast include , grab hand . 
 May 15 2008 	 never fail impress 	 return third stay London Bridge impressed . great location , room small chic , staff excellent ( ) decent breakfast boot . go London want good hotel decent price place . finally mini bar price reasonable . pay £ 16 half bottle Taittinger champagne , price local supermarket ! ! ! 
 May 14 2008 	 Great Hotel Great City Location 	 recently stay friend 2 - twin bed room . room lovely quiet . front desk staff friendly professional , concierge give great food recommendation . also , wireless internet access free ! outside great room really reasonable rate ( give London ) , real & quot ; gem & quot ; hotel location . 's street London Bridge tube station , within walk distance major attraction ! take Underground 's Piccadilly Jubilee line go Heathrow hotel hour ! definitely stay future trip ! 
 May 12 2008 	 great find 	 stay overnight hotel short weekend break . we pay £ 134 superior room , upgrade executive arrival . staff encounter visit helpful polite , notably check in / out . particularly notice hotel 's cleanliness compare London hotel similiar price . breakfast good sausage bacon far well mass produce stuff often get . perhaps come nearby Borough Market ( later ) . criticism whole experience apparent lack willingness clear away plate dish breakfast . the hotel great base visit London . seemingly little way South river , close enough walk centre city . say thet spend whole Saturday south bank anyway , 's corner London probably miss lot visitor . visit Thursday - Saturday not miss Borough Market . atmosphere wonderful much high quality food will not know buy next . pub restaurant around market provide great place sit watch world go . 
 may 11 2008 	 great hotel London weekend break 	 stop May Day weekend girlfriend . excellent location next London Bridge Station Borough Market , Tower Bridge short walk Globe , Tate Modern , etc . lovely room , modern , comfortable clean reasonable size London . great service throughout , excellent meal good value food attach malaysian restaurant . the issue find hotel . basically turn station approach come taxi rank . feel though not ok way get hotel . would certainly stay future . 
 may 5 2008 	 enjoy stay ! 	 husband two teen ( 12 14 ) stay long weekend London . we room king size bed pull sofa . criticism regular bed would comfortable teen , book room know sofa bed . room spacious enough 4 we , bathroom small clean practical . the hotel convenient - short walk London Bridge Tube station . busy area , relatively quiet . breakfast include - nice buffet comfortable restaurant seating . staff pleasant helpful , especially concierge . we also discover quite nice walk Globe Theatre . walk take boat ( ) London Eye short walk Westminster Abbey . walk direction ( east ) along Thames find nice area call Butler 's wharf great view , nice restaurant ( include Ask ate - food good , service bit slow ) . nice change busy center London ! 
 May 1 2008 	 Good Deal Great Hotel 	 spend two night head destination . 's central location proximity London Bridge stop subway make excellent location get see city . clean , well - appoint room , small US standard , quite adequate . would definitely stay . 
 May 1 2008 	 lovely stay away Room 102 ! 	 stay recently hotel boyfriend give room 102 . end corridor figured would not bother noisy neighbour . boyfriend notice high pitch noise enter room do not think would bother we . big mistake ! neither we get sleep night thank air conditioning system house next door . sound like high pitch tumble dryer . ask move next day problem . I would give everything else hotel ten ten ! 
 Apr 30 2008 	 Greta London Base 	 stay London Bridge MArch impress hotel point view location staff accomodation.i would recommend highyl anybody go london weekend . 
 Apr 29 2008 	 Excellent London Base 	 London Bridge Hotel great find - London number time previously find Hotel fit need never back Hotel twice . the London Bridge Hotel become favorite certainly back next time London . as reasonably price London Hotels room large however comfortably modern well decorate . - flat screen tv , comfortable bed spotless minute en suite . breakfast include room rate range choice extensive enjoyable . our initial concern book & quot ; wrong & quot ; side river - however soon discover arrival London Bridge area busttle interesting area plenty choice din quick snack .The hotel two minute walk Tube Station - short stroll Thames riverside walk . and feel like proper hotel helpfull friendly staff . we would recommend hotel fellow Australians look comfortable yet reasonably price ( London ) Hotel . Alan Sue Melbourne , Australia 
 Apr 29 2008 	 staff credit hotel 	 return 3 day stay London Bridge Hotel . hotel excellent convenient location minute London Bridge evening walk along floodlit Queens walk London Eye back enjoyable . easy walk anywhere city back theatre night , main line tube station adjacent hotel along taxi rank , bus stop even river boat minute away . room whilst small well equip iron board , hairdryer , safe , extra pillow bed , magazine flat screen tv make watch comfortable big cushion able comfortably watch bed . whole hotel spotless remarkably quiet consider position busy station . breakfast excellent also Georgetown restaurant eat Georgetown inclusive meal £ 39 + 10 % service charge , 20 % discount book table stay hotel . 4 course meal many choice include vegetarian excellent presentation superb , plus drink . start Singapore Sling ( well serve Raffles Singapore ! ! ) half bottle wine meal , glass dessert wine finish either liqueur liqueur coffee . good staying building ' m sure could make back underground ! ! staff real selling point hotel housekeeping staff wait staff front house staff helpful , cheerful observe go extra mile , include busy breakfast time waitress go way find phone charger guest forget , even connect 's service . fill hotel survey compliment excellent staff next post thank letter personally sign manager thank we tell we would pass compliment onto staff boss ! ! guest stay seem mix business guest , many business meeting hold leave Monday also many foreign visitor organise party travel independently . would stay unreservedly yes would recommend anyone visit London welcome convenient location . 
 Apr 25 2008 	 Fantastic London Hotel ! 	 stay London Bridge Hotel time time everything excellent ! lot feature love , be great location , staff helpful , room service fab , price reasonable , room clean comfortable there s friendly atmosphere . also , vegetarian , food selection great , something always find difficult stay hotel well , fact smoker , still room available accommodate awful habit affect guest . would definately reccommend hotel one well London Hotels pleasure stay . thank ! 
 Apr 23 2008 	 great bed nice decor 	 stay overnight business . room small size , yet feel big luxurious - nicely decorate ( warm , modern , neutral ) . great value business hotel , would stay city break weekend well ( might get bit claustrophobic week - long stay tho ) . friendly efficient service desk , concierge room service . bed one comfortable hotel bed ' ve sleep - soft featherbed top firm mattress , excellent . room service breakfast adequate price . surprised quiet give view window train pull London Bridge rail station couple hundred metre away . sound neighbour . neighbourhood not anything special 's fine place park bag get good night 's sleep , be good underground connection nearby . 
 Apr 21 2008 	 Great Stay 	 2 night stay , although easy find view room everything else excellent . helpful staff , great breakfast location good . room comfortable mod con . really enjoy Borough market good place eat nearby . would go back recommend 
 Apr 21 2008 	 Fantastic Birthday Treat ! 	 partner stay Hotel Saturday 19th April birthday treat ( Sunday ) . fault facility , room , staff Hotel general area one bit . everywhere spotlessly clean , looked recently decorate , comfortable , welcoming . bed excellent , room large fully equip , bathroom huge immaculate . breakfast superb , lot attentive staff . go full english option lot choose from . I great time , thank partner , definitely return one day . also hesitation recommend Hotel friend / colleague know visit London . I must also thank Trip Advisor , always check review stay anywhere always accurate ! 
 Apr 18 2008 	 ok stay 	 hotel average opinion . give room brick wall single window . stand bed view ok . understand hotel would even use type location guest room . front desk experience ok , breakfast good , small room , location acceptable . 
 Apr 15 2008 	 Excellent Hotel - give try ! 	 recently go London business need reasonable place stay Sunday 13th April 2008 . colleague Clare stay London Bridge Hotel must say impressive . stay Room 223 , twin room overlook London Bridge Street . bed really comfortable room clean well decorate . bathroom extra mirror ( great plucking eyebrow ponder whether botox time could impend ! ! ) fasten wall near sink . lot fluffy white towel . selection date magazine thoughtfully provide hotel along usual tea , coffee etc . wardrobe also light door open save rummage dark . also safe , iron board iron , spare blanket , pillow . staff friendly , helpful even send email visit thank stay look forward return – nice touch , whether mean ! breakfast include price , take low floor Londinium restaurant . good selection cold hot fare , fruit juice etc would offer something everyone . require taxi usually lot outside due proximity London Bridge rail station . however , noise night issue . photograph hotel website accurate would hesitate recommend hotel anyone stay London.from Ava Noliday 
 Apr 12 2008 	 Excellent ! 	 want nice luxury night away , see good review hotel make booking delux double - arrival Friday upgrade we , without request , suite . staff friendly , room bliss fab night away certainly look go back . road side hotel slightly noisey hard get car , minor thing ! Nearest NCP snowsfield , £ 16 24 hour 5 - 8 min walk away . borough market must , get early miss rush , not bit squash . 
 Apr 10 2008 	 fantastic hotel ! ! ! ! 	 return fabulous weekend break london . when usually stay London use hotel get husband workplace , long available look internet hotel similar quality , come across London bridge hotel . follow train journey london find hotel straight away . check smooth receptionist polite helpful room gorgeous bit small side ample want ( somewhere sleep get change ! ! ) . room clean modern homely include lcd tv .... return concert friday notice club / bar directly next hotel thinking room front hotel would experience noise etc we sleep like baby noise ever . breakfast buffet style usual cereal , toast , etc buffet style fantastic could not fault thing . we stay 2 night hotel declare would regular hotel stay london . would recomend hotel definately . 
 Apr 9 2008 	 beautiful hotel 	 one good , clean hotel ever stay anywhere . book hotel hotelstayuk get bargin price dissapointe . clean tidy , room gorgeous . bed dream sleep . provide amazing thing room . food great . everything quality napkin amazed ! ! ! fault . partner definately go back . 
 Apr 6 2008 	 Great Hotel 	 stay London Bridge Hotel three night theatre weekend break Easter Period . hotel great location , two minute walk tube & amp ; bus . hotel staff helpful , pleasent & amp ; courteous . spacious room clean , tastefully decorate furnished , double bed probably one comfortable slept stay hotel . breakfast high quality full english buffet style meal . definitely use hotel . 
 Apr 4 2008 	 fantastic place stay 	 come back stay London Bridge Hotel thought must write say fantastic . can not fault anything ! staff friendly helpful - nothing much trouble . room stay modern , comfortable clean . we eat Londinium restaurant evening food excellent . breakfast ! definately good hotel stay London , within price bracket look forward return visit ! 
 Mar 31 2008 	 Brilliant 	 stay two night standard room small modern extremely clean . breakfast great - lot choice ( although staff take ' refill ' hot cooked choice ) . staff really helpful friendly . location wonderful - right next Borough Market tube . would definitely stay . 
 Mar 27 2008 	 London Bridge Hotel 	 stay London Bridge Hotel 2 night St Paddy 's weekend could not recommend highly enough . staff , efficiency , cleanliness , price , room , breakfast - exceed expectation . great location direct train Gatwick . much see / locally , not miss Borough Market Thurs , Fri & amp ; Saturday . Neal 's Yard cheese shop , outstanding ! great stay & amp ; one would hope soon ! 
 Mar 27 2008 	 Excellent location - reasonable price 	 get back 3 night stay Easter weekend . great hotel good facility . excellent location -near mainline & amp ; underground station . we room service couple occasion & amp ; food good quality & amp ; hot . stayed superior room -which small side clean . we definitely back ! 
 Mar 25 2008 	 one word : Superb 	 London city trip 4 day stay London Bridge Hotel . first holiday couple enjoy every minute it . our stay hotel perfect . hotel staff great helpfull . belgian reader , book hotel jetair use special package . value money magnificent . with tube trainstation less 5 ' walk hotel , hotel perfectly locate visit London . 
 Mar 23 2008 	 little hotel everything 	 daughter stay hotel one night . pick hotel mainly closeness London Tower exceed expectation . take train London Bridget station . hotel right around corner station . room small equip safe , mini bar , iron board , tea kettle , free internet magazine . mostly non - smoking . 15 - 20 minute easy walk London Tower . London Bridge tube close by . the english breakfast good wide selection food . highly recommend hotel traveler look nice clean convenient hotel reasonable price . real find London . 
 Mar 21 2008 	 great hotel super location South Bank . 	 stay London Bridge Hotel weekend 14 - 16 March , able check 12:30 Friday leave luggage day follow checkout Sunday . difficulty find correct exit London Bridge tube station , arrive train tube make sure main railway station entrance ( look sign bus ) head across street hotel . hotel 50 metre walk station . the twin room small furnishing bathroom high standard . everything else hotel excellent . staff friendly helpful particularly dining room , breakfast first class . the hotel great location visit Borough Market ( miss ) several pleasant eatery . 's ideal base explore central London would certainly return . 
 Mar 20 2008 	 Faultless ! ! ! 	 return long weekend London , pleasure stay hotel . everything stay wonderful , staff , friendly helpful . room , clean , comfortable , modern , tastefully decorate . bathroom pleasure use , exceptionally clean , plenty toiletry towel . room service , ( sandwich ) deliver quickly , hot , fresh nicely present . breakfast morning plentiful , hot , cook well , good choice . the hotel good location get around capital , train station close proximity . plenty bar around , walk around area evening feel quite safe . we use site , select hotel stay , not disapointe would not hesitate stay recommend London Bridge Hotel . 100 % satisfy 
 Mar 20 2008 	 good value 	 first stay ' south river ' want visit Vinopolis London Eye . perfect location . hotel staff brilliant concierge know everything want know . Room immaculate upgrade superior double nominal sum . amenity great . would definitely say good value money London experience regular visitor . Jenny , Great Yarmouth 
 Mar 19 2008 	 Loved ! 	 recently pleasure stay London Bridge Hotel absolutely delight . party four staff couteous , helpful , friendly , attentive subtle presence . room high standard normal sized double twin room . decor small boutique hotel appearance , lovely high quality fixture fitting . yes , room face onto street building centre London , else could face ? problem noise area convenient public transport , bar entertainment . breakfast excellent , restaurant attractive staff also great , professional efficient . concierge reception service second none extremely helpful considerate . overall fantastic , smart , trendy place stay . highly recommend ! ! 
 Mar 18 2008 	 Lovely Hotel Great Location 	 Booked Weekend Deluxe Package hotel include deluxe room 32 plasma tv , fruit , chocolate bottle wine . also include package 2 course meal champagne outstanding . hotel staff friendly helpful . location next London Bridge Station , noise hear train . go theatre do not use underground , use overground train Charing Cross Station take 5mins . hotel ideally locate London Eye , take walk along Embankment much see great view London . highly recommend , can not wait go back . 
 Mar 15 2008 	 Avery good experience . 	 spend four night London Bridge hotel begin March . hotel well place transport link despite busy area hotel room lovely quiet . the staff courteous helpful felt welcome . at breakfast food service high standard generally impressed cleanliness tidiness hotel . we get bit old cope London hotel like might persuade we return . 
 Mar 12 2008 	 business orient hotel 	 popular business hotel Thames City close good bar dine Borough Market area . it hard get room , need book well advance . high end spectrum area , room well competition . only negative bar rather small cater one large group . 
 Mar 11 2008 	 Excellent London Bridge Experience 	 stay anniversary last Nov , deluxe room , spacious luxurious , cd player , i - pod dock , fruit , robe etc . room also walk - in wardrobe / dressing room . nothing much trouble friendly staff , well locate everything want get ( river , O2 , tube line ) , great local eatery . ' m fussy traveller , find faultless , plus good value money , especially London . definitely hotel choice future break London . 
 Mar 10 2008 	 Ok 	 stay 2 night January . room small , even european standard , bit cramp , nice view vent office building 4 metre away constantly keep blind close . lot option breakfast find many staff collect dirty plate etc . seem like every 10 second ask everything ok try whip plate away , relax leave without finish breakfast feel uncomfortable . concierge staff nice find could slightly helpful . location bit rough opinion , not feel quite safe get dark dirty side street tube station see lot wallet grind ? ? quickly scarper street hotel . go back London would look elsewhere somewhere stay . 
 Mar 6 2008 	 Fantastic ! 	 husband find hotel superb cost location . staff helpful friendly room really spacious clean . stone throw Tube station really handy . going stop definate next visit . we 3 night stay include continental breakfast get breakfast morning offer full work full english . thing food warm , could not complain . plenty choose include lovely bread . would advise anyone stay , great ! 
 Mar 6 2008 	 Great Value Money 	 although stay one night thoroughly pleasant experience . staff courteous helpful room spotless comfortable . evening try malaysian restaurant good value money . restaurant staff exemplary . would definitely stay recommend other . also conveniently situate travel train . 
 Mar 1 2008 	 clean comfortable 	 stayed teenage child weekend . room next without ask . room compact problem , clean bed comfortable . reception staff polite welcoming . breakfast enough choice good quality . would definitely stay , close tube station minimal noise train hear slightly morning . 
 Feb 26 2008 	 Excellent Hotel 	 get back London Bridge Hotel , stay many hotel London far well stay . staff friendly could enough . room spacious clean . would highly recommend hotel . 
 Feb 19 2008 	 Great Hotel Nice Staff ! 	 get back last night stay London Bridge Hotel really enjoy ( interestingly , also hear fire alarm mention previous post happen awake time , not bother we much ) room spacious unlike old London hotel excellent water pressure shower ; amenity clean well appoint ( tea coffee , robe slipper ) bathroom huge staff friendly . pay extra use internet ( 10 GBP 20 US $ ) connection break time hotel staff unable correct , though happily refund money promptly . b - f fresh varied . Location London nice easy get via London Bridge tube stop , literally around corner . try use Fitness facility next door limited hour weekend note advance ( sure separate business entity hotel , adjoin usage free hotel stay ) would hesitate stay London Bridge Hotel . 
 Feb 19 2008 	 absolutely ......................... 	 love everything hotel . comfortable , clean staff helpful . bed one comforatble ' ve sleep breakfast choice extensive . yes room small average , beautifully furnish . dinner restaurant menu choice , service food high quality . White Company toiletry add bonus , close proximity underground convenient . 
 Feb 19 2008 	 almost good 	 stay LB three night last week say box . worth pay money new room run x21 x30 . PositivesThese among large room get money class hotel London . clean bright airy absolutely huge bed great linen . lot wardrobe cupboard space . good writing desk network node want work . good clean bathroom , complimentary bathrobe slipper , first class towel . staff friendly efficient check checkout . London Bridge station major asset train Kent Charing Cross stop , - every 2 3 minute . take TUBE want go theatreland . change Waterloo Northern Line walk half mile underground interchange . instead catch train main line station ( Platform 6 ) Charing Cross 5 minute . £ 1.40 single rather £ 4 tube fare ! negativesif one new room stay first floor LA Fitness Gym . wake sound incessant drum bass play 120 decibel come floor . try ensure room connect door another soundproof conversation soon turn onto quartet . breakfast usual homogenised buffet - format crap serve London . fried egg like rubber ball scramble egg texture cavity wall insulation . ask kitchen could cook two lightly fry ( runny ) egg toast , get two golf ball trouble . make half decent double expresso ask it . I would still recommend hotel heartily , make sure book high floor eat breakfast little italian cafe round corner Borough High Street 
 Feb 18 2008 	 great hotel ! bad fire alrm system ! 	 return Saturday night hotel . hotel great find ( good way main entrance London Bridge Train Station ( be opposite ) make way even arrive Underground ) . would give excellent rating - good room , london skyline view window , flat screen tv Sky Sports , tea coffee facility , clean white chrome bathroom , comfy bed , good buffet breakfast , restaurant near - by , stay marred faulty fire system cause alarm go four time midnight half past . everyone hotel unhappy ! will probably go back , good value ( search usual hotel book website well offer going - save 50 % book hotelsdirect ) , though will hope faulty fire alarm fix ! 
 Feb 16 2008 	 great hotel business pleasure 	 second visit London Bridge Hotel good first . room excellent , modern decor , quiet clean good bathroom . staff friendly helpful . hotel excellent position tube station , train also bus station . many sight easy walk distance e.g . Tower London Tower Bridge . breakfast good plenty choice . definately stay visit London . 
 Feb 14 2008 	 Lovely London Bridge 	 stay London Bridge Hotel last weekend shopping break friend . pleasantly surprised arrival London Bridge Station find hotel literally two minute walk away . location terrific - stone throw mainline tube station add bonus also station dockland light railway quick easy way travel Charing Cross Station . short walk direction Thames Path extremely pleasant walk along Thames plenty sightseeing opportunity , bar , restaurant cafe along way . hotel modern clean . staff friendly helpful experienced difficulty stay . twin room , , modern , tidy clean . bathroom spotless , plenty storage space , bed comfortable large plasma screen tv add bonus . downside fact air conditioning little noisy night honest hard day 's shopping would taken lot keep awake ! book hotel advertise bed continental breakfast pleased find , arrival restaurant first morning , fact choice excellent - great selection cereal , fruit juice , pastry , cheese , cold meat , well cook english breakfast item - bacon , egg , sausage etc etc . overall , fault London Bridge Hotel would definitely stay future - excellent base explore city . 
 Feb 14 2008 	 not disappoint 2nd visit 	 wonderful weekend , 2nd time use hotel excellent every respect . excellent room ( especially price ) , friendly helpful staff good breakfast . super location accessibility explore part London . not miss Borough Market Sat . 
 Feb 10 2008 	 nice quality hotel 	 Excellent Hotel staff always try good client . breakfast lovely , although little cramp time . check process fairly straightforward , although word Warning . book Skoosh , double room , confirm email , however disclaimer base availability . recommendation , two guy want twin , partner need double , use another booking site , least confirm room get . hotel staff utmost accomodate we , however way could get double upgrade . other downside , close financial district , open weekend , dash across Frasers & amp ; saturday morning , find open week . this obviously fault hotel , make traveller aware . would definately stay hotel , although would book another provider direct hotel . 
 Feb 5 2008 	 friendly accomodate staff 	 book third party disappoint could not guarantee double room arrival . arrive London Bridge staff utmost ensure double room grateful . room clean comfortable . breakfast enjoyable staff friendly . 
 Feb 3 2008 	 Perfect romantic weekend 	 read review hotel , one try get . addition , breakfast inclusive rate book make considerably cheap hotel similar ( even poor ) quality . staff lovely friendly , room comfortable literally hundred pillow cushion bed , probably large room . room comfortable bit small side stay couple night . want stay week - book deluxe room . only criticism one bedside table - one side . could do two 
 Jan 30 2008 	 regular stay 	 ' ve stay time business always find good . service fine , room comfy really nicely decorate . 's good choice breakfast malaysian restaurant attach always good meal good service . location next London Bridge also handy . 
 Jan 26 2008 	 wonderful Stay London 	 stay London Bridge Hotel Business couple night arrive keen find # 6 top rate hotel London accord Trip Advisor like . I disappoint , check - in check - out experience fantastic . check - in breeze allocate Room 119 , nice sized room consider 's London . ' ve plenty Hotels London normally pack ' Box Room ' . size room enable fit two extremely comfy single bed , desk chair , spacious cupboard nice large LCD Television wall . decour also nice room clean . although room face main road , double glaze window job keep unwanted traffic noise night . aside Room description , rest hotel nicely lay . restaurant , use breakfast good offer nice array food start day . the Hotel around corner London Bridge Railway / Underground Station 's easy get heart London via many mode transport stay . the minor criticism would hotel not proper resident bar within , least not find one - small bar facility lobby reception staff look need drink . London place short bar within short walking distance . fact nice bar next door hotel ( Borough Bar ) , unwind hard day work join rest City worker early evening drink . alternatively , try ' the Barrowboy Banker ' , typical East end pub could easily ' Queen Vic ' eastender ! ! overall , hotel make stay London memorable trip time take mind fact actually work day . I would definately stay hotel London future . 
 Jan 25 2008 	 excellent experience 	 well situated hotel , excellent travel link rail / tube throughout city . the hotel modern clean exceptional decor facility . bedroom high standard large comfortable bed . breakfast provide relaxed atmosphere offer varied selection . staff friendly willing assist request . highly recommend visit future . Susan Hudson- Newcastle upon Tyne 
 Jan 22 2008 	 touch class 	 family - 4 we stay hotel last week 3 night . recommend family member stay several time . regular Tripadvisor member always look book . review always find accurate . from arrival departure service efficient courteous . room spotless , beautifully furnish touch class - interior design work well space available . traffic noise - rarity hotel London . bathroom constant hot water , excellent toiletry . breakfast choice buffet superb , staff efficient always smile . smartly attire slip shod attitude ! take care preparation table , presentation food . location good - near Underground , within walk distance many tourist sight . previous review recommend hotel discern traveller - disappointed . certainly stay hotel whenever London . 
 Jan 21 2008 	 great value hotel 	 read many favourable review book stay London Bridge January 08 . not disappoint quality hotel really could not fault . room fairly small clean , well equip modern large flat screen tv comfy bed . think warm first get figure use air conditioning fine . breakfast excellent really wide choice . staff friendly staff concierge desk helpful question . hotel right next London Bridge Station come wrong exit 's actually easy get lose ! basically need follow sign mainline station - go right station past shop exit bus station . hotel road . the location slight downside feel little far west end etc . Jubilee line close visit northern line not good access central London . say , not much hassle also great location visit Tate Modern . would probably willing forfeit central location stay know be get reliably good hotel . 
 Jan 20 2008 	 good value hotel right rate 	 Location=======2 minute foot London Bridge Tube / Rail station . convenient walk variety bar / restaurant along thame 10 minute Shakespeare 's Globe theatre - well worth visit evening performance ! rooms======the bedroom clean decorate high standard , flat screen tv wall bottom bed . bed much soft taste would big irriation stay long ( 2 night ) . room fairly spacious , London standard , reasonable storage wardrobe . sparkle water provide free charge , although still water . bathroom high pressure shower bath , large bath towel white company toiletry . Food====We eat hotel breakfast , include room rate . breakfast room nicely present breakfast buffet good , serve usual range cook breakfast , cereal , fruit yoghurt . value money=============overall well present hotel reasonable location pay around £ 125 per night room consider good value would return . 
 Jan 16 2008 	 wow .... find 	 date : 16 January 2008reviewer : Joyce Lincoln research Trip Advisor , stay LBH week end November - surprise 40th anniversary present husband . naturally want everything perfect , ' possible . disappoint . book LBH website reasonable rate . immediately arrive pleasant Receptionist inform we ' allocate free upgrade think lovely gesture , special weekend . set we weekend . friendly Concierge look luggage bit early check . room lovely . spacious , contemporary fitting , spotlessly clean , comfy bed , flat screen tv , fridge , tea / coffee etc and … . gleam bathroom . even apple shelf seem polished ! breakfast good plenty choice , cold hot buffet . staff attentive . wish take dinner , menu sound good , think , reasonably price London , arrange Thames Dinner Cruise . ( cruise meet couple Brussels stay 5 * hotel enormous cost , disappoint … .i absolutely hesitation recommend LBH next trip ! ) lbh close LB Station ( confusing exit ) , great walk along South Bank , walk distance Eye , plenty restaurant way . despite ' location quiet . fabulous week end . particularly nice touch Manager acknowledge comment stay , feedback rare business . deserve succeed . travel around quite bit definitely stay . … we love . 
 Jan 16 2008 	 clean comfortable 	 room comfortable spacious clean . the staff extremely helpful polite . full english breakfast excellent . restaurant price quite expensive . a enjoyable long weekend . hotel close underground bus . ideal age walk problem . 
 Jan 15 2008 	 great value hotel excellent location 	 date : 30th December 2007trip Advisor Member Dunstable , englandthis second visit London Bridge Hotel . ask free upgrade hotel fully book . small room comfortable , clean well furnish stretch budget book deluxe room spacious . lovely quite hotel tuck away back London Bridge main line station superb position explore South Bank Thames easy go afield transport link doorstep . breakfast great shop around hotel essential main line station good shop . definitely make third visit hotel . 
 Jan 15 2008 	 Brilliant Hotel 	 hotel great stay many many reasons.it really really classy - room fantastic plasma tv wall , internet access , state art bathroom . ' its location something die -right beside london bridge underground go major site london eye.breakfast self service lovely - such array food , newspaper guest everything.the hotel expensive enough 5days well worth it- definately one good hotel stay visit spain , germany france , find another hotel match london bridge hotel.the lobby fantastic marble floor great restaraunt nearby many shop market street.my boyfriend really enjoy stay ! ! 
