great 	 great hotel location transport link . room large New York , clean , large clean bathroom . use iron board free safe room - would definitely return next NYC . 
 May 6 2005 	 great value large room 	 stay Broadway Plaza business April , usually stay midtown want stay close meeting location near battery park . price , beat hotel . ' ve stay $ 300 room NYC not even close size view hotel offer . stay top floor , awesome view Empire State Building . location okay , obviously cheap midtown . Macy 's seven block north , Union Square 10 block south , subway close hotel . minor issue high speed internet , , positive impression definitely stay . 
 May 4 2005 	 great value Manhattan lodging 	 plan spend time see city hang hotel , definitely great place stay . reasonable price really large room , especially NYC . relatively small hotel 27th Broadway , many reviewer refer shady area . be bad , stay Spring Break 3 college girl California . handle , anyone . concierge , Richard really friendly helpful . 
 May 4 2005 	 clean tidy comfortable 	 price , feel great deal . get clean , comfortable room NY without spend cost fly CA . recommend . 
 Apr 30 2005 	 great location room view value . 	 book 6 night stay base review Broadway Plaza tripadvisor leave disappointed result . if looking reasonably price hotel clean excellently locate .... can not see go wrong ! hotel 2 block Empire State .... close Madison Square Gardens 10 min walk Time Square . ( also v.close subway station ! ) room fresh , great view .... reasonably quiet , large , serviced maid daily top value money . for first trip New York .... do not think could get well deal . if be not slowness list fact impressive 5 star hotel time .......... Broadway would probably gain 5/5 . 
 Apr 27 2005 	 little pricey still ok 	 New York City weekend need place crash convenient area , Broadway Plaza fine . hotel nothing sneeze . however room clean averaget size New York City hotel . location good thing . 2 block Macy 's shopping outlet , short cab ride subway ride Times Square . restaurant everywhere plenty street purse hustler . so like need clean , safe place lie head worried location go . good spot . 
 Apr 24 2005 	 Good value mostly okay Great Staff 	 three night stay find review target ( Thank TripAdvisor ) . like location convenience subway . leave play Times Square , pour rain step subway back step hotel , barely get wet . room fairly large one tiny window view . layout make sense . door open right onto bed , foot bed dresser close could not roll suitcase move stay . bathroom also large toilet , sink shower bunch one wall , small shower . consider move dresser bathroom . comfortable . real plus staff ! other note Richard , consierge , also great experience desk clerk housekeeping . go breakfast room first day , many wonderful place eat NYC , worth return . overall , get ' special ' rate value good New York . PS really like neighborhood day , not much around evening . 
 Apr 18 2005 	 Neighborhood definitely Sketchy ! 	 return 7 day stay NYC - April 10 - 16 , 2005 mother 10 year old daughter . please actual hotel however must know neighborhood definitely sketchy ! approach every 10 foot buy counterfeit purse shady character . Saturday Sunday crowd walk street hold 10 year old close . little scared not like environment . hotel clean room big . continental breakfast convenient however would recommend go early side breakfast room small get crowd around 8:45 - 9:00 . subway close convenient . would stay price . 
 Apr 17 2005 	 great value money 	 back three night stay NYC . choose hotel base previous review , not regret . room huge ( NY standard ! ) although view ( fact window small give backyard ) , pleasant , also bathroom huge clean . continental breakfast ( rare thing NYC apparently ) ok , although - indicate previous reviewer , show 8 want take food room , breakfast lounge small . , excellent value money ( particularly manage get good rate -- pay $ 149 plus tax per night hotel website , hotel rate go NYC , bargain ! ! 
 Apr 13 2005 	 excellent stay - back ! 	 ( Family 2 adult 10 year old child ) book 9 day Broadway Plaza read review web - site . want hotel offer value money well Manhattan . also need smoking room want private bathroom . all happy stay next time visit New York first choice . some people complain hotel business district & quot ; dead & quot ; business hour . someone stay & quot ; thick & quot ; New York quite like fact could sleep relative quiet ! people think street vendor outside & quot ; pushy & quot ; try spend time place like India Egypt ! neither wife son ( matter ) ever feel worried . location great sightseeing shop subway station 1 block north get anywhere need quickly . ultimately think simple question would return mention early answer resound yes ! 
 Apr 4 2005 	 great stay ! 	 come back hotel stay 11 night . nice hotel , right middle Manhattan , easy access part city . staff friendly helpful , especially clean staff respond quickly tell react allergy air freshener use , whereupon immediately quit use , rest stay . room spacious , great king - size bed . neighbourhood seem bit shady first , get quickly use , complaint room low floor , might get noise daytime . , good tourist class hotel , one hope use next trip New York ( hopefully soon ! ) 
 Mar 31 2005 	 loved view 	 visit March 2005 , travel London . wife wheelchair access great . room spacious facility excelent , even view Empire State Building . the breakfast pastry , donut , bagle coffee , always enough go round . the area look rough saw trouble night , many people , feel safe walk street night . bus stop 10 foot away run every 10 - 20 min . it 10 min Macy 's 15 esb 20 Times square , that s walk wheelchair ( note NY bus take wheelchair Grey line ) .Always book direct hotel rate room well , book early oftern get well price even advertise , stay 5 night get fuurther discount , e mail ask . 
 Mar 28 2005 	 excellent hotel 	 come back new york , stay broadway plaza 15/3/05 19/3/05 fab time . nothing staff would not make feel comfortable home . go sis bro - in - law also recommend hotel . room huge massive bed view window be not much minded , hand sister slightly small room view breath take look bedroom window could see awesome view empire estate building . morning 7 9 complimentary breakfast fresh doughnut hugh muffin bagel orange juice tea coffee available 24/7 great , kitchen quite small use take breakfast back room eat . consiage service amazing one guy name richard helpful want know anything ask , need transport back jfk leave sort we never let we luggage even put vehicle ready we . I go new york last year stay pennsylvania hotel enjoy stay do not really rate hotel definetly make right choice time , next time go nyc definetly book hotel would fully recommend anyone . 
 Mar 18 2005 	 great hotel 	 feel Broadway Plaza quite expensive , hear many bad thing cheeper hotel decide take one , indeed disappoint . the Broadway Plaza hide many non - retail shop street vendor Broadway street , tiny reception area occupy friendly knowledgable stuff . the room small , clean , sufficient need . unexpected perk pretty view Empire State Building window . complimentary breakfast good - bagel , doughnut muffin , cream cheese good jam , coffee tea juice . minus breakfast room small , may find wait ... take food room . the location superb - 1/2 block subway station , 3 4 block Empire State Building , ... well , Broadway street . feel safe neighborhood , opt hotel big apple . 
 Mar 3 2005 	 definite value money 	 stay broadway plaza 31/01/05 07/02/05 . broadway plaza mean ritz , great deal price pay . room third floor ; spacious clean ( house - keeping wonderful ! ) decor modern . view leave lot desire , lobby speak somewhat bizarrely , guest lucky enough room 7th floor one labouriously slow lift available . , ' m happy say , far negative go ... location great , broadway 27th , subway bus connection well within walk distance plenty taxi available . also , hotel quite centrally place really far away anything , make walk importantly , sightseeing , viable option . local shop cheap cheerful street seller friendly overbearing . surround street bustle day practically deserted night make great night sleep . several eatery , bar club within easy walk distance include jay - z 's 4040 bar p diddy 's justin restaurant.i will definitely stay next time visit . , great base explore city leave enough money pocket splurge thing new york city famous .. ! 
 Feb 25 2005 	 Scary Nice experience . 	 well follow review pick hotel , post come back . hotel scary location , walk block right leave Broadway get well . another note location , hotel least 6 block anything want see , 20 block Time Square theatre , expect alot walk shell money taxi . but staff hotel helpful , arrive could not find reservation desk man go call around we find accidently put husband name . 
 Feb 22 2005 	 reservation 	 book advance net , read review book already . arrive NYC 7th Feb. get cab hotel , first impression outside great . entrance two small shop check room ready . receptionist ok overly helpful , go walk around area lot quite aggresive street vendor outside hotel next couple block head uptown . room get clean seem ok , later however loud noise industrial machine drone room . rang reception , Richard consierege come check noise helpful appologetic . noise come next door report nothing could do -- -.we ask could swap room , book . long trip need rest good start trip . cut long story short use phone yellow page room ring hotel , get rate Holiday Inn Martinique Broadway . check later night- refund Plaza even offer % . email return response . Holiday Inn SUPERB area service quality , surrounding , food , location , customer service etc . save day , Broadfway Plaza ok basic business stop without frill family trip think . neighbourhood feel intimidate Manhattan find generally safe ease . Richard feel sorry good , pity staff live . NYC great place visit back soon ( Holiday Inn ) . also non smoking room Broadway Plaza smell smoke land outside . 
 Feb 20 2005 	 Nice hotel great view . 	 stay 13 night march 03 . great location . 10 min Macys empire state buliding . subway right outside hotel . get room 10 th floor beautiful view . nice big clean room . 
 Jan 29 2005 	 good hotel convenient location 	 return 4 night stay . reviewer point , area seem bit dodgy first - street trader day pretty quiet night - not problem . must admit , 'd female , may find little intimidating . hotel 10 minute walk Macy 's , 15 min Empire State . 's also subway one block away . , like , be newcomer NYC , would recommend read subway system first use small station like one start - would not want anyone repeat comedy error experience big station 34th Street ! staff hotel great - friendly helpful . would put request smoking room , none available , let we ashtray room . ask view Empire State , get . room not big , adequate , bed comfy . 's also maid service every day . ok , lobby not grand affair , be somewhere sit , need . breakfast consist pastry , bagel , jam cream cheese , 24 hour coffee tea facility handy . 
 Jan 19 2005 	 great little hotel great price 	 Terrific . stay Broadway Plaza 4 night mid - January , ' 05 . got great rate online . neighborhood fine -- safe & amp ; secure , one block subway . nice , small hotel . staff helpful . room huge . make reservation , put special request room two bed . got , problem . entire place spotless , include hallway . even floor elevator shine ! bathroom really big , stall shower . travel companion , sister , like bathtub , & amp ; front desk willing offer switch . decide bother , front desk personnel accommodate , especially day clerk , Trinity . one day ask direction place front - desk staff familiar . pull map & amp ; book & amp ; try good help , finally able . really go & amp ; beyond give good service . bad experience checkout doorman try get we let book car LaGuardia Airport we . try convince cab would $ 40 & quot ; & quot ; car service charge . untrue . $ 33 toll & amp ; $ 5 tip include . 
 Jan 10 2005 	 good basic hotel dodgy location ? ? ? 	 stay parent oct 04 . get room 2 double bed get really good size room , view empire state . room little basic little tatty round edge , clean get good rate . there s real reception area soeak , check desk , be great city , want sit hotel ? hall room handy little room table chair help free tea coffee 24h also pastrie breakfast . nice touch handy fuel day ahead . hotel 10/15 min walk macys bad location term distance place , however , block 2 main tourist area , lot street market sell knock good big group people hang around . do not bother we much , something aware . good hotel price , guess would not stay , many ther similar hotel choose 
 Jan 8 2005 	 Excellent ! ! ! 	 boyfriend return Broadway Plaza hotel stay 31st dec 6th Jan. people state lobby small ? plan spending holiday stand hotel lobby obviously not place ! room large bathroom , bed massive really comfortable . maid excellent free breakfast bagel , cream cheese coffee superb . breakfast room could bit biggr like take breakfast room 's problem . surround area typical New York . three block load market tradesmen cheap bag , belt scarve . busy area , litter day rubbish end quickly take away refuse . put hotel good postion ever ! turn leave Broadway come Macy 's 34th Street within 6 - 7 block , Times Square five mintue away . turn right walk Broadway past Flatiron right round corner . get subway Chinatown , Soho , Greenwich Village Lower Manhattan . perfect hotel definitley planning go year ! 
 Jan 5 2005 	 Truthfully 	 wife return Holiday Vacation Manhattan stay Broadway Plaza . stay room 1103 wonderful view Empire State Building . room , lobby , even elevator keep clean . staff helpful appreciate price . what would nice hotel restaurant , know ahead time not . subway good walking distance hotel . kudo hat Broadway ! ! 
 Dec 30 2004 	 not BELIEVE bad REVIEWS ! ! ! 	 family 4 ( two kid 10,5 ) perfectly compfortable one double hotel . subway station across street hotel , convenient . wonderful hotel great staff great cont bkfst . area middle class working neighborhood , be little lonely night , soon get use . please stay enjoy ! ! ! 
 Dec 27 2004 	 Mediocre good 	 stay May 2004 three night . clean room , lobby amenity speak , tiny room facility . little bit stay Novotel Times Square spectacular view , well room , etc . also , nearby discount store leave trash street 6 p.m. ' m sure would want daughter walk two three block stretch late night . finally , arrive hotel hour early , privilege check hour advance , sock $ 20 surcharge ! one redeem factor hotel far Times Square , Broadway theatre , etc . , many hotel simply must well . would like budget motel anywhere else . would recommend . 
 Dec 12 2004 	 improvement ................. 	 stay last Thursday . immediate area & quot ; seedy & quot ; however hotel convenient location doorman . walk Macy 's , Times Square , Rockefeller Center , 5th Avenue etc .. 24 hour parking block away 25 dollar ( reg . $ 40 ) hotel discount . staff nice . lobby , elevator , hallway spotless . room clean basic . nothing fancy . bed seem old creaky fine . linen clean 50 % polyester . towel clean could nice . bathroom clean grout around tub stain wooden windowsill shower cover mildew . bottom line : get good rate , place fine need economical place stay convenient everything . improvement place good even well . 
 Dec 6 2004 	 clean 	 stay 5 night end Nov ' 04 . find location interesting convenient . front desk staff doorman pleasant . breakfast ok , carbs weak coffee . negative would room clean . Crumbs floor check still 5 day later . extra blanket clean pillow smell . would not rush back . 
 Dec 5 2004 	 clean convenient basic cheap ... NYC ? yes ! 	 area Garment District look sketchier day night : evening arrival ( practically within walking distance Penn Sta ) find quiet urban neighborhood block Herald Square . subway conveniently block away . & quot ; grand hotel & quot ; kinda place : reception space minimal welcome awesome . great check - in , elevator fine , hallway stone - floor quiet . room huge NYC , spartan furnishing ( remind Fairfield Inn ) clean well - maintain . outlet everywhere charger , laptop , iron whatever ... big chain , take notice . bed quite firm , huge plus . bathroom smallish wear - in - use clean . WiFi slow skittish useable -- -the Website quote $ 9.95 daily charge not see one bill . hardly street noise , low - floor room front right Broadway ! amazing . I work Continental breakfast next morning 24/7 coffee service welcome amenity . checkout book another stay later month rate low decline mention ground may incriminate . place budget find , highly recommend budget business traveler 's good bet Midtown East . find much expensive dig much less satisfaction go elsewhere ' hood . 
 Nov 21 2004 	 Great Hotel ! ! 	 hotel staff fantastic , location great room fabulous . Junior Suite big enough four girl lot shop spotlessly clean . the staff friendly , efficient helpful . continental breakfast every morning . could ask for . we would highly recommend hotel . first outside look great area look dodgy problem . one bother we perfectly safe time . 
 Nov 15 2004 	 beware 	 one short item : come back room day , door lock . needless say , good experience . 
 Nov 5 2004 	 would stay every Time ! 	 husband stay hotel 4 day mid - August . location great . close everything either walk take subway . never feel uneasy walk hour day night . room large clean . actually , room massive New York . never see huge bathroom hotel , city ! continental breakfast one morning passable . agree previous comment continental breakfast area busy crowded opted go find great diner excellent service Broadway 2 egg , bacon , toast juice $ 2.50 . trek around area breakfast remain morning find great food reasonable price . service absolutely excellent maid doorman . little problem get taxi departure due doorman . gentleman persistently middle Broadway try snag one . think many taxi drive find go amount luggage .... apparently , taxi prefer go Midtown Ferry ! change tactic finally get one not tell driver go . 
 Oct 27 2004 	 great value great location 	 return three night stay . review right . hotel clean nicely design . elevator tad slow , nice clean well . location fantastic . block N R line nice park Madison Square Park . complementary breakfast really nice . coffee every morning 7 , plenty bagel , pastry , coffee juice . lot people , take back room eat . friend room even large , three nice window . room certainly large enough , nice view Statue Liberty . would stay . yes neighborhood dead dark , commercial area , never feel insecure walk alot . great value ! 
 Oct 27 2004 	 great hotel great staff 	 Broadway Plaza wonderful place stay . first time city definetly make reservation hotel . room clean , bed confortable terrific view empire state building . staff courteous helpful . hotel really act together ! 
 Oct 13 2004 	 great place budget travel 	 stay husband teenage brother four night . impressed size room ( three us comfortable ) bathroom huge ! decor nice everything clean . complimentary breakfast adequate , terribly exciting . desk staff cheerful helpful . make sure private car take us airport reasonable rate . neighborhood mostly wholesale clothing store , close night . afraid non - white people , stay home . feel perfectly safe hour , travel foot nearby subway . sure grab slice pizzeria downstairs ! 
 Oct 13 2004 	 could not ask well 	 one three female New York first time could not happy hotel . room large , clean facility need . want lot tv channel , be New York . breakfast plentiful fresh , nice tea coffee available 24 hrs . room service also affordable nice . staff always pleasant , ask view empire state building get . area may picturesque way intimidate quiet night 's peak day . return New York book back hotel . 
 Oct 8 2004 	 great hotel great staff good location 	 stay July 04 impress friendly staff , especially 2 doorman would also deliver take food door ! first glance , surround area seem shabby bit run cheap shop market stall street close 6 pm . walk approx . 2 minute find bar , restaurant shop . day area come alive market trader . room big clean ( towel linen change every day ) . also air conditioning much appreciate outside day 90 degree heat ! definitely go back Broadway Plaza 
 Oct 7 2004 	 Nice hotel terrible neighborhood 	 bad news first . hotel awful neighborhood . visit New York every year area much bad would normally expect . street filthy noisy street vendor peddler everywhere . late evening , area get quiet rather spooky . plus side , hotel room bath much nicer expect . clean problem . room come air conditioning , tv , telephone , plenty towel , hairdryer , iron ironing board . continental breakfast morning ( coffee , juice , pastry ) also nice . familiar New York , would stay . first time visitor , neighborhood might seem scary . give price , good buy . 
 Oct 1 2004 	 Marginal - a Bit Creepy 	 Broadway Plaza Par 9/27/04.-strewn garbage street , look creepy every night - yellowed , rough , thin towel , bed creaky , hard.-Staff know next nothing internet connection room . web service never work 3 days.-few tv channel , hotel want & quot ; sell & quot ; normal channel availibility like HGTV - an standard channels.-rental movie $ 14.00 plus tax etc.-Bathroom tub calk black , moldy , window edge raw even finished.-Bedspread curtain need cleaning , dark drab color too . pay little stay decent area . 
 Sep 30 2004 	 Nice Place 	 husband come home morning stay Hotel . first drive husband like area ready go someplace else . go spend 4 night . say pleased get inside . room 904 view Empire State Building . like shop wholesale item place stay . lot store around whole block . spend share store . quite night lot people walk hall way make noise . 
 Sep 27 2004 	 great fair deal ! ! 	 hotel totally worth money ! ! ( might exception NYC ) ! young couple like stay Broadway Plaza much . staff kind helpful , room huge , clean quiet , subway station block away . would recommend hotel anyone look fair good deal not eager fancy adress . the thing not like much Broadway Plaza breakfast . breakfast area small , crowded food so - so . above - stay Broadway Plaza , will good time . 
 Aug 26 2004 	 terrific place stay 	 travel New York City family vacation want stay near site enjoy city offer . apprehensive picking hotel want ensure find safe clean hotel reasonable price . read reviews site choose Broadway Plaza . excellent choice ! everything say review true . walk around corner past little desk see lobby , place clean room big . ask receive room face Empire State Building beautiful site night ! room big bathroom first rate clean . hotel ' many room per floor give apartment building feel . area busy day quite night . close 34th St. subway station corner . if look terrific hotel decent price excellent staff place ! give hotel chance enjoy . highly recommend Broadway Plaza stay upon return New York City . hope review help review other help make wise choice ! 
 Aug 18 2004 	 LOVED ! ! ! 	 hotel perfect . friend go 6 day August , think hotel clean , safe , great location middle everything . neighborhood be dangerous , deserted night . within walking distance subway , Times Square , etc . beat get price . would gladly stay . 
 Aug 9 2004 	 would definitely stay ! 	 think great hotel money . close everything . staff friendly extremely helpful give direction . room nice , excellent view Empire State Building . definitely stay Broadway Plaza Hotel next time go NYC . 
 Aug 6 2004 	 love place staff 	 friend stay touch unsure location initially ( base couple review two woman ) however reservation recommend . terrible experience previous hotel ask check couple day early guy wonderful we . good staff , wonderful large room ( level 3 12 ) , clean location ( get appear come 10 pm night ) excellent . night fall business pack go home seem bit roller door pull however Broadway , close Madison Sq garden , Empire State building , Macey 's Park Av . location really bad several hotel Times Square fact quieter . hotel location offer plenty choice bus subway . totally excellent ! staff genuinely helpful . love ! 
 Aug 5 2004 	 Great Value 	 stay Broadway Plaza 5 night July - yes area not fancy definitely unsafe interesting good bargain . hard beat subway block away easy access part Manhattan . room clean comfortable staff friendly helpful . love view Empire State ! 
 Jul 27 2004 	 dump 	 hotel situate bad area everytime come hotel watch back . close main area cheap . however go New York fo week take away trip place dive return . pay extra enjoy stay proper hotel . well walk 20 minute centre thing hovel . staff nice say girl enjoy stay . BOOK ELSE . 
 Jul 11 2004 	 great base 	 stay 10 night January 2003 extremely happy choice hotel . first trip New York idea expect - area good bad , hotel good sightseeing good value money ... one overwhelming piece advice get though ' whatever bargain , stay Pennsylvania ! ' settle Broadway Plaza mainly good deal although undecided description place claim 3 * hotel ( seem 2 - 3 * ) . staff lovely start although concierge receptionist eye we suspiciously note stay 10 day - middle January , hardly peak season importantly unbelieveably cold . room good size , decor plain seem clean cleanliness maintain staff daily . breakfast include price every morning visit , coffee , bagel pastry lay guest small kitchen one floor . ( hotel previously office block- hence large room kitchen area ) . also several vend machine build jet lag - induce craving middle night . location , first appearance , touristy even safe looking quickly get use good view Empire State bedroom . location eventually work favour . fairly central save even money walk everywhere . Downtown Financial District take 30 minute follow Broadway uptown Times Square take much less , also walk hotel Knicks game back Madison Square Garden 10 min way . get subway , right nextdoor . could not ask money . Broadway Plaza flash even try provide spacious cheap base explore magnificence New York City . ( one tip- full , hearty breakfast try diner corner 28th 5th gorge delicious pancake . ) 
 Jul 2 2004 	 Bad Money 	 other note , area & quot ; colorful & quot ; - chock - a - block street vendor day , black plastic trash bag night . however , vendor insistent ; polite & quot ; thanks & quot ; be need . panhandler ! hotel , staff pleasant , room 11th floor clean , quiet boasted view four big window Empire State Building . quite impressive . room furnishing motel - standard , a / c work well . next time go NYC probably try find something sllightly upscale environment , ( maybe street couple tree ! ) , Broadway Plaza good value opinion . 
 Jun 30 2004 	 great little place ! ! 	 stay 10 - 15 June pleasantly surprised . staff friendly helpful toward we , room great location ideal ! would definately recommend ! 
 Jun 28 2004 	 not expect much 	 stay last week read mostly glow review site . say price disappointed . not horrible , not worth $ 159 per night pay two people one room . other say , lobby without style ... daylight ; staff friendly ; location convenient ... though bit seedy . air conditioning noisy in - window type never quite cool room enough even high setting . Decor bland . think well price . 
 Jun 24 2004 	 return ! 	 hotel recommend sis - n - law . be definitely keeper ! step subway walk either direction good shopping site . be like average day Inn ( , 4 star ) 's clean place location superb ! 's pizzeria right next door ! outside window neat view street life . definitely return Broadway ! 
 Jun 18 2004 	 Great Place ! 	 great place ! neighborhood seem little dicey first , be lively crowd New York safe . room huge , immaculate , quiet great view ( importantly ) great shower . staff could not helpful friendly . hotel walk distance anywhere - walk get chance ; 's good way experience city - can not walk be go , subway block away . will definitely stay . 
 may 27 2004 	 Nice Room 	 find hotel quite nice $ 150 . room rather big clean . neighborhood scenic , safe close thing . one thing note lobby initially small need walk end see registration desk . 
 may 23 2004 	 fantastic stay 	 Stayed May 17 & amp ; 18 , 2004 . book online without luxury see place , bit take back 's initial appearance . even call try cancel reservation quite honest , bit freaked . neighborhood expect lobby ... well not really lobby speak . however , courteous staff talk cancel paint little different picture neighborhood ' m glad . room 13th floor not neighbor . view terrific ... empire State Chrysler . even well , surround appartment building water tower gigantic advertisement side give flavor authentic NYC stay . feel absolutely safe love accomodation . big room , granite ( marble ? ) floor , big bed . clean . want luxury touristy thing , book something Times Square pay bunch money . want clean , safe , close everything authentic place crash , . will come back sure . email picture . 
 May 20 2004 	 Excellent Value ! ! 	 like reviewer , girlfriend initially think ' where lobby ? ' find , walk past little desk around corner find big desk smile , friendly people man ! get room , stunned . book king size bed precisely get , plus desk , dresser , private bathroom table chair . big loungeroom home ! not get good view , want spend time look window ? worry shower next door could heard night . eh , small problem . neighbourhood fun . walk way Broadway middle night feel fine . give shot ! ! ! 
 May 12 2004 	 Fantastic Hotel ! ! highly recommend 	 two sister recently spend three pleasant night Broadway Plaza 25.03.04 28.03.04 . arrive 3 pm check - in time people front desk , try get we room unable , bag safely store away , take room return . come back sightseeing , check pleasantly surprised room similar show brochure . difference not bucket champagne ice flower bathroom - clearly not bother that . the room clean , tidy , spacious lovely view Empire State Building . ice bucket , glass tumbler , rail hang clothe ( work ) large tv cable . porter charm extremely helpful ( book tour airport car ) . okay , 27th Street nice , 2 block Macy 's area crowded review lead believe . breakfast morning great - bagel , donut , muffin , danish pastry , coffee , apple orange juice available drink well dinky little breakfast room not wish go back room eat . the staff always helpful courteous , could not wish price pay . would recommend Broadway Plaza anyone , fact , go plan return New York 6 month time , will definitely book back Broadway Plaza . 
 may 12 2004 	 great hotel 	 would highly recommend hotel . stay week April 26th - May 3rd year problem . room really big clean . ask view Empire State building get great view room 11th floor . several reviewer comment location . pay attention . mean fabulous area , completely safe . live East London feel safe normally home . look bit rough surround store wholesaler , close 6 pm , leave area feel bit deserted . however , walk 5 min uptown downtown load place eat , shop etc . 5th Ave 2 min away walk Macy 's , Penn Station Empire State build 5 min . subway one block away ( 1 min away ) . press , thing would complain elevator / lift . two , one go completely basement top floor , always busy , result we wait minute majority time want . 
 May 11 2004 	 unbelievable view Room 802 	 little take aback lobby : little desk narrow corridor lead elevator . however , greet warmly . room tiny , immaculate comfortable , window open amazing view Empire State Building entire city . misgive neighborhood . block livelier tourist- friendly block , hotel surround warehouse sweatshop . consequently neighborhood quite dead dusk , without nearby restaurant bar . 
 May 4 2004 	 great hotel 	 stay 14 - 18 April 2004 . good thing say previously hotel true - 15 year old son exceptionally large , clean room unhindered view esb . first trip NY brilliant come back every evening see build light glory comfort room ! complimentary breakfast big hit son - fresh donut , muffin , bagel , danish orange juice tap . staff also exceptional - especially doorman always ask day give we tip sightseeing every time return evening . area look rough , safe - walk every direction hotel , day night . definitely use hotel - roll next visit brilliant , vibrant city 
 Apr 23 2004 	 great place ! 	 love ! read negative review site ( almost Americans ) also positive one ( almost British / Scottish / irish folk ) little worried ... hotel great ! ! perfect location - 5 - 10 minute subway ride downtown Central Park area ! also $ 5 cab ride ! staff great - helpful luggage , parking , etc room nice . also quiet . be afraid people , especially people caucasian , might like . be open minded , be nothing like place . 
 Apr 17 2004 	 please 	 stay 4 night 29th March , bit apprehensive negative comment ( Americans ) , please everything room , well entirely pay junior suite floor 4 , view , do not bother we , huge room , infact part waste sette chair ect do not use , another table chair use great bagel muffin breakfast . do not feel scared anything ref area , agree may add true New York experience ! ! ! do not think find do not see rubbish getting put ect . ever back New York would come back , room spotless , huge , good size bathroom . will certainly recommend friend may go future 
 Apr 16 2004 	 not believe negative review ! ! 	 stay 7 night March 26th . ask room view , get one ( 1104 ) - could see Empire State bath ! bathroom huge ; size whole room stay & quot ; Habitat & quot ; . clean , big bedroom , staff overly helpful , hard miss hotel - travel Broadway 's huge billboard side building . ok , box rubbish road night , exactly imtimidating , least Mum not think ; anything amusing watch man push box around street room . subway block away , take car , could see parking lot room . Breakfast never run , find easier take back room . hot drink tap also make welcome change ! although reception look small , make sure receptionist could see everyone go hotel , stop anyone ' dodgy ' looking . start wonder exactly people expect room , money pay , want spend time NY stick hotel room , go Hilton like , budget hotel large room , hotel perfect . 
 Apr 10 2004 	 irish shopper delight 	 stay Broadway plaza 5 night March 29th . room way 10th floor . everything weary shopper could need . spacious , large bathroom , great view empire state . area seem slightly dodgey first impression walk around find people friendly . great deli 5th 28th find last day .. sure visit . lovely hotel curteous , friendly staff . will back ! 
 Mar 30 2004 	 stay somewhere else 	 price , think definitely find well hotel . picture site bit deceive . bathroom tiny two people would able stand . closet hang clothe , lobby -- everything sooo narrow , feel claustrophic . top , location absolutely horrible . not even feel safe walk around 8 p.m. get food . area dark scary night trash pile everywhere . however , must say , staff friendly courteous . help we baggage well help get we taxi time need one . 
 Mar 30 2004 	 Great Hotel 	 not put comment hotel . stay 4 night fine ; room big clean , service good breakfast basic plenty bagel start day go . true area around hotel bit dodgy two young single female hassle . hotel block Empire State building , ten minute walk Times Square Madison Square Gardens subway block away . money will not get much well . 
 Mar 29 2004 	 look deceive 	 entrance hotel easily miss tiny lobby area give feeling make terrible mistake first check in . but despair actual room quite large vrey clean . admit might lucky room ( 1203 ) great view empire state building light green St Patricks night . I find staff helpful time ask problem even find travel elevator member staff . area leave alot desire , especialy night never feel threaten subway yard away next corner . never bother daytime stall holder fact give feeling see part real new york . thing fear hotel pound put , eat wonderful doughnut breakfast . one foot note , let hotel book car return airport ( $ 45+toll+tip ) . save lot money stick traffic jam freeway meter run taxi . might even get Cadilac like . 
 Mar 17 2004 	 Area desirable 
 Feb 22 2004 	 highly recommend 
 Feb 18 2004 	 stay somewhere else 
 Jan 20 2004 	 great new york experience 
 Jan 16 2004 	 not believe hype ! 
 Nov 13 2003 	 top mark Broadway Plaza ! 
 Sep 17 2003 	 Great Hotel 
 Sep 15 2003 	 love NYC ! 
 Aug 3 2003 	 Trust ! Broadway Plaza Hotel worth ! ! 
 Jun 2 2003 	 wonderful Suprise 
 Jun 2 2003 	 ottimo ! lo consigliamo tutti ! 
 Sep 23 2009 	 c è di meglio .. 
 Aug 23 2009 	 très bonne adresse à New York 
 Jul 29 2009 	 Très bien 
 Jun 29 2009 	 valutazione broadway plaza 
 Apr 29 2009 	 recommander . tre bon rapport qualite prix 
 Dec 18 2008 	 Molto piacevole 
 Oct 20 2008 	 Très bon hôtel 
 Oct 15 2008 	 Centrale pulito e ... con colazione ! ! ! 
 Sep 17 2008 	 Très bon hôtel 
 Aug 15 2008 	 Très bon hôtel 
 Aug 5 2008 	 Il Broadway Plaza di New York 
 Jul 5 2008 	 Très bon hôtel 
 May 23 2008 	 bon compromis et tre bon rapport qualité prix 
 Mar 24 2008 	 Excellent séjour 
 Feb 29 2008 	 lo consigliamo 
 Sep 17 2007 	 Ottimo hotel OK 
 Sep 13 2007 	 Rapporto qualità / prezzo ottimo 
 Aug 24 2007 	 Dans le quarti des grossiste ! 
 Apr 3 2007 	 überraschend gut 
