recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Nov 21 2005 	 not ! 	 possibly city world unbelievably awful collection hotel . go chain hotel ( Le Meridien Inter - continental one try ny ) meet staff indifference uninspire dreariness would make manager chain cringe , choose & quot ; character hotel & quot ; invariably find something seriously wrong . algonquin exception . room give breathtakingly small , view onto hotel 's ventilation system . mini - bar ; air - conditioning noisy window - box ; internet acce ; unhelpful unfriendly staff . hotel 's public space certainly unique , wealthy - white - male atmosphere off - putting . hotel amazingly rich history neglect opportunity rub ( bedside booklet drip gruesome camaraderie give every little detail ) . plus side , hotel well locate , bed comfortable chocolate pillow . 400 $ , stay away . 
 Nov 18 2005 	 expect poor service purchase internet 	 three day . ... small room . stay bed Husband could dress . ask big room next day . refuse even though stay three day . explain 50th bithday city celebrate . think would maybe exlicit postive response , . thought refuse accomodate pay room expedia . hotel note discount , provide poor service accordingly 
 Nov 18 2005 	 Lovely Hotel ! 	 arrive back 8 night stay Hotel Algonquin would recommend highly . during stay find staff helpful always friendly , concierge especially knowledgable local reasonable bar ! location fantastic block Times Square corner 5th Avenue hotel spotless , room clean high standard daily . decor lovely New Yorker cartoon wallpaper hall hotel incredibly homely bar also classy still friendly . nothing seem much trouble staff . if pick ' fault ' tv be not great plan use great deal bar hotel pricey side , though cocktail strong ! ! ! ! plan spend time see sight New York do not want waste time travel around centrally locate hotel perfect large majority sight well within walk distance . we New York several occassion know definitely stay ! look & quot ; Matilda & quot ; hotel cat absolutely beautiful friendly ! 
 Nov 9 2005 	 romantic first trip NYC 	 warm , friendly staff seem know everything hotel surround area . super generous polite . love 2 night stay would definitely recommend know . also great Time Square couple block away . bit construction across street ( late October 2005 ) bit annoying not change great impression hotel knowledgable staff . 
 Nov 8 2005 	 Best Bed ever ! 	 place fantastic round thing miss quiet area downstairs relax fault thing . location excellent ; center nicely major attraction ( Times Square , Empire State Building , 5th Avenue , Broadway transport center ) , staff helpful friendly time plus never fail hail cab within minute leave front door . bed also comfortable ever sleep make mine home pale comparison . overall Algonquin fantastic value money . 
 Oct 31 2005 	 great hotel supremely comfortable bed ... coffee room ! 	 be look quiet , beautiful hotel excellent service , Algonquin perfect . * room small side actually average NYC . desk , window seat , flat screen tv comfortable bed ever ! * bed linen supremely comfortable - par Ritz Chicago fabulous ! * hotel staff wonderful - friendly helpful . * note another reiview , clientele old side ( mostly late 40 ) . be look place young , hip trendy hang lobby / bar , place . however , not go hotel hang hotel guest nightcap Saturday night lounge area perfect nice could actually hear talk ! * location perfect - couple block Times Square . * one detraction excellent lack coffee room lobby area . understand room space somewhat premium , nothing lobby take back room either ? be unacceptable . option sit restaurant cup ( something want ' ve wake ) , order room service ( $ $ $ $ ) walk couple block starbuck bring back . end go starbuck happy . hopefully change practice set morning coffee / tea bar lobby . be pay much room , think 's least . * overall , absolutely love hotel would return heartbeat ... would prepare morning coffee hike ! 
 Oct 17 2005 	 wonderful Stay Algonquin 	 cancel flight result stay NYC 2 night past week . hotel normally stay booked , able get last minute reservation Algonquin . staff friendly encounter year . doorman , front desk , bellman , wait staff restaurant - everyone extremely pleasant professional . really must commend Romanian bear bartender friendly , make good martini year . STIRRED without ask - treat day shake everything . compliment state & quot ; Algonquin martini always stir . & quot ; definitely kind place . I admit 50 also know would pleased hotel 20 , 30 40 year old . if find taste mature enough enjoy Algonquin favor come back . 
 Oct 5 2005 	 classy central bit stuffy 	 Stayed Algonquin 3 night September first time NYC . hotel lovely - classy . really 2 complaint - room small - nice , small ! ! oh concierge initially appear helpful offer ticket Broadway around 200 dollar - walk Ticket Booth get 2 ticket 100 dollar mamma mia . ask book us table particular restaurant ask - recommend somewhere else - state wanted & quot ; Smith Wollenskys & quot ; - come back we say reservation ..... strange hour later walk restaurant get table immediately . say , comfortable hotel would happy stay . oh love cat - matilda gem ! ! 
 Sep 28 2005 	 bad hotel price ! not waste money ! 	 okay , not understand one bit ! go site go stay & quot ; Dream & quot ; Hotel . change mind see review . now , get clarify something . 26 year old . 50 , not even read post will not apply . buddy room 19 ! young people see hotel . seem like bunch coffin - dodger congregate one location ! sorry offended statement , sum stay hotel . the good : great service , FANTASTIC bed , one old hotel city ! close midtown . the bad : one old hotel city ! tv antiquate ! room size JOKE ! pay 200 buckaroo stay matchbox . large enough rental car , would well . be fancy , technologically savvy . all , place great shut - in , old people , poet , people like wallow self pity live away civilization . absolute waste money . 200 buck night ' ve choose Dream . make decision hope review help . 50 , forget go dump ! 
 Sep 23 2005 	 Great Hotel ! 	 daughter stay Algonquin August . love hotel . everyone kind . doorman helpful polite . room clean . would stay . compare also stay Hyatt Grand Central daughter drag luggage carry luggage NOONE help we even open door we . room even clean 6:30 pm . feel like get well service Algonquin . Sooooo clean comfortable . great ambiance . Matilda cat live give homey feel . also get great deal booking online . 
 Sep 19 2005 	 Lovely Staff 	 stay boyfriend 4 day September & amp ; love ! room compact , lovely , well furnished , well equiped & amp ; enough space clothe / suitcase / shop etc . bed soooo comfy really want take home ! bathroom lovely , natural light ( unusual hotel ) room v clean . this hotel quirky , really entertain wallpaper cat ! staff helpful friendly , always say hello pass lobby help we query . I really like location able walk pretty much everywhere , Central Park Empire State Building . would definitely stay get chance . 
 Aug 31 2005 	 would def . return 	 hotel absolutely wonderful . able check early get see lobby kitty , Matilda . recieve helpful friendly information man take bag , way door . get back shop early evening , call desk get restaurant reccomendation . call ahead we , without we ask , restaurant EXCELLENT ! ! ! ! get next morning check , go next door breakfast offer umbrella way door , overcast . rave enough definately stay . * * good bed pillow ever sleep . 
 Aug 30 2005 	 like view awful ! 	 stay 2 night Algonquin friend . live New York well aware & quot ; average & quot ; Manhattan hotel room . nice not plan review read anything . Algonquin historic hotel great look perfect location tourist . wre room 407 . ( remember want avoid view make keep blind close tightly . ) upon enter hotel , attentive doorman opende door , desk staff greet we time come go resident feline , Matilda , usually somewhere nearby . ( beautiful cat social lol ) 2 elevator , large lounge dark wood furnishing dim lighting . also library borrow book place couple book magzine room well . the RoomI really like room . Manhattan standard , cramp square room rather rectangular like many . original architecture really add cozy charm wall cream white moulding . textile shade deep red , gold green traditional dark wood furnishing . ' m big fan & quot ; traditional & quot ; look , balanced nicely room not feel old all . the bed -- -ahhhhh , bed . comfortable . Pillowtop Queen size mattress complete Egyptian Cotton linen , lightweight down - type topper , mixed batch pillow include synthetic , throw bottom bed nicely coordinate carpeting , drape bedskirt . 2 chair room , nicely upholstered . arm chair desk chair writing desk . desk drawer nice selection stationery include post card , neatly arrange folder . nice closet safe , iron iron board plush bath robe behind solid wood door . ( one though . not ask second would think two . ) tv 20 & quot ; think , not mind . 's house wood armoire top tray ice bucket , glass dish candy . beneath drawer also drawer nightstand desk . bathroom spacious bathtub small hotel - size variety . toilet tall standard household toilet . nice bathroom amenity include shower gel , lotion , shampoo conditoner , shoe shine , shower cap mini shower cap hair dryer . full - length mirror bathroom door . shower nice handheld , highly polished shower wand . see sign age wear room . everything clean .. except top armoire , need dusting . hotel room service , order anything . expect high usual pricing . get ice room service , find odd . get ice front desk instead . room cozy , feel like bedroom . ceiling fan add nice touch a / c adequate . carpet bathroom floor clean never hear noise inside room guest / staff . reason give Algonquin 5 star : poolno continental breakfastterrible view roomall minor detail since common problem Manhattan hotel . 
 Aug 28 2005 	 Pleasant ( perfect ) stay ... great location though 	 room bit small noisy ( tip : ask room away elevator ! ) , overall , good experience . reasonable price , decent staff . folk well other , generally helpful sincere . it be like Vegas , stay , stay location , room . be right middle island walk 5th Ave . , Times Square . bad north south cab attraction . 's truly tourist hotel sense . WIFI internet access free lobby , nominal charge room , old , update part ( tub though room ) .The lobby bar quaint friendly . one good thing hotel . guest enjoy stay , pleasant one . probably back . might poke around Sofitel couple door , will see . 
 Aug 17 2005 	 hotel suppose like ! 	 moment walk Algonquin Hotel feel like New Yorker . establish class ' help rub , mean class ' mean fake snobbery NYC attitude . feel like ' step back time live life mean enjoy cocktail lively art conversation . hotel history , friendly staff comfortable hotel bed ' ever sleep . true , room " cozy " ' NYC want stay room ? ' beautifully appoint , great towel robe bathroom plenty fluffy pillow . Matilda . could imagine Plaza friendly feline mascot ? Puhlease . ' miss stay Algonquin want truly enhance NYC experience . stay get New Yorkers love city much . 
 Aug 16 2005 	 Best Hotel NYC 	 Algonquin Hotel absolute good hotel NYC . room bit small , bed make . sleep get bed perfect . staff collection nice knowledgable people New York . location die ! minute walk 5th Ave . , less 5 min Times Square . also walk distance Public Library , Madison Square Garden , Rockafeller Center , Trump Tower , Empire State Building . the Algonquin truley good NYC offer . 10 10 
 Jul 31 2005 	 great location ! 	 boyfriend stay algonquin 1 night . bad thing room pretty small . although ' ve never stay city nothing compare , still feel pretty tight even though deluxe queen room definately 2 people . although small AMAZING ! totally renovate , spotless wall , ceiling , clean fresh bathroom tile , nice tub great water pressure . flat screen tv satelitte cable drapery really make classy room . one thing LOVED BED ! ! EXCEPTIONALLY COMFORTABLE 6 - 8 soft BIG PILLOWS ( USUAL HOTEL PILLOW ) . air condition great remote control self regulator . also location prime . be 3 min walk time square everything , 1 min walk subway , be right center -- make quiet peaceful . definately recommend ! ! ! ! ( will add picture soon ) 
 Jul 22 2005 	 Perfect 	 daughter deluxe twin room July 17 - July 20 , 2005 . hotel spiffe since last stay late 1970 , 's real gem . build handsome cozy . entry 's tile floor dark woodwork welcoming , friendly staff . Matilda , aristocratic hotel cat , imperious amusing . lobby dim - in good way , happy place chat drink eat , fun snoop around paint upper wall carve woodwork oriental light fixture . elevator tiny funky button . open staircase top bottom building . hall New Yorker cartoon wallpaper . room door original , solid , heavy wood . bedroom small , solid well - design , clean light , room rank among favorite hotel room . window airshaft , give entertaining view 20 office worker across way daytime . room quieter city hotel room ' ve , certainly quieter new construction hotel . room front 44th Street would doubtless louder . impression hotel staff make big effort . place much clean remember . daughter ensconse lobby plot day , staff person bring various Matilda Cat trinket keep . be sell ; would stay preference NYC hotel , include St Regis Plaza . algonquin luxury class , much homey comfortable feeling like budget choice . 
 Jul 6 2005 	 laughably small room . 	 Algonquin great hotel . perfect area , hotel emaculate , historic terrific bar . however , pay low rate possible stuck room small girlfriend break laughing see . say 100 square foot ( count bathroom ) would stretch . bed take half room room service breakfast bring we hardly room walk around eat . stay many NYC hotel understand small , especially pay low rate , absurd . decor fine clean , do not know anyone would feel comfortable room small . I m sure read review people large room . would still rec . hotel though , make sure do not get stick oom . tired check could not muster engery argue big one . 
 Jun 29 2005 	 atmospheric 	 year since wife stay , honeymoon , think worth share excellent experience . imagine timeless character place never change . the 1930 's design wonderful fact wife Dorothy Parker fan make perfect place stay New York . staff friendly helpful get traditional free bottle Champagne room acceptable . location convenient too . be downside ? room small little tatty - hear since refurbishment . view window grime air conditioning unit , however stereotypical New York quite enjoy . breakfast excellent atmospheric also exhorbitant . little realise every time waiter top freshly squeeze orange juice ( frequently ) additional $ 15 bill . first day breakfast diner next door good value . I would thoroughly recommend Algonquin honeymoon stay romantic break . treat partner ! 
 Jun 23 2005 	 Algonquin A++ 	 whenever travel New York . make sure stay Algonquin . staff great room immaculate ! highly recommend hotel . 
 Jun 13 2005 	 great experience 	 love Algonquin . room nice - yes , little small side , expect old hotel ? still everything would expect , include large walk - in closet . quiet ! never hear peep neighbor street noise . staff wonderful - many , many question , always extremely helpful pleasant . also convenient theatre district , Times Square , Rockefeller Centre . definitely stay . 
 May 31 2005 	 Great Hotel 	 Hotel exceptional , stay Hotel May 14 -21 mom . room small , spend time room NYC sleep rest go . read review actually stay hotel hate say people time go alittle board truth . fall vend machine ice machine available hallway call room service glass ice . last really issue , food Hotel expensive . resturant call Red Flame next Hotel 's great price food good . hotel great place stay especially history hold ... make sure see Matilda cat , be everywhere ... visit NYC first time , please experience Subways Metro Bus get full experience NYC . also Hotel next everything , Broadway , Time Square ... look spot many Celebraties , see Denzel Washington , Chris Rock , Brad Garrett , Zach Braff , Aretha Franklin , Lawrence Fishburne , Montel Williams , cast View . 
 May 25 2005 	 wonderful Little Hotel 	 , along 7 woman stay Algonquin May 18 23 . great stay . yes .. room small clean , comfy room service spot . bed die comfortable . sleep like baby ! people wonderful , friendly always happy help question find right bus , subway last minute ticket Broadway show . read drink expensive yes true everywhere go . lobby perfect meeting place catch day , cocktail even spot celeb ... Robert Downey , Jr . location excellent ! not believe cranky people review .... research hour Trip Advisor choose Algonquin happy make perfect choice ! fantastic ! 
 May 24 2005 	 History Charm 	 anyone expect flashy grand hotel disappoint , thoroughly thrilled find Algonquin exactly professe -- charming , old - world - style hotel amid bustle Big Apple . staff always friendly helpful , legendary bar warm cozy , plenty hot water available , bed incredibly comfortable . yes - room small ( like big city hotel ) adequate size two people moderate amount luggage . well worth $ 264 night . Mathilda cat unique extra ! 
 Apr 14 2005 	 wonderful birthday .... 	 Son take NYC 50th birthday August last year . wonderful hotel . moment arrive minute leave truly nice good experience . arrive 5 hour check time , problem . staff always helpful . room nicely decorate clean . nice location seem close everything . would stay actually plan . 
 Apr 4 2005 	 Fantastic 	 return 4 night stay 13 year old son . wonderful time ! atmosphere alone worth visit . history hotel keep make well ! staff friendly helpful every time need something . lobby fill local enjoy drink meal also allow son sit read soda afternoon . Matilda cat hit everyone visable front desk - always glad take picture ! room two twin ( hear large ) disappoint ! freshly paint - look totally new ! comfortable bed pillow , clean neat , room temperature control we , bay window , lot space luggage extra . bathroom small ( stand shower ) , large desk room plenty space . problem hot water time day . lot thick towel ( skimp ) robe . can not say enough clean everything front door room . would recommend hotel anyone ' ve stay really great hotel ! 
 Mar 21 2005 	 Loved Algonquin 	 get back 5 day trip NYC . stay 2 bed suite 2 college daughter boyfriend . bedroom small - actually perfect two people . couch confortable sleep . hotel redecorate nice . enjoy busy lobby overall feel hotel . location could not well ! definately stay . 
 Mar 20 2005 	 ok room small ... 	 stay Algonquin New Year 2004/5 . hotel look impressive staff attentive helpful . food drink expensive . room small - hardly floor space . although expect much view New York bit disappointing look window brick wall ! reedeme feature stay wonderfully comfortable bed . 
 Mar 17 2005 	 Disappointed 	 usually stay Sofitel thought would give Algonquin try . will not return . arrive early evening bellman outside help bag . fight 2 door , notice bellman stand inside watching . offer help . room nice , alittle wear . feel like take front desk ' time check checking . really want stay WOW , unfortunately not . 
 Mar 10 2005 	 Gem history 	 return business trip NYC stay Algonquin 4 night . look hotel acre marble , flash light glass elevator , place . however , look relaxed atmosphere , friendly staff tastefully decorate room like . particularly impress extremely comfortable bed , great bathroom general round attention detail . contrast review room , whilst huge , decent size . place young child even teenager great 30 's ! back . 
 Mar 4 2005 	 tiny room hot water 	 would hear wonderful thing go hotel , seem though cache 's history actual experience stay hotel . my room tiny even NY standard , hadb't update time . frustrating , hot water . let run almost hour get lukewarm . take nearly hour engineer show fix hot water . great experience . 
 Feb 23 2005 	 Best Hotel experience 	 stay Algonquin 2 night December 2004 . love hotel . expect small room without view , memory & quot ; well day & quot ; disappointed . beautiful lobby , cozy luxurious , helpful friendly staff , convenient inexpensive parking across street . place drench modern literary history appeal immensely . perfect location , close everywhere want go . love hang lobby lounge , drink $ 15 cocktail ( little steep ) people watch chat friend , surf internet wireless laptop . little place young guy , guest gentrifie old couple , everyone friendly . downside , waiter little dismissive serve sister delicious $ 150 dinner roundtable room . perhaps should not open sideboard cabinet take peek inside , right next seat , within arm 's length , could not help . huge stack press white tablecloth , know . 
 Feb 21 2005 	 Algonquin 's room smallest ever stay 	 ' ve always enjoy stop lobby Algonquin drink busy afternoon . finally take plunge November stay four night . like atmosphere , room recently redecorate . honestly say never stay again . I ask big room regular tv oppose small room flat screen tv . clerk must misunderstood get flat screen tv small room . order go bathroom doorway , crawl across bed husband sitting desk . desk not use , could walk floor whole way . particularly shock size room . plan ask change , timing not work out . the thing -- dislike stay hotel can not get ice . first night come front desk , next night , bring surprised night tell person deliver go night . staff nice . 
 Feb 17 2005 	 wonderful New York Memory 	 Apprehensive return renovation , find excited anticipation akin meet long - ago love . review read entirely favorable . toss caution wind , glad . arrive late , front desk person arrange restaurant remain open delicious late night dinner dining bring key room queensize bed request . room remember , vibrant color , buttery linen , plush towel , sparkle bathroom welcome , relax water pressure shower . bed comfortable , immediately fall asleep watch new flat screen television . housekeeping efficient , replace bulb within minute . room service prompt congenial . the signature bottle water charming touch plentiful upon request . forgot read glass store around corner hotel , concierge , Kevin retrieve warm February chill sumptuous lobby , sip brandy , read one many complimentary newspaper sample sweet . although reservation Oak Room , lovely , accomodate hostess arrange table experience soon forget fabulous performance KT Sullivan Mark Nadler . luxurious leave hotel high calibre entertainment ! location central theater district , shop many restaurant . woman travel alone , safety always important . front desk staff doorman always greet personally feel comfortable . last moment , go Central Park take spectacular Gates , Cristo Jeanne Claude 's gift New York City , spontaneously buy print big carry plane . concierge arrange send arrive ! thinking stay New York , reluctant recommend Algonquin , since would like remain special place , truly feel unique hotel 's staff appreciate highly recommend jewel STILL . memorable week , hope availability return New York 
 Feb 8 2005 	 Favorite Midtown Hotel 	 Algonquin favorite Midtown Manhattan hotel , ' ve stay one time another past year . 's good hotel New York City , even good Midtown , be favorite . ? decidedly chain hotel , formula , 's prefer . gem friendly place chock full history , recent renovation enough make fastidiously clean comfortable . fast Internet connection free , like Manhattan hotel 's $ 10 day . water pressure good , bathroom excellent , towel first rate . bed , pillow sheet equal well Heavenly Bed W -- high thread count . flat , thin - panel television every room . sure , two elevator could use help , many hotel resident feline work front desk ? room service good . New York Times , Observer USA Today free every day . location convenient , get good rate 's worth stay high value provide comparison high - price competition neighborhood : Royalton , Iroquois , City Club , Millenium , W , Marriott , Hilton , Renaissance , etc . 
 Feb 3 2005 	 love hotel ! 	 stay Algonquin several time NYC return long weekend . location great , ambiance wonderful always pleased room . reviewer complain lack counter space bathroom true , hotel make lack counter space quaint , charming property . highly recommend stay . 
 Jan 24 2005 	 stay pinch 	 stay Algonquin last thirty year honestly say really coast long past reputation . whatever vestige original charm , tiny little bar right one enter , long go previous & quot ; refurbishments & quot ; history . like old matron one facelift many . no matter much , be never go fool anyone fact 's lot work do turn make eventually look even old pathetic . trip give room 611 overlook 44th Street . physically room beautifully re - decorate small ( room always ) need leave change mind . somehow manage squish twin bed however bed exquisitely comfortable ... one able get sleep . wake single digit freeze temperature shut noisy heater go sleep . problem would not heat start . call front desk within minute maintenance man come fix . fine dandy however forget getting anymore sleep on . also noise street intrusive even window tightly shut . ' m amazed poor soundproofing see hotel recently refurbish . bathroom configuration awkward virtually space one 's toiletry . call old world charming , call tiresome badly plan . staff blandly pleasant neither aid abet stay . learn long ago avoid ridiculous price drink so - so food Algonquin , ( Red Flame diner right next door hotel everyone go excellent breakfast half price hotel one ) nevertheless happy pay low internet rate . it certainly worth . 
 Jan 4 2005 	 Dorothy Parker would expect Less 	 okay , be go near Times Square good proximity side town train station , one famous hotel world ? be worth will not find many room like NYC . bed extremely warm cozy , art wall tell tale history hotel illustration depict originator Atlantic Monthly hand - write poetry Dorothy Parker letter editor Truman Capote . bathroom deep , water warm , really everything need include vintage old NYC furniture comfortable unbelievably good condition . think floor Round Table ... close round surface simple wooden leg one time host liveliest , important humorous ongoing literary dialogue world . large enough group , actually reserve table ! positively remarkable consider piece furniture store Smithsonian . one drawback : help . nice man woman waiter maid . decide waiter straight New Yorker cartoon . can not help get feel help since 1934 still get kick job . be problem . be unpleasant and/or inefficient character Front Desk . though one two friendly helpful , snobby seem put upon -- though well thing . day concierge sweet get , , promise , provide special store lengthy conversation . slightly less inocuous example poor behavior occur explain current Front Desk man man previous evening promise great rate follow night * truly . man Front Desk smirk , barely look eye , said not know happen , gentleman not promise could not help . go business stand . moment , not like other hotel much room , would ask move stuff get money back . manner postively rude discourteous . perhaps correct , colleague make promise , perhaps take colleague 's offer put , charming man could handle without disgustingly unpleasant . underwhelme discover lost piece jewelry . discover loss way another location , phone Front Desk explain miss . call , one get back , family heirloom . phone hotel find follow many short conversation seem perfunctory front desk plead check Security . neither Security Officer bother phone day . honestly , even simply say , & quot ; Miss , ' ve interview everyone , be nothing . sorry , & quot ; would disappointed feel proper attention pay . instead leave angry disenchanted . grant holiday one want work time , long be ' m together , think could bent backwards sideways bent body upwards look eye , make stay pleasant prevent complex review . though luxurious problem . be like would call downstairs , ask tea would not arrive within ten minute ( although everything cost buttload -- watch cost . one one minute phone call LA cost ten dollar ) . many moment excellent hospitality . regardless specific disparaging remark , Algonquin charming , beautiful , comfortable hotel good location . bring little attitude bag necessary , throw back Mr. Charming Pants Front Desk . Dorothy Parker would expect less . p.s . make ressie line , careful quote one rate one evening another rate another evening . get sting way insist , prior checking , change . , helpful , keep eye ball . ' m positive common practice amongst many hotel 's odd practice ethic question . 
 Jan 4 2005 	 live past reputation 	 group occupy three room four night New Year 's Eve weekend . location hotel wonderful . easy access Times Square , theater district , Rockefeller Center shopping 5th Ave . staff quite pleasant helpful . disappoint size room bathroom . say website offer rollaway bed , even tell call room one room . even though finish extensive renovation , thing still seem , well , cramp date . room three different floor none view anything rooftop ventilation unit . bed quite comfortable room quiet . think hotel try live reputation gather place long - dead famous writer many year ago . ' m historical significance , not make comfortable accomodation . think money well value . 
 Jan 4 2005 	 Comfortable NYC stay 	 wife recently return 4 - night stay Algonquin . since enjoy read review prior trip , think would reciprocate . NYC week prior Christmas , great time city . first foremost , Algonquin antithesis big - chain , homogenous hotel . relatively small , cozy inn traveler make feel welcome home . staff friendly outgoing . engage several lengthy conversation , especially Raul ( ' m certain misspelled name ) , food beverage manager . other note , pleasure duck relax lobby Algonquin long day . the hotel conveniently locate within easy walk distance several well - know attraction - Times Square , Empire State Building , 5th Avenue , Central Park , Rockefeller Center , Radio City , etc . also two subway station within block make destination within city accessible . our room ( 708 ) fairly small clean comfortable . since room somewhat tight , lobby bar become hangout - plenty table chair , good food beverage , newspaper , high - speed wireless internet service . my critical observation would price food beverage lobby bar . may pay bottled beer ( $ 7 ) simple coctail ( $ 14 ) not remember when . all , Algonquin enjoyable stay . would consider next trip many , many great alternative . 
 Jan 4 2005 	 like cozy Bed Breakfast NY ! 	 not sure exactly would find arrive . never book hotel New York . search web , one seem like kind place stay . arrive little early nice welcome . able check early , four hour drive , nice could relax bit head adventure city . hotel lobby lounge area dim light cozy . sit glass wine romatic . room size average bedroom - real big , nice . furnishing replicas early 1900 's . good way describe - like small town cozy Bed Breakfast . peaceful back main drag , yet block Times Square , Fifth Avenue , Broadway , etc . parking right across street great . go back , definitely stay . nice stay ! 
 Jan 3 2005 	 Ambience friendly staff nice room good bed central 	 Stayed 21 - 26 Dec 2004 . contrary previous reviewer , delightful central hotel exude ambience history personal friendly . be like invite someone 's gracious old home . always nice return clean , neat room warm , welcome quiet . room 904 precise . small like NYC hotel room comfortable bed good night 's sleep . flat screen hd tv plenty channel watch get really late tramping street . highly recommend . also , recommend checking show BB king Bar Grill 42nd St. $ 15 two half hour tribute beatle cabaret environment . fabulous . would cost $ 80 Las Vegas . carmine good place eat like huge meal good drink . red Flame next door hotel ideal quick cheap breakfast . 
 Dec 26 2004 	 Loved hotel 	 son stay five night December 2004.we love newly - renovate decor , tastefully do , find staff friendly helpful . room good size , large ensuite shower walk - in cupboard hang rail iron / iron board safe . we would definitely go back , add bonus central , could walk Times Square many attraction . it get five star we ! ! 
 Dec 24 2004 	 tiny depressing room - horrible value 	 one unpleasant hotel ever stay . hotel 's website , room look charming . room far charming . first , room small hotel room small , need intelligently design . one . room small space badly use place put suitcase next door , mean squeeze room . bathroom miniscule , counter space combination tub shower . bed uncomfortable - much soft -- pillow horrible . room dark , overlook airshaft , not help window cover strange window cover not open , meaning could not raise let little light come air shaft . also , strange wall cover partially transparent , not keep light night . bad world - room not completely dark night room not bright day . the hallway hotel narrow depress two tiny elevator , took forever come . after two miserable night place , get smart move Sofitel street . exactly $ 10 night pay Algonquin , get room approximately four time size , huge beautiful bathroom separate shower tub , curtain actually open close beautiful view . sofitel , unlike Algonquin , also huge efficient elevator come promptly . pay smart consumer . Algonquin rip - off provide . 
 Dec 13 2004 	 Clean Convenient Compact 	 Algonquin recently renovate clean , quiet hotel middle . parking garage directly across street , reasonably price Hippodrome . hotel small room clean excellent bedding . subway 2 block south 3 block north . theater district easy 5 minute walk 5th avenue . assume get decent rate , small hotel lot history seem consistently clean well value locale . staff graciously efficient , want please . go Edson Parking website get discount card parking want . would unhesitatingly recommend Algonquin especially get 200 / night . 
 Dec 12 2004 	 Good Great 	 stay Algonquin December 9 - 12 , 2004 . base TripAdvisor review , know would expensive , thought would get great service . service good , outstanding . example , ask conceirge reservation restraunt Nouveau Cuisine - say not , know seafood steak . explain , also say get theatre afterwards , please pick restraunt . say would , would reservation slip wait we . check concerige desk later - someone different . leave record . new person find make , quite distance theatre district . also , lounge not seem enough staff . one evening sit wait drink - take quite someone notice not gotten wait on . they advertise high speed internet , true . odd room , could use wireless charge . plug 10 Base line wire connection , get notice $ 9.95 per day ; apparently also free lobby ( though not actually test ) . price quite reasonable , seem little odd wireless free , charge wired connection . the staff friendly . food restraunt hotel OUTSTANDING , location ideal . , good , great experience . 
 Dec 7 2004 	 Night remember New York 	 husband take train New , CT New York City . ( $ 53 round trip two . ) walk hotel , Algonquin , warmly welcome reception desk . ninth floor view street ( 44th ) much see , room small , clean wonderful comfortable bed lot hot water shower . refurbish hotel , nice , plasma screen tv desk verky good quality linen . book directly hotel online , rate $ 164 night + tax total $ 190 , reasonable NYC . hotel 44th street 2 block Times Square Broadway .... good location . we eat lunch Roxie Deli Broadway ... great . stage Deli well , amazed friendly polite hostess waitress . waitress suggest could split sandwich , helpful ... remember past visit . we eat dinner Hourglass Tavern 46th 8th 9th . restaurant row . street fill small restaurant various type . choose italian menu . $ 17 price fixe pre - theater menu . include appetizer , loaf fresh bread , salad soup , entree , dessert , coffee . husband grill salmon homemade ravioli stuff shitaki mushroom . great reasonable . add glass wine $ 5 glass . delighted food , service atmosphere . we go hear Les Paul Iridium Club ( jazz guitar ) 10:00 p.m. reservation necessary . night remember ! ! music great , not know , Les Paul invent electric guitar first use multi - tracking recording . 89 year old still play every Monday night jazz club . play midnight , come sign autograph pose photo 2:30 a.m. inspiration ! 90 June still passion life music . my husband agree go back NYC return Algonquin Hotel . 
 Dec 5 2004 	 superb every way ! 	 stay hotel mid - Nov. , 2004 . many wonderful thing could say hotel , highlight . service outstanding ! joy feel comfortable . lobby / bar area amazing , full comfy wing - back chair , cozy table , dark wood throughout , tastefully do . feel home . room also incredibly comfortable clean . pillow top mattress great comforter high thread count sheet add bonus . towel bathroom oversize soft soap product use nice . room face back hotel mean view pin - drop quiet . room small average NYC standard . ' ve stay big small room city . room cozy window bench new furnishing really tie whole room together . seem like guest room hotel room . also location top notch . 's block hussle times square , block Roc . center 10 minute walk anywhere would want go city .... shopping , central park , etc . next time ' m city first hotel look . price get hotel can not beat NYC . enjoy ! 
 Nov 23 2004 	 old new york good 	 life long fan New Yorker famous Round table legend , check long weekend 11/18/04 worry recent renovation Algonquin could not possibly live expectation . surpass them- love hotel much l like try new place , hard pry away future visit . deliciously old fashioned good way imaginable . great , polite , accomodate service without snooty attitude common many famous place ; small intimate ambience- doorman remember ! ; understate classy lobby bar ; great location . despite recent renovation still feel like Dorothy Parker would home . yes room bath small , bed comfortable ritzy resort , , New York . not go stay hotel room day anyway ? like modern , soulless box hotel snotty must - be - see places- go elsewhere . want feel part live history New York , count lucky get stay here - its good ! 
