can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Sep 22 2006 	 Location plus HI Mayfair 	 hotel 's proximity Green Park Tube Station advantage stay hotel . husband ( Priority Platinum Member ) upon check - in tell would place one & quot ; special room & quot ; guest . special room , would hate see other look like . carpet quite dirty need cleaning replacement . lampshade desk slit . furniture chip need repair . double bed room sag middle . staff friendly accommodating . plus side , tube minute away . breakfast , hit Starbucks across street Marks & amp ; Spencer around corner roll juice head tour city . 
 Sep 14 2006 	 great location awful room seedy ambience 	 good price great location . room shabby hardly light ( trying hide something ) . bed sag towards middle - make sleep 2 less sound . nice maid bad body odor clung room 20 minute exit . good news , jackhammer street outside not noticeable . hotel somewhat seedy ambience . 
 Sep 12 2006 	 Excellent hotel prime location 	 got inauspicious start hotel , ' disagreement ' provide disabled - facility room part newspaper - sponsor ' special offer ' package [ say room available first refuse let make ' able - bodied ' special offer book transfer accessible room ] . reservation Supervisor [ thank , Sureya ] extremely polite attentive throughout finally sort thing out . accessible - room along extremely spacious well - equip adapt bathroom perfectly up - to - standard - quite spacious , quiet , clean , well - appoint effective slightly noisy airconditione . we B & amp ; b rate , inclusive much - cutdown 2 - course dinner menu , dinner food good , restaurant comfortable staff [ especially Restaurant Manager ] friendly pleasant . breakfast location perfectly adequate , although exactly sumptuous . really enjoy stay : much owe prime location management staff make excellent experience too . as footnote , find try book London hotel price generally stratospheric almost exclusively ' room ' ' exclude VAT ' - practice seem greedy fairly disgraceful - glad seem prevail much London rest UK , presumably picking not lucrative , few tourist fleece ....... 
 Sep 1 2006 	 comfy bed room need update 	 Holiday Inn , Mayfair conveniently locate close Green Park underground station , Sainsbury 's Boots , & amp ; , many sandwich / breakfast shop , not eat hotel ! ! hotel lobby bright cheery , nice lounge area comfy sofas . ask quiet room book via website ( 2 night price 1 - bargain £ 141 include vat family room , room basis ) . first room receptionist give opposite lift , immediately ask could move quieter room , duly do , without hassle . the room ( 507 ) , face road , little traffic noise evident due triple glazing . two double bed comfortable , offer pillow menu . however , fitting need update . chip furniture , wallpaper hanging wall , not give hotel four star appeal . use room somewhere sleep , not overly concerned furniture . bathroom adequate , good water pressure bath shower . view room office block , exciting . we breakfast Katies , small sandwich bar way berklely Square . get full english £ 4 , compare hotel price steal . ( must state breakfast week - sure open weekend ) .I usually stay Chesterfield Mayfair , must say Chesterfield win hand elegance room , comfort . however , want family room , limited availability London . Checkout prompt easy . I would use hotel really good deal , otherwise stick Chesterfield . 
 Aug 29 2006 	 perfect location could use refurbishing 	 choose HI - Mayfair location not disappointed . 's perfect -- central location , proximity Green Prk underground bus Piccadilly . 's also Sainsbury supermarket across street , Boots Chemist corner Marks & amp ; Spencer Food block away . lot restaurant , too . the room decent size , bath , seem recently upgrade . furniture rather rundown look bit grim . though ask specifically quiet room , end right across elevator . ( tired ask another . ) stay Priority Club point -- ' m sure would pay stay , though location count quite bit London . 
 Aug 12 2006 	 Lovely Gem Hotel Perfect Location 	 return hotel , celebrate hubby 's birthday . booked website secure advance payment deal £ 101 night . a warm welcome arrival , reception staff friendly efficient . our room good size London , large , comfy bed , choice pillow , two chair table plus sofabe . lovely size bathroom , brilliant shower everything spotless . hospitality tray well stock plenty milk nice change ! hot air conditioning work extremely well give we good two night sleep , plus back hotel ( room 645 ) also nice quiet . we comfortable . we room service night l honestly say one good long time . food delicious HOT ! arrive exactly time tell we would beam smile waiter ! l might add , price London ! also nice see remove outside room leave breakfast ! ! drink bar expect expensive , could fault service relaxed atmosphere . out about . this hotel heart theatreland . walk around Mayfair find lovely little cafe delis could eat quite cheaply . Sainsburys Marks & amp ; Spencer foodhall literally doorstep Boots Chemist . if wish splash Ritz across road , also langan Brasserie . we easily walk Bond St , Oxford St & amp ; Regent St , enjoy walk explore ! also walk Buckingham Palace Green Park carry Westminster etc . in hotel felt find right little Gem , not London 11 year , stay make we keen visit often , needless say definately go back . thank Holiday Inn Mayfair . just note ! currently lot construction work go king Cross , cause havoc ! cost we £ 15 cab hotel , budget would quicker cheap take tube ! although cabbie lovely ! 
 Aug 8 2006 	 ` ` Air Conditioned '' Misnomer 	 room Holiday Inn Mayfair large enough family four , air conditioning seem really air & quot ; circulation & quot ; system . first night , quite warm outside , four needed shower , add even heat humidity room . room never cool , even turn thermostat far would go . call front desk , bring we fan , assure we would move we room & quot ; working & quot ; air conditioner next day . new room cooler - husband look air conditioning unit , relatively certain compressor - unit 's fan never really blow enough air room either . go hallway second night false fire alarm ( actually go twice ) , neighbor tell we room not cool either . I would think hotel would lovely time year hot day London get - close Green Park Tube stop , walk distance Buckingham Palace . find restaurant name Henry 's right across Tube stop really like , Starbuck be across street . would say , go London time think need true air conditioning , make arrangement Holiday Inn Mayfair . also , pay use computer lobby respond e - mail , keyboard begin type odd character mid - way work . front desk allow start time computer bar area , seem aware keyboard work well computer front lobby solve problem . 
 Jul 20 2006 	 Great Hotel / Location 	 great hotel . perfect location . else say ? stay July family ( 2 Adult 2 kid ) day love . staff excellent . really hot outside stay air conditioner room work great . room clean . Maid service great . People front desk friendly professional . hop tour bus ( Big Bus ? ) get around London great . see show . love London ' Theater District . party ( ) , lot pub location . thing would aware – London really expensive . London go Paris via Chunnel train . hotel short cab ride away . would definitely recommend hotel anyone want stay nice place . 
 Jul 12 2006 	 can not beat location 	 like previous review , can not beat place location . late trip Europe stay 9 different place , rank 2nd good . be look good room facility interested lobby / restaurant place . room clean spacious , spotless bathroom . also efficient get room clean morning . soon go get breakfast , clean get back half hour later . ( note : also stay Crowne Plaza -nice lobby / restaurant area horrible room price demand ) . not bother breakfast plenty well place eat nearby . be overprice nice looking . go grocery store starbuck next door bring back room . will save bundle , especially kid . in vicinity 's Green Park underground 2 minute away , tour bus stop also . cut across park walk Buckingham Palace 10 minute . west end also short walk Picadilly . concierge desk pretty useless staff helpful unless tip . hotel price , although cheap pretty good Mayfair . ( look want room Ritz 20 yard road . ) also familie two double bed great saving rareity London . Holiday Inns Kings Cross Bloomsbury also . 
 Jul 3 2006 	 Location Locataion Location 	 stay couple night family . great location , block Green Park Tube Station . ride Piccadilly Line Tube city Heathrow Airport walk block hotel . Piccadilly Circus Palace 10min Walk away . from hotel walk city far away Madam Tussauds Wax Museum ( bit hike doable non less ) .The hotel staff friendly helpful . first night toilet break room around 4 am . head front desk time look assistance know couple hour wife daughter would wake look take shower … . know . night supervisor hand key different room say wake go room ' move luggage town . I ' ask . hotel staff know city well able guide we right direction make stay London enjoyable one . with comfy bed , great location helpful friendly staff , go wrong hotel . 
 Jun 2 2006 	 great location ! 	 stay two night family , would definitely return . pro con hotel . con : want five star , trendy , modern , swanky hotel . room bit bland ok , bed comfortable , bathroom clean spacious . pro : location superb , within easy walk distance tourist sight shop . many choice public transport around hotel , lot food option restaurant coffee bar supermarket ( Sainsbury , Marks & amp ; Spencer ) french cafe ( Patisserie Valerie across road Piccadilly ) Felt safe stay Mayfair area . family book room two double bed , real money - saverhas airconditioningplumbing not noisy , unlike many London hotel ! 
 Apr 30 2006 	 excellent return visit 	 spend Easter 2006 Holiday Inn Mayfair , stay ten year ago . happy memories quality hotel first stay , thankfully disappoint return visit . central location hotel without question , delighted able leave theatre Victoria 10.30pm back hotel room 10.50pm , thank proximity Green Park Tube Station ! pre - theatre meal one evening , delicious . breakfast plentiful ( although toaster rather eccentric - either get hot bread burn toast ! ) , throughout , staff helpful friendly . on official website , claim get cheap rate . book well advance , accidentally find slighter well rate hotel site send email . email hotel immediately honour cheap rate - afraid might result confusion get , , place never need mention . room spacious large bed , service high standard daily . we certainly hope return , luck will not wait another 10 year ! 
 Apr 24 2006 	 good bet great location 	 lot room London Hotel . stay 6 night 13th 18th April . internet 15pounds per 24 hour period , alternative wifi could pick . nice area close everything . Sainesbury grocer block , Tesco 2 block away open 11 pm . GreenPark underground BigBus tour within minute walk Hotel . limit amount time bus tour real plus , try get one live narrator , fun . room service available till 11 pm , great expensive . wait staff good clerk initialy check try put smoking twin room . print , give nonsmoke family room ask . not think stay know area find B & amp ; B Knghtsbridge half money twice room kitchenette boot . ask local eat , try pub . 
 Apr 22 2006 	 Great Location 	 great location accross street Green Park tube minute walk Buckingham Palace . area general feel safe London . hotel staff friendly cleanliness good . take breakfast £ 16 per head ! load cafe close much well deal . take two young daughter 3 daysightseeing trip would certainly use hotel 
 Apr 18 2006 	 Excellent Hotel Prime Location 	 extend family ( 6 adult ) stay Holiday Inn - Mayfair week late March please experience . staff front desk , dining room especially concierge desk pleasant helpful . room two double bed easy find many London hotel . feature plus excellent location originally choose hotel . Green Park station right across street within easy walk distance Buckingham Palace Picadilly Circus , location could not much well . dining room somewhat small expensive not eat many meal . definitely stay return London . 
 Apr 1 2006 	 great hotel Fantastic Location ! 	 stay Holiday Inn Mayfair last night ticket Rat Pack . location hotel fantastic . take couple minute walk Picadilly Circus 15 min ' Theatre District ' . well least that s long take we walk Savoy Theatre . hotel also lovely . room large spacious . family room two double bed . view look Ritz ! bathroom also spacious city hotel . room bathroom clean . deffinately stay break London . 
 Mar 20 2006 	 great place stay 	 stay two night March 06 , location spectacular . arrive states massive jet - lag , much surprised find room ready wait , 3 hour official check - in timewe decline breakfast , find bar pricey over - rate .. great bar next Green Park tube station .. speak , London Underground easily navigate , understand train - lines- everything color - code , save ton money taxi use normal hour . starbuck across street hotel , market right road . we issue second night room 's heater , staff quick diligent solve problem . would stay heartbeat ! 
 Mar 19 2006 	 Location Location Location 	 girlfriend return weekend away London . first time visit , please hotel . location spot , everything within easy walk distance , tube road . actual hotel nice , side street main road . clean , well present . one downfall hotel staff . check long wind , bar / restaraunt good world . say , everthing doorstep , eat hotel . first time visit hotel fantastic location offer good value money , do not expect staff win customer service award . 
 Mar 4 2006 	 great rate good location 	 Stayed Holiday Inn Mayfair 1 night Feb. get great rate Intercontinental Groups website ( priorityclub ) - 99 pound include breakfast . room good size london quick stroll Regents Street Oxford Street . within walking distance Sheperds Market ( ask concierge direction ) great selection small invite individual restaurant centre around one little square - really good find good get away chain type eatery . would stay 
 Feb 26 2006 	 Good Value 	 Holiday Inn Mayfair great location within walk distance many London attraction . hotel easy get Heathrow airport via picadilly line green park . hotel ok , nothing special . room ok size comfortable . however entire hotel include room date . hotel use rennovation . hotel far cheeper area hotel , stay . price good , definately stay Holiday Inn Mayfair 
 Jan 26 2006 	 Fawlty management 	 hotel great location Mayfair , comfortable room well maintain hardworking staff . however , beware hotel management , seem train Basil Fawlty school customer relation . reviewer note similar problem - hopefully Holiday Inn take notice . 
 Jan 23 2006 	 perfect weekend base 	 Holiday Inn Mayfair ideal location weekend break - easily accessible Heathrow Airport via Piccadilly Line Green Park Station ( step away ) , lead theatre restaurant doorstep . room excellent - spacious , lot welcome extra , sublimely comfortable king bed . staff consistently pleasant , helpful , bar ( Nightingale 's ) ideal nightcap . room rate competitive London , helpfully include breakfast ( 3 day advance rate reserve line via ICHotels Group Web Site ) .many attraction within walking distance , would certainly choose hotel . 
 Jan 6 2006 	 great location slightly date 	 stay hotel 1 night July 2005 . hotel excellent location - right next Green Park , within walk distance Buckingham Palace , Oxford Street etc . the staff welcome friendly . room clean presentable little date . the main reason stay hotel newspaper offer make £ 45 night . however gather usually price £ 150 - 200 seem excessive despite location . I would definately stay get room reasonable price would highly recommend . 
 Dec 28 2005 	 great location decent hotel 	 nice hotel . contrast review , find staff extremely helpful friendly . travel two child -- age 3 5 -- concierge extremely helpful find decent restaurant nearby ( although push hotel restaurant ) , grocery store 1/2 block away , get taxi . room small US standard , reasonable UK . room 2 double bed nice bathroom ( shower even decent water pressure ) . furniture bit worn , functional . main attraction hotel location . Green Park Tube station 1 block away , attraction 2 3 tube stop . even walk hotel nearby attraction restaurant . breakfast hotel extremely expensive -- least kid eat free . venture eat restaurant , find meal comparably price ( food much , much well , worth walk outside ) . nice London hotel exceed expectation . pay 100 pound two night 124 pound two night -- feel room completely worth money ( big comfortable much expensive hotel stay New York , well location ) . 
 Dec 26 2005 	 wise one 	 location hotel , would certainly recommend avoid owner clearly want skin everyone stay . staff clearly pay peanut attitude reflect it . the room well equip Holiday Inn although tight fit especially need cot baby . however , way encourage take one expensive ( profitable ) breakfast London . road 4 season , least breakfast individually cook . HI Mayfair , food cook back dump heated tray self service ( hope nobody cold ) . 17 pound ? yet , choose stay . ? great location , reason . remember , move item fridge immediately charge . take check departure return excess charge . do accept offer 40 pound / day parking readily available meter area 4 pound per hour . pay Congestion Charge Sainsbury be across road . I use point pay two stay year , worth hard earn cash . 
 Dec 6 2005 	 ok 	 stay business , room expect . staff courtioussainsbury food Store road - 50 yard right . starbuck across road . - far cheap roll coffee morningfront room face main road noisy - bring ear plug ! ! ! ! internet access room £ 15 per day , although free wireless access lobby . advertise . 
 Oct 30 2005 	 Central Hotel 	 hotel well situate . within walking distance attraction . the Breakfast expensive ( £ 16.95 ) , , plenty reasonable place nearby . find concierge unhelpful rude . the room small rather tired looking . whole hotel need repaint . however , rude concierge poor maintenance not worry okay place stay London . 
 Oct 17 2005 	 great choice 	 great hotel London price good . poor hotel past really rely trip advisor one accurate . would definatly stay . 
 Oct 15 2005 	 wonderful family hotel 	 great hotel safe , clean , convenient location . close Green Park station , grocery store , main sight . perfect family two teenager difficult find room accommodate four people Europe . concierge helpful first time visitor . would definately stay . 
 Oct 15 2005 	 good location less expensive 	 Ouch , London expensive ! find Holiday Inn Mayfair reasonable , mainly room two double bed . family four could fit one room rather two . location outstanding , within 1/2 block Green Park Tube station . be come Heathrow , not even need change train . ( stair station though elevator ( lift ) ) . quiet room far away Picadilly Road . get Buckingham Palace pleasant walk park . mayfair area many restaurant expensive . breakfast Holiday Inn outrageously price L16.45 per person . starbucks Caffe Nero within step less expensive . other reviewer seem base review Holiday Inns place stay outside London . really not fair . summary , Holiday Inn Mayfair fit need well . 
 Sep 30 2005 	 5 start hotel ? ? 	 daughter stay Mayfair 5 night & quot ; upper class & quot ; Intercontinental Hotel . 5 star hotel lower ranking Holiday Inn chain . expect much uponour first stay would say London good hotel Holiday Inn level . restaurant qute good room large overall service staff pleasant . good location ( Green Street tube station outthe door ) would consider next visit . long history classy hotel onetime . 
 Sep 27 2005 	 location price right 	 location good feature hotel since right next Green Park underground station take we everywhere want go . short walk Buckingham Palace Piccadilly Circus lot site along way . hotel room clean room large expect read general review London hotel . good feature room overlap drape annoying streak light wake early morning . tv channel bring book wish relax . breakfast way overprice could get food block road Henry 's half price . 3 supermarket close offer food , drink , personal care item may need stay . Shepard 's market close also lot food option . we get early check - in since book Priceline pay particular room - basically one without view . able get upgrade . biggy though since leave bag teh concerige way site see . free internet first floor great everyone else think hard find 1 computer station free . if stay make sure not leave bath water unattended . reason paranoid tub overflow . see sign everywhere pretty funny . 
 Sep 6 2005 	 Great Hotel Great Location 	 London hotel room spacious . bed good bathroom large London standard . hotel room clean . much time spending room ? ! ! important thing location . right around block Green Park Tube station easily get anywhere . snack , water etc available next block Pret Mark & amp ; Spencer prepare food store Saintsbury market . several reasonable restaurant pub surround Shepherds Market block . need coffee fix - Starbucks right outside front door hotel , mention Cafe Nero find fun . 
 Aug 21 2005 	 3.5 star + ideal location 	 stay Holiday Inn Mayfair 2 teenage daughter 4 night July 2005 . extremely pleased centrally locate hotel . forget image may North american Holiday Inn , hotel high standard even character . first , location upscale Mayfair beat . easily walk everything low taxi / tube expense . build well maintain . room 5th floor large Europe remodel ( see picture ) . hallway decor carpeting also impeccable . room quiet spotless . service whenever need prompt , polite professional . tell well manage hotel . everything pleasure satisfaction . sour spot : team concierge highly service orient treat guest bit attitude . would go back anytime . 
 Aug 9 2005 	 Location location location 	 Hotel little worn location make . close subway walk Buckingham palace , trafalgar square , Picadilly circus Leicster square hour . safe grocery store 2 block away park close . great food Leicster square ( think Times Square NewYork ) . ask hotel staff free internet use next admin office . Breakfast 
 Aug 8 2005 	 Great Location Good hotel 	 wife , two child stay 23rd 30th July 2005.because bomb scare security etc . , select Holiday Inn Mayfair 's central location . and central get ? 5 min walk Piccadilly Circus , shopping , west end , Palace across road leisurely walk Green Park . need use tube bus . staff extremely friendly , mannerly , helpful throughout week . bedroom quite adequate size four big stay previous trip London . a King size bed pull - out sofa bed make little walking room . fairness management tell prior book large family room already book . bathroom clean immaculately maintain daily room attendant . breakfast could well fact one eat within bar area morning lend ambience healthy eating / dining room experience . complimentary bottle wine chocolate mid - week nice much appreciated gesture . 
 Aug 5 2005 	 great value Holiday Inn Mayfair 	 family ( 2 adult , 2 kid ) stay Holiday Inn Mayfair July 12 - 15 . great location ! walk Buckingham Palace , St. James Park , theater . happy air condition room late heat wave . kid get check - in gift get great recommendation dinner front desk . good inexpensive relation hotel look . room small clean . would stay ! 
 Jul 21 2005 	 wonderful ! 	 stay July 2005 . bit problem get non - smoking room , staff really come give we great room overlook Ritz . location could well - the Green park tube station literally right across street . room clean , staff helpful change currency charge ! unfortunately , , bombing occur . entire city shut , staff hotel extremely generous allow we use computer manager office email family state ok . would wholehearedly recommend hotel would stay ! 's great value make trip great memory . 
 Jul 15 2005 	 Great 	 stay July 2005 enjoyable , location excellent , staff professional , room clean big surely good size London . Buckingham Palace 5 minute leisurely walk across Green Park , tube station around corner . boot , Marks Sparks within couple hundere yard . Oxford Street 5 minute away . we visit London every 3 4 year must say value money hotel find stay . reservation recommend hotel anyone look comfortable hotel one convenient part London . 
 Jul 6 2005 	 Hairdryer desk drawer 	 husband London visit every year . UK hotel , hairdryer desk drawer . undoubtedly do discourage tourist blow razor outlet bathroom . hotel great . great location bit noisey night ( be great location ! ) . keep luggage concierge 2 pm check - in time . 
 Jun 9 2005 	 Great Location Staff helpful 	 ' m go complain fact could not check 2 pm . night flight state , beat . understand check time , happen , not complain . hold luggage go business sight seeing . hotel walk distance many site , 's plus 1 ! ! ! bed really confortable pillow menu nice touch , pillow great . bathroom nice towel big ! 's nice hotel . lounge comfy , staff , polite . the problem clueless concierge / bellman , one . would ask question get absolute blank stare ! ! advice restaurant , & quot ; lose book & quot ; ! think odd . I would however , stay , pay $ 150 US night , assume 's bargain London , everything else expensive consider value dollar , ouch ! location , Location , Location ! ! ! 
 Jun 7 2005 	 Good Facility 	 wife & amp ; stay Hotel 5 night end May first June , 2005 , happy selection rate pay . facility appear maintain high level . room clean update ... spacious . bath also clean fixture bit date . location perfect . 2 grocery locate within block . 3 starbuck within 2 block . Green Park Tube stop within 1 block . , addition hotel 's facility , number restaurant & amp ; pub within 1 4 block . locate hotel map will see great location ! staff friendly responsive need . two travel partner also equally happy hotel . recomment hotel other also would stay future trip London . 
 Jun 1 2005 	 would stay 	 return 8 wonderful night London Holiday Inn London - Mayfair . as mention previous review , agree excellent location . 2 grocery store within block , Green Park tube station , ATM across street , pharmacy corner , beautiful park across street , Starbucks across street , pleasant staff , clean comfortable room & amp ; bath . street noise . walk distance Picadilly & amp ; Leister Square & amp ; Buckingham palace side Green Park . we arrive hotel 9:30 . able freshen lady room lobby , leave luggage concierge go start wonderful stay London . 
 Jun 1 2005 	 Mayfair perfect location 	 stay Holiday Inn Mayfair one night May flight back home , quite pleased . location ideal . near Green Park Tube ( 1 block away ) , bus line . lot attraction within walking distance . picadilly one favorite area stroll around . room spacious bed comfortable . clean decor English charming . room sixth floor corner , quiet . can not comment value price use point pay room . 
 Jun 1 2005 	 good hotel decent London rate 	 stay twice Holiday Inn - Mayfair month May . base research , price beat base accomodation provide ( two double bed ) London . location excellent ( 100 meter tube station ) . room large London standard . bathroom small functional . many ammenitie hotel breakfast pricey . 
 Apr 22 2005 	 Perfect Place 	 check review site finally make decision , husband , two child ( 8 11 ) , father - in - law , brother - in - law , arrive London overnight flight , able check right away ( arrive 10:00 ) desk gladly take bag stow away we could make 1st 2 day London . nice restroom near lobby freshen minute ready enjoy London . arrive back hotel around 5pm room ready , not request , 2 room right next door one another , convenient . room spacious enough , slightly cramp 4 people 4 large bag , definitely issue . room nicely appoint clean quiet ( double - pan glass ) . bed super - comfortable bathroom lovely shower pressure good . bathroom clean towel fluffy . son mess safe room get thing lock staff glad come help we . husband nice drink bar Hotel go evening bartender friendly . good price fabulous London , $ 175 / not . excellent location , close Tube stop site . would definitely stay , great find ! ! ! 
 Apr 12 2005 	 good location rest ... so - so 	 hotel great location ( opposite Ritz ) - note pay . hotel fairly expensive yet price pay , miss pretty basic amenity . hair dryer bathroom - acceptable hotel class price - drain clog end shower , water halfway calf . everything else average , ie . nothing special . I stay good Holiday Inns extremely disappoint one especially expensive one chain try . 
 Apr 8 2005 	 Top Choice 	 second time stay hotel . main complaint first stay poor customer service front desk . glad say time , customer service good . hotel great location , Green Park Tube Station , Starbucks , Sainsbury Food Market Marks & amp ; Spencer Food Store within one block . save money , recommend book internet site get advance rate without breakfast buy breakfast one place . Piccadilly Circus , Buckingham Palace Oxford Street short walk away . 
 Mar 31 2005 	 perfect location 	 great location , next tube , grocery store , shopping restaurant . staff great , din great . highly reccomend . 
 Mar 16 2005 	 Nice Hotel - Good Value 	 stay May 2004 . hotel Mayfair block away Green Park centrally locate . room large amenity wonderful . downside predominantly business district , many shop restaurant nearby . shop dining within 15 minute walk , however . 
 Mar 14 2005 	 Holiday inn Mayfair 	 good choice : clean heart elegant area . 
 Mar 13 2005 	 pick another hotel 	 could wait come back post see glow review London trip , March 1 - 8 , 2005 . two stay spend four day Paris middle vacation . first two night fine . great location . staff particularly friendly , exception concierge , room relatively clean , though bit dusty . get back Paris trouble begin . room filthy . carpet actually wet stain . want use minibar store baby 's milk would not open , open , could not open . ice bucket never bring one . hour , asthma attack dust . manager come move we moldy room . late complain smell , came try clean . would use industrial strength solvent , not . suffer night leave extremely dissatisfied . I get letter apology give free upgrade two free breakfast next stay . want money back , certificate use , never back . also , breakfast terrible hotel restaurant . not bother , go Pret Manger couple block away . 
 Mar 3 2005 	 great ! 	 wonderful hotel . good location . Ritz street . go right time year , 's good value . room huge . stay many time 
 Mar 1 2005 	 comfortable 	 return short weekend break excellently situate hotel , confirm virtually review spot . room 508 ( see review 11 ) , define non smoking room , room next door etc . room clean comfortable problem room rectify ! ! ! ! ! would use hotel recommend friend 
 Feb 17 2005 	 good value money 	 stay weekend end January . we want hotel near shopping facility , clean quiet ( traffic disco noise ) , able sleep little bit long . we walk lot , everything walk distance . because budget traveller use bus Liverpool st . Station covinient . of cource not brand new hotel , 100 £ night get area ( Ritz hotel famous hotel ) defenetly come back next winter sale hotel .A shopaholic lady friend Finland 
 Feb 14 2005 	 spacious room 	 husband stay 3 day ( 1/2005 ) executive suite spacious clean . towel warm bathroom nice treat . staff concierge extremely accomodate polite . problem window closing properly send someone repair immediately . express gratitude fall ill . get sick foreign country bit scary since unfamiliar environment concierge exceptionally helpful caring help we find get doctor . expect attentiveness . the hotel centrally locate Tube around corner market step away . happy stay would definitely stay . 
 Jan 6 2005 	 great great place budget traveller 	 pick hotel back August weeklong stay New Year 's , base see unanimous 5 - star review . return site post reaction , see less - than - flattering review since post , stay meet early expectation hope . among highlight : -- amazement , room ready upon arrival USA 9:45 , several hour early normal check - in time , without we even call ask . plan drop bag wander neighborhood check - in ; instead , go right upstairs quick nap shower , go rest day , -- staff helpful friendly , point imagine could work previous reviewer unhappy staff stay . either hotel hire squadron brand new people interim , negative reviewer need work interpersonal relation . -- certain little touch ... allow we use hotel office terminal minute , gratis , check email , lieu use dialup internet service offer fee room ( fact , vounteere possibility ; ask ) ... good hotel shower ' ve ever experience , excellent water pressure massage setting ... room outfit stack guides area general week 's event particular ( need buy copy TimeOut arrive airport ; will get copy room ) ... immediate response - mean someone door within thirty second - call downstair seem malfunction electric outlet ( make buzz noise , subsided minute ) .there plenty good thing hotel beyond control staff company ( close tube ) , may bad thing similarly beyond control ( construction early reviewer complain , not deal ) . suppose negative within control , overprice restaurant ( , however , Marks Spencer next block , not feel compel dine hotel restaurant , place get sandwich , salad , breakfast pastry , etc . , right downstairs ) . experience , however , everything within control hotel employee turn thump positive . the point : afford five - star hotel bell whistle , lobby diamond - encrust grandeur take breath away , room size main floor Harrod 's , not . wallet limit , perfect place stay . will get spotless room ; will one minute tube ( Piccadilly line , go directly Heathrow ) ; will within walking distance Piccadilly Circus , Leicester Square , Trafalgar Square , Buckingham Palace ; will friendly attentive staff beck call . highly recommend hotel . 
 Jan 5 2005 	 Location location location 	 pretty much say ! can not beat hotel location price . walk everything . right next tube Marks & amp ; Spencer food shop . staff terrific . friendly . Giovanni , restaurant manager outstanding . room somewhat small , clean comfortable . stay . will not disappoint . 
 Dec 29 2004 	 Good Hotel family great location staff 	 spend six night hotel - include Christmas day . beat location Hotel , unless want go across street Ritz block Shereton . tube twice - brick lane burb . could walk everywhere else quite easily . internet rate received - well place rate bottom 1/3 trip advisor . clean room , refurbish . good sized elevator - could fit stroller . quiet . refurbe room next door would start 9 am . Christmas dinner good . staff bit iffy - tell friend stay . priority club gold get free newspaper . way go Holiday Inn ... gripe - nickle dime . unnessary post rate 250 GBP night . drink hotel 3.50 GBP pint vs 2.30 street . local phone call one minute 50p . automatic sensor mini bar - always detest dodgy - charge we back chip / crisp coke . interste thing - empty staff soon get store baby 's milk . Hmmmm ... overall - compare hotel London ( stay many ) , pay , deserve rank . 
 Dec 11 2004 	 almost top mark ! ! ! ! 	 travel Glasgow .... stay one night 10th dec 2004 King Executive room top floor - fab room . 100 % clean , spacious , king bed , complementary water , chocolate fizzy juice . Neutrogena toiletire bonus spa bath ! ! booked advance Holiday inn god great deal £ 127.00 fault ..... reception lose mark arrival smile , place credit card top table instead hand back , hand help . Reception say hotel policy charge £ 50 arrival incase extra may use . say not aware ? ! usually hotel take imprint card charge check . one take £ 50.00 card refund departure - great ' long ' stay though ! stay one night get refund next night . check reception much cheery ! ! polite friendly .... leave baggage hotel porter gut helpful ... bar staff smiley helpful ask toilet ... toilet reception clean condition ( female ) - fully stock dove cream hand wash ..... really soft hand towel . hotel clean looking , reception / lounge area comfortable .... bar compact rather Chrismas look here . ideally situate ( 2 - min walk ) street turn right tube - green park . local Marks Spencer ' simply food ' sarnie , fruit , juice etc next tube Starbucks road . HIGHLY recommend want top italian dish simple one .... veg lasgane , lasagne , pizze , pasta , meatball , sarnie , jacket pot , beer , coffee , tea , milk , orange jiuce much find direct tube Green park head Covent garden - exit lift turn tight continue little covering / market / eat type area place call ' pontis ' outdoor eating go , top part smoke , LOADS DOWNSTAIR SEATING ... big poriton , heat order - meal two adult plus drink approx £ 16 bargain ! ! ! homemade yum ...... enjoy stay : ) 
 Dec 10 2004 	 wonderful Room ! 	 stay 4 night Thanksgiving holiday 2004 . 2 adult 2 kid group comfortable sized room . nice big king bed kid pullout sofa sleeper . room nice clean good size . rate not excessive compare motel amenity . would definitely stay go back . be close Green Park Tube station Buckingham Palace . convenient location . 
