bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Sep 11 2007 	 good 	 want Strip & amp ; cheap get pay . place either need remodeled upgrade . ' like time warp , good way . ' room ' clean , everything old feel dingy . location ' bad , come close wanting scream " free meal & amp ; show ticket " resort salesman crawl . ' LV tip , never ask anyone clipboard information ! eat breakfast one day , wide selection food so - so . definitely ' stay . 
 Sep 9 2007 	 get pay ! ! 	 return Vegas , stay 10 day Tropicana hotel . last minute booking , 3 day go , go cheap holiday get hotel . hotel basic , date without razzle dazzle hotels strip . basic room , clean bed make every day , always spotless . room smell be not altogether pleasant , much time spend room vegas ? ? .... much . bed comfy terrace outside chair , although footpath directly outside room , keep curtain closed whole time people could see . read reviews hotel , people say buffet lovely .... disagree ! ! buffet rubbish ! ! want good buffet half price , get cab Gold coast strip , buffet one good ` also Orleans Hotel , $ 6.99.one thing find alarming , side door hotelhave security whatsoever , no - one stop people come , no - one look room key , device swipe room key enter side door , anyone outside direct access corridor / bedroom . never see one security guard corridor whole ten day . early hour one morning , someone trying get room although deadlock know could not get , still scarey ... know member public enter hotel outer door challenge . when go hotel strip , do not get anywhere near bedroom ! ! good feature hotel far pool area , lovely . basically get pay hotel . will not stay would not recommend either . 
 Sep 6 2007 	 Unbeatable Value ! 	 husband mid thirty New Zealand . stay Tropicana week September 2006 spend hour research accommodation option internet . absolutely thrill every respect . anyone want spend little less accommodation still clean , spacious room great service amenity totally recommend Tropicana . like oasis amongst expensive new hotel one tenth cost . location absolutely brilliant midst small cluster hotel ( MGM Grand , Excalibar , Luxor , Hooters New York , New York ) great wander corner one busy intersection country . plenty activity show sight see within easy walk distance 's really need stay centre Strip monorail bus service great . service excellent . small complaint make one stage receive satisfactory compensation . room clean reasonably sized two we , small balcony . room service great . everything clean tidy bed make clean towel every day return room . restaurant hotel excellent . international food alley Times Square New York , New York hotel across street great also handy walk across . mexican food fantastic ( can not remember name restaurant ) . great roller coaster ride around outside building ! ' ve ride ride day half price . also , magic show Folies Bergere show Tropicana outstanding . would highly recommend see . pool area lovely . large pool nice clean spend last day relax water . nice whirlpool get little cool . check - in check - out swift long queue ' ve hear get huge hotel . absolutely fantastic time definitely stay Tropicana next trip Las Vegas 2008 ! 
 Sep 5 2007 	 terrible .... get pay ! 	 first thing ... get room 5124 ! ! ! ! ! ! ! ! ! ! ! ! ! bad room busy traffic hotel ! ! 2 exit , 1 stairway exit , soda machine , ice machine lovely janitor storage room get busy 2am onto sunrise balcony ! great view bush grow top window ( literally contact window ) . supposedly every room equip in - room safe , unfortunately rip floor ( hole rip capet still remain ) . room locate right end management hallway security outside door constantly . water room , resort terrible stench . smell make choke morning ( especially prepare wet toothbrush ) . light terrible one lamp work . request upgrade toa suite hope try save trip check - in staff helpful . concierge . want print boarding pass pay use ( 1 ) pay - per - minute internet station pay 1 dollar per page print . 1 machine must wait line other business first . please favor spend couple hundred dollar get much well accomodation elsewhere . party thank ! ' ve warn . 
 Sep 4 2007 	 thank Tropicana ! 's sad see go ... 	 pick hotel low price , plus fact one hotel LV charge child 12 occupy room parent . family 4 stay 3 night late August 16th floor one tower . hotel really show age . room spacious swimming pool lovely . enjoy stay on - strip location . local tell Tropicana sell would tear soon . else LV tourist find well deal ? 
 Sep 4 2007 	 Tropicana - well expect ! 	 book hotel room plan super quick 1 day stay Vegas Labor Day weekend not want drop fortune room . book , read review dismal say least . I must say pleasantly surprised room hotel . room clean , cool king bed comfortable . bathroom spotless large shower good pressure . decor leave bit desire , biggie . hallways clean state disrepair whatsoever . we stay tower , stay garden room . 3rd floor 5000 wing little balcony room well . complaint lot noise hallway late night . not know 's , well , drunk people loud , soundproof horrible . stay NY , NY last year room corner room end hall absolutely noise room . would definitely stay . 's obviously huge hotel resort many other Strip , price location suit need perfectly . 
 Aug 31 2007 	 Happy Property 	 book stay Tropicana girl trip June 2007 . book three night travel agent decide want stay fourth night ( Wednesday night ) . rate go slightly decide call hotel directly see could extend stay rate . problem tell . need new confirmation number , would add night . imagine surprise go check reservation extra night .... ROOMS AVAILABLE . ok ... course proof new confirmation number ... talk manager less sympathetic , pretty much say liar rate quote half & quot ; come afternoon & quot ; . uh , sure rate high make reservation extra night week ago . would anybody drive Las Vegas middle night try pretend reservation ? also call couple week prior confirm reservation wanted check tax info would know much people travel would owe . really convince since arrive late ( midnight ) give room somebody else instead except responsibility make run around Vegas one morning trying find someplace sleep . anyway ... could bad , find room get hour sleep pick friend airport . room ok , hotel . book room , book Paris Las Vegas fun pool friend Minnesota pool somewhat novelty . pool really nice spend couple hour everyday . hotel hear due rennovation - necessary . avoid Garden room - look really nasty . fact first arrive end get lobby thru back hotel Garden Rooms first encounter hooker tyring find room ! see guy call balcony later see guy wandering hall look . lovely ! oh well , get pay ! next time will stay Mandalay Bay pool . 
 Aug 31 2007 	 cheap cheerfull 	 stay Tropicana August thouroughly enjoy stay . main reason choose Trop cheap great pool area . sure people expect hotel pay £ 25 night find pool area terrific even later stay Luxor NY NY would come back use Trop pool ! ! yeah dirty escalator not work whole time friendly old school like . cafe great breakfast friendly staff feel like America tourist trap like hotel . upgrade arrival tower room large adequate £ 25 night terrific would stay old school feel excellent uncrowded pool area . stay room Vegas ? ! 
 Aug 29 2007 	 's place like home ... 	 ... far home . recently need stay Las Vegas business staff book room Tropicana due 's location business . upon arrival thing seem okay . staff friendly , efficient courteous . however , get room thing begin slide . room far lobby casino thought might cross another state . view room filthy gutter roof complete conduit utility . look roof , window like , literally , nothing else see . carpet threadbare . chair room fade wear foam stuffing come . ceiling drop standard 8 foot make room feel oppressive cramp rust , mildew general discoloration throughout bathroom . towel , though clean sheer one could hold ceiling see light filtering . floor room hallways room completely uneven smell stale . night , noise thankfully work air conditioner loud sound though someone leave Edsel idle bathroom . complain desk inform sorry room available . convention town completely book , , figure since room inexpensive 2 day would stick , . one old wing hotel , perhaps , tower nicer , say would stay hotel unless absolutely necessary . write review simply spare other experience . book hotel sure ask new accommodation avoid old wing . will probably enjoy well experience . 
 Aug 27 2007 	 waiting go 	 stay many year ago , family member stay . say , never come . hotel seem verge folding . put money upkeep , certainly renovation . one escalator lot dust ball piece wood step guess will not fix ! 's bad room large , dirty carpeting ( one room visit family ) , wear bedsheet ( not use fit sheet , lie flat sheet mattress ) . lot dirt around , leak faucet rust , pool gross go first thing morning . one positive staff restaurant friendly . front desk staff friendly , although request crib several week early , take several hour find one could not put baby bed till 11 pm . tell , really disappointed stay . lot place stay Las Vegas , would recommend priceline 4 star look web special place . 
 Aug 26 2007 	 good budget strip hotel 	 good property great price . nice flashy hotel strip far , nice . room good sized problem . location good , well deal almost anyother place strip . the hotel adequate , stay next month trip reason . 
 Aug 24 2007 	 Good deal get cheap - not 	 Trip Advisor review correct . gentile shabby resort , terribly maintain quite dirty , especially ' resort ' area . pay $ 90+/nite good deal . partly fault pay attention pay per night Allegiant Air . 's add resort fee put rate , tack later . Kinda like buy lamp nowday - not include shade keep price : ) 
 Aug 24 2007 	 ok good budget trip 	 stay 08/19/2007 - 08/23/2007 . upgrade room Paradise Tower put top floor . room big furnishing decent . not fancy new place next door , trip tight budget money willing spend think good trip . good = casino floor elderly mother could navigate easily , decent room , really enjoy Comedy Club show . bad = food . not find anything really worth spend money eatery . , however , nice buffet adjoining property across street . sure sign Winner 's Club program first thing . pay small reward money throw gambling . use comp money order room service feast last night cost we . ( , food not great - free make taste little well ) . give free ( cheap ) t - shirt make decent gift someone back home . would stay budget tight . willing throw away money , might choose one new place all - in - all , trip enjoy . 
 Aug 22 2007 	 Dump Strip 	 husband recently stay Tropicana Resort Casino friend 's wedding . ceremony Tropicana think would easier stay twenty - something friend . hear good thing Tropicana picture online look beautiful . well , hotel , casino pool look anything like picture . place dump , period . hotel room musty , smoky smell even though non - smoking . room overlook pitch roof kind trash . ( keep curtain closed avoid view ! ) . every time walk hallway ride elevator room another piece hotel structure rowdy guest rip maintenance not bother fix , ceiling panel elevator . not stay room much smell marijuana cigarette surround room . last night neighbor try break room night town . front desk nothing send maintenance man several minute call . thank god not get scary minute . pool cluttered trash debris one friend spy couple sex one pool . poor koi fish swimming among plastic cup beer can . if be cheap , dumpy room hang MTV Spring Break - esque crowd hotel . be expect clean , safe convenient room hotels strip offer , stay . 
 Aug 20 2007 	 reveiw somone pass hotel 	 okay , stay visit hotel fond memory 1992.this place go hell . casino old , smoky , dirty overall pleasant . think gang fight go break one slot area . bathroom dirty , smelly extremely unclean . I feel safe anytime visit place . as say , stay pool room may excellent casion floor nothing like remember ( picture 1990 's ) . look next hotel knock rebuild . I would also like say end strip ( Luxor , Excalibur New York New York ) not & quot ; safe comfortable feeling & quot ; . 
 Aug 20 2007 	 bad 	 hotel plesently nicer expect review read . true little date , expect book old property Vegas . one new fancy mega resort . want stay . want decent price near action easy walk distance mega resort place . casion floor intimate feel new place . crowed could easily navigate around actually find table gamble . pool area nice . yummy drink get , yes $ 15 , Vegas large jumbo specialty drink cost much everywere . Stick beer not want spend much . neat waterfall play center pool lot fun . the food 24 hour cafe site pretty good . french fry well long time . yummy late night gambling drink Vegas . order room service well . actually decent price . $ 1 price pay item cafe . bad deal . Island Tower mean back property . prepare little hike come go stay Tower . notice tower 's entrance right near front door , maybe worth upgrade stay one conveinence . overall room okay condition , nothing fancy , not go Vegas sit room . bathroom rather large nice size shower . actual twice big NY NY also stay weekend . room lovely view airport fun watch plane landing time room . I happy experience Tropicana would definetly stay . 
 Aug 11 2007 	 Smoky Old Vegas Hotel - would stay Ther ! 	 decide stay Tropicana hotel seem booked week $ 200 room . hotel one old large hotel Vegas show ! room ok view window parking lot strip . need major renovation place - carpeting old could tell run . bathroom main lobby clean . desk clerk nice helpful , food buffet lounge good money ( $ 15.95 dinner ) . stay room king bed comfortable . food general hotel expensive side good . many nice hotel Vegas , would stay unless renovate place ! 
 Aug 7 2007 	 Loved Tropicana -- wonderful pool area location 	 recently spend & quot ; girl weekend & quot ; Vegas celebrate good friend 's 30th birthday ! stay two night Tropicana pleasantly surprise place ! read mixed review , not sure expect . upon arrival starve able lunch cafe ' amazing ! burger fry . huge portion fry crispy coat great ! reasonably price . think meal around $ 9.00.We know would not spend much time room , want clean safe place lie head night ! also want enjoyable pool area . find . small & quot ; adult & quot ; pool large pool stretch long way beautiful ! even several waterfall area flow right large pool . water temperature right ! also Casino first floor hotel pretty huge selection slot well blackjack , roulette . advertise $ 5.00 black jack pool , never get play ! overall Tropicana great value . definitely stay give opportunity go Vegas ? 
 Aug 7 2007 	 reasonable 	 Tropicana nice - price , reasonable hotel . location , end strip , fine . room fine . staff fine . overall , average property average price . not disappoint anything , overly impress anything . 
 Jul 31 2007 	 not walk away RUN ! ! ! ! ! ! ! ! ! 	 bad can not give negative star . bad Motel 6 . three tower , one less 50 year old . two renovste keep clean . mold , disgusting odor , stain , crap casino , pool nasty child molestor look man drench disgusting sweaty fat body ..... need go ? barely ventilation whole place feel like be suffocate . suppose three star hotel ? place make Holiday Inn look like paradise . not waste money . repulse place want trash non refundable 2 night stay $ 134 / night stay somewhere else , finally feel bad we put we new tower . not mold , room look like nursing home , shower head spat pressure nearly give concussion . also , furniture particle board plastic moulding , bed plastic covering sheet case piss pant nightmare hotel . think ' m do . 
 Jul 23 2007 	 stay 	 be look save money comfortable , upgrade paradise tower start . room big , A / c freezing . fridge stock . elevator right front hotel . get MGM , NYNY Excalibur ease ( spend time one 3 ) .The pool well TI opinion . champagne brunch serve 's purpose . the garden room Island tower old , want save bit , understand get pay for . our friend travel we , garden room , pay upgrade island tower , see Paradise tower room ask another upgrade get free . I would stay save money . bathroom big , clean shower . oh comfortable bring slipper : ) 
 Jul 23 2007 	 horrible experience avoid stay Tropicana 2007 ! 	 friend stay Tropicana 2 night part girl trip Vegas . horrible experience ! last year nice value . change worse since . first , room dirty ! linen clean . dust , mold growth wall , filthy carpet , etc . the small tv poor work condition- sound horrible , picture fuzzy , remote control . security major issue room . keep mind 1/2 story ground . slide glass door lead balcony could securely lock ( little loose fitting latch attach keep closed ) . dead bolt door . chain already 1/2 rip wall would keep people ( supposedly ) . safe present securing belonging could use since lock . call front desk request assistance tell Security would come help we . ask timeframe Security one could give . waste whole day room wait assistance . decide take everything value we . convenient thing Vegas strip . several place room also note $ 3 per day service charge use safe ! housekeeping disregard disturb sign door . barge without warn 4 time 2 day stay . morning night ! also , charge daily fee top reservation fee . pre - pay entire stay still charge $ 5 fee per day facility . allow decline . upsetting since facility poor condition . the pool dirty . area trash around . lounge chair break . debris float pool time . I could go several little annoyance , major one treatment receive staff . customer service throughout facility poor ! ! treat disrespectfully rudely . front desk staff especially unprofessional rude . one care we show . complain manager check day . apologize reimburse we daily fee say could since pre - pay . not want ever return not ask anything . inform us hotel / casino go major renovation . drastic change facility also staff / management change complete 2010 . even consider stay date ! happy leave ! 
 Jul 21 2007 	 Tropicana 3 - star rating 	 Booked package Expedia ; check Tropicana , give choice upgrade book & quot ; old & quot ; part hotel ; decline upgrade accommodation AWFUL ! room dirty ; vent dusty dirty ; bathroom sink drip constantly room infest mosquito . never ; would recommend . 
 Jul 19 2007 	 Stayed probably would choosen something else 	 , come one Las Wages ( oh , mean Vegas ) check one last old school hotel . go hubby fun day , little hotel . sleep , play lucky 20 , slot walk alot Trop new fancy hotel , also use bus ( Duece ) double decker go place . great corner . also leary rough comment other leave , also like other say & quot ; get pay & quot ; . elevator fine , carpet dirty , checkin maybe 30 min walk around hotel , not bad . know Trop probably next hotel go , ( Frontier close good 62 year , ) feel neat memory stay Trop one last time . ' m sure will not much long b4 be go . ( Sad ! ! ! ) yes 's old smoky hotel , think come door back be Hayday . look way , stay one last time get far tower ( island tower , think ) maybe get fun old room mirror ceiling wall ( laugh fun ) . Vegas not . not take stay seriously . oh , one quick thing , escalator Island Tower break repair , hope good walk shoe escalator other either go not work strip get use ! 
 Jul 19 2007 	 Fair outdate 	 would agree many review - Tropicana one glitzier place LV outdated get pay . rookie Vegas wind 3 - city trip , book Tropicana . location right strip amenity pool fitness centre fair can not compare hotel strip . traveller budget not want resort stay , bad place stay . 
 Jul 15 2007 	 another great week Trop 	 stay Trop second time four year come away thinking could make well choice money . if go stay , understand accept old hotel . get everything update last three year enjoy outstanding pool , great location , smallish casino friendly staff . if , go Paradise Tower . expensive alternative , give strip view room spacious . tv small , air conditioning could little strong , room wonderful . while casino Vegas smokey - can not handle least little smoke miserable time Vegas - Trop seem little moreso around bar . good news dine Vegas generally smoke - free . the location allow get MGM , NY / NY , Luxor Monte Carlo quickly . handle heat , Planet Hollywood , Paris , Bill 's Gamblin Hall Flamingo 15 minute strip foot . north strip pretty vacant day anyway . the dining good enough , many alternative right across street will not go hungry . would definitely return - especially pool summer hot week . 
 Jul 10 2007 	 Bad Choice - Dirty 	 Hotel old . Air Conditioning could keep room . room dirty . pool close . bedding hole stain . staff much help . standard response staff & quot ; 50 year hotel & quot ; charge use room safe . charge use internet . stay . 
 Jul 5 2007 	 bad 	 boyfriend stay Tropicana 2 night past weekend , think decent . read lot review ( majority negative ) , lot doubt , suit we fine . ' m sure factor attract people Tropicana price , be exactly stay . expect $ 49.95 night ? can not compare old hotel like Bellagio , Venetian . people post review Tropicana complain cleanliness decor room , find thing exceed expectation room give . ( grant , mirror ceiling not classy touch , could not stop laugh ) . thing irritate wait line check ( almost 30 min ) . pool nice , casino fine . not eat buffet , can not really say . overall , be fan side strip , look cheap stay , place . otherwise , not come Vegas be plan staying room whole time . 
 Jul 3 2007 	 one word describe Trop ` ` Dilapidated ! '' 	 last minute visit Vegas ( 3 - 4 yrs ) sometimes stay Tropicanna always pleasant time ....... long time ago , since last minute decent hotel book pricey be not worth trip opt think good old standby , think place wreck old ... show age , fall apart room shabby chic ! front tower good two ever want put garden room advise original first room Hotel .... Rat Pack day ! would never waste time , place sleep noisy street could sleep ! ! oh actually say management lovely use dissappointment tretaed apology shrug , standard recently acquire & quot ; new management & quot ; well work cut one warning take lot hand sanitizer ! germ phobe everything place felt need good scrub YUK .... ! aware certain charm alot nostalgia old gem day long shine go forever ! 
 Jul 1 2007 	 need upgrade good location clean room 	 stay Tropicana two night okay great . upon arrival , difficult find reception , frustrate drag heavy suitcase two short flight stair get heavy glass door . way elevator , go huge group people singe karoake dancing . uncomfortable . the room clean air condition , appreciate in - room safe put valuable . bed hard terrible sleep night . door sometimes not close , sink plug , nice housekeeper fix we right away , good . we stay Saturday night price ridiculous , Sunday night reasonable $ 50 . hotel date need lot upgrade , 's good location expensive hotel casino strip ( not even drink Tropicana ) . doubt would stay , way home 10 - day roadtrip , stay Sahara $ 43 well around . 
 Jun 30 2007 	 next one tear ... 	 let preface review say comp room ... say , hotel look like 's bad shape , predict next major property tear . 's location great - right strip , across New York New York , Excalibur , MGM . not much nice say hotel though - hall smell funny , carpet terrible shape , elevator slow , ceiling low . - room big . I predict next 10 year make room something worth go . really not much chance Tropicana & quot ; revitalized & quot ; - many problem , structure not lend successful remodel . not waste time , unless get free like ! worth stay , free ! 
 Jun 29 2007 	 ok Limited Conditions 	 Vegas many time stay prompt flight cancellation . want stay least expensive reputable hotel close airport turn Trop . I use Hotwire not know property book would probably choose different hotel . trop old clean . pool area lovely restful . decor room outdate room large Towers . check - in also require extremely long wait even though 5 people work front desk ( around 5 pm weekday ) . time pass lobby wait . staff friendly helpful . low rating primarily ( ) ask nonsmoke room place smoking floor , ( b ) 3 - star rating ( 3.5 star rating Hotwire ) deceive . property 3 - star hotel 30 year ago . . . not update since . feel like 1 - star hotel 's extremely large . all hotel allow smoking casino place . , smoke problem sure request nonsmoking room nonsmoking floor . eat outside hotel ; food Trop terrible nothing restaurant taste fresh flavorful . Food Vegas competitive usually great , walk nearby property well meal price less . if first trip Vegas strongly suggest stay somewhere else property give wow experience hotel strip . walk Strip see property depress return Trop . another low - budget option well food , service entertainment Imperial Garden . check review Flamingo . middle busy part Strip give option . spend little stay one new theme hotel . 
 Jun 28 2007 	 date 	 upon arrival 45 minute que check carry luggage 2 set stair get reception . hotel date , 5 minute walk tacky casino get lift room . buffet breakfast awful , except happy man behind counter make egg ! much rather spend another 2 dollar breakfast buffet bellagio . room fairly clean , shower head hang wall , one thing good , room amazing view strip . stayed 1 night stay Bellagio 3 night , maybe hotel look bad , maybe bad ! much well hotel strip , stay budget will not hotel anything else sleep . 
 Jun 27 2007 	 stay away Parking Lot view room 	 wife stay Tropicana two night middle part June . normally , would think stay last year stay Mandalay Bay , walk around , wife entice join Tropicana Winner 's Club couple free magic show ticket . since receive promotional material time time low room rate Tropicana . two night cost $ 39 $ 49 additional $ 5 & quot ; resort & quot ; fee taxis . Tropicana open late 1950s seem room 4000 wing must part original structure . 50 + year old building not bad shape definitely like roadside motel & quot ; resort & quot ; . room clean enough spic - n - span clean . grout tile bathroom black moldy underneath sink carpet well worn . towel clean enough super clean plushness . far service , physical state facility also indicative staff attitude stay , probably come across least twenty different employee hotel , one offer smile greeting . cover basic training hospitality not expect here . the big issue though first night , right window face parking lot car alarm go around 2:30 . call front desk tell work . alarm continue sound finally 4:30 , give try sleep room change . upgrade without cost much new , clean , quieter Paradise Tower . also , ask receive free meal breakfast buffet . upgrade room free meal nice question hard management work get car alarm turn . accord management , can not car tow , can not break unhook car battery , can not call license bureau find owner car find room owner , can not put big sound absorb tarp car , can not go door door ask guest kind car . management ? guess change room guest complain . good thing hotel , although pool close 7:00 pm , large couple waterfall swim . plenty chair waitress could count come every often get we drink . exercise room include & quot ; resort & quot ; fee . nice five piece aerobic equipment , free weight , several strength training machine . also , access sauna . location hotel also good . easy walk across MGM Grand catch tram head strip . day tram ticket cost $ 8 . overall , consider much spend , value good . despite problem , would probably stay get courtyard view parking lot . 
 Jun 26 2007 	 Implode please ! 	 Tropicana & quot ; resort & quot ; 50 year show age , good way . & quot ; get pay & quot ; category hotel cheap show room . although staff friendly front desk hand unsolicited upgrade , stay Garden Tower room June , 2007 less impressive . massive stain carpet , tub finish peel , bed hard like rock & quot ; air & quot ; come AC unit smell stale cigarette smoke even though entire floor designate & quot ; non - smoking & quot ; . non - smoker shut AC could sleep . mention tower quite hike front door . coffee maker room mean get dress go main floor Java Java stand ( be open ) . 's open walk way main hotel another Java Java stand . 2007 people , in - room coffeemaker ? trop location side , across 3 major resort / casino . also bus stop right outside catch fabulous Deuce . tight budget not mind annoy , mean stay Tropicana . enough . 
 Jun 22 2007 	 Great Location - Dated Hotel 	 stay 5 day . location amazing – right strip opposite MGM , Fantasy Island another hotel ' self date refurbish last 15 year ' say – apparently knock rebuild hence refurb . the room good size high floor view amazing 
 Jun 21 2007 	 good want save money 	 decide stay Tropicana time around save money . good deal want cheap trip . fine time , would not stay . really need reno rebuild new hotel . upgrade Island Tower apparently recently renovate not see . feel comfortable enough weird thing . carpet stain , weird stain box spring side . look like blood . actually want phone front desk ask someone murder room , forget much fun Vegas . bed quite comfortable , good sleep . pool alright . vote one good Vegas , dirty . also people throw ciggarette butt everywhere pool maintenence never clean . good time Vegas like usual , room much like think room time , angry . expect wonderful room live expectation . casino decent , never eat food . line buffet , leave ignore . tip : go New York New York eat . hotel lot little cafe , pizza slice . mexican restaurant big burrito ever see . Il Fornaio wonderful italian restaurant go 3 time breakfast dinner great 4 time . little pastry shop wonderful ! 
 Jun 20 2007 	 cheap ... yes . worth saving ... . 	 really 2 reason think stay tropicana ... location price . tropicana nice spot strip easy access number hotel ( MGM , NYNY , Excalibur , etc . ) low rate area ( ~ $ 50 weeknight ) .That say , like tropicana . 6 day trip decide stay 3 night somewhere nicer north strip ( Mirage ) 2 night save money Tropicana south strip . upon arrive Topicana 3 day Mirage , initial impression negative . leave car valet move bell desk ( case could not check yet ) , time many bag therefore bag sit sidewalk hotel entrance . exactly idea secure area store bag . next attempt # 1 check - in . 2:00 people sit lobby wait party get checkin line . minute become obvious . checkin desk 3 people work line move crawl pace . line long move decide walk bag man bell desk hand back room store bag . we return check - in attempt # 2 ~4:30 unhappy see SIZE LINE . since get room want get pool wait line hour help . use $ 20 trick get upgrade paradise tower room . the room not bad price pay strip view pretty nice . our next stop pool lot review talk great . definately disagree . pool decent size ? yes . pool enjoyable ? . basically feel like trashy spring - break pool guy smoke cigar pool , ashe float , dirty water , etc . also , towel pool like hand towel even 2 do not cover out - of - date chair . swim - up blackjack cover area side pool whole blackjack / bar area feel dirty . we also test Garden Cafe breakfast one morning par even low price . service unpleasant , style old , food average . overall , decide whether stay Trop spend $ 50 stay somewhere little nice ( number hotel ) , would definately say take extra cost save dissapointment . 
 Jun 15 2007 	 bad 	 go Vegas skeptical arrangement review read . travel often 's low expectation get pay . pay $ 60 week rate jump $ 139 still not bad . really not complaint . yes , decor could little update not bad . check quick customer service good . room service speedy well . would stay . also , not spend much time room , therefore good enough we . 
 Jun 14 2007 	 worth $ 50 night . 	 book expedia think everything prepay . make we pay surprise & quot ; resort fee & quot ; $ 5.45 per night . kind bug make upgrade we garden room island tower room . room kind clean pretty old . frill , basic hotel room . mirror wall ceiling bed tacky though . bed hard . we check around 5:00 p.m. wait couple minute . front desk agent say later check likely get well room . also say allow early check - in room available , people get bad view time . the pool pretty good . expect little reading review cheapovegas.com , still fun . usually stay Orleans pool well . deeply stay cool hot summer month . play music outside pool area little loud overall pool pretty good . the service good get $ 50.00 night hotel . 
 Jun 11 2007 	 run hotel good location 	 visit Las Vegas every year make point stay new hotel time . Tropicana advertise great rate location good , decide give try . able get rate reduce twice prior arrival , first match Expedia rate day check - in match e - mail rate . one inexpensive hotel strip . check - in take clerk friendly accommodating . get room Island Tower , well Garden room nice Paradise Tower . hand , Island Tower close pool . room decent size , run . furniture wear , bathroom desperate need remodeling . toilet never stop run 5 night stay . mirror beside bed . the pool nice , adequately maintain . stuff float pool every day . one day disgusting scum float adult pool . hate think . pool area quite nice . the food sample deli , ok . buffet recently rate one 10 bad Las Vegas , stay away . great selection restaurant Vegas , need settle . casino ok nothing special . discontinued acrobat act use perform casino time time . shame since really add otherwise bland casino . we get compe Folies Bergere , classic Vegas show . ok price ( free ) . comedy stop real gem . $ 20 per person include drink , $ 5 coupon readily available . go every year never disappoint . great talent cozy room make good bargain town . the Tropicana place someone first trip Vegas . experience traveler look cheap dig good location bad place . 
 Jun 9 2007 	 Older mean charm 	 bit sceptical book hotel review - decide take gamble , ' m glad . first - line check long move extremely quickly . upon check , inquire upgrading room Paradise Tower graciously . room magnificent view strip - clean - air work bed comfortable - room pretty large . housekeeping service terrific - room always clean neat . feel staff hotel friendly accomodate , everyone meet offer assistance . eat deli couple time lunch - delicious inexpensive Vegas . pool perfect . adult pool small intimate , much quieter regular pool - swim black jack fun . yes hotel / casino old - 's give charm . hotel big 's hard get seat table chair pool - sit people everyday pool - great . hotel perfect location well , be right across street monorail stop close airport . would definitely stay hotel . 
 Jun 4 2007 	 great location good hotel ! 	 Obvisouly be not one new luxury hotel strip low nightly rate , wold ignorant expect accomodation . the room motel feel . that s bad thing , exactly expect price pay . one good location strip , still close airport . would DEFINATELY stay ! ! ! ! ! ! 
 Jun 4 2007 	 Horrible Hotel 	 Tropicana could possibly bad hotel ' ve ever stay . wait line forever check , go room find air break . could somebody get room ready realize 100 degree ? go downstairs tell somebody give attitude come instead call room . wait hour , nobody show . travel morning ready take shower take nap go night , point really frustrated . call say wait around somebody show told not wait room , could leave . say , well actually , want sleep take shower not tell can not room pay . point livid . going tell somebody can not check room 3 , room well ready 3 . be 5 , still air , shower nap . since midnight travel Florida exhaust . finally , somebody came end need completely new motor . sit room maintenance worker tear apart bathroom fix . never offer move , fact ask , tell vacancy . give break . fix , go bathroom disaster . dust dirt everywhere , call housekeeping say would send somebody . point late take nap shower , leave night , return 9 find bathroom still mess . clean . room hall smell horrible hotel seem dirty together . staff helpful flat rude . would never stay would not recommend . 
 Jun 4 2007 	 get pay ! 	 hotel , although inexpensive , old dingy . bathroom dingy , outdated shower curtain not even fit tub ! mirror ceiling bed , bonus be . pool rate one good hard believe dirty old . everything hotel 1950 's , think old movie . one positive service staff AWESOME ! lot fun , friendly people especially game floor . cheap place gamble , lot $ 3- $ 5 Blackjack table $ 0.50 roulette . sawthe magic show awful hilarious depend many cocktail ' ve . really cheasy . not eat order room service attest maid great . room clean could without remodel , always fresh towel . 
 may 30 2007 	 love 	 Stayed . yes old hotel much room . friendly staff wonderful pool area . would not stay stay somewhere different every time go . Comparable Flamingo / Ballys . 
 may 29 2007 	 Great Comps 	 originally book garden room pool view . unfortunately view mostly parking lot pool outside hotel overlook main pool . request room change feel & quot ; view & quot ; worth add expense give tower room old tower . room nice however like decor garden room well brighter relaxed . decor tower formal . amenity pretty much imply . bed adequate . pool area nice pool reasonably warm early May even though heat . good part stay Tropicana comp offer Players Club . approximately $ 100 play , get 2 free show ticket magic show 2 free show ticket folly , along free T - shirt . register player 8 different casino good comp find . put together nice room reasonable price decide Tropicana real bargain we . 
 May 29 2007 	 great ! ! ! 	 stay tropicana first time , year upgrade we ( without extra charge ) great 1 bedroom suite overlook strip . great place stay money , highly recommend . 
 may 24 2007 	 laptop steal 	 laptop steal room stay .... beware .. call Police luck ... bad hotel .. beware 
 May 24 2007 	 stay away place ! ! ! 	 good , steak house . folie show alright . the pathetic condition room shocker however ! drape big moth eat hole ... yes , & quot ; moth & quot ; , would ever see ! stay away place want enjoy Vegas ! manager kind enough refund charge , complain room , consolation . 
