expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Jan 10 2006 	 location big strength . 	 able take Piccadilly Line disembark Green Park , literaly walk 2 block west Piccadilly walk hotel . travel lone female , ease find hotel major plus . however , be decidedly unsexy wheel suitcase Palm Court , disrupt everyone 's lunch tea . may American try draw attention fact , hotel 's layout , concierge back side hotel help . familiar hotel know back street entrance , obviously , avoid scenario , annoying make accomodation . if upper floor might great view Green Park . unfortunately , room stay face interior courtyard , courtyard generous word bizarre design . kerfuffle another guest reserve room , stay room every year . room mean awful , definitely worth make pilgrimage for . the concierge 's desk ridiculously helpful negotiating suppose move room also check . favor , one would answer question like , & quot ; new room ready , etc . & quot ; trouble move upgrade much large suite ... decide bag go stay sister hotel , Sheraton Park Tower Knightsbridge ... bit pricy , much well experience . although prefer Mayfair location . 
 Jan 3 2006 	 Pathetic - stay away re - fit price review 	 spend around 20 minute hotel , 35 second room Park Lane Sheraton get noisey drab worn lift back back street style reception full refund check - out . & quot ; double & quot ; room cost £ 175+vat+parking+breakfast small room university , mention dirty darker . not see bathroom partner come look disgust take word rubbish . to continue complaint , park ( quickly collect ) car , admitidly be 15 foot away go around block get entrance , squeeze hobbit style filthy door garage dirty jacket bag . ... staff basic grasp English encounter London hotel , cricket , capital UK American own hotel one could understand , especially go complain . there bar / dining room front hotel busy asume consession nothing actual hotel look popular . stay , well would not .. want make sure get good deal , hotel £ 50 night standard yet charge 3 - 4 time much .. try De Vere Cavindish Jerymn St instead , be cheap , infinitly nice , well location will not feel like ' ve mug hand money . and thinking & quot ; oh view , be opposite St James Park & quot ; .. get think head c £ 240 stay would room look onto fire escape rear building . take photo .. stay somewhere else . 
 Dec 12 2005 	 run - down noisy 	 stay Saturday night hotel . similar reviewer , find layout hotel entrance difficult navigate term find Reception . stay 3rd floor small , slightly over - cluttered room . the hotel appear pass prime general spruce - up hallway room badly need . the door room slam automatically negate need set alarm clock wake - up call , continuous door - slams echo throughout hotel way early . the wall paper - thin prepared unintentionally eave - drop neighbor - for well bad . the ` ` breakfast '' price £ 19.95 poor . leave stand unattended far long seat subsequently leave unattended . quality delay food low although server try apologize , happy depart notch hotel one avoid future '' 
 Dec 5 2005 	 Slippery Slope ... 	 like reviewer , upgrade nice room starwood frequent guest membership . actually , ' upgrade ' twice . first ' upgrade ' room scare we bad , move we another . ' ve stay Park Lane many time year agree comment hotel need attention . great hall nice , service warm , always . business center good . location across Green Park / St . James Park proximity nice restaurant , theatre , shopping keep return we Park Lane . get gruffer time . price London hotel , starwood folk would advise put money back property . even loyal guest like may soon bolt . 
 Oct 12 2005 	 bit past prime nice 	 get upgrade Sheraton gold member , complaint room . bit tired , mention prior review , incredibly roomy nice . Park Lane lovely bar , service decent ( althought a.m. doorman bit learn treat guest ) , fantastic location . sure would pay price stay ( use point ) , make great trip . definitely location would stay . 
 Sep 28 2005 	 Great Location little expensive 	 wife recently return first vacation London . Park Lane hotel perfect location - far tube , conveniently share entrance Marks Spenser Store . , Green Park station 3 different line , get almost anywhere fairly easily . example , trip Green Park Station Parliament one stop take five minute . interested walking , Buckingham St James palace ten - fifteen minute walk though park . hotel one landmark hotel whose exterior look bit well interior . front hotel also certainly look impressive back , load dock feel . service fairly friendly , although staff little rush not pay particular attention customer say . we & quot ; executive & quot ; room king bed , fairly small north american standard , adequate . bed comfortable indeed king size . bathroom bath tub stand shower , something specifically ask . everything else function expect . overall , room clean nice , be pay premium location . 
 Sep 23 2005 	 great location little tired 	 stay Park Lane 4 night late September . overall quite happy hotel . room typical size large city include new ( small ) single bed , offer decent night sleep . bathroom tired sink block regularly shower curtain not quite close , generally nice clean . get drop front hotel , will drag bag lounge area number stair get reception area strategically hide towards back hotel . staff quite friendly helpful . request ironing board accomplish 5 minute . although not eat restaurant grab appetizer lounge area one morning amazed price . would recommend grab bite eat one many great restuarant couple street behind hotel yummy tapas bar around corner St ( Pirata ) . careful order mini - cab get airport . ask night porter arrange cab follow morning , tell doorman go check not thing must mistaken . miraculously , able summon black cab short notice negotiate deal driver 10 pound night porter quote . overall good hotel great location close Buckingham Palace Green Park tube - Jubilee line handy need get Canary wharf . 
 Sep 16 2005 	 could well ! 	 spend week Sheraton Park Lane Hotel 5th 11th . extremely pleased choice . room 7th floor overlook Green Park , spacious high ceiling , seat area , large marble bathroom heat towel rack , mini bar . relative London meet tea every day Palm Court hub hotel . usually finish day Palm Court drink snack , beautiful room still comfortable relax . service restaurant could well . waitstaff attentive pushy . help maid , concierge , front desk , bellhop , doorman could enough we great attitude . location convenient everything kind transportation practically door . great maze pub , restaurant shop right behind hotel Shepards Market . could enjoy trip stay Sheraton Park Lane return trip ! b Panzano 
 Aug 26 2005 	 tired convenient location 	 Location everything hotel- short walk knightbridge picadilly , locate right front green park , great stay be merely use room pit stop tourist site . what s great pret starbuck right around corner , mark spencer ' grocery store . room bit tired , face building , be dark dreary . bed , however , quite comfortable good night 's rest night . breakfast quite good well . 
 Aug 20 2005 	 Charming hotel 	 stay Park Lane twice 3 week visit England France . request triple , believe upgrade junior suite . front desk staff uniformly friendly , remember we return 2nd stay . arrive early morning red - eye flight . expect leave luggage check later day , tell previous guest left , room would ready hour . breakfast wander around Hyde Park , return check - in around noon . our room 7th floor , rear hotel . rooftop view , window two side , face west north . never check AC , even though warm , cross ventilation keep room cool . we king bed , nice sitting area , loveseat sofa bed daughter , desk area , two walk - in closet , ton room stretch . bathroom recently renovate , separate shower , deep soak tub , bidet , two sink heat towel rack . problem lack hairdryer . solution extention cord . realize british electrical code Sheraton 's fault , plug accomodate hairdryer near desk would good idea ! location great . love take bus London , could get almost anywhere either bus run Piccadilly front hotel , bus three minute walk Park Lane . Green Park Hyde Park Corner Tube stop easy walk , . Park Lane old property , room vary size . remember , be happy , not hurt politely explain front desk exactly be wrong , give chance change room . 
 Aug 16 2005 	 quite good want ... 	 indulgent weekend stay five - star hotel . Sheraton Park Lane suffer almost room anything equate view : room give , end dog - leg main corridor look onto brick wall ... well , suppose not necessarily go view .... reasonable size room , okay decor , throughout hotel , get away standard international hotel ' how many fabric place one room ? ' school interior design . think ' period ' rather ' shabby ' ' in need make - over' . great bathroom ( marble - lined ) lot hot water ( thank heavens ) separate shower cubicle rather usual shower - in - the - bath . lousy reception every tv channel , last week 's ' Time ' not over - inspire confidence , lot towel , toiletry hot water , bed one teh comfortable ' ve sleep .... WiFi internet access extra cost via T - Mobile ( standard T - Mobile rate ) , change sheraton ' ve stay access come free , hotel extra add ( £ 3 mineral water cost 50p nearby Marks Spencer ? ) . great breakfast ( low - carb ) extra cost , even coffee pot not keep coffee hot long , small gym ( cycle , tread couple weight machine ) help work even pound . comfortable lounge area add ambience , can not feel thrill walk Piccadilly Palm Court ( taxis drop round less conspicuous back ) , be little bet less good want : be habit leave odd piece crockery corridor particularly annoying ( especially neighbour bring big Macs trolley - load smelly wrapping stay outside room good part day ) . 
 Jul 25 2005 	 Good Locale 4 star service 	 bring family ( husband , parent 6 year old daughter ) London first time . choose hotel particular location fact advertise air conditioning . bad heat wave year , air conditioning fail . fault hotel , deal situation leave much desire . make effort compensate we anyway , ice bucket cold water send room multiple complaint , new fan purchase provide . situation go day , staff ample time provide relief client address inconvenience proactively . addition , agree comment concierge helpful good attitude . often door man help get cab . note one time , weekend . room small european style , ok . except one room suppose triple ( two adult child ) simply wheel cot fit double bed . regular size double room little walk space . two wonderful part hotel . one , location excellent . two , Palm Court island service pleasure . citrus restaurant good friendly well . feel welcome hotel young child . indeed , experience herbal tea Palm Court something remember long time . if visit husband cool week , sure reflection stay would much positive . however , time difficulty good service shine property , simply . 
 Jul 25 2005 		 Park Lane Hotel clearly see well day , find somewhat tired need refurbishment . on plus side , location central , convenient Buckingham Palace , Victoria & amp ; Albert Natural History Museums , Knightsbridge . build good deal character , particularly lounge area , feature huge comfortable sofas , beautiful stained glass window . unfortunately , someone take eye ball look hotel . entrance foyer feature bizarre historical costume , outdated luxury good mount display case . ' ve never see hotel , first impression make feel be trip Madame Tussaudes ! reception hide away somewhat hard reach . room quite small , marred enormous mobile air conditioning unit jam next bed , bulky hose vent air open window . weekend go hot , however room seem really place take away ambience room . needless say stop work evening , despite lot fiddle button fail breathe life . think complain really , could not bother . we also notice foldaway bed push corridor wall stay two day run . reinforce impression lack care show run hotel . on return meal Saturday night , relaxed cup tea lounge . tea service superb , silver plate utensil ample quantity red hot tea . impressed antique silver strainer good fun ! service also faultless . however , ambience mar house music play . jar setting , loud fast , wholly inappropriate austere old - fashioned hotel . actually like music playing , slow relaxed song piano would set tone much well . sum , hotel get raw ingredient landmark hotel , present , clearly see well day . really need sympathetic refurbishment complete makeover recapture 's past success . 
 Jul 19 2005 	 bad 	 Husband , 9 month old son ceremony attend Buckingham Palace hubby give task book hotel . spend many , many hour cross reference various hotel website . initially , book Cavendish St James Hotel get good rate precisionreservation website day later inform room available . last minute ( day check ) , book room ' secret hotel ' lastminute.com . not really secret google search base hotel description location know Park Lane . although review so - so , decide go hotel location . follow London bombing , decide use little tube possible walk everywhere end . stay 2 night - 12th 13th July . check - in smooth relatively quick . room - standard double get £ 99 night , look classy small . basically double bed bedside table either side , armchair , write desk chair . also little portable A / c big hose hang window . husband say suck hot air room . switch go bed want close window keep traffic noise . also proper A / C keep room right temperature . love closet . one could walk , shelf mini safe , hanger hang clothe . also bathrobe . bathroom small bathtub shower hose , toilet not flush properly , sink mirror , small magnifiying mirror . we not dine hotel . nice lounge walk get main street ( opp . Green Park ) smell cigar . overall , price pay happy hotel . 
 Jul 19 2005 	 place AWESOME ! 	 hotel superb . facility excellent , hotel locate heart London , perfect place . welcome agent front desk , housekeeping staff , room service staff , everything perfect . fluffy white bathrobe invite , towel warming rack welcome long day touring . you can not go wrong stay a++++++++ hotel ! 
 Jul 5 2005 	 Starwood Sheraton quality 	 June 23 - 25 , 2005we disappointed service overall hotel . stay 4 day . change location last night . first give room first floor change two time finally room Starwood Preferred floor - no view , roof top . without hot water 2 day a / c good . price really sight , even bar . concierge knowlegable helpful . extremely difficult get cab location due hotel get cab ahead us street . doorman would even go curb try flag cab doorman Millennium Hotel next door patron . metro station , even though block away , seem long walk end day . main entrance hotel section Brick Street either walk around block , enter Piccadilly ( main street ) walk lounge bar get room . waiter lounge rude sitting order . one positive thing bed ; comfotable bed . hotel refund one night 's stay plus . 
 Jul 4 2005 	 disaponting 	 stay Park Lane June 17 - June 22 . London many year , look forward stay 5 * hotel great service . complete dismay stay anything . service terrible ! maid service barley make bed look first morning cup coffe use coffee service room disapointe . must call constantly get clean coffee cup coffee service re - fill . second day , air conditioning go . understand mechanical problem appropriate tell Hotel staff Management repair would next fifeteen minute ( three day ) starwood preferred guest appreciate run around poor service receive . 
 Jun 23 2005 	 Hot Park Lane 	 get back London stay Park Lane Hotel Green Park . location hotel awesome , across street Green Park , easy walk Buckingham Palace , close underground , Piccadilly etc . hotel nice , except problem air condition two 4 night . first room give we executive room - great 8th floor , even slight view park A / c work go 2 room find one relatively cool ( hour later ) . manager nice , give we complimentary bottle champagne trouble air work first night next two hot indeed . manager super nice concierge leave ALOT desire . besides attitude , two different one duty little help come good place eat , get show ticket inquire movie premiere ( War Worlds ) tell we night ... go theater anyway hope find going stumble upon premiere - Tom Cruise ! , think cconcierge knowledgeable , helpful friendly . hotel definitely need facelift - think go get - lot character charm - location awesome . also , maid service good - bathroom barely clean every day - 
 Jun 12 2005 	 Disappointed service 	 book executive room , pleased see good size room , well furnished , small tv size room . check notice window open , blower large tube attach end place outside window , cool air come anticipate room vent time . upon return later night , room stuffy , unit , central air work . notify front desk , say unit room aircondition , nothing water cooler . tell acceptable 4 star property aircondition , window open allow street sound come . service man send , able get airconditon repair , operate quite well , air even high cold well function aircondition . inform dept notify anything wrong aircondition , hand front desk inform tell room ready rent , tell house keep aircondition work , bring water cooler . service keep expectation Sheraton 4 star property closet door , bath room door place touch could keep open . the room clean , lobby small , bar area non smoking area , smell smoke . 
 May 31 2005 	 lovely room comfortable bed ! 	 husband stay Sheraton Park Lane hotel 3 night January . pay 165 pound per night . quite lovely elegant great location . upgrade renovate executive room , huge , extremely comfortable bed , & amp ; closet , sit area , spacious bathroom bidet , tub , separate shower . room right next elevator , quiet . back side hotel , face Picadilly . staff friendly concierge quite helpful theatre booking train station / schedule information . love british character hotel . tea quite expensive 20 pound per person , matter eat , chalk experience . would definitely stay two we , would pricey place stay kid . Green Park tube station three block away . 
 May 28 2005 	 Great Value - Smokey Lobby 	 hotel great location . room good sized - sprang large room worth money . get good weekend rate . bed bathroom really clean comfy . would stay . room quiet mile lift . nice . I would tea lobby . two femaile guest disgust tea overwhelmed cigar smoke - even though ask non - smoking table , not get one not tell . tea pricey tea hotel area . eventually move complain . afternoon tea place like come hassle - period . lovely room . ok food . ok service . smoke almost everywhere . tea tension not mix . mom lady friend highly annoyed . 
 May 22 2005 	 Park Lane London - Average 	 stay 5 day April 2005 . like other , worried negative review . Starwood Gold , call Starwood request renovated room . problem check . remind request renovated room . good room . Ave . size London hotel . great bed . Robe . tea setup . bath little small shower / tub combo , fine one . helpful , friendly doorman suggest breakfast Shephard 's market around corner . concierge good . call cab twice lunch reservation different restaurant London business lunch come fine . safe deposit box available . certain check cab drop main entrance ( Picadilly ) , especially luggage . 2 blk easy walk Green Park tube . T - Mobile wireless available throughout hotel . pay get T - Mobile account leave US ask access UK elsewhere abroad . much cheap way . also T - Mobile available Starbucks , seem every block UK . converter not work , deliver one . weigh 10 lbs size shoebox , work . would stay . 
 may 19 2005 	 high point trip 	 enjoy hotel much . stay suite first floor balcony view Green Park . although hotel old quite charming , well maintain decorate find staff pleasant helpful . hotel locate right middle everything , half - mile Buckingham Palace although probably little pricey note locate one expensive neighborhood planet . consider stay Park Lane high point european vacation . 
 Apr 27 2005 	 really 5 * ... 	 stay Park Lane Sheraton Hotel 22nd 25th April . expect real 5 * hotel accord Sheraton label . outside seem like typical London & quot ; grand & quot ; hotel . first impression come fact upon enterre reception area , rather big hall . cross sit room / bar another door , reach small area find reception right . apparently & quot ; main & quot ; entrance back street Picadilly . ( ) multinational staff handle discussion angry customer front we , assign room 1st floor . upon reach , discover room tiny could bearily open suitcase , & quot ; view & quot ; tiny courtyard . go back receptin time room last floor park view . good thing . room size , time bathroom even small previous . two adult could not inside , unless one bath tub ... bed small ( ' m small guy ... ) confortable . I know suppose standard room think Sheraton 's standard go low hotel . anyway , pay room ( actually not ... ) would consider bad deal , regard relation quality / price show . for someone know Sheraton hotel Portugal , particular one disapointing . surelly must well hotel price range London . look ! 
 Apr 14 2005 	 would never go back 	 someone break hotel room first day stay . carry valuable belonging we nothing steal , still unpleasant thing get pay much room . but credit go staff handle situation well . great location excellent continental breakfast . 
 Apr 10 2005 	 wonderful service old charm ! 	 read bad review little hesitant book hotel .. however : daughter spend 3 wonderful day Park Lane Hotel . room oversized view Green Park . bed well hotelbe ever sleep stay hundred hotel worldwide . hotel old perfect shape charm staff extremely helpful nice location could well ! continental breakfast nice , quite expensive , hotel London . Mrs. Camilla Lejon , Sweden . 
 Apr 6 2005 	 worth money ! ! 	 dissapointe price Sheraton quality . bed awful old . AC vent squeky call fixing . bathroom heat floor despite summer heat . room look fade hallway smell bit . business center nothing work . poor value . 
 Mar 29 2005 	 worth money ! 	 location great good hotel . room stay weird , old hype . a / c do not work entire floor heat already 75f outside . disapointe service staff tell think want hear ( truth ) . 
 Mar 24 2005 	 enjoy stay 	 wife return fabulous vacation London . nervous stay Park Lane read many review site . however , find stay wonderful . room would call & quot ; oversized king & quot ; . call suite . , still , spacious . huge bathroom marble countertop , huge enclose shower stall , separate tub . room overlook Green Park . bed exceptionally comfortable . heat towel rack welcome bonus frigid February . we stay six night get know ins outs hotel . staff always friendly helpful . the good part hotel , though , 's location . ideal center London . two block Green Park tube stop . catch one three tube line anywhere Central London matter minute . overall , would give hotel huge & quot ; thumb & quot ; . final night London Rennaissance Gatwick ( flight early next morning ) . one night rennaissance make we appreciate Park Lane Sheraton even . 
 Mar 22 2005 	 nice tea room shame kettles 	 Park Lane Sheraton bad hotel . lovely Palm Court afternoon tea late night drink convenient . stay last minute quite like collect starwood point . trouble reception staff little brusque thing make quite good could - least go charge £ 5 kettle room ( not charge end point have get teabag ! ) , cost , would think would well . faucet ( tap ) bathroom stiff , light bulb blow , major know , , little disappointing . concierge helpful round okay experience . 
 Mar 13 2005 	 really nice London hotel 	 come back comfortable five night stay Park Lane Hotel Pickadilly . not listen complainer site , almost . hotel deserve bum rap give . lovely , well locate hotel staff anxious please . concierge helpful , go way way help we . can not beat bed , Sheraton , Sweet Sleepers sooooo welcome long flight . room spacious , fresh clean lovely luxurious feel . sleep three full sized people easily one comfy pull couch . problem room temperature even though freeze outside . pleased find hotel really within easy walk distance fabuous shopping , dine Green Park tube station . walk legendary shopping around Mayfair Bond Street pleasure even find walk theatre possibility . Hop on/ hop bus tour start Green Park tube station join tour simple . we able stroll Fortnum Mason 's breakfast tea stop Hatchard 's , peerless old bookstore next door . Burlington Arcade Ritz also nearby Buckingham Palace . sometimes eat one charming place old Shepard 's Market area tuck directly behind Park Lane . 's delightful warren old , old building interesting shop , restaurant period pub . Park Lane next door pricey Atheneum Hotel Japanese Embassy . overlooks Green Park though would suggest room bit back rather overlook park , simply peace quiet Picadilly main road elegance . even good hotel silence siren go middle night . I would hesitation go back . teenage son declare & quot ; loved & quot ; would agree . mother , age 85 we , stay fabulous hotel time , New York , London elsewhere . nice hotel . 
 Mar 1 2005 	 Sheraton Park Lane want Charge Tea Maker 	 stay hotel last weekend two night stay . notice room tea maker . call room service tell cost room service provide tea maker would 5 pound plus delivery charge plus vat . addition need tea bag restock next day would additional charge something like 4 pound . talk manager get outreageous charge drop . actually try say London hotel provide tea maker anymore . the room small dim ( 60 watt bulb , difficult read ) . bed comfortable location nice hard recommend . 
 Jan 29 2005 	 love park lane 	 daughter return London pleasure stay Park Lane . mix feeling whether do right thing book hotel read poor review book pay travel agent say would nice . stay total four night beforepicke tour Europe excellent every way , comfy bed , beautifully appoint ( standard room ) , great breakfast close centre london ( 10 minute Picadilly ! ! 
 Jan 26 2005 	 great location great room / some tired 	 stay 4 night August 2004 . hotel location great -- block Tube walk distance Piccadilly Circus theatre . the staff friendly typically English . we spend 2 night room quite tired need renovation , though clean . average size English standard . noisy neighbor switch really super room -- nice newly decorate , big comfortable . frustrate we since Starwood Gold upgrade well room start ( hotel full week ) . 
 Jan 25 2005 	 great location room mixed bag 	 get back 3 day . arrive , hotel full place room really smell moldy , however , personnel good job try fix problem . bathroom small cramp . husband Starwood Platinum , luckily next day ( room hotel ) able upgrade suite - happy with . overall , many people state , hotel need renovation . fun art deco feel . location great convenient many thing . one thing , want quiet , ask place back side ( non park side ) hotel - might get earful around pub closing time ( unless change propose 24 hr rule ) ..... 
 Jan 1 2005 	 Good Bad ... odd ! 	 return four night Park Lane . GOOD would say staff find friendly helpful fact location fantastic . bad would room . room stay unbelievably hot temperature control room work . solve problem leave window open . bathroom small hard maneuver sink constantly back take long time drain . carpet need replacement bed white comforter appear new . post other , odd part back door front door quite strange enter thru main street entrance ( walk , drive ride ) although walk bar / restaurant area get lobby & quot ; lift & quot ; . hotel old problem exist like old hotel not mind without good & quot ; modern convenience & quot ; recommend hotel . however , be look four five star hotel american standard , would look elsewhere . 
 Jan 1 2005 	 wonderful staff - nice traditional hotel 	 stay Park Lane several occasion feel hotel receive many unfair review feel obliged provide comment . find staff Park Lane helpful friendly overall , although room standard top 5 star hotel London , find Reception staff helpful totally happy room assign . new Sweet Sleeper bed greatly improve quality hotel 's bed aware room room renovation take place hopefully help erase problem room trip advisor reader encounter . expect brand new , modern 5 star hotel believe Park Lane might . hand enjoy atmosphere traditional hotel comfortable relaxed feel would recommend give Park Lane chance . 
 Dec 28 2004 	 disappointing 	 Park Lane beautiful location enter front door ( oddly back ) thing go hill . junior suite room border dirty -- certainly dank . bathroom nice otherwise room disappointing -- bed comfortable expect price . , one night fire alarm go hotel every twenty minute . one - time technical problem go happen occassion , unacceptable staff 's reaction -- indifference . ( explanation apology ever come ! ) would stay despite loyalty Starwood program . 
 Oct 31 2004 	 Suites great standard room mediocre 	 one grand old London hotel , still charm - good location , lovely oak room drink ... small reception , surprisingly back hotel ( carry bag hotel main entrance main road , Piccadilly , be no - one help ) unless take cab arrive tiny back street . I first stay Sept ' ordinary ' guest . well , Starwood Gold status , not seem count anything - upgrade offer . room mediocre - shower not work , neither plug basin ; room comfortable enough , everything old fade side , view . and reach Starwood Platinum status , follow two stay see upgrade suite . huge , beautiful , incredily comfortable - absolutely fantastic room . overall , feel like place need investment . 
 Oct 28 2004 	 Outstanding Hotel 	 last week March 04 , ( , wife , sister ) stay 6 night one Sheraton Park Lane Hotels triple room . accommodation outstanding . matter fact , everything hotel outstanding . full breakfast include cost room . entire staff extremely polite friendly . hotel locate Picaddilly Street across Green Park . within walking distance many location ( 10 minute nearest metro stop ; 15 minute picaddilly Square ; 15 minute Buckingham Palace ; 25 minute Westminster Abbey ; 3 minute Hard Rock Cafe ) . would definitely recommend stay Sheraton Park Lane Hotel . 
 Oct 22 2004 	 good 3 star hotel 	 stay Park Lane Sheraton 3 night October . one bad Sheraton hotel ' ve ever stay . room large executive corner room look furnish like hospital room & quot ; 5 - star luxury & quot ; advertise ! carpet old dirty , air - conditioning working , tile bathroom dirty break , tv set small , furniture look right day inn ! lobby talk , old dark dingy bar expensive menu item ! good 3 - star hotel worth price ( get 3 2 deal starwood still end pay $ 300 / night ) 
 Oct 22 2004 	 bad 5 star hotel london 	 one ambition whilst mortal coil stay least one night every 5 star hotel london . it great misfortune choose 3 night one . the room stale , shabby , shoddy word begin s. when check staff ask enjoy stay would normally quite neutral wasent happy ( british trait ) occasion tell truth . the answer get staff tell refurb take place next year . in good enough . Sheraton bold enough downgrade place three star untill say refurb happen . 
 Oct 19 2004 	 Sheraton ashamed 	 wife stay 3 day - prebooke / prepaid starwood site - wish have not - look 3 different room awful , dirty dingy - end realise throw away money choose stay . final room least do not mould ! ! fridge hole - earth Sheraton piece rubbish reflect badly brand - gather staff comment sheraton fight actual owner / landlord probably zero money spend boy show 
 Oct 5 2004 	 Park Lane Home Infirm ! ! 	 misfortune stay Park Lane , thank goodness one night . wander hallway fifth floor strike pungent stench one would normally associate aftermath fire . the smell permeate room suspect , everyone else 's . room ! ! describe ... furnish like council - run nursing home , except nursing home probably standard basic cleanliness adhere to . Filthy , Smelly , Shabby Basic , succcinct summary would say . 
 Sep 24 2004 	 perfect location professional staff 	 perfect location travel around london . lot food nightlife within block hotel nice . staff attentive warm . starwood platinum , room exceptional . bargain compare hotel around area , mayfair ! ! ! .. kudo staff cheer 
 Sep 19 2004 	 great location lousy room 	 stay weekend night September . can not beat location room , oh , room . Dingy , dank , drab downright awful . lovely view hotel 's flat roof chock full machinery ventilation equipment make awful racket , dissipate -- along chance fresh air -- close double - glaze window . bed soft uncomfortable . Carpet stain beyond belief . & quot ; Endless Weekend & quot ; package 10 p.m. late checkout . reception disavow knowledge late checkout threaten flash confirmation notice . watch surcharge toll - free number room . 's 50 pence minute ! Sheraton ashame lend name establishment . 
 Sep 18 2004 	 Better B 	 finish one week stay Park Lane . choose stay parent first probably visit London , desire central location , moreover , want comfort expect pay 200 pound per night . very dissappointed . first , Mattresses horrible . apparently process replace , request different room get one much well bed , not expect need that . further dissapointment insue . promise include full breakfast * * include , take advantage sale Sheraton website . rip - off , sale say nothing reduction normal accomodation ! heat control completely break room . not work . parent room , request service person plane edge door , could not get shut without slam . carpet room old dirty . bed cover cigarette burn . numerous problem bath / plumbing functionality . overall , ' ve much well experience London half price less . 
 Sep 15 2004 	 large room dark dingy 	 Stayed Park Lane Sheraton three night May 2004 . although room quite large , especially London , dark dingy window face another wall hotel . poor lighting room , carpeting bed cover appear old worn . phone line desk room , sit bed use dial - up computer . front desk inform flat fee use dial - up , turn apply access number isp toll - free number . mine local ( London ) number , imagine surprise hit 100 pound charge internet access . many well choice London . 
 Sep 14 2004 	 bad Sheraton Hotel 	 can not believe Sheraton hotel . 's bad hotel ever stay Sheraton . not get fool outside , rate less 3 star ! ! ! never 
 Sep 14 2004 	 adequate choice 	 family 3 stay Sept 3 - 8 . quite pleasantly surprised , negative review , find decent hotel . overall have rate adequate , extraordinary , problem . we stay free starpoint . Oherwise not know would do . London EXTREMELY expensive , ' m glad not look find someplace cheap . try reserve 3 find late reservation 2 . get large room would accomodate cot cost upgrade 1,000 point additional 45 pound . certainly worth . confusion fault , hotel's . I ready bad see huge stain rug reception area , last saw wear tear . room northwest corner view . blissfully quiet , room face Green Park probably noisy night , due lot motorcycle town . room hall common room seem clean well maintain . housekeeping staff young Russiians . even machine exercise room work . room central airconditioning , keep . quite sunny warm humid time , A / c let we sleep well night . a / c easy adjust . wife son allergic mold , least trace , even heat humidity . the room large enough could move around easily even cot place . bathroom large brilliant , huge shower separate bath . lot closet space , quite enough drawer space 3 we . the location note fabulous . Green Park underground station 200 yard east , station Picadilly line , run straight airport . haul heavy suitcase train stair escalator tube station , easy downhill roll along wide sidewalk hotel . reception area hotel back Brick Street , not tell lugged suitcase stairs Palm Court . simple sign front door would helpful . I choke price small purchase London , try eat hotel . continental buffet 14 pound full breakfast 18 pound ruin appetite . take short stroll black east well dress young Londoners starbuck good breakfast 6 pound . actually prefer Pret - a - manger store right next , lot choice . right Green Park station large Marks Spencer food shop , huge selection lunch munchie keep room goody . one good feature hotel location proximity Shepard Market , area wind little street pack small international restaurant pub . eat 3 time , turkish well . be even Polish / mexican place . 's London . easy way maze walk north White Horse Street , 2 block east hotel . all decent place stay . 
 Sep 3 2004 	 pleasantly surprised ... 	 visit July 17 - 20 , first time London . work hotel / hospitality industry picky . booked room stumble across website . see previous review bit hesitant , stay anyway . upon arrival hotel 8 am , pleasantly check we ( expect wait later . ) room bit small ( see fire escape floor plan back door - small room floor ) . however , still manageable . room clean , nicely decorate , bed linen perfect . bathroom clean stark ( whole lot decor . ) water pressure amazing . bath robe & amp ; towel super thick luxurious . portable AC unit room work great , however , end keep window open time since pleasant weather . view - non - existant . location - BEST . close Metro anywhere , anytime . afternoon tea Palm Court ... server incredibly courteous food great . old building - floor may creak , etc . - think add charm . ultimately enjoy stay would go back . 
 Aug 24 2004 	 still good choice . 	 first night power cut , [ national grid fail ] 4.30 fire alarm went repeat every hour till breakfast . nightmare start management refunded room night send fruit etc . as frequent visitor London would recommend hotel , perfect location , lot friendly staff clean well present room . downside poor AC fact room park view . forget expense , apply every hotel city ; four season Mandarin oriental well twice price . a final note first night , leave mini bar charge waive receive letter get home explain nature power failure . think management everything could make stay pleasant would stay . 
