Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Jun 19 2008 	 Terrible Hotel 	 bad hotel ever stay . air conditioning heat wave . Rooms fan unit could set temp never blow cool air . room dirty moldy smell . mold ceiling mirror . dirty carpet . one room bed sheet clean . switch room 5 time . one room , toilet leak bathroom floor . all hallway smell smoke hot . cold water vending machine , staff tell we buy water gift shop , gift shop water too . see numerous guest bring fan room . be tell staff want fan go buy one , like guest . internet never work 5 day . staff rude . have ask maid several time towel , ice bucket liner , glass , etc ... try call every number get towel , never answer phone . have make numerous trip downstairs thing maid never bring . when ask never answer phone manager say many complaint deal not time take phone call . staff extremely rude . slept cushion floor 4 night mattress pull bed suite thin could feel metal coil , least suite not smell mildew . try change hotel every thing book 5 day need room . horrible hotel . stay risk call 311 complain . think 's health hazard air conditioning . 
 Jun 17 2008 	 everything Need - thing want 	 spend 4 night Park Central Hotel . find nice hotel good location . not stuff might find sheraton westin , price 's good choice . find though , stay hotel everything need thing want . thing need : Comfy BedGood LocationNice pricecleanthing want : decent sized roomlcd tvquality Workout FacilityDecent Resturaunt / BarLuggage Storage CheckinGood ServiceThings want not haveworking air conditioning ( least ) spacious Lobby ( always busy loud ) Luggage Storage Checkout ( pay ) Business Center ( pay wifi though ) hot weekend NYC A / c problem , enough make move . eat lot ice , be like spend ton time hotel room anyway . kind give discount breakfast morning . make reservation day get average 200 / night . price please . hotel seem favorite large school group foreign business traveller , not think be go relax lobby . 
 Jun 17 2008 	 hot ... hot ... hot 	 start ? ? ? ? first , NYC hot day many year - June 7 - 10 . graduation ceremony , choice date . room quite nice -- start -- second day 100 outside , air conditioning speak , unless , call sputter luke warm air comfort .. 2 day thankful air . elevator go strike along air conditioner . three flight stairs good heat 80 year old , like mom ! price food NYC , would seem brainer hotel small refrigerator -- nope -- frig . microwave -- guess electricity would take away air conditioner , plus , people might try use frig cool room . oh , ask fan available tell give one hotel could go buy one would reimburse we cost . advertise aminitie like hair dryer - non - functioning , light shower - nope , shower dark make heat well least claim ! negative say : manager staff nice know control air conditioning problem , plus , adjust bill , not help unbearable heat least not feel like take frightening ride ... like taxi ride airport hotel ! 
 Jun 17 2008 	 dirty room break air conditioning break elevator bad management 	 take three room hotel boy weekend New York June 2008 . upon check , tell front desk air conditioning work " convenience " could buy fan hotel would reimburse we . hotel refuse provide we fan – expect we buy . 88 degree New York sleep window curtain open make room bearable . meant get wake dawn daylight noise city outside . some we put smoking room , despite book non - smoking room several month advance . corridor room stank cigarette . all three room dirty linen , range cigarette mark sheet pillow , disgust yellow stain one duvet look like someone throw curry bed . several elevator service use stair seventh floor . when complain manager , refuse anything , say elevator fine get fan room " ' going happen " . refuse refund form discount . never see hotel manager less concerned wellbeing guest . this place rely location tourist business . clearly worry repeat custom . lucky , never go back . 
 Jun 16 2008 	 AIR CONDITIONING ! ! ! try cancel charge anyway . 	 bad review ' ve read true . really get feel staff could give crap experience . try cancel follow night since 6 pm ( 2 hour past 4 pm cutoff charge another $ 328 another night ) . try get bed night awful- heat unbearable . obviously , not right thing let we agreement ( since not hold end bargain ) instead take advantage many guest want go hotel air conditioning . 
 Jun 16 2008 	 Inonia 	 internal control awful - lose booking 2 month charge 300 usd credit card without authorization fake booking . 
 Jun 15 2008 	 bad great 	 tell brother book hotel , look website read review happy read . upon arrive hotel , though hotel look asthetically pleasing . exceptionally tired long flight need sleep . concierge staff helpful . Dennis manager appear helpful check we try good meet request quiet room . go assign room , find people assign room ! could not believe . go back front desk reassign new room ! finally assign new room . room look 5 star ! throughout 8 day stay find hotel completely pleasing standard . firstly neighbour noisy . anger person keep smoke corridor every night , good asthmatic . ask management look , problem never get solve . bed comfortable .. however housekeeping never make bed properly , sheet tuck bed make properly . linen stain too . they never vaccume floor properly . test , leave crumb floor not clean up . the room really stuffy ! open window air daily . convenience wise hotel centrally locate . short walk Central Park Times Square . good thing locate near 57th Street subway station . the room service annoy . ask slice Godiva Chocolate Cheesecake , see restaurant menu instead deliver cheesecake . question person say right one , lie tell white chocolate , clearly not eat . stupid thing also , order downstair take back hotel room . room service worth 18.5 % + 10 % + $ 3 ish dollar fee . the internet slow expensive ! room still fairly noisy , standard ny.i find quite annoying hotel well equip brochure stand . waste time lining concierge desk ask advice . always busy . room tea / coffee / microwave / sink facility . annoying . even Salisbury hotel , much cheap hotel stay facility . the lift slow , sometimes wait forever get lift ! least bathroom clean equip ( minus shower cap ) overall hotel average . would describe hotel chameleon . look great outside , really not great , especially price pay . 
 Jun 13 2008 	 Park Central Ghost Town ! 	 mean Park Central Ghost Town . lack employee find . room remodel quite large city , close 850 square foot , air conditioning horrible non work . vintage old wall unit never clean . even lobby common area . hear many complain short stay . great location go room midnight . security anyone could walk elevator 24/7 . price gouge expect tourist central location . would go back unless winter . plan stay do not expect service will not find anyone complain . 
 Jun 12 2008 	 Good Bad Ugly 	 first good : location excellent ! Park central central New York City 's famous location . block Times Square , Central Park , Rockefeller Center , Ed Sullivan Theatre , Broadway theatre , Carnegie Hall . addition , double - decker sight see bus pick - up location right outside hotel . also subway stop outside one door . area nice husband feel completely comfortable walk late night . lobby nice , room . room good sized , New York City standard , tastefully decorate . bathroom plenty big enough . bad : elevator PAINFULLY slow . seem problem go go . idea , assessment situation . however , supposedly upgrade elevator see crew appear signficant construction . maybe situation rectify soon . 6th floor , often take stair , really not big deal . plan use internet , plan . expensive , like elevator , painfully slow . ugly , mean ugly : arrive hotel Saturday , check room turn air conditone . return late night , room defintely cool , frigid cold often get hotel room cool individual unit . notice , proceed bed . wake Sunday , room feel somewhat cool , unit not seem pump cold air . return night , obvious air work . call front desk , tell we indeed air work hope situation resolve soon ask patience . husband understand deal situation . needless say , next morning , room hot , stay New York City record heat . get ready day confident would resolve return afternoon order freshen dinner . luck . still hot humidity start settle . , inquire tell break , repaired , believe would return evening . return dinner , still air . Tuesday morning get 2 hour sleep heat , demand something do . talk manager name Denis become loud conversation attract attention other check . tell call Orbitz something would work , pretty rude , even though feel pretty courteous polite . call Orbitz manage get we $ 422 refunded , apparently equivalent 50 % three night stay . many people complain staff rude ; however , exception Denis , husband never find case . always make point great name ask start conversation . , location , would consider stay , particulary know temperature would control . 
 Jun 12 2008 	 Park Central Hotel terrible management 	 first night arrive come back hotel , room door ajar , radio blaring showerhead sit side tub . ask move compe . agreed2nd 3rd night AC , heat wave 97 degree . hotel mgmt & quot ; Dennis & quot ; never available , offer assistance move new hotel . lobby full angry people . go 3 different people demand refund . also comp first night promise , stand line angry customer get bill adjust . Maid svc awful . clean linens bed . dirty wall . I would comfortable sleep bench Central Park . 
 Jun 12 2008 	 Crap hotel 	 bad experience ever hotel . the air conditioning turn work . tell break working . even offer we water , come heatwave June 7th - 9th . room really clean blind bathroom mold elevator always work , long walk upstairs 's heatwave . recommend hotel . people duty guest relation desk interested anyone complaint , many complaint regard A / c thing . 
 Jun 11 2008 	 never ! ! 	 not stay hotel . smug , rude , glib , uncare hotel employee . the employee tell one thing find will not hold room . late check - in ? tell would hold ? forget . one care . not matter . give room away make we wait half hour ... 2:00 morning ... confirm 2:00 a.m. check - in ... Kev , hotel operator ... put we room store item appliance , change we . smug not really care inconvenience . I stay hotel NYC , rudeness level surpass even abrasive New Yorker . there poor air circulationin room , room air conditioning insufficient . common hall hot . ask fan room tell go Duane Reede 's buy one ... front desk clerk . the elevator excruciatingly slow , aggravate extra trip make front desk -- not ANSWER PHONES THERE.I grab towel guy get wake - up call one answer phone , try every number little book leave room . try extension endlessly . hotel great location , would never stay . plus , expensive .. not bother ! ! 
 Jun 10 2008 	 nice place . bad service . 	 get good deal hotel web airfare , etc . great location , curb appeal nice , lobby room par descent place NYC . ... elevator hardly ever work . especially come back . luckily 4th floor end take stair time get . apparently & quot ; elevator repair & quot ; sign quite now . and $ 15 day internet painfully slow , could even load single page less 5 minute . eventually gave go local pub hook someone 's wifi . ( think call Rumors ? good pub . ) shower drain slow shower would fill inch water every shower . ask new room . ask bring luggage back downstairs storage could & quot ; check & quot ; get check & quot ; back & quot ; . well get new room 15 minute later take luggage back 4th floor . yes , shower still problem . would not move tell we 's way . new room , air also work either . guess downgrade . so look nice look hotel great location fair deal , maybe . stay couple day expect everything actually work correctly , not think place . 
 Jun 4 2008 	 terrible experience loyal guest 	 staying business almost five year refer several colleague . past two year , service , cleanliness , everything deteriorate continually . terrific location , overlook lot bad experience . stay May 22 , 2008 put end . book horrible , dirty room third floor adjoin wall elevator not work properly make terrible scrape noise time elevator operate . call front desk almost 30 minute one answer phone . go downstairs talk manager duty , could less interested problem go say since allow check prior 4:00 -- stick room feel lucky . insist room available , even go back room check hotel reservation site -- plenty room rate $ 50 less paying . speak manager , point become belligerent actually smirk ! clearly enjoy position power . go back . 
 May 30 2008 	 Good Hotel would absolutely go back ! ! 	 stay 3 night couple week ago love . location fantastic first visit New York . room clean good size . little hesistant upon read bad review stay realize people picky . 5 star hotel . alot people review badly cause check time 4 pm , get upset could not check early , elevator slow , people rude . well know going check 4 pm . find everything sufficient staff polite . hotel bar convenient John great bartender friendly . New York City , need spend little time hotel anyways ! would absolutely go back ! ! 
 may 30 2008 	 good hotel 	 second time stay hotel , will not last . guy desk nice , laugh joke check we . early , 2 pm , room ready , say slightly large room 11th floor , disabled room bath , say long not mind bath could , take . real view , could see 7th Ave park cafe road , nothing much else , not mind , have go New York enjoy city hotel view . hotel great location , 3 block central park , 6 time square , Subway around corner lot place eat near lot show doorstep . find hotel bar little expensive , hotel bar , simply solve drinking go somewhere else ! nice little irish bar 2 block away . overall enjoy stay definitely return hotelthere 2 thing ; like say . first , People moan turn 1 pm room available ... check 4 pm , room available , give one , like , room ready , wait , ; pay room 4 pm , can not ready ! second , there s restaurant near times square call Maxies , girl friend go , bad send whole lot back not pay , never do , far bad meal ever ! 
 May 27 2008 	 Great Location 	 lobby hotel impressive , unlike room . like reviwer , find desk clerk unintereste friendly . & quot ; welcome , please thankyou & quot ; utter clerk . the room 24th floor view brick wall . upon enter room , find bed opposite entrance , mean lift full suitcase bedside table get room . we find room clean bed comfortable . location could not well , 2 block Central Park , near 5th Ave , Broadway Times Square . 
 may 24 2008 	 great value location 	 stay Park Central four night first trip NYC would hesitate stay . location beat . 's adjacent subway , close many great dining choice ( include Carnegie Deli Redeye Grill - yum ! ) within walk distance Central Park Columbus Cicle . enjoyed go walk around park know nice area hotel close . rate reasonable , room surprisingly spacious comfortable bed flat screen tv . enjoy restaurant bar downstairs although pricey . overall , be look convenient place stay good price , will not disappoint . 
 may 21 2008 	 great hotel 	 return stay Park central second time . hotel perfect location New York visitor . subway stop right outside . many restaurant within 1 block , easy walk central park , times square theatre . room quite large ny standard bed bed comfortable . time inside room . really like hear street noise . conceirge desk much kind time around . baggae check helpful inexpensive . return trip NY look Park Central first . 
 May 15 2008 	 CHEAP CLEAN LOTS PRIVACY exellent location ! ! 	 boyfriend stay Park Central January 2008 6 day , first trip New York love every minute ! hotel brilliant need . clean , large comfy bed , warm quiet . shower hot water immaculate towel fluffy ! also room security good . else need ? ? like people would , worry read negative review . really need worry . location hotel fab , 7th ave 2 block Time Square around 5min walk . everything want close within walking distance , Broadway , restaurant , shopping ! ! ! subway station around corner tout greyline tour bus along avenue . also central park right hotel . hotel restaurant not look , not eat would many great place eat little italy , china town on . alot people mention rude staff , do not experience prob else expect american new yorker ? ! know abruptness ! not bother staff , cleaner friendly whenever pass . also always wait leave room enter ( early wake call , cleaner let ! ) really enjoy , great location , close ! ! would def stay , would hate stay top Time Square , hustle bustle , can not imagine get peaceful night sleep ! ! hotel mean luxurious , one good I ve stay . wonderful city hotel would payed alot stay . xxx Lea , London 
 May 14 2008 	 rude staff ... 	 stay week ago . rude front desk . broken show handle - hard turn shower . tell booking directly need 2 hr delay check reserve room . say problem . day , rude front desk person refuse even though make official note . tell shower handle break .. response , apology , ' oh ! ' never stay , even though go NYC every month - stick usual hotel , except time need one near Lincoln Centre . 
 May 14 2008 	 get good Rate will Happy 	 $ 200 / night average Expedia . institutional - style hotel : big - many room , several elevator - old ( permanent - style sign post & quot ; pardon elevator upgrade & quot ; though upgrading apparently go ) , odd - shape room ( office building ? room ( 805 ) 10 foot wide 30 foot long ) , etc . need updgrade , centrally locate Park / midtown / subway . though 8th floor , could hear street noise jackhammere : get upper floor ( 23 floor ) .also , get good rate satisfied . 
 May 13 2008 	 location everything ! ! ! 	 stay hotel 4 night end April . location great - impressed central park literally doorstep could walk major attraction Time Square Rockefeller . Grey Line tour must new tourist New York locate outside add convenience . hotel clean tastefully decorate . room two lovely large double bed little dissapointed lack view ( look Hooters accross street ) although accept big city expect . major gripe hotel lack room amenity , kettle tea , coffee even water mini bar . however bar expensive conveniently locate quick pre - dinner drink . overall like hotel may even consider go back re - visit New York . rate excellent , amenity clean good location . however go New York sight see hotel important would look luxurious resort get away . 
 May 12 2008 	 great hotel 	 daughter 18th birthday celebration . arrive hotel Saturday morning 10:30 . helpful man name , Mike , check we tell we would give we call room go available early 4 pm . receive call 2 pm return hotel quick check front desk , room 11th floor great room . comfy bed , pillow large . great location , helpful friendly staff .. thank much positive experience . 
 May 10 2008 	 Fine ! 	 stay hotel 3 night November 07 girly weekend away base washing sleeping . fine room clean , spacious , hotel bar quite expensive ( do not drink do not want ) , staff fine helpful recommend local restaurant bar , try get we table various restaurant . eat breakfast cafe ( carnegie ? link directly another hotel ) directly across road , food great , try breakfast elsewhere , be not good service friendly . this hotel perfect want yes 3 star want perfect gorgeous hotel go 5 star , shopping sightseeing trip hotel brilliant centrally locate right near Central Park approx . 2 block 5th ave - remember correctly , 10 minute walk theatre land . and yes would stay ! 
 May 9 2008 	 bad staff ever ! 	 arrive 1 pm front desk come Boston . try check lady front desk say check time 4 pm . find strange since call hotel hour ask friend already check tell we check 2 pm . tell lady , basically say lie . come back later ( 6 pm ) start check process , time man ( Emanuel ) front desk . smile , point could not care less . start process give key , friend come behind say last name hope start check process . guy without look face pointed desk . wife ask could friend 's check simply answer lot attitude ( loud voice ) finish yet . simply ask attitude , enough guy start scream saying & quot ; not take [ -- ] & quot ; leave , stand , without room key . call manager manager come start scream telling would proceed check in . unbelievable ! though & quot ; Candid Camera & quot ; , unfortunately real . the location ok , room old stinky . not stay hotel unless last choice not care scream people suppose please . 
 May 5 2008 	 staff difficult 	 go hotel girl 's weekend . Booked hotel NYC.com get confirmation rate . check hotel , say rate would $ 50 per night . speak manager say reservation place , price would honored . really seem rather crooked ! room clean spacious , happy , towel room . call housekeeping 4 set towel go dinner . return , leave 2 set towel , call housekeeping ! Sunday morning , awaken 8 am maid try get room . thankfully , lock , not get whole way . yell , & quot ; check ! & quot ; go next room . hear every room hall -- much day sleep ! hotel busy line long ! would stay ! 
 May 3 2008 	 fine hotel mar unacceptably rude staff 	 arrive exhausted midday London greet stone - face receptionist tell we could check 4 pm , seem unusual hotel . query anything could get room early , blankly repeat check 4 pm though convenience . apology , conciliatory gesture , welcome smile extermely take aback rude manner . email day day England request non smoking room good view noone reply , call hotel tell rquest note asked recpetionist seem recognise say allocate room could promise anything room allocate first come first serve 4pm . add bizarre first impression , lobby fill totally inappropriate techno - pop music relay ear splitting volume lend relax environment create sense impersonallity discomfort . we take luggage store room option go try fill time could check . although keen see NY , die freshen rest long journey fun , plus concerned terrible welcome hotel become worried staff dismissive , room would terrible too . around 2.30 pm dropping tiredness decide go back hope room might come . queue receptionist 10 minute - people around we get edgy atmosphere stress around . finally get front man tell we could check till 4 . collapse terrible hotel bar balre tv loud music indifferent waiter . finally 3 pm ask room become available time tell one , smile , apology welcome . when open door room 12th floor relieve turn fine - ok view , quite large , modern style . however cleanliness really scratch - carpet not vacuum small hair bath . room service overprice even taxis extra charge wifi slow . building work go right outside window although every day first day wake early not prove real issue we , would stop we sleep later 8 am hotel staff ask tell we one day case . lift really slow one occasiona taxi driver purport work hotel fleece we use cab instead yellow taxi , promise rate , turn 50 % expensive . amuse note desk room card manager say hotel strive impress guest ! say emailed guest stay check happy still wait . overall stay acceptable end , location excellent staff eg maid polite , overall impression hotel simply care guest ' experience long get money . 
 may 2 2008 	 wonderful location 	 stay Park Central April 15 - 17 , 3 us girl 40 's 50 's share 1 room double bed 5th floor . find hotel staff accommodate helpful . arrive early able check baggage free baggage check area . yo check store luggage $ 3 fee per bag still great service . great location everything want comvenient Lincoln Center Rockefeller center . eat hotel Starbuck right across block Carnegie Deli Stage Deli . subway convenient . rate high night book ahead time offer special check website . room average amble room 3 people . bathroom good size bed good part . room could use spruce heat / air conditioner work look ancient . 5th floor could street traffic not bad . overall good time experience would recommend hotel . 
 Apr 29 2008 	 great location 	 average hotel great location 
 Apr 19 2008 	 Great Hotel 	 stay Park Central March ' 08 . worried review negative . check hotel 2.30pm , problem ever , room ready , not wait see , person desk polite helpful . room big imagine , load space fill shopping bag . bed comfortable . bathroom good size , negative thing shower powerful , not big issue . Room clean every day good standard . lift slow time . obviously peek time day , not bother we much . location hotel perfect ! min walk Times square Central Park , 5th avenue major attraction . the booking desk helpful , even book restaurant we answer question suggest thing . starbuck right next hotel subway across road , plenty place eat foot hotel . do not spend great amount time actual hotel , know beginning would place we sleep wash really way disappointed . there lot negative report truly say great stay would hesitate come back would defo recommend anyone . 
 Apr 18 2008 	 Comfortable Convenient 	 Date : 4/17/08reviewer : 2 lady go OperaThe room comfortable . sleep well . bureau 6 roomy drawer . closet right next bed , not real problem . problem light toilet repair immediately . view , room quiet . ice coke machine hall . coffee maker , starbuck around corner . close MoMA , much walk Lincoln Center , get turn around couple time come back . near favorite breakfast place , Sarabeth 's location Central Park . close favorite restaurant Rockefeller Center , Morrel 's . - 9 block . really see hotel staff except pass . get good map concierge . not use restaurant , look lovely . ideally , would like place close Central Park , like Jumeirah Essex , ( stay Jumeirah , excellent ) price go accordingly . love Lucerne 83rd , little trouble get back night - subway directionality problem . would go back Park Central . 
 Apr 18 2008 	 great ! ! ! 	 return stay 5 night Park Central , say would recommend hotel . early land JFK , make wait designate check time 4 pm , absolutely compromise , could opt put luggage store .... charge , decide eveybody else idea ! ! give smoking room request , wait 4 pm next day change room , therefore chunk sightseeing time lose . find one pleasant person reception , rest totally unintereste we . room tired need updating , bathroom dark ( even light ! ) , window absolutely filthy , view anything write home ! ! although clean , bed comfortable . charge $ 6 2 coffee breakfast room ( deli next door charge we $ 2.50 ) . go print borde card return flight ' business ' suite , machine eat dollar . location not bad , subway right corner . , choice choose another hotel . would stay hotel . 
 Apr 16 2008 	 Great Hotel Central Location Good Value 	 pleased hotel . first trip new york delight location central nice area . service good , rate reasonable room good - clean , decent decor well maintain . hotel decent free gymn , bar restaurant ( fairly expensive , lot place nearby ) .There subway stop right hotel , 5 min walk broadway / fifth avenue hundred yeard central park . base stay recommend park central highly etc . 
 Apr 15 2008 	 besides Location forget ! 	 spend 1 night 4/11 . Good:1 ) Location . right 7th avenue . 1 block Carnegie Hall stage DeliThe Ugly:1 ) check supposedly 4 . able obtain room key 4:20 . take 10 minute get 19th floor . 2 4 elevator bank operate . wife change clothe two stall bathroom avoid late 4:30 meeting ! 2 ) room small $ 300 night3 ) bed vacume prior visitor . 4 ) Shower would not drain.5 ) Thermostat HCAC would not control temperature cool 73 degrees.6 ) Light fixture bathroom rusted7 ) went check bag store could grab bite eat depart NYC . management would grant courtesy voucher store 2 bag hour ( even though greatly inconvenience previous day ) . want $ 3.50 store 2 bag . do not waste money hotel . much well one NYC ! 
 Apr 12 2008 	 Great Destination- Bad Service 	 stay 6 night . location good could see times square . check staff rude finally get get hotel room two thing wrong . firstly sheet bed nasty radiatior give cold instead hot air . deside call person fix radiator ee wrong . take person 30 minute come ur room ( room 405 ) . arrive say ' wait minute radiator need time warm ' tell sheet bed nasty call another person . person finally came say nastyness sheet ' stain . bad hotel . 
 Apr 11 2008 	 highly Recommend ! ! ! 	 highly recommend hotel stay NYC ! ! stay 11 night feb 2008 experience fantastic ! central location , walk distance 2 main subway line station , time square , central park , rockafellar centre , great restaurant etc ... room great value money , stay 23rd floor . large room bathroom always well clean . large plasma king size comfy bed , consistent photo web . would recommend anyone , stay . room ready 4 pm , arrive 2 pm , pay luggage store additional charge would complaint . 
 Apr 9 2008 	 great hotel . would recommend . 	 hotel perfect need . staff helpful . room clean . bathroom good size . bed comfy . great view window ( 17th floor ) location excellant first time visit . right Broadway Times Square . easy find end busy day . next excellant diner deli . eat breakfast great fun real ny experience . use internet check return flight . overall find hotel excellant value city centre base . the MacLeay familyscotland 
 Apr 2 2008 	 central feel great money . 	 stay hotel year , hotel impressive internet even arrive front foyer , however room disapointing , look onto could describe middle hotel brick walls.there also coffee facilite , see other go across road morning coffee bring back hotel , feel bad consider hotel opinion expensive . despite hotel ws central , convienent transport something eat ideal we short stay.however anoye one heater bedroom work , time cold , february.we going complain two night stay feel be not worth hastle , however still exceptable.wouldnt recommend hotel , especially plenty choose may offer well service area . 
 Mar 30 2008 	 go somewhere else 	 NY conference colleague stay hotel Hilton , Sheraton ( ) Marquis ; Park Central expensive least amenity ( coffee - make facility room , internet $ 13 day -- use wireless network Sheraton free ) . service dreadful ; key room not work day 1 take interminable lift back lobby , new key not work either . ask pass porter check key call security help . thirty minute later not arrive go back lobby . tell security shift change . get picture . one day internet not work , line give call check problem suggest & quot ; get hotel give new cable & quot ; . go desk tell problem day aware it . for good part $ 300 - a - day , stay somewhere else , waste money stay . 
 Mar 29 2008 	 love park central 	 park central lovely hotel new york , near central park within walk distance time square . also gym use morning . return park central hotel . 
 Mar 25 2008 	 place right 	 book hotel website price actually less expensive way mean . this second time stay . room clean , staff attentive , location really cool- near Carnegie Hall , Times Square Carnegie Deli . really good price amenity find . like work hotel gym , one pretty nice , clean free . 
 Mar 23 2008 	 stay 	 book room 2 double bed November 07 Mar 08 Hotel , arrive room type available put room 1 King Bed , would work . contact Manager helpful put slightly large room 1 King Bed 1 night . next day contact manager get move room book orginially tell none would available 4 pm must check current room 11 am leave we room half day . room stay first night cost much room book orginally Hotel would refund difference .... make sense . breakfast price approx $ 30 per head ? ? ? ? ? ? ? ? ? . believe word Manager / Reception Staff / Doormen tell ........ end cost benefit Hotel Staff way . Place Overpriced B & amp ; b employ thief suite .............. 
 Mar 18 2008 	 unfortunate incident ... 	 call hotel book room able reserve room two double bed great rate 129 - 99 / night ( depend wkday wkend ) . arrive , hotel room want available go room single King bed work we order cot bring room . change make room extremely tight . plumb awful pressure shower . move well room next day go pick car , notice radio tamper , magazine car belong we money steal locked glove compartment ! complain hotel management reply responsible parking attendant since not work directly hotel ( externally contract ) . last one may fault , leave expensive coat pair ugg bag room right checkout call back see retreived ... course not . great thing stay location hotel . close everything want city . 
 Mar 16 2008 	 love hotel 	 husband co - worker recommend hotel trip Christmas time . husband book look on - line review little worried . fortunately experience great , contrary negative review read . staff hotel courteous , room immaculate , location superb first visit . room fairly large , quiet extremely comfortable . furnishing lovely , flat screen tv , comfortable bed pillow . would hate see someone stay away hotel base bad review , experience good . location huge plus , not give comfort stay . Central Park two block away , subway entrance outside hotel , Rockefeller Center Time Square block away . price unbeatable quality get . would recommend anyone , would stay . 
 Mar 16 2008 	 great stay Park Central New York Hotel 	 despite many negative review hotel , great time 5 - day stay . & quot ; superior & quot ; room large normal standard additional room could queen - sized bed . check - in complete without trouble take probably less two minute enter hotel lobby . staff efficient eager please ( USA ) . room next emergency staircase mean probably large normal ( room number X57 x = floor number probably worth ask , ) . hotel excellent location block 5th Avenue , Rockfeller Center etc . next 57st subway station . hotel limosine service airport ( JFK - $ 60 ) share hotel guest . would definitely return . 
 Mar 11 2008 	 great location ! 	 planning visit New York month finally deceide go fot Park Central . disapointe . know expect 5 star luxury do not go New York stay hotel much . check hotel room till 4 pm , offer we another room really could not wait leave luggage hotel come back 4.the room pleasant , clean bed comfiest ever sleep , amazing ! ! ! ! good thing hotel location though , 2mins walk central park , 5 min 5th Avenue , 5 min Times Square literaly Broadway . there plenty deli 's , pizza place , starbuck store nearby never going go hungry ! find Fluffys deli , across road , wonderfull alot cheap benash deli next door . ray pizza also awesome , massive slice tasty pizza ! ! ! planning go New York shopping sight recommend hotel reasonably price brilliant location ! ! 
 Mar 10 2008 	 great hotel great rate great location 	 hotel step away Central Park , block Broadway , right beside Carnegie Hall . want see city , place stay . could believe price : $ 110,00 walk - in rate . however , book hotel internet , would get also breakfast include . internet access $ 12.00/24 hrs . the hotel clean , furniture modern staff friendly . good food restaurant . lot restaurant area . 
 Mar 9 2008 	 disappointing service great location 	 first , good : property 's location primo -- 57th & amp ; 7th -- catty - corner Carnegie Hall , block Central Park walking distance Times Square , Fifth Avenue shopping , great restaurant . well - equip fitness center plus , include elliptical , stationary bike , treadmill , nautilus weight machine free weight . book superior king room Expedia disappoint upon arrival put standard double room 7th floor . neighbor noisy -- extent need wear earplug -- return hotel midday business meeting , dismay noisy housekeeping staff . also bit annoyed find housekeeping take shortcut -- replace glass , instance , put new cover ( toothpaste residue tell tale . ) internet connectivity cost $ 12.95 day slow -- double - charge day upon check , quickly resolve . none typical amenity in - room coffee maker , etc . , decor spare elegant , everything clean stay ok . not feel staff willing whatever take care guest . compare similar property ' ve stay midtown -- Hilton Garden Inn Times Square Comfort Inn Manhattan , would not return . hand , be bad property . 
 Mar 8 2008 	 Excellent choise 	 second stay Hotel ( 4 night ) . include part flight / hotel package find Expedia . mid - town NY hotel , price ( est . $ 175 night ) , excellent choice . large room , well furnish well maintain . Park Cafe across street good breakfast . subway entrance side property ( 55th St ) . 
 Mar 6 2008 	 okay choice 	 stay hotel 2 night get queue line staff quite rude go room great view brick wall wallpaper peel electrical outlet . the room bit small also , location though great close walk Time Square ( less 5 min ) Central Park ( 10 min ) overall hotel pretty average hotel . 
 Mar 6 2008 	 good value good sized room 	 belate review discover website ! stay twice Park Central think good value money compare lot hotel NYC . time stay good sized room fair price . service polite exceptional location great - walkable Central Park , Times Square , moma etc etc . tourist bus stop directly outside well choose see city way . 
 Mar 5 2008 	 great hotel location clean slow lift ! 	 hotel well expect , room great size NY v clean . staff friendly , restaurant great food dinner one night tired shopping ! v close central park , 5th avenue / time sq 5 - 10 minute walk away . room quiet great good night sleep ! downside lift terribly slow , stair well lay - sign say ground floor - lift construction ok soon . concierge staff great , v helpful , brilliant tip get good reasonable food nearby - recommend fabulous little italian place time sq , def go back ! good meal week , wish have use advice ! 
 Mar 2 2008 	 Perfect 	 stay Park Central honeymoon NY . hotel situate perfectly heart midtown Manhattan , mean within walk distance Central Park , Times Square , Rockefeller Center , list go . also convenient subway make quick jaunt uptown . service cleanliness great would definately stay . 
