maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 oct 1 2009 	 Attention Walmart Shoppers place good deal 	 state Orleans Hotel Casino least 60 time last 5 year . stay like , , good value . large hotel casino big gaming floor , multiple restaurant , room service , pool , gym , business center , gift shop , bowling alley , etc . , & quot ; strip & quot ; mean center Vegas action . get well deal room get bored can not enjoy option walk next hotel like could strip . walk main Vegas attraction practical , far many , go though nice area , Vegas hot summer cold windy winter , need cab . hotel casino ajacent Arena convienient want see particular show event there . the personality client hotel vary significantly depend motorcycle racing , rodeo , basketball , concert go arena . room spacious work desk room coffee . maid seem organized job cleaning . say , PLACE TACKY ! & quot ; value & quot ; hotel attract Walmart group . want impress girlfriend go elsewhere . 
 Sep 30 2009 	 expect 	 Orleans truly budget hotel strip . expect read positive review Trip Advisor . bargain side Orleans balanced inconvenience take shuttle strip whenever want middle action . 's much Orleans . restaurant okay , exceptional . none real value except buffet . gamble loose . nothing video poker slot , win go Harrah 's Troipicana . Orleans need make something , like payout , exceptional attract customer . also , show week . still go strip entertainment . kid thing like pool , bowling alley , arcade . would stay away bargain instead look bargain strip . 
 Sep 25 2009 	 dirty 	 hallway room terrible sewage smell family 's 4 day visit . room someone else 's shaving leave sink check go dry face towel , notice inside , make stain . housekeeping clean room ( be call ) not empty trash . close pool area 6:30 pm Saturday night private party ( might add even use pool ) . guest pay alot money include $ 5.00 day resort fee workout room , pool , service 's crap pay guest can not even use pool time obviously high volume guest . 
 Sep 24 2009 	 pleasant stay 	 friendly staff , clean room , nothing complain . not room much , time spend great . clean . check - in staff helpful reccommende place go . would reccommend highly . 
 Sep 18 2009 	 Great Decent Hotel budget ! 	 25 year old 27 year old married couple 's review Scotland , UK : ) second time Orleans ( times stay September ) usual pleasant stay . love ! room big , always keep clean maid service do daily friendly . hotel room little date however £ 29 per night ( dependant time year ) complain . hotel everything need , 11 restuarant , bowling alley , cinema , arcade , good gambling table 3 pool name . pool area good , everything need inlcude big pool , baby pool jacuzzi drink reasonably price , throughout hotel also . food good , although due large portion heat tend eat two meal day that . we also notice new carpet throughout casino area , staff check casino smokey , Staff always helpful friendly . the downside location . last year 14th september year ( luckily leave day later ) free courtesy bus change . use drop Bills across Bellagio action frequent , every 10 minute bus journey take 5 minute . however 14th September year bus drop Tropicana pick less frequent , every half hour take alot long , half hour dependant traffic ( vegas busy busy 24/7 ) . upside Tropicana right next MGM , NewYork NewYork , Monte Carlo short walking distance mandalay Bay Luxor . do one day night . opinion though well Bellagio , Paris , Caesars , Flamingo , Planet Hollywood , Mirage , Treasure Island etc end . strip 4 mile long however traffic , light roadwork go it ll take hour half get Mandalay Bay Freemont Experience . same last year , tend get free bus Bellagio area back taxi top end strip ( south end , Mandalay Bay etc ) cost roughly $ 12.there sooo much Vegas stay twice 2 week time still never see everything . what 3 show load shop . Mystere @ Treasure Island must ! ! ! brilliant . also go see K.A @ MGM still good worth money opinion go see Steve Wyrick @ Planet Hollywood . good quite funny . all great value money can not complain really . always love stay would return Orleans although think might try strip next time however would come back ! 
 Sep 17 2009 	 great stay 	 hotel great . room clean , spacious nicely decorate . staff friendly . food Prime Loft Canal Street Cafe outstanding . would recommend hotel anyone . 
 Sep 14 2009 	 Great Hotel Great Price 	 friend stay couple night Orleans receive online offer include number extra stay . skeptical decide give chance read review Tripadvisor . let tell - one hidden gem ! fantastic hotel clean atmosphere , ton thing , price can not beat ! hotel feature newly renovate front casino exterior , actual hotel ( usually picture ) older date . room great size include everything need . bed room decor quite modern tastful . television standard CRT tube not watch . hotel almost size suite , feature full bathroom , 2 bed , television stand , dresser , night table . room also nice sit area loveseat coffee table chair , nice touch give idea room size . hotel feature number reasonably price franchise restaurant , include Subway , Sbarro , Fuddruckers Seattles Best Coffee Shops , amongst other . Subway fuddrucker open 24 hour day , nice late night snack . also buffet $ 7.99 , feature large selection average buffet food . nothing spectacular also nothing dislike buffet . restaurant include TGI Fridays , Prime Rib Loft , Big Al 's Oyster bar , Courtyard Cafe . lot selection relatively unknown hotel ! couple complaint hotel : arrive meet front desk clerk relatively cold unfriendly . find immediate turn - off , especially first face see . secondly , free internet room . ' ve write , bother feature many hotel offer cost . hotel offer free internet Seattles Best , nice able enjoy decent coffee work online good setting . overall , happy hotel would stay . would not stay $ 50 / night option nicer price right strip , sale promotion would hesitate stay . 
 Sep 12 2009 	 worth stay ... especially be budget . 	 ' m go to make simple : pro : - price- large clean room sit area- full - length mirror ( definitely come handy go ) - movie theater bowling alley property- fairly price buffet pretty good food- Free shuttle strip leave frequently- pool area bit dull clean never problem get chair . con : - closet bathroom ( sure make sense somebody ) - poor water pressure shower- casino full smoker ( even nonsmoke section ! ) could not gamble there.- fact shuttle end 12AM ( seem late not late enough Vegas ) - $ 5 resort fee per night fitness center , etc . ridiculous since not use it . overall , definitely hotel worth stay would go back heartbeat price stay low . can not beat price not far strip . 
 Sep 11 2009 	 Great Value Hotel 	 stay Orleans four night . room rate fantastic . room clean quite large . bed comfortable , bedding left bit desire . one thin blanket sheet , comforter . casino large table game good variety slot . unfortunately , 2 restaurant close . eat Prime Rib Loft , like , chicken . husband prime rib impress . also eat Miguels . good good value well . breakfast buffet , Bellagio , price good . main negative Orleans location . shuttle strip , convenient get casino restaurant stay strip . , great value money fantastic time . 
 Sep 9 2009 	 good ! 	 hotel self clean . room little date , get pay . bed comfortable service fine . the bad part hotel people hang . verydrunk scary people night . ' m talk partier either ' m talk drunkand creepy ! time get leave get awayfrom . difantly never stay , sorry ! ! ' m go backto green Valley , first class way ! 
 Sep 7 2009 	 much fun 	 stay Orleans great time . much around hotel . pub across street fantastic . location great could drive side road avoid trafic strip whenever go . pretty much entertain 4 day straight Orleans lot unpretentious . definitely stay . 
 Sep 6 2009 	 great value money 	 stay Vegas business week . enjoy spacious quiet room . individual A / c control precise . small work desk , comfortable bed , safe put paperwork , nice . 24 hour food entertainment downstairs . eat Big Al 's Oyster Bar downstairs . renovate food outstanding . order gumbo instead spoon pre - make batch , chef hand select shrimp , chicken , sausage , vegetable , spice , sauce cook serve small stainless pot . pot one maybe 10 row use cook individual order come . line row right bar . fun watch dish prepared order right front . good gumbo ever eat . work 20 minute ask go box waste bite . fabulous , expensive . always watch expense road , wish every place stay good week spend . 
 Sep 5 2009 	 average Clean Hotel 	 Orleans good choice budget traveler . this weekend get away . check - in smooth request King non - smoking honored . able check Sunday 2 pm . room nice size . clean nothing special . notice bed several rip . problem room layout bathroom window rear room bed close door -- hear noise hallway scream kid drunk slamming door . we eat Prim Rib Loft good price $ 14 . service SLOW , SLOW , SLOW . would rate average Prime Rib price come , bad . the casino bar lady evening sit hard get bartender serve second round . end TGI Fridays . go drink . good price , fast service friendly bartender . casino bartender could learn chat cocktail waitress serve pay guest . we use pool one day cabana $ 50 -- offer bottled water , tv , fridge place sun . however , promisse large cabana end one size closet two people could bearly sit . pool manager friendly , nice courtous . say , & quot ; oh well & quot ; cabana even speak day prior confirm large cabana . food service Fudruckers cocktail service . make bar yourserlf . pool mean swim 3 ft deep nice dip great hot tub . order room service breakfast meal look like take buffett . expesive quality leave something say . auto grad bill nice surprise . oversall anverage clean hotel / casino . look simple clean away strip go ! 
 Sep 4 2009 	 outstanding money ! 	 first trip Vegas , last . Orleans recommend friend . location not great , offer free shuttle . place offer lot ! ton food choice , good casino , movie theatre , bowl lane , good room . TIP : hotel bit date worn . ask room 3rd tower believe new area . 1st room see kind outdated . ask move much well . GREAT : selection tv channel aweful ! ! ! night ' ve return exhausted , like watch tv unwind go sleep . good channel , except TBS . Dream Geenie constantly ! brutal ! non - smoker , will die Vegas ! People smoke EVERYWHERE ! ! ! 
 Aug 30 2009 	 Fantastic 	 2nd visit Orleans even well first .... room excellent service front desk many restaurant wonderful . well worth stay strip . 
 Aug 30 2009 	 Orleans 	 colleague attend work conference two year ago . room quiet comfortable . great time hotel offer everything Vegas traveler would need . conference room hotels workout facility pool restaurant everything one would need . hotel even offer free shuttle strip minute away car not even necessary . be locate Tropicana one mile west Las Vegas Blvd . , look value nice place stay , would highly recommend & quot ; Orleans . & quot ; be even family friendly since movie bowling alley . 
 Aug 29 2009 	 great resort / Hotel 	 stay Orleans Aug. 17 - 20 . first time location highly recommend property . standard King room 10th floor look strip great view . room seem fresh update good housekeeping service comfortable bed . we like pool area , large well maintain crowded . good part we pool open untill 9:00 night , like go swimming night , Las Vegas hotel pool close early . Free shuttle service take Bills right mid strip pic location , handy rent car trip . for food eat breakfast buffet twice good time large selection good fresh fruit choice $ 6.00 . want try Prime Rib Loft close Wednesday , eat Cafe / Coffee shop good price . overall property great value , far walk strip summer heat , close enough strip free shuttle . not stay strip highly reccomend Orleans . 
 Aug 29 2009 	 reasonable Price Pay 	 Orleans offer good rate , , get reasonable room reasonable service . it be certainly good hotel ' ve ever stay provide value money . also , Strip quiet . stay , not disturb guest make noise . room overlook Strip , another positive . regular shuttle service run Orleans Strip mean get around straightforward ; long wait bus ten minute . one gripe room open bathroom window , strong smell cigarette smoke . non - smoking ( high ) floor although realise Vegas put smoker casino , not want share habit hotel room ! review refer unpleasant smell noticeable occasion - not horrendous . the gym hotel adequate - nothing outstanding basic . pool area clean reasonably equip - music intrusive 's music everywhere Vegas ' m sure people love this . we not cause complain anything not huge amount contact employee stay . 
 Aug 27 2009 	 stay twice pleased time ! 	 check great except first time Nascar weekend fail tell we qualify day , miss day . the room great easy get around . tgifs egg benedict buffet breakfast restaurant die ! ! fresh fruit coffee always fill ! casino floor good size . however , drink not quick . watch one waitress fold towel forever ! keen get drink , store room available whenever want . small convenience store hotel . strip , shuttle run sister hote , Barbarry Coast strip . shuttle great save buck full busy wait another one , wait one time hour ! look get away hustle bustle strip , great hotel stay ususally quite bit cheap .. view room awesome mountain ! second time , take sister blast . warn give anyone go hotel watch use phone . call husband speak 18 minute cost $ 60 ! ( do not know well ) check , total bill $ 200 ! clerk able approve discount bring $ 165 . get home write letter hotel end getting refunded . lesson learn ! watch .. use phone card ! ! Orleans fun someone want hype convenience strip , not recommend . 
 Aug 25 2009 	 annual trip change semi - annual ! ! ! 	 love Orleans . go every March watch Alaska Aces play Wranglers big group Anchorage . always great time never complaint . food , pool , gaming , room , HOCKEY ... excellent . go Labor Day weekend quick getaway . Couda stay anywhere Club Coast card sell we ! ! ! life - long tradition say matter ! 
 Aug 23 2009 	 Orleans winner ! 	 need room day prior drop son UNLV . stay many time recent year time disappoint . room clean little sit area nice spot relax cocktail watch Sportscenter . pool area busy , impossible find empty chair . use fitness area recent trip time miff hear $ 10 service charge use locker room , jacuzzi steam room . gambling sportsbook play crap ( $ 5 min . ) time empoyee professional friendly . finally , not leave get nice meal Al 's oyster bar Garden cafe . nice coupon save we buck breakfast one morning . Orleans fancy place Vegas , continue provide good value comfortable room away strip . 
 Aug 22 2009 	 Sick strip ? try Orleans 	 stay Orleans Jan ' 09 , several convention town . rate everywhere ridiculous , get good rate Orleans . personally & quot ; strip & quot ; ( much construction , high price mediocre restaurant , high gambling limit , overhype general ) . Orleasn look . good mix local down - to earth tourist , flashy wanna - be high roller anything . huge bowling alley like bowl , open 24 hour . restaurant ok , would go else want high end food . salon decent , give great haircut cheap . not go pool , cold , look nice . shuttle strip nice option , rare free shuttle Las Vegas . Seamless ( strip club ) right accross street turn night club around 3 4 . seamless great club , nice girl , plenty , cozy intimate . hit bell desk free pass . room large clean , nice little corner lounge couch cofffee table . casino bar great , nice bartender give free drink chat . hooker seem hang around bar around midnight provide certain level visual goof - type entertainment ( without give money ) . not family ( would Vegas ) , sick strip , try Orleans . revive love Las Vegas . 
 Aug 21 2009 	 Perfect 	 wow say , Vegas several time first Orleans . good service minute arrive till leave . room clean large sitting area . the buffet superb place find eat , TGI Fridays Etc . day buffet ticket $ 21 , can not ask well that . the casino bit busy weekend well worth vist . freshest casino in . although fair wee bit strip do not feel far away thank shuttle bus run every 30 min . 
