Excellent 	 Neighborhood nothing much , be great location get everything , near Penn Station Bolt / Megabus stop . new clean . Saturday night noise not factor , base print notice room , & quot ; white noise & quot ; generator room , etc . could problem , especially garbage truck , weekday morning - would ask high floor staying night Saturday . staff extremely pleasant helpful . room decent size NYC . restaurant bar premise ( dinner possibly lunch - breakfast ) . continental breakfast average quality include room rate . 
 Feb 13 2009 	 LOVE Wyndham Garden Midtown ! ! 	 moment check minute check service 5 star ! ! ! treat glass wine get organize help room . the room clean new lovely ..... bed soooo confortable ! ! Greenhouse restaurant well keep secret ! ! highly recommend scallop NY Steak dinner . breakfast also superb . be town stay ..... try Greenhouse anyway ! ! another big plus .... STARBUCKS lobby ! ! love every second hotel ... close Madison Sq Garden convenient everything else ! ! ! Loved ! ! 
 Feb 12 2009 	 great hotel dog ! 	 go Westminster Kennel Club Dog Show every year stay several hotel near Madison Square Garden . friend suggest Wyndham since never like local hotel decide try . gem ! ! greet graciousness efficiency , dog welcome well . parking garage right across stree park valet park . want car morning 5 minute ( less ! ) . yes , room small flat screen tv , internet , awesome bed pillow large shower well appoint bathroom make worth ! room ultra quiet ( 9th floor ) . add fabulous restaurant Starbucks entrance could want . breakfast dinner 5 star quality . definitely good find one use ! 
 Feb 5 2009 	 Best Business Traveler Hotel NY - Far 	 Wyndham perfect business travel . stay 5 star hotel NY past 20 year , Wyndham far good combination amenity , value cleanliness . room , large , everything need - wireless work , flat screen tv 's , marble bathroom , comfortable ( new ) bed linen . downstairs , get Starbucks paper morning beer night . also small workout room basement quick lift run . staff friendly & quot ; Boutique - y & quot ; feel . price extremely reasonable . excellent value $ $ . 
 Feb 3 2009 	 Fab hotel 	 really please Wyndam Garden Midtown . business trip attend gift fair Javitts ... location block away able walk . also , Penn Station right around corner take subway JFK easily take subway uptown meet friend dinner . not catch taxi ! hotel clean , room comfortable , staff nice helpful . love downstairs bar morning convenience grab breakfast coffee go . evening perfect place go paperwork day cocktail . I definitely stay ... especially able keep rate ! value . 
 Feb 3 2009 	 great value ; convenient location ; clean comfortable ; everything new 	 first trip Manhattan , lot research hotel area interest we . Wyndham appeal brand new ( open Nov. 2008 ) locate Midtown close train , bus subway station . ' also adjacent major avenue ( 8th 9th ) ' easy catch taxi uptown . staff friendly accommodate . arrive early afternoon check , room ' available yet , hotel place stash luggage . concierge give we good recommendation type food interested ( LOADS place within two block radius ) . return sightseeing dinner , room ready . 6th floor face back building . small , room extremely clean well equip flat screen tv , mini - fridge , hair dryer , etc . free wireless Internet work great . bed comfortable , although ' big extra thick , fluffy pillow wish bring flat one ( ask one ) . amazed QUIET room – absolutely city sound night minor construction sound nearby high - rise one two morning . ' read , perhaps front build noisy side . eat restaurant , appreciate free cookie apple cider lobby early evening hour . twice little disappointed housekeeping come clean room late afternoon ( 5 6 pm ) . , minor inconvenience , would say hotel excellent respect , great value currently charge . yes , neighborhood ' look lovely business hour ( shop close use ugly metal shutter completely block entire front building ) , feel unsafe walk people . ' gigantic hotel fill load activity , perfect purpose would definitely consider stay . 
 Feb 2 2009 	 New clean careful ! ! ! 	 check smoothly , hotel clean , new , room nice smallish . problem give room 4th floor there s grate street every truck , car etc . pass makese horrible noise . basically night long keep drift sleep next big truck pass ( mahatten keep come ) wake . stay ask room way high face back towards street . 
 Jan 30 2009 	 Wyndham Garden 36th/8th dream come true ! 	 experience . first cordial lobby greeting know good hand . upon check upscale room overjoyed brand new enormous flat screen tv , complimentary dry fruit , cookie , soft drink chocolate . free wi - fi dream come true - anywhere hotel problem connect internet . bed soft cozy wide selection pillow choose . food downstairs restaurant die . highly recommend Tuna Tartar , crust shrimp steak . continental buffet breakfast also treat - egg , bacon , sausage , pancake , work ! turn service right time absolutely wonderful . ice machine come every floor , certainly not mind one flight walk . excellent room service untill 10 pm . stay family friend - staff could not courteous entire group . pay per view selection impeccable free cable . bathroom immaculate - glass door shower certainly make feel like high roller . slightly concerned location ; 36th 8th ave , plethora great restaurant nearby - addition within walk distance theatre district . whole , love stay . complaint lack entertainment hotel , upon check management , inform get lovely live dinner / cocktail music soon . can not wait go back next time ' m New York friend , family business . non - luxury hotel , feel like luxurious pamper stay - can not wait come back ! 
 Jan 27 2009 	 clean hotel extremely place part town 	 can not complain cost stay ( great promo rate $ 20 food voucher ) anything else matter . thing aware booking : room size : never think would see room small ' ve stay Europe ... room hotel come close . be think room size hotel think cruise ship stateroom . neighborhood : see complaint site hotel situate google have location look street view . not seem bad google ... around midnight walk back Times Square . hotel REALLY place 's block . basically every store block board . be late night plan take cab back hotel . 
 Jan 25 2009 	 pleasantly surprised 	 blind booking . know want close Times Square close Penn Station . read many review , ammenitie / hotel accomodation location , choose hotel . must admit little concerned 2 post review . hotel seem look far location ammenitie / accomendation . walk hotel Penn Station , still little doubtful good experience would hotel . front lobby impressive immaculate , ( anticipation grow check ride elevatior ) room great ! king size bed ( two great night comfort presidential mattress ! ) husband absolutely love tv . bathroom clean modern ( love glass shower door ) . staff friendly helpful . visit NYC doubt stay . highly recommend Wyndam Garden Midtown anyone . 
 Jan 23 2009 	 great hotel - clean great bed ! 	 stay one night Wyndham Garden Hotel Midtown New York . actually become aware deal Travelzoo . disappointed . room small room small New York City . since hotel open November 2008 , 's immaculate . bed comfortable - one good hotel bed ' m sleep . great linen padding bed . bathroom nice well . reception staff great . would definitey stay . 
 Jan 22 2009 	 great price great service really nice room 	 call Wyndham reservation read Travelzoo alert room NYC $ 149 $ 20 food voucher . wow , could go wrong ? hotel brand new , open November 08 . staff great , room immaculate decorate lovely honey blue color scheme . location want - 10 block north Martha Stewart studio . amenity room adquate . you probably will not get good rate , still good hotel even high rate . 
 Jan 14 2009 	 good hotel good price good location 	 hotel locate Midtown , within block Times Square , Empire State Building , Penn Station . convenient , safe , affordable comfortable . definately stay next trip NYC . 
 Jan 12 2009 	 Good Hotel - Great Value 	 wife stay January 9 - 11 . get promotional rate website $ 134 night . pro : brand new - brand new property everything up - to - date nice . really fancy , quality . check - in - quick , swear minute get room key . location - take Amtrak close Penn Station , make thing easy . also easy access subway couple usual NYC deli close food . would also recommend Houndstooth Pub corner 37th 8th Stitch bar across street . con : location - say good neighborhood first time visitor . 's bad ; not get wrong , little sketchy . NYC extremely safe , know different people different level tolerance . overall good hotel , review keep mind pay $ 134 night . read reviews address concern : - iron board iron- Sunday , leave time wait elevator student group stay hotel- wife stay NYC 5 - 7 time year room Wyndham little small average , good size NYC . ' lot space luggage stuff , ' find NYC room anyway.- problem noise outside . 
 Jan 11 2009 	 great small hotel - midtown Manhattan 	 return 3 night stay relatively new hotel Mid Town ; location great – 4 block Penn Station west 8th avenue , close e subway . bar great – happy hour – half price drink 7 . room rather small , typical NY hotel , King size bed , comfortable work desk , free Wi - Fi , large flat screen tv , frig . make pleasant stay . room clean comfortable , price , $ 129 ( wow ) plus taxis fee City State add bill – real bargain . hotel close many restaurant , deli ' provide lots option depend budget . restaurant bit pricy , Manhattan like unless know go . plan stay long price remain reasonable ! 
 Jan 11 2009 	 Urban Oasis 	 former 12 yr . NYC apartment dweller move Westchester A.C. ( child ) , Wyndham Garden Midtown Hotel delightfully unexpected return town ! even grow child . say especially . moment enter hotel lobby 's transform ambient lighting sense personal welcome . hip artwork evoke image modern day urban live extra long bar reminiscent era go seem say , & quot ; come , 's time relax . & quot ; , follow delicious dinner organic veggie invite Greenhouse 36 restaurant . guest room exquisitely decorate shade blue yellow . floor ceiling window view Hudson pillow top mattress , beautiful linen fluffy comforter , pamper perfection . nice . follow morning generous buffet breakfast serve Starbuck 's coffee pleasant staff . teenager say wifi place enjoy check email booth breakfast . get back town year . take kid . see show . go museum stay Wyndham Garden Midtown . we , return trip imminent . urban oasis . 
 Jan 9 2009 	 Excellent 3 Star Hotel 	 come back three day weekend , first time NYC . hotel new , clean ( main reason book , dissapointed ) . hear NYC hotel room tend small exception , room well appoint comfortable two people ( probably cramp two ) . check - in check - out staff simply great . bed super comfortable , noise street almost non - existent ( 10th floor ) . good size bathroom sink little small side . shoot pic share ... overall great stay , hotel classify three star , belive score five ( excellent rating ) class . 
 Dec 31 2008 	 Fabulous ! 	 book two room December 2008 stay . one king bed husband two double bed mom two child room immaculate . able check early 10 terrific ! check representative helpful courteous . concierge awesome , simply awesome . hotel coffee bar locate lobby , step elevator - perfect need great cup Starbucks . restaurant quite nice . upscale bit pricey however food service worth price . FYI- frigid restaurant bring sweater . overall entire experience positive . 
 Dec 30 2008 	 great staff ! 	 brand new hotel nice touch . guest room nice furnishing , bed great , first rate bed , ton pillow , great bathrobe ; really well do . staff outstanding , everyone friendly , helpful professional . nice bar , good food , great service . , however , small room stay NYC stay dozen . layout room not much problem , travel alone . bath quite large , shower do seem like faux alabaster . nice . hotel full make many wait elevator , two service elevator . ice machine operate yet . iron iron board ( biggie , room anyway , use bed ) . one thing need immediate improve staffing housekeeping ; seem clean staff give room clean reasonable ; thus call service time return room afternoon . location , good , close Times Sq . . , great deal , comfortable cozy . 
 Dec 30 2008 	 Overall Good Stay 	 get great rate can not really complain . Stayed Wyndham week Christmas . location good walk Penn Station would choose well area next time . feel safe would want girlfriend walk around outside hotel dark . staff great . housekeeper friendly people work front desk . one meal restaurant . food okay , nothing special , waiter great . room clean small . king bed basically take whole room . much room sit place put suitcase . would return hotel travel business attend event Madison Square Gardens travel vacation . 
 Dec 30 2008 	 Coin operate cruise ship 	 good hotel New York , let explain title . Cruise Ship : find room extremely clean , modern , well equipped , extremely small . think cruise ship - store one two bag top armoire room anywhere else . bathroom , also clean modern , tight also remind cruise ship . Coin Operated : book king room , call change double bed room . arrive around noon tell king double , room would ready 3 pm . pay nice tip desk people , double room go room . New York people , not get anything free , argue try get room , pay little Red Sea part life easy . the hotel far west would want go , neighborhood fine except cautious night single woman . hotel new spotless respect . room price reasonable . lobby coffee bar Starbucks pastry breakfast . people helpful try really hard - un - New York . all , would recommend hotel . 
 Dec 30 2008 	 Center ! 	 location walk distance Macy * Heart Times Square . first night take taxi Bubba Gump ' sure directionally fare $ 4.50 . understand block away walk entire time Macy 's see Santa Land , AMC theater see Tale Despereaux , ESPN zone , Juniors famous cheesecake much . room big enough queen size bed however prop open bathroom door give appearance large space . room clean new . price well worth squeeze . Dunkin Donuts , taco bell , white castle Corner Fantastic chinese restaurant ( particular chinese ) side hotel . recommend search Travelzoo.com special hotel may offer . 
 Dec 27 2008 	 great Stay ! 	 find new hotel search line .... great stay , warm & amp ; friendly staff . restaurant pleasant surprise .... food delicious well - present . also huge fan Starbucks coffee . while find room small , clean well - appoint . definately return Wyndham next business trip reccommend family friend . 
 Dec 24 2008 	 New New York Interests 	 Wyndam Garden Hotel Midtown new . first walk light lobby . first impression light whole hotel . already start make nervous . notify light hotel room . hotel room nice . big everything need . window cheap not double pained 's busy city . awaken building work happen side . upset could not get sleep . housekeeper knock door 8 am want clean room check day . not check woke . check front desk see check knock door . basically not get real good sleep hotel . another really bad thing starve want order room service . menu would assume room service . not .... false advertisment . hotel ready big time ... many issue need get straight want compete top hotel city . price good would pay well sleep service . 
 Dec 18 2008 	 Hotel ISSUES 	 staff helpful courteous , management another story ... address end . yes , brand new hotel everything expect new clean , many kink unacceptable occuring . room ironing board , hair dryer , yet other say ? check list management door open 21 day ago ? inconsistent ! not spot anyone carry iron board around Manhattan , would steal iron board anyway ? never IMO.Free continental brkf danish muffin , w/ coffee & amp ; juice . seat table tip require bill $ 26 present . even though brkf free $ 26 take , bill hicke high tip . purchase seperate muffin go $ 2 , 2 muffin 2 drink cost $ 26 ? address vend machine hotel , tell plenty place open 24 hour ! diabetic come snack & amp ; drink , nothing 11pm . some company hold Christmas party last night hold Greenroom , stand around lobby . seat , computer area , table , bar , etc totally block guest use . wait get luggage storage make way seat ..... comment make we , look , stare glare we get leave hotel . call manager get home express lobby ( small ) hotel guest especially party book specific room . say 7:30 , see problem . challenge access computer tell use laptop , not . ask anyone assault we , say say could nothing . kind hotel management want say ? never . 
 Dec 18 2008 	 Fantastic ! 	 spend past weekend hotel wonderful stay . staff extremely pleasant attentive room clean . one usually eat hotel stay NYC , curious try organic / natural restaurant . lunch quite surprised good food . tomato soup steak sandwich husband potato soup burger ... DE - LISH ! minor complaint would watress , super sweet , bit nervous unsure herslef reason . ( maybe first day ? ) lovely hotel . stay next year ... tomato soup ! 
 Dec 18 2008 	 short get - away 	 wife take short 3 night stay really excited return NYC 2 ½ year . book hotel Tavelzoo happy new rate attractive ( $ 149.00 night ) . staff nice helpful check - in breeze . room small expect NYC plus day stay room get ready go bed hour walk around take view shopping . experience several small issue manager ( ' find business card give , last name sound French think start ) attentive even write note issue bring attention ( excellent communication skill customer service ) . even contact conversation ensure issue bring address . love trip would ask anyone look stay , patient let staff work kink hard . still satisfied , speak management . 
 Dec 17 2008 	 not stay 	 get back NYC & amp ; stay hotel . find deal website , make accommodation another hotel price . enjoy stay Wyndham . kick , hot water shower , actually never happen stay hotel . another slight draw back room small could barely move around . stay tight room Midtown , bit extreme . temperature room hot decide turn air conditioner . noisy thing ever . needless say sleep well . get turn b / c noise , could not decide well , air conditioner sound traffic running grate street . incredibly disruptive sleep . staff seem wet behind ear . answer many simple question hotel , also could answer basic question neighborhood . one positive Concierge helpful . get bill could not believe go drop decent amount $ place . stay . pay bit another hotel worth we future , 
 Dec 16 2008 	 great new hotel 	 first , 's location . 36th St. 8th 9th Ave . great place . short walk Macy 's Penn Station . 's Duane Reade pharmacy across street Penn Station . reasonable walk theater district Times Square . long walk Grand Central Station 20 minute ( course , folk walk quickly Manhattan ! ) look distance Central Park . rely upon cab lot due time constraint . brand new hotel still work kink arrive . downstair bathroom close day wallpapering . hotel restaurant open day wait staff constantly train someone new . cold water stand hot water pipe take awhile clear system first night . exercise patience go various shake - down ( see inspection conduct top manager guy sit lobby bar ) great place stay . king bed room nice Phillips plasma tv greet . work desk comfortable chair convenient outlet get good work do . wireless internet connection good quality & quot ; concierge & quot ; floor stay . mini - fridge tuck away inside one door long piece furniture form desk . king bed middle , not much floor space leave room never felt cramp . good sized night stand either side light lead read lamp goose neck . bed great hardly want get . still , chair desk chair room another . spacious bathroom include glass enclose shower long vanity spread shaving kit . lot neat little touch room . umbrella tuck back armoire case need . digital bathroom scale show day walk quickly around Manhattan could benefit . chocolate pillow arrive . bath robe provide use . addition common feature : iron board iron , in - room safe , hair dryer hung bag back bathroom door , one - cup coffee maker , alarm clock , lot pillow . get rate include Continental breakfast evening cocktail . give copy USA Today door . two elevator pretty quick let right lobby street . 's Starbucks stand lobby offer special pricing . pay $ .50 cup tea $ 1.00 cup coffee . nobody beat ! good staff . everyone encounter friendly helpful really contribute immensely enjoyment stay . quick check available service accommodate problem flight home . first couple start - up issue promptly address thing go smoothly otherwise whole time . doorman great get taxi way town . I wish could stay long location ' m look forward return soon . know great location Manhattan would rank one sure . new hotel great staff , able greatly enjoy stay city use Wyndham location start point . 
 Dec 15 2008 	 Wonderful Hotel 	 husband stay wyndham NYC 12/15 see tree , shopping look around . hotel fantastic . great service , great food , room well put together . clean neat . service quite exceptional well . staff attentive professional . would definitely reccomend hotel anyone look visit Manhattan . 
 Dec 10 2008 	 okay kink still not work 	 Ice bucket - but ice ice machine . advertise room service , get , room service . ' ve two night , night , arrive back around 5:00 . room yet clean occasion ( housekeeper clean 15 - 18 room per day , ridiculous ! ! ! ) . still paint fume . NBC pull tv . staff friendly room nice . hope work kink soon . hotel open truly ready . 
 Dec 6 2008 	 great new Wyndham Garden Hotel 	 Wyndaham Garden open . usaually stay midprice hotel business , one look feel really upscale , spacious wood panel lobby plenty seat internet access great work ouside room . really cool bar suprisingly good resataurant glass & quot ; greenhouse & quot ; look feel like garden . staff lot user friendly use , espaecially price $ 250 . room super clean really comforatble bed big new flat screen tv . definitely come back . 
 Nov 30 2008 	 good location excellent friendly service 	 book trepidation know would open fortnight due arrive . delighted find arrival , allthough sign outside still pvc banner , hotel 99 % complete finish high standard . design tastefully modern room comfortable well - equip . even interesting view , show rear New Yorker hotel evocative old red - brick building . could even see river way right . staff extremely helpful friendly . location quite good : Macy 's , Empire State Building , Penn Station , Port Authority Bus Terminal Times Square within easy walk reach . concierge recommend excellent steak restaurant ( Jack 's ) around corner good steak ever taste ( ' ve Smith & amp ; Wollensky 's ) also find small Thai restaurant way later prove really good cheap . thing would not recommend Wyndham Garden breakfast allthough serve pleasant cheerful girl , pricey really good . however , be quite often case good hotel : be usually well head breakfast . oh be irish / british , not ask tea will disappoint give cup warm water teabag sachet course , not trick . however , minor foible not put anyone comfortable , modern , friendly , well - locate reasonably price hotel . 
 Nov 28 2008 	 nice hotel 	 stay one night new hotel . nice clean . find staff helpful friendly . Met expectation . 
 Nov 28 2008 	 wonderful Wyndham Garden Hotel Midtown 	 beautiful facility . great employee ! wonderful experience , first time Big Apple . would highly recommend ! Sista da Bride 
 Nov 27 2008 	 well run friendly brand new hotel 	 NYC business last week need stay near Madison Square Garden Convention Center . Knowing Wyndham provide good quality fair price decide try new hotel . although service quite ready ( restaurant , example , yet open ) , hotel beautiful , chic , upbeat , clean . room huge extremely comfy , big bed new electronic . everything clean , spotless , bright . lobby awesome - flat screen tv place , electrical hookup WI - FI readily available . well do . the good part hotel staff service . guy really friendly ( rare NY ) offer help beyond expect ( even rarer ) . 
 Nov 26 2008 	 one Best Hotels City 	 stay various hotel around country find hotel among good . staff overly help request eager please . restaurant open breakfast wonderful , offer organic menu , great health benifit . say enough place . 
 Nov 26 2008 	 Excellent Service 	 husband stay past weekend . place absolutely GORGEOUS HUGE ! compex also new , extra great : ) people nice helpful . new area , help we plan time . would recommend hotel everyone go . 
 Nov 24 2008 	 great 	 spend two night new hotel - first night actually open night . grant - bug get - lack heat quite hour , miss key , cash register issue . - room brand new , clean , well organize - nice bath , huge shower , great tv - everything one could want , although tight space - NYC tend . good part though hotel great people wonderful service . everyone deal terrific . rarely stay hotel level friendly , prompt attention service . would stay anytime would recommend well . Wyndham management take note great service place uphold challenging condition . 
 Nov 16 2009 	 Bien situer propre confortable 
 Nov 15 2009 	 très bonne adresse 
 Nov 11 2009 	 Maravilhoso 
 Oct 17 2009 	 Merece la pena conocer Manhattan desde este lugar ... 
 Sep 30 2009 	 agradable estancia 
 Sep 30 2009 	 Muy buen hotel 
 Aug 25 2009 	 Situation géographique idéale 
 Aug 10 2009 	 Excelente elección gran servicio ( especialmente ELI ) 
 Jul 14 2009 	 Buena relacion calidad - precio . instalacione nuevas . 
 may 4 2009 	 bien placé proprechambre 2 lit double tre petite .... 
 Mar 18 2009 	 Buena relacion calidad precio 
 Mar 17 2009 	 struttura nuovissima molto accogiente 
