recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Jul 7 2006 	 Good Location Bad Service restaurant ok service Front Desk 	 stay hotel July 1st July 4th . problem previous reviewer . air conditioning do not work 1st night room 27c . go back hotel night 2 am front desk offer we move different room , small room double height ceiling air conditioning work well . figured end . small room 1 / F conference / function room . night , function conference / function room hotel room floor enough cool air . next day , front desk offer big room 5 / F . reason , air come outlet cool air room seem able get cold . executive lounge locate 5 / f well seem like executive lounge minimum air conditioning well . guess problem high floor esp . 5th floor . also , previous reviewer say , night time , seem like can not get enough staff speak enough english help guess solve problem . lucky enough William ( front desk ) help we . extremely helpful . seem like one resolve problem see customer want talk William issue without waste time explain staff . also , restauant extremely slow breakfast dinner time . aware time . real executive louge renovation temporary one locate 5 / f one guest room . small could pack sometimes . 
 Jul 5 2006 	 not go warm 	 stay mid June warm London . problem think , Climate Control every room ! yes , not work . room 24c first night 23c second , that s set minimum controller . open window option . hotel management useless , send people room 01.00 check capable turning switch correctly able nothing . next day offer alternative room small warm . complain whilst get home receive standard bland apology consider adequate recompense 2 day night discomfort . other heat , hotel nice food mediocre wildly overpriced . would recommend hotel go summer not eat hotel restaurant , many good place nearby . 
 Jun 26 2006 	 careful ! 	 wife stay Paddington Hilton 28th 30th April 2006 . hotel expect , room spotless location really conventient . book online description package state price include room , breakfast dinner first night stay . receive email confirmation say & quot ; Room & quot ; come suprise . check ask receptionist breakfast dinner first night include , say breakfast not include dinner . take advantage wife stay hotel dinner first night stay . upon check informed dinner would charged credit card . inform receptionist tell dinner include do not pay reply & quot ; OK & quot ; . day ago recevie credit card bill dinner fact charge . since exchange numerous email hotel receive letter hotel manager . fact lie twice hotel staff do not even receive much sorry incompetance completely ruin stay , shall return next visit London . 
 Jun 5 2006 	 Great Location Steps Heathrow Express ! 	 wife spend four night Hilton property last month . hotel build Hilton carry Hilton name ( franchise hotel ) since 2002 2003 . outset , be hard argue evident convenience hotel 's location , adjacent London Paddington train / underground sdtation . take Heathrow Express London , literally hotel check less five minute walk train . room fairly large ( room London go ) consist two - room suite living room / meeting room , large bedroom & quot ; real & quot ; king - size bed , bath another half bath . room inside hotel window face courtyard , fine we since hear absolutely street nose stay . before reserve room - especially plan pay upgrade room ( i.e. , & quot ; club & quot ; & quot ; executive & quot ; level room , aware hotel executive business level lounge present . come pretty rude surprise we . yes , get breakfast , be serve main floor dining room ( actually quite good ) . lieu lounge hotel convert windowless room 5th floor sort - of interim lounge snack basic beverage serve throughout day . internet access , via pc - swear making - set inside closet hotel remove door . computer internet acess function half time stay . business center floor 1 ( would second floor US ) charge use PC 's internet absurdly high . what make stay bit amusing power outlet room constantly go . apparently , hotel multiple power circuiit staff keep replace fuse ( not guest suffer irritate problem ) . be somewhat use sort thing old London hotel property , simply chalk part & quot ; atmosphere & quot ; hotel . negative comment would make respect door - staff concierge staff . course several day find bell / door staff concierge staff officious , offhanded , indifferent . overall , property expensive , excessively comparable accommodation include breakfast elsewhere London . , convenience able get Heathrow sttep hotel worth premium cost . 
 Jun 2 2006 	 much well expect ! 	 consider small , expensive hotel London , hotel much well expect . spacious quiet . could hear noises people hall , door slam traffic outside . every room climate control . convenient tube , right across street . also , convenient lot restaurant ( include well know : Subway , Burger King , etc . ) . , also lot pub within short walking distance . 's good thing many restaurant close hotel retaurant huge rip ! Paddington rail station hotel along drug store , two small grocery store restaurant . starbuck also hotel . everything could need right fingertip hotel . definately stay . 
 Jun 2 2006 	 fantastic 	 partner stay 5 night end May . come Heathrow Express take escalator Hilton lobby . reception pleasant wait . still noon room ready we . show Hilton Honors upgrade Delux double 2nd floor . amazed see room Europe several time . King Size bedd , desk chair , two chair small table , dinette table 4 chair . dinette table come handy eating . bath room also good size amenity . could complain anything . use wake - up call 3 morning right time . the store station yard away useful . one open 6 midnight everything , food , snack , beer , wine , liquor , detergent , etc . tube station also handy use alot . 7 Day pass purchase web prior trip . great idea . we purchase Paddington Bears grandchild lobby . beautiful ! use Express check - out great . next trip plan stay Hilton . highly recommend . 
 May 29 2006 	 ok 	 stay business May 06 . main plus point accessibility Paddington Station ( less station door lead straight train ) . miunus room give rather small price room rather steep . would stay unle company pay . breakfast good however . 
 May 22 2006 	 Fabulous Hotel 	 spend weekend hotel wonderful time . room spacious exceptionally clean . staff encounter friendly helpful - lot smile ! location fabulous directly across street underground Paddington concourse offer whole load snack option time breakfast supper . find great rate lastminute.com without doubt look stay hotel next visit London recommend friend . 
 may 22 2006 	 theft property 	 forewarn . wife check morning three night stay property . Sunday 30 - APR afternoon ( likely 2 pm 6 pm ) , upwards six individual room break . sign force entry . consistent theme theft laptop , digital camera mobile phone take , everything else ignore . know speak several victim hotel lobby . lose laptop mobile phone . the bad part theft . suck , always criminal . ' m quite bit work irreplaceable item , nothing . bad part conduct front desk hotel staff ( Duty Manager people work behind front desk ) . certainly not feel right walking , alone , Paddington Police station 10 pm Sunday night ( wait nearly 4 hour , chase people status ) last night London . not matter ' m Diamond member , expect little bit consideration somebody get rob property get absolutely none . and add insult injury , try bill stay ( yes , stay laptop steal ) . file dispute credit card company . it be really shame . like property , like location ( ' ve stay ) , convenient arrive Heathrow . however , look elsewhere give Hotel management action date ( * would * stay theft one iota customer service assistance ) London . consider same . you consider alternative stay London , incident necessarily indicative overall safety procedure ( one certainly question ) rather action ( say complete inaction ) afterwards . 
 May 14 2006 	 great location decent hotel 	 great location adjacent paddngton station underground ( tube ) . easy get to / from LHR via Heathrow Express run every 15 minute . room average business hotel . clean . would stay primarily due location . 
 May 14 2006 	 recommend 	 really disappointing part stay hotel hot water first morning stay . seem quite inconceivable expensive hotel . apparently , find week afterwards letter manager , problem burst pipe . however , information day sparse keep tell hot water would soon , never . also , beware use quick checkout system , instead charge simply tray charge breakfast room ( breakfast include tariff ) , overcharge nearly £ 40 ! compsensate slightly inconvenience write letter complaint not make inconvenience loss morning due able shower even wash hot water . unfortunately , due experience , would recommend stay elsewhere . certainly usual Hilton standard . 
 Apr 29 2006 	 expect 	 spend four night five day hotel , weekend . Hilton Honors Diamond card holder . prepay room order low cost room grade & quot ; King Junior Suite & quot ; king - size bed . description also say large room day - bed suite well , large bath shower . US citizen always surprise small european hotel room , exception . first get room ( nonsmoking , 3rd floor ) discover double bed , king size mean ( queen home large ) . Next would never call & quot ; suite & quot ; , little long typical small european hotel room small table two chair daybe . go back front desk ask space upgrade , say fully book , & quot ; executive room & quot ; , mean would access & quot ; executive lounge & quot ; ( later ) . clerk say would make notation file space open 2nd night would upgrade . room clean bed confortable bath fine , use separate shower stall . no one contact next day , newspaper request door , go desk record conversation clerk day . get MUCH well service Hilton staff USA Australia ! clean crew fine job leave two bottle water day . the executive lounge aparently construction empty standard hotel room slip chair , table beverage pc free internet access . crowded dim leave soon look in . this hotel always busy crowded lobby restaurant , result attach Paddington station . convenient traveler , anyone wish extended peace quiet room relax , hotel far busy , evidently never upgrade space available . next time try different hotel . attach photo take check ( room neat , sorry ! ) . 
 Apr 28 2006 	 Great Hotel 	 good friend make first trip London last weekend . stay Hilton Paddington fabulos . always think european hotel room small , although not huge , room resonable size . hotel center right tube station right near great shop place eat . would stay . complaint sleep twin bed . great . 
 Apr 27 2006 	 great hotel great location 	 stay week ( 8 day actually ) - nothing say , good thing . get upgrade without ask , apparently 8 day stay help . service great , room impecable . thing wish : free internet ( kind money throw ! ) get rid automatically charge mini - bar . touch anything - appear bill . remove charge without word though . location absolutely fantastic , arrive Heathrow already . 10 minute attraction bunch good place eat around . Loved & quot ; Dicken 's Tavern & quot ; - nice pub good simple food serve 9 pm , rare . 
 Apr 24 2006 	 Great Value Great Location 	 wife come across hotel search somewhere reasonably price London ( hah ! ) first anniversary trip . get excellent deal airfare hotel on - line bidding site hotel . hotel modern clean . staff helpful , albeit overly friendly . room great actually big expect european hotel room . although hotel heart tourist area , find EXTREMELY convenient right underground stop Paddington Station market / facility near we come big station like . find couple ok restaurant area find short walk Hyde Park hotel . overall impression businesspeople stay hotel frequently tourist , hotel great find we . would stay . 
 Apr 24 2006 	 detailed review Hilton London Paddington 	 arrive Euston station join ticket queue purchase 3 day travel card tube , train bus . come around £ 4.90 ticket think great value unlimited transport ! walk Euston square tube station get circle line directly Hilton London Paddington . the hotel connect train station via little bridge lead straight Starbucks hotel reception . check swift ' member HHonours scheme , upgrade superior room . this hotel smart . ' recently refurbish whole place spotlessly clean . staff efficient pleasant tell experience . the room spacious well equip complimentary tea coffee make facility , stationary toiletry . bathroom also spacious bath power shower . bathrobe , usually norm 4 * hotel . would rate hotel 5 * ' view ( lack ) . ' mad ( perhaps bit sad ) eat drink hotel literally surround endless restaurant , pub bar . kid Burger King , McDonalds Subway across road hotel street entrance . , traditional english pub right hotel italian restaurant immediate left . directly opposite hotel steak house etc . really need head examine choose eat drink dull hotel bar ! location wise hotel ' well . take Bakerloo eastbound Charing Cross ( Trafalgar Square / The Strand / Leicester Square ) matter minute . hope review help . 
 Apr 21 2006 	 good hotel near centre town 	 Booked hotel last Minute pay £ 107 standard double 2 adult 2 night stay . book smoking room arrival none available upgrade we non smoking deluxe double . think strange give ashtray match non smoking room check reception . apparently room smoke / non smoking housekeeping must forget remove ashtray ! hotel good well look . room spacious , clean well equip . double bed bit strange ... soon realised not actually double , two single push together . Paddington Hilton strange idea bed linen - double bed two single duvet cover . two piece advice hotel - not remove anything minibar unless prepared pay . automatically register ' ve remove something charge regardless whether consume . find hard way remove small packet hob nob want £ 4.95 for . do not drink bar unless not mind rob - £ 19.90 whiskey rum coke . price pluck straight sky . garfunkel couple door good reasonably price breakfast . 's Budgens across road sell biscuit - large packet yummy chocolate digestive pound . all brilliant couple day London . hotel perfect spot - main hustle bustle right next door tube easy stroll Hyde Park centre town . 
 Apr 20 2006 	 Tube station - Paddington 	 walk Paddington Tube station right . BIG plus hotel . also Heathrow Express get airport quick . book Priceline - BREAKFAST . not fool , . could open window , stuffy airconditioning would not come . room big , bed great comforter , nice touch . lovely bar coffee pot tea biscuit . nice soap , shampoo & amp ; conditioner container , upscale touch . train Station almost lobby , Starbucks . good place stay . 
 Apr 20 2006 	 Fantastic 	 book hotel last minute get steal 50 pound night . we expect put horrible room , large room ( London especially ) great bathroom . mattress bed could slightly comfortable , really everything else astounding . fantastic location , good hotel ' ve ever stay London . 
 Apr 17 2006 	 usually great time real dissapointment 	 first thing would like say partner stay hotel several time always good experience . however , time be give low grade due follow . when arrive hotel ( room 120 ) , find double bed ' make ' ( use term loosely ) two single duvet instead usual double duvet ( see attach photo ) .We call front desk complain ( politely might add decide give benefit doubt etc ) duty customer service manager dispatch room . when arrive , tell kind set - up ' standard ' Hilton hotel , know experience wrong . say , asked & quot ; oh , well stay Hilton ? & quot ; respond ' yes , several time actually ' . last excuse get & quot ; oh , well stay ROOM ? & quot ; , imply room usual ( sub ) standard level service . we FINALLY get manager agree give we double duvet , quite frankly , shock completely indifferent attitude staff occasion , also blatant lying subject to . sorry Hilton London Paddington , usually be great hotel , occasion , bad form . 
 Mar 27 2006 	 stay next time London 	 Fantastic - lovely large room bathroom ( book standard room assume ) do art deco style . got great deal £ 65 per night Lastminute exclude breakfast London seem pretty good . ask quiet room booking get bother street noise - 5th floor back . good thing place location - right Paddington Station get hotel foyer . make travel around London easy . can not say much service not really need assistance not problem . blot stay false fire alarm early Saturday morning somewhat harsh awakening upside least mean get Oxford St crowd start ! 
 Mar 7 2006 	 Happy Hilton 	 stay couple night book last minute dot com bargin rate 107 pound , 2 night delux double . spacious room , clean hotel good location public transport ( tube line heathrow express door step ) . staff friendly helpful . only complaint lack hot water one morning price bar snack ( 9 quid cheese sandwich ! ? ) . garfunkel restuarant step nearby hotel breakfast etc . prefer pay hotel price . other , pretty well might expect major chain major city would recommend good location particular wishing stay london require hassle free link heathrow . 
 Mar 6 2006 	 Fantasitc '' 	 get hotel thank Lastminute £ 59.74 one night ! excellent 4star hotel . clean , friendly hotel . lot offer we day outin london stop ! also visit Dover Street Restaurant Mayfair , fantastic experience ! see half live trip ! thank Hilton Paddington great stay ! 
 Feb 28 2006 	 Housekeeping 	 average experience London , would expect hotel charge £ 180 night stay . crack basin washroom , bandaid clean away bath , shower miss fix cover - question housekeeping check . internet service guide cable service use , want log find price contact front desk . bed comfortable in - room facility ok - unlikely return sorry , London alternative 
 Feb 20 2006 	 Good London Hotel 	 stay weekend February . Booked 2 night B & amp ; b special Dinner first night ( £ 200 2 we ) . room good size London , high ceiling . plenty tv channel mostly foreign . Perfect Location sight - seeing . Paddington Tube Station - Praed Street entrance opposite hotel entrance . also entrance directly train station . breakfast amazing , little busy . dinner 3 course buffet plenty meat / seafood offering . plenty choice . only 2 negativesCheck - Staff right rude . way describe they . bar price - Pint Lager white wine soda £ 12.50Would stay ( would not drink ) 
 Feb 19 2006 	 good convienient hotel 	 say many review , location hotel could well , hop train hotel lobby . reception area small nicely decorate , door lead bar restaurant . check fairly swift , thing annoy receptionist tell could use hh blue card purchase rate elsewhere Hilton . check , give card another receptionist , put number system without bat eyelid . say , rest one night stay pleasant . room ( 214 ) good size , even Hilton , whose standard room usually tiny throughout . amenity include coffee machine , tea coffee , usual overpriced mini bar . fairly good selection channel tv , working desk , two telephone bedroom one bathroom next toilet ! location wise , be bad , hop onto tube get place way , take bus close . tube station sainsbury , mark spencer , smith name , always worth pick something . , fairly good hotel , prefer stay Waldorf . 
 Feb 2 2006 	 well locate 	 Hilton London Paddington well locate directly attach Paddington Station Heathrow Express train , several tube line lot bus leave well . hotel pretty much one expect Hilton . however , thought room get spacious consider London . staff friendly helpful , average . I definitely book hotel , go back London private stay . 
 Jan 23 2006 	 great choice 	 come Heathrow , can not think convenient location . express train one floor hotel . get room early find roomy ( Europeon standard ) clean . Coffee , tea shortbread cookie keep stock space mini fridge stuff nice . bathroom really good size . staff good . one concierge pay attention request upscale italian french restaurant book we English restaurant . bring attention another concierge ( Mike ) , get we # 2 french restaurant London . great meal ! ! also HHonor member breakfast every morning include . never see newspaper never complain either . drawback room hot find true Europeon hotel . would definitely stay . neighborhood so - so find couple nice restaurant convenient everything . 
 Jan 23 2006 	 Heathrow Hotel London City 	 decide stay Hilton London Paddington way back home Edinburgh . want spend day London ( stopover ) early flight Heathrow next day need hotel close airport . look around explore option , decide Hilton Paddington good choice since 15 minute Terminal 1 Heathrow Express station really 30 foot away . since arrive London box day many new guest arrive city / hotel half asleep , problem check . outside hotel look modern cool inside little different . book Junior Suite ( really cheap advance purchase rate period business traveller stay ) . Junior Suite consist bedroom small working / seat area nice round table . way , expect somewhat big room Junior Suite . furniture look ( probably ) rather old room tidy clean . bathroom really impress we clean amenity one would expect find Hilton room . weird toilet right behind bathroom door . since door opening inside , sit ( excuse ) toilet pretty dangerous one could smacked open door . tv small many channel . also like choice room minibar ( want galss wine go bed surprised selection ) . eat hotel menus available room ( room service hotel restarant ) suggest would like eat there . regard point view express previous review hotel area pretty shabby even criminal , would disagree stay area several time think different central London district . fact tourist hotel ' district ( bayswater , Queensway ) .to would like point hotel rather expensive offer ( probably mostly cater business traveller enjoy proximity Heathrow airport ) , one could find good rate book advance . therefore would recommend stay be visit London day tourist . however , need nice hotel close Heathrow look book room . certainly enjoy stay would definitely stay . expect luxury stay ( city whole day anyway ) feel really welcome take care , regret choice . 
 Jan 14 2006 	 early flight Heathrow ? 	 quick way Heathrow train call Heathrow Express , leave Paddington Station every 15 minute day long ( 14 pound one way ) . Hilton connected station . 's reason stay unless early flight Heathrow case 's convenient . area little scary block two surround station . room ready arrive 3:00 ( check - in time way ) go across street nice looking & quot ; Angus steak house & quot ; ( pretty good steak , kind like Sizzler ) wait early dinner . semi - homeless look man seem mill around area . one man come restaurant , hostess ask wait seat suddenly begin kick spit hostess . patron restaurant really scared , think terrorist . really non - descript dull area , even though be 15 minute walk Hyde Park Kensington Park . restaurant area . even though steak good little steak house across hotel , lot customer dodgy look man hang around station smoke incessantly . know , bad experience violent restaurant customer , room still ready 4 pm ! ask help concierge English poor , help . long line people talk 2 concierge really could not help anyone . one woman stomp want drive direction Walford could not get reason . upgrade nice room , desk clerk say much & quot ; revelry & quot ; room night ( New Year 's Eve ) , hence extended time require clean . great , want , party central clean room . tell could give free drink bland , dull lobby area compensation wait . decline go walk Hyde Park . winter 's really cold dormant enjoy park . plus winter London start get dark 3:00 afternoon . FINALLY allow room . nice big room dimly light sit area well bedroom . break lamp , lamp burn bulb , shaving mirror bathroom hang limply wall could not use . & quot ; view & quot ; room look apartment house . tv station , foreign language , include 2 arabic station . shower smell stale . bed sheet blanket , one thin duvet fold bed . ( forget make bed ? ) difficult keep cover night . really disappointed spend last night London . reseve room Expedia.com one night stay . Hilton record charge well . ' ve charge twice one night . ' m try work . Hilton Paddington staff seem young many seem like first day job . not stay , be like be stay train station . pay $ 358 mess . 
 Jan 3 2006 	 great value 	 stay two night £ 199 include dinner first night buffet breakfast morning . first impression favourable - less minute leave train , reception . our HHonors card even get we upgrade junior suite ( guess dead zone xmas new year ) 6 ft bed masse space room . the room front main road ( prae street ) wake 5.30 day one street cleaner , be unusual London . access shop , theatre etc central london easy via paddington tube stationWe shall certainly stay 
 Dec 9 2005 	 Unpleasant stay awful service 	 third stay hotel , second Hilton HHonours Gold . although Gold member ' m suppose upgrade Executive Level multiple room available accord web - site ( number available room actually increase stay ) refuse upgrade constantly lie room available . one manager even remark sarcastically something like & quot ; expect suite complain & quot ; . also get newspaper first day , one guest not , literally , dozen floor morning . another problem book rate pre - pay diner first night , would able eat hotel day tell forget check . tell would switch second night . course go get diner second night name ( room # ) not pre - pay list . there malfunctionne lamp room , report first day . 2 day later nothing do , thing actually get bad go malfunctionne functionne all . I write dozen letter complaint Hilton HHonours , totaly ignore response get & quot ; ' m sorry pass complaint supervisor & quot ; type , follow silence . I mad cut membership card give manager , apparently not clear enough indication feeling Hilton last e - mail get include & quot ; understand still feel issue outstanding & quot ; .Anyway , happy decided never stay UK Hilton .Luc de Chancenotte 
 Dec 5 2005 	 Excellent hotel definitely 4 star 	 spend two night Hilton Paddington , GBP99 per night include three course buffet meal first night full breakfast buffet morning . ' ve stay many supposedly 4 star hotel , end 2 star room pay low price ( false advertising opinion ) . definitely 4 star , every way . location hotel great , Bakerloo line direct access Oxford Circus beyond , District / Circle line anywhere else . also various facility Paddington station , include Sainsburys open midnight . room great , regular room 4th floor even baby cot plenty room two year old run around . bathroom also good size , previously mention speaker system wire , great unless child watch Pingu 7 am , be weird ! meal include first night also excellent quality , buffet three course , various salad , four main course option five dessert option include fresh fruit . warn drink expensive , GBP20 3 diet coke apple juice ! breakfast standard , enough satisfy even pickiest eater . the staff extremely friendly , arrive 11 am Friday morning could room straight away . husband remove something minibar take look reading sign say would automatically charge , maid saw not actually use item not include final bill . every single member staff say hello pass we , concierge 's assistant even find balloon daughter upset something . we definitely stay future visit London , already recommend friend family . excellent choice good value book deal . 
 Nov 21 2005 	 Early Checkin 	 2nd stay hotel . great location connect Paddington station thus short Heathrow Express train ride away airport . the downside request early checkin honour . long transatlantic flight little sleep annoy well . beware wait lounge room prepare . waiter keep ask guest hotel imply purchase something privelege sit lounge . I move Starbucks outside hotel door avoid harrassment . 
 Nov 13 2005 	 Nice Hotel - shame cooking smell 	 hotel totally renovate recent year . end result look great - 2 night stay spoilt smell cooking seem pervade hotel . room , airconditione fan switch , smell fry grill food seem blow one ceiling vent . fan & quot ; full & quot ; , noisy , smell go away . the open plan reception , bar restaurant area also unpleasantly smelly . would consider stay unless problem cooking smells properly fix . 
 Nov 5 2005 	 lovely hotel perfect location 	 return 2 night Hilton break booked website . second stay hotel disappoint . location superb hotel everything go it . be prepared melt stay though . hot hotel ever stay , temperature wise . turn air con open window much could , even keep open night November ! air con nothing cool room down . basic room relatively small , London tend spend little time . use restaurant meal enjoy wide selection good quality food . take bus Campden Town taxi rank . experience miss . take back 60 's anything go . all lovely stay take minimal clothing whilst hotel , anything melt . 
 Oct 17 2005 	 great Hotel ! 	 simply Great Hotel business pleasure . stay several time staff attentive . wireless internet trhoughout hotel work fine price service reasonable . roomrate high service outstanding . I would recommend hotel close airport via trainlink still middle town . 
 Oct 15 2005 	 check 2 day early future avoid place like plague 	 stay Paddington Hilton February year . originally schedule stay 4 day , check 2 due unacceptable service . especially give GBP 220 per night charge . add insult injury , bit research find several far superior hotel charge less period ( e.g . Dorchester ) .but get back Paddington Hilton : be true room relatively large , however bathroom average . furthermore , reserve executive room , promise walk - in shower , room neither executive floor , separate shower . trivial detail sure , however pay feature receive they . upon arrival room discover tiny little duvet certainly not go keep warm night . call housekeeping ask regular sheet blanket . say would take care . return room much later evening , take care . point late , wait next day call housekeeping upon return meeting . time charming man come , admit many guest can not stand little duvet ( claim schedule remove throughout hotel near future ) . end second day feed poor service high price , decide see suitable alternative . surprise , everything less expensive far superior location sightseeing plan last two day stay . move hotel Mayfair . check , point check 2 day early . reception clerk not even think ask check due problem . since essentially non - confrontational sort not mention disappointment hotel . especially since one major shortcoming hotel opinion reception desk staff shockingly unprofessional ( mention not even one native english speaker working time ) .Upon return home call hotel ask manager . tell disappointment hotel service , include failure check - out clerk inquire leave 2 day early . first try defend hotel belittle experience . finally say perhaps next visit could upgrade something nature . tell since would never stay Paddington Hilton , not really matter . I tell call let know front desk staff need customer service training . you understand rarely upset hotel stay . either fine outstanding . fact , recently write several outstanding review board . hotel . by way , regard location hotel everyone board seem rave . find location simply awful anyone like walk door sightsee . Paddington seem rather unpleasant , unsightly area . well choice tourist would Mayfair area ( switch ) . 
 Oct 14 2005 	 Fantastic hotel travel Heathrow 	 spend one night hotel way back States Italy . location could not convenient Heathrow -- walk lobby Paddington Station , take elevator , hop Express , 15 minute later , be airport . room modern , spacious , well - apportion , comfortable . would definitely stay . 
 Oct 13 2005 	 Hilton London Paddington Great ! 	 recently stay Hilton Paddington great stay . stay four night 108.00 bp per night , steal type hotel London . the location perfect get around city beyond underground long distance train step away Paddington station . be Hilton Honors member get we upgrade nice room give we access Honors lounge , offer free breakfast high speed internet access . we fly Gatwick take Gatwick Express Victoria Station change Tube quick ride Paddington station . the negative restaurant suggestion concierge . eat indian restaurant name & quot ; Jamuna & quot ; . not eat ! ! severely price gouge . $ 266.00 usd 2 adult 3 kid . drank water , 2 small appetizer , 3 share entree , dessert drink ( non - alcoholic ) . food good , nearly worth price . can not even say atmosphere service make difference , average good . save cash choose carefully . 
 Oct 12 2005 	 average 	 hotel engulf strong smell kitchen time , even room smell fry food . cleanliness ok , Air conditioning pathetic , bar close early woudnt -open resident . average 
 Sep 27 2005 	 staying hilton Paddington Station 	 stay Hilton Paddington Station . spring , last week April . lovely hotel . construction go outside hotel window concerned problem not . convienently locate town pick double decker tour within 2 block . good choice tube & amp ; rail station doorway away . bed comfortable connect room daughter close . would recommend hilton conciege informative hold bag . feel relaxed confortable 
 Sep 21 2005 	 absolutely wonderful ! ! ! 	 really wonderful stay Hilton Paddington . location simply could well - since attach railway station across underground , get anywhere London within minute , yet noise room train . proximity station also convenient plenty place eat station well starbuck two grocery store . hotel comfortable accomodate . floor ice machine ( rarity Britain ! ) shoeshine machine . room minibar fridge actually small empty space & quot ; personal use & quot ; come handy . even complimentary bottle sparkle still water . room large , quiet , comfortable . bathroom spacious include tub separate shower . staff friendly helpful . rate ( special 99 GBP per night ) include dinner restaurant , great deal - dinner three delicious course could choose menu would ordinarily cost 20 GBP . breakfast also include every morning bountiful buffet include everything could imagine , hot cold . think find new base stay every time visit London future . absolutely superb terrific value . 
 Sep 16 2005 	 Great Location Comfortable Rooms 	 boyfriend stay Hilton Paddington last week really one smart thing ever do . travel state arrive Heathrow around 11 pm , take fabulous Heathrow Express ( 15 minute ) Paddington Station . exit train take one escalator hotel ! employee hotel contact friendly , accomodate helpful . room large modern date . reserve non - smoking room none available upon check . reluctantly , take smoking room suprisingly smell fine smoke residue . hotel locate neighborhood 's possible get meal reasonable price breakfast around corner would call deli tasty reliable . Paddington Underground stop underneath hotel get part London easy . highly recommend hotel anyone look comfortable bed , large room , convienent location good service . 
 Aug 25 2005 	 great stay Hilton Paddington ! 	 stay Hilton London Paddington 3 night August . receive good customer service every employee encounter . room immaculate . use Hilton Honors point 1 night , even though silver member , give we access Executive Lounge gym . employee Lounge could not enough . take Heathrow Express Paddington walk front desk 5 minute ! right outside Hilton door inside Paddington Starbucks , Krispy Kreme , Burger King ( kid ! ) , couple restaurant , grocery store pick water snack . breakfast Hilton wide selection worthwhile include room price . Paddington tube station right across street London within 20 minute . overall , pleased stay Hilton would stay . 
 Jul 2 2005 	 Fantastic 	 hotel surpass expectation . come outside country worried would hit Paddington wander around find - ... walk train hotel , inside station . and hotel . art Deco theme , - nice . nice size room . clean . wife room service breakfast - far surpass expectation . staff friendly room request assistance direction . my disappointment ? leave . return London , would think stay anywhere else . 
 Jun 4 2005 	 great staff excellent location 	 far London 's good connect hotel . ' step tube , Heathrow Express many train point west . close proximity ( within 50 yard hotel lobby ) Starbucks , grocery store , ATM , several cafe mad Bishop Pub . £ 155 per night 4 star hotel excellent value big Smoke . room clean , quiet fairly large european standard ( approx 225 sq ft ) . room amenity include : programmable safe , mini - bar , coffee maker , free cookie , iron , cable tv ( handful channel ) , RJ45 datum port ( £ 15 per day ) , 3 telephone fairly large closet . bathroom also fairly large speaker pipe sound tv , listen tv / radio be get ready . Hilton Honors member , also get free copy Times deliver door every morning . ' , ask concierge free copy . the staff quite courteous friendly . 12 - 15 staff member interact , 2 briton . however speak English well . imo , multilingual staff hotel many different international guest invaluable . bartender mostly italian . Front Desk staff Philipina , russian Irish . bell staff housekeeper Pakistani Ukrainian . doorman concierge English . the front desk staff go way help we . flight arrive 9 , hotel 10 , request early check . standard check time 3 pm , able get room 11:30 extra charge . indulge Coca - Cola mini bar , replace housekeeping take count . upon check , dispute charge remove bill hassle . if fly int Heathrow plan take full advantage London 's excellent rail public transportation system , well hotel . absolutely nothing say negative property . truly wonderful experience would highly recommend anyone . 
