Beautiful 	 spend four night two adjoining room 5th floor hotel last week could not happy . spacious well appoint room typically beyond comfortable Marriott bed bed large , though bit retro , bathroom . complaint , know prior arrive , would wi - fi room ( although breakfast pre - dinner drink executive lounge give we enough time laptop ) . staff helpful friendly ( lovely lady front desk go way accomodate request early check - in ) . within walking distance Shepard 's Market , Buckingham Palace , Oxford / Bond Street shopping convenient . would love chance go back stay ... 
 old grande dame get facelift . 	 stay Grosvenor several night conference November 2009 pleasantly surprise much improved previous stay 2002 . back , give tiny broom closet room bed old lumpy certain use Queen Victoria . hotel use look smell old lady see well day decade ago . Grosvenor apparently undergo major rehab glow polished . everything hotel nice , all - marble bath deluxe bed bath linen . room time huge super comfy King bed . despite large hotel , room extremely quiet . ' ve London dozen time stay different hotel new , improve Grosvenor hotel return . hotel bar really warm inviting . location short walk Oxford Street shopping . one tip : hotel Theatre Ticket service main lobby purchase theatre ticket immediately upon arrival . gentleman desk nice good recommendation . also get half - price , day theatre ticket Leicester Square , long walk hotel take chance ticket available . 
 great location Spacious Room 	 Grosvenor House , confused Marriott hotel also Park Lane , well situate across Hyde Park . historic hotel not offer many amenity ( think gym renovation ) , staff gracious helpful . arrive red - eye flight , well check - in time , promptly give room . excellent location major metropolitan city , surprised spacious room ( 820 ) . breakfast buffet grossly overprice ( 30 pound ) . Red Bar bit scene beautiful people London , complete Kevin Spacey sighting . 
 Dec 10 2006 	 will not return 	 hotel undergo major refurbishment , aware booking . result , essentially minmal service / amenity available . begin ... unpleasant checkin ; room along corridor smell old student hall residence ; room small , tired , uncertain cleanliness . bar part refurbishment , replacement temporary bar tiny 4 small table , 2 chair . ask concierge advice decent cocktail bar - apparently good place Mayfair cocktail opposite supermarket Edgware Road . live London 10yr doubt much . impressed . Room noisy -- bass ? event ballroom feel bed hear pillow . poor night sleep . breakfast limit , excellent make order omelette , cold . return breakfast , leave Disturb room door , find room clean , badly . glass replace . least 1 towel replace . unsure sheet . unfortunately , grosvenor danger irreparably damaging reputation . admittedly many problem may due refurb hotel ' ve stay undergo work manage maintain standard , facility , service . would well close hotel refurb complete damage do . present would struggle reach 2 star rating yet still charge well £ 200 . need learn waiter wear white glove make 5 star hotel . 
 Nov 15 2006 	 Refurbishment can not finish soon 	 stay one night attend function Great Room . hotel car park need pre - book - otherwise 's NCP Millennium , little little pricy . we find upgrade suite considerably live space home , aspect two side lounge view Hyde Park . however , space world can not mask fact beyond familiar public area , hotel desperately date ongoing refurbishment long overdue . we find staff friendly efficient , minibar beyond expensive ( £ 2.50 Mars Bar £ 8 miniature gin ) , follow morning , long breakfast queue London . normal facility close refurbishment alternative provide particular Saturday woefully inadequate space staff number , result 30 minute wait seated follow another queue fry egg . advice normal dining area close need away morning - get breakfast room . 
 Oct 10 2006 	 Nice Hotel 	 read horrible review hotel receive , concerned go find check . pleasantly surprised . hotel lobby gorgeous -- 5 - star quality . breakfast excellent -- fresh fruit , juice , coffee , pastry , omelet station , fresh make pancake , etc . hallway room need work -- bit concerned walk room . room , nice . certainly would recommend stay . 
 Aug 23 2006 	 suckere Marriott 	 hotel use luxury accommodation - 50 year ago ! ' ve re - do lobby , room disgusting . hallway smell like nasty bathroom , carpet filthy . room smell old smoke window would open two inch . air conditioner barely work . crummy old tv get five bad movie mid - eastern sub - title channel . whole place give creep badly , go hall child 's room sleep . ' ve complain Marriott Grosvenor House get compensation apology fradulent advertising . place expensive , ! 
 Jul 28 2006 	 horrenous hotel - awful service- old - overprice - not stay 	 visit London July 21 22 , 2006 pay 329 pound night awful room . hotel OLD . bathroom run . turn shower knob much , water burn hot . air conditioning room weak . service horrible . take hour get repairman check A / c condition . food nothing special , isa breakfast buffet , selection comprise maybe 10 item ! yes , close embassy hyde park , worth stay . I investment banker , find horrible business hotel 
 Jul 13 2006 	 Recommend stay hotel 	 would strongly recommend stay hotel refurbishment , especially summer . air conditioning work well , bed old musty smell bedroom . stay Park Lane Marriott ( actually Marble Arch ) instead . new , clean service excellent . 
 Jul 5 2006 	 Refurbished - Great Complete 	 Stayed Grovsenor House weekend . property own Marriott Group undergo substantial refurbishment ( would nice tell book ) . not cause we problem ; impact temporary restaurant Breakfast lead queue Sunday morning . addition suffer serious flooding ceiling ( look like air conditioning problem ) . issue deal swiftly professionally move another room minimum fuss . on whole service good . it great hotel refurbishment complete ( 24 month time ! ) 
 May 25 2006 	 Great Hotel ! 	 stay one night attend function hotel . room spacious comfortable . however , & quot ; tired & quot ; need refurbishment , although spotlessly clean . major renovation work go hotel , cause endless confusion get lose one occasion . three four lift service leave , imagine chaos cause ! buffet breakfast excellent , although expensive . service hotel superb , certainly good service ' ve experience U.K . nothing service could fault . I ' m sure hotel superb renovation complete , moment 's disruptive . 
 May 1 2006 	 nice room REALLY need makeover 	 stay two night 28/29 April 2006 . major renovation go . indeed arrive whole front entrance ( Park Street Park Lane ) go refit use temporary reception side hotel , '' well mark . check fine , work , walk bar / restaurant get lift . carpeting lift need replace 20 year ago . walk corridor room , obvious overdue refurb . room tired , dilapidate almost , lot space . walk small lobby bathroom immediately front bedroom one side . lot cupboard space , decent toiletry etc . really powerful shower , slightly confusing realise way handle work . mange spray ceiling first day ! public room nice , especially Red Bar Park Room price outrageous . £ 10 pot tea two £ 8 spirit ( mixer extra ) . Breakfast £ 20 include rate good ( except fried egg ! ) . worth stay ' m sure hotel something else work complete ( doubt price rise match ) . enjoy stay , room size seem comparable somewhere like shangri - La hotel , nice . staff treat we well , share lift grumpy housekeeper . companion work hotel industry impress attitude . 
 Mar 26 2006 	 amazing room - date 	 Stayed suite recently - huge immaculate . Decor surprisingly date though . service hotel staff could fault - much well London hotel . however , renovation cause chaos . would give wide berth 's complete . 
 Aug 9 2005 	 great Stay July Grosvenor House ! 	 stay Grosvenor House family July 26 - 29 vacation . book two room three night absolutely fabulous stay . check wariness : ) use Marriott Rewards point . b ) know hotel undergo multi - million GBP & quot ; restoration & quot ; C ) warn friend past glory day . despite reservation , stay near perfect ( minor exception note ) . Ankur , front desk manager , warmly greet extraordinarily pleasant helpful even note would stay use Marriott Rewards point . status Marriott Rewards program , automatically upgrade deluxe room without even ask ( would ask nice ) . although , Executive Lounge level , also give complimentary access Executive Lounge significantly enhance experience . check - in Ankur walk we way room . frequent traveller frequent hotel guest , consider exceptional astonishing light fact room gratis . warmth congeniality Ankur , certainly great start . next pleasant surprise greet we room . ask ( unnecassarily turn already anticipate possibility ) recieve two adjacent room door would not need go hall go kid room . kid standard room spacious exceed expectation . deluxe room enormous ( probably 25 % large kid room ) . room clean well appointedboth room enormous beautifully decorate marble bathroom aesthetically old - fashioned modern chrome plumbing system . always find british plumbing system odd amusing ( include ) little tinkering figure . shower / tub one on / off handle tub spigot another shower hand shower . switch shower hand shower use diverter valve . however , one ubiquitous feature british bathroom find odd annoying separate hot cold spigot bathroom sink . alas , even get right . separate hot cold handle come one single spigot . bathroom even bidet , first ever hotel . also come expect even Marriott brand hotel US tend small medium good semi - plush towel bathroom . Grosvenor House towel huge , almost size bath sheet , plush . terry bathrobes door daughter really enjoy . part process getting settle , request door room unlocked roll - a - bed add kid room would not share king bed . within 15 minute need take care extremely professional warm housekeeping staff floor evening . ( supervisor Jamaica , unfortunately , fail write name ) . roll - a - bed kid room seem bit cramp door room open effect large two bed , two bath suite . hotel seem get detail room right . room feature large work desk include 110V american style plug come handy charge electronic . one converter one device maximum input 120V . also give complimentary access Executive Lounge , hindsight , would gladly pay upgrade . lounge nice European Continental breakfast fresh fruit , bread ( could toast ) jam butter good assortment personal sized box cereal lowfat whole milk . kid ( aged 7 , 10 12 ) learn drink tea earnest wide selection good quality tea . 4:00 6:00 lounge nice & quot ; cream tea & quot ; scone clot cream , finger sandwich , biscuit , fresh fruit assortment deli style meat , include salmon roast beef , course , tea . teatime provide wine assortment self serve liquor . concern first breakfast lounge give gear towards business traveller , fact greet bit caution host . give room number proof okay we , wonderful use lounge entire stay . three breakfast two tea lounge sour word glance either staff customer . ( help kid reasonably well - behave ) . lastly , two computer set high speed internet access use lounge guest . come handy check email , blogge avoid $ 27.00 fee internet access room ( 15.00 GBP ) . access wonderful lounge one great thing stay Grosvenor House . word remodeling project . little stay affected remodeling . dust . loud noise . inoperable elevator , scaffold window . one negative impact us fact pool close . one reason select Grosvenor House pool . time arrive pool spa close remodeling . apparently , temporary situation exist ( confirm temporary ) reciprocal agreement Marble March Marriott . would well agreement Park Lane Marriott pool 3 block away . turn , easy access pool problem . see site London , would tired end day use anyway . inconvenience refurbishment cause we . consider fabulous stay otherwise , consider minor one . affect notice & quot ; re - organize & quot ; hotel project . front desk nice 's location temporary . Executive Lounge temporarily move ( tell impact service ) . thing consider , Grosvenor House remarkable job keep thing run smoothly midst transformation . think trip - advisor reader may interested know reason transformation . Grosvenor House process work towards re - branding JW Marriott property , Marriott 's premier brand . Grosvenor House first JW Marriott Europe . accord Ankur , standard require service condition quality property recieve JW Marriott brand extremely rigorous . staff clearly work hard begin make transition consistently prove professional hospitable high order . apparently , none guest room renovate yet surprising give great . ask tell refurbish 5 year ago . however , order meet JW Marriott standard , room need certain color scheme . need refurbish eventually . could see cause service issue future . lastly , brief discussion location . Grosvenor House locate Park Lane right across street Hyde Park easy walking distance marble Arch Tube Station bus stop . also hop - on , hop - off Big Bus stop corner oxford Park Lane . centrally locate easy walking distance Oxford Street , major shopping area . eat , try one many ethnic restaurant Edgware Road . of stay , two minor complaint . 1 ) evening concierge little help . first night , ask recommend inexpensive family friendly pizza place within walking distance . place recommend pricey fancy ( word family friendly ) bit haul . however , place across street fit bill nicely ( except distance ) . next day , pass Pizza Hut 3 block away . several experience similar . never rude come across mildly indifferent . evening concierge neither warmth knowledge two day concierge experience . 2 ) complaint television kid orient channel television except one german ( hear sponge bob german amusing though ) . consider minor complaint . in summary stay Grosvenor House wonderful . definitely stay next trip London would recommend anyone . 
 Jul 17 2005 	 need improvement 	 famous grand old hotel thing need change , know modernisation programme underway hope finish quickly . 's clean comfortable ' ve give 3 star rating be mean one good hotel world not . 
 Jul 14 2005 	 's way greatness ..... 	 Grosvenor House renovation . get book Marriott Park Lane book . first upset renovation , set nice room . many area hotel nice , area need renovation . clincher whether would recommend staff . nice ever encounter . upgrade 7th floor , nice ' executive lounge ' ever encounter . breakfast snack evening . pour French Champagne every night ! way cool . location hotel beat . ; be recommend reservation . not pay fortune , get good rate , go . try get 7th floor ! 
 Jun 30 2005 	 Grosvenor Hotel ( Park Lane ) pit 	 doubt run , stinki hotel ever stay . two people check - move hotel desk complain horrific room . renovate 2 year maybe nice- 2007 avoid hotel . pool close . room smell disrepair . 
 Mar 29 2005 	 Grosvenor House 	 stay six night Grosvenor House Park Lane , London 3/12/05 . hotel excede expectaion . renovation go onwhich new hand inconvenience we . room huge bathroom also marble . the location ideal . could walk number area attraction . it close Marble Arch bus subway line . we eat wine bar call FINO WINE BAR . park lane you.are walk toward Marble Arch turn right get MarriottHotel . price reasopnable food selection exceptional . London expensive . 
 Mar 9 2005 	 Best brekkie 	 stay Partner twelve year old son . the hotel look fairly impressive front reception lobby huge grand . we find reception staff helpful blow away room say suite . it decorate georgian , Laura Ashley style spacious . even walk closet . the bed comfortable ever sleep find pillow spectacular . would love know get from . the bathroom small side perfectly form everything need . lovely view Hyde Park reasonably quiet London . 5 - 10 minute walk underground . the facility good central hotel lovely pool jacuzzi use . we would say highlight breakfast . breakfast fit King . noticed would normally pay £ 25 breakfast get include room rate . hotel charge anything son . we get night away £ 105.00 would pay upto £ 140 have . the negative tea / coffee make facility hairdryer room service / mini bar expensive . if get hotel good rate certainly go . stay alot hotel year one fave . please note rate excellent due rate pay . 
 Jan 8 2005 	 renovate -- need ! 	 stay Grosvenor House third time . time hotel get quite bit frayed , undergo extension renovation take 2 year complete . common area lobby first glance nice , close inspection downright filthy . grand room particular ( mobile home U.S. clean / nice furniture ) . add thick layer cigarette smoke smoker get English would call ' unfortunate ' experience . Pray Marriott start section hotel first restore common area . room , upgrade room ( pay ) get one would not ruin trip ( many window cover plastic tarp scaffolding ) . bottom line : really like hotel , would advise stay elsewhere renovation unless get REALLY good deal ( thing scaffold construction worker ) . 
 Nov 24 2004 	 wonderful experience 	 use hotel base 7 day November . must say experience part excellent . concerned read review pleasantly surprised . would actually give 4 1/2 star . stay use point husband use Marriott frequently business . feel may worked favor . arrive 10 morning direct upstairs private check special facility . wait 15 minute room invite eat breakfast buffet serve . staff gracious helpful . 4th floor renovate . room large beautifully appoint . love heated towel bar bathroom . engagement evening enjoy return turn bed fresh towel . king bed two twin find annoying . location tube stop good use great pub near evening meal 3 time . suggest staff . face side street high enough avoid street noise . scafolde impaired view expect big deal . would reccommend facility would love return . price London high . get high end hotel expect pay twice much state . would say large city go pay comparable amount hotel quality . talk renovate part hotel . 
 Oct 27 2004 	 expect 	 decide make Grosvenor homebase quick 4 - day trip London . already sticker shock near 2/1 usd / GBP exchange rate , little $ 300 / night expect . also hear Grosvenor true luxury hotel . I would say lucke good weather time - rain force stay room , review would negative . I caveat say book package on - line service , therefore expectation - on - line booking - would get slummi room hotel . true form , end 2nd floor room look scaffold redo exterior hotel . face inward - toward taxi pull - up ... think overall quiet Park Lane side be low floor . however , not plan sleep week doorman start whistle taxi around 7 am people business . we king non - smoking room ok size . may US thing ( not Europe ) & quot ; king & quot ; actually two twin mattress put together careful fall crack . the hotel overall wear feel - like would something spectacular 10 year ago , interior hallway show age . also issue electricity fuse blow room , knock lighting . prompt fixing , though . the room service like high - end hotel , room service come around 6 pm day check need fresh towel , turn - down service , etc . reason provide new toiletry day , though . ( experience upper - end hotel even see half shampoo bottle leave , will automatically leave another new one ) .I say location excellent - immediately across Hyde park close Marble Arch Bond Street tube station easy access part city . certainly pay Mayfair area price . in short , good location , probably could similar hotel experience 50 pound less night Marriott nearby Park Lane . 
 Sep 8 2004 	 Hotel see well day 	 see well day . I stay Grosvenor House two week find hotel old wear . first get floor room locate note hall unpleasant spice smell time . think smell come lebanese restaurant service Hotel . first thing notice room lack amenity would find US hotel . room lack iron press clothe . hotel offer service press clothe charge pretty close amount could go buy new clothe . hotel also lack alarm clock , however timer tv could set turn prescribed time . first night leave wakeup call important business meeting next day . never receive wakeup consequently late meeting . complain desk assure would happen . next morning receive four wakeup call insure awake . use alarm tv . make reservation request King Size bed find bed actually two twin push together make thing bad bed ' height noticeable hump bed . find Air Condition room woefully inadequate cool room . high setting room stay mid upper 70 ' . another problem smoke detector , steam shower set smoke detector less 5 time stay hotel . one thing find annoying housekeeping come every night around 8:00 night see anything need . usually time ' want disturb . get annoying answer door time . second week put disturb sign ' bother . ' find staff overly friendly usually hotel get " good morning " " nice day " kind greeting . response receive would initiate . 
 Jul 29 2004 	 overall positive experience 	 return last night 5 night Grosvenor House . read review site , reservation stay , location price convince we stay property . needless say , zero expectation . staff we within first 20 minute . pull rental car , drive around southern England 3 day . ( ' ve ever drive , know harrowing experience ! ) happy drive London get hotel . Tony , one wonderful concierge staff , meet we car totally take care get car return rental company , well congestion fee . perfect welcome . chcke , request renovated room ( suggest reader ) . registration clerk say renovated room , one king bed , request . claim queen . take ; revovate beautifully , tiny . bed look like double . expect smallish room ; London , US . try adjust A / C , dial keep spin . call service , service man less 5 minute . check A / C , call desk ask could see roomn king bed , even though not renovate . bellman leass 5 minute . second room much spacious first , attractively furnished . yes , upholstery one chair wear one spot ; ? marble bathroom elegantly appoint . shower great . toiletry first- rate . towel ? problem ; call housekeeping 5 minute . hotel perfect ? course could name area could improve . can not believe people write complain cost room service . expect room service hotel restaurant reasonably price ? ask concierge recommend place breakfast dinner . give we lot choice within walking distance , fabulous , reasonably price meal . location hotel terrific , convenient bus , tube , restaurant . yes , must ask want . not like room , ask see another one . true hotel . 
 Jul 23 2004 	 Truely horrible 	 hotel live expectation . put apartment / suite wing hotel . room face internal courtyard view next 5 day people 's office . natural lighting . sofas old stained bedroom small smelly . furniture similar buy flea market . hotel say a / c , one expect work . one cheap portable unit room . make lot noise not work . continental breakfast include room rate consist one bread roll , bowl cereal tea / coffee . everything else extra . stay well away place . 
 Jul 4 2004 	 Marriott need attention detail ! 	 stay & quot ; Grosvenor House & quot ; three night June 2004 two kid . clean adequate can not overlook negative . great bargain two night Marriott point . taxi driver still not know hotel Marriott . think go Marriott Grosvenor Square . tell & quot ; Grosvenor House & quot ; get right hotel . Marriott part throw ! hotel construction like everyone point recent review . room spacious nice bathroom carpet wear . like another reviewer , could never get a / c get room cool 75 degree . rather warm night tired complain . also , room service outrageously expensive . order croissant , toast , juice coffee cost 30 pound good . joke staff check could breakfast Brennan 's New Orleans champange less basic breakfast cost . also catch 15 pound overcharge 2 kid ice cream . quickly find BP station nearby purchase bottle milk snack kid eat room . eat pizza & quot ; Ask & quot ; restaurant nearby two night row . tube stop 5 10 minute walk . bus stop couple building away . this hotel not polish would expect Marriott great location . 
 Jul 2 2004 	 Disappointed 	 stay Grosvenor hotel weekend end February 2004 . visit London want centrally locate palce stay . hotel disappointment commensurate either 4 star rating price . entrance lobby lovely . room terrible . carpeting drape large stain . ask move temperature room freeze cold , tell not available room . room not warm two electric heater send ! ! tell nice young man housekeep unsafe situation . thank two engineer send confirm thermostat working room virtually without heat . suddenly another room become available . improvement huge one . people reception useless could not care less however engineering housekeeping staff excellent . would stay Grosvenor House would recommend . 
 Jun 30 2004 	 stay nice 	 stay Grosvenor House last week 5 night . hotel lobby give luxurious / grand impression enter . check , one renovate room . room get 5th floor seem one renovated floor . room excellent condition king size bed , desk , chair , along 20 & quot ; color tv ample drawer space . also room safe available iron / iron table room . room size modest considering room rate , would think room would larger seem norm hotel London . bathroom also modest size everything fairly new good operating order . hotel main entrance side renovation work outside construction noise start around 730am every morning . room 's view also hamper scaffold / renovation work . slightly bother minor problem could annoying like sleep . grosvenor nice work facility indoor pool . workout facility nice treadmill LCD tvs headphone jack . 's plenty workout weight machine limit free weight . pool modest size long enough swim lap . issue staff seem friendly . housekeeping staff prompt cleaning room tend stop afternoon / evening change towel turn bed . stay away bar restaurant hotel expensive . alot within walking distance ... Hyde Park right next hotel 's good place go run go walk . several pub within block reasonable price food drink . marble Arch Oxford St. area good shop good restaurant . 2 convenient bus stop underground station near Grosvenor Park Lane hotel entrance ( Hyde Park entrance side ) . first bus stop locate next BMW dealership 1/2 block leave walk hotel . bus stop Marble Arch tube stop locate 2 block right walk hotel . bus stop frequent & amp ; usually head Victoria Station Knightsbridge area . Marble Arch tube underground stop take anywhere city . purchase one 7 day unlimited bus / tube pass Marble Arch Station . taxi cab hotel airport cost around 45 pound take 30mins . 
 Jun 16 2004 	 Work Progress 	 stay part point reward . e - certificate go flawlessly reservation - relief . quite bit construction go . scaffold side property opposite Hyde Park . appear entire southern section hotel close serious construction . notice power tool noise last day - sound like someone sand grind room away . upon check , ask room renovate ( base information post ) . response , & quot ; room - room renovate construction . uh , ok . take room give third floor , face Marble Arch . large room , King bed , seem bit wear date . bad yet , smell smoke . call front desk confirm give smoking room , even though confirmation state non - smoking guarantee . ask move , tell double bed - sized room open booking class , & quot ; deluxe & quot ; . point print confirmation also state king guarantee . upon informed upgrade next high class room non - smoking . room fourth floor nice , small previous one . obvious room renovate - wallpaper carpeting new , bed also fresher , light halogen unit build ceiling . stay historic Renaissance Stanford Court San Francisco , think two property comparable far overall look , service room size / decor . two thing find room really not like . first - king bad actually two twin push together mattress pad ( badly ) cover gap . second , air conditioning work well . cool set blow maximum , room 79 degree f.other , enjoy stay , include use health club . staff pleasant enough - prompt room service great cleaning turn down . cheap food option , well - stock BP patrol station / mini - mart next block south hotel . I think speak volumes Marriott not put name property yet . would wait stay . 
 May 30 2004 	 Grosevenor House Park -- -love ! ! 	 first time traveler U.S. totally impress Grosvenor House . great neighborhood ( Mayfair ) love Hyde Park , close Tube Station . wonderful time first trip London ... would stay minute give chance stay great price . give apartment bit date , clean spacious , love . staff helpful ask often assistance ! neighborhood perfect walking , shop , church , park pub . very impressed . not eat much Hotel slightly price range , food London resturant ... pub food cafe 's fit bill perfectly ! 
 Apr 27 2004 	 fantastic stay 	 stay 3 night April 2004 - impressed , friendly staff , immaculate clean room , good decent size . lucky enough get refurbish room friend , enjoy visit even , although ' normal room ' still excellent . couple small problem whilst stay - friend room service breakfast not deliver , towel & amp ; call request , porter bring 2 small hand towel , bath sheet request . request wake call never make , shower curtain , therefore bathroom flood everytime wash . overall though , good point far outweigh bad , would definatley recommend hotel anyone travel London - take consideration price - 2 x vodkas hotel bar cost £ 16 , breakfast £ 20 cup tea either room service bar / restaurant £ 5 . 
 Apr 7 2004 	 ok deaf 	 not pay full price , perhaps be abuse . hotel room give extremely hot , airconditione full , show cool , intitially bother . open window turn airconditione notice cool air hot ! . noise , initially airconditione full , road window open . get engineer explain air conditioning not work . could room pump hot air cold air option . return around 11 o'clock room truly wonderful performance Mairling Royal Opera house notice noise . underneath noisy awful fan , disguise . ask new room show we room include smoking room . end settle room really cold , portable heater corner . say would upgrade we morning return later day show we room , junior suite right next great big fan . fan huge outside window bedroom . manage find we small room book OK . booking ask compensation tell hotel would contact letter . week ago nothing arrive . bad hotel not tempt special deal . specail price hotel standard . disgrace . 
 Mar 27 2004 	 not pay full price hotel 	 stay Grosvenor house mid - March 2004 4 night . mattress good , bathroom probably superior will find London . thick , fresh towel abundant , room quiet . however , let say front desk concierge staff clueless rudest ' ve encounter anywhere , frequent traveler . , part , british . part foreign , accent preclude interpretation . concierge look 19 could offer useful advice . rather amazed 5 - star hotel , famous one , not hire good - of - the - good concierge front desk staff . think place way . fortunately , travel air - hotel package deal expedia.com , rate have lock Oct. 2003 , exchange rate become prohibitive . 
 Mar 12 2004 	 overrate surly staff 	 expect 5 * hotel nearly flawless respect . room nice , lobby attractive breakfast buffet excellent . however , front desk staff surly unhelpful . message deliver , concienrge appear feel inconvenienced ask advice , wait staff restaurant extremely slow , imagine , argumentative . hotel appear cater high - end business staff someone vacation London ... even ' m sure business clientele well either . 
 Mar 11 2004 	 expensive budget traveller . 	 Fair say one beautiful hotel London . unfortunate breakfast coffee room include affordably convenient . PRET Marble Arch offer good food value 15 minute walk . not help want morning coffee get hotel blow whole breakfast budget $ 225 night one expect pay 21 pound ( that s $ 42 US ) breakfast . ice , pillow etc available require room service ( yet tip money basic need ) concierge excellent , accomodating , helpful . send we destination full accurrate information ( brochure , price , time , reservation require , transportation , etc . ) 
 Mar 9 2004 	 Hotel Desperate need Maintenance 	 ' ve London several time hotel live four five star status . would rate two star base location , nice bar , okay restaurant . 10 day visit , large group 150 notice two different class room . floor renovate , assign room top floor renovate . room need major clean . trouble door lock every day key replace twice improvement . carpet wear bathroom beat . & quot ; shower curtain & quot ; merely bed sheet hole cut ring . towel often deliver hour housekeeper clean . view window consist side hotel building include dead bird stick wire mesh intend keep bird fly building wall . would recommend hotel . Marriott Grosvenor Square well . 
 Mar 7 2004 	 feel like celeb ! 	 stay birthday last August ( 03 ) fantastic time . entrance hotel back fab . surround guest expensive sport car . reception staff seem french ... english make laugh helpful polite . slightly let room pay full price , quite alot london hotel . main room light not work , bathroom tap fit incorrectly leak whenever use . mini bar price slightly crazy .... ? 8 jar jelly bean come on ! ! ! overall lovely stay , do not eat hotel lot great restaurant taxi ride away . theatre visit must see complete trip . 
 Mar 5 2004 	 big many problem 	 3 call States , hope would room request take care prior arrival . . shower drip profusely entire 4 day ; wait 6 pm housekeeping one day ; request towel almost every day . never receive clean glassware entire trip . safe room advertise . service rating overall : horrendous ; still dispute charge card . defend staff breakfast room ... wonderfully pleasant accomodate . 
 Feb 18 2004 	 ok 	 stay hotel July 2003 ok overall . corridor terrible musty , old smell though stain carpet one would not expect see high - end hotel like . room horrible view back building ( ? ) bed ok , need change throw cushion though go lumpy . bathroom clean regularly 's nice . nice location , near park shopping district . hotel staff friendly - ready smile . Bellboys look great though high hat uniform . 
 Feb 10 2004 	 poor poor service ... 	 regularly stay hotel past 4 month ( 15 night total ) finally manage convince company switch accomodation chioce . hotel poorly manage , staff insufficient , usually 1 person reception generally queue check well checking , call concierge night phone ring age end answer ! negative experience include : wake call despite request , 1 hour wait room service ( dinner ) . plus , television set old small remote control generally work . bad location great ... try Millenium Mayfair instead ... 
 Nov 3 2003 	 Excellent place stay 
 Oct 24 2003 	 nice ... 
 Sep 30 2003 	 Clean yes classy 
 Aug 6 2003 	 great stay 
 Jul 17 2003 	 great room great rate so - so service 
 Jul 14 2003 	 Loved Grosvenor House 
 May 5 2003 	 real nice ... expect 
 Apr 23 2003 	 stuffy ! ! 
 Mar 1 2003 	 wonderful experience 
 Oct 28 2002 	 check 
 Jul 24 2009 	 Sobriamente espléndido 
 Jul 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Apr 27 2009 	 Muy buen hotel buena ubicacion . 
