hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Apr 20 2006 	 stay Far away 	 recent stay last . first put large suite lake view , request non smoking room , check room , sicken smell smoke . go back check - in desk tell non - smoking room , tell ashtrays every table , move use another much small clean room . small room , heat work , fix maintenance worker tell we blow air conditioning heat . bed comfortable , bathroom ok , view room terrific . check - in 30 minute wait , 2 people work , 20 line . pool bad , even child would not swim . room service , 1 sandwich , 1 beer omelet , cost $ 60 . although family member say HIlton Sandwich one well ever . hotel history beauty almost unrivale Chicago , however , maintain sad state disrepair . MUCH well hotel Chicago . 
 Apr 18 2006 	 pleasantly surprise 	 come back four night stay Chicago Hilton South Michigan Avenue please say hotel surpass expectation ( especially read critical review website ) . entrance impressive quite grand huge bouquet fresh flower dot lobby nice touch . staff check - in also friendly welcoming . offer king size bed although view speak , room large clean . the hotel 15 - 20 minute walk Sears Tower 5 - 10 minute Shedd Aquarium Lake Michigan ( Grant Park ) . criticism hotel location South Michigan Avenue rather main shopping hub big hotel locate North Michigan . do not mind brisk 20 minute walk hopping taxi ( $ 7 - 8 dollar end Michigan Avenue ) would definitely recommend hotel . 
 Apr 10 2006 	 meet expectation 	 stay April 6 & amp ; 7 pretty good rate find TravelAxe . check late king room available ; front desk say would put we list change next day expect many checkout . room 2 bathroom , limited counter space . ( common gripe many hotel . ) breakfast expensive good ( typical level hotel ) . order menu also buffet . the next afternoon able move king . bathroom . room back side building 18th floor . noise & quot ; El & quot ; window curtain filter pretty well . location convenient . walk Shedd Aquarium walk back Marshall Fields Wabash & amp ; Washington . 
 Mar 25 2006 	 expect hotel . . . 	 okay . hotel need remodel . pay , could easily stay nice hotel area . 
 Mar 19 2006 	 fade like memory 	 ' m really lukewarm hotel . ' ve stay several time , wonderful memory family event . be definitely one grand old hotel , relatively well keep . however seem like many well choice Chicago . last two stay ' ve upgrade ( Hilton Hhonors diamond level ) executive floor great view lake . executive floor lounge drink snack afternoon continental breakfast morning . average comparable hotel . lounge room not anything special . room past two stay small , although ' ve big room hotel without lake view . bed decorating bedroom typical Hilton fairly new . tv comically large small room . bathroom update point marble floor countertop , look like probably 1980 's gold trim faucet fixture look date . top finish not hold well . big complaint recent stay nothing available hotel eat 10 pm . except room service , even limited . return theatre 10 , expect able least get sandwich bar , . want ask concierge recommend something neighborhood , nobody working desk . front desk one employee 5 people line . finally ask person bell stand , say bar two block back , look seedy . choice room service , extremely limited course extra cost associate . ' m really surprised large hotel , level service one promise , could not well . reason alone , think will stop use hotel still nice memory time there . one final note : parking , like downtown Chicago hotel expensive . private parking garage directly behind hotel Wabash St. 24 hr parking w/ & amp ; $ 21 . be almost close parking hotel , half price . 
 Mar 13 2006 	 will not stay ... give Marriott day ! 	 stay Chicago Hilton host conference attend . arrive try find & quot ; Room Fitness & quot ; program advertise corporate website . call 800 reservation number client service representative answer hotel fitness center . explain inquire ' in Room Fitness ' advertised website . put hold come back minute later tell thing call property directly . get response . ask could reserve treadmill room . , problem . arrive hotel , treadmill available . go tour fitness room first night find close 9 pm . return center next day discover charge $ 13 per day use fitness equipment . pool , track locker room free , use treadmill , etc . pay $ 13 per day . charge note anywhere -- website , guest service material room . food conference mediocre , one room service meal pretty good . one conference lunch session wait staff make much noise could not hear speaker . HVAC not work well room keep window open three night stay . bed comfortable nice linen . try get late checkout , offer card room . woman answer phone would give hour , 11 - 2pm range advertise room . good service receive folk Security office . hotel safe guest room , become friendly Security office lock laptop conference session every time could not carry hotel . visit Chicago least year personal travel continue stay Marriott property . wish do visit . 
 Mar 10 2006 	 awful stay Michigan Avenue Hilton Chicago 	 hotel disappointment many way . heat could regulate room , dog allow little management barking , radio not work , 1st room dirty noisy ( Maid 's room ) . upon check , note $ 300 bill room . hotel clerk note use mini - bar cost . since not use mini bar , check room ( first dirty one ) , 5:30 pm bar use previous ( smoking ) resident . hotel clerk 's attitude dismissive tell could call next day clear Manager ( call ) . finally clear bill mini - bar . never knowingly stay Hilton ! restaurant good , however ! 
 Feb 12 2006 	 Average Hotel ... 	 visit Chicago first time , & quot ; Hilton & quot ; brand seem like safe bet . remember see Harrison Ford movie ( Fugitive ? ) ... look nice . arrive , surprised old . extremely old hotel ... appear relatively well maintain . the line check long ... impress quickly line move . kudo front desk staff . the room average . great ... bad . quite large -- get one two double bed , stay friend mine ( spouse ) .Did not eat restaurant ... get orange juice danish coffee counter . service quick ... price fair . on next trip Chicago , would certainly explore hotel would return Chicago Hilton . 
 Feb 6 2006 	 good hotel watch charge .. 	 3rd stay ( 2/3 & amp ; 4/2006 ) little disppointe past experience . let start great thing . number one service , everyone meet provide outstanding service bell staff Pavillion waiter . espically impressed Towers Floor Concierge Oscar . question request burdensome , get observe guest relax lounge make wish every hotel Oscar . overall , entire staff exhibit four Seasons level service . the first disappointing thing room . small room ( 2341 ) view anything room directly across . also desk small table way 2 people in - room dinner . plus unusual side two bathroom . first brush know hotel many lake view , city view room . meet guest love fantastic lakeview room book Priceline half price pay mine ( be Hilton Gold member boot . ) say get since hotel low occupancy . the low occupancy disappointment , although can not blame hotel . slow period one to - do thing , dinner steakhouse Buckinghams , skip Buckinghams close stay . pavillion certainly good sandwich fare , steakhouse . also low occupancy free shuttle downtown shopping area not run either . last disappointment , not want make big deal , nickle dimee hotel take . first $ 32 parking fee another reviewer reference $ 38 ( $ 41 valet ) , late check ( even low occupancy ) $ 25 want bellstaff hold bag another $ 1.50 per bag . first time ' ve ever see charge hotel , hope not catch on . to finish good note , good disappont , room entire hotel extremely clean well furnished . large flat screen tv , plush bedding least half dozen pillow , housekeeping keep room well stock evening turndown service . I come back , wish choice web site could reserve lakeview room even charge premium , rather luck draw . 
 Jan 22 2006 	 love Chicago Hilton Towers 	 stay Chicago Hilton Christmas last year absolutely enthral hotel . decoration gorgeous staff extremely friendly -- make visit quite magical . advertise , Chicago Hilton like city within hotel , within wall , several restaurant , Irish Pub , shop , ballroom , etc . entrance lobby gorgeous Christmas tree usually type entertainment ( i.e. , piano player , child 's choir , etc . ) room comfortable , quite clean extremely quiet . corner room back hotel decent view neighborhood Sears Tower . plus , book room on - line United vacation get great rate . one tip , be plan rent car , take Blue Line & quot ; L & quot ; Chicago O'Hare . land O'Hare ahead one big snow storm season , board train end zip past poor people stick highway . catch train right airport , transfer Red Line either Washington Jackson station , take Red Line south Harrison . exit station walk two block east Michigan Avenue . turn right Hilton block two away . 
 Jan 18 2006 	 Met expectation 	 stay long weekend convention . room clean bed comfortable . staff meet always friendly . room face away lake could hear train ( l ) pass . not enough wake , noticeable . parking $ 30 per night . 
 Dec 23 2005 	 much well 30 year ago - great ! 	 thirty year ago , tiny & quot ; room & quot ; indifferent service . time , service superb friendly throughout , special commendation waiter waitress coffee shop , door bell person , hilton honors person front desk . even lower price ( moderately high ) inquire day stay . want stay south river downtown , back 
 Dec 23 2005 	 stay long 	 stay Hilton Towers last four year December . wife downtown getaway . year get difficult staying . check Friday evening Dec. 16th . lady front desk oriental difficult time understanding . king like request month ago . find king eventually turn handicap room . wife nurse last type room want see . trudge back see mgr . give we different king room . one two bathroom . one bathtub drain . tv controller work . view three wall outside window . year seem problem 32.00 park car overnight ridiculous . shuttle close 's good bed nice . 
 Dec 16 2005 	 Great Deal 	 husband go Chicago first time December see Bears game . hotel fantastic . get great internet rate right website . check early expect , hotel room ready wait we . although little south & quot ; loop , & quot ; hotel offer free shopping shuttle bring far Michigan Ave . want go . take little , walk back really nice . great location anyone see game Soldier Field . within walking distance ( approx . 1/2 mile ? ) , several major museum . could actually see field room . trouble sink tub draining , call front desk , fix , also call we make sure do satisfaction . feel safe whole time , good part subway 2 block away , take we directly airport . need car stay . would stay second . 
 Nov 28 2005 	 well expect . 	 get good rate Hilton Priceline . initially disappoint due south - of - the - loop location hotel , review . end average hotel . room king bed view Sears tower . amenity good , room spacious , maid service good , really comfy bed , nice tv , great lobby . ton people run lobby ( even thanksgive day ) , not get try restaurant . good part property ( make not - so - great - location ) 2 block red line train . able get everywhere want ( Second City , Loop , Magnificent Mile , Sears Tower , Hancock Tower ) hop train . great hotel well expect location 
 Nov 13 2005 	 birthday weekend 	 family stay chicago hilton 2 night . staff nice , valet service staff acommendate go far beyond expectation make family feel welcome . breakfast buffet fit royalty plan return soon ! ! room 2 bathroom spacious convenient family . honor receive personalized & quot ; hand write & quot ; thank note lisa chmiel day checkout date . bed comfortable bathroom beautiful spacious . room clean , next time would prefer view grant park lake michigan . thank allow experience wonderful birthday . 
 Nov 10 2005 	 beautiful luxurious 	 husband Chicago Bon Jovi concert one night purchase standard king room Hotwire $ 105.00 . great deal , consider Palmer House Hilton charge $ 199.00 Saturday night ! usually stay Palmer House Chicago like convenient location near train station shopping . downside Hilton Towers location poor shopping neighborhood desirable . also , hard time hail cab concert United Center . however , everything else Hilton Michigan Ave . perfect . luxurious , clean king - size bed 5 pillow comforter pillow - top mattress . room corner view museum lake , rain could not see much anyway . could find one speck dirt anywhere , even windowsill ! furniture beautiful elegant marble tub enclosure brass fixture nice touch . also , large flat - screen tv appreciate . also enjoy fully - stock minibar . eat dinner Kitty O'Shea 's Irish Pub . red - haired waitress pleasant smile lot , smoky loud . criticism , however , 6 pm Saturday night Chicago , one would expect pub . food good portion huge . Breakfast Pavillion restaurant fantastic . fruit cereal bar , remind fare serve european hotel , include coldcut , cheese , croissant . staff friendly helpful , maid valet concierge ( give excellent direction ) waiter , reception clerk . really outstanding part : husband forget carry - on bag room call hotel home , send we FedEx one day expense . football ticket Notre Dame game follow week important arrive quickly . impressed hotel feel like royalty . highly recommend ! 
 Nov 9 2005 	 fabulous hotel 	 back Chicago Hilton . three girlfriend find hotel great . get upgrade Hilton Gold , able use executive floor free breakfast , 5 - 7pm free nibble honor bar . book room two bathroom , big partial view lake . the hotel straight across road Grants park , Millenhium Park , stunning tree change colour etc . executive floor staff excellent , book restaurant etc we , helpful . swim pool huge , window around another plus . shop , around slow half hour walk North Michigan Avenue , quite lot , take free shuttle , leave every hour return every hour . check problem , waitin etc . thoroughly enjoy hospitality Chicago people stay hotel , would definately stay . Chicago beautiful . 
 Nov 3 2005 	 Pricey 	 second stay , time get super deal Priceline ( $ 85 ) , 's reason would suggest stay . 's worth rack rate . valet parking cost $ 37 / night , include tip , take least 10min retrieve car . staff friendly location across Grant Park quite convenient . check speedy 6 pm . room first stay dingy furniture show lot wear tear . ( April ' 05 ) . second stay happen get much nice , new look room comfortable bed big tv . smoking allow common area , like elevator lobby . problem wait elevator , quite fast . lobby pretty jam - pack kind people , loud crowd . attach irish bar smoky lousy , skip . PS . not eat Artist 's Cafe street -- overprice terrible service ! overall bad stay , bad hotel , 4 - star . sure nickel - and - dime death ! 
 Oct 29 2005 	 Rip ! ! ! 	 currently stay four night Hilton business . extremely overprice understaffed . first , pay 9.95 internet . however , outside room common area , pay additional fee access internet ! They\ gym cost additional $ 13 day guest . course , gym empty stay one would pay . room armoire place front window , block access . extremely overprice average room . everything cost extra . disappointed . would rather stay Marriott day . 
 Oct 24 2005 	 beautiful hotel 	 read review hotel already make reservation . expect something bad actually receive . everyone mean everyone ... valet attendant housekeeper , kind courteous . receive luggage bell captain within 10 minute get room . three bank elevator go certain floor find prompt . front desk clerk nice knowledgeable venue city . check extremely fast consider open game World Series . lobby absolutely gorgeous . recommend get lake - view room . negative thing find entire hotel room door seem weigh 50 pound . ' m sure fire door heavy due soundproofing , could certainly knock foot stand doorway closing . overall think get pay tipping really lot & quot ; insure Prompt Service & quot ; . remember bell captain valet attendant . et . Al . service industry probably not make much money . position get money something fast one person another not go tip ... would ? overall huge great hotel first class service . 
 Oct 16 2005 	 great location 	 stay 3 night October . excellent location across Grant park . staff reception concierge friendly , knowledgeable make we feel welcome . room spacious clean . hotel restaurant across reception also excellent . like irish bar dirty full smoke , also not like barmaid bar near reception bad attitude especially seem refuse tip leave nice male waiter throw change husband ! apart 2 small problem involve & quot ; attach & quot ; part hotel would stay hotel . 
 Oct 11 2005 	 Inconsistent 	 Hilton large hotel country , place Chicago history . present nice image general public , local management behind time . room excellent though old , room lack good housekeeping show age . health club swimming pool actually locate top parking ramp . restaurant bar overprice , well food brew find within walking distance . would rather stay drake price . 
 Oct 10 2005 	 positive experience 	 obtain room use Priceline unsure expect . room spacious contain two full bed . furnishing good repair , room quiet comfortable . wonderful view Lake Michigan . great value ( $ 90 ) location . enjoy take kid Chicago museum , look forward stay location ! 
 Oct 5 2005 	 convenient great Pool Reservation Problem 	 despite confirmed reservation credit card , arrive room available consistent reservation . desk staff helpful . ultimately place room usually use directly kitchen . late early loud sound rumble , rolling cart make sleep impossible . next morning take make trip back desk , become aggressive getting manager get resituate room meet reservation . though give breakfast coupon hotel coffee shop- extensive good buffet - the incident really get vacation bad start . otherwise convenient location , walk distance Art Institute , Buddy Guy Blues Club , Lake Michigan park , shopping , well convenient various public transportation connection . pool definite plus hot , muggy August day stay . elegant lobby area make one feel extravagant , even take advantage weekend discount . 
 Sep 20 2005 	 disappoint 	 check hotel 11:20 pm 9/2/05 make on - line reservation Hilton website pay 2 room advance . one room fine total disaster . clean , smell urine carpet , vomit bathtub , debris everywhere . Staff seem concerned could find adjoining close room reserve . Promised & quot ; make right & quot ; move we next day . return hotel 3 pm next day want assign we room . say housekeeping supervisor personally clear . Bell Captain staff take luggage room , open door refuse go . still smell urine . fortunately Bell Captain staff able find we another room front desk seem unable job . hhonors manager promise refund credit card immediately . never do . contact , HHonors manager say check issue cost 2nd room night . 16 day still refund . never stay hotel ! even provide digital photo HHonors manager show terrible condition room ( 2052 ) . 
 Sep 19 2005 	 Great Hotel First Visit 	 husband great stay hotel Labor Day weekend ; unlike recent reviewer ’ experience . book king room two bathroom select upgrade king tower room via e - check - in arrival since husband Gold HHonors member . give king room 23rd floor , executive level , check separate HHonors check - in desk . ask front desk attendant difference room list e - check - in ( keep Tripadvisor review mind ) , show we map hotel layout room would . also explain two double - bed room two bathroom big room . entrance Michigan Ave . amazing , hotel definitely " grand air " , even though ton people lobby . lobby always busy noisy many people around , floor always quiet . Grand Ballroom breathtaking , hotel make point let guest know host many distinguished guest make appearance various tv show movie . nice touch tv Executive Level room suite ' elevator . I regret keep king room two bathroom , even though two we , since room ' huge , enough space husband . room front building , lake park view , side city view face south . high enough ' hear noise street . room historic air , everything update . everyone repeatedly state bed incredibly comfortable , ' believe sleep one . always difficulty sleep hotel bed , ' trouble , pleasant surprise , husband agree comfortable bed ever sleep , ! ' also sensitive light noise morning , wear sleep mask earplug , even home , three - night stay first time never use either ! trade - off small room access executive lounge , serve continental breakfast morning , hor ’ oeuvre afternoon , drink evening . luckily , able take advantage couple time . also tell would access fitness room , ' chance use it . the location fine we . realize ' " heart action , " spend lot time " Grant Park " area Millenium Park , Art Institute , Jazz Festival , Museum Campus , ' bother we . several subway / El station nearby , use lot get one part city another , ' do major city . one complaint hotel seem " nickel - and - dime " customer . like previous reviewer , pay $ 1.50 per piece luggage , although aware practice general , never encounter trip . also , print boarding pass business center last day trip pay $ 2 . could understand charge use internet , charge print boarding pass seem excessive . 
 Sep 19 2005 	 beautiful historic hotel nice location 	 husband stay Sept 11 - 13 . part HUGE convention , take trip away w/o kid . got great military rate nonsmoke King Jr Suite , rm 2263 . room locate end hallway middle tower face Balbo Dr. , could see lake fountain ( track ) check - in : Quick , seem get conventioneer , though offer several self - check - in kiosk , credit card . bell - hop ready willing help we 1 bag . notice offer wet bar key ? hotel / room : beautiful . hallway seem little dark , part ambiance . elevator fine even think hotel book ! ! ! 2 set elevator , upper low floor . room clean , nice quiet . small living room / bar area , perfect snack , water soda . not check see couch pull - out , come back family four ( 4 2 yr old ) could stay type room comfortably . huge tv room . picture review mine similar room stay , though extra / separate living room . good water pressure lot hot water . Gym / pool : heat wave visit , welcome use indoor pool spa 8th floor . not charge extra $ , think b / c Hilton Honors member . try gym , look several different machine nice bright setting . deck several people lay . think odd charge water locker , already charge use health clubfood : try , ice machine always full , even though hotel pack . staff : always nice smile . openly greet we hallway greet , warmly respond . concierge helpful try get direction . since big convention town , difficult find decent room $ 200 . reservation W city center Hilton . cancel W Chicagoan plead stay hilton b / c beauty hotel location . enjoy much . not & quot ; heavenly bed & quot ; , couple evening without kid make stay romantic heavenly . glad choose hotel would stay . enjoy ! hope help decision . 
 Sep 19 2005 	 Hilton Towers nice 	 stay Hiton Towers Sept 16 2 night . Room nicely decorate . extremely comfortable bed . room quiet . one small problem phone ringing wake call order . report 1st morning happen 2nd morning . call Management , reduce room rate night compensate we . hotel 's decor elegant & quot ; old world & quot ; . 2 block walk & quot ; red line & quot ; train . I ' ve 3 Chicago hotel , Hyatt Regency , Westin , Best Western Inn Chicago , one nice room . ( quiet & amp ; comfortable bed ) parking hotel $ 38 night . street behind Hilton several parking lot $ 19 night . I would stay , would unplug phone night . 
 Sep 15 2005 	 good bit good bit 	 originally book stay W Hotel due last minute change go Hilton instead . read review bit concerned honest bad . good bit : arrive Labour day check speedy . first impression hotel fantastic - entry walk grand opening step side lead piano terrace overlook park . certainly get feel stay somewhere expensive elaborate . public area clean huge hotel bit comfort see security guard patrol around . room 19th floor back hotel still great view Sears Tower night . room big enough television huge widescreen ( mention previous reviewer mention tv small ! ) . bathroom big enough two us time . clean plentiful hot water . the hotel across street Grant Park Buckingham Fountain . also walk little Millenium Park . also close shop State Street great pub / diner place South Wabash . also free shuttle take shop North Michigan . not good bit : hotel huge feel little impersonal . not really bother we see other would irritated . second third day Hotel host nurse convention printer convention . lobby pack whole time people mobile phone . tourist look personal service peace quiet may place you . although nice location hotel really way & quot ; tourist & quot ; type thing , nice restuarant shop . young fit not problem walk North day see location hotel could hinderance less mobile . say not really venture far night - block eat - definately quieter sun set . the bad bit : $ 13 use fitness facility . cheek give cost hotel first place . $ 1.50 per bag store luggage . , consider unreasonable . would think thing would complimentary ? ? room service restuarant cost . something like $ 15 two egg breakfast . take advice - walk block Starbucks nearby Corner House Bakery ! summary : hotel clean , comfortable palatial . would stay location would probably choose something Michigan Avenue . 
 Sep 14 2005 	 perfect 10 	 check - out billing , print message stay not & quot ; perfect 10 & quot ; let front desk know ( word bold ) checking - out . we go business conference & amp ; course , true hotel historical & amp ; old . beautiful ballroom . impressive lobby , rich history . however : book Executive Room upper floor suite & amp ; view brick wall opposite we although light get room . as unpack , find pair man 's pant & amp ; sock drawer & amp ; quite disturbed , & quot ; else not clean ? & quot ; call front desk immediately & amp ; someone come collect clothing , nothing really say apologized staff . upon return night , fruit basket & amp ; card manager , however , also dirty cloth one two bed assume use clean drawer . disgusted , phone front desk & amp ; ask speak manager whose name fruit basket card original mishap . unreachable , hear nothing afterwards . some day bath mat , day didn't . the hotel gym cost $ 13 / day appalling ... since hotel include service hotel stay ? ! staff general overly friendly & amp ; barely smile . the bed comfortable . dead fly window sill stack towel restroom . as part executive level , breakfast include every morning 24th floor : cereal , granola , bagel , bottled water , yogurt , juice , pastry , one table particular beautiful view lake michigan . appetizer evening delicious , chicken skewer & amp ; veggie . give service , lack thereof , would pick hotel ever . 
 Sep 1 2005 	 wear 	 try get stay Hilton wherever go service never disappoint one . I decide stay know slightly loop area way far away night scene make journey difficult get back hotel . but arrive , unlike grand feature famous history , tourist deluxe hotel , mean , lot foreign group traveller occupy lobby area check - in process one airport ticketing service feature printing machine , good job we , mean , need personal attention , wait long short staff number sight . the way elevator hall side tacky display shop arcade . find really cheap see feature lobby level . on floor , corridor really grand wide stretch endlessly feature 80 look tired tacky carpet color . the room get cornered view lake , park in - between , , particular spot corridor unpleasant piss smell wet floor . guess someone piss floor cleaning staff notice clean room . , simply many room could check spot everyday . the room size ( deluxe ) excellent , look tired sour smell old room believe . demand come clean window greasy hand mark face / lip . instead change room immediately , say would send cleaning crew recheck room . get back 11 pm , still , roar one phone demand clean window desanitize air room corridor . and , receptionist instead apologize , say ' understand old hotel . ' understand old tired feature unlike HIlton hotel , could compromise cleanliness . eventually , director step deduct cost double point , , late . spoil mood already . I sure good deal group traveler . see lobby bombard east european tourist sit surface lobby / staircase hall talk loudly convention visitor hotel banquet room equally loud poor manner . I would like let Hilton guest know good place choose stay Chicago . so , spend stay inside loop . excellent hotel . stay Swissotel next trip . 
 Aug 16 2005 	 Chicago Hilton Par 4 - star 	 generally visit Chicago 2 - 3 time year , first visit Chicago Hilton Towers . find par 4 - star hotel would visit city . room quiet spacious enough . bed pillow comfortable ( maybe slightly well hotel ) overall nice atmosphere . upgrade two bathroom suite , nice come time get ready morning . the location ideal plan spend time various museum southern end city . , however , plan shopping spending time north river , probably stay farther Michigan . always take cab , Hotel shuttle , neither convenient short walk activity . the real negative hotel elevator . hotel quite large , surprise find elevator somewhat sluggish peak time . although people really not matter , notice tv rather small size room . overall , good stay . would not mind stay , would probably select another 4 - star hotel little close action . 
 Aug 15 2005 	 Lovely Historic Hotel - Service Great 	 Chicago Hilton Towers lovely historic hotel - beautiful ballroom , wood panel marble foyer . Historic also mean problem AC , noise elevator speed . week large conference . hotel seem little & quot ; dark & quot ; ( mention previous review ) think due style - heavy wood paneling . first room small , sufficient one person . king bed comfortable lovely view lake . however , weekend live music play late night - could hear room try go sleep . unfortunately , bathtub not drain well ( several people also mention ) . furthermore , halfway stay , neighbor decide turn tv full volume . could hear loud clear television . call security come . course , nobody answer door security call downstairs advise situation ( even mention noise level obscenely high - could hear way hall ) . noise continue despite repeat phone call security . finally ask move another room initially tell room available . put hold magically one open . move downstairs another room king bed . room much large , two large window overlook lake . overall , pleased room ( especially since tub second room drain normally ) . however , service leave something desire . second day nobody show clean room . finally call 4 pm tell someone already . came call . next day thing happen . think housekeeping service think call additional service reality call never service begin . third day still not clean . time someone came call , tell forget night . stop front desk fix problem remainder week . AC frightfully inadequate meeting room foyer hotel . hot humid Chicago many we sweat inside hotel . ask temperature meeting room , always tell & quot ; union problem . & quot ; lucky thing get fix within hour . food meal function mediocre good , despite fact meal suppose high end . wait 30 minute finish salad serve main course . serve plate cup filthy - see photo & quot ; clean coffee cup . & quot ; waitstaff brusque ( union employee ) . could use fitness center without pay $ 11 per day ( despite fact ' m HHonors member - Hyatt get free frequent guest ) . overall , hotel certainly live expectation . 
 Aug 12 2005 	 great stay price 	 come Chicago August 8th daughter 11th birthday . take , stepson stepdaughter Cubs game . frill room book Howard Johnson $ 110 . good rate could find since one day go game , need frill swimming pool . also , HOJO free parking . check Hotwire one day 4 star Chicago pool $ 95 . , book room Hilton Towers . decide drive city drive Michigan City take South Shore line train city . go tripadvisor read review hotel little worried person book hotwire . problem . walk wow lobby . beautiful hotel . get room two double bed . plenty room we . room well light , clean , bright airy . two towle room . one call housekeeping minute later give extra towle . kid swam pool blast . concierge give excellent tip take kid fun dinner ( ESPN Zone ) right money . next morning breakfast pavillion food great , little pricey expect . bad part trip Cubs get hammer 9 - 4 . birthday daughter never forget . 
 Aug 10 2005 	 Great Location ! 	 stay Hilton Towers 8/5 - 8/8 . hotel great location , right across park . enjoy evening stroll , place ! room comfortable , quiet , clean . housekeeping room clean 11 day . hotel full capacity . lobby area busy noisy . however , room quiet , tend sensitive noise . public transportation problem , several el station within walking distance . walk Ogivie Center take metra Glen Ellyn , daughter / son - in - law live . walk easy 30 minute walk . we obtain good rate Hilton Website ( $ 152 / night ) .We definitely stay ! 
 Aug 9 2005 	 depressing 	 ' ve stay several time business . could choose different hotel , certainly would . interior hotel dark depressing , room small , pay additional fee use fitness facility , restaurant ( Pavillion ) terrible - avoid cost bar ( Kitty O'Sheas ) much well . overall , lackluster , overprice place stay . 
 Jul 31 2005 	 enjoy stay 	 stay Chicago Hilton 3 night July business . view lake wonderful . room spacious clean . public area gorgeous . fork $ 13 gym worth ! take shuttle shopping convenient . nice place ! 
 Jul 27 2005 	 treat like third class citizen ! 	 beware ! realize reserving room Hotwire mean may receive room 22nd floor amazing view lake ; however , fully expect least give room bed . upon check 3:30 afternoon , fiance request non - smoking room . tell make reservation Hotwire , guarenteed specific kind room . receptionist go say hotel overbooke , room willing offer we living room suite , equip pull - out sofa bed ! keep insist lovely room amazing view , say concerned place sleep look lake ( ' m Milwaukee , see lake everyday ) . leave speak manager , come back , unapologetic , alternative . normallly would sit counter problem fix , newly pregnant , want lie . view great , $ 110 could ' ve sleep , much comfortable , sofa . travel quite bit never treat like . go back . 
 Jul 26 2005 	 Beautiful Older Hotel 	 stay three night 4th July weekend . chose hotel 's location ( across street Grant Park firework see ) . beautiful old hotel , well maintain . king bed , comfortable quality linen comfortable mattress . learn standard room two double bed much large standard room king bed ( old adult family member stay one double bedded room ) . nice bathroom , clean . public area hotel magnificient . lobby beautiful ballroom . eat irish pub hotel -- good food reasonably price restaurant hotel . be physically able walk distance , hotel conveniently locate Shedd Aquarium , Field Museum , Adler Planetarium . not find many restaurant close hotel . 
 Jul 21 2005 	 love bed ! 	 good hotel bed ever sleep ! room nice clean . 4 woman sharing room , extremely appreciate 2 bathroom . great view lake , pretty morning . plus quick walk shore . always hot water shower . pool nice outside deck lounge . oh , want use exercise facility , plan $ 13 day access . 
 Jul 9 2005 	 Nice hotel 's guest ? ? ? 	 husband stay 5 day , return July 9'th . primarily choose hotel 's location ( walk distance museum , lakefront , etc . ) spa . greatly enjoy . start every morning visit sauna , hot tub , pool , shower head various attraction . hotel within walk distance Art Institute , Shedd Aquarium , Field Museum , Adler Planetatium . also walk Chicago River architectural cruise , might bit far other . the real problem hotel fellow & quot ; guest . & quot ; stay , several convention land , include group Bible Bowlers ( several hundred middle american family preteen teenaged child compete bible trivia contest ) , horde Pampered Chef lady , other . midwest tradition rent number room hotel , right take common area , elevator lobby every floor , group meeting ? group meeting consist 20 - 50 teen Pampered Chefs sit barefoot floor lobby area whoop hollering , play card game , eat take - out pizza ! disconcert , imagine hotel management discreetly direct folk private gathering area . unfortunately , kind behavior damage experience otherwise lovely hotel . hope Hilton staff find way deal lack civility . 
 Jul 8 2005 	 Fantastic hotel undestand negative review 	 return 3 night stay hotel find wonderful . majestic hotel room 13th floor huge ( smoking room ) . 2 large bed , 2 bathroom , load white fluffy towel , massive tv , coffee machine , mini bar etc etc . tiny complaint coffee room arrival way ask desk staff , assure would return night ..... not . also lift continually busy , 4th July hotel look exceptionally busy , 30 minute wait time seem extreme . other 2 minor issue , love hotel , love room , love bed bed divine , love location ...... return Chicago ( hope ) without shadow doubt would stay , perhaps take coffee bag us readiness ! ! ! 
 Jul 8 2005 	 great hotel 	 absolutly beutiful hotel . family town pleasure , first time Chicago . the location ideal front park , overlook lake . one block walking event Taste Chicago , two block lake . lobby classy . arrive around 5:00 pm , check quickly . book two room two night , able get one room double bed two marble bath , one room king bed marble bath , floor . view Lake park . satisfied . room clean , well decorate . bed comfy . daughter love , say one good hotel ever stay . the breakfast buffey hotel . gentleman front desk ask information attraction town helpful , make we almost waste day . self parking garage well way connect hotel . overall , come back chicago stay hotel . 
 Jul 4 2005 	 say amazing class ... 	 read review scared check Hilton Chicago . not know people make story hotel amazing classy . time check till depart staff always we always treat we much respect . room ready arrive 8 am bonus not hang around room impressive money , 2 bathroom , never get unless suite . come back Chicago doubt back hotel will not even think twice . trust walk front door lobby jaw drop beautiful , classic trimming world . impressed hotel would give 5 star . 
