pleasant 	 Westin Chicago River North well - run chain establishment centrally locate downtown Chicago . room , view Chicago River , mean over - the - top luxurious , well - design spacious , good light comfortable seating . quiet room Westin & quot ; Heavenly Bed & quot ; make excellent sleeping condition someone often sleep well even well hotel . service hotel polite efficient . what keep hotel receive top rating : ( 1 ) lack & quot ; wow & quot ; factor : room , comfortable , also generic ; ( 2 ) free wi - fi ; ( 3 ) food serve banquet room ( wedding ) fairly indifferent quality , even banquet food . still , price right , hotel offer good deal . 
 Mar 12 2005 	 Flawless Nice Time 	 end get Westin River North ridiculous deal priceline - $ 69 3/11 - low ' ve ever read go . thrilled deal , want ensure river - view room , willing pay $ 40 . call Thursday night get room tell , priceline , could see something like check . Friday morning , thought would try . not real & quot ; dressy & quot ; clothe hand , thought - feeling - would not give river view room walk casual clothing try reason hotel staff . , try call . woman say could upgrade river suite $ 50 , would also get free continental breakfast . , all - in - all , room would cost $ 120 taxis . still good river view room , apparently command premium $ 50 - 60 regular room ( get approximately $ 230 room approx . $ 120 ) . block room telephone set . get front desk staff okay - cold , mean , sort impersonally friendly - & quot ; train & quot ; friendly . anyways , hotel use japanese hotel - Hotel Nikko - lobby heavily Japanese - style , complete lower restaurant area / sushi bar . elevator carve design back . nice gift shop also side . get 17th floor ( 20 floor - believe 18,19,20 business suite / room ) walk room 's stunning view river . room not seem like & quot ; suite & quot ; , really , certainly seem like large / oversized room . be fairly lengthy hallway room , side hall mid - sized bathroom . walk room one side large desk area TV , side Westin & quot ; Heavenly Bed & quot ; . front room , face river , sort like half half circle - nice sit area big window look river . nice thing room room next 's little bit , literally look nothing river . be small walkway in - between hotel river , jump window room , would hit water . night , view along river pretty amazing . big view West along river , also pretty nice view East , although complete view East like look West . room next door appear opposite - big view East , good complete view West . could see lake building . Westin Heavenly Bed definitely really nice - finance not want get bed - jokingly wonder would notice lugged bed front door . sell mattress catalog room , however - think something like $ 1000 . Shower Westin Heavenly Shower - 2 shower head . room nice view GREAT , room not much & quot ; personality & quot ; . 's obviously business hotel funky room , japanese flavor not carry . bathroom , black marble tile , snap . tv also kind underwelme - appear 20 inch Philips appear . room clean , though , wear way . peeked room floor maid work , seem quite big room . hallway clean well - light , ice machine way . go restaurant morning see deal continental breakfast . surprisingly , not many people , breakfast set . consist pastry / bread / muffin , fruit , cereal oatmeal . end muffin little pastry - fiance fruit say fresh quite good . free quality good , selection bit underwhelming - egg would nice . get much Residence Inn downtown Chicago Water Tower place , really nice spread lay breakfast , include big muffin , bagel , drink , egg , meat , cereal even waffle maker . not give we breakfast coupon checkin , go back prior afternoon . restaurant quite nice , peaceful - look rock garden ( , appear another element carry day Hotel Nikko ) slip bill door morning & quot ; upgrade & quot ; charge twice , bill $ 40 , $ 50 . since 5 am , take downstairs get take care - upgrade $ 45 ( incl . tax ) . big deal , apparently bill time upgrade someone daily billing . easy take care , reinforce motto staying hotel - always watch credit card billing . room service available , decide time . not anything either we interested - menu little bit limited side definitely pricey , sandwhich sound decent run $ 13 - also pricier item like Filet Mignon , $ 29 . 19 % + $ 2.50 also add room service order . walk street ( Dearborn ) 's Sbarro 's pizza , terrific - eat instead , be White Hen Pantry across street Sbarros snack / drink - definitely need , give room service soda something like $ 3 . 4 room per floor river side building . give couple floor thing besides room , would estimate maybe 60 river room place . river room , appear two small corner room side , big room middle four . river room , floor indication , end 24,25,26,27 . 25 middle room look West , 26 middle room look East . , overall , nice . room offer fantastic view - hotel offer river view , not like , feel like be literally river - hotels street in - between hotel river . staff / service okay - bad , fantastic , either . way Intercontinental Chicago , * * * Courtyard Marriott seem eager please . 
 Mar 9 2005 	 Reservations nightmare 	 definitely pay attention previous review regard management / reservation ! believe absurdity . make reservation via telephone ( direct Chicago number , 800 number ) Friday night stay . call reservation Fri morning happy get room . reservation woman phone tell could still call cancel 3 pm afternoon . well , travel problem arise cancel . call back 2:52 pm speak different woman , assure reservation cancel would charge . sure enough , credit card bill arrive 's big fat charge Westin . call speak manager , try hard nice still fail give refund . state cancellation policy 24hour notice , 's same - day reservation , policy & quot ; non - cancelable . & quot ; informed woman reservation tell . fact , would call cancel , aware reservation & quot ; non - cancelable & quot ; ? furthermore , record phone call computer , manager read phone . yet somehow logic escape . say nothing could since not woman 's name . ( many we actually write people 's name be assure problem ? suppose assume everyone talk moron take name ? ? ) hilarity , manager tell get call like mine & quot ; time . & quot ; mean reservation people screw thing like & quot ; time ! & quot ; like review say , manager make big show offer courtesy gift certificate future stay . firstly , disgust place absolutely interest stay ever . secondly , still charge money mistake . ' m furious ! would stay away like plague . money well spend elsewhere . 
 Feb 10 2005 	 Great Weekend 	 stay many hotel Chicagoland area fall Westin one good . staff friendly attentive , location great ; north Loop theater district three block Michigan Avenue . starwood Preferred member ane never trouble reservation upgrade . staff go way make stay special . 
 Jan 26 2005 	 can not hold reservation : avoid 	 Starwood Preferred Gold stay Westins country frequently . I show hotel despite confirm reservation status Starwood , unable give room . problem recurs hotel , see review write site September : -- -- accomodate , offer put across town crappy Sheraton . dice . freeze . midnight . , need Westin conference 7:30 , , course , choose first place . James Bristow , manager duty , useful . suggestion get room across street run - down Hard Rock Hotel . room cost one - third Westin , tell room quality . this miserable experience , apparently , hotel frequently , even & quot ; preferred & quot ; customer . I would avoid hotel figure honor confirm , pay - for reservation . 
 Dec 21 2004 	 Nice Place ! 	 stay Westin two week ago , problem , complaint . nice place friendly staff . extremely clean room & amp ; bath . within walking distance everything Water Tower Place north Buddy Guys south . catch cab wait right outside curb . not get chance try sushi bar . bin 36 right across street nice breakfast - wine & amp ; cheese bar . several nice steakhouse within block two . Andy 's jazz bar around corner - within stumble distance ! 
 Nov 26 2004 	 Nice Stay . 	 stay 3 night past Columbus Day Weekend . check staff prompt professional . book travel site treat differently . give early checkin nice room . hotel elegant feel deserve 4 star rating . hotel near public transportation airport . check prompt professional also . 
 Nov 26 2004 	 pleasant stay ! : - ) 	 first stay Westin River North , happy 4 - star hotel . hotel : hotel use Nikko Hotel , still contain japanese minimalist luxe feel , really like . lobby smart & amp ; elegant totally understate way ( garish brass light fixture tacky edwardian wallpaper , thank goodness ) . staff professional courteous . phone several day arrival request single bed , incredibly accomodate professional . the room : room non - smoking room 17th floor , partial view Chicago River circular & quot ; corn cob & quot ; tower , architecturally quite interesting . room contain & quot ; heavenly bed & quot ; , dreamy beautiful white bedding . room spacious 2 chair , desk , tv armoire . bathroom contain vanity beautiful grey marble black & amp ; off - white veining . marble surround shower / tub floor . detraction bathroom wallpaper start peel couple place .... minor thing ... could easily remedie , 4 - star hotel . room well sound - insulate adjoining room , something really appreciate . housekeeping incredibly accomodate friendly . location : hotel centrally locate north side Chicago River 4 block west Michigan Ave area call & quot ; River North & quot ; . hotel walking distance : shop Michigan Ave . , fabulous Millenium Park ( must see ! ) , beautiful architecture Loop , red & amp ; brown line & quot ; El & quot ; train ( El great way get around city place far walk . ) park car surface lot front hotel $ 19 / night left car check hotel . Valet service available , expensive . ( travel throughout mid - west , would prefer even car Chicago ) ' average joe ' breakfast dive block north Clark St. call Sam 's , good place grab quick bite heading explore city . ( close Sundays ) . overall : consider great price pay priceline ( $ 89 / night include taxis / fee ) , consider top - notch accomodation & amp ; central location , could beat . happy stay . happy Travels ! 
 Oct 24 2004 	 Fabulous Stay ! 	 arrive approximately 11 A.M. October 22nd . book Priceline $ 99 / night two night not sure expect . turn excellent value . check - in smooth . request king - sized bed , non - smoking Priceline automatically set double room . problem . receive room 11th floor great view Chicago River . morning , able see bridge rise lower allow boat . really love Asian - theme decor . modern , lot black marble , lot Asian - inspire artwork . staff friendly , courteous , willing help we find thing look . overall , fabulous stay would definitely stay . 
 Sep 13 2004 	 bad life 	 nolt believe , make reservation hotel 4 month ago . accept reservation charge credit card . later inform 3 month later move low grade hotel ( 3.5 star , vs Westin 4.5 star ) move make without even check . call manager tell time , oversell hotel ( seem quite often ) move low grade hotel . customer complain , nasty . type world living tolerate . 
 Sep 1 2004 	 excellent property ! ! ! 	 stay Westin River North one night August receive good service ever receive . everyone front desk maid servicewere attentive always smile . the room spacious bed really & quot ; hevenly & quot ; .The complaint $ 35.00 charge valet parking ! would recommend hotel anyone look superior service great location . 
 Aug 24 2004 	 favorite Westin 	 stay numerous occasion well Westin Michigan . hotel definitely nicer . room big well view honor bar Michigan property lack . public area much big , restaurant great view river . Located River North area close dozen great restaurant theater nightlife . starwood correctly give properry 4 Michigan Westin rate 3 . 
 Aug 21 2004 	 Comfortable call ` ` Westin ? '' 	 stay 4th July / Taste Chicago . hotel use Nikko Hotel , still oriental flavor decoration . room clean , small . pay $ 95 / night use Hotwire , price , thought get good deal . I stay Westin hotel , compare Westin hotel , sure hotel meet & quot ; Westin & quot ; brand expectation . think Westin position bit luxurious Sheraton , case hotel . think Westin Michigan Avenue ( also stay ) bite luxurious . of course , everyone love & quot ; heavenly bed , & quot ; also enjoy much ! 
 Aug 4 2004 	 starting age . 	 ' ve stay many time year . ever since Westin buy , slowly slide . be bad , not good anymore . 's experience . request high room location . check 3 pm tell staff member nothing high 7th floor available . would not even check availablity . want get we away post . room little tired . Carpet stain , light bathroom , air condidtione noisy go heat cold , keep room ok . Shower terrible . go hot cold back hot . tell front desk shower light . light fix . not think wall paper change decade . like say 's get old . location still great , ' m look new place stay . checkout relay problem shower second time . Got standard & quot ; be really sorrry be go offer consideration inconvenience . & quot ; oh , allow pet . Dog start bark room next us afternoon . party room apologize keep dog quiet . someone room dog bark 3 am . turndown service history . yeah , write definitely go look new place stay . 
 Jul 6 2004 	 relaxation 	 comfort room . hotel invite sleek . set peaceful make feel home lounge space door . light dim give romantic feel . view excellent bed insanely comfortable . two hour sleep , 2 hour relaxed hour truly say ever . one complaint , price . understand 4 star hotel goodness price neccessary ! $ 13 hamburger ! 
 Apr 6 2004 	 Condescending Management 	 Booked Priceline , call hotel direct day arrival , day arrival , specify non - smoking room 2 double bed . trainee check we PAINFULLY slow - tell room select , time actually punch clerk give away - last room 2 bed . condescending manager make big play & quot ; extend courtesy & quot ; see could , say book & quot ; first available & quot ; service get whatever leave , customer book hotel website first advantage . get straigtene , prick . 
 Mar 26 2004 	 Elegantly Chic 	 stay last week March one evening . lobby chic modern . check - in quick , helpful , welcome . preferred Guest member , recieve corner room southwest portion build nice view Chicago River many building along Wacker Drive ( even see top Sears Tower ) . indeed , room would probably view hotel corner tall structure . however , view rather secondary amenity room . , heavenly bed heavenly shower , one treat comfort relaxation . room large clean , marble bathroom pleasant addition . would definitely stay . 's elegantly chic 4 star hotel . 
 Mar 21 2004 	 great 	 particular Westin neither well - manage spacious . room small , bathroom nothing special , since restaurant construction , place eat hotel . generally , book room telephone , time book Westin website promptly charge credit card three night rather request two night . manager less helpful refuse refund extra night . westin poorly manage ? avoid Westin possible . many well hotel Chicago . 
 Mar 13 2004 	 great except Breakfast 	 stay Jan 04 . former member japanese hotel chain , still visible throughout hotel . big room in - room LAN . great bed . breakfast expensive disappointing . friendly staff . 
 Feb 18 2004 	 Rough Start Wonderful Ending 	 stay Valentine 's Day . book room Hotwire , call hotel directly place request . call hotel staff promise would several request , specifically king size bed . call Valentine 's Day confirm reservation inform we since book Hotwire request going honor since sell king size room full price pay customer . fact quite rude . general manager return call two day later mail we certificate king room , request , price pay Hotwire . apologetic professional . despite inconvenience experience actual hotel wonderful . everyone friendly responsible . two full bed room clean comfortable . bar hotel right check - in . comfortable , clean , modern couch - like seating . drink reasonable , great place people whatch . would recommend hotel . 
 Nov 3 2003 	 GREAT BEDS ! ! 
 Sep 24 2003 	 best night 's sleep town ! 
 Aug 17 2003 	 Breakaway Offer 
 Jul 8 2003 	 Amazing Heavenly bed ! 
 Jul 3 2003 	 new home Chicago ! ! 
 Jul 2 2003 	 bad 
 May 28 2003 	 break wind 
 May 12 2003 	 Awesome experience ! ! 
 Jan 5 2003 	 classy joint 
 Oct 30 2002 	 nice ? ? ? ? ? 
 Jun 7 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
