mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Aug 24 2006 	 huge room - think get lucky ! 	 good stay - room ENORMOUS , spoken collegue also stay appear exception rule , , request big room . location fantastic , right opposite Tube station , bathroom small old - fashioned bedroom space not care . problem bed - kingsize ( well , thought ) actually 2 single push together big split middle - comfortable end virtually single anyway . 
 Aug 23 2006 	 Charming hotel fantastic location ! 	 stay Millennium Bailey ' hotel South Kensington one week August 2006 love every minute ! staff prompt efficient , also unfailingly pleasant time . public area hotel , include lobby wind grand staircase , breathtake victorian opulence . space feature ornate crown molding , wrought iron railing , original stained glass window . reserve non - smoking Club room meet expectation . room huge , clean , comfortable , quiet , attractive . also include robust air conditioning ' ever see -- real delight summer since place London . finally , location hotel convenient . surround neighborhood offer every possible amenity , include restaurant , grocery store , ATM machine , pharmacy , internet cafe . Gloucester Road tube stop directly across street join District , Circle Piccadilly line , latter go directly Heathrow airport . result , find many major site London 10 - 20 minute away . hotel also within walking distance Kensington Gardens , Royal Albert Hall , several museum . Mary Poppins might say , & quot ; ' practically perfect every way & quot ; ! 
 Aug 14 2006 	 great choice ! 	 use review other select hotel recent trip London quite happy result ! ! hotel accurately describe 3 1/2 star : sometimes be three - star , sometimes 's four - star . inconsistency good word . beautiful building absolutely perfect location beautiful Kensington next Gloucester Road tube station . great asset opinion rave enough location . build fairly old beautiful great deal street appeal . lobby also beautiful . room , number 101 spacious comfortable king - sized bed nice view Gloucester Road . huge window , nice decor , comfortable . downside : thoroughly irritate terrible shower curtain attack shower ( ever hear magnet heavy duty liner ? ) . room service poor first time ( order never receive ) great second ( fast great food ) . service front desk great , laundry / maid service satisfactory , concierge helpful . never eat restaurant ( see ) try room service . price baked package expedia feel price appropriate quality acommodation service . overall great would recommend friend family great place start day 's adventure wonderful city London ! 
 Jul 18 2006 	 great place stay 	 room ready early invite check early follow long trans - atlantic flight . lobby lovely , hotel lot big seem . room large London bathroom huge ! & quot ; club & quot ; room ; regular reservation . early June extreme heat wave . air conditioning perfect . hallways hot , ? make several request housekeeping could nice . , excellent , comfortable stay , fabulous location Kensington , right ( deep ground totally quiet ) tube station . thank , Bailey 's ! 
 Jun 9 2006 	 4 star ! ! ! ! ! ! ! ! ! ! 	 room small . one room extremely hot window open could hear noisy fan . service breakfast poor , food good . cap receive bill arrive home thing take card without discussion . good spot , right next tube station , little latenight tesco pub . 
 Jun 5 2006 	 handy hotel worth pay £ 70 	 stay hotel June , handy location . hotel english style 10 year ago must good hotel ! ! ! pay £ 50 per night priceline can not complaint much . understand people pay £ 70 must happy . service average although request quiet room 2 month ago check staff really bother . next time go London would like stay Convert Garden area . 
 Jun 2 2006 	 Great Value London 	 stay 3 night pay $ 120 / night ( incl tax ) Priceline . price include breakfast , nevertheless fantastic deal London . receive spacious , well appoint ( tad overused ) room two twin bed along spacious bathroom . Mattress good least one pillow . gracious Lobby helpful staf . other mention , location can not beat directly across Tube station . the workout facility neighboring hotel . provide nice variety cardio equipment marginal weight training . my big beef internet / wi fi ..... hotel charge extortion rate 20 pound per day ( nearly $ 38 ! ) . instead bring laptop one many coffee shop area . ' ve experience real dive London price hotel far nice experience ' ve city . 
 Jun 2 2006 	 ruff around edge 	 location fantastic - across road Tube station Gloucester Rd ! wonderful . the staff good check quick painless grad staircase find room ( could see lift guess must one ? ) carpet stair start give hotel away - wear place look bit shabby old . sign thing come . I see people pic room look really big bright . book single room puse back door like box room bathroom - TINY ! space desk , bed ! bathroom much big would hard walk close door behind without hit door process . room clean well lit . the kettle one need pluged wall plug scoket side room use one desk ( note lead kettle short put desk reach plug time ) .in bathroom toilet seat lose top tank crack crack turn brown dirt collect crack ( recent thing ) .For 4 * hotel badly let . part grad hotel day may well need work get back level . 
 May 14 2006 	 Excellent Location 	 stay one night standard room . bed sooo comfortable , although pillow stain pillow case bit putting ! bathroom small weird smell first walk . shower not powerful either could do clean . ! ! location wise hotel fantastic , next door tube station ( Gloucester Rd ) great part town . the big problem find 3rd floor room face main road , light sleeper would find hard get sleep quite noisy ! ! hotel interior beautiful staff helpful ! 
 May 11 2006 	 pretty poor 4 - star hotel 	 Millennium Baileys Hotel describe 4 - star ' deluxe ' ... ' m baffle ! stay business two day May 2006 find hotel serious need renovation . good point staff friendly helpful , location great - right next Tube station good local shop , bar restaurant . my room 5th floor musty - smell quite unpleasant . fault include : broken trouser press ; iron ; window could not keep open ; grubby bed spread ( sheet fine ) ; loose electrical connection bedside lamp ; break TV ( keep randomly switch hotel 's text page view program ) ; break loose floor tile bathroom ; peel wallpaper ; room locate next creaky step corridor adjacent exterior ventilation machinery noisy . breakfast fine , nothing special . would stay ; hotel much high standard Central London price . 
 May 2 2006 	 great place stay 	 Great Location , hotel upgrade room standard executive , lovely breakfast , nice dinner . good deal . love stay 5 night ! 
 Apr 23 2006 	 great location 	 return home two night stay friend bailey , london . hotel great location across way gloucester road tube station cover three main tube line , get around problem ... plenty local shop , bar restaurant nearby , particuliarly recommend ' green door ' bar restaurant around corner hotel really nice . the hotel good , check check really efficient , breakfast great , lovely victorian style foyer nice bar . room clean spacious little basic : ie frill lady ... general decor little tired . secure parking hotel , peace mind security wise pricey ... average four star hotel fantastic location ..... 
 Apr 22 2006 	 good Value Great Location 	 safe choice hotel - will not amazed disappointed . like many other say - location fantastic , right across street gloucester road station ... double bonus gloucester road station good tube location everything London - except tower hill . room fine . nice stay & quot ; real & quot ; room change cookie cutter hotel room . floorboards squeak - feel bad people we . make fun game - move across room without make floorboard squeek . air con . not seem work well - wonder old hotel . Shower also bite funky . stayed & quot ; authentic & quot ; hotel London - kind climb lumpy bed get bathroom design micro - midget . 's like - least room , judge review room pretty standard . we not eat restaurant - not breakfast include room rate . breakfast little place across street leave Starbucks - think french name run Indians . good English breakfast 6 pound . beer bar one evening dissapointe selection beer tap . british beer would nice . we stay . think finally find hotel London ; clean , quaint , good location , price right be call Millenium Bailey 's hotel . 
 Apr 21 2006 	 Yeah 's stuff cat ? 	 really , stuff cat look real give good kick . anyway , hotel room ready though check early , pretty large whatever London standard . not ask rollaway bed unless really need one , cost 40 pound extra get one third person . room nice staff helpful . make sure know whether breakfast include room rate 's pricey ( 16 pound , think ) tasty . friend familiar hotel refer we , extremely convenient town Heathrow . bring luggage us issue Picadilly station stair need navigate , otherwise convenient . overall good experience , clean room nice date bathroom . floor creak 's big deal . Bombay Brasserie restaurant hotel outstanding . be also expensive , would say be one memorable meal ' ve time . nearby many service , though would recommend pass tourist trap restaurant look something interesting . countless choice many worth search . 
 Apr 17 2006 	 nice spot 	 London , Millenium Bailey nice place stay great value . tube directly across street three different train line connect , never far anything . several restaurant nearby well 24 hour Tesco , convenient . room nice staff pleasant helpful . money , happy stay . 
 Apr 13 2006 	 great value love 	 husband stay Baileys March 16th 19th 2006 . step away , across street Gloucester tube stop . location excellent Tesco , supermarket , Starbucks , Burger King right across street . also couple restaurant organic pizza place nearby . walk distance V & amp ; science musuem . hotel quaint . staff always helpful courteous . room second floor find plenty space . bathroom bath shower combo lot space toilettrie . write desk plasma television well . comfortable bed . location pretty quite , much noise street . old building lift small . lot luggage like may travel floor seperate elevator . olive bar locate lobby good snack nice cozy place end evening drink . would definetly stay . 
 Apr 11 2006 	 love 	 many pick , listen friend , luckily . bed comfortable , well pillow , could hardly get ! water hot quickly good strong shower head bathroom roomy . ( Loved towel warm . ) location ideal ! ! ! hotel attractive staff helpful . concierge able get we great seat show evening . would highly recommend hotel . 
 Apr 9 2006 	 excellent location well - mean staff 	 stay 1 night . LOCATION : beat . literally step Gloucester Road stop Picadilly Line , take directly Heathrow . room : room spacious London standard decorate typical big chain hotel decor . bathroom also decent size . service : staff well - meaning , always top thing . example , check , eager young man upgrade well room . really appreciate friendliness gesture . however , middle checking , answer phone call never see . one colleague finish check in . nearby eatery : addition hotel restaurant , ton restaurant cafe step hotel , include Paul bakery , fish chip place , indian restaurant , kebabs place , fast food . also , small supermarket right across street get bottled water drink easily . 
 Apr 5 2006 	 great location - excellent value 	 cousin stay hotel 6 night March / April . book package deal Expedia spend $ 90 per night think exceptional value type hotel expensive London . our room 2 twin bed ( request ) spacious clean . bathroom spacious clean well . location excellent access Picadilly , Circle District line . also , direct access Heathrow ( 30 minute journey ) . note September 2006 arrive / depart terminal 4 must take quick , free shuttle bus Hatton Cross Station Heathrow Term 4 tube close then . only 3 complaint ... 1 ) towel smell though store away age smell everyday.2 ) hairdryer kind hold button use - make styling difficult.3 ) safe break use safe deposit box reception - bit inconvenient . all good stay would recommend . 
 Apr 5 2006 	 Attenton Non - Smokers 	 hotel great location underground across street local market adjacent . staff friendly helpful . request non - smoking room receive . I stay six floor three room section . think kind strange realize must non - smoking room . wrong ! neighbor smoke storm ( since Europe smoker dreamland ) call front desk inform reply & quot ; sorry nothing & quot ; . reason room non - smoking fact not smoke ! ! ! great hotel would stay 
 Mar 23 2006 	 great value 	 England expensive , subway cost double New York , train airport , taxis double , gasoline $ 6.50 gallon , not expect level luxury price be use States , stay charming , friendly , economical hotel , evocative thing English . get club double Expedia room huge , water pressure strong , bed comfy . stay 5 night . yes floor creak overhead occasionally , slight hum traffic thru double glaze window , . space , prompt service , internet connection laptop , GREAT location Underground , taxi , service neighborhood . yes , wife princess complain designer shop neighborhood - not bother ! actually , never mind , want place . 
 Mar 20 2006 	 Great Location Above - Average Hotel 	 daughter return week Millenium Bailey 's . location could not well . be right across street Gloucester Road tube station , make transport Heathrow snap . plenty store , restaurant , atm , etc . easy walk distance . room large accustomed european hotel . bathroom spacious , date . room keep spotless throughout stay . hotel staff friendly helpful . one unpleasant side note not discover return home hotel charge toll free phone call , never encounter travel . since bill ready check , mail fait accompli . shock discover toll - free call charge 2.50 pound ( $ 4.50 usd ) . add nearly $ 100 onto bill . use international phone card , be probably well go nearest phone booth . 
 Mar 6 2006 	 Great Business Pleasure 	 ' ve stay Baileys number time last three year always find highly satisfactory . staff friendly bit overwheleme busy time . room comfortable ; small large though particularly trendy . bar night bit hit miss atmosphere . 's location hotel 's forte . tube station pace front step plenty bar shop pub immediate vicinity . walk Kensington High Street 7 minute , Harrods ten Hyde Park less five . intend enjoy London bit work great base 
 Feb 28 2006 	 Bailey 's excellent ! ! 	 son stay Millenium Bailey 's Hotel 2/17 - 2/21 could enjoy hotel . service bar , restaurant front desk attentive cheerful . room ( 519 ) much large expected read comment beautifully decorate quiet . tube station across street bonus . excellent location ! Dinos 's italian Restaurant ( also across street ) favorite . definitely stay next trip London 
 Feb 25 2006 	 Great Hotel 	 stay hotel February . hotel opposite Gloucester Road tube station great easy access Picadilly , District Circle Lines . room ok ( little dated ) clean . breakfast really good . bar tend smoky though . service good although quite slow . would definately recommend hotel business . 
 Feb 23 2006 	 Disappointing 	 husdand stay Millenium Bailey 17th 19th February 2006 disappointed . firstly Bar lifeless drink expensive , £ 16 two drink . secondly room small practically edge way along wall get bed . 4 Star hotel ! Joanne Ireland 
 Feb 20 2006 	 Great Hotel ( right price ) 	 get back three night stay Millennium Bailey 's Hotel . initially book hotel , review positive , month go , review get negative little nervous . maybe expectation lower , pleasantly suprise pleased stay . first , location really amazing . leave Gloucestor Tube Station , turn right hotel right across street corner . really could not close unless attach tube station ! also , particular tube station convenient three different line run . ( way , Heathrow , take Picadilly Line Gloucestor . 's 4 pound get hotel 45 minute . train come every five min . cheaper Heathrow Express probably take minute long since not transfer potentially wait next Heathrow Express train come every 15 min ) . neighborhood touristy feel safe . turn leave station , indoor mall grocery store . not eat nearby except pick breakfast Paul 's ( bakery across street ) good . not eat hotel breakfast ( check buffet not look good especially price 16 pound , would almost $ 30 US ) .Check breeze -- standard double bed room first floor . room nicely decorate . although large , spacious enough feel cramp . bathroom much large London outdate ( clean ) . bed comfortable too . the main caveat : room Gloucestor Rd definitely hear lot street noise , garbage truck , delivery truck , etc middle night . also , could easily hear people hallway go room . light sleeper , may good place . also , think get good price expedia ( ~ $ 140 US / night ) think good London hotel especially neigborhood . another time look hotel expedia , $ 300 night case hotel would worth . would stay ? would probably look around little good price neighborhood , would not disappoint . 
 Feb 5 2006 	 Good Quality Hotel 	 stay charming hotel begin February 2006 , brilliant location opposite Gloucester Road Underground Station . find staff extremely courteous helpful respect attentive need . upgrade Club room arrival good size comfortable . furnishing bright bedding spotless , mattresse firm springy comfortable . fault could find room enamel bath bathroom chip two place repair time , look little unsightly still fully functional . we meal Olive 's restaurant attach hotel excellent quality restaurant cold diner sit near entrance . staff attentive overall experience enjoyable one . would recommend hotel friend - certainly ! would go back - definately ! 
 Feb 3 2006 	 late check - in perfect location 	 experience issue previous reviewer . though already confirm book non - smoking one bed room via email . arrive 5:30p.m . 13 hour flight , room ready yet . though reception ask we go back 15 min . , room still available two hour . two bed room 5th floor . go back one bed room smoke 1st floor . complainted request late checkout several complaint little bit shout . good beginning trip . Porter break luggage case ... room comfortable . bath tub work well phone contact direct housekeeping frontdesk . stay 5 night guy frontdesk pretend see we . concierge ok smile . however , location excellent . Gloucester road tub station 1 min away . Tesco Express 24 hour , Dinos serve excellent italian food . starbuck , Paul bakery , Burger King opposite hotel . boot supermarket shopping mall next tub station . talk reception regard late check - in problem already experience many people Interlet not care . 
 Jan 18 2006 	 ok 	 get London , long flight , early morning . hotel could find reservation , finally , room smoking room . seem like someone smoke second arrive . nonsmoker , fairly difficult breathe ( especially sleep ) . try open window , bit chilly . lobby also smokey time . right next bar . also , room , hairdryer would work second turn . finally give fix hair since rain time . old hotel , would expect , appear way . carpet wear , etc . ( guess give nostalgic aura whole place ) flipside , staff nice ! always friendly helpful . location also great ! able get onto underground get almost anywhere within minute . tube station right across street . 
 Dec 26 2005 	 Nice Hotel Issues 	 hotel nice , could well . room quite comfortable . read room smallish , go king size bed hope would get big room extra cash . nope ! room spotless , bed great ! sleep well quiet room . friend mine stay noisy room near front hotel , peace quiet make request . little nuisance , however , like toilet lid would not stay . lamp could turn short unplugging . ask help , someone come promptly . replacement lamp arrive , promise , follow day . make reservation promise iron board , although room , deliver promptly make call . , make book continental breakfast include . decide buy , be $ 25 ! hot food not include continental , single egg hash brown one morning wound costing & quot ; supplement & quot ; $ 12 . stay Christmas , lobby beautifully decorate . little attention detail , would perfect London address . can not imagine well location ! 
 Dec 22 2005 	 good except Location 	 Location Tube great , be . really disappointed hotel . non - smoking room smokey sleep window open December ( 2 degree ) . least 4 5 false fire alarm within first 3 day stay . room service wrong , take bill . place really old need work . sound upstairs loud could not sleep . could even hear lock door 5 am . stay London frequently , will not stay . manager move room comp breakfast , new room toilet not flush , bathtub not plug allow take bath new room one door credenza would not stay closed . remote control hold together tape . 4 star hotel . well money spend London hotel good position Tube . 
 Dec 15 2005 	 gem ! 	 frequent traveler always look hotel comfortable , convienient , clean , worth second visit . look hotel reflect city visit . stay Baileys Millennium , find hotel London . every detail hotel worth mention , will not bore . locate across street Glouster Rd tube stop , Piccadilly line . 40 minute ride Heathrow . hotel charming , minute walk lobby till moment enter room . every detail first rate , print hang wall room , wallpaper , furniture , hot towel rack , comfortable bed , room tea / coffee set , window double glass .... could go on . if chance stay hotel , . single room , large London , large bathroom full size bathtub . Believe , stay hotel London , single room large closet . rate charming hotel decent sized single many hotel visit would never return to . on next trip London , definately book Baileys Millennium . 
 Nov 30 2005 	 Great experience 	 wife stay Bailey 's nine night could happy overall price . room large London standard quiet . bathroom also spacious great water pressure shower . room clean arrive refresh everyday . front desk people quite pleasant courteous . not take advantage restaurant comment amenity . hotel location convenient , step away Gloucester Road tube station . definitely stay ! 
 Nov 18 2005 	 know thee 	 first , would feel welcome buying tube toothpaste Tesco 's across street . come think , buy tube toothpaste Tesco 's across street , yes , fulfil transaction . second , like place ambience draw line import whole northerly weather system bedroom . friend , cold . third , available space . not available . fourth , facility . look . search . try hard pretty soon fall grip creep disillusion , point begin feel nostalgia old hypothermic claustrophobia . finally , canadian . Got Bailey 's ? irish . person name distinct entity unique human being , evidently , different credit rating . explain decline Mastercard ? 
 Nov 10 2005 	 Loved ! 	 can not beat get price . first - yes , old hotel . want standard , modern one , go right next door Millenium hotel . however , feel hotel pure european - combine old world charm townhouse modern touch ( like bar ) . service great moment walk . room clean fairly good size ( London ) . floor little creaky , get past that . the thing absolutely can not beat location . 24 hour supermarket across street ( buy need ) , tube station across street , money change place , pub , several restaurant , Starbucks , KFC ... take pick , be ! Kensington lovely area walk around . I really can not say enough hotel - love ! 
 Oct 30 2005 	 Real Truth Bailey 	 wildy divergent opinion hotel remind 4 blind man describe elephant different part . several stay total 18 day multiple room . first want modern hotel stay stay Millenium Kensington 100 foot away -the Bailey 100 + year old door enter . look modern amenitite get 1 minute away . the good part well locate hotel London . across great tube station , around corner natural History Science , 10 minute almost every place want go London . hotelthe room bailey vary small room ever find ( guy front call dog kennel say dog big space ) big standard 5 meter 6 meter . small one miniscule trick send letter manager describe millenium status length stay bring people automatically upgrade large room charge . next room face street noisy window old insert job . noise issue ask / insist reservation room face banquet room back side hotel face road . there amenitie hotel worth list . work room pool , decent breakfast place , walk around corner cafe back side hotel serve great cheap food 18 hour day free wireless internet . walk across street cheap internet . the bar smokey unbearable walk across street great pub ton sport outside table . the temperature issue every time simple system either aircondition entire hotel heat . period choice go summer winter great . problem go spring hot day heat room issue reverse fall . get one room describe open window . so hotel like . favorite hotel Mayfair till sell Hyde Park till get expensive . Hope helpsJim 
 Oct 26 2005 	 victorian Charm 	 Quaint Charming ! true victorian comfy ! room double nice size .. window great lot light ... quiet charm .... victorian decor bath ... deep bathtub ... nice personell ... feel breakfast like many hotel pricey get .. $ 38.00 high small buffet offer ... find small diner 1/2 block away call & quot ; Dino 's & quot ; corner ... great english breakfast 5.90 bp .. sometimes breakfast special 4.90 .. nice Baileys 1/3 price . couple operate Dino 's nice ... Olive 's great dinner .. excellent cuisine ... great bar ... lot market eatery close ... location fantastic ! room comfy ... large Marriott Glouchester . need lot service time comment .. service receive great .... allow early entrance room . hotel guest great . would definitely go ! cute tiny Victorian Hotel ... visit past . photo display board accurate room . highly recommend hotel . 
 Oct 19 2005 	 could not ask ! 	 husband spend 7 night Millennium Bailey be enjoy every minute stay . first trip London , overwhelmed great hotel have select Expedia . hotel meet expectation . find positive review would read Trip Advisor true . close tube station , clean , staff helpful friendly . however , arrive , accidentally go Bailey 's tell reservation & quot ; sister & quot ; hotel next door . cause we panic picture have see online Bailey 's . not realize Bailey 's Milennium Bailey 's next door . end fear nothing . great stay love hotel- would definitely go back ! 
 Sep 30 2005 	 Good Location Unfavorable Opinion 	 stay many hotel immediate area include Millennium Kensington next door . seem unlikely ever stay Bailey 's several reason . first , let describe room . & quot ; Millennium Club & quot ; room , one well room hotel . quite large , especially London standard . although well appoint , many amenity simply unusable . yes , personal safe safe mount bottom floor closet . impossible see number read instruction unless prostrate floor . similarly , heat press pant closet . use , one must get inside closet , preferably portable light could see switch . actually mount behind pant press hair dryer . nearly impossible use unless perhaps leave - handed . suppose one could dry hair dark inside closet would okay . even mirror inside closet . there many problem room . first , air conditioner work . report front desk clerk explain something call thermostat need adjust get work . although think try helpful , pretty insulting reply sharply . could explain circuit design theory thermostat tell turn first . Suffice say problem engineering staff manage fix . end problem . need call housekeeping staff replace three different lamp light bulbs four day stay . like read bed could one night lack light . additional problem room poorly drain sink , etc . Breakfast Olives restaurant decidedly uninspire . go get scramble egg , one staff take 1/4 full pan away say would right back . go back seat manage finish everything else couple cup coffee new egg come . even ask come back . think must rush comment egg come back looked partially cook runny . mind , cook scramble egg well do minute ; 45 minute runny egg seem bit . breakfast room well light comfortable . coffee tea also bring quickly . croissant , available , excellent . recommendation would eat breakfast rather go close coffee shop cafe area get well food service half price . the concierge also less satisfactory . ask map look particular street address . ask help find concierge unable find address despite give general location . response exist . since get address website , suspect otherwise . step outside light able find simple tourist map two minute . in summary , hotel well adequate . pay premium price premium room disappoint . location next Gloucester Road tube station excellent . Kensington excellent area London however , , well hotel Millennium Bailey 's area . . 
 Sep 18 2005 	 great find 	 husband stay wonderful little hotel last week . nice area , safe , charming actually . lot cafe , bakery area . room nice , large modern bathroom , comfortable mattress , location could beat . service also exceptional . actually prefer hotel Millenium Knightsbridge charm . stay future whenever visit London . 
 Sep 17 2005 	 Great London Hotel 	 return Sept. 13 6 - night stay Bailey 's extremely please choice . however , check - in , might think otherwise ! room not ready arrive 10:55 , surprise , store luggage go Big Bus tour London . return around 4 pm , get room key - card , trudge locate room , key not work . walk back lobby , get different card , go back room . open door whoa ! , be renovation - everything askew , linen bed , furniture disarray . time , be exhaust good humor . man arrive bag find we situation , immediately go back front desk , tell we wait . come back , tell we have huge mistake , desk person new & quot ; not know much & quot ; . will say . anyway , finally get room , different floor , think definitely get upgrade . our room queen - size bed , trunk foot , desk chair , loveseat , upholstered chair , small table , chest drawer , chest mini - bar coffee / tea set - up , tv top . bathroom huge , although tub high difficult step . room # 337 , overlook Courtfield Rd . tube station . it keep extremely clean , bed firm comfy , 2 pillow , quiet , street noise due double window , really noise hall room . there be small hair dryer closet must use stand front door mirror , not much power . use travel one plug desk , one 110 - volt plug . handy charge camera battery , never use converter . the coffee / tea set - up keep well stocked use every morning . we provide american - style face cloth . 3 lift never wait second one . ice machine , get pintglasse ice bartender whenever need . everyone friendly helpful , except concierge . need info concert , tell could phone . well , make 2 local call , come 2.50gbp check - out - definite rip - off , state phone local call 50p . the location superb , note review . really 40 foot tube entrance , will never get drench rain shower ! many choice place eat - breakfast : La Liaison directly across Courtfield , continental O.J. , coffee , 2 pc . toast croissant , 2.95 gbp ; Cafe Forum , turn right hotel , around corner 30 foot , jumbo coffee free croissant 1.40 gbp ; Paul 's french bakery across Gloucester Rd . , delicious pastry dessert . highly recommend Hereford Arms Pub , 1 short block right hotel - great atmosphere , outdoor seating , welcome staff , consistently excellent food fair price ( typical dinner 2 pint 20GBP total ) . be also internet cafe street , right , Gloucester Arcade adjacent tube station Waitrose , boot , several restaurant , 24 - hour Tesco across street . addition KFC Burger King , will never go hungry . the Big Bus stop directly across street Blue Tour , 2 city bus route . have give 5 star carpet well condition - fairly stain fray place , overall fantastic experience . would definitely recommend would stay . 
 Sep 12 2005 	 stuff cat ? 	 hotel clean , service good room fine , anything large side . could maybe lick paint though everything look little jaded . sure stuff cat lobby . not sample food adjoining restaurant aroma come certainly smell good . none matter though take account good thing hotel - location . across Gloucester Road Tube 's perfect Heathrow ( half hour away tube ) sight . 
 Sep 10 2005 	 Great Location Superb room okay service 	 family stay five day find wonderful . room nice , supply every thing need . pleasantly surprised room size ( compare usual Euro hotel ) ability keep noise ! great location close yummy night dine ( although reccomend Tex Mex restaraunt street ) . tube amazingly close ( right across street ) direct service Heathrow . little bit smoke smell not bad . service desk house keep employee okay , nothing special will not mind . personal belong steal , ( quite sure hotel ) staff security attentive faithful setting investigation give refund steal item . would reccomend Millenium one ! happy travel ! 
 Sep 4 2005 	 good location 	 hotel convieniently locate gloucester road tube station across hotel , 24hour supermarket across road good restaurant along stretch . easy get around london . staff friendly , hotel room clean comfortable . definately recommend . 
 Aug 29 2005 	 good value money 	 last minute desperate find , hotel good bargain . close South Kansington attarction , & quot ; old world & quot ; feel . restaurant particularly good . ideal shopping weekend . 
 Aug 3 2005 	 Great Stay 	 stay six night 7/19/05 . although book via expedia , email hotel confirm room 2 twin bed . confirm back day . room front hotel large expect plenty drawer closet clothe . bathroom also large light ( window ) . air conditioner ceiling work fine quiet . previously stay Holiday Inn block away know area well . definately stay future trip London request room . ice machine , bucket ice obtain bar . 
 Aug 1 2005 	 definitely nice place stay 	 first trip London , ' m glad choose place stay . partner purused web come across Millenium Bailey's . what pleasant place . staff excellent be first time visitor , rely heavily concierge - he definitely find we great price location can not get . also pleasant find hotel gay friendly . close many restaurant Gloucester tube station ( across street ) . room bit small , not matter since time spend trapse around town . a note international traveler - queen give public appearance ( even special invitation ) , ask . 
 Jul 25 2005 	 Average - need least painjob 	 check : easy , quick , hasle free , typical . room : 443 . small , look overused , need paint job . tv small . overall , look & quot ; tired & quot ; .bathroom : large , mildew rust buildup part tub . least clean . breakfast : high point . include price , egg , bacon , sausage , mushroom , hasgh brown , croissant , etc . work , really tasty . good stuff . overall : 130 UKP per night ( business rate ) overprice . London Hotel not ? ... paintjob could wonder place . location good . 
 Jul 21 2005 	 Perfect London Hotel 	 would highly recommend Millennium Bailey 's Hotel London traveler search good location , friendly staff clean , spacious room . previously travel London , rely Tripadvisor hotel recommendation . hotel receive good review , deservedly . would certainly stay future trip . locate within walk distance good restaurant ( curry house next door excellent , chinese restaurant house hotel building ) directly across street Gloucester Tube station , shop large grocery store ( great cheese bagette snack ! ) nice , quick breakfast & quot ; Illy & quot ; across street well . overall great experience ! 
 Jul 19 2005 	 location good thing hotel 	 stay hotel June heat wave beginning . take two full day air conditioning kick enough cool room . would highly recommend one stay hotel summer . lobby air condition lobby , bar restaurant uncomfortable except early morning . the room ( double ) large enough noisy street traffic . hotel furnishing & quot ; tired & quot ; adequate except strange arrangement hair dryer . dryer closet unless mirror closet can not style hair well . woman group unhappy dryer arrangement . might want bring own . a majority hote staff speak English well lead kind problem . many staff member understand fellow traveler not understand . maid not think need change sheet towel unless specifically ask . mini - bar not work stand front desk refuse move would even look problem . maintenance guy finally come room say mini - bar expert day . four day ask , finally replace mini - bar . difficult find day night manager ; staff seem good hearing complaint problem ignore . single room , small depressing looking . bathroom room also small . as reviewer mention , local excellent . right across tube station block direction attractive residential area quiet give sense upper middle class life London . but would never stay hotel . 
