good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Jul 30 2008 	 lovely facility ! 	 return Las Vegas stay South Point . facility lovely ! ! ! food Oyster Bar delicious . pool awesome . lovely time . 's strip not deal mess not wish . wish , free shuttle strip . 
 Jul 30 2008 	 new tower wonderful ! 	 new tower open 3 day stay . not think anyone even use room ! hotel sell , place pack . however , line restaurant not long give time . think people could teach train facility handle large group people ! everyone come contact professional courteous . room absolutely wonderful , problem ever . facility huge , bowling , numerous movie theater , gambling , reason leave go anywhere else ! 
 Jul 29 2008 	 one Best ! ! can not recommend highly ! ! ! 	 stay South Point July 24 - 27 , 2008 , Meridian Suites cancel & quot ; month make advance & quot ; reservation . find South Point thru TA , sure pay we . we gambler , report gaming like , ton activity casino every night , enjoy . run - of - the - mill non - smoking , king , room fantastic . clean , bed awesome ( stay hotel probably 150 night year , bed big deal ) , sixth floor room overlook pool , view great . maid service tremendous , room always clean fresh , never hear , see smell anything & quot ; untoward & quot ; whole stay . we eat one restaurant hotel stay ( drive time , car , give we freedom hit place normally not get ) , one eat , steakhouse , phenomenal . everyone enjoy meal , service perfect . restaurant hotel equal one , would great place eat base upon line get , must close ) .The complaint ( be minor ) service bartender many bar around hotel . getting drink male bartender chore , much interested attend cocktail waitress need sit bar , one table one bar area . cocktail waitress well worth watch , little irritating virtually reach grab bartender order pay $ 8.00 drink . not problem female bartender ( bartendresse ? ? ? ) , right soon sit , service par rest South Point -- -impeccable . be go back Vegas National Finals Rodeo December , already change reservation South Point . can not imagine stay anywhere else . 
 Jul 29 2008 	 10 reason good ! 	 first downside - long way strip do not car want visit Vegas 5 minute car ride . now upside -1.its long way strip be not overrun light - gaze tourist , overdress wanabee , want well phrase , hos & amp ; playas ! 2.the room awesome - 42 inch plasma , nice bed set comfortable , spacious , modern , clean nice bathroom area .Windows soundproofed.3.Pool area spacious , never crowd bar food service . only certain amount bed put be not trip people ( Mirage , example ) .and pool hour flexible want early morning late night swim.4.Casino area large high ceiling make bright airy ( that s possible window ) .It never smoky , unlike strip casino .Slots loose ( blackjack , wheel fortune ) crap table never crowded.5.food - Deli great quick snack huge portion ; 2 1 lunch buffet mean $ 4 make bargain ( dessert really good ) ; 24 hour cafe great though chinese food ok ; sport fan , check 75 cent hot dogs6.Entertainment - Bowling Cinemas good clean ; also showroom Friday & amp ; Saturdays Prince / Funk tribute band Spazzmatics ( image 80 music meet Napoleon Dynamite7.Housekeeping , Valet Bell desk excellent8.Bingo great fun good staff . they electronic board sit drink free drink hour ( plus $ 250 coverall ) 9.price - bargain ! 10 front desk fast helpful . and express checkout tv save time well . my wife late 30 , visit Las Vegas dozen time love place . and want great base extend stay look here . we go back i9n April & amp ; July 2009 
 Jul 29 2008 	 away bustle crowd 	 accompany husband attend conference South Point Hotel . although travel great deal first trip Las Vegas frankly know expect . first view South Point impressive moment hotel fail . large room nicely appoint clean clean clean amenity make life comfortable stay . day spend sight see strip husband work , convenient bus shuttle work extremely well . frankly wait ' few ' minute shuttle arrive welcome minute cool pleasant air condition lobby Mandalay Hotel pick drop point . return South Point far madden crowd town , always good feel step bus comfort hotel know lovely peaceful air condition room await pleasant relaxation evening entertainment begin . south Point appear something everyone enjoy cater every taste . would hesitate stay hotel , thank also pleasant South Point staff , good experience return Las Vegas definitely destination choice .. 
 Jul 26 2008 	 not take taxi ! 	 's beautiful clean . get $ 49.00 nightly rate first go round , book early stay way back Colorado rate $ 79 time . take taxi strip . cost $ 30 one way ! be free shuttle Mandalay Bay take tram either Luxor Excaliber . 
 Jul 26 2008 	 Great Service ! clean ! overall Fantastic Place ! 	 stay Vegas wedding last year value can not beat ! Sure 's strip , provide shuttle strip casino great everyone wide range table slot . great piano bar duel piano ! food average get coupon book include 2 - for-1 meal buffet . staff especially helpful even though Labor Day MDA telethon hold weekend , accomodate include distribute small box guest check well facilitate exchange large room bridal party get ready together ! overall great place stay Vegas ! ! ! 
 Jul 25 2008 	 would never stay ! ! ! 	 stay 2 night South Point Hotel July 18th thru 20th 2008 needless say impressed . hotel room clean service awful . decor mediocre remind large scale choice hotel . book room travelocity feel receive great rate , however amount money would suffice inconvenience experience stay . awaken 2 morning row 7 am fire alarm test annoying message loud speaker . do early , ' m sure first morning happen worst last 2 hour . sleep two hour befor start . result pound headache get day . since first stay Vegas go Strip complimentary shuttle like everyone say barely get ( get drop end strip Mandalay Bay ) . prior we leave South Point none hotel worker know could get shuttle know come every 20 minute . sit outside wait Vegas heat 30 minute , headache turn nausea . check next day water main break without hot water room . front desk keep tell we would back 20 minute , wait 2 hour never happen . straw break camel back , way check ask guest hot water everyone else say ( make we feel great ) . ask manager reduce rate would not give we . when check South Point go Signature MGM like step heaven . highly recommend hotel South Point anytime . 
 Jul 25 2008 	 Toilets Showers not work hour power problem + + + 	 stay Southpoint karate tournament July 17th - 19th . first arrive room bathroom light not work . Got fix . morning , power would go 30 minute test backup generator . annoying awaken 7 am intercom get bed hour ealier . daughter karate seminar morning could not get ready properly dark bathroom . when return room 3 am morning long night partying , room key not work . Luckily daughter & amp ; friend room . then Sunday morning leave , power go morning . next - water pressure 8 am 11:45am . check 11:50 , smell like smoke night - - without take shower use toilet . good Southpoint could issue we $ 20 credit two night . the customer service place terrible . stay unless not need shower toilet . 
 Jul 25 2008 	 Great Hotel Great Experience ... little far strip 	 stay 2006 forgot not review review recent LV trip . stay boyfriend December 26th-29th , 2006 . hotel room awesome . almost nice Venezia room Venetian . casino seem little small . take shuttle not wait long , set schedule understandable strip traffic . this first class hotel . distance strip plus minus depend point view . ruin trip prefer strip . however , stay great deal get room . 
 Jul 25 2008 	 great hotel ... ! ! ! 	 go Vegas twice year , stay South Point several time . picky hotel cleanliness , hotel one highly recommend . room always clean nice . price reasonable ... recent stay July 6 11th . the room first check problem air conditioner . come right away try fix , never really cool . move another room much well . lady front desk nice apologetic problem , give we 2 free buffet inconvenience . adamant want customer happy pleased stay . the bed so - o - o comfortable , great t.v . , spotless bathroom , Bath body product . pressure shower little low . check fire alarm , open new tower soon . also , wash window outside room , leave note thing , room , aware . minor thing , norm . first time ' ve use pool , great . crowd . lot chair . nice big towel . would nice snack bar would open early , cold drink ... even 9 get hot thirsty Vegas sun ... DRY HEAT , though : ) ! ! ! several good restaurant , eat cafe , mexican restaurant second floor , buffet ... also ice cream shop ... buffet not seem good , almost time close .... say stop serve certain time , food start dissappeare right ! slot seem tight , seem happen every go ! ! ! recommend car , way strip . use shuttle , car much convenient , way not spend alot time wait around . nice bowling alley movie theater ... also bingo room , go first time . nice gift snack shop , believe open 24 hour ( real sure , always open go room , late ) thing would change place , drop fee charge exercise room , open pool snack bar early . oh , jackpot two would good idea ! ! ! south Point place want spacious spotless room relax ... 
 Jul 20 2008 	 Break Crowds - Great Hotel ! 	 husband decide go Vegas day early plan able get room one night South Point . read review seem favorable . rate really good too . the hotel strip find casino less crowded really nice . eat Silverado Steak House dinner one 6 restaurant hotel include buffet . Texas frequent good Steak Chop Houses would consider Silverado average . not bad certainly good either . room large 42 & quot ; Plasma T.V . bed hard use pillow - top mattress . bathroom great ! toilet shower area separate form vanity area . vanity area also quite large several people get ready one time . my complaint hotel lot construction go back hotel quite noisy . work late night . plan room early would request room front side hotel . over - all hotel great value . movie theatre , spa , pool fitness center overly crowd . car get around nice place retreat crowd . 
 Jul 20 2008 	 can not seem anything right 	 recently spend three day casino . floor staff casino rude . dealer ok , floor people walk around nothing rude . buffet really horrible cost food place stink . big sur seafood place good seafood good . ice cream parlor nice hard dish ice cream . hotel room nice since add onto hotel occasionally set fire alarm annoy people . hard sleep fire alarm loud speaker announcement . leave 7/19/08 day , Saturday morning , generator test 7 30 , entail loud announcement 3 4 fire alarm . 7:30 SATURDAY MORNING ! ! ! . room service ok quick overall place stink . ( also hard take shower pitch black power ) avoid place cost , least year two , maybe work problemsone thing , unless slot player , comp . even free meal .... 
 Jul 19 2008 	 great stay South Point ! 	 stay South Point July 16 thru 18 . two night stay follow four night stay MGM grand West Wing . vacation extend two night want give South Point try . pleasantly surprise great property . room huge nice view mountain ! easy get . suggest car stay . would spend day strip park one casino head back south point night 's gambling eating ! everyone nice . cocktail waitress attentive drink right . one complaint . water pressure shower strong like . , great time . look middle strip type experience place . look great stay reasonable price , keep place mind . would like go back . 
 Jul 16 2008 	 nice stay 	 Las Vegas family event , need hotel close event Henderson . south point great choice . place new , room great condition . elevator fast , hotel part casino well guard security staff . bed comfortable , air conditioning work well , quite clean . room bathroom quite spacious . housekeeping call additional towel attend quickly . only minor complaint - showerhead terrible , dribble spray . window open room , would nice , since ventilation good . smoke permeate everything , casino room . not use facility due nature stay , pool , spa , etc seem nice . good choice want quality decent price not mind right thick thing . 
 Jul 15 2008 	 favorite place stay vegas 	 hi , stay Southpoint June 29 2008 - July 3 , 2008 . wonderful hotel get well ... open two new restaraunt try Prime Rib restaraunt .... excellent ... affordable .. three us wine desert $ 60.00 ... prime rib excellent ... hotel room excellent ... flat screen tv , clean confortable room , maid service outstanding ... bang other door get restful sleep .. like hotel stay Vegas .. ( Mirage ) Pool area outstanding ... try deli ... oh gosh ... excellent ... sandwich big enough share ... give Southpoint 5 star ... yes south strip ... offer complimentary bus service Mandalay Bay ... 5 minute bus ride ... outstanding hotel ... plenty kid ... check website ... hope much fun ... 
 Jul 15 2008 	 fantastic brilliant stay . great price . 	 notice hotel via website grateful do . firstly let point hotel Las Vegas Blvd , actually 5 mile main strip . therefore , unless car may unsuitable . provide shuttle strip , sure frequently run . the hotel fantastic , especially price pay . pay £ 261.00 ( $ 522 ) , expedia , 7 night stay . think great value money . check - in smooth problem . request pool view room high floor get . ample free parking available well Valet . the room spacious clean . maid fantastic job every day . a / c work great quite , 105f – 110f outside room comfortably cool A / c . room 42 " Flat Screen tv personally find bed comfortable . pool area also clean . main pool good size 3.5 foot deep . also Children ’ pool think 1.5 foot deep . large Jacuzzi towards back . many sunbed available . sun shine pool area 9.00am onwards ( July ) , good use Jacuzzi time . the Casino similar casino LV , except place see minimum 1 dollar bet roulette table . Staff Casino also polit . many place eat within hotel , two place stay open 5.00am . first time Vegas really enjoy also stay hotel . thing prevent stay hotel desire next time stay main strip . 
 Jul 8 2008 	 yes strip ! Great Place 	 stay 6/28 - 7/3 . ( hot 101 - 111 degree ) rental car . arrive hotel little 11:00 wait line couple minute . Front Desk inform check anyone yet come back hour . problem we , check bag Bell desk head N Burger . ritual us NY / NJ , deprive . come back hotel around 12:30 , wait couple minute line give nice room 21st floor . Room Review : clean & amp ; large . bed comfortable sheet little rough ( big deal ) . one improvement recommend large bath towel . restaurant : Coronado Cafe - okay dinner type food . not care chinese food compare NYC Chinatown . Baja Miguel 's - bad . well chain restaurant ( Chevy 's , Border ) .Big Sur Oyster Bar - Good . Crispy fry Calamari & amp ; chunky New England Clam Chowder . casino : lose 's call gambling . drink hostess great , always come around / fast service + cold beer . overall casino clean smokey . check - out : wait line couple minute . issue $ 15 per day charge room refrigerator . drop b / c require medical / medicine . check check something miss front desk , biggie ! tips:1 . car head strip use i-15 entrance back hotel . fly highway get many spot along strip . Time & amp ; gas saver.2 . sell liquor gift store casino.3 . graveyard special @ Coronado 's 12:00 - 6:00am . several dish $ 3 - $ 5.thing would change:1 . $ 10 day fee use gym2 . $ 12 day internet access3 . employee need learn smile front desk . 
 Jul 8 2008 	 WOW POW bing ze almost like bat cave 	 hotel book try book strip decide try one .what place clean bright , plesant staff , food kill food server wer well 100 % . check fast clerk say name several time direct we various area casino place eat . the room big bright clean , tv bigest see major hote stayed do big one . bathroom big plenty towel item wash . yes pool need shade area water clean staff happy help way . price reasonable size room service provide . we sell place book . 
 Jul 8 2008 	 great family stopover 	 family spend 2 night June part long trip certainly return travel plan bring we back Vegas . stay 3 different off - strip Vegas hotel past 12 month easily well good value . Orleans Sunset Station 2 highly rate , inexpensive hotel visit . hotel easy find airport , check quick ( although 1 am ) . standard room huge nice flat panel ( 42 & quot ; ? ) screen full selection cable channel kid . bathroom separate sink shower area several people could get ready . room furnishing appear new . recently remodel pool area large hot tub kiddie pool littlest one , much shade 108 degree day . also close early ( 5 pm ) concert . plenty parking available right front lobby . security visible evening well protect access hotel elevator . construction ( 800 + room ) go , never hear see equipment . find good rate travelworm.com . 
 Jul 7 2008 	 great place stay willing stay offstrip 	 choose highly rate hotel http : //www.tripadvisor.com . find decent deal Hotels.com . check - in quick , ample free parking hotel . room big well maintain , nice bathroom , toiletry , towel . nice bed , decent air conditioning [ outside temperature @ 110 ] , nice 42 & quot ; plasma screen albeit limited channel . would nice refrigerator room cold water ice . buy one get one free coupon Garden buffet nice . decent buffet . free drink coupon welcome . casino pretty clean , lot people play . location problem since rent car . careful drive strip , see two similar accident within 0.5 mile hotel 2 two consecutive day . checkout real quick charge 11.99 internet access per day . keep eye hotel price drop get close intend date stay . experience book Hotels.com horrible since not fulfill price match guarantee . email support non existent , phone support call center India terrible . will stay ! ! ! 
 Jul 7 2008 	 good cheap hotel LOUSY registration desk 	 overall hotel good value money problem . good : large clean room comfortable bed . good bath product large bathroom . vanity seperate tub toilet really help try get ready . casino little smokey bad ( Orleans ! ! ) . like easy freeway access i-15 could shoot behind strip wherever go . need car stay . shuttle Manadaly Bay end waste much vacation time wait . pool nice never feel crowded finding shade difficult . Buffet bad price . bad : since summer ton kid . bad parent would excercise control . breakfast coronado cafe . south point special . since eaten buffet day could easily recognize leftover reheat . scramble egg top fresh sausage , potatoe green pepper dull , luke warm taste like yesterday stuff . stay encounter real snotty girl check . well guess get ! ! read complaint registration desk . ' m bat two two . amaze hotel adress . especially one person . write hotel identify . 
 Jul 3 2008 	 great time 	 would recommend hotel . pretty picky come hotel nice find hotel affordable , also clean . room clean nice scent . nice huge tv . Room make daily include bathroom toiletry Bath Body Works . love huge shower . also , Silverado Steakhouse pretty pricey food good . expect money however service wonderful . everyone need splurge : ) not forget use coupon Fun Book provide check - in . save money . not detach coupon use void . casino lot fun . $ 175 make even exciting . staff friendly responsive . problem room safe Engineer show within 5 minute take care problem . come back hotel next visit . 
 Jun 30 2008 	 great hotel great price 	 South Point Hotel wonderful place stay good price . book Travelocity not problem . room clean comfortable floor quiet . restaurant , especially Vito 's , excellent , pool nice . get amazing hot stone massage spa able use facility entire day . although hotel not Strip , offer free shuttle Mandalay Bay convenient . ( minor ) complaint would not pizza restaurant . 
 Jun 30 2008 	 another great stay 	 , wife three daughter stay two weeknight . find amazing rate Travelocity . kid love pool arcade . use coupon two good reasonable meal . Dinner Baja Miguels breakfast buffet . second stay will back soon . 
 Jun 29 2008 	 Love place ! 	 date stay : June 24 - 26 , 2008my dad ( 77 ) stay South Point Hotel , Casino Spa recommendation family member . able get hotel stay buy one get one night free . also use MC pay , receive $ 25 gas card . staff helpful get we room next day capacity . room clean , bed comfortable bathroom spacious . complimentary toiletry Bath & amp ; body work . plenty activity keep we busy stay . play Bingo ( favorite hobby Dad ) able use computerized machine keep track card . machine everything except yell & quot ; Bingo ! " bingo machine play song let know . casino clean floor plan easy follow ; able navigate dad Casino little trouble . able leave dad alone little playing feel comfortable . south Point also bowl , movie theater equestrian center . definitely place stay . 
 Jun 29 2008 	 ` ` Nice Hotel poor service '' 	 arrive South Point Hotel June 24th . take whle valet come take car . save time proceed lobby check . book two room . one room two double king . give king give double handicap room . tell room available . travel family . 2nd room give occupy still . call front desk ask speak manager . put rude supervisor phone . end argue hangin we . honestly work customer service industry . ask speak manager . hour later one call . provide 2nd room locate 3rd floor . room 9th floor . inconvient . nothing ever do mixup . room nice big . casino okay . pool area nice . however staff need send training learn customer service skill . include casino , bell staff , wait staff especially front desk . would return hotel . would suggest little money stay hotel / casino strip . MGM Signature . 
 Jun 28 2008 	 terrific overall Stay Check Stank 	 Overall thoroughly enjoy stay guest well . age group range 14 - 79 something everyone . bad part trip checking - in . average 3 people front counter time ( check two group people two different time / day ) . slow molasse ! go hassle go room clean spacious . ensure make reservation airport shuttle 24 hour advance . security night go room leave something desire . security guard glancing walk see key card . be not busy text messaging . eat four restaurant pleased quality food superb customer service . not want wait hour line check guest service tv , HIGHLY Recommended ! 
 Jun 26 2008 	 Great Place Stay ! 	 third time stay South Point , would definitely stay . everything great , speed check - in cleanliness guest room . food great , ! 
 Jun 25 2008 	 great off - strip hotel 	 stay South Point early June since , play poker day , really need nice , cheap place sleep . south point great choice . room wonderful , clean , seem brand new . althought many & quot ; local & quot ; casino bargain rate , can not imagine nice SP , ' ve stay other . however , car , make huge difference stay . staff seem nice , take one quick dip pool , eat gamble trip . next time travel Vegas , definately make South point first choice . got great rate website 50 dollar night . 
 Jun 24 2008 	 stay 3 time love everytime ! 	 third time hotel / casino love . player , comp really good . husband birthday , stay 1000 sq ft suite 25th floor . comfortable , could live room . food alway 's excellent , not matter place choose eat . seriously , not complaint anything ! yea , be far strip ... service price , care ? would give service 5 star .. ' ve stay Ritz ( ) Henderson , would say overall opinion Southpoint same.5 star 
 Jun 23 2008 	 Liked South Point Best 	 stay 5 night June , rental car walk strip every hotel went say , & quot ; like hotel well . & quot ; ( side note , like well consider price , someone would let we stay Wynn Venetian $ 79 night , would take ) South Point 's Casino nice , room huge bed comfortable . bathroom large clean , else ask . never get pool area movie theater nice . breakfast buffet good deal good variety . pleased choice stay . complaint easy drive Strip . 
 Jun 23 2008 	 great Value great Hotel 	 return stay South Point super impressed . room spacious clean . hotel spotless construction nearing completion , unpleasant noise , parade workman coming go quietly . rent car , perfect place serve HQ nice Vegas trip . good thing not mad rush tourist lobby , etc . casino friendly always $ 5 table ready . certainly place choice upon return trip . 
 Jun 22 2008 	 watch overcharge ! 	 hotel still go & quot ; grow pain & quot ; . great value Las Vegas hotel- pay $ 47 night 3 night stay & amp ; $ 55 single night 's stay book directly hotel 's internet site . large comfortable room visit . buffet cafe good value . that say , reservation confirm - surprise , surprise - charge agree rate check ! contact Hotel 's reservation department arrive home experience see hotel 's policy overcharge effectively call guest & quot ; liars & quot ; mistake point print proof hotel 's error submit . South Point Hotel decline respond email lead believe indeed hotel 's policy overcharge give idea hotel 's level customer service . make sure copy reservation confirmation brace hassle check ! issue faced include : room smell strongly disinfectant check - in ; internet access $ 11.95 per day ; local phone call $ 1 ; bellman duty arrival 1st visit ; call front desk take average 5 minute answer ; andthe telephone answer system work room . 
 Jun 20 2008 	 great value Las Vegas 	 first four star hotel two star hotel budget . still can not believe great deal get hotel $ 613 Hartford Las Vegas Air Hotel 5 day / 4 night . hotel clean , room spacious , plasma television cable service . photo website WYSIWYG . internet access sound high $ 11.99 24 hour , hear complaint other property charge high rate . hotel definate western , horse theme great property horse enthusiast family . FREE shuttle transportation available airport hotel hotel main strip , would highly recommend rental car . free parking available almost hotel main strip . park Caesers Palace Harrahs without problem incident . traffic super heavy mainstrip , convention , give least 30 minute travel South Point mainstrip location find parking get seminar ( convention hold South Point ) . south Point offer bowling , movie theater great restaurant . eat exclusively Garden Buffet . option plentiful taste great . 
 Jun 20 2008 	 Fabulous Hotel south strip 	 South Point thumb . read lot review Hotel Casino book pleasantly pleased choice . room nice , clean , quiet . swimming pool area nice , construction noise close hotel currently add additional room . try two in - house restaurant please service quality . parking garage cover free , shuttle . extra over - look wireless internet service - fee connect . all - in - all , not mind 5 mile south strip , place affordable , convenient option . happy travel . 
 Jun 19 2008 	 try South Point 	 husband drove not need rely transportation . ticket show strip , besides never want leave property . enjoy pool area - large - pool build like lagoon fun float walk around - nice shelf sit around pool . husband enjoy 50 min massage first day - say make trip . even get much - need haircut Barber Shop . room large standard . Vita italian restaurant fabulous . Buffet good Sunday brunch . someone say could buy 75 cent hotdog somewhere , husband never find ! not take advantage movie theater bowling - look like alot local come - will try next time . love fact away hussle & amp ; bussle strip - 's even offramp i-15 , be convenient . 
 Jun 19 2008 	 nice clean hotel far strip 	 stay hotel one night comment much . say hotel quite far strip . room lovely , good size clean . eat breakfast buffet coupon mean eat $ 5.00 good value set we long day travel . staff helpful friendly . overall like hotel would not stay far away strip do not get chance see offer . 
 Jun 18 2008 	 South Point Anniversary Get - a - way 	 child give we expense pay two week trip Las Vegas 50th wedding anniversary thousand dollar spend slot . choose South Point stay . accommodation make handicap room , close elevator quite helpful . room spacious , clean , nice tv amenity . loved toiletry . bathroom large shower area ideal handicapped person . bed comfortable . check maid service excellent . would enjoy free internet hookup . casino floor restaurant easy get . good food , good price . Deli great . pool close renovation . man work jackhammer early morning early riser anyhow . furniture bed linen fine coating dust work do upper floor cause breathing problem along smoke casino floor . management make apology inconvenience work . would enjoy nice couch two comfortable chair old people sit rather one room . nice area bench sit would nice outside casino , around pool area . see two front casino . ample parking outside garage . quick elevator . security good . plenty slot machine , love penny slot enjoy spend money also win take home . service casino floor good . car rental get around problem . Vegas several time , stay strip big hotel find South Point comfortable , offer variety thing . return Vegas month July do past 6 year . stay rent house time . certainly visit South Point often do past , enjoy play casino eating restaurant . stay South Point help make anniversary enjoyable event . would recommend stay South Point single , young old , family child , honeymoon , business convention . 
 Jun 16 2008 	 Nice Place inconvenient location 	 South point lovely hotel . simply decorate , bright cheery . toiletry room Bath Body work line . offer nice range dining experience . everything clean . draw back find location little inconvenient hope go main strip . hotel locate 5 mile South Mandlay Bay . two shuttle stop one Mandalay Bay Mcaren Airport . unless heavy gambler really not much bowling movie theater . one gift shop offer limited amount gift . shuttle schedule post , like hotel stay Vegas . ask hotel staff tell really schedule . wait shuttle idea miss due arrive . drop we almost back entrance Mandalay Bay see hotel shuttle drop people area . thus leave we walk quite way need catch tram reach destination . handicap friendly friend walk long way . 
 Jun 15 2008 	 great strip hotel 	 3rd visit Vegas , try change strip hotel . standard hotel far exceed expect give price pay . the room huge , bed . clean well cool . corridor actually cold get occasional noise corridor air conditioner . we use casino restaurant quite lot never bad meal , day night . see lot staff member big strip casino eat play there . although hire car find free shuttle strip convenient , free except always tip driver . 
 Jun 3 2008 	 hotel . 	 great apprehension stay ' off - strip ' . almost cancel hotel change Luxor . trust reviews site reward so . let us start negative , away Strip complimentary shuttle start 6 am run 1 am hotel Mandalay Bay Southern tip Strip . run every 15 min reliable . positive , quick booking time , 5 min walk door . room Huuuuuuuuuuuuge ! ! ! wife two queen bed , 42 & quot ; plasma screen , large wardrobe , load drawer space , large bathroom separate washroom 's fully air condition . room solid quiet . pool area large seperate hot spa pool , mean hot ! ! like get bath , spa jet welcome . plenty non intrusive waitress attend pool side . inside full equestrian centre , theatre , 16 screen cinema , 64 bowl lane , bingo hall , 8 restaurant bar galore course Casino . casino like casino , bright , loud full usual table game , slot waitress little bring cocktail . the restaurant superb , top class service , reasonable price . 24hr need steak 5 am could grab one prob . we find cinema Godsend day nothing plan wait nightly show . strip theatre outside pool concert upto Strip standard 's shuttle for . if ever travel Vegas would definately without question use South Point . real diamond . 
 Jun 1 2008 	 enjoyable stay South Point 	 recently stay South Point satisfy every aspect stay . husband fairly well casino , choice restaurant vary reasonably price , room spacious large plasma t.v . like pool area alot- also spacious , clean , pleasant . husband massage spa think whole experience excellent . spa numerous enjoyable amenity include robe slipper , jacuzzi cool pool , eculyptus steam room sauna , waterfall super high pressure water let fall shoulder back . also relaxation room type non - alcoholic beverage , fruit , comfy chair fireplace . additonally , hotel movie theater , bowling alley , equestrian center . stay 2 night never need leave property . highly suggest join slot club send promotion mail . stay promotion receive include 2 night price one , $ 20 food credit , $ 10 slot credit , 20 % spa service . unbelievable value great time South Point . highly recommend hotel . for , downside middle age appreciated spaciousness quiet . sure hotel would appeal 20 - something like go club near strip . hotel 15 minute strip . 
 May 31 2008 	 great value issue ... 	 first , let say great value hotel ! definitely south strip less $ 100 night , worth drive . pleasantly surprised cleanliness quality room . room little yellow side ... picture exaggerate . complaint third night , get stick elevator 4 year old daughter . operator end elevator phone nice keep contact we service guy try get elevator function . try vain 15 minute husband finally try pry elevator door open able get open ( good thing 's construction worker ) get we . not know long would wait husband not take initiative get door open . relieve ' m pregnant bladder get full . needless say , manager come room ask okay promptly leave . little rattle bad wear little surprised not little concerned . honestly expect stay compe least situation address management time check nothing . ask kind compensation desk clerk grudgingly go back ask manager take one meal room service bill . the service lack daughter little rattle elevator , look economy place . stay somewhere else next time come Vegas . 
 May 27 2008 	 Fantastic Hotel 	 South Point really fantastic place stay . the hotel year old everything still feel nice new . the room lovely ... huge nice comfy bed . the food great value really quite good consider low price . the bowling alley huge cheap compare one uk.the cinema great add extra . I fall lucky pool , book , pool close due re - open 23rd May ( 2 day departure ) due construction work . however , re - open early son delight . it lovely heated pool never get nowhere near crowded stay . it nice able chill without crowd . be warn -- -- -the jacuzzi pool like step hot bath -- -quite strange middle desert . I diidnt go Las Vegas gambling , casino seem nice light airy ..... one hint tobacco smoke . the hotel shuttle run Mandalay Bay , last return trip 1.30am . if miss shuttle taxi fare Mandalay around $ 15.I really find anything negative say hotel . I highly recommend it.p.s construction work complete stay . 
 may 23 2008 	 sleep tell housekeeper change pillow paranoid .... 	 love new hotel atmosphere . right step hallway room , smell new carpeting . good part experience . however , stay 's will discontent . sleep stinky pillow , change pillow daily , ruin everything . start get paranoid towel , see really wash . since be time sleep , will not notice thing bedtime . time , be housekeeping around 1/2 . especially be schedule , not wan na waste day watch housekeeper see replace towel / sheet guest leave . guess probably not since get smell.hope next person 's experience well experience mine . 
 May 21 2008 	 nice room reasonable price 	 room spacious clean . food good . be several mile strip , shuttle not car . issue fan noise roof room . book i4vegas get pretty good discount . 
 May 21 2008 	 wonderful ! 1 	 exhausting search honeymoon hotel come toss South Point , Orleans Red Rock . finally plump South Point .... glad ! ! ! room wonderful , beautiful view mountain large clean . hotel whole also clean , staff friendly helpful check check smooth . excellent restaurant , wonderful room service great casino ! would definitely go back ! ! 
 May 20 2008 	 Perfect Fit Vegas Vacation 	 first - timer Vegas non - gambler , excite see site experience thrill .... distance . husband find hotel . love price appreciate minute strip . the hotel enormous even still be grow . entire wing still construction . ( construction not disrupt stay . not hear thing . ) room spacious , bathroom clean stock Bath & amp ; body work product . bed comfortable . room quiet . over - look pool . couple week trip inform rate drop $ 10 / night . arrived realize ... pool close . darn . look nice ! eat Michael 's . pricey -to say least- well worth . enjoy meal extra & quot ; course & quot ; not expect ( large relish tray cruise menu , sorbet entree , chocolate cover fruit check ) . truly high - class . next time will not wear jean flip - flop ! still service treat we like royalty . save winning spend ! 
 May 19 2008 	 Love hotel ! ! 	 third time stay hotel love ! hotel 5 mile Strip , not go Vegas casino , suit we fine . regular shuttle hotel ( every 15ish minute ) Mandalay Bay , be easy get Strip . the room large , modern clean LARGE screen tv.there several place eat hotel , breakfast dinner excellent value . staff always helpful friendly . the hotel currently extend ( include another 800 room ) , even though see builder access stairwell , pose problem . notice apologise guest presence dust due building work . it be easy get car Rental Returns hotel , also airport shuttle . we definitely use hotel ! 
