nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Jun 2 2007 	 Lovely Room Excellent Value Enjoyable Stay 	 New York total five time past 5 year stay various hotel , impression hotel room New York price tiny size never put visit New York , always something somewhere go NYC.My impression hotel NYC change ! ! ! time round go another couple ny total 7 night , book directly website get good rate . our stay Novotel FANTASTIC ! ! ! location central everything ; get decent size room face Times Square direction 17th floor . room clean everyday maid super friendly , reception staff really helpful also friendly . dinner twice hotels restaurant service food second none . the hotel one block Ed Sullivan Theatre get see film David Letterman , class ! plenty good bar , restaurant dinner around Novotels location . we visit NYC later year stay Novotel . 
 Jun 1 2007 	 beautiful hotel prime location ! 	 friendly staff willing accomodate request ! ! ! 
 May 28 2007 	 pricey good hotel 	 Hotel pricey , New York ! although room like upmarket motel , everything work properly nothing go wrong , way worth price save stress hassle . past review say location obvious advantage be Times Square / Broadway show fix . reception staff lukewarm , problem such . overall , pleasant stay . 
 May 25 2007 	 great hotel - perfect location 	 right middle everything . great location wise everything lead Time Square . not eat hotel diner next door fantastic . staff really helpful . New York busy need place clean modern Novotel live . 's need . room service expensive - 17 dollar 2 coffee , not . apart would go back every time . enjoy new york 's fabulous . 
 May 17 2007 	 definitely recommend 	 great location , spacious clean room , beautiful lobby view Times Square , excellent sound insulation . feel bright , comfortable quiet inside , appreciate day New York City . definitely recommend . 
 May 13 2007 	 fantastic location 	 stay hotel 3 night early December . first time New York great time . hotel lovely , room Brit standard huge , bed ! location excellent short stroll Times Square . not eat hotel many place nearby , highly recommend Rosie O'Gradys . 
 May 4 2007 	 great location 	 stay 3 night novotel NY . location really fantastic , could not ask . get nice room 32th floor , could see Times Square , amazing . noise , even guest room . room clean find one & amp ; 's popcorn couch . room could use little refreshment really ok . anyway not stay lot room ' ve get NY visit ! would definitely recommend hotel , great value money . would definitely return . 
 Apr 30 2007 	 wonderful European Atmosphere ! 	 book hotel weekend layover attend conference . sister fly meet spend three night hotel . lobby common area drop dead gorgeous room little & quot ; motelish & quot ; tired . interestingly , bathroom one spot update fresh make big difference ! not matter end . staff location make lack luxury . fantastic outdoor patio stunning view Broadway - lot seating need order thing ! greet name virtually every time hit lobby . bellman ( ! ) could gallant friendly . feel like americans place fine we . majority guest France , follow England , Germany Italy . make cool atmosphere departure ordinary . city hotel Air France crew member charm friendly ! LOCATION _ location_location ! . Turn leave front door two theater go two block Hell 's Kitchen stunning array eclectic cafe . turn right Broadway , two block Time Square . turn right hike couple block Avenue Americas ( 6th ) , take leave Central Park block . stop hook right Central Park hit 5th Avenue , Madison , etc ... shopping . subway close taxi place . great place . go back . heck , first night Omar Sharif lobby cafe . friendly accommodate , meeting & quot ; Dr. Zhivago & quot ; set tone entire trip ! ian front desk sweetheart deal & quot ; two sister Texas & quot ; greatly appreciate . truly great bunch people work Novotel . 
 Apr 29 2007 	 Breakfast ! 	 Novotel adequate stay two teenager ( 14 / 17 ) - share bed not mind much . overly - big room , honest little not matter . not eat hotel - 's point ? - would highly recommend Applejack 's Diner breakfast , couple block north hotel 55th & amp ; Broadway . use diner bottom hotel first morning ( can not remember name ) nowehere near quality Applejack 's - great food friendly service . 
 Apr 26 2007 	 comfortable hotel 	 Managed get room 33rd floor stunning view across Hudson River . room reasonably large , clean well - equip . large comfortable bed , possibly bit soft . Air con seem work fine . not breakfast meal hotel , comment . would recommend hotel , although next time would try stay different area , Times Square bit garish . 
 Apr 24 2007 	 Best Location 	 first time NY take forever find hotel 1 could afford 2 great location . trip start bad 12 hour delay cleveland due weather . phone hotel great . check quick staff nice . room 2222 , view Times Square great view river wonderful building . love fact window open could hear terrific sound city . room nice clean hear noise room . very odd Coffee maker ( read review pack ) bad thing bring food back want keep cold not use mini bar , charge . want fridge charge 20.00 per day . internet access bit expensive also . location good , minute walk central park , even walk Met . block ts bit Macy 's . subway block away . stay hotel already plan second trip . 
 Apr 22 2007 	 fantastic location 	 good rate directly hotel website . book 2 option : low floor low rate view high floor high rate view . decide book low rate contact hotel via email view . turn rate could get direct view times square 20 $ per night . upon arrival decide go . 20 $ per night extra give room 32nd floor ( almost high floor ) direct view times square . although go New York view , say arrive hotel 11 pm , turn light , sit bed drink look times square really amazing ( whatever people say ) .Room seem renovate clean . since rate hotel low end New York expect great room . hotel staff nice ( even checkin ) . day departure could leave bag secure bellman pick 4 pm 1 $ per bag . I would definitely go hotel ! 
 Apr 21 2007 	 great first visit - would definitely stay 	 great hotel . originally mean go November ( book expedia ) take ill . hotel non - refundable however letter doctor confirm situation expedia agree refund room cost ( probably help busy time year , sure able rent ! ) first great impression decide book ( time direct , expedia availability ) . unfortunately day due travel , day heavy snow flight Gatwick Newark cancel . telephone explain situation accommodate ; arrive 1 day late , still stay 5 night , half expect might pay extra & quot ; miss & quot ; night , not , great . opinion hotel good , guess average hotel , nothing quirky unusual clean , able see Times Square room . Lets face , go New York spend day hotel ! bus tour ( would definitely recommend ) go past hotel consider not see near anything particular ! price range would definitely say Novotel win location . Marriott Times Square look great unfortunately price range want stay 5 night everything want . one thing would say tea / coffee make facility like , well take kettle ! eat breakfast hotel couple time ; stay central London think $ 20 ( less £ 11 stay ) breakfast pretty good deal ! continental breakfast $ 16.it cold went not want go street breakfast , go warm time might feel incline . colleague planning trip advice planning stay Novotel . PS not bother get boat Liberty Island , take boat Ellis Island circle Statue Liberty get good picture . 
 Apr 20 2007 	 3rd Time Lucky ! 	 return Novotel 3rd time & amp ; time bring daughter . last two time stay extremely happy hotel & amp ; husband & amp ; give big room time . however even though email hotel beforehand request twin room , away elevator & amp ; away noisy ice machine give small room double bed close lift . go immediately reception & amp ; ask another room & amp ; inform snooty receptionist room . terrible attitude client & amp ; notice one rude . back ' cupboard ' . double bed & amp ; sofa bed need make . rang housekeeping ask . go hour & amp ; expect bed make not . rang housekeeping & amp ; asked & amp ; tell would someone right away . one & amp ; half hour pass & amp ; still maid appear . rang & amp ; polite & amp ; success someone arrive within 5mins & amp ; last bed make . 3 drawer we , wardrobe wonky slide door 6 hanger ( lot 2 woman ) really could face reception put it . when go holiday want battle & amp ; generally easy go expect well hotel . recommend hotel stepdaughter stop November & amp ; previously give Novotel glow report Trip Advisor . however go back ny look another hotel . 
 Apr 12 2007 	 Good price room leave lot desire ! 	 stay Novotel 5th April 6 day . room not clean hair bathroom floor . sink not empty well either . one bedside light break . toldreception send people sort thing out . this hotel excellent location Times Square near everything . side view room 28th floor . Hudson River leave . we get really good deal room hotel website link tripadvisor . cancellation room . the overall feel room shabby look crash pad fine . time hotel cost would recommend stay Novotel . 
 Apr 12 2007 	 view ! 	 ok hotel budget end scale , access restrict lobby reach one two elevator street level decor / furnishing bit tired , view room ( 2602 ) 26th Floor overlook Times Square priceless . window open night not find noise intrusive - guess high building go less problem be . we not & quot ; eat & quot ; ; breakfast within 10 minute walk either Cafe Europa Broadway Pax Cafe 42nd Street freshly make , good quality excellent value . much choice evening eating , would stay ? hop hop bus seem bit expensive ( family ticket $ 200 two day & amp ; 1 night use ) , Metro Card allow travel subway like real New Yorker much well value & quot ; authentic & quot ; . want try something bit beat track , try Fire Department Museum Spring Street Hudson Varrick Streets . guy work fantastically knowledgeable - guide retire fdny veteran 35 year service boy could talk entertaining . 9/11 memorial museum great testament man FDNY lose life . 
 Apr 12 2007 	 Novotel New York City 	 fantastic location easy walk central attraction . travel 11 13 year old . good clean accommodation , spacious family room - great price . eat breakfast hotel , child eat free , good value we ( perhaps good couple - $ 20 per head ) . load great restaurant nearby - would recommend Ellen 's Stardust Diner right across street , complete singing waiting staff ! however would definitely recommend Mars 2112 , total rip - off . long wait table bar amusement arcade suppose martian surrounding , i.e . couple staff dress green outfits . even child extremely unimpressed ! usual sight also worth go Rockefeller Observation Tower view Empire State Building fantastic . liberty helicopter tour also highly recommend ( pricey lifetime - 5 minute tour enough ) . mention many guidebook Sony Wonderlab ( 5th Ave / East 56th Street ) . free interactive experience child think great - definitely worth visit . 
 Apr 11 2007 	 good room price right excellent location 	 select Novotel New York hotel suggest Midwest Airlines , base rating Trip Advisor . the location -- strong suit -- offer excellent access theater district make subway bus connection Museums uptown shopping downtown . like comfortable easy chair reading lamp . rate midprice affordable -- marble bathroom , not miss . good service staff desk , maid service bell captain . 
 Apr 4 2007 	 great hotel great location ! 	 stay partner 's birthday 15 - 19th March . check - in efficient , allocate kingsize room 28th floor overlook River Hudson . un - obstructed view , however notice room accross overlook office block . room big , comfortable kingsize bed , small sofa , coffee table , remote control tv , room clean daily basis clean towel request . negative thing think coffee tea make facility would nice end hard day shopping ! however , Art Cafe situate right next Novotel provide good quality food / drink reasonable price . location hotel make we close Central Park , Empire State , fab shop etc subway nearby find safe use day . last night find Bar Harmony locacte couple block hotel . drink reasonably price food comes highly recommend ! overall fantasic stay would definately stay Novotel . 
 Apr 4 2007 	 outstanding value 	 $ 145 bid , hotel provide outstanding value . early check - in ( noon ) clean quiet room , ideal location , good Priceline property ' ve find star level . staff friendly accommodating . say France & quot ; Chapeau & quot ; ( Hat 's ) Novotel New York ! 
 Apr 3 2007 	 Great Location 	 stay Novotel 15th 19th March completely agree everyone give glow report . the location hotel , price , second none . room look directly Times Square ( picture attach ) . New York hit snow , walk around easy sssoooo cold , snow clear walk around hotel easy central . never wait long 2 minute lift ground floor reception find desk staff helpful friendly . Didnt eat resturant many place try . tip would go Ellen Stardust Diner road . great food wait staff sing ! ! ! ! waitress good cd ( listen great . jamieraemusic ) Booked see Chicago 2 block away Novotel ( Wicked Mama Mia right next ) .The problem hotel although smoking floor , seem smell smoke crept bathroom late afternoon . in summary , would hesitate advise people visit Novotel would hope return soon . NEW YORK ROCKS . 
 Apr 1 2007 	 great value fantastic location . 	 slightly sceptical hotel , particularly view 's comparative low price dismal experience another low budget NY hotel 3 year ago . ' m pleased say however fear prove unfounded . start 9th floor tower ( top end ) Times Square , reception Novotel reach one 2 elevator small glass front entranceway 59th Street . the reception area appear fresh , clean new greeting reception friendly . although incorrectly expect we arrive previous day , mix immediately sort ( upon production reservation voucher ) allocate room 25th floor . take one 4 large elevator 25th floor , find room easily floor hotel actually quite small . on enter room , pleasantly surprised appearance , give relatively low price hotel . room plain clean functional . two particularly cheap nasty picture not much brighten - neither obligatory low level lighting ( hotel room never decent lighting ? ) . however function , adjustable air conditioning , remote control tv , armchair ( table though ) , clean bedding , small safe , mini - bar , iron board decent size bathroom supply toiletry hairdryer . we however notice bath , although clean enough use , clean standard have clean bath ( odd hair leave etc ) require rinse around time time . addition , shower fix low level we direct blast water directly throat ! ice machine shoe - shine machine also locate outside elevator . as turn , room end corridor people reach door occupant room opposite . , couple vith low traffic noise level 25th floor level make surprisingly quiet stay . normally always use earplug hotel certainly not expect sleep well without New York ! view room not great - office block opposite could easily see occupant ( guess could easily see we ) , road junction . not go New York sit look hotel room window though really not problem . many other point , lack coffee make facility room disappointing however starbuck across road , not huge problem . although hotel 's bar restaurant , price appear bit high , particularly consider plentiful supply restaurant , diner bar within hundred yard . result , never use hotel bar restaurant . we use small shop ( locate next reception ) find good choice souvenier , drink sweet ( sorry , candy ! ) well necessitie tissue , toiletry , medical supply etc . payphone locate lobby , one occaison use concierge ( book helicopter trip harbor cruise directly phone buy discount show ticket tkts Marriot Marquis ) , find service good . other lack coffee make facility occasional wait elevator ground level reception , gripe would fish keep small square vase reception - vase look far small seem cruel keep single fish confine space . other , look great value , great location hotel not necessarily want height luxury , look Novotel . 
 Mar 31 2007 	 fine place stay 	 fine ... clean well locate . staff freindly . wewere happily situate Broadway good view Times Square 25th floor . would hesitate stay go back 
 Mar 31 2007 	 Novotel view 	 stay Novotel 24th 30th March . excellent hotel sightseeing trip New York Rooms great view Times square Staff friendly & amp ; always willing help . hotel close attraction Empire State Central PArk etc also close subway . prepare Credit card meltdown yoy visit shop 5th Avenue ! . would almost certainly stay hotel return New York . 
 Mar 27 2007 	 great location 	 stay novotel 21 - 26 march great location close central park , theatre , shop statue liberty.good hotel great staff . have fantastic view times square . because lobby seventh floor bit bind get room need take two lift , one street lobby lobby room issue it . art cafe outside excellent breakfast stardust across road ( preapare waitress start singe ) rosie ogradys pub excellent steak . would recomend get gray sightseeing bus . will go back 
 Mar 26 2007 	 Great Hotel Shame Check ! 	 stay Novotel new York City Hen Weekend February 2007 . 15 we cause problem . seem thomas cook hotel good communication result check pleasant experience . guy check could find booking take two hour finally check properly . good consider travel day two flight . send wrong room twice , staff try put four us room one bed two we even put already occupy room ! staff desk unhelpful , false politeness seem patronise two hour try check ! even retreat back room order hide we even though managed stay polite throughout episode ( die shout scream ! ) say go large group might difficult make sure arrange specifically travel agent confirm guest name beforehand , possibly confirm directly hotel would good idea . apart terrible check hotel fine . clean , large room , nice food restaurant , great service bar , lovely wait staff great concierge staff . great hotel couple family budget want somewhere nice stay visit city . oh location hotel absolutely excellent . photo attach take hotel 's balcony restaurant . jane 
 Mar 23 2007 	 fantastic location New York City ! ! ! 	 fantastic hotel Times Square , hotel fab , pure luxury , great service location . would definately stay would recommend . definately worth extra money stay central location New York much see .. Party 6 travel week long break one complaint . 
 Mar 22 2007 	 great hotel great location 	 stay Novotel February 2007 3 night , arrive Friday depart Monday . due flight arrive slightly early check hour ' official ' check time 3 pm problem give room key ( book 2 room 4 adult ) straight away . the room big hotel room ' ve stay New York City two double bed . clean well keep , mini - fridge colour tv . plenty drawer space , wardrobe personal safe . gift shop downstairs , well informal cafe bar fabulous view Times Square . one tiny thing gift shop - sell chocolate crisp drink . however pharmacy right street open 24/7 sell multitude soft drink , well beer etc ... not breakfast hotel , instead eat Art Cafe street level right next hotel . staff friendly fast food excellent . also McDonald 's street various cafe 's , deli 's restaurant choose from . the location great , problem get taxi 's wherever need go . when check store luggage downstair cost $ 1 per item pick time go back airport . get taxi problem , ask doorman manage get car we . I ' ve New York City 3 time , think Novotel good hotel ' ve stay far , would definitely go back . 
 Mar 16 2007 	 great base sight seeing ! ! 	 return girly long weekend trip ( 8 - 12 March ) ... hotel basic clean , tea coffee room ! ! ! room book 5 month ready arrive 4.30 pm although give complimentary drink bar . room different floor higher request one 32nd floor good view times square . Kevin mention helpful pleasent unable keep promise make . assured would get room together follow day 2 visit reception give ! ! stay would make fuss start , complain check time room service take bill compensation . freindly hotel fantastic base see sight . excellent Broadway Times Square , Lexington Ave , Park Ave 5th Ave Central Park . the hotel restaurant bite pricey side although breakfast good , $ 20 per person bit expensive set day . cosmic diner ( turn leave exit hotel 2 block along right hand side can not miss ) great selection less half price friendly attentive staff ! ! would return location . 
 Mar 11 2007 	 Great Hotel ! 	 return week ago 4 night stay Novotel . price well worth , hotel 's website always deal seem . king room 22nd floor , complaint . room good size , nice hard wood floor bathroom , though shower pressure blow across tub , be powerful . comfortable bed , small sitting area couch , chair table , minibar , desk , tv , iron , safe , alarm clock , thing miss coffee pot . 's high speed internet access , wireless , not , plug laptop via dialup , work great . business center high speed though really need . wireless daily fee . view theatre nearby , Hairspray , Jersey Boys Wicked . can not comment restaurant room service , not use either , cheap restaurant nearby look , like cafe / diner 's corner right next hotel . want expensive outside hotel , Gallagher 's steakhouse right next door also . location can not beat , 5 minute walk Times Square , subway couple block away . 's doorman always outside also , cab readily available . find staff friendly , especially Kevin front desk clerk . one downside , be really minor , two elevator , one street lobby ( 7th floor ) , lobby room , elevator come quickly . late night , will not even let lobby without everyone group show room key , friend not stay deny access upstairs come 1 . one problem stay , late night come back , room key must de - magnetize , try 20 time not work . problem though , go front desk get new key 2 minute . great stay , will definitely stay ! 
 Mar 9 2007 	 Great Hotel Excellent Location 	 daughter stay Novotel 7 night , book 5th March . I honestly say problem hotel , staff always pleasant helpful ( especially Juan ground floor ) . room although plush adequate trip . plenty room leave collection bag shopping ! ! bed comfy , everything ( tv , iron , shower etc ) work perfectly . Times Square view room , amazing . location Novotel fantastic . I would say look excellent hotel excellent price excellent location Novotel perfect . obviously hotel within location find far expensive , personally happy pay less shop ! ! already start save next trip New York would hesitate book Novotel stay . 
 Mar 6 2007 	 Novotel Broadway - Fab location 	 come back wonderful 5 night stay New YorkWe stay Novotel Broadway , honest unless total snob can not fault hotel all . we double double bed room 15th floor , whilst view times square interesting enough ( go New York look hotel window ) staff reserve friendly - bar restaurant little expensive , couple drink anyway ( many outside go stay hotel ) recommend Art Cafe directly hotel - aware get mega portion . also Ellens Stardust diner road good . drink check Tao , try Tautini - yummy.42 e 58th Street Madison Park Avenues . a restaurant recommend ( though need get cab ) La Ripaille ( 605 Hudson St # 3 , New York , NY 10014 ) owner french wife Manchester - food splendid atmosphere brilliant . the room excellent tv , Iron & amp ; Ironing Board handy digital safe - thing lack tea & amp ; coffee make facility , find rather unusual , beacuse check previous review take travel kettle supply , sorted ( glad ! ) long way nip McDonalds / Starbucks coffee ! Shopping Fab - go bloomingdale ( though bit snobby ) sure go Macys - go customer service dept Mezanine show ID ( drive licence Passport ) prove town get 11 % discount card ( exclude perfule bit - check back card ) aware buy thing ny add @ 8.75 % tax top price good ( sure include clothing get shirt Old Navy store ( near Macys ) add tax . on first day major tourist thing -you definitely go observation deck Top Rock - brilliant . high get still see empire state . day - day dusk Empire state , currently look little untidy ; do , view lovely ar dusk . make sure go clear day though will see cloud ! would also recommend sightseeing tour hop hop bus . hear lot thing tour guide would find otherwise . the Park lovely - lot hilli thought . also check FAO : Schwartz , giant keyboard movie Big ( yes go ) would definitely go back ny , do sightseeing go back shop ( yippee ) one last thing- not forget - get Yellow Cab JFK manhatten location set price $ 45 plus toll tip ( work around $ 55 end ) not go one mini bus tout outside airport rip 
 Feb 22 2007 	 ` ` would want go anywhere else ? '' 	 friend stay Novotel say we plan first trip NY trip could not agree . five night Novotel Times Sq brilliant right friendly , helpful reception staff arrive collect bag doorman last day . room ( 2417 ) spotless spacious great view Hudson river keep clean throughout stay . request deal quickly lose theatre ticket hotel security reception staff extremely helpful efficient help we get replacement . could not fault Novotel manage another trip ny definitely stay . love Langan 's 47th St. - couple meal food , staff atmosphere great . 
 Feb 22 2007 	 Novotel New York 	 Male - 21 & amp ; 22just arrive back 5 - night stay Novotel , New York . first time New York , hotel superb . location ideal , literally round corner Winter Gardens Neon City Times Square . access lift 7th floor loby cafe - bar locate . security low level generally , hotel feel safe . ( although actually feel safe New York generally many british Cities , visit ) . also , Saturday Sunday night one could obtain access lift room without show room card . short , hotel clean safe . hotel 's two concierge speak also helpful hand answer question . we 2 double bed room spacious enough ( sleep anyway ! ) . bathroom light modern looked like recently refurbish . want picky , wall bite thin side , not bother . foyer modern view ' cafe - bar ' breathtaking night . the self - control heating system superb , enable we control heating automatically manually . consider -6 -10 trip definitely ensure work . room include iron digital safe . draw back not room view . would bonus look Times Square . again , honest hotel staff could smile bit ! however , couple day get use , many place . put perspective New York fast , fast , fast personal customer service throw window - * * not take personally * * bit shock . for breakfast , art deco cafe excellent reasonable service good . offer variety breakfast fresh fruit salad ham egg sandwich . locate literally corner hotel . couple drink bar , expensive dead ( unless ' big group ) . great relaxing place end night nightcap ! hotel great balcony 7th floor great view Times Square . addition , hotel gym free internet access . also small tuck shop . the hotel age range . group travel leisure business people . also , seem base Air France Crew . for price excellent would stay , can not wait get back ! 
 Feb 22 2007 	 Fron desk service innaceptable 	 book 4 night Novotel New York . due flight connection make check - in midnight . the bad surprise assign we smoking room . really stank . frankly hard bear . inmediately go reception ask change non smoking room . front desk assistant tell hotel fully book . tell ask room next morning . that bad night Hotel ever ! ! ! cost 180 $ ! ! follow morning give we answer : non smoking room available . only say go leave hotel , & quot ; find & quot ; non smoking room ... curious ... conclusion : simply lying.i never go back Novotel Hotel New York . 
 Feb 20 2007 	 Great Hotel Location 	 fly Delta airline JFK , great plane half full lot room sleep . Got limo hotel ok pay alot drink bit scruffy . the hotel itsself great get lift lobby 7th floor bar next lobby , check quickly get room 12th floor . two room big , clean two double bed comfy . bathroom clean bright also city view look corner window , could see times square , room basic everything need importantly clean . never breakfast hotel $ 20 thoughy could get well , right outside hotel small cafe great cheap breakfast , come $ 30 4 us tip drink . usual touristy thing , statue liberty ( get staten island ferry , , free ! ) empire state building 5th avenue great shopping even designer stuff cheap UK , , obviously much cheap though . sak great , Macys great shoe shop soho call david z , , sell shoe bloomingdale sell ( price ) eat Planet Hollywood , Hard Rock Cafe , TGI Fridays Ruth Chris , , amazing food please , grab lunch except last day eat Maxies Times Square , , avoid cost , place nice food service awful impolite , smile count money table , tell we leave enough want 40 - 45 % tip ! outragous ! iv US number time know tips work joke say customary New York tip much say choice pay . go case . location hotel great west 52nd , , one block time square right broadway theatre . great place eat see nearby would totally reccomend frill clean stay . 
 Feb 20 2007 	 great stay Novotel 	 get home 3 night visit NY . could not happy room Novotel . check - in problem , nice doorman hail cab , lounge open relaxing , also pleasant service . room small hotel city . quite surprised find pull - out couch chair along king bed ( comfy ) . thrilled view - right Broadway Times Square - awesome ! ( aware room particular view , believe low # { 01 - 05 } ) never wait minute elevator . breakfast buffet bit pricey we , late lunch restaurant good quite reasonable . breakfast walk Cosmic diner every morning - waiter remember we one visit . good , reasonable NY diner . 
 Feb 15 2007 	 30th birthday ! 	 take husband Novotel 30th birthday ! spend 4 night 1st trip NYC ! ( travel quite bit husband travel internationally work ) please check - in hotel staff . they acknowledge b - day give we complimentary drink ticket hotel bar really nice . we clean , spacious room pretty good view Times Square . room / bathroom clean comfortable . location hotel amazing walk major tourist attraction well easy access subway . I recommend hotel friend base cleanliness , location price . 
 Feb 15 2007 	 Great Value - Great Location ! 	 book hotel via Novotel ( Accor ) website direct . room reserve charge credit card come fee cancellation promise . ask & quot ; City View & quot ; give we superb view look directly towards Times Square - great 40th birthday present ! hotel clean , room basic ( pay get ! ) staff helpful friendly , check absolute breeze ! kid ( U16 ) eat free , full eat buffet breakfast 4 work $ 43 - equate 24 pound 4 ! fantastic value ! overall bill 5 night include breakfast $ 720.if want frill , superbly locate hotel slap bang & quot ; heart & quot ; New York Novotel place stay . top Tip- Book open top bus tour Grayline also book Empire State Tickets ( cheap Empire State web site ! ! ) currently get voucher meal $ 20 view restuarant revolving restaurant Marriot Marquis - superb view NY , especially night ! ! 
 Feb 12 2007 	 Sisters City 	 great hotel price pay . location really close theatre Times Square lobby staff friendly accomodating . room pretty large New York standard , average quality . 
 Feb 12 2007 	 Novotel motel . 	 fairly season traveler . stay many hotel hotel chain Novotel disappointment . ' ve know hotel Times Square & quot ; well - use & quot ; .Ceiling tile fall , carpet gross , bed uncomfortable , room extremely small ( small average new york hotel ) . really feel like stay $ 19.95 / night off - the - highway motel . the staff nice helpful , problem we check 3 day early , not like hotel . 
 Feb 11 2007 	 ok next Time Square 	 room clean . sometime much noice corridor evening . one unpleasant experience : put food hotel refrigerator . hotel personnel throw away ! ! clearly enough put food outside fridge ; 
 Feb 11 2007 	 nice place stay 	 stay 5 night freeze feburuary trip celebrate 10yrs marriage . hotel nice , staff always friendly . room ( 2304 ) excellent view good size large bed , wardrobe , draw , safe , chair , tv etc . room always warm enough . the concierge helpful advice bus subway route , plus shop particular item . the restaurant nice breakfast .. many place eat NYC.Overall would recommend hotel , would defineltly use . 
 Feb 2 2007 	 good place stay New York ! 	 stay hotel April 2006 lot research internet soooo glad ! ! location ; minute walk Times Square , right middle everywhere . could not central . near bus stop Grey - Line tour mean everywhere within walk distance bus - ride distance . room ; absolutely excellent ! massive room 27th floor . big bed ever see ! clean comfortable great view city . toilet get block one night phone reception someone come fix within minute . food ; never actually eat hotel . food look expensive fancy we . food vary cheap everywhere New York well eat . lovely little cafe underneath hotel eat breakfast every morning . eat city wherever happened get hungry . staff ; check check not much contact staff , not need , always seem friendly . price ; book directly Novotel website , cheap place find internet despite hour search . book deluxe room approx £ 470 4 night . room £ 1600 4 night get & quot ; change , cancellation & quot ; deal happy know have definitely go ! interesting place go / thing ; greyline tour bushorse carriage around central parkmaceysbloomingdalesdisney storeempire state buildingstatue libertyground zeromadame TussaudsNext time go New York ( next time ! ) definitely stay Novotel , doubt ! ! 
 Jan 18 2007 	 wonderful time Novotel 	 really enjoy stay Novotel . email hotel prior arrival trip double family celebration . receive speedy response & amp ; free fizzy wine offer room ! arrive porter outside help bag & amp ; check - in really quick staff extremely nice . room average size . enough room two us luggage day importantly fantastic view Times Square . really make feel like middle thing ! able walk lot place sightseeing list hotel . breakfast hotel first day give complimentary voucher would agree reviewer bite pricey be look big feast breakfast time . use hotel bar times & amp ; service great . would happily recommend hotel look somewhere great location & amp ; reasonable price NYC ! 
 Jan 16 2007 	 Great Location next Times Square ! 	 upon drive NYC first time must say rather nervous . hotel easy find dump car parking garage could relax . front desk attendant friendly helpful , atmosphere hotel comfortable upscale . even allow pet ! hotel locate right Times Square could walk everything easily ! definitly return Novotel ! 
 Jan 10 2007 	 Average 	 Novotel basic & quot ; Holiday Inn & quot ; type room , own Accor ( European Co. ) . room date furnishing carpet wear stain - basic accommodation standard mattresse colorful matching bed cover . room Broadway side , make noisy stay . use Fitness Center , adequate treadmill , elliptical bike , well minimum weight equipment . request king room , arrive ( 5 pm afternoon ) could grant request . not find staff particularly helpful , lot security hotel location . take elevator street level lobby ( 7th floor ) , hop another set elevator get room . move around , check guest . positive note , Duane Reade drugstore one block away necessary water , snack , etc .. hotel seem energy / environment conscious , mean everything sensor . leave room , heat cut , cold stay . be look budget room interested pound pavement , would place . be looking upgrade hotel ( good mattress , robe , & quot ; clean & quot ; feel ) , would look elsewhere . 
 Jan 8 2007 	 great location good value 	 book Novotel Expedia pay £ 1000 7 night include direct flight LHR - JFK Virgin . see basic room rate hotel $ 299 per night , be great bargain book far enough advance . the good thing Novotel location could not really well , block Times Square . 's proximity Times Square though , location mean pretty much get anywhere Midtown Manhattan within 20 min walk . room big NYC clean , little cold bed great . tea coffee make facility bit shame ' ve day sight seeing . though , place great , friendly staff , good concierge , good check - in / check - out . bar nice time struggle massive crowd lobby New Year 's Eve . say , consider 1 million people literally right outside Broadway - get drink go tough anywhere night . do not eat restaurant night arrive ( food fine , service bit slack Maitre ) much offer doorstep . especially case breakfast - think get much much diner avoid queue brekky too . whilst be must go see show . standard Broadway league west end - see Chorus line - probably good show ' ve ever see quality . other highlight would recommend would Little Italy - pretty much Mulberry Street near Chinatown - great restaurant bar . , instead spend whole morning queue Empire State Building , try Top Rock observatory Rockerfeller Centre - hardly queue , amazing view 16 floor low deck ESB , well view uptown downtown , great view esb , be open air - squint little porthole . cost $ 17 ( esb $ 18 ) breathtaking well . helicopter trip good fun lot hassle waiting heliport , wait hour get 15 min flight . really good experience though . good experience : dinner View restaurant - revolve restaurant top Marriott Marquise ( 48th floor ) , Times Square . BOOK ADVANCE get table - line UK . quite expensive meal worth get view , great service , fantastic food . if go NYC New Year , be probably good avoid Times Square - absolutlely manic - 's Novotel good view 7th floor terrace Broadway Times Square , view million + people Broadway . all - great place , fantastic city , great time year go , smart hotel good spot . brilliant holiday . 
