fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Sep 24 2006 	 find another hotel ! 	 travel often , hotel Holiday Inn cheap minimal renovation . hear traffic 18th floor . staff friendly , sleep . pipe hear throughout area nasty . wall paper thin window insulate . place 100 buck night . cut trip short never go back . discount give problem . seem get nice room s.f . need spend $ 400 . per night , city nice hotel room . 
 Sep 13 2006 	 Average Hilton stay 	 average Hilton hotel . room well appoint , comfortable bed , nice towel bath . fitness center nice cardio equipment build - in television . wall thin door tend slam ( room door stick lot require good shove open close ) . access concierge lounge , be less average cocktail hour breakfast . check - out process challenge , obtain print bill meet raise eyebrow ( hotel slip copy door speedy check - out ) , tell rather off - hand could use & quot ; Zip - in check - in & quot ; machine check - out . Zip - in machine say 's check - in , front desk say use . may want try option avoid front desk . hotel short walking distance edge Finance district , chinatown area . overall , 's average hilton annoyance , likely enjoy stay . 
 Sep 11 2006 	 stay away 	 not fool low internet rate comestic transformation Holiday Inn Hilton . issue : 1 ) window provide insulation heavy traffic scream drunk pour sleazy bar surround hotel ; 2 ) paper thin wall mean awaken 3AM tandruff flight come adjacent room corridor ( expect assistance front desk ) ; 3 ) sleazy area middle Chinatown Financial District ; 4 ) rude staff attitude belong four season Mandarin Oriental mid - price hotel . $ 20 stay boutique hotel around Union Square provide well location much friendly welcoming . 
 Sep 10 2006 	 Location Location Location ! 	 Booked priceline $ 75 / not . nice room - problem , although 2 bottle water want $ 5 / ea . would never pay $ 249 hotel say avg . price hilton website . room everything need housekeeping bring whatever want . window open fresh air , digital climate control want air . thing like try charge $ 10 WIFI internet every day , go without . can not beleive want , come , Google headquater near SF , provide free WIFI san fran ! tip save money hotel ( first , choose union square east / embarcedero priceline put $ 75 , probably get hotel ) . like ( cheap ) do not want pay $ 48 / day parking , $ 20 breakfast , $ 5 bottle water , etc . follow tip . money SAVING TIPS HOTEL / area : Park 1/2 block north ( merchant st ) Chinese Catholic Center $ 24 / day . go grocery store 1 block south street hotel ( kearny ) buy water , beer , wine , snack , etc grocery store price . eat breakfast DIRECTLY leave hilton enterance , $ 5 instead $ 20 room service ( get food ! ) . far lunch , great irish pub 1 block north , 1 block west ( jackson st ) call KELL 'S . cheap good food / beer . dinner , million place go within walking distance ( way , great safe area , problem walk everywhere ) . Yahoo Fodors rate # 1 great EASTERN 2 min walk away , reasonable , good chinese food . plate $ 10 almond chicken well ever . activite : walk washington st block hop street car - get day pass $ 11 go morning , ride day check fisherman wharf , downtown shopping , etc . do not get rip someone offer low price & quot ; tour & quot ; , 1 way Alcatraz , blue gold fleet , $ 16.50 rountrip boat ride audio tour . do not pay $ 10 SF fleece , place want $ 15 - 20 thing ! Hang fisherman wharf area 3 - 6 restaurant / bar offer $ 2 - 3 beer , well drink etc . go NAPA Valley rental car , make sure pick brouchure rental car agent , free taste coupon 5 winerys ( good one ) , otherwise pay $ 10- $ 30 & quot ; sip & quot ; wine - ( ripoff ) - take & quot ; silverado trail & quot ; go back SF later day , hwy . 29 big traffic jam go south 4 - 6pm . would defenitely stay hotel , really amenities- cheap price location . HIGHLY RECCOMMENDED priceline price , otherwise ripoff $ 250 / not plus . have FUN ! - not get rip ! 
 Sep 8 2006 	 Hilton Financial District winner 	 first walk Hilton Financial District hotel street level , admit put appearance rather drab look high rise building . , minute enter lovely oasis hotel lobby see gorgeous , minimalist orchid arrangement line Asian - inspire entry , knew make fine choice . room spacious tastefully appoint -- cozy , luxe bed wonderful day pound pavement tourist . the Chinatown location mean close promixity excellent dining ( within 5 minute walk ) . try Brandy Ho 's Columbus good value lunch , City View Restaurant commercial dim sum , R & amp ; G Lounge Kearny ( across street ) convenient dinner . 
 Sep 5 2006 	 great room convenient location 	 Loved hotel . room new , stylish , great view Coit tower . bed comfortable well - probably sleep well home . problem check - in check - out . hear parking expensive park parking lot across street $ 26 / night . breakfast nice notch usual hotel fare . overall , pleased stay great deal Priceline ! 
 Aug 30 2006 	 wow ! nice room great location . 	 like last reviewer , wife book room Priceline $ 70 - 75 night luckily get Hilton Financial District Hotel . immediately impressed room , see flat screen tv sitting desk extend wall wall front window offer great view North . love bed Hilton 's well . location handy Chinatown ( block two street main drag ) . TransAmerica Pyramid practically next door East . Coit Tower easy walk seriously step sidewalk . North Beach close well . great location , great room , nice hotel bar area , friendly staff make Hilton great place stay . would love stay . parking come $ 47 day . little side note . get room Priceline , care parking . 
 Aug 29 2006 	 Wonderful Surprise HIlton ! ! ! 	 bit nervous booked room priceline ( $ 75 ) becuase check 1:30am . , treat hotel be . first , front desk clerk wonderful give we fantastic room amazing view city . truly beautiful . the hotel renovate January ( think ) use Holiday Inn . room clean , bathroom huge . good surprise ... bed super comfortable . they flat screen tv , nice amenity ( include automatic blind ) . lastly , let comment fantastic location . hotel right next Chinatown North Beach walk quickly . , be 10 15 minute walk Union Square . yes , parking expensive really not need ( not ) car San Francisco ; walk , take bus cab . absolutely stay Hilton . free night stay Crowne Plaza Hotel next night wish stay Hilton . 
 Aug 28 2006 	 problem - great location 	 stay Hilton one night pleased room . location good even find street parking directly across entrance . free compare $ 40plus . also $ 28 . garage street safe problem . Sat . night . fri . night can not park street middle night ( maybe street cleaning , sure ) . get room Priceline $ 75 . plus tax treat we different . ask renovated room -- problem . small bathroom little comfort bed everything need make non - issue . rate would recommend Hilton go back ! 
 Aug 19 2006 	 Weird hit miss experience 	 really want love hotel : gorgeous facility , renovate hot , happen style great location real problem : pull , could not get valet driveway number bellman busy play ( i.e . dancing , goof talk ) , block entrance . eventually find underground lot park . cost : $ 50 night . check get room , clean . bed unmade look like someone leave -- radio , trash floor , etc . promptly send another room , take quick power nap , someone else walk ( check assign room key let sleep -- yike ! ) husband call complain , front desk person start act like could hear try explain trouble . hang . nice , eh ? finally , assure well . FABULOUS dinner hotel restaurant ( waiter well ever . steer we good entree make sure dessert house ) , collapse room awaken thunderous noise pipe bathroom Midnight . noise continue ( other nearby ) complain , switch yet another room could still hear noise least not vibrate floor room anymore ( staff think problem regulator pipe ) . time , close 1 morning departure ahead . then try check head airport morning , elevator work . 3 heavy bag ( could not carry wine plane due new FAA rule have pack bottle ) 27th floor . , elevator finally come back scrambled make flight . the hotel lovely . two three room assign gorgeous Bay view . restaurant staff great . certainly management maintenance issue . end , wish could get Hilton point have spend back . 
 Aug 12 2006 	 Great Hotel Great Location 	 Excellent location ( across street Chinatown , 15 - 20 minute walk Fisherman 's Wharf Union Square , practically next door Transamerica building , street Francis F. Coppola 's studio 5 minute walk North Beach - SF 's Little Italy ) ; extremely spacious clean room ; nice exercise room curteous staff . I would definitely recommend hotel . 
 Aug 1 2006 	 one bad apple almost spoil rating . 	 one staffperson incridelby helpful courteous ( back later ) . Hotel conveniently locate next Chinatown walking distance Union Square , Embarcadero , California Cable Car line . newly rennovated ; room bath spotless . nice selection coffee bar hotel bar lobby . sleek minimal design ... yet family friendly . get great rate 4 room 2 night Priceline . every staffperson ' ve encounter valet guy housekeep front desk ( except one ) courteous professional ... even nice . old frontdesk guy ( 40s maybe 50 , thin moustache ) check we smirk find reservation ask two room could floor since kid stay we . ( around 2:30 p.m. ) start scribble something looked smirk . ask initial paper turn room reservation price cross ( book priceline could care less pay get great deal . ) ask two room floor tell would happy come back two room floor avail . avail . later . say , not bother check , give key said & quot ; available & quot ; . take key , take family late lunch , come back around 4 p.m. double check frontdesk person see could get two room floor . woman help we say sorry delay check . place three room floor without problem . tip . room face Coit Tower quieter side . overall , one snotty staffperson nicely remodel hotel generally great customer service . 
 Jul 31 2006 	 Pleasant Stay 	 pleasant stay . hotel nice clean renovated room . chinatown financial district problem two three block walk put action Union Square . give hotel well rating pay executive room include continental breakfast hor d'oeuvres soft drink evening . upon arrival executive lounge sign close Fridays Saturday evening . front desk sympathetic . 
 Jul 31 2006 	 good place stay ..... would recommend 	 book hotel Expedia . though bit pricey feel worth . bed comfortable . forget get toothbrush hotel promptly send it . the staff friendly though didnot give we room view . face alley next hotel . the hispanic girl say book directly would give we room view . I do not know big deal since come weekend many people stay hotel . the hotel locate good part financial district . on weekend street quite empty . bus right next hotel go Fishermans Wharf . it 3 block away China Gate walk distance Union Square . we amazing breakfast chinese restaurant next hotel . quite good inexpensive . overall great time San Fran would recommend hotel other . 
 Jul 27 2006 	 big beautiful 	 stay hilton 4th july 4 night . grand lobby excellent central location , espcially shop . harbour area $ 12 taxi ride . book direct hilton good rate available . payed & quot ; advance rate & quot ; pay full amount 6 month advance , get us room executive floor access top floor lounge drink , breakfast great view - £ 110 per night . worth pay extra buffet breakfast really good . originally give room new part hotel - two double room balcony view bay . fantastic , great 4 people . be travel family , suggest ask suite old part hotel . consider less attractive business traveller , room ideal familiy . pool situate one upper floor one & quot ; tower & quot ; ... nothing special , ; adjacent look like original part hotel , quite keep overall look feel hotel , quite lush luxurious . apart comfortable sun bed pool clean excellent child . breakfast one morning main rest . - nothing special around $ 13 quite good value . totally difference experience , indian rest across road cheap probably one good meal budget . 
 Jul 25 2006 	 nice place nice price nice location 	 situe nice location , far Union square , California Street . block Embarcadero Coit tower ... also near want walk Pier 39.very clean service great . default , pool high floor . 
 Jul 6 2006 	 Nice Amenities Location 	 frequent traveler San Francisco 2 - 3 day quick getaway . normally book room Pricelines bidding process end Hyatt Regency Embarcadero . trip get supposedly 4 star Hilton Financial District . like many reviewer , like decor room . also love Crabtree Evelyn shampoo . bed comfortable nice linen would expect 4 star hotel , feel room small . window wall 3 ft wide desk ( one chair ) make sorta uncomfortable look street . lean look . big deal like table chair near window order room service sit enjoy . eat champagne brunch bed uncomfortable . big complaint hotel way treat buy Priceline . deny king size bed we even though call early request one . reception person say smoking room king . even though felt ruin romantic weekend accept 2 double room . miniature would expect 4 star hotel , matter price pay . request see king size smoking room smell strong smoke . point ask speak manager ask could help we . put us & quot ; normal & quot ; room king size bed nice view coit tower , alcatraz .. etc . express feel & quot ; punish & quot ; buy priceline . say use priceline want people come stay , way get word hotel . tell give bad room priceline buyer completely defeat purpose would get bad review . nice polite appreciated view room . also must mention street noise even 22nd floor loud . apparently upgrade window convert hotel Holiday Inn Hilton . restful sleep . crazy amount noise ... kell bar right across way . 2 am bad noise . like location near Chinatown . never take cab . walk North Beach . use cable car get Ferry Building dim sum Yank Sing . YUM ! place awesome . overall nice weekend , inconvenience . much ruin San Francisco though ! ! ! 
 Jul 6 2006 	 great everything 	 family stay 2 room 2 night . the service lovely ( need toothbrush middle night arrive within 10 minute ) , room wonderful ( bed ! not want get ) , view large window spectacular , location perfect ( next Chinatown , walk distance many sight , convenient walking ) Eric concierge great . thing miss small fridge room . we much recommend hotel . 
 Jun 24 2006 	 Nice room 	 spend 1 night hotel memorable . the room great view Coit Tower , bed comfortable , furniture nice , towel great , etc . park $ 42 / day + tax heh , be San Francisco . we stay . 
 Jun 22 2006 	 nice hotel- quite loud night 	 hotel quite nice- lobby lovely , room clean new comfortable bed . gym also brand new fully stock new equiptment . spotless . the location great we , walk everywhere , although bed early . easy get around , problem find place quick inexpensive breakfast . the problem hotel around 2 morning get loud . either party night , bar let out- like people inside room . put AC try drown noise . alone would make hesitate stay . 
 Jun 13 2006 	 much expect ! ! ! 	 newly renovate room chic ; room free Crabtree & amp ; Evelyn product ( shampoo , rinse , etc . ) bed comfortable . even restaurant food much well would expect hotel restaurant . go live vocal Jazz bar set right ambience . friendly service ! ! ! building look quite run outside will amazed new comfortable inside . 
 Jun 6 2006 	 great Stay ! 	 book hotel via priceline . read review site realize room avoid ( xx00 , xx01 ) , room , small compare room ( since next elevator & amp ; ice / vend machine , u hearing noise night long ) . always good idea call day ahead let know ur preference room usually try accomodate ur request . free internet room definitely use lobby . hear funny conversation customer complain get room one bed small 2 guy even sleep next ( walk room one day house keeping .. u get like full size bed small ) . funny . front desk staff friendly except black hair hispanic lady glass - 's mean customer ! aware ! ! ! not let ppl choice , whatever want people .. get away ASAP u check in . the location good . good ( close bart station ) ok walk block . walk hotel check , also walk around midnight go 7 - 11 get food , area bad u know , SF full begger , say . like fact right next chinatown , find cheap chiense food right next ur hotel , less . the Concierge recommend CityView Restaurant dimsum , nice tourist u want authentic chinese food ( dim sum ) , think Oakland well food . like Fisherman 's wharf , take bus 15 convient choice since crowd streetcar ( god nightmare ride street car ) . room 21st Floor , overlook bay , away elevator , clean , nice . like fact use Crabtree & amp ; Evelyn soap ( smell well Aveda ! ) bed comfortable , well bed Sherton hotel Vancouver . AC individ . climet control quiet ( brand new ) . unlike previous review , think chair nice even tho IKEA feel , think Crate & amp ; Barrel Style ( least solid wood furniture ) tv good channel , free hbo want watch tv teh room ! thing u get hear siren bus sound late night ( SF , u know , bar everywhere ) . amazing actally hear 21st floor . gym nice , locate 5th floor equipment brand new ( hotel completely remodel reopen Jan 2006 ) . thing not like shut rooftop pool , oh wells big deal since not stay hotel 24/7 . think u want stay hotel , definitely try book priceline since check , 5 + people line hold receipt priceline ! great deal nice hotel SF ! 
 may 11 2006 	 Great experience 	 enjoy Saturday night stay wonderful experience . nice lobby . clerk check friendly efficient go effort search room upgrade ask . room look dead - on Coit Tower partial bay view . room extremely clean decent - sized although bathroom small . furnishing decor appear excellent condition , wear tired looking . noise room hallway pretty much non - existent ( although construction go next door resulted generator go 6 am Sunday morning ! ) . Sunday morning awesome breakfast hotel restaurant - fairly reasonable $ 35 2 . would definitely recommend hotel either business leisure traveler , although simply due relatively small size standard room probably would not ideal hotel long couple night . 
 Apr 29 2006 	 mixed review 	 good:1 . friendly staff check - in2 . nice view Telegraph Hill , Washington Square area Coit Tower3 . be newly redone.4 . good valet service friendly polite.5 . great king bed v. good llinen . good towel bathroom.6 . free wi - fi lobby area . work good . 7 . new , fast , elevator . one slight catch swipe room keycard push floor button not accept push . price 9/11.The Bad:1 . noisy outside . Drunks place bar close.2 . five afternoon unable get clean towel . run ( ? ? ) 3 . generally overpriced . want spend $ 35 breakfast ? Ugly:1 . parking $ 100 two night ( be still write ) . SF always expensive , line . summary : get room $ 90 Priceline . good deal price . pay rack rate anything like , would really sore . make Holiday Inn , look like . room furnish ikea - level stuff . nice young person 's apartment , 4 star hotel . popcorn ( acuostical ) ceiling -- could not spend $ $ take look really date ugly . stay Hol . Inn , 's level hotel still -- expensive . interesting , Hilton trying lose chinatown identification . Holiday Inn Chinatown -- Hilton Financial District . never mind business outsite hotel sineage Chinese . place make sense $ 100 's good value . 
 Apr 29 2006 	 grat lobby Nice Rooms 	 like location , like room , problem door key not able fix would not give upgrade . fine . 
 Apr 26 2006 	 Nice Hotel great service 	 get back weekend San Francisco , get great Priceline rate Hilton FD ( $ 90 / n ) . hotel clean , modern , staff always friendly helpful . room comfy thick fluffy towel , nice linen , good bath product , unforunately Priceline rate not warrant view room . spa great . location not bad , 8 block Union Square close North Beach , Nob Hill . would definitely recommend . 
 Apr 20 2006 	 stay wonderful ! great location view ... 	 stay new hilton financial district great time , room completely brand new stylish . wonderful view , city view ( save buck ) , still - beautiful city ! able see bay view side offer ( go stairwell , little outpost beautiful open air view ) . see Alcatraz accross bay north well awesome Coit tower view ! service could well - helpful bellman housekeeping staff ; everyone pleasant accomodate every need . certainly stay - next time will upgrade bayview ! 
 Apr 19 2006 	 average hotel- except View 	 despite review site , thoroughly average hotel . receive light makeover past life Holiday Inn , not level Pan Pacific Omni . distinguish thing hotel view side face Coit Tower . 
 Apr 18 2006 	 Great Option Union Square Hotels 	 spend six night Hilton check - in check - out everything go smoothly . room nicely furnish , spacious , quiet . bed comfortable surplus large pillow select . window open crack fresh air could let . view 18th floor overlook Chinatown not anything special . read review ask room opposite side next time stay . restaurant lounge pleasant spot enjoy meal drink . server encounter well train , courteous , efficient . downside experience showerhead bathroom low bend way get water head , neck , shoulder . 6 ' 2 & quot ; bump head shower curtain rod stepping shower , raise shower head neck water spray show curtain onto floor make quite slippery . NBA team would happy room shower . I love location everything within walking distance -- Union Square , Chinatown , Embarcadero , Fisherman 's Wharf . take 20 minute walk & amp ; Park enjoy Giants baseball game . Hilton do excellent job bring former Holiday Inn category luxury hotel . 
 Apr 15 2006 	 WOW ! Hilton reborn ! exquisite hotel 	 wow , start ? arrive Hilton Financial District immediately cringe & quot ; industrial & quot ; look bland exterior Hilton . much first impression ! walk pleasant lobby bell whistle effecient staff . work 4 star resort Carmel , CA know hotel staff hate job . staff seem happy professional.so far , nothing great . hit room ! GEM ! room obviously recently remodel nice . physical characteristic room star ... belong view ! beautiful , stunning view wait we open blind . picture . view Chinatown extreme left . Alcatraz middle left . Coit Tower middle . San Francisco Bay right Treasure Island extreme right . far , great view ' ve ever numerous trip SF . think view least ten time day since leave . must ask high floor stay . be essential ! point , trip hotel stay dream . amazing king bed featherbe mattress die ! bed rival Ritz Carlton Half Moon Bay Quail Lodge Carmel ( routinely know good bed area ) ! room service fast effecient , plus food quality average . request front desk fulfil promptly swiftly . , may wonder would give hotel 4 star obvious 5 star review . well , like hotel SF , Hilton institute ridiculously overprice parking fee . time , $ 44 nightly $ 6 parking tax top ! 's right folk , $ 100 & quot ; privilege & quot ; parking . luckily , get great deal room rate compensate . SF hotel change way institute reasonable parking charge , give hotel 5 star SF . upon check - out minor issue . never give ticket handed car Valet . figured would sort room number . check , ask ticket . explain not one , valet service quite rude say , & quot ; oh give ticket ! & quot ; , like would lie LOL . luckily guy , already wonderful trip feel not necessary engage ummm pee pee contest ( swear review ) . plus overhear 308 checkout day , forgive ! , stay ! many bad decision make book hotel SF , go sure thing . plus , be well hotel area term price . need ? thank read long wind review . 
 Apr 10 2006 	 fantastic modern hotel 	 boyfriend stay March 24th - 31st love ! staff really friendly give we room 12th floor amazing view Coit tower Bay . decor modern room spotless . location great walk distance downtown . hope get chance stay ! 
 Mar 29 2006 	 place Nice ! 	 attend conference town stay . initially , going stay different hotel Union Square , ' m glad choose Hilton instead ! get town early able check early . service front desk prompt friendly . give room 22nd floor . staff helpful guide near muni stop - one short walk around corner building . hotel locate right Chinatown close Financial District . nice 10 minute walk nearby Embarcadero Center ( go shop ) . hotel 15 minute SF airport . room clean impress everything . bed soft , pillow , comforter . wish bed nice ! towel fluffy bathroom Evelyn Crabtree amenity . leave hotel ask cab , staff prompt get one . go street hail taxi drive . nice time would definitely stay next visit . 
 Mar 25 2006 	 Fantastic Hotel Room Small Improvements 	 get back week San Francisco stay hotel . first day get swiftly check . first impression hotel excellent . spacious lobby luggage take room attendant . room 11th floor . spacious two double bed . view city towards union square good ' ve ever ( see picture ) . room cable tv pay extra movie . use phone call home . word advice - be dial international N'T . know would expensive $ 18 5 min UK horrendous . phone near restroom behind bar lobby floor - get 10mins $ 1 phone . hotel staff friendly corteous . get maintenance guy room twice ( nothing serious dodgy plug batch help UK plug adaptor . times maintenance guy within 10 min ask . the bar nicely furnish sofas around side two huge flatscreen tv bar want sit watch sport . cost $ 5 beer bar area . even vend machine buy ipod behind bar area though little overpriced . my grumble .... 1 ) room advertise coffee make facility - not . guest get free coffee morning near bar area buy thereafter.2 ) hotel not exchange currency . slightly annoying Hilton Union Square do . apart excellent place stay . 
 Mar 24 2006 	 beware ' Hobit Room ' exorbitant valet parking cost 	 fiance live San Francisco Bay Area priceline hotel $ 125 . spend evening friend North Beach area want stay night not worry drive . I will start good : * * hotel lobby room high - quality respect construction , decoration style - would consider 4 - star department . * * 's great location need access financial district , would like spend evening Italian - influence North Beach area plenty great restaurant club . 's literally locate 2 - 3 block North Beach , easy walk not even need cab . now bad : * * front door front desk , bellman desk clerk valet , staff totally mediocre . * * beware guest room end 00 ( e.g . 1800 ) . miniature version regular guestroom barely fit one full - sized bed ( yes , small queen ) . bath room also much small - barely fit small sink virtually counter space ( place toothpaste ) , toilet shower . shower head way low - literally chest level ( ' m tall ) . window nice view , however , uphold miniature theme occupy 25 % outward face wall . room also right next elevator hear use , across hall ice machine vend . luckily extremely tired retired room long night , not bother much . * * valet parking cost exorbitant $ 42.00 + $ 5.88 tax total $ 47.88 per night ! arrive figure , & quot ; sure , valet - much , 20 ? & quot ; buyer beware , ask . especially burn get poor service pay top - dollar . would recommend try self - park unless money burn . I think self - park , make sure not get one hobbit room , not care poor service hotel okay . however , give experience not recommend . 
 Mar 22 2006 	 hip place away Tourist central 	 great place . wonderful modern decor , friendly staff ( happily recommend restaurant , etc , we could get lose closet - much less town like SF ) . room spacious , clean , ( though gear business traveler ) work fine weekend leisurely trip ( bed comfy ! ) . great view , long desk stretch across full length room near window . give location , first little worried within walk distance Union Square ( cable car / Muni ) , hey - 's San Francisco . everything be close . Market Street , Union Square , BART , North Beach short distance foot . catch cable car California Street ... even close . fact , find kind nice uber - touristy area Union Square proper . right border Chinatown , wound spending time North Beach - cool area never frequent point . my complaint : Hilton one hotel charge $ 160 night room ... still want pay $ 10 day access internet . even go business center check email result charge . know lot people stay business , imagine hotel think milk little extra guest allow employ & quot ; oh , company 's pay , big deal & quot ; mindset ... come . 's 2006 . 's San Francisco , people ! Google company shuttle stop street ! get program . overall , though , wonderful experience . would definitely stay ... ( least new online business take , need close internet even away home ) . 
 Oct 28 2005 	 Long Live Hotel 	 stay hotel conference end May . great location day stay , hotel close renovation open different hotel chain . 
 Oct 20 2005 	 perfectly locate ' true ' San Francisco experience 	 wife stay property April 2004 ..... first trip San Francisco . look place stay , look variety hotel different location ( downtown , financial district , wharf , etc . ) although first instinct stay Fisherman 's Wharf area , decide Holiday Inn financial district city ...... right next famous TransAmerica Building . find hotel clean , quiet , host friendly staff . roof top pool neat , not use . enjoy convenient location Chinatown North Beach ( Little Italy ) ..... within easy walk . day business sightseeing , would hit hotel , clean - up walk around & quot ; true San Francisco & quot ; enjoy evening appetizer , meal , dessert / coffee three different ( good establishment ) . like & quot ; get see city & quot ; great place stay . 
 Sep 14 2005 	 fantastic view 	 stay hotel ago could believe negative view want add . stay three night first arrive San Francisco . room big clean - little date decor . loved bar - 1970 's vibe . location fantastic - right edge chinatown financial district - easy walk North Beach . good part however roof top pool . view breathtake . would definitely stay come San Fransisco - really good value money . 
 Apr 14 2005 	 great location feel comfortable safe 	 live 2 hour south SF stay Sat . night elderly mom could catch SF ballet matinee - work great . not stay luxury hotel - even Motel 6 tolerable travel dog comparison feel like luxury hotel - yeah , room bland look look outside visual stimulation . room rate $ 119 ( $ 135 tax ) include 24 hour free parking - feel good value . parking garage hotel plenty room park . hotel easy reach car . good part location - walk distance Union square , Chinatown North Beach . not walk around night not know feels feel perfectly safe day evening - love walk North Beach Sunday morning . eat dinner chinese restaurant across street - Chef Jai , think - one right next House Nanking - read restaurant review say tour go House Nanking 's big one next door good . line , friendly waitress , excellent food , bring cash traveler 's check . room seem plenty roomy short stay - addition 2 double bed , desk chair dresser , bathroom adequate counter space 2 lady . clean everything work . view street noise ( siren ) 9th floor room expect bring along ear plugs . mattress adequate - bad back problem . staff front desk polite . housekeep responsive request . pool roof ( view roof ) great - 7 Sunday morning - big enough exercise swimming - rectangular . would happy return . 
 Apr 10 2005 	 ok great 	 stop 3 night end March 2005 . hotel locate right edge China Town , one block away Financial District . Financial District smart whilst hotel slightly seedy China Town district . think hotel would like think Financial District . Kearney Street also house Subway sandwich shop , chinese supermarket adult video store . the staff hotel helpful except housekeeping . ask extra pillow tell shortage could not any . the room quite small clean tidy great view . roof pool nice , bit cold . change facility next pool travel back room wet via lift . all , bad hotel think $ 32 per night parking bit steep . if go China Town , eat great Eastern Washington Street . tip Bellboy good reasonably price . 
 Mar 21 2005 	 four star price three ! 	 ' ve stay twice romantic weekend away ( live hour South ) . nice hotel ' ve ever stay ! ( ' m cheapskate- will not pay $ 150 room , ever . $ 75 , $ 100 another time 's definitely worth ! ) hotel easy spot & quot ; last minute hotel & quot ; anonymous service hotel area SPA . keep 4 star property ? lack restaurant on - site . excellent restaurant within walking distance , room service good , though pricey . visit give room north side , face Nob Hill , bay view either side Coit Tower . service excellent . desk clerk see wife make sure find we room bathtub instead shower . parking expensive - $ 32 day weekend . not bring anything tall minivan ! rumor true Hilton taking , will disappoint will not able afford stay ! 
 Mar 3 2005 	 great staff good location adequate property 	 staff hotel excellent , doorman , bell staff , reception , restaurant , chambermaid . location good nr chinatown . great chinese restaurant top floor building opposite , overlook square , definitely visit . the room old holiday inn standard , clean well maintain - romantic room though standard . ship champagne tub lightbulb harsh white energy saver unless lucky get one lamp nearly burn bulb like - much soft ! plus minibar : - ( get bay view high floor ( executive floor ) think street noise bad low - 's great even level 26.we allow park 15 min outside front door return car rental center , bellman arrange great sedan service take we hotel last day . to sum , stay location service - room . 
 Feb 2 2005 	 Perfect Hotel aaaaa+++++ 	 stay hotel 3 night early month . stay pleasure moment walk door . George welcome , hotel , San Francisco entire Bay area . like somebody important . George Holiday Inn , important , guest . perfect service , beautiful view , excellent room , excellent room service . not listen cry baby 's , give silver would want gold . get become Hilton price go way . hundred quarter night feel like four season travel lot , whole lot . good bet anyone look real deal . ask George , will practically make famous . 
 Jan 11 2005 	 Great Location + Value = Good Stay 	 Holiday Inn Select & amp ; Spa San Francisco . location typicalholiday Inn make big plus San Francisco . Adjacent Chinatown 2 block North Beach italian Neighborhood . Trendy Spa locate within hotel . spacious clean lobby , rather nice empty cocktail lounge . Convenient Restaurant 2nd Floor . interesting Chinese Cultural Center 3rd floor , seasonal exhibit , art , tapestry , oriental puppetry Gift Shop . catch young student beautiful silky ethnic clothing , singe dancing stage . outside deck , will see many local practice Tai Chi . walk across limited hour pedestrial bridge go chinatown onto bustle colorful Grant Avenue . walk two block Kearney Columbus Avenue- heart North Beach . Francis Ford Coppola 's Restaurant corner Kearney & amp ; Columbus . Historic City Lights bookstore right nearby . busy Broadway wonderful restaurant around . convenient # 15 Muni bus stop front hotel take Fisherman 's Wharf choose walk . California Street Cable Car 3 - 4 block hotel . suggest location repeat return visitor San Francisco , ' ve do shop Union Square . neighborhood much pleasant respect terrible terrible terrible homeless problem Mayor Emeritus Brown foster . walk back hotel nice chinese italian dinner without bombard dozens street person . nice view , nice pool roof . guest room amply space relatively clean . great view Bayview side . Business Center merely computer , printer , calculator- 's pleasant enough . Holiday Inn shortly undergo renovation convert Hilton property . 
 Dec 4 2004 	 Reasonable Hotel 	 stay late August 04 three night , view bay fantastic . roof top pool main reason book hotel disapoint . Views Alcatraz Transamerica building make worth . room reasonable clean , anything special . bed fine order extra pillow ! food good little expensive , expensive busy city . parking add bonus , cable car stop block away , bad day feel little uncomfortable night ! 
 Dec 4 2004 	 Acceptable 	 choose hotel since want close Chinatown affected hotel strike / lockout . much nice hotel could price . location great hotel update since 1970 's . bathroom small . door barely clear toilet flank sink bathtub . problem full flight stairs street ( guest use $ 35 / day parking garage ) . good security- access guest floor elevator without room key . disappointed SF Chinatown . empty Friday Saturday night conducive much explore . store restaurant open people street . busy day . 
 Nov 28 2004 	 not ! 	 June 2004 , spend 4 night San Francisco . book Holiday Inn Financial district , offer good last minute deal could find ( around $ 100/ night standard room , $ 140 executive ) assume business hotel chain would reliable . also , roof top swimming pool spa sound nice . room describe recently renovate . upgrade executive room , suppose give free access business center . room spacious , breathtaking view bay . king size bed comfortable . decor ugly look dirty ( impossible tell actually , mottle mustard khaki - ish colour scheme ) . bathroom look like renovate since 70 's ! tub stained plug , shower not work properly , wall around bathtub / shower even tile , plastic . reluctant bathe , frankly . & quot ; business center & quot ; , consist small room couple computer wire printer . could get key reception . roof top pool minute , great view . spa fully book week ahead anyway . could not wait get , stay 1 night . find last minute vacancy pleasant luxurious Omni nearby , similar price one pay Holiday inn , move asap . believe property change hand , case review may relevant anymore . 
