view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Feb 19 2006 	 not stay ! 	 marry Mark Hopkins 25 year ago come back stay New Year 's thinking would special way celebrate . book hotel line web site package include breakfast . travel young son book extra bed large room . hotel enough staff . drive , one take car almost 20 minute . 1 attendant midst holiday weekend . hotel unbelievably dowdy look like nothing change 25 year . room marry exactly . people behind desk overwork fully staff . however big issue incorrect bill come checkout . overcharge breakfast suppose include . call manager . look copy booking agree . revise bill accordingly . sign incorrect bill ask destroy . say , not sign . guess , credit card charge wrong amount . soon receive statement , call directly hotel , speak manager duty , not believe nothing document manager checkout . fax copy bill . try bargain argue booking ! get angry finally relent . get second statement credit back breakfast one day , second day . , call hotel manager duty would credit correct amount even though offer fax bill . not even want see deal problem . say would turn manager spoken come duty . I probably spend money long distance phone call straighten dispute amount . wonderful memory wedding wipe incredibly bad service tone manager appropriately handle . would never stay report Intercontinental Hotel . far concerned perpetrate fraud booking not follow advertise . ( stay SF Ritz Carlton week far superior term service quality facility . ) 
 Feb 8 2006 	 Light sleeper stay away ! 	 nice fitness center , hotel staff relatively decent , & quot ; light sleeper & quot ; would reccomend hotel ! wall paper thin , could hear person next door .. snore ! good exercise walk hill hotel , right California trolley line fatigue , infirmed , plain lazy walk hill .. 
 Jan 26 2006 	 Nice view luxury feel 	 like location , view stylish interior . service good . decent value money overall . 
 Jan 22 2006 	 Awesome experience Mark Hopkins 	 wife stay Mark Hopkins Hotel July ' 05 great experience . staff accomodate friendly . upgrade we executive suite extra cost . room linen clean . food good . definitely stay Mark 's be ever San Francisco . 
 Jan 9 2006 	 Great Hotel 	 stay Mark Hopkins two night Thanksgiving family visit Bay Area . much enjoy stay , room nice , clean , good linen , comfortable bed . staff friendly efficient . exception waiter Top Mark bar late one evening sort abandon we . go track get tab . watch extra . not car ( not need one San Francisco ) hear one guest fit $ 45 per day parking fee . hotel great location Nob Hill . check Jazz Pearls night club like jazz music . be near Broadway , 5 minute cab ride Mark Hopkins . 16 piece jazz band Monday night . great time ! 
 Jan 4 2006 	 Mark Hopkins 	 room nice , view Grace Cathedral Alcatraz . cable car right outside , plan drive , will force pay outrageous $ 50 / not parking fee , street parking impossible . mixed staff , pleasant , definitely leave impression staff regard guest nuisance . example , leave hotel one morning , staff member see we & amp ; walk door front we . think go open door we ( judge action , expect ) walk towards , instead sniff , give we irritated look , point towards revolve door like insult . also , pay $ 12 / day wireless internet access work 15mins 3 day . maybe ' m wrong thinking , hotel can not afford give muffin fruit guest morning ? pay annual ' preferred ' membership . guest somewhere go morning not time roomservice visit restaurant . seem inconsiderate hotel caliber . still , like hotel may return , definitely weigh option . 
 Dec 12 2005 	 parking recommendation inside 	 stay Mark attend Holiday Party . boyfriend free stay company raffle , live 15 mile away , go ahead stay night . the hotel pretty average San Francisco standard . small room , nicely decorate , breathtaking view . staff disappointment , call confirm reservation , transfer 4 time hung . not much nice person . parking run something like $ 48.00 day . 's ( unfortunately ) normal San Francisco . however , shop around online saw park Nob Hill Masonic Center , locate 1111 California Street ( apprx . 1 1/2 block away ) $ 27 24 hour period . 's need drive . San Francisco fantastic public transportation , usually car necessary . the room okay , room service price ridiculous , $ 18 cheeseburger ! ! ( be par course , guess ) . reason would recommend hotel would town visitor want view not know part City avoid ( problem area ) . hill lead hotel one steep City , not recommend hotel anyone trouble walk . overall , not really impressed hotel , not pay anything , okay . would stay , room free . 
 Nov 17 2005 	 arrogant complacent 	 oh dear oh dear oh dear . arrive several bag taxi airport . bell - hop sight . struggle lobby bag , reception staff watch us effort make assist . the receptionist rudeness personify . sure , pre - pay rate , not constitute requirement contempt opinion . we wait 30 minute luggage bring . try telephone , response . go person , bell - hop rude . the room , small . bathroom ok.top Mark bar lofty view , price match . we certainly come back . 
 Nov 4 2005 	 Five Star top hill 	 Date stay : Oct 2 , 3 , 2005 . nothing snobby Nob Hill Hotel . San Francisco one favorite place . hotel receive good review Trip Advisor past . perhaps management hear complaint try turn around . book directly Hotel secure & quot ; San Francisco Package & quot ; 2 nite stay . three adult travel coast minivan . package deal well since park expensive SF hotel . review say room small , go extra money book & quot ; superior & quot ; room . well worth . plenty room oh plush . need keep medication cold refrig packed & quot ; honor bar & quot ; item , hotel send another refrig . fit stuff . buffet breakfast serve Top Mark come package wonderful . dim sum , fresh raspberry , blackberry , egg dish , meat , pancake , etc , etc . could not even get breakfast set - up . can not understand someone would think average . good view dine Top Mark . service impeccable . need say . staff pleasant accomodate . & quot ; look & quot ; vacationer previously suggest . remember SF , business traveler primo . one thing ' ve notice , engage staff conversation , pleasant interested pleasing . one thing happen go drink Top Mark . server , young woman , little flippant . mention later not get . perfect , Mark Hopkins pretty darn close . 
 Nov 3 2005 	 wonderful Stay Mark Hopkins 	 return celebrate anniversary San Francisco ... stay Mark Hopkins . debate choice prior arrive , pleased . room really upscale nice , important ... immaculate ! view spectacular , breakfast every morning upstairs Top Mark . we warm polite service front desk . 's quite climb , California line one block away . negative one night order room service - sandwich not good . otherwise , would never hesitate stay . 
 Oct 28 2005 	 nice hotel watch extras 	 Positives:1 . nice ambience & amp ; spectacular view high floors.2 . spacious , well - decorate room clean , modern bathrooms.3 . excellent food - though near plenty food place outside hotel.4 . good location - Union Sq 10 min walk away ( downhill ) tram Fishermans walk 1 min away ( could also walk 30 min ) .5 . gym - though pool would nice ! Negatives:1 . call international number phone room - yes , idiot check price calling , get charge 220 dollar 20 min worth call disgusting . please buy phonecard ! 2 . lift - 3 - outdate completely inadequate - prepared wait 5 min get one.3 . extras room - come back night gasp water , circumstance drink bottled water room . instead , go gym drink free water cooler heart content.4 . breakfast Top Mark - nice food & amp ; great view , worth 30 dollarsoverall , enjoy stay Mark Hopkins . feel 's little over - price though . check Crowne Plaza Union Sq hotel chain work lot cheap . 
 Oct 27 2005 	 honor web site special ! 	 life long resident California , enjoy visit San Franciso time time stay one well hotel . Mark Hopkins advertise several & quot ; special & quot ; web site $ 200.00 price range . upon call book reservation , tell would long honor advertised special although still post web site . offer another room parking almost double special rate cost . Mark Hopkins clearly use deceptive & amp ; mislead advertising attempt book higher price room 2X special price .... sound like use car dealership 4 star hotel . never ! 
 Oct 24 2005 	 Great Location 	 Mark Hopkins good view town . Breakfast serve Top Mark commanding view San Francisco bay . room comfortable spacious . check - in baggage handle professionally . however , expensive hotel , would expect perfect service . bad point paper promise deliver door morning never arrive . next elevator candy wrapper never remove 15 hour stay . request turn service never inform check . handle out - point , not much , love stay Mark Hopkins . definitely stay ! 
 Oct 18 2005 	 great Time Mark Hopkins 	 wife spend 3 day weekend Mark Hopkins October 2005 . pleased room , particularly size . nice closet nice - size bathroom addition king - bed sleep area window open San Francisco air . location terrific easy access two cable car line . Close Union Square Chinatown , be pretty steep uphill return walk place . eat hotel restaurant cocktail Top Mark Saturday night fleet week could see evening firework . really enjoy Top Mark panoramic view city . especially please $ 120.00 rate get . 
 Oct 3 2005 	 look another hotel next trip SFO 	 Mark Hopkins hotel San Francisco landmark locate top Nob Hill , right cable car line across street famous Fairmont Hotel . recently stay ( second time ) hotel vacation San Francisco husband . want ensure stay nice hotel remember Mark Hopkins accommodation average last stay . time around however , not find hotel worthy $ 300 / night fare charge simply treat guest like cattle ! front desk people not friendly , bellman available help bag , room amenity not worth price pay . could stand upgrade sheet bed high thread count versus scratchy sheet currently bathroom product dry hair ( get AVEDA ! ) charge arm leg everything else might want - $ 10 minute internet access business center , etc , etc . next time SFO , try place else . think Mark Hopkins nice worth price . 
 Sep 28 2005 	 Plush comfortable 	 stay four night Mark Hopkins find fantastic value - get lovely room £ 84 per night travelocity . previously stay dodgy place trip hotel feel luxurious 's marble bathroom plush room decor . unlike previous reviewer , not find lot good place eat Nob Hill area instead go Union Square area enjoy hustle nightlife cablecar ride back hill slightly tipsy ! speak get tipsy , stay must venture ' Top Mark ' cocktail ( try Garden Eden - v. v. potent ) try imagine pacific - bind service man WW2 last drink love one , bar real atmosphere history . 
 Sep 18 2005 	 Worth Climb 	 stay Mark Hopkins four night end long wind trip California . location ideal us - right cable car , walkable Union Sqaure yet relatively quiet near cathederal . warn - steep climb part town , reward ! room surprisingly generous old hotel fotunate enough get view well . Decor classy facility well standard . what hotel lack lobby atmosphere happen top floor ' Top Mark ' . not even think go stay . view superb cocktail good . not serve dinner every night good , least , great jazz / soul band could dance night away to . one tip - several lovely local restaurant nearby . not bother guide book - concierge staff supply recommendation direction . 
 Sep 5 2005 	 Loved Mark ! 	 husband recently return 3 night stay Mark Hopkins , thoroughly enjoyable experience . suppose depend encounter , staff person assist we courteous helpful . stay club level , worth extra expense . fantastic view , could see wharf Golden Gate Bridge . enjoy club amenity ( breakfast , cocktail , internet lounge , etc . ) , find bed incredibly comfortable , location perfect . would definitely stay ! 
 Sep 2 2005 	 business hotel 	 return two week tour California husband 15 year old daughter , although like Mark Hopkins , would say business hotel . although get excellent rate ( $ 187 ) book online , weekend , get inclusive breakfast other page seem do , parking charge $ 50 night astronomic ! also nearly get charge $ 287 per night , rate try get we sign , reduce query show book confirmation ! also surprise find pool hotel caliber . + ve side , conveniently locate either walk catch tram bus . -ve side , extra ( breakfast etc . ) expensive , easily make low room rate . overall feel business hotel , maybe could find well deal elsewhere . 
 Sep 1 2005 	 Horrible Hotel Policy 	 could not get Hotel Intercontinental Mark Hopkins San Fran Hurricane Katrina . we tell almost $ 500 pre - payment going keep Orbitz / Hotel Intercontinental ... nothing could help we situation . I never go hotel , ever , Hotel Intercontinental also never use Orbitz . 
 Aug 20 2005 	 Reception staff attitude 	 arrive busy Saturday afternoon , lobby team wedding guest . finally make front check queue abruptly tell room ready . half hour later give key smoke room book non smoking superior . back desk tell request could small king 2 bed room . back go check , oh wrong key . time wait age lift , 2 room book become available differed . one 3rd , one 4th floor . 4th floor room okay 3rd really small . decide take , alreday spend 2 hour sort thing . throughout treat contempt three reception staff , think ? bell boy apologise hotel 's behalf say every weekend book 110 % . must well hotel , intercontinental good we past one . 
 Aug 15 2005 	 Crappy Hotel Poor service 	 way describe experience Mark Hopkins terrible . value standpoint , worth money . hotel old wall paper thin . receive several call throughout night security complaint television loud . pretty good hearing assure tv volume unreasonably loud . the room nothing special outdate . location great hotel sit atop Nob Hill several hotel San Francisco would recommend Mark Hopkins . use upscale accomodation solid customer service , would advise refrain staying hotel . 
 Aug 12 2005 	 positive negative 	 return weeklong vacation San Francisco . overall , experience Mark Hopkins positive , nice stay . hotel 's location great . able walk Ferry Building , SFMOMA , Union Square , Chinatown , various restaurant . find hotel staff friendly helpful . room 8th floor little small side , balcony , clean nice . rate reasonable ( $ 189.00 ) include breakfast two morning . Mark Hopkins giant hotel , feel invite comfortable we right start . son little bum swimming pool , already know advance . parking hotel expensive , either get part package , forget rental car . walk excursion hail cab need , work well we . the Top Mark small restaurant bar great view 's foggy ! breakfast include package , able enjoy view morning . lunch one day , find menu limit , pricey , average . enjoy lunch Ferry Building much much . be weekend , get check farmer 's market . never peach delicious find market . Mark Hopkins blow we away service , accommodation , amenity , treat nicely comfortable . absolutely love San Francisco feel Mark Hopkins add overall experience location friendly staff . 
 Jul 27 2005 	 Loved Mark ! ! 	 stay Mark Hopkins Intercontinental July , 2005 . little nervouse review say staff rude . nothing could far truth ! arrive Sunday morning . get low view room , ready early . room 5th floor view beautiful Grace Cathedral . staff pleasant we , dress jean flip flop ! room bit small , since old hotel , expect . room beautiful ! everything clean comfortable . rate include breakfast 2 day breakfast buffet Top Mark . good food beautiful view city . cocktail good . , jeans doorman Top Mark say fine weekday . several other dress like we . pleasant stay can not wait go back ! 
 Jul 27 2005 	 bad beginning evrythe work good 	 wife book hotel line . first trip San Francisco we . unfortunately flight get delay arrive San Francisco late night . arrive hotel , shocked hear manager say room available night ( even reservation 3 month ahead time call 5 hour ago advise go arrive late ) . manager tell we go send we nice boutique hotel close water night also ensure would room available next day . well , ' nice ' boutique hotel send we like hostle . wife carry language 2 flight stair reach front counter . 15 minute later find room double bed .... ! ! ! bathroom ( guest use share bathroom ) , tv , sit area ; window face hallway . we take look room decide place stay night since even feel safe room . call manager Mark Hopkins back tell would rather stay lobby stay hostle . we go back Mark Hopkins sit lobby . 30 minute manager come back tell we guest show room us night . compe we room well room service order night ( wife eat 10 hour time ) .we talk day shift manager next day apologize situation . give we another free night hotel upgrate room high - level room face fisherman 's wharf ; give we free access lounge length stay . moreover , send bottle champagne anniverary . the room absolutely spacious beautiful . bathroom tastefully do . wife feel 100 % well experience day . staff also helpful request ( resturant , attraction taxi ) place would stay go San Francisco 
 Jul 21 2005 	 Lovely experience 	 stay hotel three day mid - July , 2005 . Platinum Priority member not know make difference , check smooth . room not quite ready yet ( get 10:00 a.m. ) front desk put rush get ready go Fisherman 's Warf quick bite eat . get back , everything ready . stay 12th floor corner room specacular view city bay . one snafu tub / shower knob come water run full tilt . call reported plumb emergency within moment technician fix problem . professional polite . swing , highly recommend join Club Intercontinental . put quite spread Ulysses fabulous concierge . ask french restaurant recommend . $ 60 per room per day , feel definitely get money 's worth food beverage alone , say nothing internet access , book , game , service , etc . top Mark bite disappointment city completely fog night , view . high price drink good . bar tender could bit outgoing friendly ( sit bar ) . great experience hotel staff - definitely see rude behavior mention other . person everyone attentive , polite , professional ( , especially Ulysses Club Intercontinental ) . even bartender ToM polite , overly friendly enthusiastic . San Francisco weekend , absolutely try find time check Farmer 's Market Ferry Building / Terminal . 's amazing ! wish goodness something like Tampa ! 
 Jul 13 2005 	 Golden Gate view . top Mark small people rude . 	 promise view golden gate bridge club level . suppose one nice hotel view . hotel average . small club top small , unremarkable 's doorman rude . get obstruct view bridge . could see 5 % . think Mark Hopkins add romance visit San Fran , first see get room Alcatraz . check early go elsewhere much well ... 
 Jul 9 2005 	 wonderful place stay . 	 stay 4 night end June . room decorate nicely wonderfully quiet exception shower room next door , be not problem hear morning early evening . staff courteous helpful request deal immediately . the location top steep hill great walk Union Square Chinatown , bit nightmare walk back unless be reasonably fit . use taxi come back hill , unless be travel fair distance hotel easy walk place . I would gladly spend another 4 night would recommend anyone look something that s little bit special . 
 Jul 8 2005 	 nice 	 nice hotel . kind retro modern feel room . front desk busy wait . close Chinatown Union Square . 's windy cool Nob Hill . rate reasonable ( $ 140 ) cost $ 50 tax park car . 
 Jul 6 2005 	 great hotel 	 book hotel hotwire not even know stay . impress everything . would highly recommend hotel . high standard meet . stay 
 Jun 19 2005 	 nice 	 nice hotel . vaction , would recommend Argonaut Fisherman 's Warf . difficult get cable car hotel b / c always full . hotel top huge hill . really difficult walk get . top Mark nice staff friendly . one thing happen we someone else charge $ 55 top Mark room . front desk reverse charge review bill carefully . 
 Jun 15 2005 	 's top book .. 	 wife visit San Francisco first time end anniversary trip California . Mark Hopkins ice cake . room luxurious view Golden Gate bridge , Alcatraz , Grace Catheral could beat , staff extremely nice bellman could helpful . not miss fantastic breakfast buffet Top Mark . expensive SF price view , service variety serving beat ! ! ! hotel central location - downside drive thise hill get - immediately turn rental car couple block away arrive hotel need drive SF great public transportation . book room tripadvisor read great copmment hotel . put 15th floor room , hotel place tasty complimentary chocolate fruit room first night hotel . see previous & quot ; poster & quot ; complain staff - staff could nicer accomodate us - dress jean ! 
 Jun 6 2005 	 incredible location beautiful room terrible staff . 	 husband use Priceline get hotel San Francisco . generally prefer Marriott 's , availability line . later find builder ' conference go town , take much availability area hotel . Mark Hopkins accept $ 159 offer Priceline . upon visit website offer accept , turn actually could get room cheap booked room website ! unfamiliar San Francisco , never hear Mark Hopkins Intercontinental , not know check price use Priceline . however , upon read review TripAdvisor , become increasingly excited stay , past review good . hotel situate top Nob Hill , absolutely beautiful location . pull car right front valet service take we . $ 44 later , parking spot night . ( still hard believe ! thank TripAdvisor member , expect outrageous cost least . ) husband wear khaki short polo shirt , wear khaki pant button - up , collar shirt . however , upon walk lobby , feel underdressed . staff guest alike dress suit . somehow felt look down - upon . check - in take 20 minutes- seem busy take get place line . overall check - in smooth , though person help we impersonable wanted move we along . give we room 2nd floor , bit disappointing want upper floor , think Priceline reservation earmark less - desireable room , not expect much ! get room , happy saw , feel . room stuffy hot , refreshing walk . immediately adjust thermostat room , wait air conditioning kick in . we check rest room- accomodation nice , invite . color pleasant relax , bathroom small luxurious.20 minute later , air conditioning still kick , call front desk , request service unit . tell we would send someone look . luckily San Francisco temperature refreshing time , open window allow nice breeze . hung room hour , wait someone come , finally decide wait anymore go dinner . we go concierge desk ask recommendation steak dinner around $ 40- $ 50 person . almost laugh we , could tell look we . recommend place we , make seem like & quot ; well , want eat cheap , even bother ask .. & quot ; maybe way league , spend $ 50 person dinner not something often , want good recommendation eat . we end Morton 's Steakhouse , absolutely LOVED ! walk dinner way . Mark Hopkins , like say , right top Nob Hill . bad walk Union Square area , walk back difficult , though terrible . enjoyed walk , not use trolley although extremely convenient stop outside hotel . when return back room around 8 pm , expect walk room much cool temperature , avail . still warm stuffy . call front desk , request maintenance , assure we would send someone right away . we go Top Mark get drink dessert . salsa dance night , fun well . view , especially night , incredible Top Mark . get creamalicious drink , Peachy - Orange cream drink . good drink ' ve ever ! visit Top Mark , try one ! also order Chocolate Mousse Cake , not good . return room , , air conditioning still fix . give ever get help , decide keep window open night . trolley line , busy street , traffic fairly active night , allow we good night 's sleep . otherwise , bed comfortable , sheet incredibly soft . husband come shower say good shower have ever take ! love shower head water pressure , say could spend hour shower ! soap toiletry provide elegant wonderful - smell ... pack second bar soap bring home use- smell good ! not heart - break check next morning , , another couple check . apparently reserve non - smoking room , person behind desk inform non - smoking room available . crass , completely unwilling compensate couple , even offer APOLOGY able accomodate reservation . think pretty bad , become unimpressed Mark Hopkins Intercontinental . the hotel beautiful ... complaint involve hotel room ( minus air conditioning problem ) .. overall impressed hotel , less impressed staff . probably would not recommend hotel families- 's simply expensive feel like guest would somehow look child ... overall attitude hotel snobby , guess expect . ' ve hear many people call Nob Hill- Snob Hill . hotel would good business traveler whose company pay expense ! would voluntarily stay , though would stay not choice . hotel would improve customer relation , stay could quite enjoyable ! 
 Jun 5 2005 	 Good Location ok 5 Star ... 	 stay Mark Hopkins two night . book Hotwire not pay much booking directly . first check guy reception bit snotty , ask husband name , guess think maybe random guy stay ! haha .. anyways , parking expensive ! almost $ 50 day tax . not get breakfast hotel unless include room . $ 60 two us breakfast buffet okay . well positive .. staff mostly friendly ( include reception ) , location pretty good ( trolley right across street ) room okay , little dated furniture though . 
 May 30 2005 	 Snobb Hill 	 hotel overprice definitely pleasant place stay . woman front desk could care less welcoming hotel comfortable stay . expect great service pampering , hotel stay . view Top Mark spectacular . however , not decide drink Mohito . mohitos absolutely disgusting $ 10 drink , quite possibly bad drink ' ve ever . ( run Mohito drink ingredient ! ! ! ! ! ! ! ! ) last one drink Mohito night . lucky we ! far room go , bathroom quite beautiful room bit small . think treat wellllllllll hotel need show lot lot lot lot money . funny , know doctor ! stay place . 
 may 20 2005 	 Room view 	 yaer go SF draw back high price centrally locate , good hotel . pleased get room $ 150 . -- 5 * site . expect would not get good room price surprise ! get room high floor breath - take bay - view . compare room fire - escape plan roomdoor even one large corner - room floor , definitely worth every 5 * . furnish real antique , tasteful stilish . speak marvellous bath , feel like museum royal house . nevertheless , room feature modern amenity one could expect high - class establishement . course , everything clean smell good . staff warm , helpful welcoming . hotel big crowded staff attentiv treat individually great personal touch make we feel always welcome house . outside hotel chic , whole neighbourhood despite beee centraly locate , area calm . housekeeping efficient always perfect job employee . absolutely miss visit top mark restaurant altough know view room . well every movie ever see San Francisco . also one place hotel lie bit behind rest : set past good old day , nevertheless little face - lift would amiss . breakfeast buffet sumptuous great treat reasonable price . little flaw food cook item hot enough anymore ( maybe hot item container full ? ) . stay Mark Hopkins wonderful experience , feel like back good old time , historic house build definitiely would recommend hotel everyone viste SF , especially european tourist , feel much well hand historic palazzo residentail area businesss hotel downtown . 
 May 10 2005 	 Fairytale trip sky . 	 like . check price several top rate hotel well deal money . room impecible , service outstanding view wonderful . trip Top Mark & quot ; topper & quot ; even great view band could actually dance . romance soul , miss historic Mark . 
 Apr 22 2005 	 expensive get 	 stay treat hope wonderful service pamper . got average service average room LOT money . have admit bathroom absolutely fabulous really , much time spend ? ? ? ? 
 Apr 19 2005 	 Great Location ; great View Top Mark . 's ! 	 great location . Nob Hill nice quiet . Cable Car 's right front hotel . room basic . nothing really different anywhere else . linen average , good 4 star hotel . room small . bathroom small . vacation , want comfortable , cramp . wife share small space bathroom . stay 3 night Park Hyatt three night Mark Hopkins , really enjoy Park Hyatt . Stuaff personable Hyatt . staff Mark Hopkins stuffy , bit snobbish . top Mark really nice , view . wait staff friendly . 
 Apr 9 2005 	 Top Marks Mark Hopkins ! 	 8 - night stay immediately Easter convince one well Intercontinental 's , certainly term service , could fault . the Virgin Limo . driver meet we SFO airport ( arrange Concierge ) deliver we swiftly hotel , extensive local knowledge suggestion thing stay prove interesting helpful . we initially book deluxe room bed & amp ; breakfast rate ; 1st night invite move junior suite ( 1419 ) , , although downside faint sound time adjacent elevator . understand problem similar room floor . both room sample clean well furnished mini - bar fridge , coffee maker , nice toiletry selection efficient servicing . breakfast 19th floor & quot ; Top Mark & quot ; deserve special mention . get early , linger savour sight San Francisco enjoy attentive friendly service superb hot & amp ; cold buffet selection . walk - in client totm full buffet breakfast $ 23 + 15 % service & amp ; tax . Sundays breakfast serve ground floor restaurant since ToTM brunch menu start 1000hr . if decide upgrade , do arrival , & quot ; Club Intercontinental & quot ; lounge offer continental breakfast , well 4 varied food drink presentation throughout day . evening 1700 - 1930hr cocktail beer available self - serve basis , wine selection include either Moet Lanson Black Label champagne well choice local red white variety , well worth taste . I speak highly enough lounge staff , every request promptly efficiently deal . check - in check - out handle exemplary fashion , always ! fault feel ToTM also serve lounge bar hotel , something perhaps little simple lobby level would welcome . all truly excellent establishment friendly staff ; well worth visit . 
 Mar 17 2005 	 Front desk need training 	 check - in first impression hotel might run direction . really feel interrupt inexperienced staff 's evening check overprice hotel . beyond , room gorgeous attentive staff Top Mark make rudeness experience first floor . 
 Feb 4 2005 	 Wish could stayed long 	 spend 3 wonderful night January , 2005 high - school daughter . get room Club privilege . room beautifully appoint , two queen bed . view bay terrific . amenity nice , include shoe shine service , Penhaligon 's toiletry ( never see ) , incredibly comfortable mattress . club privilege outstanding would highly recommend . night around 5:00p.m . daughter would visit club snack . have wine , would coke perrier along cheeses hot appetizer . play backgammon gin rummey 6:00 6:30 would go dinner . staff helpful recommendation would suggest Kuleto 's Powell , Yabbi 's Seafood House , Cheesecake Factory Union Square . car take 5 minute time retrieve . stay next visit . ' ve stay Inn Union Square , Fairmont , Sir Francis Drake , Nikko , one favorite . 
 Dec 15 2004 	 excellent stay Mark Hopkins 	 returned Mark Hopkins summer decade outstanding long weekend . arrive San Francisco Airport bring Mark Hopkins friendly driver Virgin Limousine , arrange hotel . location atop Nob Hill great , architecturally stunning building . room decorate beautiful fabric , great bed marble bathroom . take advantage rate include breakfast , would recommend everyone . breakfast Top Mark one well experience hotel long time ; delicious food , excellent staff care every detail . importantly , view fantastic ! ! ! ! weekend night , possible dinner drink Top Mark well , great live jazz , dancing , cocktail city light around . top Mark reason enough stay InterContinental alone ! , stay Mark Hopkins add lot weekend San Francisco . although stop new Four Seasons , look gorgeous inside , would choose Mark Hopkins ambiance , location , breakfast Top Mark . 
 Dec 6 2004 	 nice luxurious 	 stayed Mark Hopkins 4 night early Nov 2004 . hotel strike definitely take away experience . mid level room face away protester judge complaint hear ( plus jar ear plugs check- desk ) , assume quite guest disturb noise . able get package include parking ( 50 $ night ! ) breakfast $ 160 per night . would not pay much , hotel bit run amenity one would expect four star hotel . can not get package deal , recommend SF Marriott instead . 
 Oct 28 2004 	 great hotel 	 great hotel . even although staff strike outside service inside fantastic . check friendly , quick easy . room upgrade much appreciate 270 degree view city . nightime well view incredible . the room spotlessly clean although room service minibar service service work normal . the usual InterCon standard - comfortable bed nice , crisp , clean sheet . mind , think ration towel bathroom ask ! give several drink voucher Top Mark well worth visit even stay hotel . watch city light come nice , clear , sunny day fantastic . would defintely stay . well worth money . 
 Oct 19 2004 	 sloppy credit card management / total mess strike ... 	 hotel worker 's strike go San Francisco , therefore hotel understaffe go hard time , understand . however , guest credit card management extremely sloppy ( find overcharge $ 1000 excess without authorization ! ) guest relation currently exist , , distressing . several frustrating long distance telephone call fax , finally get number accounting manager , talk answer machine ( thing general manager , answer machine ) date . mean might need dispute credit card bill ..... service member benefit omit -due strike- well room service , try get something restaurant , get bad service . ( comment come someone NYC mean something . ) go let pass , genuinely feel warn people think stay . not believe , try getting hold someone hotel daytime ..... remember another guest scream front desk check - in . take hint ... way , also stay Holiday Inn Express Fisherman 's Wharf . strike situation , glitch service much well ( less half price ! ) 
 Oct 1 2004 	 wonderful cozy room 	 stay business September 2003 . simply love room . room big , comfortable decorate genuine character restrained elegance . furniture decoration appropriate old hotel Nob Hill . room elegant exuberant plushness might find Ritz , customer want over - the - top luxury money might want go elsewhere . dining room top simply divine view San Francisco , although can not remember thing food . anyway , good chinese food America short walk away . stay luxurious opulent hotel room , memorable . 
 Sep 30 2004 	 2 1/2 Star Quality Five Star Rates 	 establishment trade way much location pale badly compare Fairmont could not come close Mandarin , Ritz - Carlton Four Seasons . pay $ 300 night high floor corner room & quot ; Club Floor & quot ; Golden Gate ( barely ) , Alcatraz City view . view window 2 old casement window much & quot ; view & quot ; . ' Club & quot ; old banquet room Lobby floor . & quot ; Club Floor & quot ; floor - no secured access upgrade decor . & quot ; Club Floor & quot ; room badly decorate old . bed linen stain dirty changed- quite disgusting . 24 hour room service night operator rudely inform we . staff mix ... accomodate , other put time . food plain ... heated mini - quiche tiny heated frozen eggroll & quot ; star & quot ; evening food presentation Club lounge . even & quot ; stay & quot ; check out- & quot ; want leave charge card & quot ; - NEXT ! stay hotel year ago get bad , well ... sad see . overload cruise ship tourist . belong Intercontinental 's Ambassador 's Gold Club will not stay ! advice ? stay Mandarin Four Seasons .. least will get pay ! 
