beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Jul 1 2008 	 Superb 	 Stayed Waldorf Astoria end May 2008 & amp ; rather nervous give fair share bad review , however whole experience excellent . arrive well specify check time problem check - queue & amp ; room within 10 minute arrive . Luggage turn 5 minute later . reception staff & amp ; porter friendly & amp ; snooty.we pay standard room - room 27th floor & amp ; double aspect view Park Ave towards park & amp ; East towards river . room spacious , well decorate & amp ; furnish & amp ; clean . Aircon work well & amp ; unobtrusively . stay coincide birthday & amp ; send complimentary bottle champagne & amp ; chocolate cover strawberry day - nice touch . we also find concierge service lobby useful advice get around & amp ; book tour etc . my gripe would high cost room service ( not use plenty reasonable restaurant & amp ; delis within 2 minute walk ) & amp ; high cost laundry service.overall , highly recommend & amp ; well worth money stay piece ny history . 
 Jun 27 2008 	 Old World ... new perspective 	 problem . hotel extravagant quite beautiful . would stay NY minute . I love historic touch detail hotel provide . 's side Big Apple never see . well worth . 
 Jun 26 2008 	 Beautiful Piece history 	 guest wedding city & amp ; bride & amp ; groom choose Waldorf host hotel . live Long Island not stay Waldorf 20 year ( usually stay NY Hilton , love ) . remember Waldorf opulent lobby & amp ; tiny , musty room . pleasantly surprised ! family 3 room & amp ; one adequate . size room , although large , certainly tiny musty . bathroom redone marble & amp ; bed & amp ; bed comfortable . find staff accomodate , unlike reviewer . perhaps pay slightly reduce rate bridal group rate thing disturb reviewer inconsequential we . still prefer NY Hilton 's room , history & amp ; beauty common area Waldorf something behold . 
 Jun 25 2008 	 Waldorfn Astoria 	 spend 2 night Waldorf . bit unsure due bad review site . check great room excellent , vWe King Deluxe andnit nwa deluxe everynway . staff meet helpful right man help flight stairs case elevator repair . would recommend anyone . try Hilton.com site good deal . 
 Jun 23 2008 	 Old over - price 	 recently stay Waldorf boyfriend weekend getaway NYC . pick Waldorf location hotel history . upon arrival , long check - in line wait , find room would ready another 2 hour . finally allow go room , underwhelme . room tiny ( queen size bed ) outdate . bathroom small tub / vanity / sink circa 1970 . around dinner time , housekeeping insist scrub outside door five minute knowing room ... awkward . & quot ; luxury & quot ; room simple amenity coffee maker / ample electrical outlet / slipper . overall , extremely disappointed . experience would expect $ 125 per night hotel vs $ 500 + night experience . 
 Jun 22 2008 	 find well quality money 	 third time stay hotel occasion disappoint . I book stay 6 night check 3 night . I find room dire need refurbishment . I place executive floor access executive lounge find real change attitude previous experience 5 year ago . at $ 600 night exspect good quality accomodation classy edge , think hotel lose within New York market place posh hotel day . previously find every member staff greate ' good day sir ' lift bell boy take floor . these little extra make hotel special . on occassion find staff unfriendly probally demotivate . I concern lack security hotel , one would think day high profile hotel would better security arrangement . so think prospective guest find well quality hotel offer wow factor less room rate . a real shame , think hotel dire need change management . 
 Jun 20 2008 	 utter disappointment ! 	 recent trip New York City friend decide indulge think would ultimate splurge stay renowned Waldorf Astoria . excited long day travel look forward settle luxurious comfortable room . get small , dirty date shoebox well expectation . $ 700USD per night shock . not even know begin . carpet wear filthy , even come floor away wall , wall stain mark , tiny minibar fridge sit like box floor ( even proper wardrobe ) leak water carpet view appear air shaft . furnishing date beyond belief . bed need new linen , comforter , pillow sham everthing . look think use since day hotel open . could believe overall state room . remind Super 8 motel room visit Bangor , Maine . absolutely dreadful . the bathroom small , sink crack shower run 20 minute could get warm water . toilet barely flushed . I really could come term amount money spend room . speechless . unfortunately arrive late hotel room change possible hour however next day voicing displeasure reception move . our second room , although quite nice first glance , suffer many sign age first room . nice Park Ave view , large dressing room well lounge chair sit however get past fact room dire need update . even new room hot water situation toilet flush like 1920 . obviously , overall , utterly disappointed . think much spend versus much satisfaction get stay make ill . compare many property planning phase holiday spend necessary simply stay Waldorf ' m afraid really pay ability able say & quot ; go New York City stay Waldorf Astoria & quot ; . visit lobby suffice feel need see buzz . beyond lobby , hotel huge disappointment . just aside , pay nose room , Waldorf audacity want charge $ 30 wish access internet laptop room . ridiculous . last night New York area spend Sheraton Newark Airport hotel could near airport catch early flight . room cost $ 140 , internet connection free accomodation clean , modern extremely comfortable . realise Newark airport Manhattan however go show pay Waldorf name fade memory 5 star hotel . I would never recommend stay Waldorf , hard earn money spend elsewhere much happy . 
 Jun 19 2008 	 luxurious position 	 spend 4 night New York go caribbean . book one year dvance Waldorf come cheap many standard ..... can not fault location , can not fault lovely feeling history ' stay Waldorf ' .... room , whilst large drab tired paint peel ceiling bathroom . . think part undergo revamp 's due . drink food pricey hotel plenty local breakfst option would prefer eat elsewhere . get good deal take , not , stay Marriott ! 
 Jun 16 2008 	 Pros Cons 	 wonder , review post differ much rating hotelroom staff . even suppose ( overly positive ) review feign . , little apprehensive , also two friend join we night stay due suggestion hotel . to begin , many aspect like hotel . , classic old fashion like . price ( 329 usd ) good compare high class hotel mid town location . on arrival , super shuttle JFK let we motor entrance . tell we , concergie would take care we . odd enough , see least six employee wait one take notice us luggage . choose side entrance take way towards reception . on check - in , wait time short employee book we efficiently politely . ( probably ) upgrade we corner room ( 11th floor wing towards 50th street ) take care friend arrive two day later would get adjacent room . the room good size , old closet entrance area , perfect bed , bath - room big shower window . curtain window , blind , pull use toilet . report reception desk , employee listen carefully , curtain never appear throughout stay . view impressive bad either . memorial day obviously less traffic , noise disturb night . air condition individual device little noisy . House keep good , turn service inconsistent ( turn third night ) .some lift work properly . get stick lift push alarm . good luck , problem resolve quickly . we voucher continental breakfast Oscar 's ( due gold status ) . seat procedure proved little fight order get table prefer sit . buffet unimpressive keep hotel high reputation . the Bull Bear restaurnt 's steak huge size , char surface . one steak ( party four ) penetrate taste charcoal . waiter tell we , typical style prepare steak , take one bill . seat slightly uncomfortable , table bit small four person . table small side . the last night detect , water bath room floor stem use shower dripping ceiling . report person receptionist , offer we room change ( last night , much trouble ) . offer we free breakfast ( voucher ) . obtain four voucher free drink Sir Henry 's Bar . must say , enjoy drink greatly . return room late , find message receptionist charge concerned leakage ceille bath room . offer room change without move luggage ask call back . well , tired ( late ) , want away friend stay neighbour room ( want check togehter next day , continue journey ) , think much trouble last night . eventually leak stop since fix room we . - nevertheless rise issue check next day eventually get 100 usd overall bill . the departure smooth . luggage collect deposit motor entrance . employee get us taxi four people . work well fast . to cut long story short : like hotel live reputation . pity . stay , good fairly nice experience , could well . read review guess , stay Waldorf Towers make complete difference . like another ( high price ) hotel . work towards consistent appearance term room , maintenance service . 
 Jun 13 2008 	 money could well spend elsewhere 	 second stay Waldorf less impressed . pay absolute fortune stay give high season . three we stay , first room basically old shoe box . happy see carpet come place , mark peel wallpaper crack sink . ask move first night . second room well - much big damage . still look quite old . on positive side , lobby hotel grand luxurious . plus great location . but next time will stay elsewhere - Waldorf need extensive renovation will stay . 
 Jun 10 2008 	 Loved hotel 	 stay hotel Friday Saturday night husband 's 50th law school reunion Columbia U . short line hotel clerk could see husband problem stand usher we Hilton diamond office wait . treat wonderfully give nice room . everyone hotel friendly nice . room great . service great . hotel elegant beautiful . send we bottle champagne chocolate cover strawberry celebrate husband 's law school reunion . can not say enough nice thing hotel include location 
 Jun 8 2008 	 Wonderful Classic Hotel 	 family , consist , husband two daughter age 12 15 stay Waldorf 4 night 24 May . first time New York really love . hotel classic anyone want contemporary happy . however like prefer old style . room rather dusty around fixture fitting bathroom clean well every day always room do time return outing fresh towel . maid come evening take bedspread warm night . size room adequate standard room . 2 double bed seperate dressing room bathroom next privacy require . room service couple time prompt food lovely . staff encounter well mannered helpful . use safety deposit box facility free find useful safeguard money passport etc . taxi outside Hotel take wherever wanted go cheap . great time return ! ! 
 Jun 8 2008 	 nice stay 	 decide stay Waldorf Astoria trip New York much expensive hotel location great . three us room two double bed . not giant , large enough comfortable three people . the good part stay bed , comfortable bed ever sleep . location also great , plenty attraction within walking distance , subway close by . there two thing worry . one constant static electricity build due plush carpet throughout hotel . keep get shock every time touch metal . the second maid quite insistent upon come turn sheet around 6 pm , even ask . seem blatently press tip . tip general expect among staff , prepare spare bill . we not use restaurant hotel expensive place area . in general would recommend hotel anyone , note cheap world . many time stay place also tourist attraction ? 
 Jun 5 2008 	 Great Hotel Great Location 	 Perfect anybody want large , luxurious hotel great location . extremely impressed impeccable service friendly staff go way make feel welcome . our stay enhanced fact upgrade arrival boutique Waldorf Towers extra cost . hotel usually busy business meeting , wedding reception , graduation party etc appear quite formal may suit everybody , however minor gripe not detract stay . overall pleasure stay landmark hotel . highly recommend . 
 Jun 5 2008 	 Loved Atmosphere 	 Waldorf traditional style hotel probably furnishing room bit tired look overlook fantastic experience stay . bed really comfy room quiet . always something happen hotel could sit day lobby , people watch . Sir Harry 's bar mean G & amp ; worth $ 16 . great location . buy open top bus ticket 3 day use like public transport right outside hotel . eat Bull & amp ; Bear one night would not really recommend . great local place breakfast . Loved New York think Waldorf make trip really special . 
 Jun 2 2008 	 Loved ! ! 	 book 2 bedroom mini suite disappoint . spend one week wonderful . large bedroom , separate living room tv . 2 bathroom large walk closet . clean nicely decorate . check in/ check quick . 22nd floor lift fast be not problem . iron room break daughter report new one bring within minutesWe buffet breakfast morning lovely . also order meal room service twice . time deliver quickly hot . enough food , little touch include . we treat well staff , location perfect . walk distance major attraction 
 May 31 2008 	 bad nice hotel world 	 Hilton Diamond member try stay Hilton Hotels . last year ' ve stay Hilton Avenue Stars fine , think would try Hilton 's & quot ; premier & quot ; NYC property fame Waldorf Astoria . one time make mistake . straight , place nowhere near nice Hilton block ( gem merely serviceable ) WAY over - rate . I 6th floor room view anything rooftop . fine , big deal floor also use host conference kind table set hall time stay constant procession wait staff set thing conference . get room neither TV Air Conditioner work . call . fix tv not anything A / c . ( tv old tube like sexy flat screen & quot ; lesser & quot ; Hilton block away ) . call A / C next morning say would fix .. nothing . morning last night , call . get meeting end day , instal crappy window unit air conditioner room . extremely loud let heat side space not quite fit window . call complain tell want rate reduce . agree give last night free . course , bill come door include last night go wait line manually check order get night remove ( explain whole experience ) . ' ve actually never answer question & quot ; stay ? & quot ; answer & quot ; good & quot ; .... bad , would say & quot ; fine & quot ; person check could not hold tongue . eventually get bill right . $ 525 per night , joke . many well place price . knew not stay four Seasons , surely beat Hilton block away ! ? ! joke . will never go think abandon chain entirely . 
 May 30 2008 	 top class hotel ! ! 	 return stay waldorf astoria want say wonderful time . check easy , even though room be not ready 3 pm , upgrade we make mention anniversary tell we vip guest . ( email hotel prior arrival inform special occasion ) go back 3 pm room still be not ready tired , agree pay nominal fee upgrade suite . room beautiful , elegant , sit room lovely bedroom . furniture way date suggest previous review , suited grandeur place - maybe reviewer prefer crisp pristine look boutique hotel classy look appeal ? day anniversary hotel send we champagne chocolate strawberry rise card wish we good . lovely touch ! extremely happy everything . breakfast lovely , lot choose buffet waiting staff efficient beyond word . wonder Americans seem quite impatient restaurant uk service come expect ! wonderful place , clean elegant would hesitate stay . staff way look , fact would say quite opposite . get chance stay worry - long appreciate history hotel intend style certainly disappoint . wait go back ! 
 May 28 2008 	 enjoyable 	 Stayed Waldorf Astoria feburary 30th birthday surpise weekend wife . excellent corner room window two wall . room comfortable good size clean . staff good helpful . we eat japanese restaurant , hotel , saturaday birthday good nice atmosphere .The location great able walk everywhere . 
 may 26 2008 	 not get well ... 	 elegance grand old hotel like Waldorf Plaza simply unmatched . get opportunity simply ' pass . come across great rate ( & lt ; $ 350 night ) Memorial Day weekend . first class way . PROS : . room large . linen bed great . lot hot water good water pressure . small refrigerator room ( great water soda ) . complimentary continental breakfast ( upgradeable full breakfast $ 6 ) . elevator fast elevator operational time . entire staff friendly , courteous , helpfulCONS : . shower cap wife . wallpaper bit wear distraction 
 May 24 2008 	 Love Waldorf 	 love Astoria - experience staff high standard check - in check - out time . concierge great always helpful . would definitely stay - grandeur hotel also location . 
 May 23 2008 	 World Class ... worth price ? 	 wife stay Waldorf = Astoria April . parent stay 25 year agoand always want stay . be Las Vegas ' ve stay many luxury hotel country . hotel exceptional , especially consider history building . we need get one thing straight . Waldorf = Astoria OLD . be expect everything look shiny new , will disappoint . , however , willing accept fact be well keep piece american history , Disney / Vegas - base hotel / resort , will good shape . the hotel pro con . to honest , probably would not stay Waldorf dime . place full history really let peek & quot ; old guard & quot ; must marvel 's day . entire hotel drip history old world charm make obvious consider & quot ; Gand - dame & quot ; hotel . regular guy like want squeeze much luxury get dollar , may seem like waste money . though wife agree service staff phenominal . could not bring spend $ 8.50 glass Sprite $ 14 Amstel light bar . $ 95 per person Sunday Brunch buffet we puzzle , ' ve great buffet country never pay $ 30 per . if be business traveler decent expense account , Waldorf may hotel seems really concentrate large meeting conference , corperate sponsorship , would make sense price . the area perfect want close action , right middle it . a ten minute walk get Times Square , opinion unkempt disney - type property . every piece wall cover sort advertisement design catch eye , thousand ad try out - do eachother get attention , together look everything focus nothing . though quite spectacle , Times Square epitomize universal image NYC ; almost overwhelming . before get Times Square hotel will run Rockefeller Center . Top Rock must . beware creepy security guard top REALLY seem like take picture couple kiss view city background . my wife could not stop laugh keep moaning & quot ; yeah , yeah , kiss & quot ; . friendly guy though ! walk block east hotel several privately own restaurant will not hurt wallet . we really like Ristoranta Lazagna . great special amazing Lazagna , especially price . we also enjoy Grayline Hop - on / off bus tour . if walk mind set be go get see city bit well view would cab , will appreciate bit . not expect much aside that . what advice give ? not afraid eat street cart . try gyro guy block west Rockefeller Center . try Ray 's Pizza 7th Ave btwn 53rd 54th st . slice . try original Grimaldi 's Pizza Brooklyn . friendly staff great pizza . do not afraid subway , be easy learn system , people gladly help find way around . try everything ! ! ! 's New York City ! ! last last bit advice take comfortable shoe . NYC never realize much ' ve walk end day . like explore , foot thank leave dress shoe suitcase wear walk shoe . 
 May 22 2008 	 - Fantastic ! 	 stay girl trip 2007 love much go back year , little know hotel could well ! do not cost earth , 5 night pay less £ 600 us hotel amazing ! arrival drop underground section , somthe not 2007 , meet ' welcomer ' hotel greate we , bag take room , walk we throught hotel check we sit relaxed sofas . come we room , say would like big one , room 2007 slightly large , make call move large suit strawberrys bubbly arrive room welcome gift . anything want look we . staff amazing . friend love old world style hotel , fact furnature new Ikea looking want hotel , grandure make feel special , staff amazing bed well ever sleep ! never dress day never feel place , never look give respect staff ! leave hotel Jan slight issue , minor regard luggage leave , recieve email hotel ask opinion hotel detail minor issue . within 3 day director hotel phone UK discuss matter express regret ... tiny issue raise ! ! know return hotel Feb arrival , suprise , meet appologise , upgrade room check left note say next visit would get another upgrade free night , do not like something hotel tell everything make well ! ! oh welcomer visit january spot hotel welcome back , send bubbly room give we info help need .... customer would see remember greate name ! that s kind personal touch would never expect hotel size show level class employee . staff door staff housekeeping fantastic would anything you . I would stay anywhere else New York . location amazing , experiance one kind feel safe within hotel important city stay , two young woman travel alone . I visitor hotel one reviewer write ' be billionaire list ' always give attention staff make stay would expect . go New York please give hotel chance nothing make trip special . 
 May 21 2008 	 beautiful pricey 	 first , say reservation billing department fabulous contact . helpful , courteous , patient first time customer . the hotel beautiful locate good area sight see transportation choice . flower reception area incredible ; smell walk door . my friend could afford standard room . definitely standard . must remember old hotel , flaw room . however , room quite street noise whatsoever- plus.the staff helpful courteous . the restaurant bar hotel expensive . order martinis $ 20 piece . needless say , one . starbuck tuck away downstairs . well yet , find great deli block way . we never stay expense opt something update next time , glad experience . 
 May 20 2008 	 World Class 	 spend entire life hotel industry , 22 year general manager large hotel chain . always want stay Waldorf . book girlfriend weekend March . disappointed . staff first rate begin end . history hotel 's & quot ; presence & quot ; amazing . room enormous , especially NYC . maybe someday able return gem hotel ... not hesitate stay , savor history , people amenitie hotel offer . 
 May 15 2008 	 Landmark hotel issue 	 book reservation hotel- special discount apply use Visa card . upon arrival greet crowded lobby . hey NYC expect . line move quickly able check . however price quote phone make reservation upon check ( correct ) staff front desk excellent - polite efficient attitude . book room specifically ask fold bed . tell suites fold bed . luck . bring two cot provide charge ( usually 50.00 charge ) . stay corner suite room excellent . couple small issues- furniture dirty could stand clean even 13th floor room noisy . concierge useless , usually concierge NYC hotel helpful knowledgeable . expect large hotel like Waldorf . call week ahead time see pull particular restaurant concierge could less helpful . quote , & quot ; like hold table we & quot ; well [ -- ] . stay ask one concierge address Brooks Brothers cross street was- clue Brooks Brothers ! ! ake spell google it - I eventually walk away . overall staff hotel great exception dopey concierge staff . also Bull Bear drink outrageously expensive . ' ve ny many time even little surprised 18.00 gin tonic 20.00 maritni . atmosphere NY bartender excellent . I like Waldorf- busy landmark location great . 
 May 13 2008 	 wow place start trip 	 return holiday New England decide start trip three night New York , think else Waldorf . book directly hotel , visit Trip Advisor review little worried read . need , arrive Waldorf greet delightful bell boy , introduce say anything could , need ask . check swift , within 10 minute room , delightful , lovely furnishing bathroom everything hope . stay concierge station always helpful theatre ticket restaurant dinner . recommend really nice italian food excellent . can not praise hotel enough , wonder lot staff long stand . tell . 
 May 13 2008 	 Disappointing tired overrate . 	 know late writing , receive anyreply hotel year write several time via email complete feedback form several time , want write experience . hopefully renovate . suppose wonderful experience 30th wedding anniversary great Waldorf Astoria . save go New York age . arrive jetlagge 24 hour fly , late night tiny room greet we massive stain carpet see well day . paint peel bathroom make door basin . use toilet get block , block , call reception say would get plumber . time , beside tiredness . ask could another room go sleep tell long . room like sauna night sleep 30 minute ( sleep 2 hour ) miss buffet breakfast pay month . say could offer we coffee sweet pastry . waste money , hard earn money . stay well hotel 1/4 price . disappointing thing look back apology sort . even simple reply numerous email ..... love New York , never stay Waldorf Astoria . 
 May 12 2008 	 love whole experience ! 	 stay Waldorf 4 night April , 2008 . review comment site , skeptical , decide go . glad ! absolutely everything could hope . two room suite well expect . room well decorate , large update bathroom . lobby course exceptional , great walk day . find staff professional friendly . can not quite understand comment other snobby attitude . experience none , find opposite quite true . eat lunch first day Oscar 's waiting room ready ( extremely busy day ) Bull Bear twice , enjoy much first time . find service restaurant beyond reproach . even help we over - order ! coure , type attitude encourage we return last night , restaurant lose nothing term money . last night , window table sit hour enjoy ambience . certainly can not afford stay often , , next trip New York , definitely return Waldorf . love New York , can not wait return , Waldorf help make stay . 
 may 7 2008 	 thank God Travel point ! 	 spend 4 night Waldorf Astoria ( WA ) suite 9th floor . use travel mile accumulate 9 month time . third trip NYC , love WA 's location . lobby expand hallway magnificantly furnish . entire place & quot ; old money & quot ; feel . checkin quick , not confirmation page we . tell provide leave would charge $ 910 day . require bell service bag . give 4 free pass drink / Bull Bear breakfast / Oscar 's . take drink ticket head Bull Bear . wine $ 14 glass . three us dinner grand total $ 333 . two we filet $ 50 . terrific , could small cut less money . lobster soup first dollop lobster serve bowl garnish . server come back pour bisque bowl . fabulous ! try waldorf salad , basically partial red green apple sliver $ 17 ? friend birthday , pick tab celebration . one us smoker go elevator lot night smoke ground level parking entrance . wound make friend valet staff . also private entrance upscale clientele . one night see Donatella Versace daughter , Allegra . Room Service : not want pay $ 8 small pot coffee ( 3 cup ) deliver room ... plus 15 % gratuity $ 5.25 service charge . instead head across street / outside 50th Street Starbucks . $ 2.11 Grande / include tax . later find Starbucks WA , price high . suite : beautiful tapestry pillow bed runner bed . first time return room day , find bed turn music play IPOD station . enjoy scented body lotion leave use bathroom . bathroom lack fan ventilation . keep joke price wa charge kind laundry service . $ 9 wash pair pantie ? end , pay internet service . well worth visit . 
 May 6 2008 	 Friendly Waldorf 	 return 4 night stay book surprise birthday . find trip 2 day go , come straight check apprehensive say least , review ! get good way first - taxi direct round side , no - one give we direction reception stumble around . one evening bar barman look bit sniffy 15 % tip 2 drink . parent problem room . good bit - fabulous lobby - grand beautiful . every member staff contact extremely friendly , polite professional . get great advice eat , excellent help everything ask - cancel restaurant booking make elsewhere , direction , book return flight seat - nothing much trouble ! room spacious , corner room , 1 window overlook room window , view Park Avenue . big tv , great radio / clock , really comfortable bed . room service note say would change sheet every 3 day unless ask change often , change linen every day anyway . bathroom small , look like original bathroom , think nice - small , fine 2 people . good turndown service - bedside light turn , radio leave low almost like you re return home . maybe picky could say decor bit fade , want sparkle modern would stay W Hyatt . my parent twin room large gorgeous bathroom , problem , speak reception immediately move suite beautiful . problem handle swiftly professionally - perfect ! do not find hotel , guest , staff stuffy snobby least . function go every day , marvel management take . lovely see people dress finery , yet do not feel place . review say would place be not dress designer clothe time , do not see - see people jean trainer , flip flop , short shirt back run , no - one bat eye . retaurant dress code , that s expect , not ? ! starbuck leave main door open 6.30 . UK , you re awake need coffee fix fast , go right main door , turn right end another Starbucks 50 yard open early ! take trip see ballroom Starlight room - amazing ! ! 
 May 6 2008 	 Starbucks paper cup snobby staff 	 beautiful Art Deco lobby ! ... seem one NYC top sight . get coffee starbuck locate next thePark Avenue entrance sit comfortably lobby enjoy . afterwards leave paper cup somewhere , stair example . the staff snobby will not even notice ( unless mention world 's billionaire list ) , problem ! ... able enjoy good W = A offer - reasonable price ! reason stay hotel : already mention staff snobbish uninterested serve guest ( however bar ! ) five day stay hoteli not receive single smile staff member . the room outdate depressing . overall room standard surprisingly low - even high room category ( superior ) .A modest turn service occur every second evening . bathroom toiletterie ( mix ! ) change stay . in bar , Sir Henry 's , expect find tired travelingsalesman need long day ( however even standard surprisingly low ! ) ... course good selection liquor , well . in brief : leave lobby ( although paper cup ) sign world know luxury hotel anywhere- least Waldorf Towers floor . 
 May 5 2008 	 Classic hotel 5 - star 	 much look forward stay W = A give hear refurbish hotel . common area , include ballroom clean reflect original style ( classic modern architecture ) , style , nice job . room , however seem overlooked . wallpaper seam expose room bathroom . basic fixture get replace ( i.e. , toilet paper holder smoke alarm kahaki color come plastic get old ) look like bad Motel 6 . , much furniture clearly address ( e.g. , ding scratch wood , backing come armoire , etc . ) . staff friendly food great , good place visit .... especially historical perspective . look 5 - star hotel , suggest stay somewhere else . 
 May 5 2008 	 Glad stay try somewhere else next time . 	 really glad stay , next time stay new hotel . check easy quick staff come across friendly . go New York mum , sister , 2 child husband . stay king size room big 2 x double bedroom . bed comfortable . no kettle room phone one bring one , tea , coffee , milk sugar need bring ! ! view side window . Shampoo , conditioner , soap body lotion hair dryer 2 x bath robe towel provide . room need redecorate , , old , well know hotel every one stay ! lobby impressive grand , old money spring mind . lot business well dress people hotel wish take nice clothe instead causal sight seeing one . hotel well locate 2 block rockafella centre . eat hotel , restaurant Raddison hotel road . 
 May 4 2008 	 Great Hotel 	 3rd May 2008we return week Waldrof Astoria , New York . what fabulous place , without doubt must one good hotel kind world . glass modern minimalistic boring place , one steep history grandier not find many place today . when arrive greet warm welcome receptionist , not take long go detail book . room bit small week stay , problem , return reception ask big room although could not anything day tell we 3 pm follow day would superior room we view . after view room please indeed take straight away . we find hotel staff happy answer question ask , room clean every day bed change every day , turn back every evening . yes find hotel busy business people , that s one thing put people company one probably keep hotel go . no , not find intimatating also see pleased lovely hotel , take photograph lobby ask pass guest take photo hotel . please except pleasant experience . wish could go backAnn DaviesSwansea 
 May 1 2008 	 Classic New York experience 	 husband always want stay NYC around holiday cash Hilton Honors point stay Waldorf . build lobby beautiful dramatic . location can not beat mid - town touristy site . however , room decor could use update richly decorate . also not care much clientele - Waldorf necessarily want well , be want everyone know spend . though fairly well age , feel place wear full - length mink coat 10 carat Harry Winston diamond . staff also snobbish towards we member New York elite . New York full hotel - ' m sure be another one also history great location minus snobbery . 
 Apr 30 2008 	 dissapointe 	 arrive long weary flight find long line wait check - in , seem take age . receptionist insist go extensive briefing ( selling ) available extra cost . room assign , $ 514 per night , reflective cost . 's fine old establishment , service level need review find one evening try get drink lobby bar , Sir Henry 's , bar man inform extremely busy ask want & quot ; split 3 & quot ; get serve . alert management appear surprised happen . would recommend visit , stay somewhere else . 
 Apr 29 2008 	 great Location age room 	 stay Room 905 one night 4/26/08 . receive free upgrade king room $ 299 night , room available 4 pm . huge problem , b / c leave suitcase porter go sightseeing -- -until next morning housekeeping bang room door 8:30am -- room ready 4 pm , housekeeping start 9 am ? room service arrive promptly portion adequate . the bed super comfortable turn . king bed , chair ottoman , flat screen tv , walk closet , desk chair . , large hotel room ever NYC . decor aging , carpet wear around edge drapery 1960 granny style . all service personnel polite , welcoming , helpful sincere . Denzel Washington movie film hotel , mean Park Ave entrance close periodically , make difficult hail cab . starbuck convenient , venti nonfat latte cost $ 6 , almost double normal fee . we would probably stay Waldorf due size room location , would expect superior service date room . 
 Apr 26 2008 	 visit not stay 	 secod time waldorf first time twenty year ago wish leave . reception look grand christmas decoration . staff lovely helpfull get suite reality set , like visit grannys house has'nt decorate since early seventy grand antique plain cheap nasty . great location fab tell people stay waldorf expect underwhelme dissapointe 
 Apr 20 2008 	 5 Star Rip 	 book friend special trip ( significant birthday ) take one experience package , truthful thing stay , experience . grubby suite , bed make ( sheet straighten , comforter put pillow , mean not need turn night ! ) . draughty ( maintenance man come 11 pm put gaffer tape around window stop draught ) . two ancient tv - ? ? - tiny shower room suite 4 ( fortunately two toiletry . Room tidy vaccuumed . hotel fade . 2 concierge duty hundred people , long queue every day . expensive , worth would not bother , fact would not bother give one night ' luxury suite ' certainly ' not bother ' return . good want Starbucks site one basement sit stair paper cup eat muffin paper bag - nice . 
 Apr 17 2008 	 mixed feeling Waldorf 	 okay , read review prior go , mixed emotion go expect Waldorf . I , , Travel Agent within UK train always go somewhere open mind . the check - in speedy perfect however go little hill there . the room given ' date ' would expect famous well recommend hotel . as ' tourist 5 - day ' always feel place within hotel mainly full buisness people carry briefcase chat loudly mobile phone posh Armarni suit . ( ) look like smell dirty poo , even though dress quite smartly . the bad thing , ' ve book Waldorf stay wedding may late cancel find somewhere different . fair enough , hotel good location be not date room crap view nasty stare guest stay would great . the bonus within hotel Starbucks inside must ' City never sleeps' . anyone need info recommendation hotel NYC , please feel free contact . 
 Apr 17 2008 	 good base NYC 	 consider huge hotel , service remarkably efficient personalize . everything need want promptly provide . update room nice view St Barts . reviewer talk lack heat . certainly experience . food drink cheap , consider grand old hotel New York expect ? good base explore Manhattan 
 Apr 16 2008 	 5 Star ! ! 	 come back long weekend trip USA . way back hotel conference Las Vegas , stop New York 4 night . Vegas stay Venetian , stay suite , great well rest hotel . when arrive Waldorf Astoria , room request . offer upgrade junior suite 100 usd extra per nnight , accept . see room disappoint , really big normal hotel room , need refurbishment . late , dinner appointment night , time waiste complain reception . follow morning wake early building work outside . confirm reception .... amazingly admit know upgrade room . I give another standard room , side hotel . small .... call reception later day water stick bath ! departure day check 10 tell . offer store luggage till leave JFK . arrive back afternoon pick luggage , tell wait outside Park Avenue Taxis would find , would bring luggage . well ! ! ! .... wait 20 minute , ask doorman could find happen luggage , go find & quot ; investigate & quot ; . never come back , wait another 15 minute , go bell desk soon find nobody know receip luggage go missing ! ! ! ! nobody come tell .... instead follow somebody garage luggage room identify luggage ! ! ! add story , friend also attend hotel conference Vegas , also request room change arrive Waldorf Astoria . they might live name / brand , worth ! lot great hotel area ! ! ! E.S 
