good 	 wish 3.5 option overall rating hotel . 4 seem high , 3 low . this hotel much op be describe . find good value . pro : large room also clean , lot closet space , light - block window shade , good bed good quality linen , friendly multi - lingual staff , good location ( altho personally prefer west side easy get around ) , excellent access computer printers- think may 8 stations- WIFI fast dependable . con : really could use another bath half - bath ( 3 woman 1 man ) , Breakfast much- yogurt , cottage cheese , coffee , juice , rather dry pastry .. probably one bad & quot ; continental breakfast & quot ; anywhere . Noise- street noise bother much , daughter husband comment . old daughter say , & quot ; mom , noisiest place ' ve stay NY & quot ; . sure problem street front really busy street , seem great deal honk hour . think might annoy , ask room face street . we try ' Mint & quot ; , eat establishment connect hotel- impressed . my husband , two 20 - something daugther , visit NYC look way avoid 2 hotel room $ 275 - $ 325 / night room weekend Thanksgiving . the San Carlos suite 2 queen bedroom pullout sleeper LR , along small & quot ; kitchenette & quot ; ( microwave , sink , refrigerator utensil ) $ 300 / night . review TA favorable , book 3 night . thank member helpful review hotel . accurate review ! save we hundred dollar 2 separate room without sacrifice much way comfort space . 
 Aug 9 2005 	 quiet euro - style hotel heart Manhattan 	 look hotel , stay Kimberly Benjamin Hotels across street . contrast Benjamin Kimberly , hotel quiet , european feel . book -- - , immediately problem check . staff , however , extremely helpful , get thing straighten immediately . suite spacious quiet . one problem , however , bathroom bedroom area . contrary promise , prove inconvenience 4 people suite . continental breakfast nice , cybersuite second floor provide great opportunity teenager get away . great area stay . Rockefeller Center St. Patrick 's Cathedral 3 block away , Times Square 6 block away . area safe ; walk anywhere section Manhattan . would say San Carlos excellent value mid - town . many european tourist stay hotel provide indication value quality . would definitely stay . 
 Aug 4 2005 	 Fabulous always 	 fly Florida great expectation cheap hotel west side ( flee horror ) , find struggle find place stay time spare . fortunately we fabulous San Carlos able give we suite immediately turn horrible day wonderful stay . stay San Carlos positive experience look less expensive hotel also pay two student family member . find , get pay . disappointment another hotel , San Carlos worth pay . service always swift , efficient , pleasant professional . would give discount frequent guest would feel complete ... would definitely stay . 
 Aug 2 2005 	 great place 	 second time stay San Carlos . room beautiful comfortable . hotel excellent area , close everything Manhattan offer . staff attentive need friendly . actually forget item purchase mail we . even chance meet owner chat . would highly recommend hotel everyone , single family . travel family suite perfect need . 
 Aug 1 2005 	 great location great hotel 	 recently renovate , hotel wonderful amenity great location . make terrific base explore city . well similarly price hotel neighborhood . 
 Jul 27 2005 	 small quiet relax NYC 	 first miss big time feel large hotel realize great return comfortable hotel busy day . room supberb ! expect much way service ( i.e . concierge ) cleanliness location make ! definately would stay . ( Walked Benjamin look good ) 
 Jun 14 2005 	 comfortable San Carlos . 	 husband stay San Carlos first week June . Executive Suite 12th floor . room fabulous ! extremely spacious comfortable . wet bar , refrigerator , microwave , 2 tv , separate sitting room bedroom . complaint room air conditioner could not keep steamy 85 + degree weather . staff friendly except one desk attendant attitude . not let discourage we exception mostly friendly attentive staff . hotel great location ! would recommend hotel other would return . 
 may 29 2005 	 Comfort Friendly Tops 	 San Carlos conviently locate . stay suite one king bed pull double adjoining sitting room . Manhattan hotel , room spacious . room temp air control good . room face street bit noisy ( hotel NYC not ? ) . Bathroom modern , marble floor , granite counter top . aveda product . two tv 's good movie rental selection . staff superb- encounte friendly willing assist , go extra mile help request . check efficient . parking available next door $ 30 / day . room rate include continental b'fast , consist sweet roll , toast , yogurt , coffee , oj . basic . room rate reasonable hotel location amenity . great place stay , would return . 
 may 16 2005 	 friendly hotel great location 	 impress San Carlos soon arrive . reception staff friendly helpful . room nicely furnish clean although little small side - think nothing ( ny ! ) hotel owner come chat us breakfast seem little apologetic tell room number ! recommend room , staff location . 
 Apr 25 2005 	 clean amenity 	 good location . hotel everything could want . complaint room face street little noisy - New York much ! recommend - good Midtown location . 
 Apr 18 2005 	 lot room 	 stay night great stay . room large quiet furnish nicely . bellman nice woman work front desk happy , never smile four day . live though long room nice . skip continental breakfast though pretty weak . would stay . 
 Apr 12 2005 	 would never stay anywhere else ! 	 telephone email contact trip , friendly knowledgeable staff , beautiful quiet suite , love everything San Carlos Hotel . location amazing , close everything service accomodation excellent . one bedroom suite two double bed suite floor space many Manhattan apartment . kitchenette fine . cook top sink , fridge , microwave oven . this first trip NYC happily stay San Carlos next time go . 
 Apr 12 2005 	 Differing opinion 	 really like San Carlos , husband not . near Waldorf Astoria within walk distance everything east side . ( course , gorgeous spring weekend , walk pleasure . ) room large clean . love refrigerator microwave . great leftover dinner ! Conceirge not helpful knowledgeable . tell we Rainbow Room close open could not help we get ticket show . not try breakfast since available 10:00 Sunday morning want sleep paint town red . comfortable , clean good price . would stay husband will not . prefer room view concierge willing ready serve . 
 Apr 6 2005 	 great time San Carlos ! 	 stay 4 nite end 4/1/05 , happy property . actually rent 2 room , 1 suite one double . nice , would always opt upgrade , acquire fridge beer ! mention room clean , staff friendly helpful ? . also find breakfast convenient nice time saver . # 6 subway 1/2 block away easily explore southern tip museum area use one line . tell vacation ? staff also give good dining recommendation . conclusion , enjoy property , . ( wife child . ) hotel review business , since read numerous review 6 8 property select San Carlos base feedback , not mind share mine . final note : could not run hot water ! 
 Apr 3 2005 	 Great Value 	 come back week San Carlos . get decent rate via website ( good $ 100 less hotel across road ) please hotel . sister take double room absolutely huge ( Manhattan standard ) well appoint comfortable . bathroom similarly large , despite fear early review , problem much pipe hot water desire . would nice replace shampoo body lotion use ( personal test hotel quality ) . credit , last night give refill turndown service . wait pile umbrella ( let us face , going spend $ 5 umbrella need one day ) friendly staff comfortable room , hotel one hopefully return . 
 Mar 30 2005 	 can not beat price location 	 spend night San Carlos friend weekend . price location , tough beat NYC . taxis ( $ 48 ! ! ! ) , pay $ 300 night . definitely worth price , 4 - star hotel . room big enough we , clean , staff friendly ( in - your - face type ) . parking right next door valet type garage , discount $ 30 24 hr period , bad . front desk hotel stamp parking ticket discount . unless be another 4 - star hotel offer much low price San Carlos , need search another place stay NYC . 
 Mar 27 2005 	 Best Deal New York City FABULOUS hotel ! 	 hotel nothing short outstanding one well keep secret New York . kid LOVED . small boutique , european - style hotel plush robe guest , european quality linen furnishing room among large NYC 400 square foot . internet access computer available we 2nd floor . every morning wonderful continental breakfast toast , bage . cereal , juice , coffee , yogurt , fresh fruit , pastry . simply fabulous would love stay ! also great location ... block away Waldorf Astoria 3 - 4 block St. Patrick 's Cathedral . 
 Mar 24 2005 	 great 	 stay November 04 . arrive reception staff surly inattentive - ignore we inconvenience politely ask could check . show room heater work - like ice box . must know clear noone staying room time ( despite room hotel occupy ) . complain send engineer dismantle heater sit shiver . engineer eventually gave show another room . look like nice room porter realise still occupy ! could happen ? apparently , room full give option move back icebox manager say would get we fan heater ! tell unacceptable give we another room find we another hotel . after long delay finally give another room . land customer service king , not expect kind incompetence . once instal new room , quite like hotel ( although breakfast facility mediocre ) . trouble , , already bitter taste mouth . will not stay ' m afraid . 
 Mar 19 2005 	 clean comfortable convenient 	 stay San Carlos 3 child 3 night ( March 15 - 18 ) room 1108 - suite 2 double bed bedroom full size pull sofa main room . plenty room , linen bed spread clean new , bathroom clean modern . microwave , small fridge little freezer , sink coffee maker kitchenette . small table two chair addition sit area . tv bedroom sitting room . give we complimentary cord connect laptop internet charge internet . son forget toothbrush call send we two . minimal continental breakfast serve 7 - 10- coffee decaf , tea oj . lot sugary white bread - bagel whole wheat bread . cottage cheese assort yogurt . step away plenty great place ambitious breakfast . owner visible greet breakfast patron let we know breakfast entirely kosher . the fitness room quite nice business center convenient . our room view bit dark . overhead light hard read comfortably , problem room . housekeeper , front desk bellmen friendly helpful . believe even regular room microwave , coffee maker fridge . would perfectly comfortable stay anytime though must admit prefer stay one hotel 5th 7th available . 
 Mar 18 2005 	 Nice hotel great location couple glitche 	 $ 330 night , one can not expect five star service Manhattan ; $ 330 , however , San Carlos reasonable stay . location decent -- close 1 - 5 - 6 subway short walk Rockefeller Plaza -- ambience sleek . though book regular room , upgrade suite check - in . suite well - appoint , bar sink , microwave , dining area anteroom . bedroom ample , bathroom . , however , three issue arise . first , fifth - floor location street side mean bit noise traffic nightclub across street . second , wait take shower , discover hot water flow pipe ; call notify front desk , attendant apologize , claim hotel fully book not prepare demand shower . ( believe sort plan quality hotel suppose , yes ? ) finally , front desk clerk handle check , taste , unreasonably agressive trying sell we private car ride Newark Airport , use tactic cast doubt & quot ; quality & quot ; traveler / guest . , remind attitude behavior even one staff member cast negative pall otherwise reasonable stay -- especially person 's last one contact . 
 Mar 13 2005 	 clean uninspired 	 wife enter hotel hopeful would nice look line . simply not . 's one hotel seem design fast formula mind : lure customer neat website arrive , greet friendly desk clerk . hotel feel empty , soul free , clean . room show lot polyester , touch Ikea . leave fifteen minute . everything NY offer , one place pass . 
 Jan 31 2005 	 Great Hotel 	 beautiful hotel . clean . good location . nice room - love bathroom . Doorman superb- always offer help various thing . internet lounge great . Adequate Fitness facility . would highly recomend hotel . 
 Jan 25 2005 	 Great Hotel Business user ! 	 stay San Carlos 8th December 7 night . room spacious well equip , even small cooking area microwave , fridge etc . hotel appear full business people obviously populaur . Breakfast include continental , dissapointe never bagel 7 breakfast , food day , variety ... hey want load restaraunt diner around . could bar / lounge relax walk . good hotel would stay . 
 Jan 22 2005 	 Eco - unfriendly plastic cutlery aside ...... 	 eco - unfriendly plastic cutlery aside .... great place stay . NYC marathon - 's short walk meeting point runner outside Library . Chrysler Building Grand Central Station close , subway stop corner even walk Guggenheim be feel energetic . room great - clean , nice fitting , comfy bed , fridge , microwave , giant telly etc . staff friendly helpful breakfast good enough - great hey , everything else . 
 dec 23 2004 	 littel underwhelme 	 spend 4 night San Carlos fine , clean , nice decent sized room although , dark , not really warm . old check clerk nice friendly apart staff . strange hotel bar eat , can not even get cup cofffe sit lobby feel weird . stay 3 Summit Group hotel last year really not compare . 
 Nov 27 2004 	 gem mid - town 	 great location ( near subway ) friendly accommodate staff . well appoint room amenity . in - house restaurant , nice one near by . if be light sleeper go Friday Saturday night , ask room back side hotel night club across street 's pretty busy noisy wee hour morning . also lot siren horn blow night long . 
 Oct 24 2004 	 wonderful vacation NYC ! 	 take well - deserve vacation early October incredibly please San Carlos . stay one - bedroom suite 9 day find staff gracious . upon check - in , person reception absolutely wonderful despite hectic morning . depart , car awaiting take we airport , spare we sometimes dreadful taxi ride . Room nicely decorate quite spacious . located area everything accessible 24 hour day . plan return NYC definitely call San Carlos ! 
 Oct 22 2004 	 wonderful Honeymoon San Carlos 	 husband arrive San Carlos mid October 2004 honeymoon . husband tell lovely front desk clerk honeymoon , upgrade we one - bedroom suite send we complimentary basket wine , chocolate , savory , plus handwritten note congratulate we . lovely way begin vacation ! suite beautifully furnish modern piece gentle , neutral color , artwork display amongst lovely lighting . appear recent renovation well worth . staff friendly accommodating , give we great tip restaurant direction , feel much home suite . highly recommend San Carlos 's incredible location , charm , understate elegance . 
 Oct 5 2004 	 GREAT 	 return stay San Carlos , 10/04 . member staff contact friendly helpful . would highly recommend try . 
 Sep 27 2004 	 great hotel 	 return business trip include week San Carlos NYC . hotel well locate , staff extremely friendly , room large NY standard . microwave , fridge , coffee maker appreciate addition . price right accommodation excellent . one suggestion however , check see U.N. session stay . , security around hotel tight surround street close result difficulty get cab midtown East . 
 Aug 30 2004 	 Nice Hotel 	 choose hotel base Trip Advisor feedback . Pro 's - separate fridge , microwave & amp ; crockery eat . Complemantary NYT & amp ; USA Today . friendly staff . Con 's - small room quad ( 2 adult 7 2 child ) . get room view , quiet . 
 Aug 27 2004 	 great room friendly staff 	 stay Easter family really enjoy stay . room well equip large , staff friendly location convenient . although reception appear grand breakfast basic . 
 Jul 29 2004 	 amazing hotel 	 San Carlos amazing hotel . price reasonable midtown room gorgeous . roomy really well take care . staff helpful , doorman even help we get deal limo take we little italy . highly recommend ! 
 Jul 29 2004 	 Paper cup plastic fork knive plate breakfast 	 hotel cooker , dishwasher , drink stock ... consequence : - simple continental breakfast ( egg , cold meat , ... ) - plastic cup , knife , fork , plate , ... - like Fast Food restaurant , finish breakfast , clean table , throw rubish plastic place setting away two big dustbin place nearby basket bread.- drunk bottle water minibar , want another bottle , wait next day , provision hotel . 
 Jul 26 2004 	 great hotel NYC 	 hotel greatly exceed expectation . underwent renovation wow , look wonderful . location great , staff great , room great . imagine anyone completely satisfy San Carlos . live work NYC year ago , miss city tremendously . definitely return San Carlos next visit NYC . thank wonderful stay . 
 Jul 8 2004 	 love 	 friend stay San Carlos four day summer . room puiblic area beautifully appoint . room microwave small refridgerator real plus . staff unfailingly polite , helpful available . desk arrange car take us airport . location excellent - able walk Broadway well Manhatten . look forward stay . 
 Jun 25 2004 	 Great Hotel NYC San Carlos Hotel 	 extensive searching internet , find perfect hotel first trip NYC . San Carlos Hotel locate great location , within walk distance theatre district , Times Square , Central Park Empire State Building . staff accomodate friendly room nicely appoint . sheet bed soft welcoming long day . restaurant hotel , many great choice within walking distance . thing would make hotel well city view continental breakfast improve variety ( get 9:00 bread ) comfort coziniess room make shortcoming . book , find good price hotel 's website . however , would booked week two early could get room $ 178 orbitz . 
 Jun 22 2004 	 another satisfied Guest 	 Dear Readers , wonderful time hotel March 2004 . first time NYC concierge absolutly wonderful . would actually draw path map , reccomend palce close shop etc . go beyond call duty . breakfast fine well . specify continental , buffet . ( response one reviewer ) location great well . 10 min walk TS.I definetly stay next time NYC 
 Jun 21 2004 	 Loved San Carlos 	 stay Saturday night San Carlos order visit daughter live NYC . entire hotel recently unwent total renovation do impeccable taste high quality . moderately - sized hotel ( 18 floor ) pleasingly intimate feel . employee nice lobby room extremely comfortable . location perfect we drawback hotel kitchen . room service involve neighborhood restaurant . complimentary breakfast first floor basic ( disappointing ) coffee , pastry , juice yogurt . alignment sophistication hotel otherwise exhibit , part worldwide Summit Hotel chain . space restaurant intend await tennant operate . would happily stay , can not call full - service hotel . 
 Jun 19 2004 	 Loved ! 	 go NYC husband two daughter . search high low hotel accomodate four . want good location decent size room . hotel excellent ! service great . would stay tomorrow could . highly recommend . 
 Jun 4 2004 	 Worked 	 need 1 bedroom suite , share japanese guest . review many , mean many , hotel decide San Carlos base favorable review . wonderful experience . good location , excellent staff . nicely appoint room . spacious , well keep . the book company use , also highly recommend hotel [ staff member stay ] . 
 Jun 3 2004 	 great week New York 	 great family hotel . share one bedroom suite two teenager everyone happy . enough room spread kitchenette great snack breakfast . service also terrific . entire property fresh clean . 
 may 24 2004 	 Plenty space 	 use tripadvisor research hotel nyc , good review lead san carlos hotel . book room family visit brother 's graduation . great experience . upgrade charge suite queen bed pull - out sofa . bed great pull - out sofa not comfortable . ask extra towel shampoo ask many . arrive quickly smile . aveda product good bathroom spacious clean . living area suite big roomy bedroom . staff pleasant front desk , bellhop , doorman housekeeping . would definitely stay . location also great subway access nearby , coffee shop , restaurant park next door . great place good price . 
 May 24 2004 	 ideal location property 	 ideal location , - able walk every one appointment . friendly hotel need business trip - free high speed internet , business centre ( basic 3 free pc . ) , microwave fridge & amp ; coffee machine room . room back onto light well - view quiet even window open great noisy New York . would choose quiet view . the breakfast comprehensive continental tho cereal would nice . good size room friendly helpful staff . 
 Apr 20 2004 	 thrilled hotel experience . 	 pick hotel family two sister ' family well . spend quite bit time research hotel web phone call San Carlos decide go . whole experience San Carlos wonderful . every interaction hotel , whether phone call prior stay , talk lobby speak one maid totally pleasant . everybody incredibly nice . example , call hotel come ask far away Bloomingdales Central Park . nice phone call obviously kind map could reference say far thing hotel . maid see we go room offer us towel . hotel beautiful great location . hotel walk Bloomingdales , central park zoo , St. Patrick 's cathedral Times Square easily . think decor hotel room classy room immaculate . everybody family impress hotel . be budget price $ 199 seem fair got . thing could improve continental breakfast since really not even include free breakfast decision stay consider pretty trivial . can not say enough good thing hotel ! 
 Apr 3 2004 	 great place family 	 ( mom , dad , two kid ) stay San Carlos four night . suite large New York standard -- living room full - sized sofa sleeper , small table chair , & quot ; kitchen & quot ; area microwave , refrigerator bar - sized sink . many small amenity unexpected -- instance , plate cutlery , many & quot ; suites & quot ; hotel provide . also , nice work desk free high - speed internet access , television set front video plug , make easy hook portable dvd player . staff accomodate . overall , extremely positive experience . 
 Mar 25 2004 	 Midtown Gem 	 San Carlos really impressive , overall damn good experience . decide stay base comment web site ( four night ) , think offer remark . room spacious clean promptly morning . staff professional courteous . small kitchen huge bonus , especially travel child ( sink , microwave , fridge , mini - bar ) . small portable crib room upon arrival . skip free breakfast ... much . din across street quick food decent . location ideal ... walk distance St. Patricks , Waldorf , 5th Ave . , Rockefeller Center . downside , rate quote change upon arrival . brief discussion manager , change rate one quote initially ... $ 199 per night plus tax $ 230 total . stay much expensive hotel NYC , none good . well worth . 
 Mar 21 2004 	 gem 	 stay hotel March 15 March 19/04 find excellent experience . room clean , well decorate spacious . 's large hotel personal service appreciate . the room make promptly day . leave note tip ask extra towel restock day stay without reminded . also always greet leave come back hotel . location great , walk 5th Ave shopping , Central Park , Broadway . etc . Breakfast include simple enough get start day . would definitely stay highly recommend other . 
 Feb 18 2004 	 wonderful Weekend Wonderful Hotel 	 long , informative review . boyfriend thoroughly enjoy Valentine 's day weekend thank San Carlos Hotel . book executive suite weekend special hotel 's website 2 - 3 week advance excited beautifully appoint newly renovate room . Friday , park car next hotel , check get upgrade one bedroom suite , quickly make way 14th floor ( 18 . ) walk amazed -- closet bar area leave bathroom ( full length mirror door ) right straight ahead living room new couch , chair , endtable , glass table ( magazine include ) 2 person eat area ( lovely bamboo plant decoration ! ) also entertainment center flat screen tv N64 control ( case ) next desk complimentary high speed internet access ( huge plus -- boyfriend bring laptop . ) door bedroom past bar area leave . bed queen size , not complain since mini - bar room ( adequately stock -- well bottled water ever , liquor / beer selection great ) well another flat screen tv , alarm / cd player , corby press pant , chair closet . bathroom not huge bathtub , definitely par ( sure make use bathrobe aveda product . ) also note separate air / heat control bedroom living room . suite beautifully decorate painting picture bedding / furniture modern yet homey feel . thought & quot ; kitchen & quot ; would ask much rent , want move ! settle , make use delivery menu . since restaurant hotel yet , supply 5 6 different type restaurant deliver -- japanese italian . order food piece cake bill get add hotel account . service hotel excellent -- promptly bring food along bucket ice , ask . also alot good on - demand movie choose , watch one later evening . Saturday morning wake ( maid knock -- take Disturb sign literally ) order breakfast , although also comlimentary continental breakfast 7 - 10 . leave suite doorman ready hail cab we . always greet come back hotel . check - out also breeze ask enjoy stay take care , . , fantastic time San Carlos . ' ve stay many hotel city , newly renovate gem east side rank # 1 list far , will definitely come back future . 
 Feb 17 2004 	 Valentines Day stay 
 Feb 13 2004 	 wonderful Stay 
 Feb 6 2004 	 beyond luxury 
 Dec 17 2003 	 love 
 Dec 4 2003 	 wonderful Great Location ! 
 Nov 17 2003 	 great weekend 
 Aug 11 2003 	 Awesome hotel ! ! ! ! 
 Mar 12 2002 	 Midtown Nightmare 
 Sep 9 2009 	 ideal 
 Aug 25 2009 	 Maravilloso 
 Aug 4 2009 	 muy recomendable ! ! 
 Jul 31 2009 	 Muy bueno 
 Jul 16 2009 	 Sorprendente 
 Mar 7 2009 	 se puede pedir mas 
 Jan 28 2009 	 De lo mejor de Nueva York en calidad / precio 
 Jan 16 2009 	 Un buen sitio en Manhattan 
 Dec 1 2008 	 Buen hotel situación excepcional 
 Nov 20 2008 	 Simplemente fantastico ! ! ! ! 
 Nov 13 2008 	 encantado 
 Nov 13 2008 	 excelente hotel 
 Sep 9 2008 	 Bell'hotel 
 Sep 5 2008 	 Buon rapporto qualità / prezzo ottima posizione bene anche per famiglie 
 Aug 22 2008 	 Excelente relacion precio calidad 
 Jul 27 2008 	 Luna de miel fantastica 
 Jun 30 2008 	 Buena eleccion 
 Jun 16 2008 	 Gutes Hotel - tolle preis-/leistungsverhältni 
 May 29 2008 	 Buen sitio para visitar New York 
 May 9 2008 	 Viaggio di nozze 
 Apr 6 2008 	 Merci Tripadvisor : l'hotel était parfait . 
 Mar 18 2008 	 Una luna de miel fabulosa 
 Mar 1 2008 	 Excelente hotel 
 Jan 14 2008 	 Mi hotel en NY para siempre 
 Jan 6 2008 	 Hotel migliorabile 
 Nov 13 2007 	 Albergo all'altezza dei voti che possiede 
 Jul 9 2007 	 ! Con mini cocina ! 
 Feb 11 2007 	 Encantado de conocer el hotel 
 Sep 2 2006 	 Un buen hotel - good hotel 
