great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Jul 15 2006 	 good location okay hotel 	 sister stay Hilton mid June 3 night . get hotel Priceline $ 68 / night ( plus tax fee ) , great deal . overall think okay hotel money . however , stay several Hilton hotel US Japan , opinion Hilton seem keep Hilton standard . arrive hotel around 11 am ( sister arrive late night ) tell room ready . receptionist say twin room would arranged we 3 pm . room arrange we 3 pm however room one double bed , 1st floor . room , guess , must one tiny room hotel condition horrible ; carpet dirty incomplete bed - making reveal mattress large stain . take photo room . call reception immediately ask twin room receptionist say twin room we would get ready half hour . able stay double room new room become ready , good . actually wait almost 2.5 hour tiny room finally get settle twin room . period time , find receptionist efficient , reliable , polite . call reception wait half hour tell room ready yet . receptionist say would call next half hour , though happen . call say porter way get key room , porter come ever . almost 5 pm decide call . another receptionist take call time , hang say one word , " Reception " , transfer housekeeping twice , hung . finally decide go pick key reception . lift , meet gentleman US say arrive go complain room use another guest . receptionist finally give key without word , eye - contact , anything , think impolite . ask would need porter . the twin room ( 5th floor ) much large clean double bed room . housekeeping service perfect ( e.g. , lotion one day , washcloth another day , tissue paper refill , etc . ) . concierge friendly , seem know much less touristy place . example , give we wrong direction southall need get help someone else find way Walthamstow . phone call room expensive ( e.g. , 2.5 pound /toll free call ) . Checkout go smoothly . like location hotel much . nice , quiet , non - touristy neighborhood . # 94 148 stop front hotel . from / to High Street Kensington , # 49 convenient , stop around corner hotel . Holland Park Shepherd ' Bush close . several cafe restaurant include indian , chinese , thai food restaurant , Starbucks , french pastry shop ( cake delicious ! ) TESCO locate hotel Holland Park tube station . many interesting small shop around Shepherd ' Bush tube station . 
 Jul 15 2006 	 Best Hilton long time . 	 stay late thursday night theatre stopover part husband birthday weekend read review worried expect . check check could not ask well service . definately make , little , problem cause Hilton stay elsewhere year . use HH point first time expect get poor end draw vas point stay get Executive Floor , nice clean room , outlook not matter time , quiet good breakfast fruit coffee Executive lounge . everyone helpful . use . thank London . do beware parking Hotel attach car park raise price website not need car outside door NCP car park top Morrisons Shepherds Bush -- 24 hour , 24hr security £ 10 day ( moment ) 5/6 min walk . 
 Jul 11 2006 	 Reasonable Business Hotel Charming Neighborhood 	 ' ve stay twice Hilton Kensington ( actually Holland Park ) past month generally enjoy . problem encounter occur checkin , consultation manager always resolve . stay refurbish room , one large american pattern typical London & quot ; single & quot ; , i.e. , double - bedded room small space . however , business hotel , never felt cramp . new decor simple , pleasant . hotel clean food , generally good . staff try accommodate customer able meet request ( none rock - star outlandish ) . typical London hotel , price breakfast abusive . number cafe area breakfast ( include full english breakfast ) much less . Shepard 's Bush Holland Park tube stop easy walk Notting Hill Gate tube 15 minute walk away . 
 Jul 10 2006 	 quiet clean room 	 hotel fine . normal sized room , euro standard . breakfast need variety . thing everyday . view roof top -- great . would stay . 
 Jul 5 2006 	 great 3 adult 3 boy 	 stay 3 teenage boy . one adult one room , 2 adult another 3 boy share third room . give we 3 double room next great . room bathroom spacious London standard air condition wonderful relief heat . stay 4 night . complaint 3rd bed not arrive late night ( midnight ) check 1 pm assure we would ready . call several time appear registration pjs 12:30am finally arrive ! ! ! next day another single bed arrive room single adult ! ) pay 74GBP per night room include taxis . that rate almost pay 2 star hotel happy . internet access 24hr bar lobby ( one pay ) . Breakfast include walk street & quot ; Tootsies & quot ; , fun little cafe way Holland Park station ( much nice walk one Shepherd 's Bush ... also Tesco 's grocery store near station want ) buy full cooked breakfast - important teenage boy never stop eating- 3 - 4gbp . much cheap full breakfast hotel 18GBP . overall , great stay may use next yearif get decent rate . caveat ; not expect super service . 
 Jun 29 2006 	 check bill carefully 	 stay hotel 6/11/06 6/17/06 . Overall be ok . air conditioner room not cool room enough first couple day temperature 80 's humid . troubling thing receive final bill day check , find hotel charge item mini - bar room not consume . remove charge confront clerk , feel not . not believe mistake hotel sister stay another room . please check bill carefully make sure item list indeed consume . say staff friendly compare stay Holland Germany . location hotel also good bus stop right front hotel , subway far away either . 
 Jun 24 2006 	 make sure get room 4th floor ! 	 husband arrive hotel late night give remain room , smoking room 3rd floor . turn smoke part least problem ! bathroom ( shower , tub ) deplorable ; dust / dirt / mold cake side minibar one air / light vent ; hallway outside dingy wear . absolute disgrace ! plus side , bed comfy . the next morning move 4th floor , floor renovate ( although appear renovation floor currently ) , room quite nice , consider Hilton standard . sure have floor , would hesitate stay hotel . otherwise , would look another option . 
 Jun 11 2006 	 ok go Exec Rooms option business 	 Ho hum another Hilton . be okay . notch Hilton Olympia road unavailable ( fully booked ) .good point : great range support service , clean . bad point : small room ( standard ) , one dreadful bath 3 foot long . bed bit lumpy , noisy aircon . helpful concierge book we two ' luxury ' car ferry client dinner - however - 5 year old cronky Mercs , ring next time . just liittle effort Bar would welcome . brightly light cafe type area devoid atmosphere . in hindsight wish have splash extra 20 30 quid go Executive room seem much much well also give all - day lounge option . be top floor also away external noise considerable . great little greek restaurant literally opposite hotel . in summary : job fine definitely go Exec room option . 
 Jun 8 2006 	 perfectly adequate 	 stay 2 day , not spend much time hotel . find adequate purpose . hotel nothing grievously wrong . ( ) small room clean neat , appear recently refurbish . 2 we , would bit tight space . plus side , bathroom plenty counter space , strange contrast main room , not even space put suitcase anywhere floor . location quite handy two tube station within easy walk : Holland Park Shepherd 's Bush . latter close two , walk to / from Holland Park far pleasant interesting . far hotel wonderful Holland Park , one London 's semi - hidden gem : wonder many hotel guest realize 's almost doorstep . two grumble : ( 1 ) in - room broadband internet service ( cost ludicrous amount money ) painfully slow - feel like dial - up broadband . ( 2 ) breakfast room , offer plenty variety , chaotic service hit - or - miss : one morning tea deliver right away , next morning ask twice . have happy stay . 
 may 23 2006 	 wonderful 	 husband stay two night Hilton London Kensington find perfect need London . mention post , within easy walk distance Holland Park tube station # 148 bus stop right outside door . quick cab ride Paddington Station ( approx 8 pound ) . wish sightseeing , Original London Sightseeing Tour bus ( great on - off tour ) pick right across street . hotel great neighborhood good cafe shop well quite close Kensington Palace attach park . the room small US standard usual London comfortable . breakfast buffet ( try get part package ) huge variety taste . staff polite pleasant . absolutely complaint whatsoever would stay . 
 may 12 2006 	 American Complaints 	 book hotel read review . read scared book flea pit angry staff did'nt speak english . I surpirse find hotel perfectly fine . clean comfortable friendly staff good service . live North America travel quite bit . hotel good Westin / Starwood Hilton hotel North America . yes , room small less tv channel Europe . a lot complaint Trip Advisor US traveller . fellow Americans concerned hotel different hotel back home stay home know familiar surrounding serve people look , sound think like do . far , believe complaint hotel mile tube station . unless 300 pound heart condition , Holland Park tube station ( central line ) 8 minute walk . sure would great tube stop basement hotel not . 8 minute walk much not travel first place . 
 May 11 2006 	 Lovely Hotel Leafy Avenue 	 return 4 night stay hotel . give recently refurbish room 4th floor find clean comfortable ( little small ) . staff friendly - Reception , Concierge , Bar area Restaurant . book Hilton Website & quot ; Spring Saver & quot ; offer , include dinner 1st 3rd night stay . dinner base Table d'hote menu lovely . wine etc expensive , London ! ! find bar - £ 3.75 pint £ 5.95 gin & amp ; tonic + £ 1.00 mixer ! ! ! ! ! ! ! ! however , seem price area . breakfast buffet style everything ! can not find something like , be fussy . the near tube station Holland Park - 10 min walk away . central line ( red ) easy use . alternatively , bus stop directly outside hotel . bus # 94 148 take Piccadilly Circus £ 1.50 . however , London traffic , slow . bar , shop restaurant nearby . take 20 - 25 min walk Notting Hill lot . 5 - 10 min walk Kensington Gardens / Palace . read lot review Trip Advisor hotel , bit apprehensive staying hotel , thankfully find stay enjoyable would definetly recommend . 
 May 10 2006 	 well 	 hotel cheap London will make travel cost near anything ( except Notting Hill - way bad neighborhood tell concierge ) . staff nice - say . otherwise bad Hilton ' ve ever . hallway smell musty carpet wear stain . room also smell badly - bathroom mildew urine . stain carpet , wall lampshade . AC / heater ineffectual room quite warm . room small - expect . stay another Hilton Edinburgh trip stun lovely . last trip London stay Hilton near Harrod 's also nice none issue . also - warn sheet bed . bottom sheet mattress , comforter pillow case . comforter smell cheap perfume ' m guess not change guest . 
 May 9 2006 	 need new manager 	 find sad hotel , clearly could much well , allow exist state . bad side , wait everything take fifteen minute check , food bland , expensive pretty basic , room small , dark ( not face front ) , lobby area need good clean ( bar ) often blow light bulb everything expensive need . good side far enough away central London crowded area , near enough thing accessible , coach route place like Oxford day trip easy , staff try hard good job . 
 May 5 2006 	 Average - ! 	 room initially give dark , tiny window , come ' balcony ' accord staff . balcony door permanently lock due health safety reason filthy anyway . ask change get much well room overall impression room urgent need essential updating , may fact happen , foyer obviously update . definitely great Hilton Kensington although see bad . 
 Apr 30 2006 	 terrible service 	 3 people stay , problem . 1 . assign room make , already trouble get smoking room , even though reserve one . turn plenty availble , person check either lazy ot incompetent figure out.2 . friend buy bottle water shop close . brand mini bar , 10th price . try charge even though mini bar one still there.3 . another collegue delay go arrive midnight . rang ask hold room - say problem . arrive room take end sleep something close janitor closet - not even bathroom ! ! try placate saying would not charge - generous ! service terrible hotel mediocre . 
 Apr 25 2006 	 pleasant stay indeed 	 first time stay Hilton Kensington , pleasantly surprised indeed . I arrive several hour early plan , go executive lounge see room available . not time , invite sit breakfast . small lounge , range food not quite good executive longe , greatly enjoy it . my room excellent , spotless nice . I particularly enjoy evening snack wine lounge ; food quality first class , rain stop could sit balcony . this one night stay , definitely return ! 
 Apr 23 2006 	 Great Hotel Great Location 	 stay hotel recently London stopover lovely surprise . great location right near Holland Park , High Street Kensington ( great shop ! ) , Notting Hill Oxford Street ( great shop ! ) . really great stay helpful , friendly staff especially concierge help plan sightseeing . new restaurant cut normal hotel restaurant cool decor . room well appointment faciltie great stay . nice view Royal Crescent garden really treat . would highly recommend hotel great value money property close everything could need London . 
 Apr 21 2006 	 expect Hilton hotel 	 expect well quality Hilton hotel : bathroom clean really strong smell bleach , room constantly cold , Room service slow blow light bulb room despite several report hotel staff change . would never stay hotel ! ! 
 Apr 20 2006 	 would recomend ! 	 book Hilton Kensington last minute must say little wary expect reading review leave here . however , find hotel ' quite find ' : situate quiet area minute walk away Holland Park station , tube ride away centre hotel room clean , spacious average twin room london price pay . hope return Hilton Kesington soon ! 
 Apr 9 2006 	 great budget 	 although see many complaint hotel TripAdvisor , think fantastic hotel budget . book $ 80 night Priceline stay friend April 2 April 7 , 2006 . 2nd floor twin room typically small oppressively . room look onto side street sleep window open never find noisy . floor pretty quiet well . would agree early post shower ; 5 ' 4 - good luck ! bus stop truly right across street Holland Park tube 10 minute away . Starbucks Tesco Express ( supermarket ) right next tube . also couple restaurant pub way tube well . original London Sightseeing Tour also stop right outside hotel . unlike early post , never feel unsafe neighborhood even night . couple night take cab Trafalgar Sq Oxford Street run we 11 pound . never problem hotel staff , always helpful . unbelievable weather - rain 1 day blue , sunny sky 2 full day ! ! would definitely stay . 
 Apr 5 2006 	 Awful Awful Property 	 Diamond vip Hilton Honors Program . stay many Hilton property domestic internationally . property rank bottom especially come service , courtesy , amenity . I property March 17 21 , 2006 . check , present voucher 3 free night pay 1 night . want check room use video checkout previous night - feature functional . decide go downstairs ( twice ) inform folk charge 4 night instead 1 night . gave wait 20 + minute line . day departure , point folk desk overcharge include charge drink use room bar . say would take care . still dispute charge hhonor vip customer service Credit Card Company . the room ( executive floor ) small two us maid service keep forget leave we toilet paper . eventually track grab couple tp last we stay . vip lounge tiny guest leave disgust . luckily , always find area sit . breakfast spread decent . bottom line - group desk downstair dysfunctional impossible get decent service . english forte . recommendation avoid property . know unless hear back HHonors Diamond vip desk . 
 Apr 3 2006 	 prepare wait everything 	 prepared wait spend 30 minute every single time need anything front house . 2 occasstion wait againt queue - occassion computer ask come back later giant queue , case send room 2 time row room key work . I leave 2 day 4 day reservation move different hotel sheer fustration . 
 Apr 2 2006 	 deliberate overbooking 	 book double room amex centurion . arrive reception queue snake around lobby check . gold card & quot ; member & quot ; direct check excecutive floor . another queue check - ROOM . hotel overbooke ! ! hour waste - messing around , wait queue Hilton make 's 100 % occupancy target . offer help book another hotel - nothing . one girl check - queue wait guest , leave - presumably management hide elsewhere . last TIME ever Hilton . ' ve get many customer ' m help never one . suggest other . 
 Mar 30 2006 	 awful experience move different hotel 	 suppose stay Hilton Kensington six night , leave three . stay prepaid take loss . treat disrespectfully staff feel unsafe hotel surround area . nothing near hotel see eat amenity within hotel minimal . room small old . we move Hilton Gatwick Airport wonderful ! 
 Mar 19 2006 	 great deal great hotel 	 pro : great bargain . not find location inconvenient . room also nice , not think small . able check 11:30 instead 3:00.cons : Breakfast overprice not good . neither service . not orange juice , glass . every time find something like , would not flavor next day . dinner restaurant service awful ! fiance also barely eat bite food . Maid service horrible first . maid either take throw contact lens case , twice ! manager replace first time , take replacement well , believe replace also . inconvenient though , not find ready go bed . take several hour get new one . 
 Mar 14 2006 	 really really good ! 	 get good deal priceline hotel 40 pound / night ! ! ! stay 3 night realy like ! except fact call Holland Park Hilton Sheperd 's Bush Hilton , ideal location London , beautifull avenue nice neighbourhood . 2 tube stop nearby bus stop front hotel , bus oxford circus every 5 minute 7 24 ! room 2042 , standard double room , rear view , comfortable bed pillow . bathroom small cozy , bathtub ceiling low . tall people bite inconvenient , water pressure fixture great . really recomend ! 
 Mar 9 2006 	 Excellent value 	 wife stay Kensington Hilton 2 5 March 2006 happy stay . despite user ' comment location hotel , would still say nothing wrong location , long not expect stay city centre London . in fact think extremely nice neighborhood wonderful 5 minute walk Holland Park tube station . also couple nice pub way , feel tempt come home long day city centre ... know restaurant undergo renovation work therefore breakfast serve japanese restaurant inside hotel problem , except bit crowd weekend . other user comment language skill hotel staff , something concern probably not come London ! large majority people work service sector London foreigner , never run anybody not speak least bit English . to sum ... Kensington Hilton good hotel , especially long not pay much , say , £ 80 per night ( incl . breakfast ) . 
 Mar 4 2006 	 great hotel ! 	 return 9 day London hotel . husband Hilton Gold member , give upgrade room . find really good hotel , especially price . pay 63 pound per night . gold member , could use executive lounge . really nice continental breakfast egg , cheese , yogurt , roll , toast , choice juice coffee / tea . great thing evening cocktail hour hot hor d'ouevre free wine cocktail ! actually dinner night since tired day London . I read negative comment hotel prepare bad . well , really nice . room small fine . guess complaint would tv station . have really like satellite tv , 6 foreign language station couple premium channel well local channel . big problem , though , enjoy watch BBC be there . overall , fine hotel , complaint unfounded , experience . people think far tube silly .... be five minute walk ! bus stop front door , like taxi , can not complain there . I would recommend hotel anyone . 
 Feb 28 2006 	 Hilton Gold vip good service 	 copy letter send help like customer service1.I call hotel ask near tube station . tell high street Kensington wrong pay yet another tube ticket get shepherd bush . 2.i put chocolate mini bar melting . get back mini bar lock staying room 4028 report front desk 9 pm tell system say minibar unlocked would let access . wake mini bar still fix . go front desk tell someone would come look . .I still wait person come look . still wait person turn . exec lounge see . call maintenance department say one would come look wait 60min go back room . minibar still fix . therefore , go front desk speak Shailesh say send someone change room 7013 . Jackson turn push button remote fix 5 min do 9 pm friday.3 . stay hotel comp breakfast exe room well able user exe lounge breakfast Saturday Sunday full . go pay breakfast else,4.I report front desk check tell get duty manager call cell phone still await call . I look become shareholder hotel second thought . I stay London metropol , service great , would think service Hilton hotel 
 Feb 22 2006 	 Great Value Large Rooms nice Hotel 	 get back 2 night Kensington Hilton buy Priceline $ 68 great buy worth lot more . I know hotel situate problem bus stop outside across road take Notting Hill Oxford st.5 min walk Holland Park tube central line . expensive restaurant Holland Park Burger ( Tooties ) Place . want quite location ok look hustle bustle immediately outside . Sherperds Bush 5 min leave Holland Park right everything else ( small ) bus tube ride away . hotel pretty grand $ 68 London hotel .great front staff , room real good size compare London hotel good size deed surprize , Clean , Bathroom , comfortable bed good experience would love stay two day free BA Paddington Court TINY . 
 Feb 2 2006 	 pretty awful 	 first thing hotel long way fashionable shopping area Kensington . be actually particularly attractive area Holland Park . say long way list place partner stay . foyer area dark uninvite first room give one upper floor obviously not use . bloodstain carpet crack tile bathroom . ask another room ok , nothing special . breakfast morning quite experience . direct bowels hotel long queue form ( outside breakfast room ! ) get . understand temporary arrangement main breakfast room refurbish , explain we really unacceptable . room ( eventually ) eat breakfast large conference room without window . staff seem completely overwork , often speak poor English , quality food certainly one would expect ( supposedly ) premier London hotel . especailly charge London price food drink . write Hilton customer service stay receive standard type response - guess must use it . do not think becuase 's Hilton hotel posh sound area 's necessarily go good . 
 Jan 23 2006 	 faceless hotel 	 stay London Kensington Hilton one night . stay hotel part package buy Eric Clapton concert Royal Albert Hall . this hotel character ! room old problem bathroom . nothing particular mention hotel mean average hotel ! far city center good facility polite staff . maybe stay package . anyway return London try avoid hotel . there well hotel town close center good price . 
 Jan 2 2006 	 wonderful service ...... 	 stay hotel 30th December 2nd January elderly parent . have originally find favourable rate use internet company include twin guest room foldaway bed breakfast . checking tell give complimentary room extra charge . room bathroom pristine good condition . bed extremely comfortable temperature control unit provide room . breakfast absolute treat - a huge selection food suit taste ! staff friendly attentive over - bearing . would hesitate recommend hotel friend family . bus ( 94 148 ) pass frequently stop outside hotel travel West end difficult . negative would slightly smoky lobby . 
 Nov 29 2005 	 Kensington Hilton great choice 	 return seven day London , spend four night Kensington Hilton Holland Park Ave . warn town way . true ! bus stop directly across street us tube stop block away . room spacious european standard , two restaurant choose . concierge desk helpful front desk . switch Hilton Mews one last night London -- mistake ! tiny room , old facility . one might call cozy , we cramp . locate right Park Lane , offer real advantage we . stay Kensington . next time will know . would recommend Kensington Hilton . 
 Nov 28 2005 	 3 day London 	 return home vacation Europe include 3 night stay Hilton Kensington . base quality room price pay priceline ( $ 75 US ) , satisifie stay . room clean , update modern . staff helpful ( much needed corkscrew deliver minute ! ) workout facility top notch . would wind cold day break steam sauna room . overall , great experience price . located quiet residential neighborhood access authentic pub restaurant , close Holland Hyde park . take # 94 # 148 bus nearly every major tourist attraction . 
 Nov 25 2005 	 Get Pay 	 stay Hilton Kensington Christmas spot Christmas shopping . location hotel good , short walk tube bus stop right outside hotel run 24 hour . good base see London journey city get bit tedious lot . the hotel bit tired . said pay 64 pound per night pay complaint . concerige helpful breakfast good . rest staff ok . cause complaint one occassion duty manager fantastic . send bottle wine room apology . tip - Ask room 5 floor refubishe . 
 Nov 7 2005 	 fantastic break - highly reccomende 	 book hotel check review site .... say rather worried ... book . hotel 8 min . walk Holland park tube ( get 94 148 ) bus drop right outside arrive hotel staff friendly helpful . room small ( expect London ) clean comfy ( good night sleep hotel ) food fantastic , breakfast set we day ... certainly intend go back London February child bother check hotel ... 
 Nov 4 2005 	 pretty good deal price 	 Booked hotel online ( 89 GBP ) , stay first time London 12 year ago , know get . neither disappoint pleasantly surprised . even though ' m Hilton Honors member , give refurbish room , find rather smallish twin - bed room adequate comfortable 5 - day stay . next time , bit assertive ask upgrade room . like place 's nice neighborhood ; walk street midnight make uncomfortable . tube stop less 10 - minute walk take past several & quot ; necessity & quot ; retail shop like small supermarket , deli , pharmacy , camera shop several nice restaurant . front desk staff exceptionally friendly helpful . bell staff greet we every time walk . eat bar restaurant always rush get theatre . not care overwhelming odor smoke bar second enter front door ... England non - smoking accommodation yet norm . hope ( rest Europe ) catch we soon ! overall , decent lodging experience . come back . 
 oct 22 2005 	 Excellent experience 	 locate nice residential area , hotel pleasant surprise . stay 8 day newly renovate room - very comfortable although little cramp . bus stop directly door feel comfortable walking everywhere night . excellent experience . 
 Oct 14 2005 	 Awesome Value US $ 70 ! 	 stay hotel 2 night begin Oct. get deal Priceline . US $ 70 , absolutely complain . hotel look date room clean , double bed comfy , front desk staff friendly , concierge staff extremely helpful . hotel 8 min walk away Holland Park tube station . be much around hotel except Tesco ( supermarket ) 10 min walk away . 
 Oct 8 2005 	 great stay 	 comment value stay use point . our five day stay start shaky since room give obviously single luggage ; could move except go bed . we give new room next day adequate . staff always friendly courteous , especially concierge . location ideal anybody tour ; bus stop outside take tube stop aboidut seven - ten minute walk appreciate long day tour own . we eat restaurant look appealing . eat & quot ; bar & quot ; area staff agaion helpful courteous . there number restaurant way tube stop tend try eat conserve precious pound . I would reommend hotel without reservation say equal four star Hiltons stay States . 
 Sep 28 2005 	 Great Hotel 	 read bad review hotel nervous stay September . enrol Hilton Honors Club one week go send email hotel club number . husband arrive already Hilton Honors club number put we executive floor ( 7 ) . entitle we continental breakfast , evening drink ( wine , beer , mixed drink , water , juice coke ) snack executive lounge . come handy book website prepay good price not include breakfast . room large compare room Paris . not great view since not spend much time room not care . also several bottle water leave we room charge also replace every day . front desk inform complete renevation noise stay . arrive safe not work not iron . way around 12:00 noon tell front desk return safe fix iron . tell staff use close tube station ( Shepards 's Bush ) use Holland Park station 4 block street . absolutely complaint hotel would stay . 
 Sep 26 2005 	 Overall Nice Stay 	 stay 1 night August . read review book ask refurbish room . overall nice although £ 15 Wifi room bit excessive . restaurant good . overall good . please aware baggage fair walk either Shepherds Bush tube Holland Park , take cab . 
 Sep 25 2005 	 unsatisfactory 	 price room , around $ 200 thing recommend hotel . room small , one minuscule closet could barely accomodate 2 suite . the bath room cramp high tub , tall 6 ' may need stoop . carpeting stain inside outside room , wall dingy . safe room , big inconvenience . tv grainy image easily hear toilet flush adjacent room . breakfast buffet costly limited selection mediocre quality . 
 Sep 25 2005 	 good value 	 good value hotel , little away tube , short bus ride High Street Ken . 
 Aug 10 2005 	 great reno complete 	 husband stay Hilton Kensington 6 night July . first impression walk hotel nice . main floor AM / PM Lounge , large restaurant small tuck shop . also door direct access asian restaurant . arrive early day , fly Toronto pleased learn could room right away . unfortunately , first room awful . furnishing wear date bathroom see well time - shower also ridiculously low ceiling husband keep neck bent shower ! lay much needed nap drilling start - right we . appear renovate 1 - 2 entire floor 's noisy . ask long drilling would last say every day 9 am 5 pm . ask change room next room nicer - already refurbish generally clean fresher - proper shower ! unfortunately , drill noise still loud move executive room . room appear floor renovate much quieter - not experience construction noise . executive room large standard room , lovely furnishing duvet . bathroom marble ceiling room even 3 phone . small bar area door complimentary coffee , tea bottled water . able use executive lounge , course , 's renovation - convert part rear lobby lounge executive lounge afternoon , never around enjoy complimentary drink anyway . neighbourhood hotel locate , love . buy 1 week tube pass zone 1 - 2 hop tube get anywhere - forget bus - traffic bad traffic forever . Holland Park metro station 2 bus stop hotel , really 7 10 minute walk along Holland Park Ave . 's nice walk great little shop , restaurant expensive flat townhouse . be really nice , quiet neighbourhood actually enjoy spend evening close heart city - busy spot like Leicester Sq . , find staff service hotel top notch . address concern noise room happy . concierge service also excellent . grant , warn Hilton website massive renovation . would however definately recommend hotel friend family would stay - hopefully construction finish . 
 Aug 2 2005 	 Awful Hotel - leave well alone ! ! 	 hotel really Kensington - even taxi driver agree point - mislead Hilton Hotels call Kensington - cost £ 20 way get Strand Taxi ! ! book exec room access exec lounge - arrival tell close due fire least month ago ! ! nobody mention book room - mention web sitethe room horrible - suppose newly refurbish executive small - small even cabin ship ! would call refurbish ! change room three time tiny roomsthe bad thing hotel undergo major refurbishment badly need - mention web site book hotel - bang drilling non stop day first thing morning ! ! would call transient hotel use aircraft crew main reception area restaurant drab unwelcome - expect Hilton GroupIt take many many phone call Hilton even get room change refuse change hotel despite problem - namely build work lack exec lounge book ! short would not recommend hotel 
 Jul 17 2005 	 really Kensington 	 read several good review book Priceline . however , disappoint upon arrival . stand line time check - in 11:00 p.m . arrive room , next elevator single . go back downstairs stand line get double room reserve . room small worn . sure consider Kensington location . get Harrods hotel cost 15 pound . internet connection work room , although send service guy , could fix . say , would pretty upset pay normal price , luckily get $ 110 / night Priceline . 
 Jun 14 2005 	 tiny noisy ' executive ' room ! 	 Diamond Honors member give ' executive ' room 6th floor . however room turn tiny ' double ' bed small . decor room OK bathroom tacky plastic toilet seat black marble cladding . look straight 80 's . hotel quite noisy eventually manage drift wake 5:00am mini - bar make extremely loud buzzing / vibrate sound . clearly faulty take half hour cut power unit . time fully awake resign un - plan early start day . also pay £ 17 use car - park measly 10 hour . I think myth surround Hilton hotel quality . stay many whole chain pretty average rare selection extremely high class hotel large number average hotel . 
