reasonable 	 boyfriend occasionally go city small get away . first time stay comfort inn . price reasonable service horrible , guy front desk look like not know . disappointed & quot ; city view & quot ; see window another building room small , lot space we put belonging . light break . overall room rather clean.i would advise couple want spend anniversary . would spend money stay hotel instead . parking lot small hard move vehicle , reasonably price . 26 dollar . pretty cheap parking city . 
 Apr 30 2005 	 Decent hotel 	 stay 4 night March . find hotel location good , 15 min walk Pier 39 area , along flatter route around bay . close windy part Lombard St also . small mix booking - request 2 queen room internet travel agent ( guarenteed ) arrive find one bed king booking . take one night hotel staff able swap 2 bed room 3 . room quite small ok really , clean enough quite quiet . Breakfast ok , fairly decent selection food busy use plastic cutlery . rate reasonable would consider . 
 Apr 7 2005 	 generally great hotel nice location . 	 stay hotel March 30th April 5th 2005 . good overall excellent value money . location excellent ; three ( steep ) block cable car , 10 minute walk Fisherman 's Wharf bus stop one block road . the staff helpful , room clean comfortable . agree others fan bathroom would helpful . fortunately , lucky parking two night car - manage find space , tight can not 30 space ( bad hotel 138 room ) . also , may find wait 3 minute one two lift go floor , become tedious 6 night . the breakfast good , good , free ' m complain ! plastic cutlery joke breakfast room get busy around 8 am , still solid selection tasty food ( toast , muffin , bagel , cereal , coffee , juice etc ) would recommend Comfort Inn Bay anyone stay San Francisco . not luxury , not budget either . staff friendly efficient good hotel , comfortable convenient base explore city . 
 Mar 30 2005 	 Hotel Good ... Parking Poor 	 stay 3/23 - 24/05 . room clean , bed comfortable , blow dryer poor , fan need bathroom , great view ( 10th fl . ) , location excellent . would definantly book . Parking & quot ; opportunity & quot ; . garage space amount room hotel ( $ 20 nightly fee ) , therefore luck space , may lose venturing evening . site within walking distance . inquire program follow return & quot ; space & quot ; & amp ; tell would find spot street ( yea 's & quot ; real easy & quot ; ) course would add parking fee night . overall enjoy stay . plan eat breakfast somewhere else though ... not even danishe mini muffin , bagel , toast , english muffin . may recommend quick sandwich ... go Viking Sub Shop across street . excellent subs ! forget italian restaurant next ( believe call Lombard Cafe Inn ) . Smell take appetite away . recommend staff ... believe , could eat real bad cold ! also must stop Crepe stand Pier 39 ( around shop ) 1st level ... die ... recommend & quot ; Jammin & quot ; . 
 Mar 25 2005 	 Horrible recommend 	 arrive hotel hope great trip San Francisco , however , quite disappointed . many thing wrong room question much willing spend stay establishment . thing wrong : bathroom door lock lock , bathroom fan someone would take shower mirror stay fogged , furniture chip , size television resemble size computer monitor . quite pleased comfort inn 's stay choose stay comfort inn san francisco . least hotel recently remodel staff friendly . 
 Mar 25 2005 	 definitely stay hotel 	 decide stay comfort inn disappoint stay one . staff friendly upon check ask need direction get anywhere , need San Francisco big difference Bakersfield . pleased room seem new . parking free property , unlike property charge we $ 20.00 . one employee give we suggestion walk block half catch bus Fisherman 's Wharf would not worry find , helpful . big plus non - smoking room nice hate reserve non - smoking room stick room cover smoke . also nice King bed . also free high speed internet access could get work do daughter could keep touch friend . please particular Comfort Inn stay summer . 
 Feb 15 2005 	 amazing ! 	 hotel incredible ! exterior hotel look like would expect Comfort Inn , 's end . lobby immaculate , staff smile friendly always quick offer service . furnishing appear new lobby , hallway , guestroom . the hotel locate busy street make public transportation convenient . multiple bus line stop within block hotel connection bus , streetcar , cablecar , train simple . be cab - taker , not call ahead . step door wave one ( be much fast way ) . Fisherman 's Wharf within easy walk distance . Lombard Street ( world 's crooked street ) four block away , be uphill way climb would challenge mountain goat . good , hotel touristy path . surround area almost entirely residential , be clean , safe , quiet ( slightly less expensive touristy area ) .I really amazed size comfort guestroom . even room one double - sized bed two chair table room spare . plenty dresser space lot hangar , . unless open window , would never know city - quiet . noise ever hear hallway people talk directly front door . step away soda / ice machine never even hear . not view bay , not important . understand , be worth pay be kind thing . bed comfortable . housekeeping attentive - could not find anything miss . bathroom really cool light fixture : flip switch , light goes dim bright gradually automatically . helpful avoid blind make midnight run . curve shower curtain bar make shower feel big keep rub curtain be shower . there 11 floor two elevator . quick , clean , spacious . pass front desk get elevator , not check see be guest . anyone walk street access guest floor , follow standard safety precaution . security guard work overnight addition regular staff . regularly take public transportation walk street around hotel hour night . neighborhood seem safe well light . say certainty guy easy job town . be nice 's , certainly not much keep busy , except maybe newspaper . somehow , place 2 star . amazing ! have foolish spend money facility service another hotel . will definitely stay next trip San Francisco ! 
 Jan 22 2005 	 thrilled ! 	 stay 3 night January thrilled choice . location hotel excellent , close public transport downtown 10 min walk Fishermans wharf cable street car . three people group comfortable . problem noise anything else , heating / cool efficient , staff helpful , breakfast substantial , thing could improve fridge room ice machine hall not problem . suggestion get great rate shop around web check trip advisor often review . would certainly stay recommend friend family ! 
 Dec 23 2004 	 wonderful wonderful Guy ! 	 ' m travel agent UK - 2 client choose Comfort Inn Bay part round - the - world honeymoon trip base review site reserach . relative think would nice get bottle champagne Christmas Day - sale manager hotel , Mr. Cruz , spend time buy champagne arrange place guest make Christmas extra special . try similar request 5 star plus property ( shall remain nameless ) tell 's possible . get level dedication service like exceptional 's indicative rest hotel must one amazing place . 
 Dec 14 2004 	 great location 	 stay Nov 19 & amp ; 20th , 2004 . great room view Golden Gate . Booked Comfort Inn web site & amp ; get manager rate $ 89 / night ! ! ! room spacious , clean & amp ; well appoint . Breakfast include & amp ; great start day sightseeing . neighbourhood quiet & amp ; safe , location central many beautiful city ' attraction . would definitely recommend establishment other & amp ; stay opportunity return trip present . 
 Dec 14 2004 	 great location ! 	 great location+++about 5 10 minute walk Fisherman 's wharf+++wonderful Bay view+++helpful stuff+++very clean room , little bit cold night ( heating system not work well ) + + + various breakfast+++small bathroom+++very small parking place ( be exciting try big car ! ) + + + for little money really recommend ! 
 Dec 13 2004 	 Good Location 	 Nice hotel , find good room change couple time , away lifts ice machine . bad location , plenty bus short 10min walk water front . early get good car park , small space difficult move vehicle around . would stay . 
 Nov 16 2004 	 Great Location 	 stay hotel November 13th-15th 2004 ..... great hotel .... good value .... great staff ... close everything ... walk Fishermam 's Wharf .... bus cable car close city area . heater break stafff repair right away . would stay . 
 Oct 17 2004 	 reasonable Price - Million Dollar View 	 spend past weekend Comfort Inn Bay . find reasonably price hotel convenient location make even well fact staff strike like lot downtown hotel . easy safe walk Bay area attraction . continental breakfast provide real plus . top floor room find Bridge / Bay view fantastic . complaint would traffic noise understandable corner Van Ness Lombard . overall pleased would stay . 
 Oct 8 2004 	 good value 	 stay 3 night first trip San Francisco Sept 2004 happy choice . luxurious , well keep hotel friendly , helpful staff . good value ( reasonable breakfast include ) . reasonable location - 15 min easy walk/ $ 6 taxi Fishermans Wharf . probably worth extra bay / bridge view room . friendly bar across Lombard St , not bother italian restaurant . - well walk Cannery area / Fishermans Wharf . 
 Oct 2 2004 	 Great Place ! ! ! 	 wife 4 year old daughter stay Comfort Inn three night last week August . during stay find staff accomodative courteous . breakfast , although limited selection , good plenty food . room clean problem . it centrally locate toue downtown San Fran . 
 Sep 8 2004 	 Comfort Inn - tourist class hotel 	 Read negative review Comfort Inn think really unfair . stay week last October find satisfactory . middle class tourist grade hotel . room well look , staff nice buffet breakfast provide morning dining area free room reservation . hotel high level , full service hotel room rate reasonable . someone want full service , bag carry , etc . go high grade hotel . would like go hostel expect room service . find location wonderful , five block Ghierdelli Square Fisherman 's Wharf , within one block bus line downtown , chinatown wharf area want ride . thing 's problem parking . arrange free room package , physical area underground parking small , turn close design large vehicle . not problem , van , etc . . basically good hotel would recommend anyone look add - ons available luxurious hotel . find good value money city famous high hotel / housing rate - even well season . 
 Sep 3 2004 	 horrible horrible service ! 	 book suite since travel 2 child need run space . first problem inquire get refrigerator room . ( note : standard room refrigerator , suite . ... ? ! ? ) need medication daughter milk son ( infant ) . unable accomodate . insulin - dependant person much adult life , never problem get mini - fridge hotel room ever stay in . the second nail coffin try go sleep first night - 2 pillow provide king bed ( 3 ) none queen sleeper . call tell would come front desk get pillow . ( , guest , come retrieve something forgot ? ) get front desk speak someone else phone incredulous never hear fact extra pillow keep drawer room . ( stay hotel extrememly often never see - extra pillow always provide shelf closet . ) go back upstairs front desk ( without pillow ) check room . one extra pillow . need minimum two . call back . sorry , will come get extra pillow . tick . ! tell send continue get catty catty fact would send . hang they . to make long story long , service establishment . something major come night , would ? staff unhelpful ( downright rude ) customer never right . avoid ! 
 Sep 2 2004 	 good value money 	 stay hotel 4 night August 2004.Nice hotel , arrival upgrade suite , spacious room bedroom , clean well maintain . view golden great bridge room . good location Fishermans wharf . traffic noise street , little troublesome time . only complaint hotel stair , time would prefer use stair rather wait one two lift . adequate complimentary breakfast . good value money . 
 Aug 15 2004 	 amazing view : book top floor ! 	 spectacular top floor view Golden Gate Bridge Bay . great central location . family room car . breakfast satisfactory . cheap San Fransisco expensive . 
 Aug 11 2004 	 nice stay San Francisco 	 stay Comfort Inn Bay couple night late July 2004 . room nice , top floor great view city Golden Gate bridge . location strong point , within walk distance Fisherman 's Wharf cable car line . problem parking situation . garage small hotel size , individual parking space small well , be $ 20 per day parking fee . be pick return rental car SF , think whether really need stay - may worth expense hassle . 
 Jul 20 2004 	 great location ! 	 husband spend two night Comfort Inn Bay July 12 13 , 2004 . friend work recommend reading review Tripadvisor decide give try . please hotel ! double queen bed room 6th floor great view bay Golden Gate Bridge . room immaculately clean , hotel well keep hotel service wonderful . need car easy five minute walk Fisherman 's Wharf couple block cable car . bus pick right outside hotel Van Ness . negative thing stay bay view side hotel little street noise busy intersection Lombard Van Ness . not enough interfere sleep air conditioning running could not hear noise . would stop we stay view bay worth side hotel . breakfast good always plenty food . hotel swimming pool , gym , etc . , not need thing ... see San Francisco ! want clean , safe feeling area stay tour city . would problem stay . 
 Jun 23 2004 	 great experience Comfort Inn Bay ! 	 boyfriend spend 4 night Comfort Inn Bay Memorial Day weekend ( May 29 - June 2 , 2004 ) thrill experience ! slightly nervous arrival , since book hotel sight unseen . luckily nothing worry ! hotel seem newly renovate clean comfortable . hotel EXCELLENT location - 's close lot different sightseeing area . not stay want lot frill ; want clean , cozy room hot shower every morning start sightseeing ... perfect spot ! hotel staff courteous helpful definitely plan stay next trip city bay ! 
 Jun 20 2004 	 good location good deal . 	 arrive 10.30pm 18 hour journey UK . desk clerk expect we even greet name . check quick without problem . the hotel five minute walk waterfront 10 minute cable car terminus . the hotel quiet feel safe . we room city side one queen bed . room recently decorate ' Sealy ' bed look month old comfortable . room small adequate . room bay side large two bed . continental breakfast basic include price . cereal , toast , bagel , fruit , juice coffe choose from . beware parking charge $ 17 per day . we would stay agian perhaps choose large room . 
 Jun 14 2004 	 horrible hotel ! 	 disappoint hotel . feel safe staying well hear hotel chain thinking would leave much chance . front desk staff impersonal impatient question . room smell , cable tv , pillow bed size piece toast , flat . shower screamed groaned turn practically water pressure . pop machine completely empty . apparently Comfort Inn number . absolutely comfort make stay hotel fun relax . go San Fran stay somewhere else ! ! 
 May 4 2004 	 ' Great Comfort ' Comfort Inn 	 stay Comfort Inn Bay April 9/04 arrive 11:30 pm , 10 hour travel dayour body 's still East Coast time feel like 3:30 . check fast friendly service . front desk give we complementary parking , high school choir staying night , cause little congestion elevator , kid busy visit around hotel , fun . she tell we midnight curfew , two minute 12 would not know hotel . room clean recently renovate . find hotel quiet get great night sleep . next morning walk fisherman 's Wharf , around water front checking . would stay would highly reccomend property friend . 
 Apr 15 2004 	 great place stay 	 impressed since hear expensive stay SF . room comfortable well , CLEAN . get good rate internet hotel close alot thing want see . would stay recommend friend . thank ! 
 Apr 10 2004 	 Perfect location view 
 Mar 15 2004 	 Great Hotel 
 Feb 3 2004 	 good great 
 Nov 17 2003 	 well average 
 Nov 14 2003 	 great location great price 
 Oct 23 2003 	 one - night stay would return 
 Aug 31 2003 	 Excellent Location 
 Aug 27 2003 	 great place stay 
 May 19 2003 	 value money 
 May 15 2003 	 great location 
 Oct 12 2009 	 pratique ! 
 Oct 7 2009 	 speravo meglio 
 Aug 9 2009 	 Très bon hôtel 
 Sep 10 2008 	 Bon hôtel et super accueil 
 Aug 21 2008 	 Ottima posizione 
 Jul 19 2008 	 Hotel guter Lage zu fisherman´ Wharf 
 Dec 28 2007 	 hotel Comfort inn Bay : ottima esperienza 
 Nov 22 2007 	 Très bon hotel dans sa catégorie 
 Feb 27 2007 	 bon rapport qualite / prix 
