room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Aug 13 2007 	 Shady employee 	 extremely disappointed stay . first hostess behave favor check . husband stay Thirty Thirty way country 3 - week vacation . three large suitcase , none staff offer assist we . see several bellman stand around , one help we . stay W , Westin upscale hotel city well Best Westerns midlevel hotel understand get pay . fair clean good enough ' intend spend much time room . however never stay . one bellman offer arrange car take we airport take $ 10 & quot ; deposit & quot ; we order secure car , tell we would $ 60 . also accept tip husband arrange service . car come would fine driver not show young child . husband squeeze back seat huge suitcase lean top we . get airport driver tell we owe $ 60 . tell $ 10 deposit say know nothing deposit . irritated . bunch shady , dishonest people work . type experience would expect third world country . New York City . look save money ' want get cheat keep look . 
 Aug 12 2007 	 Basic Stay 	 visit New York short break boyfriend . thirty Thirty Hotel simply basic , clean hotel sleep good much else . spend time hotel / room , lack facility & amp ; attractive interior make difference we , although wall view room not exactly great . double room pretty basic , nothing fancy , also quite small . however include double bed , huge tv ( big room ) coffee machine , sink & amp ; shower room , can not remember air con . would say probably bit pricey get . small bar & amp ; be pretty much . comment food offer not eat hotel . location probably good feature , walk distance Empire State building & amp ; quite central attraction short taxi ride . 
 Aug 11 2007 	 love hotel booking agency 	 book room newyorkcity.com ( bad IDEA ) recovery tax surcharge alone almost price room , whop $ 146.64 two night , recovery price think jaw drop floor . highly deceptive opinion spell front much recovery charge taxis would . would recommend book anyone . hotel safe area near subway line Penn Station . long walk Penn Station dooable minimal luggage . hotel staff exceptional answering question get New York City interest . would definately stay book another site deal directly hotel . nice hotel , great location , lot good place eat nearby . 
 Aug 4 2007 	 great find ! 	 room 30 - 30 bit small not go NY stay room . experience great night rest comfortable bed nice hot shower every evening every morning . restaurant lobby serve tasty meal nice cool Mojitos ! want town 10 - 12 hour . bathroom counter space make iron board -- -worke great ! guess complaint would lack coffee pot room , really lot great little coffee shop right outside front hotel sit read paper ( deliver morning ) watch people street walk -- -around corner 5th Ave . staff friendly ( NY standard ) accommodate need request . , need bed shower -- -- - 30 - 30 fit bill perfectly . oh , location quite thick thing nearby short cab ride . would stay . 
 Aug 1 2007 	 great location comfortable clean go back 2 week later 	 surprised bad review read . want basic comfortable hotel good location start tour east coast . Hotel Thirty Thirty exactly want location even well hope . stay one night single room , book twin room two week later . I book single & quot ; petite & quot ; room online pay $ 139 one night . lot review say room small , room single bed , bedside table bag , clean , cool ( great july ) bed comfortable . bathroom small ( basin , toilet shower cubicle ) functional fully tile grey slate make feel almost luxurious ! room look court yard area quiet , also bonus NYC.I please hotel book another night friend end tour ( $ 250 ) . room smallish ( two single bed , two arm chair , small desk tv cabinet ) bathroom clean , bright bathtub well shower . toilet block soon arrive maintenance guy came fix within 10 minuste us reporting problem . friend book another night check single room 10 am problem . the location execellent ; block Empire State Building subway , deli reasonable restaurant around food refreshment . I would hesitate reccommend hotel friend even use business purpose . 
 Jul 28 2007 	 incorrectly bill room personal credit card corporate card 	 quite apart disgusting state call room , one book small could touch wall arm stretch single child size bed boot ... heck , 5'10 235lbs ... stay booked , corporate card supply validate fax confirmation pay room ... check , request another card & quot ; Incidentals & quot ; ... supply personal low limt card , know full well , go charge anything room . check , delay check excessive , due minimal staffing duty ... time 8.30am maybe early everyone work ? .The staff incorrectly bill room personal low limit card , proceed telling could not reverse charge , general manager . two week later , charge still reverse , card maxe due error , add insut injury , card issuer penalise go limit card .... 3030 HOTEL NYC garbage hall , filthy room , tiny bed miniscule sized room , ignorant error prone staff .... favour give one big miss ... 
 Jul 20 2007 	 Hotel Hell 	 well , company book know anything , hope nice & quot ; boutique & quot ; hotel . Motel 6 would giant leap forward compare . lobby innocent enough . first room mark scratch , gouge wall door , etc . small closet small bed small window aircondiitioner unit 1960 's look constuction site 25 ft away . dark clautrophobic begin hyperventilate . give room tiny bit large ( without window a / c ) like first bed spread , bed skirt ( show old soiled looking boxspring ) , towel bath , stuff toilet . say , even maid ( v.nice ) appal come try correct . manage stay one night help sleep pill make escape next . could not even use shower - the place give creep . many inexpensive option NY - dont bother one . 
 Jul 14 2007 	 good value 	 great location - could walk get subway everywhere want go . could not swing cat room want swing cat be New York - hotel room somewhere sleep . bed linen duvet excellent . bed really comfortable . housekeeper friendly helpful , valet . Front Desk little inconsistent range unhelpful little surly extremely helpful . Zana , restaurant attach hotel , lifesaver busy day New York . food , cocktail , wine service good reasonable price . not see room be business traveller check will desk chair . two twin bed . overall , good value location provide be expect spend much time room . 
 Jul 12 2007 	 Downright creepy 	 stay hotel business trip - travel NYC frequently business . pay $ 295 plus taxis room . I feel like surreal movie set hotel . staff friendly , mention , rude . doorman watch struggle stair ( ramp ) bag not even hold door , could deal . large room 12th floor obviously update . bathroom look fine - real complaint lack adequate lighting - fairly tough put makeup business meeting dark - ok.close elevator floor someone 's personal room - not seem AC door prop open umbrella . content room filthy - also piece paper tape door say disturb keep quiet . bizarre . the quite stark chair stain . ugh . also meet old lady seem live place . this good business hotel . restaurant not even open 8 , normal breakfast meeting question . as frequent visitor city , would definitely recommend look elsewhere . 
 Jul 9 2007 	 's location 's good feature 	 say location everything hotel certainly . would read review book dubious , however sis stay find fine book recommendation . immediate area not salubrious , scaffold lot building , however , noise not problem . hotel lobby vast , unwelcome staff fine , would call overly friendly , businesslike . room standard one tiny , barely room hang clothe suitcase floor make walk around little tricky . however , clean , bed comfortable bathroom adequate , not go New York stay room basically fine . restaurant adjoin hotel disappointment , eat first night , tired trek around anything else . food poor good value money . sit Crooked Knife across road night drink bed , nice little place chill end day . all , bad hotel , great one either , want hotel clean room , comfortable bed really great location thirty thirty fit bill . would certainly stay . 
 Jul 5 2007 	 Loved ! 	 stay Thirty Thirty hotel begin June . friend book Expedia website . admit read review , worried make right decision choose hotel . say LOVED ! greet warm , friendly staff make we feel home welcome . location fantastic - round corner Empire State building , attraction within walking distance . bar actually hotel , pop across road bar call Crooked Knife couple evening make friend local . honestly say friend never see bad thing mention review - find hotel clean , modern ideal we . however , would recommend stay , go upgrade get queen size room rather twin - room spacious - great store shopping bag ! ! sum , would recommend hotel anyone - can not wait go back next year ! ! ! 
 Jul 1 2007 	 reccomende 	 reluctantly read previous review hotel make booking convinced would bad - wrong . arrive Thirty Thirty 9 pm Friday night travel around America 3 week stay various price hotel think idea expect . first impression bell man let door go face whilst struggle case , arrogance front desk clerk , neither welcome pleasant . ask ashtray go smoking room ( naive think one would already ? ! ) 10 pm 11.30 - stillhad not arrive next morning . question kitchen room ( practically next one bed ) advise mistake allocate room without - pack case allocate different room return day - possibly small room world . sneeze toilet risk fracturingyour skull sink . Hairdryer not work , electric - socket hang wall . want make fuss leave stay night thinking would put . middle night toilet start flush every 3 minute air conditioning start rev like motorbike . allocatedour third room bathroom big naturallight room back onto courtyard adjacant building . the socket still hang wall could not get shower work luckily bath . give end stay room last 2 night . ' ve never complain hotel room life definitely always choose easy life moan thing would warn anyone book hotel . location good be seriously outweigh numerous bad point . plently hotel surround street similar price opt . hotel lobby deceptive quite impressivebut change enter whichever room unlucky enough allocate . like people state , stay range hotel budget motel 5 * complex expect least clean , functioning , safe room whatever ' m pay - Thirty Thirty ! 
 Jun 29 2007 	 great location spacious executive king room NYC 	 have see several review say hotel dirty , etc , not find true . executive king room almost suite separate sit area w / desk , tv & amp ; sleeper sofa . bathroom quite spacious ( although large shower ) modern decor . bed firm , nice white linen , lot fluffy towel ( except last night stay maid apparently accidentally lock bathroom finish restock ) . negative : first day hallway reeked cigarette smoke ( true later day ) , dark tile dim light bathroom make impossible put makeup , maid service not clean coffee maker 4 day restock coffee . staff helpful couple time ask anything . except early morning construction go build next door , room quiet well - insulate traffic noise . good feature hotel location : lot excellent restaurant within 3 block radius , subway 1 block away , short walk Madison Sq . Park , Empire St. Building lot . definitely plan stay take family . 
 Jun 14 2007 	 Good Location .. 	 mention often , location big plus . room okay , clean . see old lady 7th floor , bit scary . do not speak ( stare ! ) even say hello . staff , ignorant . except Croatian Girl , friendly warm . but would not recommend place anyone . I m sure well hotel pricerange ! 
 Jun 9 2007 	 terrible staff ... 	 Mmmmm , 30 - 30 hotel . well ad 's say & quot ; exactly say tin & quot ; nothing more . good point location , probably good point ! . five minute walk Times Sq two minute Empire State Building . bad point , would mention ( like reviewer ) staff . ' ve never meet unfriendly staff anywhere world . receptionist unfriendly , cold & amp ; unwelcome despite warm & quot ; Good Afternoon , great & quot ; son . ask various tour 's , taxi 's , place interest 's close hotel meet look ' WTF bother ? ' . thing not get well go tiny , SMELLY room . mean , small , mean hotel room imaginable , safe work free . the hotel small , dull poorly stock bar . stay ( Feb 2006 ) serve friendly croatian girl give we laugh good pointer NYC.If look hotel good location someone get sleep day 's tour 30 - 3o job . room stay dog box , not expect friendly staff even half friendly hotel . arrive , see NYC go ! . 
 Jun 7 2007 	 dirty disappointing 	 friend stay Thirty Thirty room cost $ 245 per night ( plus tax ) . stay NYC lot business personal , ' ve experience number hotel area , usually pay anywhere $ 200 $ 300 per night room depend early get booking . room tiny , often case NYC , small usual table dresser , anywhere could lay thing . room bed barely enough space walk around three side , one wall build drawer small closet , full wardrobe . bath room small even hook rod hang towel . toilet shower , bath . cramp . even little overweight would trouble turn around , think several friend family would able fit use toilet . there small closet , full wardrobe . suitcase would nowhere put - 'd trip day . small overnight bag , problem enough . the standard room disappointing . little furniture cheap look badly worn , chip dent . room shabby small compare NY hotel ' ve stay , yet price range . seem internet service room could connect ( pay free - available connection ) . notice bed : hair cover . first think housekeeping staff shed hair make bed , pull back cover could see many hair , grit , couple dirty smudge , obvious wrinkle patch bottom sheet somebody sleep . also hairs pillow . clear housekeeping make bed without change sheet previous guest sleep it . I call front desk speak woman seem unconcerned asked want . say housekeeping come back change sheet , reluctantly agree . wait room time housekeeping never come . head walk way stop talk front desk . time encounter man also seem concerned apologetic discover dirty sheet room . agree send housekeeping . return hour later sheet finally change . my friend also disappointed room meet checkout next morning , tell water come shower - head small trickle , would unable take shower morning . check mention dirty sheet friend 's break shower person desk like staff , show interest offer apology . ask discount , consider poor experience , ignore handed bill full amount . demand sort compensation . go talk manager back room finally come back $ 25 discount room , nothing friend . send back demand discount room break shower . eventually get $ 25 room , consolation , recommend hotel anyone . usually fussy traveller . ' ve stay cheap place even low price entitle cleanliness functioning room . $ 245 able find something much nice New York . 
 May 23 2007 	 Location Location Location 	 look place fair walking distance Times Square , Central Park , good shopping place , good restaurant ... choose hotel . location good ! ! stay standard room . request twin bed , stay . great thing , make one we ! another problem already check ... see reservation ... wait room awhile ( reserve web - site ... ) travel 12 hour ( + jet lag Europe ) appreciate get room fast relax get foot . moment build next door , bang morning start seven . construction , hotel great place stay . room would quiet without construction noise morning . air - conditioning system place window ( usually NY ) would make sleep close window cold cold weather . stay day warm , nite quite cold , tuck blanket air - conditioning night - time . bathroom roomy clean . room rather small , travel hotelroom sleep spending time , size convenient / adequate.-marrie couple thirty , Scandinavia- 
 May 21 2007 	 atmosphere room decor dirty 	 not snobby see get pay . fiance disappoint pay upgrade hotel trip want spend bit extra add bit luxury pay get value upgrade room . first room ( whcih suppose upgrade room ) dirty decor smell . eventually change another room ok air conditioning unit blast outside windown could not open window noise fume . besides room hotel terrible vibe , New York Manhatten atmosphere . make decision move another hotel vacation want leave thirty thirty hotel behind we enjoy rest stay New York . 
 May 16 2007 	 Perfect . anyone say 's hotel good snob ! 	 not understand people ! girlfriend return trip New York Hotel Thirty Thirty perfect place stay ! ok staff not friendly , check really quick porter take bag room . room nice size , bed really comfortable ' ve get everything need ! Empire State building doorstep , be deli 1 min away ( ) , 10 min walk Time Sqaure , practically close everything want could ! ok Plaza Hilton , clean give fresh sheet towel everyday . end day hell go New York spend time hotel ? NEW YORK . hotel spend 7 hour sleep ! top hotel provide car service back airport $ 60 , alot cheap cab running meter ! limo ! anyone say 's hotel good snob obviously see main point go New York trip .... see New York ! spend whole time hotel ! go back New York definatly goin back Thirty Thirty . 
 May 12 2007 	 recomende 	 book hotel web site & amp ; confirm twice email would keep room late arrival flight arrive 23.30 . confirm problem . arrive tired 1hr delay hotel 02:30 find room we . .they put we cab another hotel night tell come back morning . honour book 4 night staff make feel we do good situation sorry give . would recomend . hotel clean basic . 
 may 12 2007 	 great location NY weekend 	 enjoy stay hotel . great location . easy walk distance load ny attraction . View Empire State window . be comfortable well decorate room clean . excellent bar friendly service . downside frostiness reception staff . overall would definitely recommend . 
 May 4 2007 	 terrible choice 	 tiny room , indifferent staff , amenity - even available newspaper . bargain either . 
 may 3 2007 	 overprice rude staff not bother ! 	 room look pleasant enough reeked cigarette smoke ( non - smoking room available ) - apparently staff like use guest room private lounge area . take 3 call ( hour ) desk get sleeper couch make - bad mattress ever - could literally feel spring . staff member rude point nasty . watch billing carefully check . overprice total disappointment . definitely would stay . 
 Apr 29 2007 	 Gross . Gross 	 arrive check Thirty Thirty knowing would step . price great -- $ 200 single ( could twin bed ) location good , hotel own owner great , good value ( Avenue , one ) . hotel dirty -- front door dirty , light lobby cake dust -- hotel , design feel upscale , actually feel like design contest cable tv show . anyway -- check , take key went room . tiny room — but ' ok NYC . quickly notice bed look unmade . pillow wrinkle , like someone leave , pull cover . nothing tuck . pull back sheet -- -thinke might way housekeep thing Thirty - Thirty -- low behold sheet clean , clearly sleep couple hair bed , looked know would tell tale sign ( travel lot ) . ok , fine , gross . go downstairs , get new key , go next room . arrive second room bad sign -- carpet front door room something , look like sheetrock dust dry bread , dark . door narrow hallway next room block partially walker -- senior would use ( clearly senior next room also small walker not fit ? ) . open door see comforter floor iron board bathroom light . another dirty room . go back lobby tell person front desk — he contact housekeeping via walkie talkie . ask another room -- -he say sell ask seat housekeeping & quot ; verified & quot ; room fact dirty . say , would clean one . keep mind , ' ve fly 8 hour , be 6:30 night , really not want wait . one hand -- thing happen . hand -- gross . two dirty room , dirty lobby , overall cheap wannabe international hostel feeling . hotel & quot ; Premier & quot ; & quot ; chic & quot ; website claim , poor excuse dolled mess . want affordable hotel 23 ' care anything — this hotel . otherwise , . oh -- wait half hour , call another hotel , get , drop key front desk guy ( overwhelmed line customer colleague smoke break front ) . good ridden . 
 Apr 27 2007 	 Funky bathroom otherwise fine 	 base review , think have assault army Depends - wear old lady less - than - acceptable room . the reality like appeal ( small ) room run tenant , blend scenery . I stay late March one petite single room . space premium , well - maintain fair amount storage . bathroom something oddity -- previously say , mine toilet , sink shower one place curtain separate anything everything pretty much get wet showered -- aside get match bruise hit elbow lock bathroom door , work fine . the staff seem bit put - upon anything rude . clean . I score Quikbook $ 111 ( hotel website $ 156 ) could get similar deal room ( 440 ) , would definitely go back . 
 Apr 25 2007 	 Pleasant experience 	 read review hotel , slightly worried would dump rude staff lose reservation ! true . staff helpful , reservation fine room great . New Yorkers not immediately friendly folk ; little eye contact , not mistake rudeness . stay standard room two large - than - single bed large bathroom . everything spotless maid service day clean towel new toileterie . 's great location , right heart thing without nightmare Times Square . noisy ( window not actually seal like double glazing ) siren , honk horn bin collection hour night expect ? be like everywhere NYC unless stay 40th floor . bring ear plug . million one place eat within spitting distance . be even new tea shop open top street ! not expect decent cup tea whole time NY unless like weak paper cup . would stay recommend anyone want nice , reasonably price , clean hotel good location . 
 Apr 21 2007 	 love hotel 	 worry stay thirty thirty arrive surpise lovely clean modern room . downside little small unless prepared pay lot do not get large room nyc . maid service good clean towel linen every day . would definately return location well . 
 Apr 18 2007 	 poor service overprice 	 hotel one bad ever stay . standard room air conditioning ! website say amenity ... US ... AC amentity ... STANDARD ! ! US standard , room small . hotel staff rude incompetent . price charging , MUCH well option city ! accomodation level service provide hotel price much low . 
 Apr 18 2007 	 good value good location 	 hotel locate within easy reach Penn Station , 34 St Subway 33 St PATH , shop around 34 St . lean slightly East 's little less polished part Midtown , really well situate act good Manhattan base business pleasure budget minded traveller . my room small side , clean comfy bed . problem fact spearate heating bathroom week stay see temperature dip -15 , shower morning refreshing say least , help , fine looking , freezing , granite floor wall tile . I issue staff , polite efficient , offish way . remote break arrival engineer fix within 5 minute . for price pay ( $ 148 per night reasonable Manhattan ) ) , think place hit button . 
 Apr 14 2007 	 excellent location ! ! ! 	 stay thirty thirty 4 night love . excellent location - walk distance attractions- couple min walk empire state , macy 's , broadway & amp ; 5th ave ..... . not expect luxury disappointed- standard . travel quite lot do not find hotel particularly bad do not find dirty say review know fussy that s say something ! ! resturant ok expensive , average price 's ny . look standard new york excellent location great place . ' ve even book come back stay summer ..... 
 Apr 12 2007 	 great place stay 	 great place stay break New york . well situated want , great bar / resturant opposit 24 hour deli turn leave 50 yard right even deliver hotel room free . yes room ar not big go New york anything sleep room really sad . whole place clean front desk helpfull yes see fwe old woman place always plesent friendly . must open bus tour day night one aswell . ' empire state building que recomendation virgin rep go Rockafeller building 50th street go top building call ROCK . be quite tall Empire state view restrict also take we long 10 min get top high speed lift , helicopter ride ( 10 - 12 min ) book advance . get taxi airport jfk cost $ 45 anywhere Manhatten , 
 Apr 5 2007 	 good place stay - excellent location ! ! 	 come back 9 day Big Apple . book hotel online website , quick simple . received confirmation email . everything New York , also hotel easy find . location excellent , 1 1/2 block east 5.avenue , couple block away nearest subway 28th street . hotel not serve breakfast , plenty good delis nearby ( must recommend Brooklyn Bagle 5th/32 street ) . lobby bar / restaurant also serve breakfast , never try . room clean modern . ok storage room stuff , drawer closet big bedside table . room bit small , prepared . hard find big hotelroom price nyc think .... not travel NYC sit hotelroom anyway ? clean excellent , fresh towel every day , shampoo / soap body lotion nice helpfull staff . you store luggage day leave , late flight . also hourly airport shuttle ( Newark least .. ) , price 21 dollar pr person . bit expensive bus ( 14 dollar ) , much convenient . shuttle stops hotel leave hotel 4 hour flight . also internetconnection room ( cable wifi ) lobby , think 6.99 dollar 24 hour ... computer lobby pay pr minute usage . I would recommend hotel go New York ! 
 Apr 5 2007 	 never 	 dirty . smelly . cigarette burn . small room - need say ? stay one guy group find place , apparently & quot ; special & quot ; ( not worth ) . come night friend 's bachelor party . lobby grey bland . whole hotel - room - smell like cigarette . headboard cigarette burn size nickel . bathroom smell like body odor . room small bathroom door could not open way . photo hotel show website apparently one room , ' find room like . whole place smelly , stain wear . money get another place New York 's well . be town one night stay , find place . 
 Mar 30 2007 	 would never stay ... 	 Ewww ! Yuck ! ! wear flip flop shower . not touch wall . work non - profit attempt save money , put we recent trip . want save money guess could stay . want clean room , not . ant bathroom . not actually clean every day - like straighten . room look like two toddler bed - junior twin ? maybe supersize cot . sure . room little big bed . room could hang . needless say will not stay . oh , lobby nice . not mind sleep , good place hotel . word ' ve see describe hotel - upscale youth hostel , Hotel Dirty Dirty , etc . & lt ; -- accurate . could wait get place . 
 Mar 29 2007 	 Value money enjoy stay ! 	 also scare aprehensive stay Thirty Thirty reading review website , however pleased say everything go well stay . we check room within minute half walk main door hotel . expect room size bed , true relatively small plenlty room around bed plus enough room store large suitcase shop . massive tv room plenty channel come handy get ready go etc . bathroom huge basin , toilet , bath shower . clean tidy . we eat breakfast downstairs Zana 's restaraunt could go back upstairs get ready day activity . food nice , would not say be expensive compare eat similar place home England ( $ 12 cooked breakfast ) be much budget order toast ! good bit breakfast ( accord mum ) waiter 's sole job go around refill people 's cup tea coffee ( be tea addict taste like & quot ; normal & quot ; tea ) record number refill one breakfast 7 ! anyway , whole find Thirty Thirty clean reasonabley price . housekeeping staff friendly seem take pride effort really show . ( see corridor carpet hoover everyday way ) would however incline agree long term ressident hotel bump elderly lady lift various day look much travel negatively impact upon stay . mean glamorous hotel ' ve ever stay , however get pay happy compromise somewhere sleep spend money ! be go NYC spend whole time hotel rather use somewhere hot shower sleep be go wrong place . rest assure room stay comfortable bed ever sleep ! 
 Mar 24 2007 	 Loved ThirtyThirty 	 reading review ThirtyThirty , must admit TERRIFIED stay , certain go ruin trip . I email hotel requirement , prompt reply helpful , really , totally exceed expectation ! arrive hotel actual check time room ready , lobby exactly like ThirtyThirty website show . receptionist prompt - complaint ! stay 10th floor , lift quick clean , corridor fine , carpet little dirty , spend time corridor ? room Superior room exactly show website . lovely big queen bed , sparkle white egyptian cotton bedding - bed comfortable , two large bedside cabinet , desk area walk wardrobe contain safe . large tv room also CD player . bathroom slate sink , toilet , bath shower - sparkle clean . room large enough we two shopping bag luggage , believe hell lot ! AirCon little noisy able sleep problem , need AirCon , awake , noise not bother we . toilet overflow janitor within 2 minute call reception clean mess promptly efficiently . request towel within 10 minute provide abundance fresh , clean , white towel . the room clean every day stay , bedding change meet maids corridor couple time , lovely . I particularly like location , 's 30th Madison , near Empire State , be far enough Times Sq get real feel NY get see many New Yorkers go daily life , couple fantastic deli around , well worth visit ! would however recommend not eat Zanas restaurant hotel , be weird , be over - price food not much ! hotel 3 * hotel recommend tour operator budget conscious traveller - expect high star rating , pay ! opinion ThirtyThirty live service receive experience first class , really . want clean , comfortable , modern base NYC trip , ThirtyThirty perfect . website portray accurate picture hotel . would definitely stay definitely recommend hotel excellent 3 * hotel NYC . really enjoy stay ! 
 Mar 24 2007 	 Poor would not recommend Hotel anyone . 	 stay Thirty Thirty ( Dirty Dirty come know ) 3 night March . quite simply poor hotel recommend reason . arrival Thirty Thirty greate door man mobile phone lobby area unclean populated tennant also live Hotel ( accord Time guide 60 live permanently ) . check barely interested staff , stay ' Superior ' room anything . bathroom small basin could fit main body bedroom outside . hallway obviously hover , long stand stain clean . eveing also noise wake wife 6.40 a.m resident shout other . the photo Thirty thirty website mislead . one floor refurbish ( 1st ) 2 10 resemble photo website . slate bathroom replace white green finish , type would expect find average b & amp ; B England trendy brown carpet replace garish purple . as regular corporate personal traveller , think Hotel one bad value money stay within last 5 year . list include damp ridden room Stevange , England . stay . 
 Mar 22 2007 	 stay - recommend friend 	 partner stay 11 - 16th March ' 07 . stay fifth floor back hotel . although room compact term size , lovely clean , nice decor , really modern bathroom . little noise , day night maid service friendly polite time bump . reception staff curteous prompt . restaurant handy , however quite expensive , new pub directly across road call & quot ; crooked Knife & quot ; excellent food drink friendly atmosphere . block away subway line 10 minute walk 34th street . definitely stay next time go New York . need taxi , cheap get one street , rather get bell boy get one , do not get fool ! ! 
 Mar 22 2007 	 Great Hotel Great Location 	 Stayed Thirty Thrity friend begin March find great hotel . fantatsic loaction able get area city ease . room small other still large london room . seem hotel find room clean tidy certainly shabby . houskeepe always reliable asking make room always provide clean towel take away rubbish . front desk staff overly friendly always helpful . certainly bad service big brand hotel . would definately stay NYC would recomend other . good value money 
 Mar 13 2007 	 not go Winter ! 	 stay hotel Thirty Thirty two night March . room small , clean enough . temperature outside 5 degree fahrenheit , temperature inside room fifty . bed sandwich two window , sweep chilly draught night . heating not work properly , noisy could not sleep . even manage sleep heating , temperature room will not get decent anyway . staff front desk kind enough provide electric heater , not quite solve problem . guest speak complain issue . anyway , chance go temperature outside milder , hotel great location - block away Park Avenue . 
 Mar 12 2007 	 okay ... okay 	 stay thirty - thirty one night . hotel appear website term appearance . picture make seem cool trendy , could , clean . everything show wear , hallway carpet stain , grimey appearance . check - in person friendly , not rude either . seem put upon . get superior room , ' m glad . oddly shape could tell small room must like seat area sleep area weirdly divide , seat area different kind ceiling high . room long thin bathroom imagine would like cruise ship . door shower door , walk ledge door enter toilet shower . step dangerous could pose real problem dark night . entire bathroom tile school shower type tile . weird bathroom ' ve ever . really really dirty , like year old mold , nobody even try remove anymore . bed comfortable remote not work . however , cheap price , would probably stay , night . 
 Mar 8 2007 	 absolutely terrible 	 husband book stay Friday 2nd March Tuesday 6th March . actually leave one night . reception staff rude , never see small room bed consider suppose double room . actually old lady room next come door wear shirt incontinent pad proceed make awful noise night . firmly believe & quot ; sit tenant & quot ; hotel ( can not believe old dear travelling ) either tour company know not let hotel know not let . Hotel move lovely , ( one stay previous trip ) . book thirty thirty first place make booking ( one big airline ) hotel recommend - not know ! 
 Mar 1 2007 	 great price good room 	 rate NYC hotel room $ usd / sqare foot , would probably average - price hotel . room small , clean well keep . bed comfortable , sleep like rock . my room unique issue noise right next elevator , low rumble time . problem : heater seem want high ; room would well suit small flat screen , tv nearly bed ( room //that// small ) ; tv remote work volume ; water lav run brown one morning . to complain room service : NYC . go eat . 's be go find decent food . consequently , nothing complain about . its 2 block north 6 train , convenient stop . NYC , primarily use subway , taxi second , would prefer big line . prefer taxi , location fine . next trip NYC find put 30 - 30 & quot ; call & quot ; list , stay find big room comparable price . 
 Feb 26 2007 	 impress 	 hotel definitely three star hotel - 2 star . photo hotel 's actual website mislead hotel nowhere near modern & quot ; appear & quot ; . standard room tiny bathroom extremely & quot ; cosy & quot ; put mildly . although location good hotel greatest . not serve breakfast 8.00am slightly strange room service ! arrive late prepared starve . definitely hotel worth money pay ! would stay . 
 Feb 24 2007 	 great value exellent location 	 reading review leave really worried , even rang travel agent try upgrade , nothing available . prepare worst arrive look ok outside , go staff fine reception go room 10th floor worry room fairly small enough room 3 suitcase walk around fine . clean maid replace towell everyday . your hardly ever room apart washing sleep , really please everything , access computer downstairs lobby pre book outward bind flight , overall fantastic value money would tell anyone know go new york stay . 
 Feb 19 2007 	 Brown Water Shower - White Water Sink ? 	 hotel ashamed ... check , one help bag , cart entry stair . front desk supremely UNfriendly actually border rude . , bellman help we room , bright spot two - night stay . photo online deceive ... technically true , suppose , deceive . desk high - speed internet access room . & quot ; hotel & quot ; bar see restaurant / lounge next door ( friendly service good italian food ) . hallway smell urine , clean . notice maid actually walk right without knock ( sleeping ) , never bother come back ' ve go day ( even see way ) . body hair shower accompany mold . suppose make ( wish KIDDING ) brown water came spew shower head feel home ... not mean bathe sink , though ... water cloudy white . feel disgusting entire time stay hotel . get $ 229 night ! ashamed ! 
 Feb 19 2007 	 nice room price ... hotel personel bad attitude ! 	 husband stay Hotel Thirty Thirty past weekend Friday Saturday night . check , receptionist bit icy towards we like care give business ! enter room shock size prior come NYC read review see picture know expect . bed extremely comfortable nice . would like little close subway lazy behind good walk ! trip finish see sight miss first two time come . go Cloisters Northern Manhattan ( get 190th street ) amazing ! walk 10 minute get see beautiful rock cliff picture city , plus snow lot clean ! inside amazed collection medievel piece have - the museum small think worth trip ! recommend traveler want experience NYC tourist trap . course , & quot ; tourist & quot ; thing . go FAO Schwartz get toy daughter look around lifesize toy . stop Tiffany 's pick lovely pair earring . Friday night go restaurant call Lips . drag queen bar food waitress great . waitress call Beef Patty . show great ! lot well Lucky Chengs ! one thing plan whether going see show - but end 7:30pm go TCKTS booth Times Square get ticket TALK RADIO w / Liev Schriever ( play Cotton Weary Scream 1 & amp ; 2 ) . really good play play part perfectly . afterwards wait stage door wait actor come . get autograph picture Liev add bonus night see girlfriend , Naomi Watts . get picture , digital camera slow profile shoot still tell ! end long trip meal Pig Whistle Times Square- decent cheap , look for . overall trip good . feel like see do want NYC without feel plan another trip awhile - unless want go without itinerary whatever . 
 Feb 13 2007 	 problem - excellent location 	 stay solo Feb 2006 ; good location , around corner Empire State ; Mid - town mean be quick reach everywhere . 5th Ave Madison Ave minute front door . room large , albeit view back yard ! downstair bar also cheap , good place meet fellow traveller / native . ok delis bar / restaurant nearby street . would stay although would like experience true NY luxury next time like , er , Four season perhaps ... 
