security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 May 17 2008 	 Great Location 	 stay Empire Hotel several night 2 teenaged child . able check room early ( 11 am ! ) , find staff welcome professional throughout stay . our room spacious double / double , face away street . tell book room , would view Lincoln Center , turn okay room dark , wonderfully quiet night ! light poor , decor dark , room clean bed comfortable . small sit area large flat screen television . another reviewer mention faucet bathroom poorly design absolutely right . barely get hand sink shallow . space bathroom lie toiletry , water pressure hot water excellent . love rainfall shower . as far location , Empire hard beat . 's short walk Columbus Avenue subway station make connection anywhere city . hotel directly across street Lincoln Center ton wonderful shop restaurant within easy walk distance . 's Starbucks right downstairs , convenient breakfast . the lobby bar hub activity every night , staff great . son desperate see NY Rangers playoff game hotel carry cable system , ask bar staff know place go could see ( appropriate under - aged kid ) , go way find we spot . HIGHLY recommend Blondie 's 79th Street . blast boy get see game sample phenomenal wing . overall , enjoy hotel much . would nice well lighting storage space room , Manhattan , good sized room reasonable price . level service receive excellent . call iron arrive inside 5 minute . room service equally quick , outrageously expensive .... $ 56 slice canadian bacon hash brown ! ! ! many great place eat close bother that . I would definitely stay Empire . 
 may 12 2008 	 absolutely terrible- never return 	 absolutely terrible room value . Waaaaay overprice . constant loud music club upstairs MONDAY night , make impossible sleep . absolutely never return , make sure one else know either 
 May 12 2008 	 great location -- nice place 	 great location be go event Lincoln Center . Central Park close . hotel funky ! yes , room small . king size bed take space . comfortable . bathroom tiny ; ' ve cruise ship will not problem . strange shower -- nice rain showerhead shower partly open ( miss half slide glass somehow ? intentional ? ) not use rain showerhead ( another one ) water splash onto tiny bathroom floor door room . check rate ' ve book . rate superior king $ 409 book March . check back day arrival $ 309 . cancel reservation rebooke . save $ 120 include many taxis . Rooftop area nice . pool enclose look 20 ' long maybe 7 ' wide . the window room open like . I would stay . 
 May 10 2008 	 great location lincoln center 	 pleased stay weekend empire hotel . staff professional , room great , right across street lincoln center . would stay . ilke new decor . safari .. 
 Apr 28 2008 	 can not wait go back ! 	 wow , pleasant surprise ! hotel beautifully transform past . can not decide bring we pleasure - upscale atmosphere unbelievably fabulous location price , complete newness everything size room price . pleased ! ask Manhattan ? stylish new decor top notch light fixture bed ( sleep like baby 3 night ) , bathroom style fixture nice flatscreen tv , cozy lobby bar endless activity surround Lincoln Center location , be great place stay ! Rosa Mexicano around corner - one MUSTS be ny . mention Starbucks 10 step away easy morning coffee breakfast . if find something complain ? little space hang clothe - 2 hook room 4 hanger . bathroom small . boyfriend wonder anyone large 220 pound would able sit comfort . shower also design little strange - water tend go bathroom shower , 's towel ! not even complaint . overall , give hotel A+ ! 
 Apr 27 2008 	 bad good either 	 use Hotwire do not pay much . hotel be not awsome . check take girl behind counter licence find room . do not even point suppose go get room . happen service . First Hot water ! ! ! ! ! call front desk send one come get hot water mybe button . next room small . mean small . I m small person stay one night small bag thank god . floor space door hit mini bar open . view room call centrel park hotel . yes near centrel park like see park . fan . bed . stay mybe get hotwire will not call . also please note pool open 
 Apr 25 2008 	 perfect love anyway 	 reading number review say queen room tiny , husband book king room , comfortable two . Loved & quot ; top & quot ; ultra - chic decor , super comfy bed , good size bathroom . service great . come 10 take red - eye West Coast . check bag , direct we great breakfast place street say would get we room early possible . come back around 11:30 bellman tell we relax quiet mezzanine lounge would come get we room ready . sure enough , around 12:15 came tell we room ready ! drawback bathroom light heating system . bathroom light cause much glare put makeup window . cold February there . we trouble room get hot , find leave window open crack room temperature fine . ( typical old building old boiler system NYC . ) heating system quit work twice , call , maintenance guy within 10 minute get work . hotel gorgeous visually ( not miss bar evening wall light hundred votive candle ) staff nice helpful , ' m go back next trip would recommend couple business traveler . location neighborhood ( Lincoln Center ) great . skip queen room — get king — and not expect heating / cool system function well brand new building . good restaurant nearby : Olympic Flame breakfast , Fiorello 's , Josephine 's . stay Empire ( king room small bathroom ) business trip April enjoy . February , cold breakfast buffet free , April restaurant operational add hot food — soggy scramble egg , tasteless potato bacon — and charge $ 17 ! complain cashier not charge . skip breakfast . otherwise , another fine stay . loved personable , helpful handsome young doorman ! 
 Apr 23 2008 	 empire poor choice hotel despite good location 	 mother stay Empire recently highly disappointed . stay many different hotel many travel , one bad experience . empire great location , service poor , understaffed , lobby room dark poor lighting , room shower need engineer figure work figure need tall person reach control , place hang clothe room bathroom rod hook tall person bathroom could not even hang towel door hook ( 5 ' 3 & quot ; ) , cold water shower despite request fix , place plug computer PDA without crawl floor find outlet . addition , bar bathroom unsuitable handicapped elderly person . request change handicap room elderly mother , although bar walk shower ( albeit cold shower ) , control difficult understand use , floor slippery ( proper floor handicapped bathroom ) , water run properly drain rest floor bathroom also become slippery . visit mother 's 80th birthday , stay Empire many time renovate . neither we stay Empire . return NYC June stay elsewhere . hope owners hotel redo recent renovation address problem , relate redesign hotel do badly . could great hotel focus function useability rather form . 
 Apr 22 2008 	 Bait switch 	 stay ! ! book room Empire Hotel 's website get pretty good rate . go check rate $ 100 high . show front desk email confirmation rate quote would accept rate . person front desk extremely rude care email confirmation show different rate . since argue witht guy useless decide fight charge credit card company . never stay hotel . besides experience hotel rate , air conditioner make horrible sound night wall paper thin . could hear tv person room next room . 
 Apr 20 2008 	 bad hotel NYC 	 daughter look forward trip Big Apple . thank Empire Hotel become Big Disaster ! false advertisement , pool even open ever open ... well surprise approx . 4ft ! ! ! room not ready upon check , 5 pm ! check time 3 pm .. lovely African / american girl really try accomodate we ( good part hotel ) hope treat well management ... oh , let talk management .. ask speak Manager Chris come talk we ... well waste money ! ! ! ! can not believe person even getting pay .. call daughter BABE ! ! ! ! ! anyway , make long disaster short , hotel disaster ! 
 Apr 14 2008 	 not let negative comment put .... 	 read many negative comment room hot , small noisy , check trepidation ! maybe lucky ( 11th floor front hotel ) , two double bed three us . room bit small , enough space air - con work ( window ) , not hot ! bathroom also quite small , adequate space great shower . slightly negative comment lack storage space , hook hang rail high fact dark room , even light . thing make high level cleanliness quirky decor ! location excellent ; really close Central Park ( great people watch rest tired foot ) . third visit NY Empire give we chance explore part City not . visit Top Rock highly recommend - much less manic Empire State Building . 
 Apr 10 2008 	 Noisy room 	 originally room 604 , fan air conditioning unit build next door incredibly noisy run 24hrs day . ask move straight away tell available room . sleepless night tell go day plan hopefully room would available return explore New York CIty . get back tell move 421 . much quieter room front hotel , even traffic quiet compare fan ! lift bell - boy go old room get luggage tell we spend day move people one side hotel complaint noise . keep put people room without sort noise issue . problem hotel fine - little small much ny not spend much time room ! ! ! 
 Apr 7 2008 	 Empire Hotel - Fit Napoleon anyone 5 ' 4 '' 	 room ridiculously small ( stay lot ny hotel ) . close bathroom door basically step toilet shower . forgot turn light go procedure since light outside . heat unbearable A / c work . management refuse change room instead send maintenance guy get partially work . thing recommend location . 
 Apr 6 2008 	 Suffers poor onsite management 	 Empire Hotel suffer poor onsite management even though conveniently locate visually appeal hotel . couple disappointment hallway carpeting strong urine odor correct deoderizer , little fitness room standard hotel price range . finally , little take aback fact credit card pre - charge room night leave plan settle check bill another card . little snafu take time correct . return . 
 Mar 31 2008 	 wish well ! 	 stay corner suite awaken 7:15p vacation jack hammer drill construction sight Lincoln Center . sooo disappoint . go two day . ask move , first time ask place book . ask second day able move final two day . staff incredibly friendly caring , bathroom ill - equip like other , take forever get hot water . feel like stay hip hotel redecorate , oppose completely renovate top bottom . many detail yet take care . , nice people , waaaay noisy hotel . 
 Mar 25 2008 	 yes like 	 daughter spend 4 night Empire . arrive one hour early , tell come back later . come back , tell room available one overlook main road , despite request quiet room . guy front desk rather arrogant unhelpful . eventually , 1/2 hour later show room . put heating freeze sit bed coat , wait room warm . alas ! 1/2 hour still cold . go reception reception guy say would send engineer fix problem . go explore area rather sit small dark room . when come back 2 hour later , engineer . contact reception , guy apologise inconvenience seem hurry call engineer either . pass one workman ( maybe porter ) tell contact engineer immediately . indeed , 10 minute wait engineer appear . tell first time come fix heater . , thorough look , say nothing wrong , window could shut ! window break ! ask move another room . wait nearly 1 hour give we another room . the third room - last - warm . turn heating altogether , still stay warm . think sort hot pipe run behind column one corner room . not good first night . in fact headache 4 day . hope heat nothing sinister . it take age water warm . run water 15 min . get warm . also shower fiddly use . could get easily freeze burn . the bedroom small could easily fit 2 suitcase . bathroom smallest ever see . also first hotel ever coffee tea facility . clothe hang area minute , wardrobe . however , hotel redeem feature . decor good new , bed , linen towel luxurious , free breakfast - contrary review - quite good . despite fact people front desk unhelpful arrogant , staff hotel ( housekeeping , engineer , porter ) helpful friendly . the hotel well situate Central Park expensive shopping , personally prefer South Manhattan , quieter pretty rather busy grand . 
 Mar 23 2008 	 location well location ! 	 be super quick summary everyone else say ... although BF stay EH . although rate ny crazy , may spend $ 200 per night ( Sat Sun ) tax fee . bad ! star also location . ' m big fan show , near Times Square actually disadvantage . SW corner Central Park perfect -- think romantic walk . Columbus Circle 's also Bouchon Bakery ( originally San Francisco ) wonderful pastry sandwich , Whole Foods , shopping mall Time Warner building . 63rd , explore upper west side natural history museum good little brunch spot 80th Amsterdam . hotel also convenient Apple store ( SE corner Central Park ) , Capezio store ( although generally prefer Bloch ) . Decor quite unified , custom carpet 60 ' drape lobby , individual room . smallish room , NY . two gripe ( 1 ) bathroom door frosted , solid ( common ? want know unspeakable thing people bathroom ? ) ; ( 2 ) shower fixture could turn stand head , always get douse cold water heat . may malfunction , annoying . bed marvelously comfortable , liked & quot ; disturb & quot ; magnet door . tricky ! otherwise , place lot thing go rooftop pool lounge open . 
 Mar 20 2008 	 hate place 	 good way describe room expensive closet . old building not form modern temperature control room . folk New York apparently like hot room measure 85 degree . contact maint . guy offer fan circulate heat room . hotel expensive & quot ; club & quot ; environment . 's be look , . be business user want & quot ; & quot ; spot despite bad service tiny room , absolutely want look elsewhere . 
 Mar 15 2008 	 good hotel watch minibar bill 	 stay corner suite long weekend break pretty good overall . suite decent sized NYC clean new . disappointing top deck bar pool will not ready month yet location spot explore city . one thing would say though keep eye extra charge room . bill merchandise not even know suppose never mind use . check manage get charge waive obviously need review check inventory guest room . buffet breakfast not scramble lead believe bit ordinary room open provide seat utterly soul - less . tip - top class hotel despite try charge top end price overall acceptable city absolute shocker room . 
 Mar 9 2008 	 great Met Opera Fans 	 get back second stay Empire . please trip Nov 2007 Mar 2008 ) . decide stay empire proximity MET Opera House ( right outside hotel front door ) ! staff visit delightful helpful ( especially Ben front desk ) . hotel clean , room bit small NYC big suprise . hotel pricey get pay for - location service ! stay one night visit not know reviewer 3 night minimum complaining . keep mind book hotel rooftop pool restaurant open later 2008 . 
 Mar 2 2008 	 great base explore NY city . 	 Stayed Empire 5 night 15 th - 20 th Feb. find hotel comfortable & amp ; cosy . room & amp ; bathroom huge everything need good night sleep i.e comfy bed , plasma t.v , i - pod docking station . shower great , powerful & amp ; choice overhead rainfall shower hand hold body attatchment want hair get wet ! hairdryer also really good & amp ; powerful . you could hear traffic toot etc street worry we & amp ; still sleep well . the complimentary breakfast good way start day , shopping , sightseeing etc within easy reach hotel . gym well equip . the staff helpful , proffessional & amp ; friendly . we would definately stay . 
 Feb 12 2008 	 Fantastic ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 return long weekend Empire Hotel find fantastic . find everything hotel superb complimentray breakfast maid . obviously re - decorate good , room big enough , New York enough room wife plasma tv nice touch . great lover eat tourist restaurant ask good restaurant give detail fantastic place eat , ask think maybe kind commission never even mention hotel staff restaurant . 5/10 min Times Square do not noise middle everything good thing road Central Park make nice walk 5th Avenue . overall would highly recommend hotel stay 
 Feb 3 2008 	 Disappointing 	 hotel general ok . opinion , decor way busy fussy . during stay , become ill hospitalize . call ambulance . staff member kind visit hospital . stay 2 week 1 week hospitalize . charge entire 2 week . . . awful business practice . I stay . 
 Feb 1 2008 	 Greedy 	 Empire Hotel require 3 night minimum stay . try corral people kind scheme captive audience equal bad business greedy tactic . total turn - off . 
 Jan 29 2008 	 terrible experience Business Travelers 	 room nicely decorate staff good accommodate give problem , window crappy could hear NYC traffic , even high 10th floor . wear earplug get sleep . also , reason book hotel promise free wireless internet service room . three different room , never work properly . travel business , avoid hotel . go night partying , maybe bother . 
 Jan 26 2008 	 Great Hotel ! well renovate great service decent room 	 book 2 room Empire 8 day - last week . great job renovating . small - ish Hotel , large room - compare Hotels NY - tasteful decoration . nice touch like iPOD music station alarm , beautiful wooden shower , make feel sauna , great bed high quality linen pillow . stuff polite provide great service . also offer continental breakfast internet free , great value overall . bar downstairs cozy highly recommend even drink Lincoln center area . overall , great value great service , new preferred Hotel NYC ! 
 Jan 25 2008 	 awful stay 	 put room incomplete bathroom . shower miss door press wall avoid water pour onto bathroom floor . speak young staff person desk , indicate & quot ; maybe be design bathroom . & quot ; piece shower controller also fall apart wall . night , noise staying & quot ; steam - heat & quot ; hotel , ie sound put hammer metal pipe , keep fall asleep . call front desk issue well , response basically nothing . offer move another room . top , alarm go twice middle night . yes , decor amazing always four doorman every person enter building . , hotel way overprice get . 
 Jan 20 2008 	 Great Location Small Rooms 	 Wife spend nice 2 night Empire Hotel . location perfect ( across street Central Park ) could walk almost everywhere . staff friendly . room small ( Euro ) comfortable . typical noise come stay city . 
 Jan 13 2008 	 good rounder - would stay ! 	 stay girlfriend long birthday weekend mid December . Got upgrade large room arrival . great sized room nice bathroom ( shower needed bit think fathom ! ) outside noise bit much , could double glazing . not spoil stay though , good heating lovely bed . friendly staff great location . excellent location central park Upper East shopping . breakfast ok - pastry cereral etc . fine snack though start day . would return . 
 Jan 5 2008 	 Boutique style hotel real character great location ! 	 wife stay Empire first wedding anniversary . love hotel ! stay early December snow first night relieved heating work really well keep room nice cosy ! hotel really good location , two block west southern part Central Park . near subway station across road Lincoln Centre , 1 min walk ! room reasonable size , suspect space premium NYC . room facility good nice large wall mount LCD TV , alarm clock build iPod dock decent size writing desk . negative furnishing knock , although still fairly new . good feature far great shower rainfall style showerhead , absolutely superb ! lobby hotel something else , hope photo help explain . decor loud ! time come lifts lobby feel though have enter really cool club really laidback vibe due downtempo music would play , think great ... time enter lobby massive grin face . complimentary breakfast serve daily consist pastry , bagel , yoghurt , fresh fruit , fruit juice coffee - enough give decent start day . we wish have investigate area nearer hotel little spend time central Manhattan discover great restaurant Columbus Ave 66th 72nd day leave . finally , staff professional friendly . highly recommend . 
 Jan 3 2008 	 Fine 	 stay three time last four month . anyone think room small etc travel outside States . well locate warm feeling whole place . nice good value compare stuff one notch star rating . Stephen BrownHong Kong 
 Dec 31 2007 	 much get . need work kink . 	 stay hotel begin December , 7 month pregnant husband come terrible fever 103 . realize extra cautious , turn caution good reason . pneumonia could not come home get well , end five day . when check staff fairly helpful room nice , small . problem place room right near elevator . kind enough move , next room bad , break air conditioner rattle Broadway . room even noisier previous one A / C street noise . point , feel like & quot ; Princess Pea & quot ; . finally move quiet room not face street . might want know need A / c . room , hotel room extremely hot . sleep window open first couple night reason AC start work last night . notice not one sleep window open . the room nicely decorate , fairly small . also bathtub , shower . the hotel advertise room service , receive permit operate restaurant , go every night dinner . couple night would love put foot . however fantastic continental breakfast fresh squeeze juice , yogurt , assorted bread . want something like latte , go starbuck , right around corner . overall , hotel nice , cost way much service provide . need work kink . 
 Dec 20 2007 	 would never go back 	 hotel recently re - opened wife find online . ' ve NYC many time stay lot top - tier hotel . hotel clearly not top tier ( ie Four Seasons ) , disappoint even advertise . room extremely small redesign cheap item ( take 3 call front desk fix break light room ) . however , service far bad aspect stay . room ready check time hotel staff act like we favor actually get we room . staff pretty rude helpful . order room service food cold take hour arrive . good thing hotel location far well price . not stay avoid . 
 Dec 19 2007 	 worth money 	 pro : good location , nice lobby , room decent . con : small room , loud - could hear car honk night people yell outside hour . conceirge hotel help get reservation restaurant . heater room work . Shower head place middle shower , everytime turn shower get head wet . know hotel NYC expensive small , ammenitie . small workout area treadmill . restaurant , bar look nice . , however use , couple we say drink way over- price . I impress hotel remodel . seem like remodel part room like shower , leave area . hallway area outdate feel along elevator . 
 Dec 18 2007 	 wonderful hotel great location ! 	 take girl trip NYC see holiday light shopping . Empire Hotel delightful surprise add fabulous weekend getaway . 4 woman stay one room manage quite well consider room size , importantly , bathroom size . room hang coats closet leave luggage floor desk . great view tree Lincoln Center sleep well , quiet room amazing bed ! yes bathroom small 's place hang towel lay cosmetic , make due . free breakfast perfect we , juice , coffee , bagel , granola yogurt , plenty place sit eat . staff friendly quick get cab us car service airport . would highly recommend hotel be still offer introductory rate . 
 Dec 17 2007 	 wonderful surprise ! 	 thousand hotel pick New York City . never decide Empire due proximity everything classic look . wonderful hotel ! curteous informative staff front door , always could find cab quick , friendy bar staff clean personal . perfect . good part - bed ! never sleep bed comfortable , ever , full day walk street New York , could ask anything well . close shopping attraction , clean ( small , like NY hotel ) , great service amenity . would definitely book - would even consider another hotel . thank perfect place stay ! 
 Dec 14 2007 	 Empire Strikes back ! 	 ok original title , nice surprise hotel turn . book Quickbooks , end really nice room view overlook tree Lincoln Center . staff great , place clean lovely , location upper west side ( without far ) perfect . nice towel , nice sheet , plasma tv . quibble - need put hook room . know go minimalist , clean look , easy place could use hook ( two , TEN .. ) . anyway , place even hang towel , impossible reuse towel . three day , end get fresh towel day . wasteful . hopefully figure . 
 Dec 13 2007 	 Funky hotel well locate 	 bit research trip advisor ' m glad pick hotel . easy find good hotel NY matter room go small - expect go will not disappoint . Loved stay Empire would definately recommend . highlight : - impressive lobby - botique hotel feel- funky ground floor barm good choice neutral colour candle lighting- nicely decorate room - new fitting furnishing ( Oct07 ) - great shower , strong water pressure rainfall showerheads- room clean well toiletry replenish day- good sized flat screen tvs room- comfy bed- great restaurant top floor bar opensLocation- 2min walk Central Park- approx 15min walk Times Square US $ 7 cabnot happy ... - Rooms small , NYC . compensate fact nicely decorate - bit annoying barely enough room 1 suitcase let alone 2- design bathroom nice , lack functionality - eg sink plug drain poorly.- Continental breakfast little stingy side , let little- blonde waitress bar seem interested flirt barman serve customer ! Tips- not miss check nearby Time Warner buildings- Love buffallo wing TGIs- fantastic meal Gordon Ramsey 's Maze restaurant- find great place Soho call Nolita House restaurant , 47 East Houston st- great food , cheese plate wines- catch free Staten Island ferry will get see Statue Liberty ( not get one overpriced tourist boat , go Statue come back - unless u want get - personally not think much see ) - take ride central park one horse draw carriage , know touristy oh good . 
 Dec 11 2007 	 would go back tomorrow ! 	 one good hotel husband stay . ' ve return 4 night stay Empire anniversary . book standard queen room arrive upgrade superior 2 double bed extra charge . reason think happen emailed week due arrive ask room hairdryer explain anniversary . maybe good gesture whatever reason not complain . room quite sufficient storage 4 night stay although could ' ve do coat hanger . bed extremely comfortable 4 pillow could melt . slight problem heating room make hot sleep , rang reception ( 1 am ) engineer fix within 5 minute ! explain control we work perfectly remainder stay . the shower fab ! 2 control meaning could water come show head ceiling hand hold one . knack get shower right temperature without get wet have work plain sailing . have provide shampoo , conditioner , shower gel , soap ( ) , body lotion , shower cap even & quot ; everything & quot ; kit . thing not like design basin . quite shallow be not much room get hand tap that s fussy . we love large flat screen tv adequate choice free channel . safe room previously point not bolt . mini bar contain everything could want ( price course ) extra available tray bit pricey we choose indulge . bath robe , hairdryer even newspaper hung bedroom door morning could ' ve do tea / coffee make facility . Brit love tea find good cuppa New York prove hard challenge . maid service excellent , A+ ! ! ! room attend least twice day not want disturb simply put magnetic & quot ; disturb & quot ; sign door . find staff friendly extremely efficient . doorman would rush open door , impeccable manner helpful give direction suggestion place go . breakfast ok . cutlery , crockery etc would run would not long arrive . 's basic buffet breakfast menu quite adequate we . the roof top pool not complete yet not able experience . say website & quot ; come soon & quot ; certain facility hotel be not totally disappointed honesty . hotel locate across street Lincoln Centre near subway no.1 line . 's stops downtown Times Square connect line , include Grand Central Station . hotel also within short walking distance Central Park . we would definitely recommend Empire Hotel anyone want stay West Side Manhattan would certainly stay . 
 Dec 9 2007 	 pleasant stay 	 hubby find excellent last minute deal room hotel New York October . stay one night , check 2 am , excellent experience staff , quick checkin , give lovely large room , help we find 24 hour delivery place ( bring delivery man straight escort ) starving ! room opulently remodel . sound proof not fool proof , since could hear neighbor loudly enjoy evening , gorgeous set , really enjoy ipod speaker could put ipod set alarm clock ( know be become common , would never see one ) . bathroom completely tiny , do cute way remodel asian style wooden platform , not comfortable . fantastic location , right park , short trip Times Square . 
 Dec 3 2007 	 ` ` Boutique '' frost can not hide old hotel 	 Empire heel hotel great location ... step Lincoln Center Central Park West . close several year owner consider condo conversion reopen year great sexy lobby , groom staff high rate . problem begin get room . clearly cheap conversion -- Frette sheet can not cover big problem .. cheap storm window rattle night , plumbing heat not work , elevator break , real closet many room . staff could use customer service training .. tell check - out heat night desk personnel snap .. & quot ; Tthey eventually fix , right ? & quot ; would great stay half price , price par nearby Mandarin Trump -- charge luxury not . 
 Dec 1 2007 	 New Great Location Great Bed 	 husband stay 6 night late october/ early November 2007 Empire Hotel . hotel renovate amenity available . restaurant fitness center available stay . sure check available book planning use amenity hotel . first , enjoy stay hotel . lot pluse minus . first pluse : everything new . bed pillow comfortable . linen soft clean . shower unique . spa inspire " red wood deck " type shower mat . shower head instal ceiling tall , like husband , need hunch wash top head . Flatscreen 32 ' tv nice . room clean . housekeep excellent job cleaning room everyday . lot fresh fruit available breakfast front desk . location excellent - upper West side close Central Park Lincoln Center . negative : request relatively quiet room make reservation . know – ' Manhattan lot car bus – ' want ice machine , elevator machinery hum night long . Guest ? put we toward back hotel hvac sort fan . something hummed night . ' bad ' ask another room . would big hassle move . fly 6 am front desk allow we check early arrive hotel . even breakfast . extremely grateful early check in . we standard queen room . room small barely large enough two . closet small . measure 24 inch wide , hotel jam small mini - bar refrigerator . put shoe ? little storage space belonging . small chest drawer two small drawer . two night stand small shallow drawer . also in - room safe . ' know safe bolt . someone easily carry . make sure hotel generate additional revenue ( top mini - bar ) ; place tray goody desk room take away much needed space . heating control hotel . ' adjust temperature turn . bed include nice thick comforter light fleece throw foot bed . problem comforter much heavy room 70 degree . light fleece throw alternative available . hotel light blanket . light fleece throw blanket ' cover bed we adequately . aware Air Conditioner large wall unit . although shower great , always get wet turn shower step turn water . the hotel staff range helpful friendly somewhat unprofessional . bellman greet we help we check helpful , professional , great . however , rest stay , often find bellman / doorman socialize one another . front desk need improvement customer service . check account tv morning departure find overcharge . hotel impose $ 1.50 per room per night charge call " unit tax . " book stay hotel ' web page give we daily rate plus applicable taxis fee . $ 1.50 per night unit tax . ' want argue ' want hassle it . when return Manhattan , may may return hotel . , enjoy stay spite problem . perhaps City perhaps hotel open . feel " vibe " put lot think renovation hopefully work negative . oh – great restaurant recommendation . Jean - George . locate Trump Tower proximity Empire Hotel . food service excellent plus . although expensive , well worth give food service location . ' miss . also , go formal restaurant . informal different menu kitchen . would go back tomorrow , could . oh – another thing - ' miss Carnigie Hall – beautiful historical place great acoustic good performer . city never sleep … love Manhattan ! 
 Nov 28 2007 	 stay ! 	 beautiful hotel . last room 9th floor quite enough space 3 2 queen bed bathroom ( include tub ) . view except build next door do not come look window care ? maid service perfect bellman , helpful . would definitely recommend stay . downside design bathroom . showerhead artsy thing could use wall hand hold practical positioned wall spray water onto towel ( rack INSIDE SHOWER ? ? ? ) floor shower door caulk . maybe inept use highclass shower , dunno . little inconvenience every day , stay superb ! right across street Lincoln Center 1.5 block Thanksgiving Day Parade Route arrive early get excellent view location parade ! ( PS : starbuck right around corner ) 
 Nov 21 2007 	 really nice hotel - let air conditioning however 	 enjoy stay . great staff really friendly helpful . bell boy really good get taxi 's airport excellent rate . room small comfortable clean shower great . location brilliant fantastic mexican restaurant next door . the hotel bar nice - well decorate nice chilled atmosphere . I would give hotel 5 5 except fact central air conditioning . air con unit room noisy . hotel really hot keep put keep we awake . shame put air con clearly spend lot money hotel think make big mistake put centralised air con prevent good hotel New York . complaint though - great . I would skip free breakfast go red diner road - nice breakfast ! 
 Nov 17 2007 	 prepared pay Empire ! 	 hotel nice , room small decor dark . word warn book facility Hotwire : & quot ; hotwire room & quot ; corner room size large walk closet . book Hotwire put one room , insist place put luggage , outlet plug computer , ability enter shower without bang head bathroom door , charge & quot ; upgrade . & quot ; upgrade room still rather small , even NYC standard . that say breakfast bar exquisite , location great , service terrific . lobby well design place meet friend business associate . bar expensive , nice like public space New York , smoke - free . Lincoln Center step away . come business find convenient , clean , hassle - free , aside initial bother change room pay upgrade fee . 
 Nov 16 2007 	 good decision 	 stay 11/14/07 mini suite . rate pretty high ( $ 650 + $ 100 extra tax ) . plus side : great location , good look room , nice ( huge ) flat screen tv . room clean bed / sheet excellent . on negative side : hot water ( come fix say fix , water tepid : indicate well could ) . definitely dissapointment spend $ 750 hotel room able take shower shave morning . also : bathroom sink clog ( could fix ) . mini bar ( basket expensive wine snack ) . room service . bathroom shower small low end . room heat / air controls window unit ( ancient ) marginally effective . look like hotel kind half upgrade 70 . surface nice ; anything ignore . I would stay away . 
 Nov 16 2007 	 empire great choice 	 get back 4 night Empire Hotel book thru hotels.com . location central , near store , park transit plan include variety thing key . the staff friendly helpful time . the lobby beautiful furninshing dramatic . room , small beautifully decorate tho ' bathroom small shelf lie toiletry put towel square sink , countertop lie makeup put on . as have do research , know room small therefore advise 2 companion pack ' compactly ' . help . downside : skip breakfast . presentation appeal place really sit eat . walk Columbus Elite Cafe morning terrific meal great service . do not touch minibar price sight . sometimes knock make room 8 am find room 5:30p find inconvenient . all , would stay Empire feel comfortable location . 
